CONCEPTICON_ID	WORDNET_SYNSET	OPEN_WORDNET_ID	WORDNET_GLOSS	WORDNET_POS	WORDNET_DEFINITION
33	n12392070	12392070-n	nettle	n	any of numerous plants having stinging hairs that cause skin irritation on contact (especially of the genus Urtica or family Urticaceae)
36	n05263587	05263587-n	pubic hair//bush//crotch hair	n	hair growing in the pubic area
37	v02497062	02497062-v	liberate//set free	v	grant freedom to; "The students liberated their slaves upon graduating from the university"
38	v01579813	01579813-v	unfold//spread//spread out//open	v	spread out or open from a closed or folded state; "open the map"; "spread your arms"
40	n07550079	07550079-n	jealousy//green-eyed monster	n	a feeling of jealous envy (especially of a rival)
42	a01053634	01053634-a	fetid//foetid//foul//foul-smelling//funky//noisome//smelly//stinking//ill-scented	a	offensively malodorous; "a foul odor"; "the kitchen smelled really funky"
43	v01999798	01999798-v	lead//take//direct//conduct//guide	v	take somebody somewhere; "We lead him to our chief"; "can you take me to the main entrance?"; "He conducted us to the palace"
44	v00069879	00069879-v	injure//wound	v	cause injuries or bodily harm to
46	v01282545	01282545-v	hollow//hollow out//core out	v	remove the interior of; "hollow out a tree trunk"
49	v00797430	00797430-v	refuse//decline	v	show unwillingness towards; "he declined to join the group on a hike"
52	v01888946	01888946-v	shudder//shiver//throb//thrill	v	tremble convulsively, as from fear or excitement
53	n10636598	10636598-n	spirit	n	the vital principle or animating force within living things
55	v00915830	00915830-v	whisper	v	speak softly; in a low voice
56	n14475405	14475405-n	misfortune//bad luck//tough luck//ill luck	n	an unfortunate state resulting from unfavorable outcomes
59	n11450566	11450566-n	electricity//electrical energy	n	energy made available by the flow of electric charge through a conductor; "they built a car that runs on electricity"
60	n12109827	12109827-n	oat	n	annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
64	n04331892	04331892-n	straight pin	n	pin consisting of a short straight stiff piece of wire with a pointed end; used to fasten pieces of cloth or paper together
65	n01246926	01246926-n	ambush//ambuscade//lying in wait//trap	n	the act of concealing yourself and lying in wait to attack by surprise
66	v01545649	01545649-v	kneel	v	rest one's weight on one's knees; "In church you have to kneel during parts of the service"
67	n09273130	09273130-n	ember//coal	n	a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
68	n04395651	04395651-n	tattoo	n	a design on the skin made by tattooing
70	a01074062	01074062-a	brackish//briny	a	slightly salty (especially from containing a mixture of seawater and fresh water); "a brackish lagoon"; "the briny deep"
72	n02156140	02156140-n	claw	n	sharp curved horny process on the toe of a bird or some mammals or reptiles
73	n01758308	01758308-n	beak//bill//neb//nib//pecker	n	horny projecting mouth of a bird
76	n10804287	10804287-n	young buck//young man	n	a teenager or a young adult male
77	n10129825	10129825-n	girl//miss//missy//young lady//young woman//fille	n	a young woman; "a young lady of 18"
80	n03222857	03222857-n	doorjamb//doorpost	n	a jamb for a door
81	n13660178	13660178-n	fathom//fthm	n	a linear unit of measurement (equal to 6 feet) for water depth
82	n14036539	14036539-n	anger//angriness	n	the state of being angry
83	v00795863	00795863-v	forbid//prohibit//interdict//proscribe//veto//disallow//nix	v	command against; "I forbid you to call me late at night"; "Mother vetoed the trip to the chocolate store"; "Dad nixed our plans"
85	v02284951	02284951-v	refund//return//repay//give back	v	pay back; "Please refund me my money"
86	v01460029	01460029-v	sift//sieve//strain	v	separate by passing through a sieve or other straining device to separate out coarser elements; "sift the flour"
88	n02822865	02822865-n	beehive//hive	n	a man-made receptacle that houses a swarm of bees
89	n08510169	08510169-n	fatherland//homeland//motherland//mother country//country of origin//native land	n	the country where you were born
90	a01319874	01319874-a	innocent//guiltless//clean-handed	a	free from evil or guilt; "an innocent child"; "the principle that one is innocent until proved guilty"
93	v00194170	00194170-v	milk	v	take milk from female mammals; "Cows need to be milked every morning"
95	n02205383	02205383-n	Simuliidae//family Simuliidae	n	blackflies and sand flies
96	v01885845	01885845-v	crawl//creep	v	move slowly; in the case of people or animals with the body near the ground; "The crocodile was crawling along the riverbed"
98	a02269286	02269286-a	all	a	quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class; "we sat up all night"; "ate all the food"; "all men are mortal"; "all parties are welcome"
100	a00958880	00958880-a	faithful	a	steadfast in affection or allegiance; "years of faithful service"; "faithful employees"; "we do not doubt that England has a faithful patriot in the Lord Chancellor"
101	v00883226	00883226-v	boast//tout//swash//shoot a line//brag//gas//blow//bluster//vaunt//gasconade	v	show off
102	n14145501	14145501-n	cold//common cold	n	a mild viral infection involving the nose and respiratory passages (but not the lungs); "will they never find a cure for the common cold?"
105	n03731164	03731164-n	mattress	n	a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed
107	n07286368	07286368-n	omen//portent//presage//prognostic//prognostication//prodigy	n	a sign of something about to happen; "he looked for an omen before going into battle"
108	n03837422	03837422-n	oar	n	an implement used to propel or steer a boat
110	n03789946	03789946-n	motor	n	machine that converts other forms of energy into mechanical energy and so imparts motion
112	n01662784	01662784-n	turtle	n	any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
113	n09433442	09433442-n	shore	n	the land along the edge of a body of water
116	n11618861	11618861-n	larch//larch tree	n	any of numerous conifers of the genus Larix all having deciduous needlelike leaves
117	v01742886	01742886-v	imitate//copy//simulate	v	reproduce someone's behavior or looks; "The mime imitated the passers-by"; "Children often copy their parents or older siblings"
119	v01962671	01962671-v	dive	v	swim under water; "the children enjoyed diving and looking for shells"
121	v01518772	01518772-v	spin	v	work natural fibers into a thread; "spin silk"
122	n04543158	04543158-n	wagon//waggon	n	any of various kinds of wheeled vehicles drawn by an animal or a tractor
123	n05602548	05602548-n	brow//forehead	n	the part of the face above the eyes
126	v00067545	00067545-v	sweat//sudate//perspire	v	excrete perspiration through the pores in the skin; "Exercise makes one sweat"
127	v02761897	02761897-v	snuff out//blow out//extinguish//quench	v	put out, as of fires, flames, or lights; "Too big to be extinguished at once, the forest fires at best could be contained"; "quench the flames"; "snuff out the candles"
128	v01044533	01044533-v	mumble//mutter//maunder//mussitate	v	talk indistinctly; usually in a low voice
129	v00077950	00077950-v	choke//strangle	v	constrict (someone's) throat and keep from breathing
133	v01673891	01673891-v	weave//tissue	v	create a piece of cloth by interlacing strands of fabric, such as wool or cotton; "tissue textiles"
134	n04669692	04669692-n	fault	n	responsibility for a bad situation or event; "it was John's fault"
135	n02871963	02871963-n	boomerang//throwing stick//throw stick	n	a curved piece of wood; when properly thrown will return to thrower
136	r00108479	00108479-r	here	r	in or at this place; where the speaker or writer is; "I work here"; "turn here"; "radio waves received here on Earth"
138	v00035603	00035603-v	bathe	v	cleanse the entire body; "bathe daily"
139	n05304932	05304932-n	gingiva//gum	n	the tissue (covered by mucous membrane) of the jaws that surrounds the bases of the teeth
141	v00378042	00378042-v	burn//incinerate	v	cause to undergo combustion; "burn garbage"; "The car burns only Diesel oil"
142	v02005496	02005496-v	go home//head home	v	return home; "After the movie, we went home"
144	n03699975	03699975-n	machine	n	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
146	n12132754	12132754-n	sugarcane//sugar cane	n	juicy canes whose sap is a source of molasses and commercial sugar; fresh canes are sometimes chewed for the juice
148	n05723563	05723563-n	itch//itchiness//itching	n	an irritating cutaneous sensation that produces a desire to scratch
151	n04057047	04057047-n	razor	n	edge tool used in shaving
154	n02370360	02370360-n	udder//bag	n	mammary gland of bovids (cows and sheep and goats)
155	v01258091	01258091-v	chop//chop up	v	cut into pieces; "Chop wood"; "chop meat"
156	a00381097	00381097-a	red//reddish//ruddy//blood-red//carmine//cerise//cherry//cherry-red//crimson//ruby//ruby-red//scarlet	a	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
157	v00283090	00283090-v	dye	v	color with dye; "Please dye these shoes"
158	v00050652	00050652-v	wear//put on//get into//don//assume	v	put clothing on one's body; "What should I wear today?"; "He put on his best suit for the wedding"; "The princess donned a long blue dress"; "The queen assumed the stately robes"; "He got into his jeans"
159	n07712063	07712063-n	sweet potato	n	the edible tuberous root of the sweet potato vine which is grown widely in warm regions of the United States
161	v01237901	01237901-v	miss	v	fail to reach; "The arrow missed the target"
162	v00003826	00003826-v	hiccup//hiccough	v	breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water"
163	a00392812	00392812-a	black	a	being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light; "black leather jackets"; "as black as coal"; "rich black soil"
164	n01877134	01877134-n	kangaroo	n	any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
166	n09346120	09346120-n	mainland	n	the main land mass of a country or continent; as distinguished from an island or peninsula
167	n06264398	06264398-n	mail//mail service//postal service//post	n	the system whereby messages are transmitted via the post office; "the mail handles billions of items every day"; "he works for the United States mail service"; "in England they call mail `the post'"
168	v00014405	00014405-v	rest	v	be at rest
172	n05279688	05279688-n	scapula//shoulder blade//shoulder bone	n	either of two flat triangular bones one on each side of the shoulder in human beings
174	a01889256	01889256-a	proud	a	feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride; "proud parents"; "proud of his accomplishments"; "a proud moment"; "proud to serve his country"; "a proud name"; "proud princes"
175	v02769241	02769241-v	blow	v	be blowing or storming; "The wind blew from the West"
178	a01493173	01493173-a	ripe//mature	a	fully developed or matured and ready to be eaten or used; "ripe peaches"; "full-bodied mature wines"
180	v01028748	01028748-v	name//call	v	assign a specified (usually proper) proper name to; "They named their son David"; "The new school was named after the famous Civil Rights leader"
181	n02460009	02460009-n	anteater//New World anteater	n	any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites
183	v01663749	01663749-v	bake	v	prepare with dry heat in an oven; "bake a cake"
184	n03726760	03726760-n	mast	n	a vertical spar for supporting sails
185	n03346455	03346455-n	fireplace//hearth//open fireplace	n	an open recess in a wall at the base of a chimney where a fire can be built; "the fireplace was so large you could walk inside it"; "he laid a fire in the hearth and lit it"; "the hearth was black with the charcoal of many fires"
189	n05255578	05255578-n	body hair	n	short hair growing over a person's body
190	v01319562	01319562-v	mow//cut down	v	cut with a blade or mower; "mow the grass"
191	n13136556	13136556-n	nut	n	usually large hard-shelled seed
192	n03109881	03109881-n	corner//nook	n	an interior angle formed by two meeting walls; "a piano was in one corner of the room"
193	a00691696	00691696-a	shallow	a	lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center; "shallow water"; "a shallow dish"; "a shallow cut"; "a shallow closet"; "established a shallow beachhead"; "hit the ball to shallow left field"
194	n07970406	07970406-n	family//family unit	n	primary social group; parents and children; "he wanted to have a good job before starting a family"
195	n03727837	03727837-n	mat	n	a thick flat pad used as a floor covering
197	a02069355	02069355-a	other	a	not the same one or ones already mentioned or implied; "today isn't any other day"- the White Queen; "the construction of highways and other public works"; "he asked for other employment"; "any other person would tell the truth"; "his other books are still in storage"; "then we looked at the other house"; "hearing was good in his other ear"; "the other sex"; "she lived on the other side of the street from me"; "went in the other direction"
199	n07315790	07315790-n	famine	n	a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death
200	a02068476	02068476-a	same	a	same in identity; "the same man I saw yesterday"; "never wore the same dress twice"; "this road is the same one we were on yesterday"; "on the same side of the street"
203	v02488834	02488834-v	marry//get married//wed//conjoin//hook up with//get hitched with//espouse	v	take in marriage
204	r00040365	00040365-r	again//once again//once more//over again	r	anew; "she tried again"; "they rehearsed the scene again"
205	n03717131	03717131-n	manger//trough	n	a container (usually in a barn or stable) from which cattle or horses feed
206	n02168427	02168427-n	glowworm	n	the luminous larva or wingless grub-like female of a firefly
208	n05416048	05416048-n	snot	n	nasal mucus
210	n13961642	13961642-n	animation//life//living//aliveness	n	the condition of living or the state of being alive; "while there's life there's hope"; "life depends on many chemical and physical processes"
211	v01662771	01662771-v	cast//mold//mould	v	form by pouring (e.g., wax or hot metal) into a cast or mold; "cast a bronze sculpture"
212	n08569998	08569998-n	field	n	a piece of land cleared of trees and usually enclosed; "he planted a field of wheat"
213	n02466132	02466132-n	fin	n	organ of locomotion and balance in fishes and some other aquatic animals
214	v00318816	00318816-v	elongate//stretch	v	make long or longer by pulling and stretching; "stretch the fabric"
215	v01985029	01985029-v	lie down//lie	v	assume a reclining position; "lie down on the bed until you feel better"
216	n06613686	06613686-n	movie//film//picture//moving picture//moving-picture show//motion picture//motion-picture show//picture show//pic//flick	n	a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement; "they went to a movie every Saturday night"; "the film was shot on location"
218	n13301328	13301328-n	fine//mulct//amercement	n	money extracted as a penalty
219	n04446276	04446276-n	toilet//lavatory//lav//can//john//privy//bathroom	n	a room or building equipped with one or more toilets
221	n13480848	13480848-n	fire//flame//flaming	n	the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"
223	n04428382	04428382-n	threshing floor	n	a floor or ground area for threshing or treading out grain
224	n03786901	03786901-n	mortar	n	a bowl-shaped vessel in which substances can be ground and mixed with a pestle
225	n03919289	03919289-n	pestle	n	a club-shaped hand tool for grinding and mixing substances in a mortar
227	n02512053	02512053-n	fish	n	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills; "the shark is a large fish"; "in the living room there was a tank of colorful fish"
228	v01256157	01256157-v	carve	v	form by carving; "Carve a flower from the ice"
230	v01393996	01393996-v	sweep	v	clean by sweeping; "Please sweep the floor"
232	n02186153	02186153-n	flea	n	any wingless bloodsucking parasitic insect noted for ability to leap
233	n04252331	04252331-n	snowshoe	n	a device to help you walk on deep snow; a lightweight frame shaped like a racquet is strengthened with cross pieces and contains a network of thongs; one is worn on each foot
234	n03873416	03873416-n	paddle//boat paddle	n	a short light oar used without an oarlock to propel a canoe or small boat
236	n10654827	10654827-n	stepmother	n	the wife of your father by a subsequent marriage
237	n10654701	10654701-n	stepfather	n	the husband of your mother by a subsequent marriage
238	n07794159	07794159-n	prawn//shrimp	n	any of various edible decapod crustaceans
239	n11669335	11669335-n	flower//bloom//blossom	n	reproductive organ of angiosperm plants especially one having showy or colorful parts
240	n00181781	00181781-n	election	n	a vote to select the winner of a position or political office; "the results of the election will be announced tonight"
241	n13111504	13111504-n	stump//tree stump	n	the base part of a tree that remains standing after the tree has been felled
244	r00387666	00387666-r	left	r	toward or on the left; also used figuratively; "he looked right and left"; "the political party has moved left"
245	n02906734	02906734-n	broom	n	a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
247	v00511430	00511430-v	tan	v	treat skins and hides with tannic acid so as to convert them into leather
249	n11458314	11458314-n	fog	n	droplets of water vapor suspended in the air near the ground
250	a00269989	00269989-a	light	a	characterized by or emitting light; "a room that is light when the shutters are open"; "the inside of the house was airy and light"
255	n10582154	10582154-n	servant//retainer	n	a person working in the service of another (especially in the household)
256	n07555863	07555863-n	food//solid food	n	any solid substance (as opposed to liquid) that is used as a source of nourishment; "food and drink"
257	v01778990	01778990-v	worship	v	show devotion to (a deity); "Many Hindus worship Shiva"
258	a00302761	00302761-a	calm	a	(of weather) free from storm or wind; "calm seas"
259	a00304949	00304949-a	boisterous//fierce//rough	a	violently agitated and turbulent; "boisterous winds and waves"; "the fierce thunders roar me their music"- Ezra Pound; "rough weather"; "rough seas"
260	n08645847	08645847-n	savanna//savannah	n	a flat grassland in tropical or subtropical regions
261	n11427619	11427619-n	aurora borealis//northern lights	n	the aurora of the northern hemisphere
263	n10171567	10171567-n	herder//herdsman//drover	n	someone who drives a herd
264	n02416880	02416880-n	billy//billy goat//he-goat	n	male goat
265	n01789740	01789740-n	domestic fowl//fowl//poultry	n	a domesticated gallinaceous bird thought to be descended from the red jungle fowl
266	n01902877	01902877-n	scale	n	a flattened rigid plate forming part of the body covering of many animals
267	n01461146	01461146-n	nit	n	egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing
268	v00102974	00102974-v	drivel//drool//slabber//slaver//slobber//dribble	v	let saliva drivel from the mouth; "The baby drooled"
269	a00615757	00615757-a	cooked	a	having been prepared for eating by the application of heat
270	n03950228	03950228-n	pitcher//ewer	n	an open vessel with a handle and a spout for pouring
271	n04139291	04139291-n	saucer	n	a small shallow dish for holding a cup at the table
272	n04450749	04450749-n	tongs//pair of tongs	n	any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below
273	n07860988	07860988-n	dough	n	a flour mixture stiff enough to knead or roll
274	v01235355	01235355-v	knead//work	v	make uniform; "knead dough"; "work the clay until it is soft"
275	v01262936	01262936-v	skin//peel//pare	v	strip the skin off; "pare apples"
277	n04277352	04277352-n	spindle	n	a stick or pin used to twist the yarn in spinning
278	n02763714	02763714-n	awl	n	a pointed tool for marking surfaces or for punching small holes
279	n15069712	15069712-n	thatch	n	plant stalks used as roofing material
280	n04089152	04089152-n	ridge//ridgepole//rooftree	n	a beam laid along the edge where two sloping sides of a roof meet at the top; provides an attachment for the upper ends of rafters
281	n03976657	03976657-n	pole	n	a long (usually round) rod of wood or metal or plastic
283	n08614229	08614229-n	paddy//paddy field//rice paddy	n	an irrigated or flooded field where rice is grown
284	n03524574	03524574-n	hoe	n	a tool with a flat blade attached at right angles to a long handle
285	v01416364	01416364-v	thrash//thresh	v	beat the seeds out of a grain
286	n13157595	13157595-n	acerate leaf//needle	n	the leaf of a conifer
287	n11682842	11682842-n	cone//strobilus//strobile	n	cone-shaped mass of ovule- or spore-bearing scales or bracts
288	v01675245	01675245-v	forge//hammer	v	create by hammering; "hammer the silver into a bowl"; "forge a pair of tongues"
289	v01662771	01662771-v	cast//mold//mould	v	form by pouring (e.g., wax or hot metal) into a cast or mold; "cast a bronze sculpture"
290	n02682311	02682311-n	adz//adze	n	an edge tool used to cut and shape wood
291	v01274657	01274657-v	flay	v	strip the skin off
292	n04118021	04118021-n	rug//carpet//carpeting	n	floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
295	n04577426	04577426-n	whetstone	n	a flat stone for sharpening edged tools or knives
296	v01545314	01545314-v	squat//crouch//scrunch//scrunch up//hunker//hunker down	v	sit on one's heels; "In some cultures, the women give birth while squatting"; "The children hunkered down to protect themselves from the sandstorm"
297	a02311544	02311544-a	crooked	a	having or marked by bends or angles; not straight or aligned; "crooked country roads"; "crooked teeth"
298	v00914420	00914420-v	shriek//shrill//pipe up//pipe	v	utter a shrill cry
299	v00824767	00824767-v	call on the carpet//take to task//rebuke//rag//trounce//reproof//lecture//reprimand//jaw//dress down//call down//scold//chide//berate//bawl out//remonstrate//chew out//chew up//have words//lambaste//lambast	v	censure severely or angrily; "The mother scolded the child for entering a stranger's car"; "The deputy ragged the Prime Minister"; "The customer dressed down the waiter for bringing cold soup"
300	n04056289	04056289-n	rattle	n	a baby's toy that makes percussive noises when shaken
301	n10164025	10164025-n	headman//tribal chief//chieftain//chief	n	the head of a tribe or clan
302	n07969695	07969695-n	kin//kin group//kinship group//kindred//clan//tribe	n	group of people related by blood or marriage
303	v01189604	01189604-v	fast	v	abstain from certain foods, as for religious or medical reasons; "Catholics sometimes fast during Lent"
304	v00828003	00828003-v	preach//prophesy	v	deliver a sermon; "The minister is not preaching this Sunday"
305	n10143172	10143172-n	grandparent	n	a parent of your father or mother
307	n01605630	01605630-n	hawk	n	diurnal bird of prey typically having short rounded wings and a long tail
308	n01843383	01843383-n	toucan	n	brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
309	n01874928	01874928-n	opossum//possum	n	nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
310	n02184589	02184589-n	head louse//Pediculus capitis	n	infests the head and body of humans
311	n02184720	02184720-n	body louse//cootie//Pediculus corporis	n	a parasitic louse that infests the body of human beings
312	n02393580	02393580-n	tapir	n	large inoffensive chiefly nocturnal ungulate of tropical America and southeast Asia having a heavy body and fleshy snout
318	n06645039	06645039-n	footprint//footmark//step	n	a mark of a foot or shoe on a surface; "the police made casts of the footprints in the soft earth outside the window"
319	v01432176	01432176-v	lick//lap	v	pass the tongue over; "the dog licked her hand"
320	a01018788	01018788-a	crippled//halt//halting//lame//gimpy//game	a	disabled in the feet or legs; "a crippled soldier"; "a game leg"
321	v01201089	01201089-v	chew//masticate//manducate//jaw	v	chew (food); to bite and grind with the teeth; "He jawed his bubble gum"; "Chew your food and don't swallow it!"; "The cows were masticating the grass"
322	n07753113	07753113-n	fig	n	fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
323	n14864360	14864360-n	fat	n	a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides); "pizza has too much fat"
325	n03326795	03326795-n	felt	n	a fabric made of compressed matted animal fibers
326	n03045337	03045337-n	cloak	n	a loose outer garment
327	n03980874	03980874-n	poncho	n	a blanket-like cloak with a hole in the center for the head
328	n03454442	03454442-n	grass skirt	n	a skirt made of long blades of grass
329	n04323819	04323819-n	stocking	n	close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
330	n03502509	03502509-n	headdress//headgear	n	clothing for the head
332	n04045941	04045941-n	rag//shred//tag//tag end//tatter	n	a small piece of cloth or paper
333	n05259512	05259512-n	braid//plait//tress//twist	n	a hairdo formed by braiding or twisting the hair
334	n03101375	03101375-n	cookhouse	n	a detached or outdoor shelter for cooking; "the circus used a tent as their cookhouse"
335	n03099622	03099622-n	conventicle//meetinghouse	n	a building for religious assembly (especially Nonconformists, e.g., Quakers)
336	n03874599	03874599-n	padlock	n	a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
337	n03950359	03950359-n	pitchfork	n	a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay
338	n04050066	04050066-n	rake	n	a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil
340	n03644378	03644378-n	lasso//lariat//riata//reata	n	a long noosed rope used to catch animals
342	n07802026	07802026-n	hay	n	grass mowed and cured for use as fodder
343	n13100677	13100677-n	vine	n	a plant with a weak stem that derives support from climbing, twining, or creeping along a surface
344	n13165815	13165815-n	trunk//tree trunk//bole	n	the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
345	n15038127	15038127-n	sap	n	a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
346	n12402348	12402348-n	banyan//banyan tree//banian//banian tree//Indian banyan//East Indian fig tree//Ficus bengalensis	n	East Indian tree that puts out aerial shoots that grow down into the soil forming additional trunks
352	v01284461	01284461-v	untie//unbrace//unlace	v	undo the ties of; "They untied the prisoner"
354	v01414626	01414626-v	thump//pound//poke	v	hit hard with the hand, fist, or some heavy instrument; "the salesman pounded the door knocker"; "a bible-thumping Southern Baptist"
355	v01322675	01322675-v	slash//cut down	v	cut with sweeping strokes; as with an ax or machete
356	n04186848	04186848-n	shears	n	large scissors with strong blades
357	v01481360	01481360-v	hang//hang up	v	cause to be hanging or suspended; "Hang that picture on the wall"
358	n04439840	04439840-n	tin plate//tinplate	n	a thin sheet of metal (iron or steel) coated with tin to prevent rusting; used especially for cans, pots, and tins
359	n10460806	10460806-n	potter//thrower//ceramicist//ceramist	n	a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln
360	v01885580	01885580-v	fan	v	agitate the air
361	n03905540	03905540-n	peg//nog	n	a wooden pin pushed or driven into a surface
363	v02649830	02649830-v	populate//dwell//live//inhabit	v	inhabit or live in; be an inhabitant of; "People lived in Africa millions of years ago"; "The people inhabited the islands that are now deserted"; "this kind of fish dwells near the bottom of the ocean"; "deer are populating the woods"
365	v01374767	01374767-v	sprinkle//splash//splosh	v	cause (a liquid) to spatter about, especially with force; "She splashed the water around her"
366	v01917244	01917244-v	limp//gimp//hobble//hitch	v	walk impeded by some physical limitation or injury; "The old woman hobbles down to the store every day"
367	v01957529	01957529-v	ride//sit	v	sit and travel on the back of animal, usually while controlling its motions; "She never sat a horse!"; "Did you ever ride a camel?"; "The girl liked to drive the young mare"
369	v02253956	02253956-v	owe	v	be in debt; "She owes me $200"; "I still owe for the car"; "The thesis owes much to his adviser"
371	v01207402	01207402-v	pick up	v	take up by hand; "He picked up the book and started to read"
372	a01809655	01809655-a	pointed	a	having a point
375	v02125032	02125032-v	sniff//whiff	v	perceive by inhaling through the nose; "sniff the perfume"
376	a01052248	01052248-a	fragrant	a	pleasant-smelling
377	r00069901	00069901-r	loudly//loud//aloud	r	with relatively high volume; "the band played loudly"; "she spoke loudly and angrily"; "he spoke loud enough for those at the back of the room to hear him"; "cried aloud for help"
378	v01456771	01456771-v	pinch//squeeze//twinge//tweet//nip//twitch	v	squeeze tightly between the fingers; "He pinched her behind"; "She squeezed the bottle"
379	a00800464	00800464-a	blunt	a	used of a knife or other blade; not sharp; "a blunt instrument"
380	a01360413	01360413-a	wrinkled//wrinkly	a	marked by wrinkles; "tired travelers in wrinkled clothes"
381	n07237758	07237758-n	incrimination//inculpation//blame	n	an accusation that you are responsible for some lapse or misdeed; "his incrimination was based on my testimony"; "the police laid the blame on the driver"
383	n10388440	10388440-n	overlord//master//lord	n	a person who has general authority over others
384	n10111023	10111023-n	freeman//freewoman	n	a person who is not a serf or a slave
386	n02811468	02811468-n	battle-ax//battle-axe	n	a broadax used as a weapon
387	n04239639	04239639-n	sling	n	a simple weapon consisting of a looped strap in which a projectile is whirled and then released
388	n03352628	03352628-n	fishnet//fishing net	n	a net that will enclose fish when it is pulled in
390	n01160342	01160342-n	punishment//penalty//penalization//penalisation	n	the act of punishing
