CONCEPTICON_ID	AOA_WORD	OCCUR_TOTAL	OCCUR_NUM	FREQ_PM	RATING_MEAN	RATING_SD	DUNNO
49	refuse	18	18	20.98	9.33	3.50	1.00
50	jack	21	20	251.59	6.96	2.91	0.95
51	sore	19	19	15.00	5.84	2.03	1.00
52	shiver	18	18	1.53	7.50	3.87	1.00
53	spirit	19	19	49.35	7.11	3.11	1.00
54	shrink	19	18	11.31	7.06	3.06	0.95
55	whisper	19	19	7.90	4.26	1.85	1.00
58	liquid	18	18	7.75	5.83	1.98	1.00
59	electricity	20	20	11.45	6.60	2.58	1.00
60	oat	18	18	0.53	5.83	3.07	1.00
61	induce	19	19	1.61	12.05	3.44	1.00
64	pin	19	19	16.37	4.53	1.39	1.00
65	ambush	20	20	5.43	9.30	1.72	1.00
66	kneel	19	19	5.33	6.95	3.72	1.00
68	tattoo	19	19	11.96	7.79	3.36	1.00
69	sober	19	19	10.10	10.84	2.57	1.00
70	brackish	19	13	0.08	15.23	3.49	0.68
72	claw	20	20	4.37	4.70	2.20	1.00
73	beak	19	19	2.10	5.42	2.73	1.00
74	puppy	18	18	11.45	3.28	1.13	1.00
75	disgrace	18	18	8.02	8.22	2.13	1.00
78	that	19	19	14111.31	5.53	2.06	1.00
79	waste	18	18	53.25	6.50	1.69	1.00
80	doorpost	19	18	0.02	7.56	3.05	0.95
81	fathom	18	18	1.04	11.44	3.96	1.00
82	anger	19	19	19.43	6.00	2.58	1.00
83	forbid	19	19	8.55	8.47	2.99	1.00
84	just	20	20	4749.14	7.01	2.48	1.00
86	sieve	21	14	0.53	12.36	2.98	0.67
88	beehive	19	19	0.86	7.47	5.05	1.00
90	innocent	19	19	54.51	5.95	1.96	1.00
91	insolent	19	19	1.20	13.47	3.39	1.00
96	crawl	18	18	12.04	3.89	1.23	1.00
97	through	21	21	549.53	5.82	1.86	1.00
98	all	22	22	5161.86	4.24	1.40	1.00
99	hunchback	19	19	0.98	8.63	2.52	1.00
100	faithful	19	19	9.12	8.42	3.52	1.00
101	boast	19	18	1.06	8.22	2.13	0.95
103	fornicate	18	18	0.49	13.44	3.40	1.00
105	mattress	21	21	6.61	5.10	1.51	1.00
107	omen	20	20	1.71	12.05	4.47	1.00
108	rudder	19	18	3.88	10.39	3.15	0.95
109	foreign	19	19	22.29	8.74	2.23	1.00
110	motor	19	19	13.16	7.42	2.36	1.00
112	turtle	18	18	17.04	4.17	1.58	1.00
113	shore	20	19	19.86	6.93	2.04	0.95
114	porpoise	19	16	0.35	8.94	3.30	0.84
115	profligate	19	9	0.08	15.67	3.16	0.47
116	larch	19	11	0.14	13.64	2.01	0.58
117	imitate	20	20	1.80	9.20	2.33	1.00
118	bewitch	18	18	0.12	10.61	3.93	1.00
119	dive	19	19	12.82	7.21	2.53	1.00
120	pitcher	19	19	3.24	6.42	2.22	1.00
121	spin	20	20	14.63	5.00	2.43	1.00
122	cart	19	19	9.04	6.16	2.32	1.00
123	forehead	19	19	7.84	5.58	2.36	1.00
124	thorn	21	21	5.10	5.97	1.36	1.00
127	extinguish	19	19	0.84	8.95	3.14	1.00
128	mumble	20	20	0.78	7.15	2.01	1.00
129	choke	19	19	6.47	6.11	2.23	1.00
131	festival	18	18	9.90	8.39	2.91	1.00
132	sauce	19	19	15.59	5.37	2.24	1.00
133	weave	18	18	2.06	9.89	4.51	1.00
134	fault	18	18	104.12	6.94	2.84	1.00
135	boomerang	19	19	0.92	9.79	2.46	1.00
136	here	21	21	4525.25	3.74	1.94	1.00
138	bathe	18	18	2.51	5.00	2.11	1.00
143	humid	18	18	0.88	8.56	2.12	1.00
144	machine	19	19	70.25	6.53	2.25	1.00
145	sorrowful	19	19	0.39	10.11	2.98	1.00
148	itch	19	19	4.18	5.05	1.08	1.00
149	itchy	19	19	2.27	5.16	2.71	1.00
150	worry	18	18	287.02	6.61	2.73	1.00
151	razor	19	19	6.88	7.11	2.73	1.00
152	hoof	21	21	1.73	6.90	2.51	1.00
154	udder	19	17	0.22	7.29	2.42	0.89
155	chop	19	19	13.61	6.74	2.38	1.00
156	red	19	19	148.06	3.68	1.63	1.00
157	dye	18	18	3.86	7.56	2.41	1.00
162	hiccough	19	15	#NV	10.20	4.87	0.79
163	black	18	18	167.94	3.56	1.92	1.00
164	kangaroo	20	20	2.31	5.55	1.93	1.00
165	wallaby	20	14	0.53	12.36	3.63	0.70
166	mainland	19	19	3.02	11.63	4.78	1.00
167	mail	20	20	36.84	4.65	2.01	1.00
168	rest	18	18	212.96	4.22	2.53	1.00
169	it	21	21	18896.31	4.40	1.95	1.00
174	proud	18	18	83.63	5.44	1.58	1.00
178	ripe	18	18	4.18	7.11	2.87	1.00
179	ripen	18	18	0.27	7.22	1.93	1.00
181	anteater	19	18	0.22	8.50	5.16	0.95
182	spoke	22	22	38.63	6.23	2.91	1.00
183	bake	18	18	6.33	5.50	2.53	1.00
184	mast	20	17	1.63	10.59	3.92	0.85
185	fireplace	19	19	5.08	7.37	3.65	1.00
186	shin	18	18	3.08	8.39	3.55	1.00
187	loin	19	18	0.35	11.06	3.02	0.95
190	mow	18	17	2.29	6.76	2.25	0.94
191	nut	19	19	15.63	5.21	1.69	1.00
192	corner	19	19	52.53	5.21	2.07	1.00
193	shallow	20	20	5.90	7.00	2.75	1.00
194	family	21	21	354.25	3.38	1.43	1.00
195	mat	21	21	3.49	4.62	2.22	1.00
196	donate	20	20	3.98	8.20	2.67	1.00
197	other	21	21	735.39	5.33	2.35	1.00
199	famine	19	19	1.59	10.00	2.47	1.00
200	same	20	20	417.18	5.62	1.71	1.00
201	farm	20	20	30.04	3.85	1.50	1.00
202	strength	19	19	36.92	6.21	2.53	1.00
203	marry	18	18	104.35	5.83	2.43	1.00
204	again	20	20	792.71	5.78	1.31	1.00
205	trough	18	17	1.41	8.41	2.92	0.94
206	firefly	18	18	0.55	6.39	2.25	1.00
207	sparse	18	12	0.22	11.83	1.90	0.67
209	rare	20	20	21.31	7.45	2.42	1.00
210	life	19	19	796.65	5.89	3.23	1.00
211	cast	21	21	23.14	7.24	3.16	1.00
212	field	20	20	70.20	6.10	2.38	1.00
213	fin	21	20	3.41	7.30	3.36	0.95
214	stretch	19	19	14.67	5.47	2.17	1.00
216	movie	18	18	122.96	3.56	1.54	1.00
219	toilet	1934	1933	28.90	3.54	1.65	1.00
220	intact	19	19	6.35	9.84	2.39	1.00
221	fire	20	20	215.49	3.25	1.16	1.00
222	lavish	18	17	0.76	10.76	3.07	0.94
225	pestle	19	15	0.61	13.00	2.67	0.79
227	fish	19	19	83.49	4.05	1.61	1.00
228	carve	18	17	3.10	6.35	1.77	0.94
230	sweep	20	20	9.51	4.20	1.61	1.00
231	shave	19	19	13.76	5.89	1.94	1.00
232	flea	19	19	3.31	7.79	2.97	1.00
233	snowshoe	19	19	0.04	7.68	2.63	1.00
234	paddle	19	19	3.75	6.58	2.43	1.00
236	stepmother	18	18	4.24	6.33	1.46	1.00
237	stepfather	19	19	2.96	8.42	3.66	1.00
239	flower	19	19	22.76	3.11	1.24	1.00
240	election	18	18	10.98	9.17	2.81	1.00
242	cost	21	21	54.92	5.67	1.88	1.00
243	fresh	18	18	54.51	6.22	1.86	1.00
244	left	20	20	484.45	5.57	2.17	1.00
245	broom	18	18	4.76	5.50	2.46	1.00
246	thrust	18	18	3.86	9.72	2.42	1.00
247	tan	21	21	8.61	7.05	3.14	1.00
248	happen	19	19	254.27	5.26	1.37	1.00
249	fog	19	19	9.45	6.21	2.20	1.00
252	frighten	18	18	6.35	8.83	3.75	1.00
255	servant	18	18	12.14	7.89	2.14	1.00
256	food	20	20	154.43	3.25	1.21	1.00
257	worship	19	19	8.02	7.00	2.05	1.00
258	calm	19	19	89.04	6.26	2.18	1.00
263	herdsman	18	18	0.02	9.61	4.03	1.00
265	fowl	18	18	0.69	7.89	2.87	1.00
266	scale	20	20	9.51	8.85	3.57	1.00
267	nit	18	14	0.16	8.57	2.85	0.78
268	dribble	18	18	1.33	6.50	2.94	1.00
270	jug	18	18	2.63	5.83	1.86	1.00
271	saucer	18	18	2.75	8.44	2.89	1.00
272	tongs	22	22	0.78	7.78	2.55	1.00
273	dough	19	19	15.88	6.63	2.91	1.00
274	knead	20	20	0.18	8.80	2.61	1.00
275	peel	19	19	5.35	6.05	2.41	1.00
277	spindle	19	18	0.41	10.72	4.42	0.95
278	awl	18	16	0.04	10.75	4.16	0.89
279	thatch	19	18	0.75	10.72	2.54	0.95
280	ridgepole	21	9	0.10	14.00	2.74	0.43
281	post	19	19	32.43	8.11	3.00	1.00
282	pole	19	19	12.59	5.63	2.83	1.00
283	paddy	21	16	2.63	11.69	5.58	0.76
284	hoe	18	18	0.92	8.72	2.95	1.00
285	thresh	19	17	0.04	14.00	3.82	0.89
287	cone	18	18	2.92	4.67	2.57	1.00
288	forge	18	15	3.25	9.80	1.74	0.83
289	mold	19	19	4.29	9.26	2.73	1.00
292	rug	18	18	10.41	4.61	1.61	1.00
295	whetstone	19	10	0.18	12.80	3.68	0.53
296	crouch	18	18	0.75	8.50	2.38	1.00
297	crooked	18	18	5.69	6.33	1.61	1.00
298	shriek	18	18	0.63	8.94	2.92	1.00
299	scold	19	19	1.31	8.53	3.27	1.00
300	rattle	20	20	3.37	4.50	3.36	1.00
301	chieftain	18	16	0.29	10.75	2.18	0.89
302	clan	19	19	4.10	11.05	2.17	1.00
304	preach	18	18	2.39	7.33	1.88	1.00
307	hawk	20	20	12.75	6.74	1.75	1.00
308	toucan	19	16	0.08	8.69	3.50	0.84
309	opossum	18	17	0.08	8.76	3.75	0.94
312	tapir	18	13	0.08	11.23	3.94	0.72
317	piranha	19	19	1.18	8.74	2.58	1.00
318	footprint	18	18	1.08	5.78	2.18	1.00
319	lick	20	20	10.96	4.30	1.53	1.00
320	lame	19	19	10.92	9.21	2.78	1.00
321	chew	19	19	9.06	4.05	1.51	1.00
322	fig	18	18	1.22	8.06	2.82	1.00
325	felt	20	20	119.82	6.10	1.95	1.00
326	cloak	19	19	3.00	6.95	2.41	1.00
327	poncho	19	19	0.86	8.84	2.63	1.00
329	stocking	19	19	2.63	6.68	2.63	1.00
330	headband	18	18	0.41	6.33	2.20	1.00
331	headdress	18	18	0.29	9.06	3.42	1.00
332	rag	18	18	4.78	5.22	2.05	1.00
333	plait	18	8	0.55	13.00	1.41	0.44
334	cookhouse	19	17	0.02	10.71	2.80	0.89
336	padlock	19	19	0.69	8.84	3.06	1.00
337	pitchfork	18	18	0.69	6.89	2.37	1.00
338	rake	19	19	2.98	5.32	1.77	1.00
340	lasso	19	18	0.88	8.56	2.85	0.95
341	sickle	18	17	0.55	11.35	2.85	0.94
342	hay	19	19	6.37	5.32	1.92	1.00
343	vine	19	19	2.10	6.95	3.36	1.00
345	sap	19	19	3.49	7.53	3.64	1.00
346	banyan	18	8	0.24	10.75	4.65	0.44
347	sorghum	18	12	0.16	13.92	4.32	0.67
350	mangrove	18	15	0.18	14.53	5.11	0.83
351	taro	19	10	0.43	14.20	2.86	0.53
352	untie	19	19	5.18	4.84	1.54	1.00
353	strike	20	20	45.57	7.75	2.34	1.00
354	pound	19	19	13.88	6.79	2.44	1.00
356	shears	20	20	0.94	9.46	2.70	1.00
358	tinplate	18	16	0.10	10.88	3.01	0.89
359	potter	22	22	20.37	8.45	2.98	1.00
361	peg	22	21	36.41	6.83	2.29	0.95
362	string	18	18	12.67	4.94	1.70	1.00
364	smear	19	19	2.18	8.84	4.11	1.00
365	splash	18	18	4.22	3.67	2.35	1.00
366	limp	19	19	3.67	7.16	2.14	1.00
367	ride	18	18	135.37	4.67	2.17	1.00
368	sledge	18	17	0.47	10.06	3.42	0.94
369	owe	18	18	74.16	8.61	3.66	1.00
370	barter	20	18	0.90	10.72	4.11	0.90
375	sniff	19	19	3.55	6.16	3.39	1.00
376	fragrant	19	19	0.71	9.58	3.79	1.00
377	loud	22	22	39.82	4.54	1.51	1.00
378	pinch	18	18	6.12	5.50	2.28	1.00
379	blunt	19	19	4.90	11.05	2.70	1.00
380	wrinkled	19	19	1.69	7.26	2.33	1.00
381	blame	21	21	58.78	6.48	1.89	1.00
382	govern	19	19	1.22	9.53	2.89	1.00
383	master	18	18	87.25	6.50	2.38	1.00
384	freeman	18	16	2.53	11.38	5.03	0.89
387	sling	18	18	2.29	8.67	2.68	1.00
388	fishnet	22	22	0.22	10.55	3.22	1.00
390	punishment	19	19	13.43	5.47	2.25	1.00
391	bless	18	18	35.06	5.33	1.81	1.00
392	magic	21	21	52.69	5.52	1.94	1.00
393	circumcision	19	19	0.67	12.11	3.59	1.00
395	pill	18	18	11.82	6.06	2.29	1.00
396	tablet	18	18	1.49	6.83	1.92	1.00
398	pierce	20	20	25.75	8.08	2.67	1.00
399	plantain	22	20	0.02	12.80	4.49	0.91
400	mush	18	18	2.80	5.78	3.44	1.00
401	oppress	19	19	0.22	12.37	4.94	1.00
402	surpass	18	18	0.35	11.00	3.65	1.00
410	yam	20	20	0.84	8.34	3.29	1.00
411	gourd	18	17	0.47	10.65	2.98	0.94
416	outrigger	20	17	0.31	11.41	3.69	0.85
419	severe	19	19	9.41	9.05	3.44	1.00
420	forest	18	18	18.88	6.28	2.52	1.00
421	retreat	19	19	9.49	10.53	3.70	1.00
422	necessity	19	19	2.88	9.53	2.39	1.00
430	twist	35	35	12.61	6.46	1.96	1.00
432	blowgun	19	19	0.06	10.89	3.49	1.00
462	wrapper	19	19	1.67	6.11	4.00	1.00
467	crayfish	18	17	0.04	9.35	5.33	0.94
470	possum	21	18	2.06	6.61	2.93	0.86
472	pelican	18	18	1.75	8.22	2.65	1.00
474	dress	19	19	87.20	4.05	1.61	1.00
475	untruth	20	19	0.10	7.58	3.58	0.95
476	cup	21	21	51.65	3.57	1.99	1.00
477	late	18	18	269.73	5.28	1.93	1.00
478	lip	19	19	10.75	3.79	1.13	1.00
479	grow	19	19	59.49	4.79	1.93	1.00
480	plate	19	19	25.65	3.84	1.26	1.00
481	dish	18	18	11.45	4.89	2.42	1.00
482	noble	18	18	14.59	10.67	3.36	1.00
483	compound	19	19	7.08	11.26	3.14	1.00
484	condemn	18	18	2.37	12.50	2.07	1.00
485	disappear	19	19	20.96	5.37	1.71	1.00
486	minister	19	19	18.45	7.42	3.01	1.00
487	shy	19	19	18.37	5.32	1.95	1.00
488	manner	18	18	11.53	6.83	2.96	1.00
489	kidney	18	18	9.69	9.33	2.97	1.00
491	center	21	21	45.78	6.57	2.18	1.00
492	three	22	21	542.24	3.69	1.50	0.95
493	five	20	20	285.45	4.51	1.36	1.00
494	flirt	19	19	3.92	8.68	3.16	1.00
495	revenge	20	20	19.04	8.00	1.86	1.00
496	cucumber	18	18	1.98	5.72	1.84	1.00
497	scar	19	19	8.47	5.68	2.21	1.00
499	cure	19	19	20.84	9.58	3.92	1.00
500	cruel	19	19	18.35	7.63	2.09	1.00
501	lift	19	19	34.14	4.74	1.91	1.00
503	frog	19	19	11.82	4.32	1.45	1.00
504	learn	18	18	118.57	4.44	1.42	1.00
506	maize	18	17	0.18	9.59	3.24	0.94
507	melon	19	19	4.27	4.21	1.51	1.00
508	period	18	18	27.78	6.78	3.51	1.00
509	certain	20	20	85.37	8.20	2.48	1.00
518	spark	19	19	6.27	7.95	2.37	1.00
519	spot	18	18	61.57	5.39	2.66	1.00
522	wolf	18	18	20.27	4.50	1.79	1.00
526	howl	20	20	2.06	5.55	1.85	1.00
528	dreadful	18	18	8.00	6.78	2.56	1.00
529	flank	20	20	4.63	12.15	3.56	1.00
530	freckle	18	18	0.59	5.61	2.20	1.00
532	gipsy	18	15	0.16	10.40	3.00	0.83
533	glutton	18	18	0.61	12.22	2.49	1.00
534	hump	18	18	4.41	6.11	1.64	1.00
535	inflated	20	20	0.51	9.50	3.09	1.00
537	turbid	19	12	0.04	15.83	5.97	0.63
538	multitude	20	20	0.57	10.80	3.09	1.00
539	nest	19	19	11.10	5.11	1.94	1.00
540	palate	18	18	0.98	11.72	3.36	1.00
541	poetry	18	18	13.37	8.11	2.49	1.00
542	scanty	21	18	0.02	13.67	4.04	0.86
543	shuttle	19	19	5.53	8.37	2.34	1.00
544	spicy	18	18	3.31	5.06	2.44	1.00
545	spruce	19	19	1.10	10.84	2.87	1.00
546	sucker	19	19	16.35	6.11	2.51	1.00
547	surface	21	21	18.24	8.86	2.65	1.00
549	copulate	19	13	0.25	13.00	3.00	0.68
550	dilute	19	19	0.37	12.11	3.14	1.00
551	dislocate	22	22	0.20	10.95	3.93	1.00
553	hew	20	16	0.16	12.69	4.17	0.80
554	hinder	20	20	0.73	11.10	3.49	1.00
555	infringe	19	18	0.14	14.56	4.00	0.95
557	offend	18	18	5.22	9.67	3.48	1.00
567	rebel	19	19	5.35	9.95	2.93	1.00
571	sting	19	19	7.02	6.21	3.26	1.00
572	strew	19	16	0.04	10.00	4.07	0.84
573	sway	19	19	2.53	9.58	2.34	1.00
574	transit	20	20	3.18	11.20	3.43	1.00
575	tread	20	20	2.27	8.75	2.49	1.00
576	dandruff	19	19	0.80	10.74	2.70	1.00
577	forefinger	19	19	0.27	7.26	2.73	1.00
578	kiss	18	18	121.16	3.61	2.25	1.00
579	battle	19	19	42.25	6.95	2.91	1.00
580	fur	18	18	8.27	5.22	2.05	1.00
582	lend	20	20	11.67	8.45	2.33	1.00
584	difficult	20	20	60.16	5.85	2.30	1.00
585	boot	18	18	11.14	3.89	1.84	1.00
586	garden	18	18	26.55	5.33	1.78	1.00
587	ant	19	19	5.35	4.32	1.57	1.00
590	naked	19	19	39.25	4.68	2.24	1.00
591	address	20	20	52.27	5.15	1.57	1.00
592	piss	18	18	23.59	7.56	3.26	1.00
593	potato	19	19	11.29	4.84	2.17	1.00
594	piece	19	19	124.49	4.89	1.70	1.00
597	physician	19	19	6.14	8.68	2.63	1.00
598	shell	18	18	13.22	5.22	1.96	1.00
600	strange	19	19	86.43	6.42	1.77	1.00
603	coat	19	19	42.08	3.58	1.22	1.00
604	glass	19	19	60.71	4.47	1.65	1.00
605	grain	18	18	4.76	7.44	2.41	1.00
606	grass	18	18	16.78	3.94	1.55	1.00
607	grasshopper	18	18	0.92	5.78	1.70	1.00
608	gulf	21	21	4.73	9.37	3.03	1.00
609	hail	20	20	12.02	7.90	2.02	1.00
610	port	19	19	14.53	9.32	3.22	1.00
611	harvest	20	20	3.82	7.40	2.33	1.00
612	heat	18	18	40.08	5.33	2.03	1.00
614	hill	19	19	37.55	3.47	1.47	1.00
615	horse	20	20	92.88	4.15	1.46	1.00
616	hospital	20	20	124.20	5.55	1.76	1.00
617	ice	21	21	79.55	3.86	1.06	1.00
618	precipice	19	16	0.49	11.94	3.28	0.84
619	animal	19	19	45.49	2.89	1.41	1.00
620	insect	20	20	3.16	4.75	1.83	1.00
621	iron	19	19	17.94	7.32	2.81	1.00
622	island	22	22	39.57	7.41	2.81	1.00
623	lagoon	19	19	1.59	9.42	2.34	1.00
624	lake	18	18	36.00	4.61	1.72	1.00
625	lamp	20	20	12.88	4.00	2.08	1.00
626	land	18	18	88.12	5.22	2.69	1.00
628	leaf	20	20	5.20	4.60	2.37	1.00
629	leather	20	20	13.59	7.25	1.86	1.00
631	livestock	18	18	2.00	7.89	3.12	1.00
632	lizard	19	19	4.84	5.42	2.48	1.00
633	market	19	19	36.24	7.16	2.43	1.00
634	meat	19	19	43.65	4.42	1.57	1.00
636	mill	18	18	9.53	8.17	2.62	1.00
637	moss	22	22	2.84	8.31	3.05	1.00
638	motorcycle	19	19	8.92	5.05	1.54	1.00
639	mountain	20	20	35.39	6.15	2.28	1.00
640	mud	20	20	14.82	4.05	1.61	1.00
641	mushroom	18	18	2.14	6.44	2.36	1.00
642	music	21	21	151.65	3.81	2.50	1.00
644	oak	20	20	5.61	7.35	1.79	1.00
645	ocean	19	19	30.29	4.74	2.38	1.00
646	ash	21	21	9.20	6.63	2.54	1.00
648	paper	18	18	103.35	4.00	1.28	1.00
649	pasture	18	18	1.53	6.33	2.14	1.00
650	petroleum	18	18	1.25	11.11	3.14	1.00
651	seal	19	19	14.75	5.42	1.87	1.00
652	plain	19	19	21.82	7.37	3.04	1.00
654	plastic	19	19	18.76	5.11	1.73	1.00
655	poison	19	19	24.55	5.58	1.43	1.00
656	police	19	19	236.16	5.05	1.96	1.00
657	price	20	20	53.37	7.35	2.78	1.00
659	reed	20	19	9.10	8.78	2.70	0.95
660	reef	18	18	4.00	9.72	2.19	1.00
661	religion	18	18	13.86	7.06	1.76	1.00
662	battery	19	19	12.41	5.58	2.48	1.00
663	bay	18	18	24.24	8.67	2.52	1.00
664	resin	18	15	0.59	12.07	2.79	0.83
665	bee	19	19	10.35	5.00	1.97	1.00
666	river	20	20	55.47	4.90	1.62	1.00
667	road	20	20	111.94	4.55	2.44	1.00
668	rock	18	18	86.16	3.22	1.17	1.00
669	rodent	19	19	1.80	6.95	2.20	1.00
670	root	18	18	10.47	5.94	2.15	1.00
671	sand	19	19	20.29	4.63	2.31	1.00
672	early	22	22	108.04	5.31	2.24	1.00
673	school	19	19	333.12	3.89	1.37	1.00
674	mouth	19	19	104.41	3.58	1.43	1.00
676	shit	19	19	474.65	6.53	2.91	1.00
677	axe	19	19	4.88	6.11	1.49	1.00
678	beard	19	19	12.61	4.84	1.80	1.00
679	bright	19	19	44.41	6.58	2.87	1.00
681	destroy	20	20	47.18	6.70	2.32	1.00
682	side	18	18	200.92	4.72	1.27	1.00
683	person	21	21	212.88	4.67	1.88	1.00
684	own	22	22	459.20	5.21	1.81	1.00
685	decide	20	20	50.41	7.20	2.57	1.00
686	easy	21	21	265.71	5.43	1.89	1.00
687	nothing	21	21	853.61	5.21	2.50	1.00
688	lung	19	19	8.24	7.16	2.34	1.00
689	between	21	21	175.14	5.47	2.21	1.00
690	bottom	18	18	49.92	5.28	2.08	1.00
691	season	19	19	31.47	6.05	1.81	1.00
692	bring	19	19	327.16	4.42	2.46	1.00
693	from	21	21	2039.06	4.44	2.24	1.00
694	get	18	18	4583.76	3.17	1.29	1.00
695	go	19	19	3793.04	3.37	1.46	1.00
696	stir	19	19	5.90	5.58	3.29	1.00
697	contain	1928	1922	6.08	7.88	2.57	1.00
698	wise	19	19	28.47	6.79	2.55	1.00
699	sad	21	21	63.37	3.24	2.21	1.00
700	carry	19	19	65.90	5.16	2.43	1.00
701	slow	20	20	76.02	4.15	1.76	1.00
702	catch	1928	1928	135.51	4.61	2.07	1.00
703	soon	21	20	257.65	4.83	1.88	0.95
704	clean	18	18	121.24	3.89	1.49	1.00
706	dark	19	19	88.61	3.74	1.37	1.00
707	remember	19	19	542.47	5.63	1.95	1.00
708	shine	19	19	20.65	5.79	2.12	1.00
709	teach	18	18	72.84	4.67	1.64	1.00
710	wheel	20	20	27.06	4.40	2.09	1.00
711	tall	19	19	32.33	4.95	3.24	1.00
712	rich	19	19	80.39	6.32	2.14	1.00
713	steal	18	18	53.33	6.17	2.09	1.00
714	seed	18	18	7.57	4.72	2.24	1.00
715	shout	18	18	16.45	4.72	1.49	1.00
716	groan	20	20	0.92	8.70	2.70	1.00
717	sweet	19	19	145.20	4.53	2.46	1.00
718	pay	18	18	254.61	5.50	1.76	1.00
719	find	18	18	830.96	5.78	3.89	1.00
721	low	20	20	59.14	4.70	1.22	1.00
722	attack	19	19	75.55	6.58	2.32	1.00
724	read	18	18	241.22	4.11	1.68	1.00
726	while	20	20	349.43	7.06	2.04	1.00
727	which	20	20	477.24	6.58	1.69	1.00
728	first	22	22	840.57	4.39	1.31	1.00
729	dawn	18	18	25.51	7.00	1.94	1.00
730	snake	20	20	22.35	5.10	2.47	1.00
733	earn	21	21	15.35	7.57	2.56	1.00
734	make	19	19	1387.75	4.68	1.77	1.00
735	owl	19	19	5.61	6.21	2.66	1.00
736	yard	18	18	25.06	3.94	1.70	1.00
738	thing	19	19	1088.67	4.58	1.61	1.00
739	feed	18	18	42.39	4.17	1.58	1.00
740	ship	18	18	98.88	5.33	2.06	1.00
741	drive	19	19	153.14	5.26	2.58	1.00
744	egg	19	19	26.04	3.89	1.85	1.00
745	shelf	18	18	6.96	5.50	2.23	1.00
746	shop	18	18	53.55	5.78	1.86	1.00
747	bicycle	19	19	6.61	4.26	1.45	1.00
749	enter	18	18	29.73	5.67	1.97	1.00
750	drop	19	19	130.61	3.26	1.33	1.00
751	shrub	18	18	0.27	8.06	2.88	1.00
752	store	21	21	81.92	4.76	1.92	1.00
754	hurry	18	18	173.65	4.44	1.85	1.00
755	deny	20	20	21.39	7.80	2.04	1.00
756	depend	18	18	9.88	8.50	2.81	1.00
757	button	18	18	28.25	4.78	2.07	1.00
758	heron	18	17	0.27	10.35	4.06	0.94
759	silver	19	19	31.75	6.21	2.55	1.00
760	knot	19	19	3.69	6.05	1.96	1.00
761	cover	19	19	94.27	5.42	2.95	1.00
762	outside	21	21	170.02	3.58	2.01	1.00
763	skin	21	21	44.04	4.48	1.69	1.00
764	suit	18	18	68.61	6.67	2.20	1.00
765	move	21	21	418.14	4.62	1.75	1.00
766	menstruation	18	18	0.27	10.39	2.17	1.00
767	corpse	19	19	10.10	10.00	2.92	1.00
768	lunch	18	18	104.12	3.61	1.69	1.00
769	roof	18	18	35.65	5.00	2.52	1.00
770	earring	18	18	2.71	7.17	2.43	1.00
771	hat	18	18	64.18	3.33	1.14	1.00
772	belt	21	21	24.35	4.62	2.09	1.00
773	have	18	18	6161.41	3.72	1.96	1.00
774	cabbage	18	18	2.90	5.78	2.02	1.00
775	trumpet	18	18	4.12	6.28	2.59	1.00
777	flute	19	19	2.12	8.47	2.22	1.00
779	part	19	19	261.51	5.11	1.15	1.00
