CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
118	00083288v	becharm, captivate, catch, bewitch	Attract; cause to be enamored
119	00087088v	dive	Plunge into water
120	00032067n	pitcher, ewer	An open vessel with a handle and a spout for pouring
121	00089137v	gyrate, reel, spin	Revolve quickly and repeatedly around one's own axis
122	00016292n	cart, handcart, pushcart	Wheeled vehicle that can be pushed by a person; may have one or two or four wheels
123	00013389n	forehead, brow	The part of the face above the eyes
124	00064326n	pricker, prickle, spikelet, thorn	A small sharp-pointed tip resembling a spike on a stem or leaf
125	00061748n	perspiration, sudor, sweat	Salty fluid secreted by sweat glands
127	00083675v	blow out, extinguish, quench	Put out, as of fires, flames, or lights
128	00090707v	mutter, maunder, mumble	Talk indistinctly; usually in a low voice
129	00084922v	choke, gag, strangle	Struggle for breath; have insufficient oxygen intake
131	00034150n	festival	A day or period of time set aside for feasting and celebration
132	00069350n	sauce	Flavorful relish or dressing or topping served as an accompaniment to food
133	00094990v	tissue, weave	Create a piece of cloth by interlacing strands of fabric, such as wool or cotton
134	00031485n	error, fault, mistake	A wrong action attributable to bad judgment or ignorance or inattention
135	00012152n	boomerang, throwing stick, throw stick	A curved piece of wood; when properly thrown will return to thrower
136	00043806n	here	The present location; this place
137	00020226n	coca, coca plant, Erythroxylon coca	A South American shrub whose leaves are chewed by natives of the Andes; a source of cocaine
138	00083166v	bathe	Cleanse the entire body
141	00084273v	burn, combust	Cause to burn or combust
143	00104400a	humid, moist, wet	Containing or characterized by a great deal of water vapor
144	00052556n	machine	Any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
145	00110928a	sorrowful	Experiencing or marked by or expressing sorrow especially that associated with irreparable loss- Proverbs 14:13
148	00047727n	itch, itchiness, itching	An irritating cutaneous sensation that produces a desire to scratch
149	00105497a	itchy	Causing an irritating cutaneous sensation; being affect with an itch
150	00095829v	worry	Be worried, concerned, anxious, troubled, or uneasy
151	00066322n	razor, shaving razor	Edge tool used in shaving
152	00044685n	hoof	The foot of an ungulate mammal
153	00103764a	gray, grayish, grey	Of an achromatic color of any lightness intermediate between the extremes of white and black
155	00084939v	chop, hack	Cut with a hacking tool
156	00098581a	red, blood-red, carmine	Of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
157	00087446v	dye	Color with dye
162	00089331v	hiccup, hiccough	Breathe spasmodically, and make a sound
163	00098480a	black	Being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
164	00048768n	kangaroo, macropod	Any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
165	00013504n	wallaby, brush kangaroo	Any of various small or medium-sized kangaroos; often brightly colored
166	00052858n	mainland	The main land mass of a country or continent; as distinguished from an island or peninsula
167	00052814n	mail	The bags of letters and packages that are transported by the postal service
168	00085719v	remain, stay, stay on, rest	Continue in a place, position, or situation
