NUMBER	GLOSS
1217	FATHER (noun)
1218	ROPE (noun)
1219	WORM (noun)
1220	TAIL (noun)
1221	NOSE (noun)
1223	HEART (noun)
1224	LIVER (noun)
1226	YEAR (noun)
1228	EARTH (SOIL) (noun)
1230	DIRTY (adjective)
1231	NEW (adjective)
1234	SMOOTH (adjective)
1235	WHO
1236	WHAT
1237	WHERE
1244	THICK (adjective)
1246	SMALL (adjective)
1247	EAR (noun)
1248	EYE (noun)
1251	BELLY (noun)
1252	HOUSE (noun)
1256	HEAD (noun)
1257	WING (noun)
1261	SING (verb)
1265	HIGH (adjective)
1267	NARROW (adjective)
1274	SALT (noun)
1277	HAND (noun)
1278	VOMIT (verb)
1283	TODAY
1286	HOT (adjective)
1287	COLD (OF TEMPERATURE) (adjective)
1292	BAD (adjective)
1295	STICK (noun)
1301	FOOT (noun)
1304	CHILD (YOUNG HUMAN) (noun)
1312	FOX (noun)
1313	MOON (noun)
1329	TOMORROW
1331	SHEEP (noun)
1333	NECK (noun)
1335	WHITE (adjective)
1336	EAT (verb)
1337	PIG (noun)
1339	MORNING (noun)
1343	SUN (noun)
1352	KNIFE (noun)
1355	LAUGH (verb)
1357	DAUGHTER (noun)
1371	KNEE (noun)
1380	TOOTH (noun)
1382	NEEDLE (FOR SEWING) (noun)
1392	LOUSE (noun)
1393	HORN (KERATINIZED SKIN) (noun)
1394	BONE (noun)
1395	ROUND (adjective)
1396	SHARP (adjective)
1398	DRY (adjective)
1400	THIN (SLIM) (adjective)
1401	DRINK (verb)
1402	BREAST (noun)
1403	BITE (verb)
1404	STRAIGHT (adjective)
1405	NAME (noun)
1406	FAR (adjective)
1408	HEAR (verb)
1409	SEE (verb)
1413	PLAY (verb)
1417	KILL (verb)
1418	DIG (verb)
1420	COUNT (verb)
1422	BE ALIVE (verb)
1423	FIGHT (verb)
1424	YELLOW (adjective)
1425	GREEN (adjective)
1428	BURNING (verb)
1429	FULL (adjective)
1430	STAR (noun)
1435	HUNT (verb)
1436	SCRATCH (verb)
1440	SPIT (verb)
1441	FLY (MOVE THROUGH AIR) (verb)
1442	STAND (verb)
1443	WALK (verb)
1446	COME (verb)
1447	GIVE (verb)
1448	HOLD (verb)
1452	PUSH (verb)
1454	WIPE (verb)
1455	PULL (verb)
1456	THROW (verb)
1474	SEA (noun)
1482	SHOULDER (noun)
1483	NINE
1485	BELOW OR UNDER
1486	PLANT (SOMETHING) (verb)
1489	CLOUD (noun)
1493	ONE
1494	DIE (verb)
1498	TWO
1500	FOUR
1502	GOAT (noun)
1507	FRUIT (noun)
1509	MOSQUITO (noun)
1513	THINK (BELIEVE) (verb)
1515	TEN
1519	RUN (verb)
1523	FORGET (verb)
1574	FLOAT (verb)
1585	SLEEP (verb)
1586	SMELL (PERCEIVE) (verb)
1606	INSIDE
1620	SON (noun)
1634	HUNDRED
1645	SHORT (adjective)
1703	SIX
1704	SEVEN
1705	EIGHT
1710	TWENTY
1725	CORRECT (RIGHT) (adjective)
1726	WET (adjective)
1732	SKY (noun)
1733	RAINBOW (noun)
1741	ABOVE
1803	WOOD (noun)
1839	CRY (verb)
1854	SPARROW (noun)
1856	SOFT (adjective)
1869	BUY (verb)
1884	HARD (adjective)
1886	ARMPIT (noun)
1927	BAMBOO (noun)
1937	THERE
1942	NEAR (adjective)
1977	DEW (noun)
2003	FLOW (verb)
2009	DOG (noun)
2026	RICE PLANT (noun)
2034	FROST (noun)
2106	MALE PERSON (noun)
2112	OLD (AGED)
2128	NAIL OR CLAW (noun)
2139	MUROID (MOUSE OR RAT) (noun)
2164	MARRY (AS MAN) (verb)
2194	FRONT (PART) (noun)
2248	KNOW (SOMEBODY) (verb)
2350	EARTHWORM (noun)
2374	DREAM (noun)
2376	HORIZONTAL (noun)
