SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
2461	WOLF-LIKE ANIMAL	narrower	522	WOLF
2461	WOLF-LIKE ANIMAL	narrower	2009	DOG
1620	SON	broader	1801	CHILD (DESCENDANT)
1620	SON	broader	2391	BOY OR SON
1402	BREAST	broader	2129	BREAST OR MILK
2135	TRADE OR BARTER	narrower	898	TRADE
2135	TRADE OR BARTER	narrower	370	BARTER
1520	CRUSH	broader	1033	GRIND
954	WELL	broader	2144	SPRING OR WELL
1277	HAND	broader	2121	ARM OR HAND
126	SWEAT (PERSPIRE)	producedby	125	SWEAT (SUBSTANCE)
126	SWEAT (PERSPIRE)	broader	2458	PERSPIRE OR SWEAT
2415	OLDER BROTHER (OF WOMAN)	broader	560	BROTHER (OF WOMAN)
1357	DAUGHTER	broader	1801	CHILD (DESCENDANT)
634	MEAT	broader	2615	FLESH OR MEAT
634	MEAT	narrower	2491	POULTRY MEAT
634	MEAT	broader	2096	ANIMAL OR MEAT
1587	SMELL (STINK)	broader	2124	SMELL
2436	GUTS OR HEART	narrower	1334	GUTS
2436	GUTS OR HEART	narrower	1223	HEART
1551	FEMALE	narrower	2262	FEMALE (OF ANIMAL)
1551	FEMALE	narrower	2260	FEMALE (OF PERSON)
1334	GUTS	narrower	1991	INTESTINES
680	BREAK (DESTROY OR GET DESTROYED)	narrower	2558	BREAK (CLEAVE)
51	SORE	broader	1109	WOUND
2021	GRASP	similar	855	SEIZE
2276	IDENTICAL	broader	1558	SIMILAR
2121	ARM OR HAND	narrower	1673	ARM
561	SISTER (OF MAN)	narrower	2418	OLDER SISTER (OF MAN)
561	SISTER (OF MAN)	narrower	2420	YOUNGER SISTER (OF MAN)
86	SIEVE	similar	940	STRAIN
857	STONE	broader	2125	STONE OR ROCK
125	SWEAT (SUBSTANCE)	broader	2458	PERSPIRE OR SWEAT
1758	OLDER SISTER	narrower	2418	OLDER SISTER (OF MAN)
1758	OLDER SISTER	narrower	2419	OLDER SISTER (OF WOMAN)
2455	DREAMING OR DREAM	narrower	2374	DREAM
2455	DREAMING OR DREAM	narrower	1920	DREAM (SOMETHING)
2387	UNCLE OR FATHER-IN-LAW	narrower	1327	UNCLE
2387	UNCLE OR FATHER-IN-LAW	narrower	1055	FATHER-IN-LAW
2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	broader	2176	MATERNAL AUNT
792	BOIL (OF LIQUID)	broader	2493	BOIL
1043	BRAID	similar	333	PLAIT
1725	CORRECT (RIGHT)	similar	1657	TRUE
1392	LOUSE	broader	2280	LOUSE OR NIT
1826	ANGRY	resultsin	2215	BECOME ANGRY
2414	OLDER BROTHER (OF MAN)	broader	559	BROTHER (OF MAN)
2481	FEMALE DOG	broader	2009	DOG
1726	WET	produces	28	MOISTEN
2104	HOLD OR TAKE	narrower	1749	TAKE
2104	HOLD OR TAKE	narrower	1448	HOLD
525	BLOOD VESSEL	narrower	1925	ARTERY
525	BLOOD VESSEL	narrower	1924	VEIN
1303	FINGER	broader	2120	FINGER OR TOE
2310	US (OBLIQUE CASE OF WE)	baseof	1212	WE
1199	WIFE	broader	2514	SPOUSE
1269	NO	similar	1240	NOT
1269	NO	broader	2279	NO OR NOT
1327	UNCLE	narrower	1985	FATHER'S BROTHER
281	POST	sameas	282	POLE
2479	FEMALE YAK	broader	2477	YAK
1383	GRANDFATHER	broader	2399	GRANDPARENT
1383	GRANDFATHER	narrower	2560	PATERNAL GRANDFATHER
1383	GRANDFATHER	narrower	2178	MATERNAL GRANDFATHER
2307	THIN (OF HAIR AND LEAF)	sameas	2249	THIN (OF SHAPE OF OBJECT)
434	SPIDER MONKEY	broader	1350	MONKEY
1297	LEG	narrower	471	UPPER LEG
1297	LEG	narrower	447	LOWER LEG
1297	LEG	broader	2098	FOOT OR LEG
1207	YOUNG	narrower	563	YOUNG (OF WOMAN)
1207	YOUNG	narrower	564	YOUNG (OF MAN)
1313	MOON	broader	2463	MOON OR MONTH
925	CASSAVA	sameas	927	MANIOC
769	ROOF	broader	2100	THATCH OR ROOF
2282	SEA OR OCEAN	narrower	1474	SEA
2515	CARABAO	broader	2516	WATER BUFFALO
2473	HIS (GENITIVE OF HE)	broader	2092	HIS OR HER
2574	BEAN OR PEA	narrower	832	BEAN
2574	BEAN OR PEA	narrower	2025	PEA
1507	FRUIT	narrower	904	BERRY
2096	ANIMAL OR MEAT	narrower	619	ANIMAL
