ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
183	BAKE	Food and drink	To cook (something) in an oven, but not in fat.	Action/Process	
184	MAST	Motion	Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.	Person/Thing	
185	FIREPLACE	The house	An open recess in a wall at the base of a chimney where a fire may be built.	Person/Thing	
186	SHIN	The body	The front part of the leg below the knee.	Person/Thing	
187	LOIN	The body	The part of the body (of humans and quadrupeds) each side of the backbone between the ribs and hips.	Person/Thing	
188	COMB OF BIRD	Animals	A fleshy growth on the top of the head of some birds.	Person/Thing	
189	HAIR (BODY)	The body	The terminal hair that develops on the human body during and after puberty.	Person/Thing	
190	MOW	Agriculture and vegetation	To cut all [the grass, crop or any thin plants] of a surface area of the ground.	Action/Process	
191	NUT	Food and drink	A hard-shelled seed.	Person/Thing	
192	CORNER	Spatial relations	The area around the point where two converging walls meet.	Person/Thing	
193	SHALLOW	Spatial relations	Having little depth.	Property	
194	FAMILY	Kinship	A group comprising parents, offsprings and others closely related or associated with them.	Person/Thing	
195	MAT	Basic actions and technology	A flat object laid on the floor to protect a person from the hard floor.	Person/Thing	
196	DONATE	Social and political relations	To give [a gift or award] in a formal manner.	Action/Process	
197	OTHER	Miscellaneous function words	The rest of a group of.	Other	
198	GENITALIA	The body	The sexual organs: the testicles and penis of a male; or the labia, clitoris, and vagina of a female.	Person/Thing	
199	FAMINE	Food and drink	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	Person/Thing	
200	SAME	Miscellaneous function words	Bearing full likeness by having precisely the same set of characteristics.	Other	
201	FARM	Agriculture and vegetation	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.	Person/Thing	
202	STRENGTH	The body	Muscular capacity to modify the speed of an external physical object, to deform it or to oppose another force.	Person/Thing	
203	MARRY	Kinship	To enter marriage; to take a husband or a wife.	Action/Process	
204	AGAIN	Time	Once more.	Other	
205	TROUGH	The house	A long, narrow container, open on top, for feeding or watering animals.	Person/Thing	
206	FIREFLY	Animals	A nocturnal, bioluminescent beetle of the family Lampyridae.	Person/Thing	
207	SPARSE	Quantity	Occupied or populated by a small number of people.	Property	
208	NASAL MUCUS (SNOT)	The body	Mucus from the nose.	Person/Thing	
209	RARE	Possession	Not easily found.	Property	
210	LIFE	The body	The time between birth or conception and death.	Person/Thing	
211	CAST	Basic actions and technology	To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.	Action/Process	
212	FIELD	Agriculture and vegetation	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	Person/Thing	
213	FIN	Animals	An appendage of a fish used for swimming.	Person/Thing	
214	STRETCH	Basic actions and technology	To lengthen by pulling.	Action/Process	
215	LIE DOWN	Spatial relations	(For a human or animal) to assume a horizontally extended position on a surface.	Action/Process	
216	MOVIE	Modern world	A sequence of animated images.	Person/Thing	
217	BETELNUT	Agriculture and vegetation	The seed of the areca palm (Areca catechu).	Person/Thing	
218	FINE (PENALTY)	Law	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.	Person/Thing	
219	TOILET	Modern world	A room equipped with a toilet for urinating and defecating.	Person/Thing	
220	INTACT	Basic actions and technology	That has not been impaired or altered; lacking nothing essential, especially not damaged	Property	
221	FIRE	The physical world	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	Person/Thing	
