ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
908	DRUM	Speech and language	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.	Person/Thing	
909	GARBAGE	Modern world	Unwanted or undesired material, usually discarded.	Person/Thing	
910	DEATH	The body	The end of life.	Person/Thing	
911	TEMPLE	Religion and belief	A house of worship and spiritual activities.	Person/Thing	
912	COYOTE	Animals	(Canis latrans) A member of the Canidae family native to North America.	Person/Thing	
913	CROW	Animals	A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.	Person/Thing	
914	SCULPTOR	Basic actions and technology	a person who practices the art of sculpture.	Person/Thing	
915	SINK (BASIN)	Modern world	A bowl for washing hands, dishwashing or other purposes, often affixed to a wall.	Person/Thing	
916	LINEN	Clothing and grooming	A material made from the fibers of the flax plant.	Person/Thing	
917	ORNAMENT	Clothing and grooming	An element of decoration.	Person/Thing	
918	INCLINATION	Emotions and values	A likelihood of behaving in a particular way or going in a particular direction.	Person/Thing	
919	CHILI PEPPER	Food and drink	Any fruit of a plant of the botanical genus Capsicum, noted for their spicy and burning flavour due to presence of capsaicin.	Person/Thing	
920	GRAPE	Food and drink	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.	Person/Thing	
921	VALLEY	The physical world	Any low-lying land bordered by higher ground; especially an elongate, relatively large, gently sloping depression of the Earth's surface, commonly situated between two mountains or between ranges of hills or mountains, and often containing a stream with an outlet.	Person/Thing	
922	PEAR	Agriculture and vegetation	A fruit produced by the pear tree.	Person/Thing	
923	LOVE	Emotions and values	To have an intense feeling of affection and care towards another person.	Action/Process	
924	VEGETABLES	Food and drink	Any of various herbaceous plants having parts that are used as food.	Person/Thing	
925	CASSAVA	Agriculture and vegetation	A starchy pulp made with the roots of the cassava plant.	Person/Thing	
926	RICE	Agriculture and vegetation	Seeds of the rice plant (Oryza sativa) used as food.	Person/Thing	
927	MANIOC	Agriculture and vegetation	Shrub (Manihot esculenta) whose roots are rich in starch	Person/Thing	925
928	EMBRACE	Emotions and values	To squeeze someone in one's arms.	Action/Process	
929	VERMIN	Animals	Small animals and insects that can be harmful and which are difficult to control when they appear in large numbers. (Source: CAMB)	Person/Thing	
930	VILLAGE	Social and political relations	A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.	Person/Thing	
931	MILLET	Agriculture and vegetation	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.	Person/Thing	
932	BARLEY	Agriculture and vegetation	A strong cereal of the genus Hordeum, or its grains, often used as food or to make malted drinks.	Person/Thing	
933	WALL (OF HOUSE)	The house	The outer structure which encloses a building.	Person/Thing	
934	BUFFALO	Animals	A wild heavy bison of the species Bison bison, having a broad massive horned head.	Person/Thing	
935	WAR	Warfare and hunting	A conflict or a state of hostility between two or more parties, nations or states, in which armed forces or military operations are used.	Person/Thing	
936	STALLION	Animals	An uncastrated male horse.	Person/Thing	
937	BIRD	Animals	Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.	Person/Thing	
938	MARE	Animals	An adult female horse.	Person/Thing	
939	HORN (INSTRUMENT)	Speech and language	A wind instrument made of a wound copper tube with a wide sound bucket and valves.	Person/Thing	
940	STRAIN	Food and drink	To separate or isolate components from a liquid with the help of a filter.	Action/Process	
941	MEAD	Food and drink	Wine made of honey.	Person/Thing	
942	HONEY	Food and drink	A viscous, sweet substance produced from nectar or honeydew by bees.	Person/Thing	
943	WATERFALL	The physical world	A perpendicular or steep descent of the water of a stream.	Person/Thing	
944	SALMON	Animals	One of several species of fish of the Salmonidae family.	Person/Thing	
945	SPEAR	Warfare and hunting	a long, stabbing weapon for thrusting or throwing, consisting of a wooden shaft to which a sharp-pointed head, as of iron or steel, is attached.	Person/Thing	
946	BLOOD	The body	A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.	Person/Thing	
947	STREAM	The physical world	A small river or large creek; a body of moving water confined by banks.	Person/Thing	
948	WATER	The physical world	Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.	Person/Thing	
949	WATER LEECH	Animals	A worm-like creature that lives in water and sucks blood from animals.	Person/Thing	
950	SEAGULL	Animals	A seabird of the genus Larus or of the family Laridae.	Person/Thing	
951	WEAPONS	Warfare and hunting	An instrument of attack or defense in combat, as a gun, missile, or sword.	Person/Thing	
952	WEATHER	The physical world	The day-to-day meteorological conditions, especially temperature, cloudiness, and rainfall, affecting a specific place.	Person/Thing	
953	RAPE	Law	The act of forcing sexual intercourse or other sexual activity upon another person against their will.	Person/Thing	
954	WELL	The physical world	A hole dug into the earth to reach a supply of water, oil, brine or gas.	Person/Thing	
955	GREASY	Food and drink	Smeared or soiled with grease or oil.	Property	
956	FLEE	Motion	Leaving a dangerous or unpleasant situation.	Action/Process	
957	WHALE	Animals	Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures.	Person/Thing	
958	WILD ANIMAL	Animals	A non-domesticated animal living independently of man.	Person/Thing	
959	WAGON	Motion	A wheeled vehicle, generally drawn by horse power.	Person/Thing	122
960	WIND	The physical world	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.	Person/Thing	
961	PEBBLES	The physical world	Small stone abraded by water.	Person/Thing	
962	WOMAN	Kinship	An adult human member of the sex that produces ova and bears young.	Person/Thing	
963	BOOK	Speech and language	A collection of leaves of paper, parchment or other material, usually bound or fastened together within covers, containing writing of any type or blank pages for future inscription.	Person/Thing	
964	WOOL	Clothing and grooming	The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.	Person/Thing	
965	WORLD	The physical world	The Earth with all its inhabitants and all things upon it.	Person/Thing	
966	BRAKE	Modern world	Decelerate using a mechanical device.	Action/Process	
967	YEAST	Food and drink	Many species of unicellular fungi, most of which belong to the Ascomycetes and reproduce by budding. The genus Saccharomyces is used in brewing and winemaking because in low oxygen concentration it produces zymase, an enzyme system that breaks down sugars to alcohol and carbon dioxide. Saccharomyces is also used in bread-making. Some yeasts are used as a source of protein and of vitamins of the B group. (Source: ALL)	Person/Thing	
968	ACORN	Agriculture and vegetation	Fruit of the oak tree.	Person/Thing	
969	CIGARETTE	Modern world	A product manufactured out of cured and finely cut leaves, which are rolled or stuffed into a paper-wrapped cylinder for smoking.	Person/Thing	
970	COCONUT	Agriculture and vegetation	The large hard-shelled oval nut with a fibrous husk of the cocos palm.	Person/Thing	
971	MUST	Basic actions and technology	To be required to do something.	Action/Process	
972	BE ABLE	Basic actions and technology	To have the ability to do something	Action/Process	
973	NOODLE	Food and drink	A string or strip of pasta, especially as used in Chinese and Italian cookery.	Person/Thing	
974	TOBACCO	Agriculture and vegetation	Leaves of certain varieties of the tobacco plant, cultivated and harvested to make cigarettes, cigars, snuff, for smoking in pipes or for chewing.	Person/Thing	
975	SPINACH	Food and drink	An important leaf vegetable, grown throughout the temperate regions of the world.	Person/Thing	
976	WEAR	Clothing and grooming	Fix clothes on your body and carry them.	Action/Process	
977	ARROW	Warfare and hunting	Pointed projectile that is shot with a bow.	Person/Thing	
978	WAVE	The physical world	A disturbance in an fluid medium.	Person/Thing	
979	FARMER	Agriculture and vegetation	A person who works the land or who keeps livestock, especially on a farm.	Person/Thing	
980	HEEL	The body	The part of the foot on the backside where it becomes the leg.	Person/Thing	
981	ELBOW	The body	The joint between arm and forearm.	Person/Thing	
982	LIME (FRUIT)	Agriculture and vegetation	A green citrus fruit	Person/Thing	
983	CONVICT	Law	To find guilty of a crime as a result of legal proceedings.	Action/Process	
984	WORK (LABOUR)	Basic actions and technology	Productive activity, service, trade, or craft for which one is regularly paid.	Person/Thing	
985	VINEGAR	Food and drink	A sour liquid formed by the fermentation of alcohol with acetic acid bacteria used as a condiment or preservative.	Person/Thing	
986	TOMATO	Food and drink	The savoury fruit of the Solanum lycopersicum, red when ripe.	Person/Thing	
987	REMAIN	Spatial relations	To continue to be in the same place or state.	Action/Process	
988	ACQUIT	Law	To pronounce not guilty of criminal charges.	Action/Process	
989	CLEAR	Cognition	Free of ambiguity or doubt.	Property	
990	CREEK (TIDAL)	The physical world	A narrow inlet or bay, especially of the sea.	Person/Thing	
991	FRY	Food and drink	To cook in hot fat.	Action/Process	
992	CLIFF	The physical world	A steep coastal declivity which may or may not be precipitous, the slope angle being dependent partly on the jointing, bedding and hardness of the materials from which the cliff has been formed, and partly on the erosional processes at work.(Source: WHIT)	Person/Thing	
993	RIVER BED	The physical world	The channel containing or formerly containing the water of a river.	Person/Thing	
994	BOW	Warfare and hunting	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows.	Person/Thing	
995	QUIVER	Warfare and hunting	A container for arrows, crossbow bolts or darts, such as those fired from a bow, crossbow or blowgun.	Person/Thing	52
996	DEAF	The body	Not having the faculty of hearing, or only having a restricted capability to hear.	Property	
997	BAOBAB TREE	Agriculture and vegetation	Genus of big trees (Adansonia) from the mallow family, growing in tropical countries	Person/Thing	
998	PUT	Spatial relations	To set or place an object somewhere.	Action/Process	
999	JOINT	The body	Any part of the body where two bones join.	Person/Thing	
1000	ANXIETY	Emotions and values	An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.	Person/Thing	
1001	BLACKSMITH	Basic actions and technology	A craftsman expert in iron and other metals work.	Person/Thing	
1002	STATUE	Basic actions and technology	A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.	Person/Thing	
1003	PERMIT	Social and political relations	To give permission to an action.	Action/Process	
1004	MUSCLE	The body	An organ formed by contractile tissue that moves other organs.	Person/Thing	
1005	TWINS	Kinship	A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.	Person/Thing	
1006	BRICK	The house	A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.	Person/Thing	
1007	COW	Animals	Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.	Person/Thing	
1008	BULL	Animals	Male bovine animal.	Person/Thing	
1009	CHESTNUT TREE	Agriculture and vegetation	Any north temperate fagaceous tree of the genus Castanea, such as Castanea sativa, which produce flowers in long catkins and nuts in a prickly bur.	Person/Thing	
1010	BOUNDARY	Social and political relations	The dividing line or location between two areas.	Person/Thing	
1011	BRIDGE	Motion	A structure that spans and provides a passage over a road, railway, river, or some other obstacle.	Person/Thing	
1012	LATCH	The house	A fastening for a door that has a bar that fits into a notch or slot, and is lifted by a lever or string from either side.	Person/Thing	
1013	FRESHWATER EEL	Animals	A snaky edible fish, which lives in freshwater and in the sea.	Person/Thing	
1014	OR	Cognition	[Conjunction that indicates an alternative.]	Other	
1015	SOIL	The physical world	To make filthy.	Action/Process	
1016	DRIZZLE	The physical world	Fine, light rain.	Person/Thing	
1017	APPEARANCE	The body	The outward or visible aspect of a person or thing.	Person/Thing	
1018	MEMORY	Cognition	The ability of an organism to record information combined with the facility of recall.	Person/Thing	
1019	RIGHT	Spatial relations	Something that is on the right side relative to another object.	Property	
1020	HANDKERCHIEF	Clothing and grooming	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.	Person/Thing	
1021	TOWEL	Clothing and grooming	Piece of absorbent fabric or paper used for drying or wiping.	Person/Thing	
1022	BOOTY	Warfare and hunting	Profits from burglary, looting and raids.	Person/Thing	
1023	STUMP OF TREE	Agriculture and vegetation	The short piece left over after cutting off the most part.	Person/Thing	
1024	CHARACTER	Speech and language	A symbol used to represent a sound or a word.	Person/Thing	
1025	WHISTLE	Speech and language	To make a sound or a melody by forcing the breath out between closed lips.	Action/Process	
1026	LOW TIDE	The physical world	the tide at the point of maximum ebb.	Person/Thing	
1027	BUG	Animals	Any of the suborder Heteroptera, having piercing and sucking mouthparts, specialized as a beak. (Source: CED)	Person/Thing	
1028	YAWN	The body	To open the mouth widely and take a long, deep breath because of tiredness or boredom.	Action/Process	
1029	JEWEL	Clothing and grooming	A precious stone such as a diamond, a sapphire or an agate.	Person/Thing	
1030	NECESSARY	Cognition	Needed for a purpose or a reason.	Other	
1031	ON PURPOSE	Emotions and values	(Doing or feeling something) in a deliberate or controlled way.	Other	
1032	CITIZEN	Social and political relations	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.	Person/Thing	
1033	GRIND	Food and drink	To break something into small pieces by pressing it flat, or grinding it to powder.	Action/Process	
1034	DEFENDANT	Law	Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court.	Person/Thing	
1035	GOOD	Emotions and values	Having desired or positive qualities.	Property	
1036	OWNER	Possession	One who owns.	Person/Thing	
1037	ELF	Religion and belief	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.	Person/Thing	
1038	TEACHER	Cognition	A person who passes on knowledge, especially one employed in a school.	Person/Thing	
1039	SHOW	Sense perception	To have somebody see something.	Action/Process	
1040	HAIR	The body	The hair on humans, usually on the head but also including the hair on the body.	Person/Thing	
1041	INCREASE	Basic actions and technology	(Of a quantity) to become bigger.	Action/Process	
1042	CARPENTER	Basic actions and technology	Artisan who works with wood.	Person/Thing	
1043	BRAID	Clothing and grooming	A hair style formed by interweaving three or more strands of hair.	Person/Thing	
1044	PILLOW	The house	Cushion placed under the head for sleeping.	Person/Thing	
1045	POET	Speech and language	A person who writes poems.	Person/Thing	
1046	SHUT	Spatial relations	To move (a door, a window, etc.) so that it closes its opening.	Action/Process	
1047	PURSUE	Motion	Trying to achieve, to catch, or to reach something or someone.	Action/Process	
1048	LINE	Spatial relations	An infinitely long, infinitely thin, not bent line in geometry.	Person/Thing	
1049	MOLAR TOOTH	The body	A tooth located in the back of the mouth used for crushing and grinding food.	Person/Thing	
1050	MOTHER-IN-LAW	Kinship	The mother of someone's spouse.	Person/Thing	
1051	CAN	Modern world	A small, round-shaped metal container, used for different purposes like storing food or liquids, or collecting money.	Person/Thing	
1052	LIGHT (WEIGHT)	Sense perception	With a small mass, little weight or density; the opposite of heavy.	Property	
1053	HUNTER	Warfare and hunting	A person who hunts game.	Person/Thing	
1054	SMALLPOX	The body	A highly contagious viral disease characterized by fever and weakness and skin eruption with pustules that form scabs that slough off leaving scars.	Person/Thing	
1055	FATHER-IN-LAW	Kinship	The father of someone's spouse.	Person/Thing	
1056	SON-IN-LAW	Kinship	The husband of someone's daughter.	Person/Thing	
1057	DAUGHTER-IN-LAW	Kinship	The wife of someone's son.	Person/Thing	
1058	STEPDAUGHTER	Kinship	The daughter of one's spouse and his or her previous partner.	Person/Thing	
1059	STEPSON	Kinship	The son of one's spouse and his or her previous partner.	Person/Thing	
1060	CHILD-IN-LAW	Kinship	The spouse of someone's child.	Person/Thing	
1061	ARMOUR	Warfare and hunting	Clothing that soldiers wear to protect themselves during combat. Historically made of leather or metal, today special materials like kevlar are used.	Person/Thing	
1062	LAW	Law	A body of rules of action or conduct prescribed by a legislative authority, and having binding legal force.	Person/Thing	
1063	NEPHEW	Kinship	A child of someone's brother or sister.	Person/Thing	
1064	SHIELD	Warfare and hunting	A large plate made of metal or wood, held in the left hand during melee combat to protect the body from incoming attacks.	Person/Thing	
1065	SPIDER WEB	Animals	A fine net of threads woven by a spider to catch insects	Person/Thing	
1066	CRIME	Modern world	Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public. (Source: BLACK)	Person/Thing	
1067	JUDGMENT	Law	The official and authentic decision of a court of justice upon the respective rights and claims of the parties to an action or suit therein litigated and submitted to its determination, the final decision of the court resolving the dispute and determining the rights and obligations of the parties.	Person/Thing	
1068	COURT	Law	An organ of the government, belonging to the judicial department, whose function is the application of the laws to controversies brought before it and the public administration of justice.	Person/Thing	
1069	GLUE	Basic actions and technology	Substance used for sticking objects together.	Person/Thing	
1070	BUS	Modern world	A large, long-bodied motor vehicle equipped with seating for passengers, usually operating as part of a scheduled service.	Person/Thing	
1071	HOOK	Spatial relations	A rod bent into a curved shape, for catching, holding, or sustaining anything.	Person/Thing	
1072	PRISONER	Warfare and hunting	A person confined in a prison, while on trial or serving a sentence.	Person/Thing	
1073	CAPTIVE	Warfare and hunting	A person held against his will.	Person/Thing	1072
1074	FISHHOOK	Warfare and hunting	A metal hook for catching fish.	Person/Thing	
1075	TRAP (PITFALL)	Warfare and hunting	A device for catching and holding animals.	Person/Thing	
1076	EMERGE (APPEAR)	Basic actions and technology	To become known or apparent.	Action/Process	
1077	WHEAT	Agriculture and vegetation	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).	Person/Thing	
1078	MAIN	Cognition	The most important element.	Other	
1079	FEEL	Sense perception	To be in some emotional state.	Action/Process	
1080	VULGAR	Emotions and values	Rude and likely to offend, using allusions on the sexual level.	Property	
1081	BILL	Possession	Sum owed in a restaurant, or the relative bill.	Person/Thing	
1082	MERCHANT	Possession	A businessperson engaged in trade.	Person/Thing	
1083	MESS	The physical world	A state of confusion and disorderliness.	Person/Thing	
1084	CALL	Speech and language	To address or summon someone.	Action/Process	
1085	FOLLOW	Motion	To go or come after (in physical space) someone or something.	Action/Process	
1086	WORK (ACTIVITY)	Basic actions and technology	To do a specific task by employing physical or mental powers.	Action/Process	
1087	CONCEIVE	The body	To become pregnant.	Action/Process	
1088	SINK (DESCEND)	Motion	To go down in water, mud, quicksand etc. or to cause something to go down in it.	Action/Process	
1089	FRAXINUS	Agriculture and vegetation	Any of the trees belonging to the genus Fraxinus.	Person/Thing	
1090	BE BORN	The body	To start living.	Action/Process	
1091	SALTY	Sense perception	Containing salt.	Property	
1092	HOPE	Emotions and values	To want something to happen or the belief in the possibility that something one wants will happen.	Action/Process	
1093	MIDDLE	Spatial relations	What is equally far away from two ends or being in that position.	Other	
1094	FASTEN	Basic actions and technology	Tighten and close, for example a belt.	Action/Process	
1095	LET GO OR SET FREE	Possession	To give freedom; to stop holding; to release from confinement or restraint.	Action/Process	
1096	SONG	Modern world	A musical piece with lyrics (or “words to sing”); prose that one can sing.	Person/Thing	
1097	ABANDON	Motion	To give up control of, to surrender something.	Person/Thing	
1098	WEIGH	Possession	To determine the weight of an object.	Action/Process	
1099	RESIDE	The house	To have permanent residence.	Action/Process	363
1100	COOK (SOMETHING)	Food and drink	To prepare a meal or a single dish.	Action/Process	
1101	SUFFER	The body	To physically feel a damage, a pain, a disease or a punishment.	Action/Process	
1102	CLIMB	Motion	To mount to a high or little accessible place using feet and hands, e.g. a tree, a mountain or a ladder.	Action/Process	
1103	SACRIFICE	Religion and belief	Something surrendered or lost in order to gain an objective.	Person/Thing	
1104	NURSE	Modern world	A person trained to provide care for the sick.	Person/Thing	
1105	CAMP	The house	Tents, cabins, etc., used as temporary lodgings by a group of travellers, holiday-makers, Scouts, Gypsies, etc.	Person/Thing	
1106	FALL ASLEEP	The body	To go to sleep; to change from waking state to sleeping state.	Action/Process	
1107	GO OUT	Motion	To move out of or depart from.	Action/Process	
1108	UNCOVER	Basic actions and technology	To uncover; to show and display that which was hidden.	Action/Process	
1109	WOUND	The body	A type of injury in which in skin or tisue is torn, cut,  punctured or otherwise hurt.	Person/Thing	
1110	SHARK	Animals	A scaleless fish with a cartilaginous skeleton that has 5 to 7 gill slits on each side of its head.	Person/Thing	
1111	CAR	Modern world	A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.	Person/Thing	
1112	SUCCEED	Cognition	To attain a desired goal.	Action/Process	
1113	WRAP	Motion	To surround on all sides.	Action/Process	
1114	BULLET	Warfare and hunting	A projectile, usually of metal, shot from a gun at high speed.	Person/Thing	
1115	SPEECH	Speech and language	An address or form of oral communication in which a speaker makes his thoughts and emotions known before an audience, often for a given purpose. (Source: RHW)	Person/Thing	
1116	DAMAGE	Possession	To put a thing in bad condition by causing damage to it.	Action/Process	
1117	LIKE	Emotions and values	To enjoy, be in favor/favour of.	Action/Process	
1118	ACCUSTOM	Basic actions and technology	Get used to something.	Action/Process	
1119	DIVIDE	Spatial relations	To split or separate something into two or more parts.	Action/Process	
1120	HONEST	Emotions and values	Not disposed to cheat or defraud.	Property	
1121	SECRET	Cognition	Being or kept hidden from public perception.	Property	
1122	WAGES	Possession	A fixed amount of money paid to a worker, usually measured on a monthly or annual basis.	Person/Thing	
1123	PREGNANT	The body	Carrying developing offspring within the body.	Property	
1124	PIPE	Agriculture and vegetation	A device consisting of a mouthpiece, a long pipe stem and a pipe bowl, that is used to smoke tobacco.	Person/Thing	
1125	BALD	The body	Without hair on the head.	Property	
1126	CITRUS FRUIT	Agriculture and vegetation	The fruits of a plant in the citrus genus. They have a leathery rind surrounding segments filled with pulp vesicles.	Person/Thing	
1127	SEND	Motion	To make something (an object, a message) go from one place to another.	Action/Process	
1128	ORDER	Social and political relations	To express as instruction to be executed by the receiver, in accordance with an authority acknowledged by him.	Action/Process	
1129	PAINFUL	Sense perception	Full of pain; causing uneasiness or distress, either physical or mental.	Property	
1130	WE (EXCLUSIVE)	Kinship	exclusive “we”: I and at least one other person, but not the addressed person (you) (pronoun 1st person plural without 2nd person)	Other	
1131	WE (INCLUSIVE)	Kinship	inclusive “we”: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person)	Other	
1132	BEAM	The house	A structural member loaded on its narrow face, and typically used in a horizontal or sloping position to span between bearing points.	Person/Thing	
1133	MATCH	The physical world	A stick with inflammable substance on one end that can be set on fire by friction.	Person/Thing	
1134	DIVORCE	Kinship	Legal dissolution of a marriage.	Person/Thing	
1135	KICK	Motion	To strike somebody or something with the foot.	Action/Process	
1136	RABBIT	Animals	One of several small mammals of the family Leporidae, with long ears, long hind legs and a short, fluffy tail.	Person/Thing	
1137	TENDON	The body	Tissue that connects muscle to bone.	Person/Thing	
1138	FAIRY	Religion and belief	One of a class of female supernatural beings, generally conceived as having a diminutive human form and possessing magical powers.	Person/Thing	
1139	LEOPARD	Animals	A large wild cat with a spotted coat, Panthera pardus, indigenous to Africa and Asia.	Person/Thing	
1140	FATIGUE	The body	A state of physical and/or mental weakness and a lack of vigor.	Person/Thing	
1141	PITY	Emotions and values	Deep awareness of the suffering of another, coupled with the wish to relieve it.	Person/Thing	
1142	URINE	The body	Liquid excrement consisting of water, salts and urea, which is made in the kidneys, stored in the bladder, then released through the urethra.	Person/Thing	
1143	OVEN	Food and drink	An enclosed heated compartment usually lined with a refractory material used for baking or drying substances, firing ceramics, heat-treating, etc.	Person/Thing	
1144	WITNESS	Law	Someone who has a personal knowledge of something.	Person/Thing	
1145	SWAMP	The physical world	A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates.	Person/Thing	
1146	AUBERGINE	Food and drink	An Asian plant, Solanum melongena, cultivated for its edible purple, green, or white ovoid fruit.	Person/Thing	
1147	PURE	Miscellaneous function words	Free from contaminants or extraneous elements.	Property	
1148	BRUISE	The body	A collection of blood in the body tissue outside the blood vessels	Person/Thing	
1149	ORPHAN	Kinship	A person one or both of whose parents have died, especially a minor.	Person/Thing	
1150	THUNDER	The physical world	Sound produced by fast air expansion induced by a lightning.	Person/Thing	
1151	VEIL	Clothing and grooming	A head covering.	Person/Thing	
1152	BEGET	The body	(especially of a male parent) to procreate or generate.	Action/Process	
1153	CATTLE	Animals	Domesticated bovine animals, including cows, steers and bulls, raised and bred on a ranch or farm.	Person/Thing	
1154	OLIVE	Food and drink	The small oval fruit of the olive tree, Olea europaea.	Person/Thing	
1155	CAVE	The physical world	1) An underground hollow with access from the ground surface or from the sea, often found in limestone areas and on rocky coastlines.2) A natural cavity, chamber or recess which leads beneath the surface of the earth, generally in a horizontal or obliquely inclined direction. It may be in the form of a passage or a gallery, its shape depending in part on the joint pattern or structure of the rock and partly on the type of process involved in its excavation. Thus, caves worn by subterranean rivers may be different in character from, and of considerably greater extent than, a sea-cave eroded by marine waves.3) A natural underground open space, generally with a connection to the surface and large enough for a person to enter. The most common type of cave is formed in a limestone by dissolution. (Source: CED /  WHIT /  BJGEO)	Person/Thing	
1156	OPEN	Spatial relations	To make the inside something accessible by moving an obstacle aside (e.g. a door or covering), or to move said obstacle.	Action/Process	
1157	BECAUSE	Cognition	conjunction initiating a causal phrase.	Other	
1158	STEP	The house	A flat surface or support that facilitates the ascent or descent of a stairway or step-ladder.	Person/Thing	
1159	FART	The body	To emit digestive gases through the anus.	Action/Process	
1160	THIEF	Law	Someone who takes property belonging to someone else with the intention of keeping it or selling it.	Person/Thing	
1161	THREAD	Clothing and grooming	A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.	Person/Thing	
1162	INTENTION	Cognition	An anticipated outcome that is intended to obtain or that guides your planned actions.	Person/Thing	
1163	BRIBE (AMOUNT)	Possession	Something (usually money) given in exchange for influence or as an inducement to dishonesty.	Person/Thing	
1164	BRIBE (SOMEBODY)	Social and political relations	To give, or offer a bribe.	Action/Process	
1165	MOUSTACHE	The body	A growth of facial hair between the nose and the upper lip.	Person/Thing	
1166	MOULD	Basic actions and technology	A frame or model around or on which something is formed or shaped.	Person/Thing	
1167	GRUEL	Food and drink	A hot breakfast cereal dish made from oatmeal, milk and, or water heated and stirred until thick.	Person/Thing	
1168	HAWTHORN	Agriculture and vegetation	Any of various shrubs and small trees of the genus Crataegus having small, apple-like fruits and thorny branches.	Person/Thing	
1169	OX	Animals	A castrated bull.	Person/Thing	
1170	TRAP (CATCH)	Warfare and hunting	To catch in a trap, to immobilize.	Action/Process	
1171	MIRROR	Clothing and grooming	A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.	Person/Thing	
1172	SHOOT	Warfare and hunting	To fire a shot from a firearm, bow or other weapon.	Action/Process	
1173	EYEBROW	The body	The hair that grows over the bone ridge above the eye socket.	Person/Thing	
1174	YESTERDAY	Time	The day before today.	Other	
1175	GHOST	Religion and belief	The visible disembodied soul of a dead person.	Person/Thing	
1176	SPADE	Agriculture and vegetation	Tool having a flat and sharp metal tip and a wooden handle used to break, dig and move the earth.	Person/Thing	
1177	DIARREA	The body	A condition in which the sufferer has frequent and watery bowel movements.	Person/Thing	
1178	NOSTRIL	The body	Either of the two orifices located on the nose (or on the beak of a bird); used as a passage for air and other gases to travel the nasal passages.	Person/Thing	
1179	DAY AFTER TOMORROW	Time	On the day following tomorrow.	Other	
1180	DAY BEFORE YESTERDAY	Time	On the day before yesterday.	Other	
1181	PALM TREE	Agriculture and vegetation	Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics.	Person/Thing	
1182	NOISE	Sense perception	Sound which is unwanted, either because of its effects on humans, its effect on fatigue or malfunction of physical equipment, or its interference with the perception or detection of other sounds.	Person/Thing	
1183	PALM OF HAND	The body	The inner and somewhat concave part of the human hand that extends from the wrist to the bases of the fingers.	Person/Thing	
1184	DIMINISH	Basic actions and technology	To make smaller.	Action/Process	
1185	VULTURE	Animals	Any of several carrion-eating birds of the families Accipitridae and Cathartidae.	Person/Thing	
1186	LAST (ENDURE)	Time	To endure, continue over time.	Action/Process	
1187	GOOSE	Animals	Waterfowl of the Anatidae family.	Person/Thing	
1188	CHARCOAL	The physical world	A porous solid product containing 85-98% carbon and produced by heating carbonaceous materials such as cellulose, wood or peat at 500-600 C° in the absence of air. (Source: MGH)	Person/Thing	
1189	ULCER	The body	An open sore of the skin, eyes or mucous membrane, often caused by an initial abrasion and generally maintained by an inflammation and/or an infection.	Person/Thing	
1190	HARE	Animals	Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly.	Person/Thing	
1191	COOKED RICE	Food and drink	Boiled rice.	Person/Thing	
