ID	GLOSS	FREQUENCY
1422	BE ALIVE	70
1219	WORM	69
1218	ROPE	69
1200	HUSBAND	69
1453	WASH	68
1419	FEAR (BE AFRAID)	68
1244	THICK	68
1457	SEW	66
1440	SPIT	66
1261	SING	66
249	FOG	65
1455	PULL	65
1230	DIRTY	65
1917	TIE	64
1421	SUCK	64
1229	OLD	64
1213	YOU	64
817	THEY	62
2102	BURN	62
2003	FLOW	62
1452	PUSH	62
1435	HUNT	62
1433	HIT	62
634	MEAT	60
1474	SEA	60
1436	SCRATCH	60
1414	SQUEEZE	60
1728	ROTTEN	59
1404	STRAIGHT	59
1239	HOW	59
619	ANIMAL	58
379	BLUNT	58
1437	SPLIT	58
1407	BREATHE	58
136	HERE	58
420	FOREST	57
2099	CHILD	57
1449	RUB	57
1295	STICK	57
1267	NARROW	57
1252	HOUSE	57
1243	WIDE	57
1238	WHEN	57
2308	THIN	56
1286	HOT	56
1573	SWELL	55
1420	COUNT	55
1413	PLAY	55
1211	HE	55
784	SNOW	54
617	ICE	54
1234	SMOOTH	54
72	CLAW	53
2271	THINK	53
1937	THERE	52
1242	FEW	52
1725	CORRECT (RIGHT)	51
1515	TEN	51
1232	WARM	51
1588	TURN	50
1459	IF	50
1448	HOLD	50
1423	FIGHT	50
1460	IN	49
1434	STAB	49
1839	CRY	47
1577	AND	47
1574	FLOAT	47
1704	SEVEN	45
2252	PATH	44
197	OTHER	44
695	GO	43
2124	SMELL	43
1705	EIGHT	43
1703	SIX	43
1483	NINE	42
1334	GUTS	42
1157	BECAUSE	42
2108	RAINING OR RAIN	41
1431	FREEZE	41
1461	AT	40
2615	FLESH OR MEAT	39
1838	NAVEL	37
1673	ARM	37
1634	HUNDRED	37
977	ARROW	36
945	SPEAR	36
1454	WIPE	36
1241	SOME	36
1504	FLY (INSECT)	34
1340	WITH	34
1100	COOK (SOMETHING)	34
713	STEAL	33
1337	PIG	33
1303	FINGER	33
587	ANT	32
1879	DANCE	32
1352	KNIFE	32
635	MILK	31
1869	BUY	31
1509	MOSQUITO	31
1482	SHOULDER	31
1258	FINGERNAIL	31
1623	SPEAK	30
1531	BRANCH	30
1388	SHADE	30
1172	SHOOT	30
1586	SMELL (PERCEIVE)	29
1150	THUNDER	29
843	SPIDER	28
1654	LIGHTNING	28
212	FIELD	27
1991	INTESTINES	27
994	BOW	26
503	FROG	26
2259	FLESH	26
1579	BE	26
1131	WE (INCLUSIVE)	26
717	SWEET	25
665	BEE	25
478	LIP	25
1920	DREAM (SOMETHING)	25
1847	SICK	25
1749	TAKE	25
1428	BURNING	25
141	BURN (SOMETHING)	25
1329	TOMORROW	25
1318	CHICKEN	25
1007	COW	25
678	BEARD	24
1519	RUN	24
1350	MONKEY	24
1262	BROTHER	24
1208	CAT	24
1174	YESTERDAY	24
706	DARK	23
1820	BEAR	23
123	FOREHEAD	23
930	VILLAGE	22
887	BITTER	22
688	LUNG	22
677	AXE	22
1895	CLOTHES	22
1884	HARD	22
1844	BOAT	22
1583	BRAIN	22
1490	RAT	22
1156	OPEN	22
879	COUGH	21
215	LIE DOWN	21
1906	SOUR	21
1843	THOUSAND	21
1710	TWENTY	21
1567	DOOR	21
1523	FORGET	21
1339	MORNING	21
1263	SISTER	21
1052	LIGHT (WEIGHT)	21
981	ELBOW	20
923	LOVE	20
800	THIGH	20
621	IRON	20
615	HORSE	20
319	LICK	20
2112	OLD (AGED)	20
1927	BAMBOO	20
1784	WANT	20
1591	UP	20
1560	FACE	20
1510	CHIN	20
1304	CHILD (YOUNG HUMAN)	20
1222	PENIS	20
2106	MALE PERSON	19
1886	ARMPIT	19
1803	WOOD	19
178	RIPE	19
1631	FAST	19
1606	INSIDE	19
1592	CHEST	19
1571	SELL	19
1382	NEEDLE (FOR SEWING)	19
1357	DAUGHTER	19
1331	SHEEP	19
1269	NO	19
1033	GRIND	19
998	PUT	18
749	ENTER	18
711	TALL	18
675	FAECES	18
630	LIGHT (RADIATION)	18
581	COME BACK	18
506	MAIZE	18
1733	RAINBOW	18
1667	HOLE	18
1646	GIRL	18
1620	SON	18
1503	SALIVA	18
1502	GOAT	18
1485	BELOW OR UNDER	18
1476	CHAIR	18
1462	POT	18
1028	YAWN	18
10	FIREWOOD	18
984	WORK (LABOUR)	17
868	BANANA	17
759	SILVER	17
707	REMEMBER	17
620	INSECT	17
602	HIDE (CONCEAL)	17
1896	FINGERNAIL OR TOENAIL	17
1856	SOFT	17
1607	HATE	17
1598	NORTH	17
1366	BOY	17
133	WEAVE	17
1253	RAIN (RAINING)	17
124	THORN	17
1173	EYEBROW	17
942	HONEY	16
926	RICE	16
897	SWALLOW	16
738	THING	16
705	GO UP (ASCEND)	16
641	MUSHROOM	16
640	MUD	16
2458	PERSPIRE OR SWEAT	16
2014	GO DOWN (DESCEND)	16
1936	DEER	16
1877	EAST	16
1817	WEST	16
1752	LEAVE	16
1741	ABOVE	16
1730	CHEEK	16
1595	SOUTH	16
138	BATHE	16
1376	NOW	16
1369	GOLD	16
1360	DUCK	16
1309	ASK (INQUIRE)	16
1290	ELEPHANT	16
1283	TODAY	16
127	EXTINGUISH	16
1086	WORK (ACTIVITY)	16
908	DRUM	15
837	BLUE	15
832	BEAN	15
813	DO	15
801	RIB	15
785	STRONG	15
769	ROOF	15
701	SLOW	15
256	FOOD	15
2486	HIDE	15
224	MORTAR CRUSHER	15
1989	CALF	15
1944	GOD	15
1897	HELP	15
1819	LOOK	15
1791	BUTTERFLY	15
1487	POUR	15
1480	BODY	15
146	SUGAR CANE	15
1372	MEDICINE	15
1346	THROAT	15
1275	ANSWER	15
1207	YOUNG	15
1155	CAVE	15
1102	CLIMB	15
970	COCONUT	14
789	PEOPLE	14
694	GET	14
680	BREAK (DESTROY OR GET DESTROYED)	14
655	POISON	14
605	GRAIN	14
592	PISS	14
580	FUR	14
479	GROW	14
2483	COLD (OF WEATHER)	14
2104	HOLD OR TAKE	14
1853	DOVE	14
1840	BUILD	14
1793	BAT	14
1719	BURY	14
1663	BED	14
1475	COMB	14
1386	LION	14
1381	SHOE	14
1375	WINDOW	14
1347	NAPE (OF NECK)	14
1188	CHARCOAL	14
1142	URINE	14
1136	RABBIT	14
1135	KICK	14
1090	BE BORN	14
974	TOBACCO	13
933	WALL	13
834	BUTTOCKS	13
816	HALF	13
718	PAY	13
715	SHOUT	13
676	SHIT	13
66	KNEEL	13
653	PLANT (VEGETATION)	13
522	WOLF	13
52	SHIVER	13
501	LIFT	13
410	YAM	13
321	CHEW	13
2159	GROUND	13
1882	BEFORE	13
1833	DINNER (SUPPER)	13
1783	PAIN	13
1757	TIRED	13
1750	CHOOSE	13
1651	TEAR (OF EYE)	13
1624	EMPTY	13
1601	WEAK	13
159	SWEET POTATO	13
1518	STUPID	13
1495	HAPPY	13
1415	THINK (REFLECT)	13
1368	BREAD	13
1363	VOICE	13
1279	FAT (OBESE)	13
1181	PALM TREE	13
1130	WE (EXCLUSIVE)	13
112	TURTLE	13
1107	GO OUT	13
1085	FOLLOW	13
1046	SHUT	13
1008	BULL	13
921	VALLEY	12
919	CHILI PEPPER	12
892	TIME	12
819	STOMACH	12
762	OUTSIDE	12
741	DRIVE	12
724	READ	12
692	BRING	12
686	EASY	12
679	BRIGHT	12
648	PAPER	12
601	LIE (MISLEAD)	12
584	DIFFICULT	12
539	NEST	12
53	SPIRIT	12
225	PESTLE	12
2249	THIN (OF SHAPE OF OBJECT)	12
208	NASAL MUCUS (SNOT)	12
1977	DEW	12
195	MAT	12
1845	BALL	12
1831	MEET	12
1775	TABLE	12
1759	OLDER BROTHER	12
1711	TELL	12
1629	EVENING	12
1621	SNEEZE	12
1599	WORD	12
1559	MONEY	12
1538	SCORPION	12
1533	BE HUNGRY	12
1496	GRANDMOTHER	12
1491	MOUSE	12
1486	PLANT (SOMETHING)	12
1463	DRUNK	12
1387	ARRIVE	12
1383	GRANDFATHER	12
1378	SPOON	12
1374	RING	12
1326	DOWN	12
1325	FRIEND	12
1268	YES	12
1093	MIDDLE	12
883	TERMITE	11
822	HOW MANY	11
809	TROUSERS	11
798	JAW	11
773	HAVE	11
721	LOW	11
704	CLEAN	11
632	LIZARD	11
593	POTATO	11
590	NAKED	11
502	NAIL (TOOL)	11
406	OLD MAN	11
2457	PATH OR ROAD	11
2272	HOT OR WARM	11
2125	STONE OR ROCK	11
204	AGAIN	11
1928	CEASE	11
1864	HUNGER	11
1857	CROCODILE	11
1806	BEGIN	11
1801	CHILD (DESCENDANT)	11
1756	WIDOW	11
1753	TOP	11
17	EYELID	11
1593	DEEP	11
1564	LAZY	11
1471	WINTER	11
1468	LOOK FOR	11
1451	SMILE	11
1391	TOWN	11
1390	WRONG	11
1370	MONTH	11
1342	SUMMER	11
1312	FOX	11
1289	BABY	11
1276	AUTUMN	11
1265	HIGH	11
12	MIDDAY	11
1127	SEND	11
1125	BALD	11
11	DARKNESS	11
1091	SALTY	11
108	RUDDER	11
1064	SHIELD	11
1025	WHISTLE	11
978	WAVE	10
972	BE ABLE	10
963	BOOK	10
932	BARLEY	10
904	BERRY	10
825	AWAKE	10
797	TESTICLES	10
792	BOIL (OF LIQUID)	10
760	KNOT	10
740	SHIP	10
734	MAKE	10
728	FIRST	10
700	CARRY	10
7	GATHER	10
672	EARLY	10
644	OAK	10
622	ISLAND	10
586	GARDEN	10
570	STAND UP	10
504	LEARN	10
489	KIDNEY	10
480	PLATE	10
376	FRAGRANT	10
354	POUND	10
301	CHIEFTAIN	10
284	HOE	10
2613	SKIN (HUMAN)	10
245	BROOM	10
232	FLEA	10
230	SWEEP	10
1970	CANOE	10
1959	RAW	10
193	SHALLOW	10
1921	PLOUGH	10
1862	DONKEY	10
1848	QUARREL	10
1829	JUMP	10
1689	SMOKE (INHALE)	10
1672	WRITE	10
1665	BEAT	10
1543	SNAIL	10
1537	SPRINGTIME	10
1517	WASP	10
148	ITCH	10
1427	BEAUTIFUL	10
1327	UNCLE	10
1191	COOKED RICE	10
1143	OVEN	10
1084	CALL	10
1056	SON-IN-LAW	10
996	DEAF	9
980	HEEL	9
964	WOOL	9
96	CRAWL	9
935	WAR	9
889	FLAME	9
864	PUMPKIN	9
859	STOVE	9
858	STORM	9
846	TIGER	9
794	PEN	9
732	YOUR (SINGULAR)	9
719	FIND	9
690	BOTTOM	9
611	HARVEST	9
609	HAIL	9
49	REFUSE	9
48	BE SILENT	9
477	LATE	9
476	CUP	9
367	RIDE	9
356	SHEARS	9
343	VINE	9
27	AIR	9
265	FOWL	9
2642	HE OR SHE	9
234	PADDLE	9
2279	NO OR NOT	9
217	BETELNUT	9
2139	MUROID (MOUSE OR RAT)	9
2098	FOOT OR LEG	9
203	MARRY	9
2004	BEND	9
200	SAME	9
1941	SOLDIER	9
194	FAMILY	9
1902	BETRAY	9
189	BODY HAIR	9
1887	CHEAP	9
1850	COTTON	9
1808	PUS	9
1766	FINISH	9
1735	TEAR (SHRED)	9
1707	TWELVE	9
1706	ELEVEN	9
1685	AFTER	9
1653	BLIND	9
1608	LISTEN	9
1590	WAIT (FOR)	9
1587	SMELL (STINK)	9
1580	ONLY	9
1575	COCKROACH	9
1540	EYELASH	9
1539	BASKET	9
1524	WINE	9
1511	ROOSTER	9
1508	KING	9
1472	KEY	9
1469	WEEK	9
1467	CIRCLE	9
1426	EXPENSIVE	9
14	YOKE	9
1385	PEPPER	9
1358	ENEMY	9
1344	RAM	9
1307	LANGUAGE	9
1300	COUNTRY	9
1282	FAT (FROM ANIMALS)	9
1273	CANDLE	9
1272	AUNT	9
1187	GOOSE	9
1183	PALM OF HAND	9
1175	GHOST	9
1161	THREAD	9
1153	CATTLE	9
1039	SHOW	9
987	REMAIN	8
956	FLEE	8
952	WEATHER	8
925	CASSAVA	8
913	CROW	8
895	TORTOISE	8
847	THIRSTY	8
803	ANKLE	8
779	PART	8
772	BELT	8
765	MOVE	8
761	COVER	8
737	LIGHT (IGNITE)	8
723	PLACE (POSITION)	8
710	WHEEL	8
709	TEACH	8
681	DESTROY	8
673	SCHOOL	8
649	PASTURE	8
645	OCEAN	8
627	LEAD (CHEMICAL ELEMENT)	8
626	LAND	8
60	OAT	8
531	HOW MUCH	8
487	SHY	8
43	LEAD (GUIDE)	8
411	GOURD	8
388	FISHNET	8
363	DWELL (LIVE, RESIDE)	8
310	HEAD LOUSE	8
2575	DO OR MAKE	8
2306	THIN (OF LEAF AND CLOTH)	8
2273	LEECH	8
21	TASTE (SOMETHING)	8
2026	RICE PLANT	8
2017	MIX	8
2001	PAINTING	8
1983	SNORE	8
1892	TOUCH	8
1871	CAMEL	8
1837	VULVA	8
1836	VAGINA	8
1812	TRY	8
1781	THUMB	8
1758	OLDER SISTER	8
1740	PINE	8
1678	HUT	8
1660	LOSE	8
1657	TRUE	8
1633	FLAT	8
1613	COLOR	8
1602	WAKE UP	8
1594	FLOUR	8
157	DYE	8
1541	CULTIVATE	8
1536	UNDERSTAND	8
1535	SWORD	8
1484	OIL (ORGANIC SUBSTANCE)	8
1481	HAMMER	8
1399	CLAY	8
1389	TOE	8
1364	HEALTHY	8
1351	SOW (FEMALE PIG)	8
1314	QUIET	8
1281	PRISON	8
1270	WHY	8
1227	BOARD	8
1195	GIVE BIRTH	8
1171	MIRROR	8
1160	THIEF	8
1141	PITY	8
1132	BEAM	8
1124	PIPE	8
1115	SPEECH	8
1095	LET GO OR SET FREE	8
1088	SINK (DESCEND)	8
1077	WHEAT	8
1074	FISHHOOK	8
1065	SPIDER WEB	8
1044	PILLOW	8
1038	TEACHER	8
1011	BRIDGE	8
957	WHALE	7
951	WEAPONS	7
934	BUFFALO	7
93	DRAW MILK	7
907	OLD WOMAN	7
882	PARROT	7
870	BREATH	7
854	KETTLE	7
848	THIRST	7
842	LIQUOR	7
820	LAMB	7
82	ANGER	7
812	SLAVE	7
806	BLANKET	7
805	SPINE	7
804	WOMB	7
796	NIPPLE	7
787	SAIL	7
783	VICTORY	7
780	OUR	7
768	LUNCH	7
767	CORPSE	7
76	YOUNG MAN	7
743	END (OF TIME)	7
742	END (OF SPACE)	7
736	YARD	7
735	OWL	7
729	DAWN	7
712	RICH	7
708	SHINE	7
682	SIDE	7
663	BAY	7
636	MILL	7
633	MARKET	7
629	LEATHER	7
603	COAT	7
568	RISE (MOVE UPWARDS)	7
505	PARENTS	7
499	CURE	7
485	DISAPPEAR	7
474	DRESS	7
465	CARRY ON BACK	7
45	EVIL	7
430	TWIST	7
427	YOUNGER SIBLING	7
42	STINKING	7
399	PLANTAIN	7
371	PICK UP	7
344	TREE TRUNK	7
320	LAME	7
297	CROOKED	7
288	FORGE	7
274	KNEAD	7
269	COOKED	7
263	HERDSMAN	7
2493	BOIL	7
2484	SMALL (NOT TALL)	7
2445	PAPAYA	7
23	RYE	7
214	STRETCH	7
2128	CLAW OR NAIL	7
2113	OLD (USED)	7
2105	FEMALE PERSON	7
210	LIFE	7
2094	DOWN OR BELOW	7
1986	DISEASE	7
1948	SAW	7
1940	GUARD	7
1939	SWEAR	7
191	NUT	7
1905	EAGLE	7
1899	MAD	7
1894	ASHAMED	7
1890	BELIEVE	7
1881	ENOUGH	7
186	SHIN	7
1859	THIRD	7
1851	POCKET	7
1828	ASK (REQUEST)	7
1811	SOUND OR NOISE	7
1807	AFTERNOON	7
1782	GUEST	7
1776	SHAME	7
1768	FOAM	7
1763	CLUB	7
176	BLOW (WITH MOUTH)	7
1729	PLAIT OR BRAID OR WEAVE	7
1699	SUNDAY	7
168	REST	7
1676	ALWAYS	7
1674	POOR	7
1655	BLINK	7
1639	BEER	7
1632	FLOOR	7
1618	GRANDSON	7
1617	GRANDCHILD	7
1596	LOCK	7
1572	SURPRISED	7
1566	GUN	7
1561	ARMY	7
1558	SIMILAR	7
1553	MALE	7
155	CHOP	7
1530	BOWL	7
1521	SEEM	7
1514	HEN	7
1506	MEASURE	7
15	OTTER	7
1477	KEEP	7
1445	TURN (SOMETHING)	7
139	GUMS	7
135	BOOMERANG	7
1323	CLOCK	7
1322	BREAKFAST	7
1320	APPLE	7
1293	MISTAKE	7
126	SWEAT (PERSPIRE)	7
1250	JAGUAR	7
122	CART	7
1178	NOSTRIL	7
1169	OX	7
1159	FART	7
1123	PREGNANT	7
1119	DIVIDE	7
1094	FASTEN	7
1071	HOOK	7
1062	LAW	7
1048	LINE	7
1014	OR	7
1013	FRESHWATER EEL	7
1005	TWINS	7
1003	PERMIT	7
982	LIME (FRUIT)	6
979	FARMER	6
968	ACORN	6
965	WORLD	6
958	WILD ANIMAL	6
943	WATERFALL	6
941	MEAD	6
936	STALLION	6
931	MILLET	6
924	VEGETABLES	6
920	GRAPE	6
916	LINEN	6
867	GLOVE	6
863	EDGE	6
862	SUGAR	6
860	CAUSE	6
851	STABLE	6
850	SQUARE	6
791	STRANGER	6
790	READY	6
786	SAILCLOTH	6
770	EARRING	6
757	BUTTON	6
752	STORE	6
73	BEAK	6
727	WHICH	6
722	ATTACK	6
720	GOOD LUCK	6
716	GROAN	6
703	SOON	6
684	OWN	6
652	PLAIN	6
65	AMBUSH	6
64	PIN	6
631	LIVESTOCK	6
614	HILL	6
604	GLASS	6
6	EARTHQUAKE	6
597	PHYSICIAN	6
585	BOOT	6
582	LEND	6
578	KISS	6
544	SPICY	6
498	CALF OF LEG	6
488	MANNER	6
417	THREE TIMES	6
398	PIERCE	6
38	SPREAD OUT	6
377	LOUD	6
375	SNIFF	6
357	HANG UP	6
352	UNTIE	6
351	TARO	6
345	SAP	6
339	DIGGING STICK	6
329	STOCKING	6
328	GRASS-SKIRT	6
312	TAPIR	6
307	HAWK	6
302	CLAN	6
3	BRAVE	6
281	POST	6
278	AWL	6
275	PEEL	6
270	JUG	6
267	NIT	6
264	HE-GOAT	6
262	HE OR SHE OR IT	6
255	SERVANT	6
2503	LAUNDER	6
24	PRAY	6
2391	BOY OR SON	6
231	SHAVE	6
2253	DRIP (EMIT LIQUID)	6
218	FINE (PENALTY)	6
2154	PLOUGH (INSTRUMENT)	6
2144	SPRING OR WELL	6
2133	STRIKE OR BEAT	6
2129	BREAST OR MILK	6
2118	MOUNTAIN OR HILL	6
2103	PAINFUL OR SICK	6
2090	MY	6
2021	GRASP	6
202	STRENGTH	6
2012	COLLAR	6
2008	RESCUE	6
1992	MORE	6
1984	MOTHER'S BROTHER	6
1974	CENTIPEDE	6
1973	DEMON	6
1965	LOINCLOTH	6
1950	BEECH	6
1934	BEGGAR	6
1931	BEESWAX	6
1924	VEIN	6
1923	ROUGH	6
192	CORNER	6
1915	FIR	6
1913	PRESS	6
1909	SHAKE	6
1875	REGRET	6
1855	BIRCH	6
185	FIREPLACE	6
1849	ROW	6
1846	RULE	6
1834	SHE	6
1825	COPPER	6
1823	BORROW	6
1821	BRUSH	6
1814	ACCUSE	6
180	CALL BY NAME	6
1794	FURROW	6
1789	AGE	6
1773	GRAVE	6
1769	AXLE	6
1754	BRACELET	6
1745	HIP	6
1743	JOIN	6
174	PROUD	6
1700	SATURDAY	6
1683	BUSH	6
1682	GUILTY	6
1680	HELMET	6
1675	PROMISE	6
1669	ANCESTORS	6
1668	GRIEF	6
1662	CAPE	6
166	MAINLAND	6
1656	NEVER	6
1644	RELATIVES	6
1641	SILK	6
1635	OBEY	6
1627	CHAIN	6
1625	DEAD	6
1622	SHIRT	6
1616	CLOTH	6
1610	PROSTITUTE	6
1609	IDEA	6
1605	SKULL	6
1600	SKIRT	6
1569	CHEESE	6
1562	MIND	6
1548	UGLY	6
1547	SOUP	6
154	UDDER	6
1529	LAST (FINAL)	6
1528	FORGIVE	6
1513	THINK (BELIEVE)	6
149	ITCHY	6
1470	FOLD	6
1464	LADDER	6
1450	ROOM	6
1400	THIN (SLIM)	6
140	PADDY FIELD	6
1361	TOOL	6
1356	NUMBER	6
1353	HOUR	6
1348	BOAR	6
1330	DEFEND	6
1316	TENT	6
1308	DOUBT	6
1306	QUEEN	6
1305	CHIMNEY	6
13	DECEIT	6
1296	WALKING STICK	6
1264	CHANGE	6
1259	WEDDING	6
1245	BUTTER	6
121	SPIN	6
1190	HARE	6
1186	LAST (ENDURE)	6
1185	VULTURE	6
1176	SPADE	6
1149	ORPHAN	6
1145	SWAMP	6
1133	MATCH	6
113	SHORE	6
1111	CAR	6
1110	SHARK	6
1103	SACRIFICE	6
1096	SONG	6
1092	HOPE	6
1079	FEEL	6
1068	COURT	6
1029	JEWEL	6
1010	BOUNDARY	6
101	BOAST	6
1006	BRICK	6
1001	BLACKSMITH	6
999	JOINT	5
989	CLEAR	5
988	ACQUIT	5
983	CONVICT	5
976	WEAR	5
971	MUST	5
953	RAPE	5
938	MARE	5
917	ORNAMENT	5
914	SCULPTOR	5
910	DEATH	5
902	ADULTERY	5
90	INNOCENT	5
9	ANNOUNCE	5
890	MULE	5
89	NATIVE COUNTRY	5
881	TAILOR	5
878	HELL	5
877	MASON	5
876	ARCH	5
875	SHOEMAKER	5
873	TAX	5
861	JUDGE	5
86	SIEVE	5
856	HIRE	5
85	GIVE BACK	5
845	MURDER	5
838	REMAINS	5
83	FORBID	5
827	ROLL	5
810	LOCUST	5
8	CURSE	5
799	WRIST	5
788	SOAP	5
782	DEFEAT	5
781	FEAR (FRIGHT)	5
758	HERON	5
755	DENY	5
754	HURRY	5
753	PUPIL (STUDENT)	5
748	SOW SEEDS	5
745	SHELF	5
733	EARN	5
731	DRINK (FLUID)	5
702	CATCH	5
698	WISE	5
691	SEASON	5
67	EMBERS	5
660	REEF	5
657	PRICE	5
647	PAINT (PIGMENTS)	5
623	LAGOON	5
618	PRECIPICE	5
613	HIGH TIDE	5
610	PORT	5
607	GRASSHOPPER	5
598	SHELL	5
588	BROKEN	5
579	BATTLE	5
56	BAD LUCK	5
525	BLOOD VESSEL	5
51	SORE	5
509	CERTAIN	5
497	SCAR	5
490	DESCENDANTS	5
484	CONDEMN	5
482	NOBLE	5
481	DISH	5
470	POSSUM	5
44	INJURE	5
429	SWIDDEN FIELD	5
428	BE MANY	5
421	RETREAT	5
418	FOR A LONG TIME	5
405	OLDER SIBLING	5
404	ALCOHOL (FERMENTED DRINK)	5
40	ENVY	5
390	PUNISHMENT	5
387	SLING	5
386	BATTLE-AXE	5
384	FREEMAN	5
383	MASTER	5
381	BLAME	5
372	POINTED	5
369	OWE	5
359	POTTER	5
358	TINPLATE	5
346	BANYAN	5
342	HAY	5
338	RAKE	5
337	PITCHFORK	5
333	PLAIT	5
332	RAG	5
33	NETTLE	5
326	CLOAK	5
325	FELT	5
322	FIG	5
318	FOOTPRINT	5
31	PAN	5
309	OPOSSUM	5
308	TOUCAN	5
300	RATTLE	5
293	NETBAG	5
291	PULL OFF (SKIN)	5
289	MOLD	5
285	THRESH	5
279	THATCH	5
277	SPINDLE	5
273	DOUGH	5
272	TONGS	5
271	SAUCER	5
258	CALM	5
2574	BEAN OR PEA	5
2558	BREAK (CLEAVE)	5
2551	ORGANIC FAT OR OIL	5
2502	GONG	5
250	LIGHT (COLOR)	5
2497	RATTAN	5
2495	ELEPHANT TUSK	5
2462	WINNOWING	5
2459	GRINDSTONE	5
2449	FAT (OF MEAT AND FOOD)	5
2411	HURT (SOMEBODY)	5
241	TREE STUMP	5
237	STEPFATHER	5
236	STEPMOTHER	5
2350	EARTHWORM	5
235	FLYING FOX	5
228	CARVE	5
2262	FEMALE (OF ANIMAL)	5
2261	MALE (OF PERSON)	5
223	THRESHING-FLOOR	5
2146	ROAST OR FRY	5
2135	TRADE OR BARTER	5
2132	SICKLE OR SCYTHE	5
2131	TORCH OR LAMP	5
2130	HEADGEAR	5
213	FIN	5
2121	ARM OR HAND	5
2110	WARM (OF WEATHER)	5
211	CAST	5
2100	THATCH OR ROOF	5
2096	ANIMAL OR MEAT	5
2092	HIS OR HER	5
2058	STOOL	5
2034	FROST	5
2024	PLOT	5
2023	CROWD	5
2022	ADMIT	5
2020	PLAINTIFF	5
2018	GREEDY	5
2007	BOLT (OF LIGHTNING)	5
1997	PRESERVE	5
1994	COLLARBONE	5
1982	WHIRLPOOL	5
1979	CHISEL	5
1972	KID	5
1971	FAN (OBJECT)	5
1963	IMMEDIATELY	5
1961	NECKLACE	5
1958	UNRIPE	5
1938	FORTRESS	5
1932	GUESS	5
1929	STUDY	5
1926	OINTMENT	5
1914	DEBT	5
1910	STINGRAY	5
1901	SHOVEL	5
190	MOW	5
1889	ARSON	5
1885	ARMADILLO	5
1878	COCK	5
1874	SAUSAGE	5
1870	ANCHOR	5
1867	COIN	5
1866	STUTTER	5
1852	OFTEN	5
1841	SUSPECT	5
184	MAST	5
1835	MARROW	5
183	BAKE	5
1826	ANGRY	5
1818	ADJUDICATE	5
1810	DANGER	5
1792	PERJURY	5
1787	LOOM	5
1785	HAVE SEX	5
1779	DARE	5
1778	APPROACH	5
1774	STINGY	5
1764	OBSCURE	5
1761	YOUNGER SISTER	5
1760	YOUNGER BROTHER	5
1747	CUSTOM	5
172	SHOULDERBLADE	5
1717	FIFTY	5
1712	OATH	5
1709	FIFTEEN	5
1702	HOLY	5
1697	MONDAY	5
1696	SURRENDER	5
1695	TUESDAY	5
1694	WEDNESDAY	5
