ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-186-60	1392	LOUSE	60	louse	343
Heggarty-2016-186-61			61	rat	345
Heggarty-2016-186-62			62	spider	349
Heggarty-2016-186-63			63	mosquito	352
Heggarty-2016-186-64	744	EGG	64	egg	381
Heggarty-2016-186-65	1220	TAIL	65	tail	383
Heggarty-2016-186-66	1257	WING	66	wing	384
Heggarty-2016-186-67			67	feather	385
Heggarty-2016-186-68			68	man	402
Heggarty-2016-186-69	962	WOMAN	69	woman	403
Heggarty-2016-186-70			70	child	405
Heggarty-2016-186-71	1405	NAME	71	name	410
Heggarty-2016-186-72			72	mother	431
Heggarty-2016-186-73			73	father	432
Heggarty-2016-186-74	1200	HUSBAND	74	husband	435
Heggarty-2016-186-75			75	wife	436
Heggarty-2016-186-76	1225	DAY (NOT NIGHT)	76	day	501
Heggarty-2016-186-77	1233	NIGHT	77	night	502
Heggarty-2016-186-78	1313	MOON	78	moon	512
Heggarty-2016-186-79	1430	STAR	79	star	513
Heggarty-2016-186-80			80	sky	515
Heggarty-2016-186-81	948	WATER	81	water	521
Heggarty-2016-186-82			82	lake	523
Heggarty-2016-186-83			83	sea	524
Heggarty-2016-186-84	221	FIRE	84	fire	541
Heggarty-2016-186-85	778	SMOKE (EXHAUST)	85	smoke	542
Heggarty-2016-186-86	646	ASH	86	ash	543
Heggarty-2016-186-87	857	STONE	87	stone	551
Heggarty-2016-186-88			88	earth, soil	552
Heggarty-2016-186-89			89	dust	553
Heggarty-2016-186-90	671	SAND	90	sand	554
Heggarty-2016-186-91	1253	RAIN (RAINING)	91	rain	581
Heggarty-2016-186-92	1489	CLOUD	92	cloud	584
Heggarty-2016-186-93	960	WIND	93	wind	585
Heggarty-2016-186-94			94	thunder	592
Heggarty-2016-186-95			95	lightning	593
Heggarty-2016-186-96			96	meat, flesh	603
Heggarty-2016-186-97			97	fruit	609
Heggarty-2016-186-98			98	woods, forest	622
Heggarty-2016-186-99	670	ROOT	99	root	624
Heggarty-2016-186-100	1531	BRANCH	100	branch	625
Heggarty-2016-186-101	628	LEAF	101	leaf	626
Heggarty-2016-186-102			102	wood	628
Heggarty-2016-186-103	606	GRASS	103	grass	631
Heggarty-2016-186-104	239	FLOWER	104	flower	632
Heggarty-2016-186-105			105	thatch, roof	633
Heggarty-2016-186-106			106	house	651
Heggarty-2016-186-107	1218	ROPE	107	rope	662
Heggarty-2016-186-108			108	road, path	681
Heggarty-2016-186-109	163	BLACK	109	black	701
Heggarty-2016-186-110	1335	WHITE	110	white	702
Heggarty-2016-186-111	156	RED	111	red	703
Heggarty-2016-186-112	1425	GREEN	112	green	704
Heggarty-2016-186-113	1424	YELLOW	113	yellow	705
Heggarty-2016-186-114	1202	BIG	114	big	711
Heggarty-2016-186-115	1246	SMALL	115	small	717
Heggarty-2016-186-116			116	sharp	741
Heggarty-2016-186-117			117	blunt, dull	742
Heggarty-2016-186-118			118	shy, ashamed	749
Heggarty-2016-186-119			119	old	752
Heggarty-2016-186-120			120	painful, sick	763
Heggarty-2016-186-121			121	good	771
Heggarty-2016-186-122			122	bad	772
Heggarty-2016-186-123			123	correct, true	773
Heggarty-2016-186-124			124	dirty	777
Heggarty-2016-186-125			125	rotten	780
Heggarty-2016-186-126	1210	HEAVY	126	heavy	786
Heggarty-2016-186-127			127	far	788
Heggarty-2016-186-128			128	near	789
Heggarty-2016-186-129	1287	COLD	129	cold	792
Heggarty-2016-186-130	1398	DRY	130	dry	793
Heggarty-2016-186-131			131	wet	794
Heggarty-2016-186-132	1231	NEW	132	new	798
Heggarty-2016-186-133			133	other	799
Heggarty-2016-186-134			134	come	802
Heggarty-2016-186-135			135	walk	803
Heggarty-2016-186-136			136	stand	811
Heggarty-2016-186-137			137	sit	812
Heggarty-2016-186-138			138	fall	813
Heggarty-2016-186-139			139	lie down	814
Heggarty-2016-186-140			140	turn	815
Heggarty-2016-186-141			141	climb	818
Heggarty-2016-186-142			142	swim	821
Heggarty-2016-186-143			143	fly (verb)	822
Heggarty-2016-186-144			144	throw	826
Heggarty-2016-186-145			145	hide	827
Heggarty-2016-186-146			146	eat	831
Heggarty-2016-186-147			147	drink	832
Heggarty-2016-186-148			148	yawn	836
Heggarty-2016-186-149			149	spit	837
Heggarty-2016-186-150			150	dream	840
Heggarty-2016-186-151			151	sleep	841
Heggarty-2016-186-152			152	live	842
Heggarty-2016-186-153			153	die	843
Heggarty-2016-186-154			154	kill	844
Heggarty-2016-186-155			155	see	851
Heggarty-2016-186-156			156	hear	852
Heggarty-2016-186-157			157	sniff, smell	854
Heggarty-2016-186-158			158	laugh	858
Heggarty-2016-186-159			159	cry	859
Heggarty-2016-186-160			160	blow	867
Heggarty-2016-186-161			161	burn	868
Heggarty-2016-186-162			162	sew	874
Heggarty-2016-186-163			163	pound	880
Heggarty-2016-186-164			164	hit	881
Heggarty-2016-186-165			165	cut	887
Heggarty-2016-186-166			166	split	888
Heggarty-2016-186-167			167	dig	889
Heggarty-2016-186-168			168	hunt	892
Heggarty-2016-186-169			169	hold	893
Heggarty-2016-186-170			170	fear	895
Heggarty-2016-186-171			171	count	896
Heggarty-2016-186-172			172	breathe	897
Heggarty-2016-186-173			173	vomit	900
Heggarty-2016-186-174			174	tie (up)	901
Heggarty-2016-186-175			175	squeeze	902
Heggarty-2016-186-176			176	swell	903
Heggarty-2016-186-177			177	say	904
Heggarty-2016-186-178			178	scratch	905
Heggarty-2016-186-179			179	stab	906
Heggarty-2016-186-180			180	buy	912
Heggarty-2016-186-181			181	steal	913
Heggarty-2016-186-182			182	plant	918
Heggarty-2016-186-183			183	cook	922
Heggarty-2016-186-184			184	shoot	940
Heggarty-2016-186-185			185	work	950
Heggarty-2016-186-186			186	open	962
