ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-137-115	717	SWEET	115	sweet	796
Heggarty-2016-137-116			116	happy	797
Heggarty-2016-137-117	1231	NEW	117	new	798
Heggarty-2016-137-118			118	is/there is	800
Heggarty-2016-137-119			119	they were	801
Heggarty-2016-137-120			120	you’re falling!	813
Heggarty-2016-137-121			121	are you lying?	814
Heggarty-2016-137-122			122	we drink	832
Heggarty-2016-137-123			123	she was asleep	841
Heggarty-2016-137-124			124	she lives	842
Heggarty-2016-137-125			125	dead	843
Heggarty-2016-137-126			126	you believe	848
Heggarty-2016-137-127			127	listen!	853
Heggarty-2016-137-128			128	he’s laughing	858
Heggarty-2016-137-129			129	I will give	862
Heggarty-2016-137-130			130	she’s sewing	874
Heggarty-2016-137-131			131	he rubbed	885
Heggarty-2016-137-132			132	we’re digging	889
Heggarty-2016-137-133			133	we’re afraid	895
Heggarty-2016-137-134			134	breathe!	897
Heggarty-2016-137-135			135	it froze	898
Heggarty-2016-137-136			136	he’s tied up	901
Heggarty-2016-137-137			137	write!	910
