ID	NUMBER	CATEGORY_1	CATEGORY_2	CATEGORY_3	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gabelentz-1891-121-29	29	III. Substantiva	D. Wetter	-	Wetter	*weather	952	WEATHER
Gabelentz-1891-121-30	30	III. Substantiva	D. Wetter	-	Regen	*rain	658	RAIN (PRECIPITATION)
Gabelentz-1891-121-31	31	III. Substantiva	E. Erde	-	Land	land	626	LAND
Gabelentz-1891-121-32	32	III. Substantiva	E. Erde	-	Feld	field	212	FIELD
Gabelentz-1891-121-33	33	III. Substantiva	E. Erde	-	Ebene	plain	652	PLAIN
Gabelentz-1891-121-34	34	III. Substantiva	E. Erde	-	Weg	path	2252	PATH
Gabelentz-1891-121-35	35	III. Substantiva	E. Erde	-	Ort	place	723	PLACE (POSITION)
Gabelentz-1891-121-36	36	III. Substantiva	E. Erde	-	Berg	mountain	639	MOUNTAIN
Gabelentz-1891-121-37	37	III. Substantiva	F. Stein, Metall	-	Stein	*stone	857	STONE
Gabelentz-1891-121-38	38	III. Substantiva	F. Stein, Metall	-	Eisen	*iron	621	IRON
Gabelentz-1891-121-39	39	III. Substantiva	G. Feuer	-	Funke	spark	518	SPARK
Gabelentz-1891-121-40	40	III. Substantiva	G. Feuer	-	Flamme	flame	889	FLAME
Gabelentz-1891-121-41	41	III. Substantiva	G. Feuer	-	Rauch	smoke	778	SMOKE (EXHAUST)
Gabelentz-1891-121-42	42	III. Substantiva	G. Feuer	-	Asche	ash	646	ASH
Gabelentz-1891-121-43	43	III. Substantiva	G. Feuer	-	Kohle	coal	1188	CHARCOAL
Gabelentz-1891-121-44	44	III. Substantiva	H. Wasser	-	Wasser	*water	948	WATER
Gabelentz-1891-121-45	45	III. Substantiva	I. Pflanzen und ihre Teile	-	Baum	*tree	906	TREE
Gabelentz-1891-121-46	46	III. Substantiva	I. Pflanzen und ihre Teile	-	Ast	*branch	1531	BRANCH
Gabelentz-1891-121-47	47	III. Substantiva	I. Pflanzen und ihre Teile	-	Blume	*flower	239	FLOWER
Gabelentz-1891-121-48	48	III. Substantiva	K. Thiere	a. Säugetiere	Hund	*dog	2009	DOG
Gabelentz-1891-121-49	49	III. Substantiva	K. Thiere	b. Vögel u.s.w.	Vogel	*bird	937	BIRD
Gabelentz-1891-121-50	50	III. Substantiva	L. Mensch	-	Mensch	*human being	683	PERSON
Gabelentz-1891-121-51	51	III. Substantiva	M. Körperteile	a. Kopf	Kopf	*head	1256	HEAD
Gabelentz-1891-121-52	52	III. Substantiva	M. Körperteile	a. Kopf	Auge	*eye	1248	EYE
Gabelentz-1891-121-53	53	III. Substantiva	M. Körperteile	b. Hals, Rumpf	Hals	*neck	1333	NECK
Gabelentz-1891-121-54	54	III. Substantiva	M. Körperteile	c. Extremitäten	Hand	*hand	1277	HAND
Gabelentz-1891-121-55	55	III. Substantiva	M. Körperteile	c. Extremitäten	Fuß	*foot	1301	FOOT
Gabelentz-1891-121-56	56	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Haut	skin	763	SKIN
Gabelentz-1891-121-57	57	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Knochen	bone	1394	BONE
Gabelentz-1891-121-58	58	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Ader	vein	1924	VEIN
Gabelentz-1891-121-59	59	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Blut	blood	946	BLOOD
Gabelentz-1891-121-60	60	III. Substantiva	M. Körperteile	Anhang	Geist	ghost	1175	GHOST
Gabelentz-1891-121-61	61	III. Substantiva	M. Körperteile	Anhang	Schatten	shadow	1388	SHADE
Gabelentz-1891-121-62	62	III. Substantiva	M. Körperteile	Anhang	Name	name	1405	NAME
Gabelentz-1891-121-63	63	III. Substantiva	M. Körperteile	Anhang	Stimme	voice	1363	VOICE
Gabelentz-1891-121-64	64	III. Substantiva	M. Körperteile	Anhang	Wort	word	1599	WORD
Gabelentz-1891-121-65	65	III. Substantiva	N. Wohnung	-	Haus	*house	1252	HOUSE
Gabelentz-1891-121-66	66	III. Substantiva	O. Schiff	-	Boot	*boat	1844	BOAT
Gabelentz-1891-121-67	67	III. Substantiva	P. Waffen und Geräte	-	Messer	*knife	1352	KNIFE
Gabelentz-1891-121-68	68	III. Substantiva	Q. Gefässe	-	Tasse	*cup	476	CUP
Gabelentz-1891-121-69	69	III. Substantiva	R. Kleidung, Schmuck	-	Hose	trousers	809	TROUSERS
Gabelentz-1891-121-70	70	III. Substantiva	S. Nahrung	-	Fleisch	*meat	634	MEAT
Gabelentz-1891-121-71	71	III. Substantiva	T. Allgemeines	-	Ding	thing	738	THING
Gabelentz-1891-121-72	72	III. Substantiva	T. Allgemeines	-	Stück	piece	594	PIECE
Gabelentz-1891-121-73	73	III. Substantiva	T. Allgemeines	-	Theil	part	779	PART
Gabelentz-1891-121-74	74	III. Substantiva	T. Allgemeines	-	Masse	multitude	538	MULTITUDE
Gabelentz-1891-121-75	75	IV. Adjectiva	A. Gross	-	lang	long	1203	LONG
Gabelentz-1891-121-76	76	IV. Adjectiva	A. Gross	-	stark	strong	785	STRONG
Gabelentz-1891-121-77	77	IV. Adjectiva	A. Gross	-	dick	thick, fat	1244	THICK
Gabelentz-1891-121-78	78	IV. Adjectiva	A. Gross	-	dick	thick, fat	1279	FAT (OBESE)
Gabelentz-1891-121-79	79	IV. Adjectiva	A. Gross	-	hoch	high	1265	HIGH
Gabelentz-1891-121-80	80	IV. Adjectiva	A. Gross	-	alt	old	2113	OLD (USED)
Gabelentz-1891-121-81	81	IV. Adjectiva	A. Gross	-	schwer	heavy	1210	HEAVY
Gabelentz-1891-121-82	82	IV. Adjectiva	B. Klein	-	kurz	short	1645	SHORT
Gabelentz-1891-121-83	83	IV. Adjectiva	C. Gestalt, Konsistenz	-	rund	*round	1395	ROUND
Gabelentz-1891-121-84	84	IV. Adjectiva	C. Gestalt, Konsistenz	-	flüssig	*liquid	58	LIQUID
Gabelentz-1891-121-85	85	IV. Adjectiva	D. Farben	-	rot	*red	156	RED
Gabelentz-1891-121-86	86	IV. Adjectiva	D. Farben	-	blau	*blue	837	BLUE
Gabelentz-1891-121-87	87	IV. Adjectiva	D. Farben	-	weiß	*white	1335	WHITE
Gabelentz-1891-121-88	88	IV. Adjectiva	D. Farben	-	schwarz	*black	163	BLACK
Gabelentz-1891-121-89	89	IV. Adjectiva	D. Farben	-	grün	*green	1425	GREEN
Gabelentz-1891-121-90	90	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	wohlriechend	*fragrant	376	FRAGRANT
Gabelentz-1891-121-91	91	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	salzig	*salty	1091	SALTY
Gabelentz-1891-121-92	92	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	leise	*silent	48	BE SILENT
Gabelentz-1891-121-93	93	IV. Adjectiva	F. Körperliches Befinden	-	schwach	*weak	1601	WEAK
Gabelentz-1891-121-94	94	IV. Adjectiva	G. Gemüths- und Verstandeseigenschaften	-	wütend	*angry	2223	BE ANGRY
Gabelentz-1891-121-95	95	IV. Adjectiva	H. Allgemeines	-	wahr	true	1657	TRUE
Gabelentz-1891-121-96	96	IV. Adjectiva	H. Allgemeines	-	gleich	identical	2276	IDENTICAL
Gabelentz-1891-121-97	97	IV. Adjectiva	H. Allgemeines	-	ähnlich	similar	1558	SIMILAR
Gabelentz-1891-121-98	98	IV. Adjectiva	H. Allgemeines	-	ganz	whole	2277	WHOLE
Gabelentz-1891-121-99	99	IV. Adjectiva	H. Allgemeines	-	fertig	ready	790	READY
Gabelentz-1891-121-100	100	V. Adverbien	A. Der Zeit	-	lange	*for long	373	LONG AGO
Gabelentz-1891-121-101	101	V. Adverbien	B. Des Ortes	-	oben	*above	1741	ABOVE
Gabelentz-1891-121-102	102	V. Adverbien	C. Der Art und Weise	-	vielleicht	*perhaps	2278	PERHAPS
Gabelentz-1891-121-103	103	VI. Conjunctionen	-	-	weil	*because	1157	BECAUSE
Gabelentz-1891-121-104	104	VII. Präpositionen oder Postpositionen, Casusaffixe	-	-	unter	*under	1485	BELOW OR UNDER
Gabelentz-1891-121-105	105	VIII. Verba	A. Sagen, sprechen, u.s.w.	-	sprechen	*to speak	1623	SPEAK
Gabelentz-1891-121-106	106	VIII. Verba	B. Denken u.s.w.	-	wollen	to want	1784	WANT
Gabelentz-1891-121-107	107	VIII. Verba	B. Denken u.s.w.	-	lieben	to love	923	LOVE
Gabelentz-1891-121-108	108	VIII. Verba	B. Denken u.s.w.	-	hassen	to hate	1607	HATE
Gabelentz-1891-121-109	109	VIII. Verba	B. Denken u.s.w.	-	vergessen	to forget	1523	FORGET
Gabelentz-1891-121-110	110	VIII. Verba	C. Leben, Körperfunktionen	-	atmen	*to breathe	1407	BREATHE
Gabelentz-1891-121-111	111	VIII. Verba	D. Gehen, kommen u.s.w.	-	laufen	to run	1519	RUN
Gabelentz-1891-121-112	112	VIII. Verba	D. Gehen, kommen u.s.w.	-	treten	to step	2065	STEP (VERB)
Gabelentz-1891-121-113	113	VIII. Verba	D. Gehen, kommen u.s.w.	-	folgen	to follow	1085	FOLLOW
Gabelentz-1891-121-114	114	VIII. Verba	D. Gehen, kommen u.s.w.	-	steigen	to climb	1102	CLIMB
Gabelentz-1891-121-115	115	VIII. Verba	D. Gehen, kommen u.s.w.	-	fliessen	to float	1574	FLOAT
Gabelentz-1891-121-116	116	VIII. Verba	D. Gehen, kommen u.s.w.	-	fallen	to fall	1280	FALL
Gabelentz-1891-121-117	117	VIII. Verba	D. Gehen, kommen u.s.w.	-	tröpfeln	to drip	808	DRIP (FALL IN GLOBULES)
Gabelentz-1891-121-118	118	VIII. Verba	E. Da sein, verweilen	-	stehen	to stand	1442	STAND
Gabelentz-1891-121-119	119	VIII. Verba	E. Da sein, verweilen	-	sitzen	to sit	1416	SIT
Gabelentz-1891-121-120	120	VIII. Verba	E. Da sein, verweilen	-	liegen	to lie	1411	LIE (REST)
Gabelentz-1891-121-121	121	VIII. Verba	F. Andere Verba (Schwer zu classificirende, für die die alphabetische Ordnung als Nothbehelf dienen muss)	-	wissen	*to know	2248	KNOW (SOMEBODY)
