ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	CHINESE
Allen-2007-500-59	1318	CHICKEN	59	chicken	鸡
Allen-2007-500-60	1853	DOVE	60	turtledove	斑鸠
Allen-2007-500-61	937	BIRD	61	bird	鸟
Allen-2007-500-62	1905	EAGLE	62	eagle	老鹰
Allen-2007-500-63	913	CROW	63	crow	乌鸦
Allen-2007-500-64	2039	MAGPIE	64	magpie	喜鹊
Allen-2007-500-65	897	SWALLOW	65	swallow	燕子
Allen-2007-500-66	1854	SPARROW	66	sparrow	麻雀
Allen-2007-500-67	1793	BAT	67	bat	蝙蝠
Allen-2007-500-68	503	FROG	68	frog	青蛙
Allen-2007-500-69	227	FISH	69	fish	鱼
Allen-2007-500-70	730	SNAKE	70	snake	蛇
Allen-2007-500-71	665	BEE	71	bee	蜜蜂
Allen-2007-500-72	1791	BUTTERFLY	72	butterfly	蝴蝶
Allen-2007-500-73	810	LOCUST	73	locust	蚂蚱
Allen-2007-500-74	587	ANT	74	ant	蚂蚁
Allen-2007-500-75	843	SPIDER	75	spider	蜘蛛
Allen-2007-500-76	1949	BEDBUG	76	bedbug	臭虫
Allen-2007-500-77	232	FLEA	77	flea	跳蚤
Allen-2007-500-78	1392	LOUSE	78	louse	虱子
Allen-2007-500-79	1504	FLY (INSECT)	79	fly (insect)	苍蝇
Allen-2007-500-80	1509	MOSQUITO	80	mosquito	蚊子
Allen-2007-500-81	2350	EARTHWORM	81	earthworm	蚯蚓
Allen-2007-500-82	2273	LEECH	82	leech	水蛭
Allen-2007-500-83	1027	BUG	83	insect,bug	虫
Allen-2007-500-84	744	EGG	84	egg	蛋
Allen-2007-500-85	1257	WING	85	wing (bird)	翅膀
Allen-2007-500-86	1201	FEATHER	86	feather,hair	毛
Allen-2007-500-87	1393	HORN (ANATOMY)	87	horn	角
Allen-2007-500-88	1220	TAIL	88	tail	尾巴
Allen-2007-500-89	906	TREE	89	tree	树
Allen-2007-500-90	1740	PINE	90	pine tree	松树
Allen-2007-500-91	818	WILLOW	91	willow	柳树
Allen-2007-500-92	1927	BAMBOO	92	bamboo	竹子
Allen-2007-500-93	3390	WILD RICE	93	paddy field	水稻
Allen-2007-500-94	506	MAIZE	94	corn,maize	玉米
Allen-2007-500-95	932	BARLEY	95	barley	大麦
Allen-2007-500-96	2040	BUCKWHEAT	96	buckwheat	荞
Allen-2007-500-97	351	TARO	97	taro	芋头
Allen-2007-500-98	1850	COTTON	98	cotton	棉花
Allen-2007-500-99	2041	HEMP	99	hemp	麻
Allen-2007-500-100	832	BEAN	100	bean	豆子
Allen-2007-500-101	2025	PEA	101	pea	豌豆
Allen-2007-500-102	2027	SOYA	102	soybean	黄豆
Allen-2007-500-103	864	PUMPKIN	103	pumpkin	南瓜
Allen-2007-500-104	496	CUCUMBER	104	cucumber	黄瓜
Allen-2007-500-105	924	VEGETABLES	105	vegetable	菜
Allen-2007-500-106	919	CHILI PEPPER	106	chilli pepper	辣子
Allen-2007-500-107	1385	PEPPER	107	pepper	花椒
Allen-2007-500-108	2042	WALNUT	108	walnut	核桃
Allen-2007-500-109	2043	PEACH	109	peach	桃子
Allen-2007-500-110	922	PEAR	110	pear	梨子
Allen-2007-500-111	2044	PERSIMMON	111	persimmon	柿子
Allen-2007-500-112	606	GRASS	112	grass	草
Allen-2007-500-113	641	MUSHROOM	113	mushroom	菌子
Allen-2007-500-114	714	SEED	114	seed	种子
Allen-2007-500-115	670	ROOT	115	root	根
Allen-2007-500-116	628	LEAF	116	leaf	叶
Allen-2007-500-117	3358	SPROUT (SHOOT)	117	shoot,sprout	芽
Allen-2007-500-118	239	FLOWER	118	flower	花
Allen-2007-500-119	1507	FRUIT	119	fruit	果
Allen-2007-500-120	1762	STONE (OF FRUIT)	120	pit,stone	核
Allen-2007-500-121	275	PEEL	121	peel,husk	皮
Allen-2007-500-122	124	THORN	122	thorn	刺
Allen-2007-500-123	1480	BODY	123	body	身体
Allen-2007-500-124	1256	HEAD	124	head	头
Allen-2007-500-125	1040	HAIR	125	hair	头发
Allen-2007-500-126	1560	FACE	126	face	脸
Allen-2007-500-127	1248	EYE	127	eye	眼
Allen-2007-500-128	1221	NOSE	128	nose	鼻子
Allen-2007-500-129	1247	EAR	129	ear	耳朵
Allen-2007-500-130	674	MOUTH	130	mouth	嘴
Allen-2007-500-131	1380	TOOTH	131	tooth	牙
Allen-2007-500-132	1205	TONGUE	132	tongue	舌头
Allen-2007-500-133	678	BEARD	133	beard,moustache	胡子
Allen-2007-500-134	1333	NECK	134	neck	脖子
Allen-2007-500-135	1277	HAND	135	hand	手
Allen-2007-500-136	1303	FINGER	136	finger	手指
Allen-2007-500-137	1258	FINGERNAIL	137	fingernail	指甲
Allen-2007-500-138	1402	BREAST	138	breast	乳房
Allen-2007-500-139	1251	BELLY	139	belly,stomach	肚子
Allen-2007-500-140	1838	NAVEL	140	navel	肚脐
Allen-2007-500-141	1681	WAIST	141	waist	腰
Allen-2007-500-142	1301	FOOT	142	foot	脚
Allen-2007-500-143	1371	KNEE	143	knee	膝盖
Allen-2007-500-144	1394	BONE	144	bone	骨头
Allen-2007-500-145	946	BLOOD	145	blood	血
Allen-2007-500-146	489	KIDNEY	146	kidney	肾脏
Allen-2007-500-147	1991	INTESTINES	147	intestine,gut	肠子
Allen-2007-500-148	819	STOMACH	148	stomach	胃
Allen-2007-500-149	1223	HEART	149	heart	心
Allen-2007-500-150	1224	LIVER	150	liver	肝
Allen-2007-500-151	688	LUNG	151	lung	肺
Allen-2007-500-152	2458	PERSPIRE OR SWEAT	152	sweat	汗
Allen-2007-500-153	675	FAECES (EXCREMENT)	153	faeces	屎
Allen-2007-500-154	1142	URINE	154	urine	尿
Allen-2007-500-155	683	PERSON	155	person	人
Allen-2007-500-156	962	WOMAN	156	woman	女人
Allen-2007-500-157	725	OLD PERSON	157	old person	老人
Allen-2007-500-158	1801	CHILD (DESCENDANT)	158	child	儿童
Allen-2007-500-159	1669	ANCESTORS	159	ancestor	祖宗
Allen-2007-500-160	1383	GRANDFATHER	160	grandfather	祖父
Allen-2007-500-161	1496	GRANDMOTHER	161	grandmother	祖母
Allen-2007-500-162	1217	FATHER	162	father	父亲
Allen-2007-500-163	1216	MOTHER	163	mother	母亲
Allen-2007-500-164	1199	WIFE	164	wife	妻子
Allen-2007-500-165	1620	SON	165	son	儿子
Allen-2007-500-166	1357	DAUGHTER	166	daughter	女儿
Allen-2007-500-167	194	FAMILY	167	family	家
Allen-2007-500-168	1252	HOUSE	168	house	房
Allen-2007-500-169	930	VILLAGE	169	village	村子
Allen-2007-500-170	633	MARKET	170	market	街子
Allen-2007-500-171	667	ROAD	171	road	路
Allen-2007-500-172	1011	BRIDGE	172	bridge	桥
Allen-2007-500-173	933	WALL (OF HOUSE)	173	wall	墙
Allen-2007-500-174	2045	COLUMN	174	pillar,column	柱子
Allen-2007-500-175	1567	DOOR	175	door (cattle)	门
Allen-2007-500-176	851	STABLE	176	stall	圈（牛圈）
Allen-2007-500-177	1895	CLOTHES	177	clothing	衣服
Allen-2007-500-178	809	TROUSERS	178	trousers	裤
Allen-2007-500-179	2046	APRON	179	apron	围腰
Allen-2007-500-180	331	HEADDRESS	180	turban,headdress	包头
Allen-2007-500-181	771	HAT	181	cap,hat	帽子
Allen-2007-500-182	770	EARRING	182	earring	耳环
Allen-2007-500-183	1754	BRACELET	183	bracelet	手镯
Allen-2007-500-184	2160	BAMBOO HAT	184	bamboo hat	斗笠
Allen-2007-500-185	1662	CAPE	185	palm bark rain cape	蓑衣
Allen-2007-500-186	1381	SHOE	186	shoe	鞋
Allen-2007-500-187	2047	STRAW SANDAL	187	straw sandal	草鞋
Allen-2007-500-188	195	MAT	188	straw mat	草席
Allen-2007-500-189	2048	QUILT	189	quilt	被子
Allen-2007-500-190	1616	CLOTH	190	cloth	布
Allen-2007-500-191	2161	HEMP CLOTH	191	hemp cloth	麻布
Allen-2007-500-192	3289	UNCOOKED RICE	192	uncooked rice	米
Allen-2007-500-193	1191	COOKED RICE	193	cooked rice	饭
Allen-2007-500-194	2049	CONGEE	194	congee	稀饭
Allen-2007-500-195	1322	BREAKFAST	195	breakfast	早饭
Allen-2007-500-196	768	LUNCH	196	lunch	午饭
Allen-2007-500-197	1833	DINNER (SUPPER)	197	dinner (evening meal)	晚饭
Allen-2007-500-198	1282	FAT (FROM ANIMALS)	198	animal oil	动物油(脂肪)
Allen-2007-500-199	2555	OIL (FROM PLANTS)	199	vegetable oil	植物油
Allen-2007-500-200	1274	SALT	200	salt	盐
Allen-2007-500-201	634	MEAT	201	meat	肉
Allen-2007-500-202	256	FOOD	202	cooked food	菜（熟菜）
Allen-2007-500-203	1547	SOUP	203	soup	汤
Allen-2007-500-204	404	ALCOHOL (FERMENTED DRINK)	204	alcohol (drink)	酒
Allen-2007-500-205	1373	TEA	205	tea (drink)	茶
Allen-2007-500-206	862	SUGAR	206	brown sugar	红糖
Allen-2007-500-207	1352	KNIFE	207	knife	刀
Allen-2007-500-208	284	HOE	208	hoe	锄头
Allen-2007-500-209	2154	PLOUGH (INSTRUMENT)	209	plough (implement)	犁
Allen-2007-500-210	636	MILL	210	mill,grind	磨
Allen-2007-500-211	3353	SIEVE (TOOL)	211	sieve	筛子
Allen-2007-500-212	245	BROOM	212	broom	扫帚
Allen-2007-500-213	2051	DUSTPAN	213	dustpan	簸箕
Allen-2007-500-214	2052	BUCKET	214	bucket	桶
Allen-2007-500-215	915	SINK (BASIN)	215	basin	盆
Allen-2007-500-216	2053	SMALL BOWL	216	small bowl	小碗
Allen-2007-500-217	1987	CHOPSTICKS	217	chopstick	筷子
Allen-2007-500-218	2055	CLAY POT	218	clay pot	土罐
Allen-2007-500-219	1321	BOTTLE	219	bottle	瓶子
Allen-2007-500-220	2056	WOK	220	wok	锅（扁锅）
Allen-2007-500-221	859	STOVE	221	stove	灶
Allen-2007-500-222	10	FIREWOOD	222	firewood	柴
Allen-2007-500-223	2057	DUNG (ANIMAL FAECES)	223	animal faeces,dung	粪
Allen-2007-500-224	1775	TABLE	224	table	桌子
Allen-2007-500-225	2058	STOOL	225	stool,low chair	凳子
Allen-2007-500-226	1663	BED	226	bed	床
Allen-2007-500-227	34	STAIRS	227	stairs	楼梯
Allen-2007-500-228	1464	LADDER	228	ladder	木梯
Allen-2007-500-229	1596	LOCK	229	lock	锁
Allen-2007-500-230	1472	KEY	230	key	钥匙
Allen-2007-500-231	1171	MIRROR	231	mirror	镜子
Allen-2007-500-232	1475	COMB	232	comb	梳子
Allen-2007-500-233	356	SHEARS	233	scissors	剪刀
Allen-2007-500-234	648	PAPER	234	paper	纸
Allen-2007-500-235	794	PEN	235	pen	笔
Allen-2007-500-236	963	BOOK	236	book	书本
Allen-2007-500-237	2059	FOLK SONG	237	folk song	民歌
Allen-2007-500-238	1879	DANCE	238	dance	舞蹈
Allen-2007-500-239	2060	STORY	239	story	故事
Allen-2007-500-240	1115	SPEECH	240	word,speech	话
Allen-2007-500-241	1811	SOUND OR NOISE	241	sound,voice	声音
Allen-2007-500-242	1405	NAME	242	name	名字
Allen-2007-500-243	738	THING	243	thing	东西
Allen-2007-500-244	2150	MATTER	244	matter	事情
Allen-2007-500-245	3231	DEITY	245	deity,spirit	神
Allen-2007-500-246	1175	GHOST	246	ghost	鬼
Allen-2007-500-247	2061	BUDDHA	247	Buddha	佛
Allen-2007-500-248	811	SOUL	248	soul	魂
Allen-2007-500-249	202	STRENGTH	249	strength	力气
Allen-2007-500-250	1559	MONEY	250	money	钱
Allen-2007-500-251	242	COST	251	price,cost	价钱
Allen-2007-500-252	2062	INTEREST	252	interest	利息
Allen-2007-500-253	718	PAY	253	salary,pay	工钱
Allen-2007-500-254	1372	MEDICINE	254	medicine	药
Allen-2007-500-255	1819	LOOK	255	look	看
Allen-2007-500-256	1409	SEE	256	see	见
Allen-2007-500-257	2063	CLOSE (EYES)	257	close (eyes)	闭（眼）
Allen-2007-500-258	1608	LISTEN	258	listen	听
Allen-2007-500-259	1587	SMELL (STINK)	259	smell (vb)	臭、闻
Allen-2007-500-260	1336	EAT	260	eat	吃
Allen-2007-500-261	1401	DRINK	261	drink	喝
Allen-2007-500-262	1403	BITE	262	bite	咬
Allen-2007-500-263	321	CHEW	263	chew	嚼
Allen-2007-500-264	1440	SPIT	264	spit	吐（痰）
Allen-2007-500-265	1278	VOMIT	265	vomit	呕吐
Allen-2007-500-266	175	BLOW (OF WIND)	266	blow	吹
Allen-2007-500-267	724	READ	267	read	读
Allen-2007-500-268	715	SHOUT	268	shout	喊
Allen-2007-500-269	1448	HOLD	269	hold	拿
Allen-2007-500-270	2133	STRIKE OR BEAT	270	hit (table)	拍（桌子）
Allen-2007-500-271	2148	PICK	271	pick (fruit)	摘（果子）
Allen-2007-500-272	3236	TWIST (TOGETHER)	272	twist (rope)	搓（绳子）
Allen-2007-500-273	371	PICK UP	273	pick up from ground (grain)	拾（谷子）
Allen-2007-500-274	2064	SCATTER (SEEDS)	274	scatter (seeds)	播（种）
Allen-2007-500-275	1455	PULL	275	pull	拉
Allen-2007-500-276	1452	PUSH	276	push	推
Allen-2007-500-277	1135	KICK	277	kick	踢
Allen-2007-500-278	66	KNEEL	278	kneel	跪
Allen-2007-500-279	575	TREAD	279	step on	踩
Allen-2007-500-280	367	RIDE	280	ride	骑
Allen-2007-500-281	1443	WALK	281	walk	走
Allen-2007-500-282	1416	SIT	282	sit	坐
Allen-2007-500-283	465	CARRY ON BACK	283	carry (thing) on back	背（物）
Allen-2007-500-284	2153	CARRY PERSON ON BACK	284	carry person on back	背（人）
Allen-2007-500-285	1280	FALL	285	fall down	跌倒
Allen-2007-500-286	1102	CLIMB	286	climb	爬
Allen-2007-500-287	168	REST	287	rest	休息
Allen-2007-500-288	1585	SLEEP	288	sleep	睡
Allen-2007-500-289	1602	WAKE UP	289	wake up	醒
Allen-2007-500-290	813	DO	290	do (work)	做（活）
Allen-2007-500-291	984	WORK (LABOUR)	291	labour	劳动
Allen-2007-500-292	1921	PLOUGH	292	plough (field)	犁（田）
Allen-2007-500-293	1486	PLANT (SOMETHING)	293	plant (seed)	栽种
Allen-2007-500-294	1432	CUT	294	cut,reap	割
Allen-2007-500-295	3151	CUT (WITH AXE)	295	chop (firewood)	砍（柴）
Allen-2007-500-296	2066	PULL UP (RICE SEEDLINGS)	296	pull up (rice seedlings)	拔（秧）
Allen-2007-500-297	2031	PUT OUT TO PASTURE	297	put out to pasture	放牧
Allen-2007-500-298	739	FEED	298	feed (fatten up)	喂（催膘）
Allen-2007-500-299	43	LEAD (GUIDE)	299	lead (cow)	牵（牛）
Allen-2007-500-300	133	WEAVE	300	weave (cloth)	织（布）
Allen-2007-500-301	1869	BUY	301	buy	买
Allen-2007-500-302	1571	SELL	302	sell	卖
Allen-2007-500-303	180	CALL BY NAME	303	call (name)	称
Allen-2007-500-304	709	TEACH	304	teach	教
Allen-2007-500-305	1672	WRITE	305	write	写
Allen-2007-500-306	254	STICKING	306	stick,glue	贴
Allen-2007-500-307	2067	STEAM (VERB)	307	steam (yams)	煮（洋芋）
Allen-2007-500-308	991	FRY	308	stir-fry	炒
Allen-2007-500-309	2162	STIR FRY	309	shallow fry	煎
Allen-2007-500-310	2068	BRAISE (VERB)	310	braise	蒸
Allen-2007-500-311	2069	SOAK (VERB)	311	soak (seeds)	浸（种）
Allen-2007-500-312	792	BOIL (OF LIQUID)	312	boil (water)	沸（水开）
Allen-2007-500-313	2156	CUT (WITH KNIFE)	313	cut (with knife)	切
Allen-2007-500-314	2149	CHOP (INTO PIECES)	314	chop	剁
Allen-2007-500-315	2155	CUT (WITH SCISSORS)	315	cut (with scissors)	剪
Allen-2007-500-316	1033	GRIND	316	grind (wheat)	磨（面）
Allen-2007-500-317	976	WEAR	317	wear (hat)	戴（帽）
Allen-2007-500-318	357	HANG UP	318	hang out (clothes)	晾（衣）
Allen-2007-500-319	3364	DRY IN SUN	319	dry (sthg) in sun	晒
Allen-2007-500-320	1453	WASH	320	wash	洗
Allen-2007-500-321	231	SHAVE	321	shave (head)	剃（头）
Allen-2007-500-322	2070	COMB (VERB)	322	comb (hair)	梳（头）
Allen-2007-500-323	230	SWEEP	323	sweep	扫（地）
Allen-2007-500-324	1156	OPEN	324	open (door)	开（门）
Allen-2007-500-325	2071	LAY (VERB)	325	lay aside	放置
Allen-2007-500-326	2486	HIDE	326	hide	藏
Allen-2007-500-327	1576	PILE UP	327	pile up	堆（放）
Allen-2007-500-328	737	LIGHT (IGNITE)	328	light (lamp)	点（灯）
Allen-2007-500-329	694	GET	329	receive	收
Allen-2007-500-330	1660	LOSE	330	lose (can't find)	遗失
Allen-2007-500-331	1468	LOOK FOR	331	look for	寻找
Allen-2007-500-332	2072	USE (VERB)	332	use	用（使用）
Allen-2007-500-333	1413	PLAY	333	play	玩耍
Allen-2007-500-334	1309	ASK (INQUIRE)	334	ask	问
Allen-2007-500-335	1275	ANSWER	335	answer	答
Allen-2007-500-336	1711	TELL	336	tell	告诉
Allen-2007-500-337	1848	QUARREL	337	quarrel	骂架
Allen-2007-500-338	1897	HELP	338	help	帮助
Allen-2007-500-339	1831	MEET	339	meet	遇见
Allen-2007-500-340	956	FLEE	340	flee	逃
Allen-2007-500-341	1047	PURSUE	341	chase	追
Allen-2007-500-342	2073	ROB (VERB)	342	rob	抢
Allen-2007-500-343	713	STEAL	343	steal	偷
Allen-2007-500-344	3230	DECEIVE	344	deceive,cheat	骗
Allen-2007-500-345	1826	ANGRY	345	angry	生气
Allen-2007-500-346	1607	HATE	346	hate	恨
Allen-2007-500-347	1419	FEAR (BE AFRAID)	347	fear	怕
Allen-2007-500-348	1355	LAUGH	348	laugh	笑
Allen-2007-500-349	1839	CRY	349	cry	哭
Allen-2007-500-350	923	LOVE	350	love	爱
Allen-2007-500-351	1117	LIKE	351	like	喜欢
Allen-2007-500-352	1890	BELIEVE	352	believe	相信
Allen-2007-500-353	1410	KNOW (SOMETHING)	353	know	知道
Allen-2007-500-354	1932	GUESS	354	guess	猜
Allen-2007-500-355	707	REMEMBER	355	remember	记得
Allen-2007-500-356	1523	FORGET	356	forget	忘记
Allen-2007-500-357	2271	THINK	357	think	想
Allen-2007-500-358	1784	WANT	358	want	要
Allen-2007-500-359	971	MUST	359	must	得
Allen-2007-500-360	972	BE ABLE	360	able to	会
Allen-2007-500-361	1579	BE	361	is	是
Allen-2007-500-362	2152	THERE IS OR THERE ARE	362	there is	有
Allen-2007-500-363	1446	COME	363	come	来
Allen-2007-500-364	695	GO	364	go	去
Allen-2007-500-365	581	COME BACK	365	return	回
Allen-2007-500-366	1387	ARRIVE	366	to (reach)	到
Allen-2007-500-367	705	GO UP (ASCEND)	367	up (mountain)	上（山）
Allen-2007-500-368	2014	GO DOWN (DESCEND)	368	down (mountain)	下（山）
Allen-2007-500-369	1107	GO OUT	369	go out	出（出去）
Allen-2007-500-370	749	ENTER	370	go in	进（进来）
Allen-2007-500-371	750	DROP	371	drop,fall	掉
Allen-2007-500-372	2558	BREAK (CLEAVE)	372	snap,break in two	断
Allen-2007-500-373	680	BREAK (DESTROY OR GET DESTROYED)	373	break,cleave	破
Allen-2007-500-374	2163	MARRY (AS WOMAN)	374	marry (of woman)	嫁
Allen-2007-500-375	2164	MARRY (AS MAN)	375	marry (of man)	娶
Allen-2007-500-376	1195	GIVE BIRTH	376	give birth	分娩
Allen-2007-500-377	552	GROW UP	377	grow (of people)	长（长大）
Allen-2007-500-378	1847	SICK	378	be sick,ill	病
Allen-2007-500-379	52	SHIVER	379	shiver	发抖
Allen-2007-500-380	1573	SWELL	380	swell	肿
Allen-2007-500-381	1494	DIE	381	die	死
Allen-2007-500-382	1206	BARKING	382	bark (of dog)	吠
Allen-2007-500-383	2074	CROW (VERB)	383	crow (noise of cock)	啼(鸡鸣)
Allen-2007-500-384	2075	BROOD (VERB)	384	incubate	孵
Allen-2007-500-385	2076	SPROUT (VERB)	385	sprout (vb)	发(芽)
Allen-2007-500-386	1202	BIG	386	big	大
Allen-2007-500-387	1246	SMALL	387	small	小
Allen-2007-500-388	711	TALL	388	high,tall	高
Allen-2007-500-389	721	LOW	389	low	底
Allen-2007-500-390	1203	LONG	390	long	长
Allen-2007-500-391	1645	SHORT	391	short	短
Allen-2007-500-392	2151	COARSE	392	thick,coarse	粗
Allen-2007-500-393	2157	FINE OR THIN	393	fine,thin	细
Allen-2007-500-394	1244	THICK	394	thick	厚
Allen-2007-500-395	2306	THIN (OF LEAF AND CLOTH)	395	thin,flimsy	薄
Allen-2007-500-396	1406	FAR	396	far	远
Allen-2007-500-397	1942	NEAR	397	near	近
Allen-2007-500-398	1198	MANY	398	much,many	多
Allen-2007-500-399	1242	FEW	399	few	少
Allen-2007-500-400	1404	STRAIGHT	400	straight	直
Allen-2007-500-401	1052	LIGHT (WEIGHT)	401	light (not heavy)	轻
Allen-2007-500-402	1210	HEAVY	402	heavy	重
Allen-2007-500-403	1884	HARD	403	hard	硬
Allen-2007-500-404	679	BRIGHT	404	light,bright	亮
Allen-2007-500-405	706	DARK	405	dark	暗
Allen-2007-500-406	156	RED	406	red	红
Allen-2007-500-407	1424	YELLOW	407	yellow	黄
Allen-2007-500-408	837	BLUE	408	blue	蓝
Allen-2007-500-409	1335	WHITE	409	white	白
Allen-2007-500-410	163	BLACK	410	black	黑
Allen-2007-500-411	1425	GREEN	411	green	绿
Allen-2007-500-412	1429	FULL	412	full	满
Allen-2007-500-413	1279	FAT (OBESE)	413	fat (pig)	肥(猪)
Allen-2007-500-414	704	CLEAN	414	clean	干净
Allen-2007-500-415	2112	OLD (AGED)	415	old	老
Allen-2007-500-416	1035	GOOD	416	good	好
Allen-2007-500-417	1292	BAD	417	bad	坏
Allen-2007-500-418	701	SLOW	418	slow	慢
Allen-2007-500-419	1398	DRY	419	dry	干
Allen-2007-500-420	1726	WET	420	wet	湿
Allen-2007-500-421	1231	NEW	421	new	新
Allen-2007-500-422	2113	OLD (USED)	422	old	旧
Allen-2007-500-423	1959	RAW	423	raw	生
Allen-2007-500-424	269	COOKED	424	cooked	熟
Allen-2007-500-425	1396	SHARP	425	sharp (knife)	快(刀)
Allen-2007-500-426	379	BLUNT	426	blunt (knife)	钝(刀)
Allen-2007-500-427	672	EARLY	427	early	早
Allen-2007-500-428	425	BE LATE	428	late	迟
Allen-2007-500-429	1426	EXPENSIVE	429	expensive	贵
Allen-2007-500-430	1887	CHEAP	430	cheap	便宜
Allen-2007-500-431	686	EASY	431	easy	容易
Allen-2007-500-432	584	DIFFICULT	432	difficult	难
Allen-2007-500-433	1286	HOT	433	hot	热
Allen-2007-500-434	1287	COLD	434	cold	冷
Allen-2007-500-435	1232	WARM	435	warm	暖和
Allen-2007-500-436	1906	SOUR	436	sour	酸
Allen-2007-500-437	717	SWEET	437	sweet	甜
Allen-2007-500-438	887	BITTER	438	bitter	苦
Allen-2007-500-439	544	SPICY	439	hot (spicy)	辣
Allen-2007-500-440	1091	SALTY	440	salty	咸
Allen-2007-500-441	376	FRAGRANT	441	fragrant	香
Allen-2007-500-442	42	STINKING	442	smelly	臭
Allen-2007-500-443	847	THIRSTY	443	thirsty	渴
Allen-2007-500-444	1757	TIRED	444	tired	累
Allen-2007-500-445	1129	PAINFUL	445	painful	痛
Allen-2007-500-446	2077	DILIGENT	446	diligent	勤
Allen-2007-500-447	1564	LAZY	447	lazy	懒
Allen-2007-500-448	1674	POOR	448	poor	穷
Allen-2007-500-449	712	RICH	449	rich	富
Allen-2007-500-450	1493	ONE	450	one	一
Allen-2007-500-451	1498	TWO	451	two	二
Allen-2007-500-452	492	THREE	452	three	三
Allen-2007-500-453	1500	FOUR	453	four	四
Allen-2007-500-454	493	FIVE	454	five	五
Allen-2007-500-455	1703	SIX	455	six	六
Allen-2007-500-456	1704	SEVEN	456	seven	七
Allen-2007-500-457	1705	EIGHT	457	eight	八
Allen-2007-500-458	1483	NINE	458	nine	九
Allen-2007-500-459	1515	TEN	459	ten	十
Allen-2007-500-460	1634	HUNDRED	460	one hundred	一百
Allen-2007-500-461	1843	THOUSAND	461	one thousand	一千
Allen-2007-500-462	2078	TEN THOUSAND	462	ten thousand	一万
Allen-2007-500-463	516	PERSON (CLASSIFIER)	463	CLS for person	个（人）
