ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lionnet-1985-364-173	173	heder	stink	1587	SMELL (STINK)
Lionnet-1985-364-174	174	henderse	cleave		
Lionnet-1985-364-175	175	hermana mayor	older sister	1758	OLDER SISTER
Lionnet-1985-364-176	176	hermana mayor del padre	father's older sister	3041	PATERNAL AUNT (FATHER'S OLDER SISTER)
Lionnet-1985-364-177	177	hermana menor	younger sister	1761	YOUNGER SISTER
Lionnet-1985-364-178	178	hermana menor de la madre	mother's younger sister	3043	MATERNAL AUNT (MOTHER'S YOUNGER SISTER)
Lionnet-1985-364-179	179	hermana menor del padre	father's younger sister		
Lionnet-1985-364-180	180	hermano mayor	older brother	1759	OLDER BROTHER
Lionnet-1985-364-181	181	hermano mayor del padre	father's older brother	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)
Lionnet-1985-364-182	182	hermano menor	younger brother	1760	YOUNGER BROTHER
Lionnet-1985-364-183	183	hermano menor de la madre	mother's younger brother	3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)
Lionnet-1985-364-184	184	hervirse	boil (in water)		
Lionnet-1985-364-185	185	hígado	liver	1224	LIVER
Lionnet-1985-364-186	186	higo	fig	322	FIG
Lionnet-1985-364-187	187	hija del padre	daughter of father	3778	DAUGHTER (OF MALE EGO)
Lionnet-1985-364-188	188	hijo	son	1620	SON
Lionnet-1985-364-189	189	hijo del padre	son of father	3779	SON (OF MALE EGO)
Lionnet-1985-364-190	190	hilar	spin	121	SPIN
Lionnet-1985-364-191	191	hoja	leaf	628	LEAF
Lionnet-1985-364-192	192	hombre	man	1554	MAN
Lionnet-1985-364-193	193	huaraches	sandals		
Lionnet-1985-364-194	194	hueso	bone	1394	BONE
Lionnet-1985-364-195	195	huevo	egg	744	EGG
Lionnet-1985-364-196	196	humear	to smoke (fire)	2859	SMOKE (EMIT SMOKE)
Lionnet-1985-364-197	197	humo	smoke	778	SMOKE (EXHAUST)
Lionnet-1985-364-198	198	invierno	winter	1471	WINTER
Lionnet-1985-364-199	199	ir	go	695	GO
Lionnet-1985-364-200	200	jilotear	for an ear of corn to form		
Lionnet-1985-364-201	201	largo	long	1203	LONG
Lionnet-1985-364-202	202	lavar	wash	1453	WASH
Lionnet-1985-364-203	203	lejos	far	1406	FAR
Lionnet-1985-364-204	204	lengua	tongue	1205	TONGUE
Lionnet-1985-364-205	205	león	lion (cougar)	1386	LION
Lionnet-1985-364-206	206	liebre	hare	1190	HARE
Lionnet-1985-364-207	207	limpiarse	clean up		
Lionnet-1985-364-208	208	llaga	wound	1109	WOUND
Lionnet-1985-364-209	209	llano	plain	652	PLAIN
Lionnet-1985-364-210	210	llegarse	arrive, reach	1387	ARRIVE
Lionnet-1985-364-211	211	llorar	cry	1839	CRY
Lionnet-1985-364-212	212	llover	to rain	1253	RAIN (RAINING)
Lionnet-1985-364-213	213	lodo	mud	640	MUD
Lionnet-1985-364-214	214	loma	hill	614	HILL
Lionnet-1985-364-215	215	lumbre	fire	221	FIRE
Lionnet-1985-364-216	216	luna	moon	1313	MOON
Lionnet-1985-364-217	217	macho, varón	male	1553	MALE
Lionnet-1985-364-218	218	madre	mother	1216	MOTHER
Lionnet-1985-364-219	219	madurarse, cocerse	ripen, become cooked	179	RIPEN
Lionnet-1985-364-220	220	maíz	maize	506	MAIZE
Lionnet-1985-364-221	221	mamar	suckle	1421	SUCK
Lionnet-1985-364-222	222	mano	hand	1277	HAND
Lionnet-1985-364-223	223	marido	husband	1200	HUSBAND
Lionnet-1985-364-224	224	marrano	pig	1337	PIG
Lionnet-1985-364-225	225	masticar	chew	321	CHEW
Lionnet-1985-364-226	226	mata de fruta con cuernos	plant with horned fruits		
Lionnet-1985-364-227	227	matar	kill	1417	KILL
Lionnet-1985-364-228	228	matar (compl. plur.)	kill several		
Lionnet-1985-364-229	229	metate	grindstone	2459	GRINDSTONE
Lionnet-1985-364-230	230	mezcal	agave		
Lionnet-1985-364-231	231	moco, catarro	mucus, slime, snot	208	NASAL MUCUS (SNOT)
Lionnet-1985-364-232	232	mojarse	become wet	2324	GET WET
Lionnet-1985-364-233	233	moler	grind	1033	GRIND
Lionnet-1985-364-234	234	morder	bite	1403	BITE
Lionnet-1985-364-235	235	morirse (suj. plur.)	die (several)		
Lionnet-1985-364-236	236	morirse (suj sg.)	die (one)	1494	DIE
Lionnet-1985-364-237	237	mosca	fly	1504	FLY (INSECT)
Lionnet-1985-364-238	238	mucho	many	1198	MANY
Lionnet-1985-364-239	239	murciélago	bat	1793	BAT
Lionnet-1985-364-240	240	muslo	thigh	471	UPPER LEG (THIGH)
Lionnet-1985-364-241	241	nariz	nose	1221	NOSE
Lionnet-1985-364-242	242	nervio	nerve	2626	NERVE
Lionnet-1985-364-243	243	nido	nest	539	NEST
Lionnet-1985-364-244	244	nieve	snow	784	SNOW
Lionnet-1985-364-245	245	noche, obscuridad	night, darkness	1233	NIGHT
Lionnet-1985-364-246	246	nombre	name	1405	NAME
Lionnet-1985-364-247	247	nube	cloud	1489	CLOUD
Lionnet-1985-364-248	248	nuevo	new	1231	NEW
Lionnet-1985-364-249	249	obscurecerse	darken		
Lionnet-1985-364-250	250	ocote	pine		
Lionnet-1985-364-251	251	ojo	eye	1248	EYE
Lionnet-1985-364-252	252	oler (mal)	stink	1587	SMELL (STINK)
Lionnet-1985-364-253	253	olote	degrained corncob		
Lionnet-1985-364-254	254	ombligo	navel	1838	NAVEL
Lionnet-1985-364-255	255	oreja	ear	1247	EAR
Lionnet-1985-364-256	256	orinar	urinate	592	PISS
Lionnet-1985-364-257	257	orines	urine	1142	URINE
Lionnet-1985-364-258	258	oscuro	dark	706	DARK
Lionnet-1985-364-259	259	pájaro	bird	937	BIRD
Lionnet-1985-364-260	260	palma	palm	1183	PALM OF HAND
Lionnet-1985-364-261	261	palo, madera	stick, wood	1295	STICK
Lionnet-1985-364-262	262	panza	belly	1251	BELLY
Lionnet-1985-364-263	263	papa	potato	593	POTATO
Lionnet-1985-364-264	264	pararse	stand up	570	STAND UP
Lionnet-1985-364-265	265	párpados	eyelid	17	EYELID
Lionnet-1985-364-266	266	patear	kick	1135	KICK
Lionnet-1985-364-267	267	pecho	chest	1592	CHEST
Lionnet-1985-364-268	268	pedir	ask, request	1828	ASK (REQUEST)
Lionnet-1985-364-269	269	peinarse	to comb	2070	COMB (VERB)
Lionnet-1985-364-270	270	pelo, lana	hair, wool	2381	FEATHER OR FUR OR HAIR
Lionnet-1985-364-271	271	pene	penis	1222	PENIS
Lionnet-1985-364-272	272	perder en el juego	lose in a game	1660	LOSE
Lionnet-1985-364-273	273	perro	dog	2009	DOG
Lionnet-1985-364-274	274	perseguir	pursue	1047	PURSUE
Lionnet-1985-364-275	275	pesado	heavy	1210	HEAVY
Lionnet-1985-364-276	276	pescado	fish	227	FISH
Lionnet-1985-364-277	277	picar	sting	571	STING
Lionnet-1985-364-278	278	pie	foot	1301	FOOT
Lionnet-1985-364-279	279	piedra	stone	857	STONE
