ID	NUMBER	STATUS	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miller-1994-281-150	150	e	cut	1432	CUT
Miller-1994-281-151	151	i	stab	1434	STAB
Miller-1994-281-152	152	i	dig	1418	DIG
Miller-1994-281-153	153	i	scratch	1436	SCRATCH
Miller-1994-281-154	154a	e	squeeze	1414	SQUEEZE
Miller-1994-281-155	154b	e	wring	3224	WRING
Miller-1994-281-156	155	i	man	1554	MAN
Miller-1994-281-157	156	i	woman	962	WOMAN
Miller-1994-281-158	157	i	person	683	PERSON
Miller-1994-281-159	158	i	father	1217	FATHER
Miller-1994-281-160	159	i	mother	1216	MOTHER
Miller-1994-281-161	160	e	child	2099	CHILD
Miller-1994-281-162	161	i	husband	1200	HUSBAND
Miller-1994-281-163	162	i	wife	1199	WIFE
Miller-1994-281-164	163	i	brother	1262	BROTHER
Miller-1994-281-165	164	i	younger sibling	427	YOUNGER SIBLING
Miller-1994-281-166	165	i	name	1405	NAME
Miller-1994-281-167	167	i	I	1209	I
Miller-1994-281-168	168	i	you	1215	THOU
Miller-1994-281-169	169	e	he, she	2642	HE OR SHE
Miller-1994-281-170	170	e	we (incl)	1131	WE (INCLUSIVE)
Miller-1994-281-171	171	e	you	1213	YOU
Miller-1994-281-172	172	e	they	817	THEY
Miller-1994-281-173	173	i	field rice	2026	RICE PLANT
Miller-1994-281-174	174	i	pounded rice	926	RICE
Miller-1994-281-175	175	i	cooked rice	1191	COOKED RICE
Miller-1994-281-176	176	i	corn	506	MAIZE
Miller-1994-281-177	177	i	salt	1274	SALT
Miller-1994-281-178	178	i	red pepper	919	CHILI PEPPER
Miller-1994-281-179	179	e	betel chew		
Miller-1994-281-180	180	i	pestle	225	PESTLE
Miller-1994-281-181	181	i	mortar	224	MORTAR
Miller-1994-281-182	182	e	to steam	2067	STEAM (VERB)
Miller-1994-281-183	183	i	firewood	10	FIREWOOD
Miller-1994-281-184	184	e	fire	221	FIRE
Miller-1994-281-185	185	e	burn	2102	BURN
Miller-1994-281-186	186	i	ashes	646	ASH
Miller-1994-281-187	187	i	smoke	778	SMOKE (EXHAUST)
Miller-1994-281-188	188	i	road	667	ROAD
Miller-1994-281-189	189	i	house	1252	HOUSE
Miller-1994-281-190	190	i	roof	769	ROOF
Miller-1994-281-191	191	p	cord	1218	ROPE
Miller-1994-281-192	192	i	sew	1457	SEW
Miller-1994-281-193	193	e	clothing	1895	CLOTHES
Miller-1994-281-194	194	e	loincloth	1965	LOINCLOTH
Miller-1994-281-195	195	i	work	1086	WORK (ACTIVITY)
Miller-1994-281-196	196	i	play	1413	PLAY
Miller-1994-281-197	197	e	sing	1261	SING
Miller-1994-281-198	198	i	dance	1879	DANCE
Miller-1994-281-199	199	p	drum	908	DRUM
Miller-1994-281-200	200	p	gong	2502	GONG
Miller-1994-281-201	201	i	buy	1869	BUY
Miller-1994-281-202	202	i	crossbow	3193	CROSSBOW
Miller-1994-281-203	203	i	arrow	977	ARROW
Miller-1994-281-204	204	p	spear	945	SPEAR
Miller-1994-281-205	205	i	shoot	1172	SHOOT
Miller-1994-281-206	206	e	hunt	1435	HUNT
Miller-1994-281-207	207	i	kill	1417	KILL
Miller-1994-281-208	208	e	fight	1423	FIGHT
Miller-1994-281-209	209	i	one	1493	ONE
Miller-1994-281-210	210	i	two	1498	TWO
Miller-1994-281-211	211	i	three	492	THREE
Miller-1994-281-212	212	i	four	1500	FOUR
Miller-1994-281-213	213	i	five	493	FIVE
Miller-1994-281-214	214	i	six	1703	SIX
Miller-1994-281-215	215	i	seven	1704	SEVEN
Miller-1994-281-216	216	i	eight	1705	EIGHT
Miller-1994-281-217	217	i	nine	1483	NINE
Miller-1994-281-218	218	i	ten	1515	TEN
Miller-1994-281-219	219	e	twenty	1710	TWENTY
Miller-1994-281-220	220	i	hundred	1634	HUNDRED
Miller-1994-281-221	221	i	all	98	ALL
Miller-1994-281-222	222	p	many	1198	MANY
Miller-1994-281-223	223	e	some	1241	SOME
Miller-1994-281-224	224	e	few	1242	FEW
Miller-1994-281-225	225	i	big	1202	BIG
Miller-1994-281-226	226	i	small	1246	SMALL
Miller-1994-281-227	227	i	long	1203	LONG
Miller-1994-281-228	228	i	tall	711	TALL
Miller-1994-281-229	229a	p	short (length)	1645	SHORT
Miller-1994-281-230	229b	p	low (height)	2191	LOW (HEIGHT)
Miller-1994-281-231	230	p	round	1395	ROUND
Miller-1994-281-232	231	i	smoot	1234	SMOOTH
Miller-1994-281-233	232	i	thick	1244	THICK
Miller-1994-281-234	233	i	thin	2308	THIN
Miller-1994-281-235	234	i	wide	1243	WIDE
Miller-1994-281-236	235	i	narrow	1267	NARROW
Miller-1994-281-237	236	i	black	163	BLACK
Miller-1994-281-238	237	i	red	156	RED
Miller-1994-281-239	238	i	white	1335	WHITE
Miller-1994-281-240	239	i	green	1425	GREEN
Miller-1994-281-241	240	i	yellow	1424	YELLOW
Miller-1994-281-242	241	e	dry	1398	DRY
Miller-1994-281-243	242	i	wet	1726	WET
Miller-1994-281-244	243	i	rotten	1728	ROTTEN
Miller-1994-281-245	244	e	swell	1573	SWELL
Miller-1994-281-246	245	i	full (container)	1429	FULL
Miller-1994-281-247	246	e	dirty	1230	DIRTY
Miller-1994-281-248	247	i	sharp (blade)	1396	SHARP
Miller-1994-281-249	248	e	dull	379	BLUNT
Miller-1994-281-250	249	i	new	1231	NEW
Miller-1994-281-251	250	e	hot	1286	HOT
Miller-1994-281-252	251	e	cold	1287	COLD
Miller-1994-281-253	252	i	heavy	1210	HEAVY
Miller-1994-281-254	253	i	straight	1404	STRAIGHT
Miller-1994-281-255	254	i	right	1019	RIGHT
Miller-1994-281-256	255	e	good	1035	GOOD
Miller-1994-281-257	256a	e	bad	1292	BAD
Miller-1994-281-258	256b	e	evil	45	EVIL
Miller-1994-281-259	257a	i	old (object)	2113	OLD (USED)
Miller-1994-281-260	257b	i	old (person)	2112	OLD (AGED)
Miller-1994-281-261	258	i	far	1406	FAR
Miller-1994-281-262	259	i	near	1942	NEAR
Miller-1994-281-263	260	i	rightside	1019	RIGHT
Miller-1994-281-264	261	i	leftside	244	LEFT
Miller-1994-281-265	262	e	same	200	SAME
Miller-1994-281-266	263	i	different	2504	DIFFERENT
Miller-1994-281-267	264	e	here	136	HERE
Miller-1994-281-268	265	e	there	1937	THERE
Miller-1994-281-269	266	i	this	1214	THIS
Miller-1994-281-270	267	i	that	78	THAT
Miller-1994-281-271	268	e	when?	1238	WHEN
Miller-1994-281-272	269	i	where?	1237	WHERE
Miller-1994-281-273	270	e	who?	1235	WHO
Miller-1994-281-274	271	i	what?	1236	WHAT
Miller-1994-281-275	272	e	and	1577	AND
Miller-1994-281-276	273	e	with	1340	WITH
Miller-1994-281-277	274	e	at	1461	AT
Miller-1994-281-278	275	e	because	1157	BECAUSE
Miller-1994-281-279	276	e	how	1239	HOW
Miller-1994-281-280	277	e	if	1459	IF
Miller-1994-281-281	278	e	in	1460	IN
Miller-1994-281-282	279	i	not	1240	NOT
Miller-1994-281-283	280	e	yet	2577	YET
Miller-1994-281-284	281	i	already	2576	ALREADY
