ID	NUMBER	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	Category
Marchese-1983-311-27	27	moustique	1509	MOSQUITO	mosquito	LES ANIMAUX
Marchese-1983-311-28	28	mouton	1331	SHEEP	sheep	LES ANIMAUX
Marchese-1983-311-29	29	mygale			tarantula	LES ANIMAUX
Marchese-1983-311-30	30	oiseau	937	BIRD	bird	LES ANIMAUX
Marchese-1983-311-31	31	pangolin	2508	PANGOLIN	pangolin	LES ANIMAUX
Marchese-1983-311-32	32	panthère	1139	LEOPARD	panther	LES ANIMAUX
Marchese-1983-311-33	33	papillon	1791	BUTTERFLY	butterfly	LES ANIMAUX
Marchese-1983-311-34	34	pintade	456	GUINEA FOWL	guineafowl	LES ANIMAUX
Marchese-1983-311-35	35	poisson	227	FISH	fish	LES ANIMAUX
Marchese-1983-311-36	36	pou	1392	LOUSE	louse	LES ANIMAUX
Marchese-1983-311-37	37	poule	1514	HEN	hen	LES ANIMAUX
Marchese-1983-311-38	38	python (boa)			python (boa)	LES ANIMAUX
Marchese-1983-311-39	39	rat	1490	RAT	rat	LES ANIMAUX
Marchese-1983-311-40	40	sauterelle	607	GRASSHOPPER	grasshopper	LES ANIMAUX
Marchese-1983-311-41	41	scorpion	1538	SCORPION	scorpion	LES ANIMAUX
Marchese-1983-311-42	42	serpent	730	SNAKE	snake	LES ANIMAUX
Marchese-1983-311-43	43	silure			catfish	LES ANIMAUX
Marchese-1983-311-44	44	souris	1491	MOUSE	mouse	LES ANIMAUX
Marchese-1983-311-45	45	termite	883	TERMITE	termite	LES ANIMAUX
Marchese-1983-311-46	46	tortue (terre)	895	TORTOISE	turtle (ground)	LES ANIMAUX
Marchese-1983-311-47	47	ver	1219	WORM	worm	LES ANIMAUX
Marchese-1983-311-48	48	arbre	906	TREE	tree	LES VEGETAUX
Marchese-1983-311-49	49	banane plantain	399	PLANTAIN	plantain	LES VEGETAUX
Marchese-1983-311-50	50	bois de chauffage	10	FIREWOOD	firewood	LES VEGETAUX
Marchese-1983-311-51	51	brousse	1683	BUSH	bush	LES VEGETAUX
Marchese-1983-311-52	52	caouchouc			caoutchouc	LES VEGETAUX
Marchese-1983-311-53	53	champignon	641	MUSHROOM	mushroom	LES VEGETAUX
Marchese-1983-311-54	54	charbon de bois	1188	CHARCOAL	charcoal	LES VEGETAUX
Marchese-1983-311-55	55	citron	3091	LEMON	lemon	LES VEGETAUX
Marchese-1983-311-56	56	coco	970	COCONUT	coconut	LES VEGETAUX
Marchese-1983-311-57	57	éponge			sponge	LES VEGETAUX
Marchese-1983-311-58	58	feu	221	FIRE	fire	LES VEGETAUX
Marchese-1983-311-59	59	fromager			cheesemonger	LES VEGETAUX
Marchese-1983-311-60	60	fruit	1507	FRUIT	fruit	LES VEGETAUX
Marchese-1983-311-61	61	gombo	1737	OKRA	okra	LES VEGETAUX
Marchese-1983-311-62	62	graine	714	SEED	seed	LES VEGETAUX
Marchese-1983-311-63	63	graine de palme			palm seed	LES VEGETAUX
Marchese-1983-311-64	64	herbe	606	GRASS	grass	LES VEGETAUX
Marchese-1983-311-65	65	huile	1484	OIL (ORGANIC SUBSTANCE)	oil	LES VEGETAUX
Marchese-1983-311-66	66	igname	410	YAM	yam	LES VEGETAUX
Marchese-1983-311-67	67	kaolin			kaolin	LES VEGETAUX
Marchese-1983-311-68	68	kola			kola	LES VEGETAUX
Marchese-1983-311-69	69	maïs	506	MAIZE	but	LES VEGETAUX
Marchese-1983-311-70	70	mil	931	MILLET	mil	LES VEGETAUX
Marchese-1983-311-71	71	palmier à huile			oil palm tree	LES VEGETAUX
Marchese-1983-311-72	72	palmier (raphia)	1181	PALM TREE	palm (raffia)	LES VEGETAUX
Marchese-1983-311-73	73	papaye	2445	PAPAYA	papaya	LES VEGETAUX
Marchese-1983-311-74	74	piment	919	CHILI PEPPER	chili pepper	LES VEGETAUX
Marchese-1983-311-75	75	riz	926	RICE	rice	LES VEGETAUX
Marchese-1983-311-76	76	tabac	974	TOBACCO	tobacco	LES VEGETAUX
Marchese-1983-311-77	77	taro	351	TARO	taro	LES VEGETAUX
Marchese-1983-311-78	78	albinos			albino	L'ÊTRE HUMAIN
Marchese-1983-311-79	79	ami	1325	FRIEND	friend	L'ÊTRE HUMAIN
Marchese-1983-311-80	80	bété			bété (language)	L'ÊTRE HUMAIN
Marchese-1983-311-81	81	blanc	1335	WHITE	white	L'ÊTRE HUMAIN
Marchese-1983-311-82	82	enfant	2099	CHILD	child	L'ÊTRE HUMAIN
Marchese-1983-311-83	83	épouse	1199	WIFE	wife	L'ÊTRE HUMAIN
Marchese-1983-311-84	84	époux	1200	HUSBAND	husband	L'ÊTRE HUMAIN
Marchese-1983-311-85	85	femme	962	WOMAN	women	L'ÊTRE HUMAIN
Marchese-1983-311-86	86	homme (être humain)	683	PERSON	man (human)	L'ÊTRE HUMAIN
Marchese-1983-311-87	87	homme (mâle)	1554	MAN	human (male)	L'ÊTRE HUMAIN
Marchese-1983-311-88	88	mère	1216	MOTHER	mother	L'ÊTRE HUMAIN
Marchese-1983-311-89	89	père	1217	FATHER	dad	L'ÊTRE HUMAIN
Marchese-1983-311-90	90	aile	1257	WING	wing	L'ÊTRE HUMAIN
Marchese-1983-311-91	91	barbe	678	BEARD	beard	L'ÊTRE HUMAIN
Marchese-1983-311-92	92	bosse	1903	SWELLING	bump	L'ÊTRE HUMAIN
Marchese-1983-311-93	93	bouche	674	MOUTH	mouth	L'ÊTRE HUMAIN
Marchese-1983-311-94	94	boyaux	1334	GUTS	hoses	L'ÊTRE HUMAIN
Marchese-1983-311-95	95	bras	1673	ARM	arms	L'ÊTRE HUMAIN
Marchese-1983-311-96	96	chair	2259	FLESH	flesh	L'ÊTRE HUMAIN
Marchese-1983-311-97	97	cheveu	2648	HAIR (HEAD)	hair	L'ÊTRE HUMAIN
Marchese-1983-311-98	98	coeur	1223	HEART	heart	L'ÊTRE HUMAIN
Marchese-1983-311-99	99	corne	1393	HORN (ANATOMY)	horn	L'ÊTRE HUMAIN
Marchese-1983-311-100	100	cou	1333	NECK	neck	L'ÊTRE HUMAIN
Marchese-1983-311-101	101	dent	1380	TOOTH	tooth	L'ÊTRE HUMAIN
Marchese-1983-311-102	102	doigt	1303	FINGER	finger	L'ÊTRE HUMAIN
Marchese-1983-311-103	103	dos	1291	BACK	back	L'ÊTRE HUMAIN
Marchese-1983-311-104	104	épaule	1482	SHOULDER	shoulder	L'ÊTRE HUMAIN
Marchese-1983-311-105	105	foie	1224	LIVER	liver	L'ÊTRE HUMAIN
Marchese-1983-311-106	106	front	123	FOREHEAD	forehead	L'ÊTRE HUMAIN
Marchese-1983-311-107	107	genou	1371	KNEE	knee	L'ÊTRE HUMAIN
Marchese-1983-311-108	108	griffe	72	CLAW	claw	L'ÊTRE HUMAIN
Marchese-1983-311-109	109	jambe	1297	LEG	leg	L'ÊTRE HUMAIN
Marchese-1983-311-110	110	force			strength, force	L'ÊTRE HUMAIN
Marchese-1983-311-111	111	langue	1205	TONGUE	tongue	L'ÊTRE HUMAIN
Marchese-1983-311-112	112	menton	1510	CHIN	chin	L'ÊTRE HUMAIN
Marchese-1983-311-113	113	nez	1221	NOSE	nose	L'ÊTRE HUMAIN
Marchese-1983-311-114	114	nombril	1838	NAVEL	belly button	L'ÊTRE HUMAIN
Marchese-1983-311-115	115	oeil	1248	EYE	eye	L'ÊTRE HUMAIN
Marchese-1983-311-116	116	oreille	1247	EAR	hear	L'ÊTRE HUMAIN
Marchese-1983-311-117	117	os	1394	BONE	bone	L'ÊTRE HUMAIN
Marchese-1983-311-118	118	peau	763	SKIN	skin	L'ÊTRE HUMAIN
Marchese-1983-311-119	119	plume	1201	FEATHER	feather	L'ÊTRE HUMAIN
Marchese-1983-311-120	120	poitrine	1592	CHEST	chest	L'ÊTRE HUMAIN
Marchese-1983-311-121	121	queue	1220	TAIL	tail	L'ÊTRE HUMAIN
Marchese-1983-311-122	122	salive	1503	SALIVA	saliva	L'ÊTRE HUMAIN
Marchese-1983-311-123	123	sang	946	BLOOD	blood	L'ÊTRE HUMAIN
Marchese-1983-311-124	124	sein	1402	BREAST	breast	L'ÊTRE HUMAIN
Marchese-1983-311-125	125	tête	1256	HEAD	head	L'ÊTRE HUMAIN
Marchese-1983-311-126	126	aiguille	1382	NEEDLE (FOR SEWING)	needle	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-127	127	canari			canary	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-128	128	corde	1218	ROPE	rope	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-129	129	couteau	1352	KNIFE	knife	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-130	130	filet de pêche	388	FISHNET	fishnet	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-131	131	flèche	977	ARROW	arrow	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-132	132	fusil	1566	GUN	gun	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-133	133	hache	677	AXE	axe	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-134	134	hameçon	1074	FISHHOOK	fish hook	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-135	135	houe	284	HOE	hoe	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-136	136	lance	945	SPEAR	spear	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-137	137	machette	2680	MACHETE	machete	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-138	138	mortier	224	MORTAR	mortar	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-139	139	peigne	1475	COMB	comb	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-140	140	pilon	225	PESTLE	pestle	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-141	141	pipe	1124	PIPE	pipe for smoking	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-142	142	tambour	908	DRUM	drum	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-143	143	van			winnowing basket	LES OBJETS FABRIQUES PAR L'HOMME
Marchese-1983-311-144	144	année	1226	YEAR	year	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-145	145	arc en ciel	1733	RAINBOW	rainbow	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-146	146	argent	1559	MONEY	money	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-147	147	attiéké			attiéké	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-148	148	aujourd'hui	1283	TODAY	today	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-149	149	boisson (vin)	731	BEVERAGE	beverage (wine)	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-150	150	brouillard	249	FOG	fog	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-151	151	campement	1105	CAMP	camp	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-152	152	cauri	3663	COWRIE SHELL	cowrie	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-153	153	cendre	646	ASH	ash	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-154	154	champ	212	FIELD	field	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-155	155	chapeau	771	HAT	hat	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-156	156	chose	738	THING	thing	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-157	157	concession			concession	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-158	158	conte	2937	FAIRY TALE	tale	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-159	159	demain	1329	TOMORROW	tomorrow	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-160	160	Dieu	1944	GOD	God	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-161	161	eau	948	WATER	water	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-162	162	étoile	1430	STAR	star	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-163	163	excrément	675	FAECES (EXCREMENT)	excrement	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-164	164	faim	1864	HUNGER	hunger	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-165	165	fer	621	IRON	iron	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-166	166	feuille	628	LEAF	leaf	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-167	167	funérailles	3336	FUNERAL	funeral	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-168	168	fumée	778	SMOKE (EXHAUST)	smoke	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-169	169	gale	3172	SCABIES	scabies	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-170	170	guerre	935	WAR	war	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-171	171	héritage			heritage	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-172	172	hier	1174	YESTERDAY	yesterday	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-173	173	homonyme			namesake	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-174	174	honte	1776	SHAME	shame	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-175	175	jour	1225	DAY (NOT NIGHT)	day	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-176	176	là-bas	3411	OVER THERE	over there	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-177	177	langue (parole)	1307	LANGUAGE	language (speech)	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-178	178	lune	1313	MOON	moon	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-179	179	maison	1252	HOUSE	house	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-180	180	matin	1339	MORNING	morning	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-181	181	médicament	1372	MEDICINE	drug	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-182	182	mensonge	2826	LIE (FALSEHOOD)	lie (n)	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-183	183	mer	1474	SEA	sea	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-184	184	mort	910	DEATH	death	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-185	185	natte	195	MAT	mat	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-186	186	nom	1405	NAME	last name	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-187	187	nouvelle	2964	NEWS	news	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-188	188	nourriture	256	FOOD	food	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-189	189	nuit	1233	NIGHT	night	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-190	190	odeur	3704	ODOR (SMELL)	odor	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-191	191	oeuf	744	EGG	egg	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-192	192	or	1369	GOLD	gold	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-193	193	pagne	1965	LOINCLOTH	loincloth	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-194	194	palabre			palaver	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-195	195	palissade	1690	FENCE	fence	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-196	196	pirogue	2189	DUGOUT	pirogue	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-197	197	plaie	1109	WOUND	wound	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-198	198	porte	1567	DOOR	door	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-199	199	poussière	2	DUST	dust	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-200	200	pus	1808	PUS	pus	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-201	201	sel	1274	SALT	salt	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-202	202	semaine	1469	WEEK	week	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-203	203	soleil	1343	SUN	sun	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-204	204	sueur	126	SWEAT (PERSPIRE)	sweat (n)	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-205	205	terre	1228	EARTH (SOIL)	earth	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-206	206	travail	984	WORK (LABOUR)	work (n)	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-207	207	trou	1667	HOLE	hole	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-208	208	vent	960	WIND	wind	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-209	209	village	930	VILLAGE	town	LES SUBSTANTIFS GENERAUX
Marchese-1983-311-210	210	un	1493	ONE	one	LES NUMERAUX
Marchese-1983-311-211	211	deux	1498	TWO	two	LES NUMERAUX
Marchese-1983-311-212	212	trois	492	THREE	three	LES NUMERAUX
Marchese-1983-311-213	213	quatre	1500	FOUR	four	LES NUMERAUX
Marchese-1983-311-214	214	cinq	493	FIVE	five	LES NUMERAUX
Marchese-1983-311-215	215	six	1703	SIX	six	LES NUMERAUX
Marchese-1983-311-216	216	sept	1704	SEVEN	seven	LES NUMERAUX
Marchese-1983-311-217	217	huit	1705	EIGHT	eight	LES NUMERAUX
Marchese-1983-311-218	218	neuf	1483	NINE	nine	LES NUMERAUX
Marchese-1983-311-219	219	dix	1515	TEN	ten	LES NUMERAUX
Marchese-1983-311-220	220	vingt	1710	TWENTY	twenty	LES NUMERAUX
Marchese-1983-311-221	221	cent	1634	HUNDRED	hundred	LES NUMERAUX
Marchese-1983-311-222	222	acheter	1869	BUY	to buy	LES VERBES
Marchese-1983-311-223	223	accoucher	1195	GIVE BIRTH	to give birth	LES VERBES
Marchese-1983-311-224	224	aiguiser	251	SHARPEN (SOMETHING)	to sharpen	LES VERBES
Marchese-1983-311-225	225	aimer	923	LOVE	to love	LES VERBES
Marchese-1983-311-226	226	aller	695	GO	to go	LES VERBES
Marchese-1983-311-227	227	allumer	737	LIGHT (IGNITE)	to light up	LES VERBES
Marchese-1983-311-228	228	appeler	1084	CALL	to call	LES VERBES
Marchese-1983-311-229	229	apprendre	504	LEARN	to learn	LES VERBES
Marchese-1983-311-230	230	arriver	1387	ARRIVE	to arrive	LES VERBES
Marchese-1983-311-231	231	asseoir	1416	SIT	to sit	LES VERBES
Marchese-1983-311-232	232	attacher	1917	TIE	to tie	LES VERBES
Marchese-1983-311-233	233	attendre	1590	WAIT (FOR)	to wait	LES VERBES
Marchese-1983-311-234	234	avaler	897	SWALLOW	to swallow	LES VERBES
Marchese-1983-311-235	235	balayer	230	SWEEP	to sweep	LES VERBES
Marchese-1983-311-236	236	bâtir	1840	BUILD	to build	LES VERBES
Marchese-1983-311-237	237	battre	2133	STRIKE OR BEAT	to beat, to hit	LES VERBES
Marchese-1983-311-238	238	(se) battre	1423	FIGHT	to fight	LES VERBES
Marchese-1983-311-239	239	boire	1401	DRINK	to drink	LES VERBES
Marchese-1983-311-240	240	bouillir	792	BOIL (OF LIQUID)	to boil	LES VERBES
Marchese-1983-311-241	241	brûler	2102	BURN	to burn	LES VERBES
Marchese-1983-311-242	242	cacher	602	HIDE (CONCEAL)	to hide	LES VERBES
Marchese-1983-311-243	243	chanter	1261	SING	to sing	LES VERBES
Marchese-1983-311-244	244	chercher	1468	LOOK FOR	to search	LES VERBES
Marchese-1983-311-245	245	choisir	1750	CHOOSE	to choose	LES VERBES
Marchese-1983-311-246	246	comprendre	1536	UNDERSTAND	to understand	LES VERBES
Marchese-1983-311-247	247	compter	1420	COUNT	to count	LES VERBES
Marchese-1983-311-248	248	coucher	2071	LAY (VERB)	to lay down	LES VERBES
Marchese-1983-311-249	249	couler	2003	FLOW	to flow	LES VERBES
Marchese-1983-311-250	250	couper	1432	CUT	to cut	LES VERBES
Marchese-1983-311-251	251	creuser	1418	DIG	to dig	LES VERBES
Marchese-1983-311-252	252	crier	715	SHOUT	to yell	LES VERBES
Marchese-1983-311-253	253	cuire (préparer	1100	COOK (SOMETHING)	to cook (prepare	LES VERBES
Marchese-1983-311-254	254	être debout	1442	STAND	to stand	LES VERBES
Marchese-1983-311-255	255	déféquer	676	SHIT (DEFECATE)	to defecate	LES VERBES
Marchese-1983-311-256	256	descendre	2014	GO DOWN (DESCEND)	to go down	LES VERBES
Marchese-1983-311-257	257	donner	1447	GIVE	to give	LES VERBES
Marchese-1983-311-258	258	dormir	1585	SLEEP	to sleep	LES VERBES
Marchese-1983-311-259	259	enfiler			to thread	LES VERBES
Marchese-1983-311-260	260	enfler	1573	SWELL	to swell	LES VERBES
Marchese-1983-311-261	261	entendre	1408	HEAR	to hear	LES VERBES
Marchese-1983-311-262	262	entrer	749	ENTER	to enter	LES VERBES
Marchese-1983-311-263	263	faire	2575	DO OR MAKE	to make, to do	LES VERBES
Marchese-1983-311-264	264	fatiguer	1996	GET TIRED	to get tired	LES VERBES
Marchese-1983-311-265	265	fermer	1046	SHUT	to close	LES VERBES
Marchese-1983-311-266	266	finir	1766	FINISH	to finish	LES VERBES
Marchese-1983-311-267	267	glisser	1324	SLIP	to slip	LES VERBES
Marchese-1983-311-268	268	gratter			to scratch, to scrape	LES VERBES
Marchese-1983-311-269	269	insulter	3204	INSULT	to insult	LES VERBES
Marchese-1983-311-270	270	jurer	1939	SWEAR	to swear	LES VERBES
Marchese-1983-311-271	271	lancer	1456	THROW	to throw	LES VERBES
Marchese-1983-311-272	272	laver	1453	WASH	to wash	LES VERBES
Marchese-1983-311-273	273	(se) laver	3371	WASH (ONESELF)	to wash (oneself)	LES VERBES
Marchese-1983-311-274	274	macher	321	CHEW	to chew	LES VERBES
Marchese-1983-311-275	275	manger	1336	EAT	to eat	LES VERBES
Marchese-1983-311-276	276	marcher	1443	WALK	to walk	LES VERBES
Marchese-1983-311-277	277	monter	705	GO UP (ASCEND)	to ascend	LES VERBES
Marchese-1983-311-278	278	mordre	1403	BITE	to bite	LES VERBES
Marchese-1983-311-279	279	mourir	1494	DIE	to die	LES VERBES
Marchese-1983-311-280	280	oublier	1523	FORGET	to forget	LES VERBES
Marchese-1983-311-281	281	pardonner	1528	FORGIVE	to forgive	LES VERBES
Marchese-1983-311-282	282	penser	1415	THINK (REFLECT)	to think	LES VERBES
Marchese-1983-311-283	283	percer	1501	BORE	to drill	LES VERBES
Marchese-1983-311-284	284	prendre	1749	TAKE	to take	LES VERBES
Marchese-1983-311-285	285	piler	1033	GRIND	to crush, to grind	LES VERBES
Marchese-1983-311-286	286	pleurer	1839	CRY	to cry	LES VERBES
Marchese-1983-311-287	287	porter (tête)	414	CARRY ON HEAD	to carry (head)	LES VERBES
Marchese-1983-311-288	288	pousser	1452	PUSH	to push	LES VERBES
Marchese-1983-311-289	289	promener	2890	WALK (TAKE A WALK)	to walk	LES VERBES
Marchese-1983-311-290	290	raser	231	SHAVE	to shave	LES VERBES
Marchese-1983-311-291	291	regarder	1819	LOOK	to watch, to look at	LES VERBES
Marchese-1983-311-292	292	rire	1355	LAUGH	to laugh	LES VERBES
Marchese-1983-311-293	293	saluer	3552	GREET	to greet	LES VERBES
Marchese-1983-311-294	294	sauter	1829	JUMP	to jump	LES VERBES
Marchese-1983-311-295	295	savoir	1410	KNOW (SOMETHING)	to know	LES VERBES
Marchese-1983-311-296	296	secouer	1909	SHAKE	to shake	LES VERBES
Marchese-1983-311-297	297	semer	748	SOW SEEDS	to sow	LES VERBES
Marchese-1983-311-298	298	suivre	1085	FOLLOW	to follow	LES VERBES
Marchese-1983-311-299	299	têter	2472	SUCKLE (BREASTFEED, NURSE)	to suck	LES VERBES
Marchese-1983-311-300	300	tirer (vers)	1455	PULL	to pull	LES VERBES
Marchese-1983-311-301	301	tomber	1280	FALL	to fall	LES VERBES
Marchese-1983-311-302	302	tousser	879	COUGH	to cough	LES VERBES
Marchese-1983-311-303	303	tuer	1417	KILL	to kill	LES VERBES
Marchese-1983-311-304	304	uriner	592	PISS	to urinate	LES VERBES
Marchese-1983-311-305	305	venir	1446	COME	to come	LES VERBES
Marchese-1983-311-306	306	verser	1487	POUR	to pour	LES VERBES
Marchese-1983-311-307	307	voir	1409	SEE	to see	LES VERBES
Marchese-1983-311-308	308	voler (object)	713	STEAL	to steal (object)	LES VERBES
Marchese-1983-311-309	309	voler (oiseau)	1441	FLY (MOVE THROUGH AIR)	to fly (bird)	LES VERBES
Marchese-1983-311-310	310	vomir	1278	VOMIT	to vomit	LES VERBES
Marchese-1983-311-311	311	vouloir	1784	WANT	to want	LES VERBES
