ID	NUMBER	NO	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lundgren-2020-275-85	85	85	DRIP (INTR.)		
Lundgren-2020-275-86	86	86	DRUNK	1463	DRUNK
Lundgren-2020-275-87	87	87	DRY (V.)		
Lundgren-2020-275-88	88	88	DUST~SAND	2	DUST
Lundgren-2020-275-89	89	89	EAR	1247	EAR
Lundgren-2020-275-90	90	90	EGG	744	EGG
Lundgren-2020-275-91	91	91	ENCOUNTER		
Lundgren-2020-275-92	92	92	ENTER	749	ENTER
Lundgren-2020-275-93	93	93	EYE~FACE	1248	EYE
Lundgren-2020-275-94	94	94	FALL (INTR.)	1280	FALL
Lundgren-2020-275-95	95	95	FAR	1406	FAR
Lundgren-2020-275-96	96	96	FAT~LARD		
Lundgren-2020-275-97	97	97	FELLOW MAN		
Lundgren-2020-275-98	98	98	FIREFLY	206	FIREFLY
Lundgren-2020-275-99	99	99	FISH	227	FISH
Lundgren-2020-275-100	100	100	FISH (TR.)	2638	FISHING
Lundgren-2020-275-101	101	101	FISH POISON	348	FISH POISON
Lundgren-2020-275-102	102	102	FISHING NET	388	FISHNET
Lundgren-2020-275-103	103	103	FLAME (V.)		
Lundgren-2020-275-104	104	104	FLAT	1633	FLAT
Lundgren-2020-275-105	105	105	FLY	1504	FLY (INSECT)
Lundgren-2020-275-106	106	106	FLY (INTR.)	1441	FLY (MOVE THROUGH AIR)
Lundgren-2020-275-107	107	107	FOOT	1301	FOOT
Lundgren-2020-275-108	108	108	FOREST	420	FOREST
Lundgren-2020-275-109	109	109	FORGET (TR.)	1523	FORGET
Lundgren-2020-275-110	110	110	FOUR	1500	FOUR
Lundgren-2020-275-111	111	111	FRIEND~LOVER		
Lundgren-2020-275-112	112	112	FROG	503	FROG
Lundgren-2020-275-113	113	113	FRUIT	1507	FRUIT
Lundgren-2020-275-114	114	114	GARBAGE	909	GARBAGE
Lundgren-2020-275-115	115	115	GIVE	1447	GIVE
Lundgren-2020-275-116	116	116	GO DOWNRIVER (INTR.)		
Lundgren-2020-275-117	117	117	GOURD	411	GOURD
Lundgren-2020-275-118	118	118	GRAB	855	SEIZE
Lundgren-2020-275-119	119	119	GRANDCHILD (F. EGO)	3782	GRANDCHILD (OF FEMALE EGO)
Lundgren-2020-275-120	120	120	GRANDFATHER	1383	GRANDFATHER
Lundgren-2020-275-121	121	121	GRASS	606	GRASS
Lundgren-2020-275-122	122	122	GREEN	1425	GREEN
Lundgren-2020-275-123	123	123	GRILL		
Lundgren-2020-275-124	124	124	HAMMOCK	2019	HAMMOCK
Lundgren-2020-275-125	125	125	HAND	1277	HAND
Lundgren-2020-275-126	126	126	HAPPY	1495	HAPPY
Lundgren-2020-275-127	127	127	HARD	1884	HARD
Lundgren-2020-275-128	128	128	HEAD	1256	HEAD
Lundgren-2020-275-129	129	129	HEAR (TR.)	1408	HEAR
Lundgren-2020-275-130	130	130	HEART	1223	HEART
Lundgren-2020-275-131	131	131	HEAVY	1210	HEAVY
Lundgren-2020-275-132	132	132	HIGH UP (ADV.)	1265	HIGH
Lundgren-2020-275-133	133	133	HOLE	1667	HOLE
Lundgren-2020-275-134	134	134	HORN	1393	HORN (ANATOMY)
Lundgren-2020-275-135	135	135	HORSEFLY	3262	HORSEFLY
Lundgren-2020-275-136	136	136	HOUSE	1252	HOUSE
Lundgren-2020-275-137	137	137	HOWLER MONKEY	433	HOWLER MONKEY
Lundgren-2020-275-138	138	138	HUNGRY	1533	BE HUNGRY
Lundgren-2020-275-139	139	139	HURT		
Lundgren-2020-275-140	140	140	HUSBAND	1200	HUSBAND
Lundgren-2020-275-141	141	141	INDIGENOUS PERSON	3612	INDIGENOUS PEOPLES OF THE AMERICAS
Lundgren-2020-275-142	142	142	INVITE (TR.)	1611	INVITE
Lundgren-2020-275-143	143	143	ISLAND	622	ISLAND
Lundgren-2020-275-144	144	144	JOIN~ATTACH	1917	TIE
Lundgren-2020-275-145	145	145	KILL	1417	KILL
Lundgren-2020-275-146	146	146	KNIFE	1352	KNIFE
Lundgren-2020-275-147	147	147	LAKE	624	LAKE
Lundgren-2020-275-148	148	148	LAND	626	LAND
Lundgren-2020-275-149	149	149	LARVA	2640	LARVA
Lundgren-2020-275-150	150	150	LATE	477	LATE
Lundgren-2020-275-151	151	151	LEAVE (TR.)		
Lundgren-2020-275-152	152	152	LEAVE FROM (INTR.)	1752	LEAVE
Lundgren-2020-275-153	153	153	LIVER~HEART	1224	LIVER
Lundgren-2020-275-154	154	154	LONG	1203	LONG
Lundgren-2020-275-155	155	155	LONG TIME AGO	373	LONG AGO
Lundgren-2020-275-156	156	156	LOOK (INTR.)	1819	LOOK
Lundgren-2020-275-157	157	157	LOOK FOR (TR.)	1468	LOOK FOR
Lundgren-2020-275-158	158	158	LOSE WAY		
Lundgren-2020-275-159	159	159	LOSE ONESELF		
Lundgren-2020-275-160	160	160	LOUSE	1392	LOUSE
Lundgren-2020-275-161	161	161	LUNG~BREATHE (INTR.)	688	LUNG
Lundgren-2020-275-162	162	162	MACAW	1630	MACAW
Lundgren-2020-275-163	163	163	MANIOC FLOUR	324	MANIOC FLOUR
Lundgren-2020-275-164	164	164	MANY~MUCH	1198	MANY
Lundgren-2020-275-165	165	165	MIX (TR.)~PRESS	2017	MIX
Lundgren-2020-275-166	166	166	MONKEY	1350	MONKEY
Lundgren-2020-275-167	167	167	MOON	1313	MOON
Lundgren-2020-275-168	168	168	MOSQUITO	1509	MOSQUITO
Lundgren-2020-275-169	169	169	MOURN	1955	GRIEVE
Lundgren-2020-275-170	170	170	MOUSE~RAT	2139	MUROID (MOUSE OR RAT)
Lundgren-2020-275-171	171	171	MOUTH	674	MOUTH
Lundgren-2020-275-172	172	172	NAIL (BODY PART)	1896	FINGERNAIL OR TOENAIL
Lundgren-2020-275-173	173	173	NAME		
Lundgren-2020-275-174	174	174	NECK~THROAT	1333	NECK
Lundgren-2020-275-175	175	175	NEPHEW	1063	NEPHEW
Lundgren-2020-275-176	176	176	NEW	1231	NEW
Lundgren-2020-275-177	177	177	NIGHT	1233	NIGHT
Lundgren-2020-275-178	178	178	NOSE	1221	NOSE
Lundgren-2020-275-179	179	179	OBEY (TR.)	1635	OBEY
Lundgren-2020-275-180	180	180	OPEN (TR.)	1156	OPEN
Lundgren-2020-275-181	181	181	OTHER	197	OTHER
Lundgren-2020-275-182	182	182	OWNER	1036	OWNER
Lundgren-2020-275-183	183	183	PACA	316	PACA
Lundgren-2020-275-184	184	184	PADDLE (N.)	234	PADDLE
Lundgren-2020-275-185	185	185	PAINT~WRITE	3122	PAINT (SOMETHING)
Lundgren-2020-275-186	186	186	PATH	2252	PATH
Lundgren-2020-275-187	187	187	PATIO		
Lundgren-2020-275-188	188	188	PEANUT	2364	PEANUT
Lundgren-2020-275-189	189	189	PERSON	683	PERSON
Lundgren-2020-275-190	190	190	PET	3780	PET
Lundgren-2020-275-191	191	191	PINEAPPLE	2440	PINEAPPLE
Lundgren-2020-275-192	192	192	PIRANHA	317	PIRANHA
Lundgren-2020-275-193	193	193	PIT VIPER SP.		
Lundgren-2020-275-194	194	194	PLANT (TR.)	1486	PLANT (SOMETHING)
Lundgren-2020-275-195	195	195	POOR	1674	POOR
Lundgren-2020-275-196	196	196	PREY		
Lundgren-2020-275-197	197	197	RAIN	2108	RAINING OR RAIN
Lundgren-2020-275-198	198	198	RED	156	RED
Lundgren-2020-275-199	199	199	REST (INTR.)	168	REST
Lundgren-2020-275-200	200	200	RETURN (INTR.)	581	COME BACK
Lundgren-2020-275-201	201	201	RIVER	666	RIVER
Lundgren-2020-275-202	202	202	ROAST (TR.)	1962	ROAST (SOMETHING)
Lundgren-2020-275-203	203	203	ROCK~SHAKE		
Lundgren-2020-275-204	204	204	ROPE~THREAD	1218	ROPE
Lundgren-2020-275-205	205	205	ROUND	1395	ROUND
Lundgren-2020-275-206	206	206	SANDFLY	95	SANDFLY
Lundgren-2020-275-207	207	207	SAP~CAUIM	345	SAP
Lundgren-2020-275-208	208	208	SCRAPE (TR.)	1767	SCRAPE
Lundgren-2020-275-209	209	209	SHAMAN	394	SHAMAN (FOLK HEALER)
Lundgren-2020-275-210	210	210	SHINE (INTR.)	708	SHINE
Lundgren-2020-275-211	211	211	SHOUT	715	SHOUT
Lundgren-2020-275-212	212	212	SING (INTR.)	1261	SING
Lundgren-2020-275-213	213	213	SISTER	1263	SISTER
Lundgren-2020-275-214	214	214	SISTER-IN-LAW (F. EGO)	3781	SISTER-IN-LAW (OF FEMALE EGO)
Lundgren-2020-275-215	215	215	SIT (INTR.)	1416	SIT
Lundgren-2020-275-216	216	216	SKIN	763	SKIN
Lundgren-2020-275-217	217	217	SLOTH	2446	SLOTH
Lundgren-2020-275-218	218	218	SMELL (INTR. TR.)	2124	SMELL
Lundgren-2020-275-219	219	219	SMOKE (N.)	778	SMOKE (EXHAUST)
Lundgren-2020-275-220	220	220	SMOKE FOOD		
Lundgren-2020-275-221	221	221	SMOOTH	1234	SMOOTH
Lundgren-2020-275-222	222	222	SNAKE	730	SNAKE
Lundgren-2020-275-223	223	223	SON (M. EGO)	3779	SON (OF MALE EGO)
Lundgren-2020-275-224	224	224	SORUBIM SP.		
Lundgren-2020-275-225	225	225	SPICY	544	SPICY
Lundgren-2020-275-226	226	226	SPIDER	843	SPIDER
Lundgren-2020-275-227	227	227	SPILL~POUR	3130	SPILL (SOMETHING)
Lundgren-2020-275-228	228	228	SPIRIT	53	SPIRIT
Lundgren-2020-275-229	229	229	SPLIT (TR.)	1437	SPLIT
Lundgren-2020-275-230	230	230	STAR	1430	STAR
Lundgren-2020-275-231	231	231	STEAL (TR.)	713	STEAL
Lundgren-2020-275-232	232	232	STEM	2628	PLANT STEM
Lundgren-2020-275-233	233	233	STONE	857	STONE
Lundgren-2020-275-234	234	234	STRAIN (TR.)	940	STRAIN
Lundgren-2020-275-235	235	235	SOUND (V.)		
Lundgren-2020-275-236	236	236	SUN	1343	SUN
Lundgren-2020-275-237	237	237	SWALLOW (V.)	897	SWALLOW
Lundgren-2020-275-238	238	238	SWEAT (INTR.)	126	SWEAT (PERSPIRE)
Lundgren-2020-275-239	239	239	SWEET	717	SWEET
Lundgren-2020-275-240	240	240	SWEET POTATO	159	SWEET POTATO
Lundgren-2020-275-241	241	241	TAIL	1220	TAIL
Lundgren-2020-275-242	242	242	TAPIR	312	TAPIR
Lundgren-2020-275-243	243	243	TERMITE	883	TERMITE
Lundgren-2020-275-244	244	244	THIGH	471	UPPER LEG (THIGH)
Lundgren-2020-275-245	245	245	THIN	2308	THIN
Lundgren-2020-275-246	246	246	THING	738	THING
Lundgren-2020-275-247	247	247	THORN	124	THORN
Lundgren-2020-275-248	248	248	THREE	492	THREE
Lundgren-2020-275-249	249	249	THROW	1456	THROW
Lundgren-2020-275-250	250	250	THUNDER	1150	THUNDER
Lundgren-2020-275-251	251	251	TIRED	1757	TIRED
Lundgren-2020-275-252	252	252	TOBACCO	974	TOBACCO
Lundgren-2020-275-253	253	253	TONGUE	1205	TONGUE
Lundgren-2020-275-254	254	254	TREE	906	TREE
Lundgren-2020-275-255	255	255	TOOTH	1380	TOOTH
Lundgren-2020-275-256	256	256	TWO	1498	TWO
Lundgren-2020-275-257	257	257	URINATE (INTR.)	592	PISS
Lundgren-2020-275-258	258	258	VILLAGE~LAND	930	VILLAGE
Lundgren-2020-275-259	259	259	VINE	343	VINE
Lundgren-2020-275-260	260	260	VULTURE	1185	VULTURE
Lundgren-2020-275-261	261	261	VULVA	1837	VULVA
Lundgren-2020-275-262	262	262	WASP	1517	WASP
Lundgren-2020-275-263	263	263	WATER	948	WATER
Lundgren-2020-275-264	264	264	WHITE	1335	WHITE
Lundgren-2020-275-265	265	265	WHITE-LIPPED PECCARY	436	WHITE-LIPPED PECCARY
Lundgren-2020-275-266	266	266	WIDE	1243	WIDE
Lundgren-2020-275-267	267	267	WIFE	1199	WIFE
Lundgren-2020-275-268	268	268	WIND	960	WIND
Lundgren-2020-275-269	269	269	WING	1257	WING
Lundgren-2020-275-270	270	270	WORM~LARVA	1219	WORM
Lundgren-2020-275-271	271	271	WRAP	1113	WRAP
Lundgren-2020-275-272	272	272	YELLOW	1424	YELLOW
Lundgren-2020-275-273	273	273	YESTERDAY	1174	YESTERDAY
Lundgren-2020-275-274	274	274	YOUNG MAN	76	YOUNG MAN
Lundgren-2020-275-275	275	275	YOUNG WOMAN	77	YOUNG WOMAN
