ID	CATEGORY	ENGLISH	PART_OF_SPEECH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hale-1973-1798-1351	Role_and_Social_Structure-5	singer	n	11a.05		
Hale-1973-1798-1352	Role_and_Social_Structure-6	music	n	11a.06	642	MUSIC
Hale-1973-1798-1353	Role_and_Social_Structure-7	musician	n	11a.07		
Hale-1973-1798-1354	Role_and_Social_Structure-8	paint	n	11a.08	647	PAINT (PIGMENTS)
Hale-1973-1798-1355	Role_and_Social_Structure-9	painting	n	11a.09	3303	PICTURE (PAINTING)
Hale-1973-1798-1356	Role_and_Social_Structure-10	painter	n	11a.10		
Hale-1973-1798-1357	Role_and_Social_Structure-11	game	n	11a.11	2467	GAME
Hale-1973-1798-1358	Role_and_Social_Structure-12	player	n	11a.12		
Hale-1973-1798-1359	Role_and_Social_Structure-13	story	n	11a.13	2060	STORY
Hale-1973-1798-1360	Role_and_Social_Structure-14	murder	n	11a.14	845	MURDER
Hale-1973-1798-1361	Role_and_Social_Structure-15	lie	n	11a.15	2826	LIE (FALSEHOOD)
Hale-1973-1798-1362	Role_and_Social_Structure-16	liar	n	11a.16	3470	LIAR
Hale-1973-1798-1363	Role_and_Social_Structure-17	theft	n	11a.17		
Hale-1973-1798-1364	Role_and_Social_Structure-18	thief	n	11a.18	1160	THIEF
Hale-1973-1798-1365	Role_and_Social_Structure-19	people	n	11a.19	789	PEOPLE
Hale-1973-1798-1366	Role_and_Social_Structure-20	language	n	11a.20	1307	LANGUAGE
Hale-1973-1798-1367	Role_and_Social_Structure-21	word	n	11a.21	1599	WORD
Hale-1973-1798-1368	Role_and_Social_Structure-22	foreigner, non-speaker	n	11a.22		
Hale-1973-1798-1369	Role_and_Social_Structure-23	caste	n	11a.23		
Hale-1973-1798-1370	Role_and_Social_Structure-24	brahman	n	11a.24		
Hale-1973-1798-1371	Role_and_Social_Structure-25	rich man	n	11a.25	3661	RICH PERSON
Hale-1973-1798-1372	Role_and_Social_Structure-26	poor man	n	11a.26	3662	POOR PERSON
Hale-1973-1798-1373	Role_and_Social_Structure-27	slave	n	11a.27	812	SLAVE
Hale-1973-1798-1374	Role_and_Social_Structure-28	villager	n	11a.28		
Hale-1973-1798-1375	Role_and_Social_Structure-29	neighbor	n	11a.29	1332	NEIGHBOUR
Hale-1973-1798-1376	Role_and_Social_Structure-30	chief	n	11a.30	301	CHIEFTAIN
Hale-1973-1798-1377	Role_and_Social_Structure-31	elder	n	11a.31	2112	OLD (AGED)
Hale-1973-1798-1378	Role_and_Social_Structure-32	judge	n	11a.32	861	JUDGE
