ID	NUMBER	URL	ENGLISH	DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS	EXAMPLE_CONTEXT
Heggarty-2017-200-104	104	http://cobl.clld.org/parameters/104	mountain		639	MOUNTAIN	He started to climb the mountain.
Heggarty-2017-200-113	113	http://cobl.clld.org/parameters/113	not		1240	NOT	I do not understand.
Heggarty-2017-200-45	45	http://cobl.clld.org/parameters/45	fear		1419	FEAR (BE AFRAID)	While the dog was here, I was scared.
Heggarty-2017-200-40	40	http://cobl.clld.org/parameters/40	eye		1248	EYE	She closed one eye.
Heggarty-2017-200-114	114	http://cobl.clld.org/parameters/114	old	----	1229	OLD	He lives in the old house, not in the new house.
Heggarty-2017-200-110	110	http://cobl.clld.org/parameters/110	new		1231	NEW	He lives in the new house; not in the old house.
Heggarty-2017-200-121	121	http://cobl.clld.org/parameters/121	rain		1253	RAIN (RAINING)	I saw him standing in the rain.
Heggarty-2017-200-146	146	http://cobl.clld.org/parameters/146	sleep		1585	SLEEP	He is sleeping in the house.
Heggarty-2017-200-147	147	http://cobl.clld.org/parameters/147	small		1246	SMALL	This is a small stone. That is a big stone.
Heggarty-2017-200-164	164	http://cobl.clld.org/parameters/164	sun		1343	SUN	During the day, the sun is in the sky; at night, it's not.
Heggarty-2017-200-214	214	http://cobl.clld.org/parameters/214	house		1252	HOUSE	His house is at the edge of the village.
Heggarty-2017-200-170	170	http://cobl.clld.org/parameters/170	they	^See full meaning description.*	817	THEY	^See full meaning description.*
Heggarty-2017-200-152	152	http://cobl.clld.org/parameters/152	snow		784	SNOW	There was snow on the ground.
Heggarty-2017-200-43	43	http://cobl.clld.org/parameters/43	fat	Noun, not adjective:  the substance.  'Fat' as opposed to muscle, bone, skin, etc..  *Not* the opposite of 'thin'.	323	FAT (ORGANIC SUBSTANCE)	Cut the fat off the meat.
Heggarty-2017-200-150	150	http://cobl.clld.org/parameters/150	smooth		1234	SMOOTH	He picked a smooth stone from the river.
Heggarty-2017-200-166	166	http://cobl.clld.org/parameters/166	swim		1439	SWIM	He is swimming in the lake.
Heggarty-2017-200-165	165	http://cobl.clld.org/parameters/165	swell		1573	SWELL	His arm swelled after he was injured.
Heggarty-2017-200-178	178	http://cobl.clld.org/parameters/178	tie	The verb '(to) tie', not the noun.	1917	TIE	He tied the two sticks together.
Heggarty-2017-200-179	179	http://cobl.clld.org/parameters/179	tongue		1205	TONGUE	He stuck his tongue out.
Heggarty-2017-200-185	185	http://cobl.clld.org/parameters/185	walk	The verb '(to) walk', not the noun '(a) walk'.	1443	WALK	People can walk but fish cannot.
Heggarty-2017-200-180	180	http://cobl.clld.org/parameters/180	tooth		1380	TOOTH	You can break a tooth if you bite on hard food.
Heggarty-2017-200-123	123	http://cobl.clld.org/parameters/123	true		1657	TRUE	The story he is telling is true.
Heggarty-2017-200-183	183	http://cobl.clld.org/parameters/183	two		1498	TWO	One plus one is two.
Heggarty-2017-200-189	189	http://cobl.clld.org/parameters/189	we	^See full meaning description.*	1212	WE	^See full meaning description.*
Heggarty-2017-200-119	119	http://cobl.clld.org/parameters/119	pull		1455	PULL	He was pushing and pulling the furniture around the room.  
Heggarty-2017-200-190	190	http://cobl.clld.org/parameters/190	wet		1726	WET	Is it wet or dry?
Heggarty-2017-200-120	120	http://cobl.clld.org/parameters/120	push		1452	PUSH	He was pushing and pulling the furniture around the room.  
