ID	NUMBER	MANDARINE_CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE	WORD_LENGTH	IMAGE_VARIABILITY	IMAGE_AGREEMENT	CONCEPT_FAMILIARITY	VISUAL_COMPLEXITY	SUBJECTIVE_FREQUENCY	NAME_AGREEMENT_PERCENT	NAME_AGREMENT_H	CONCEPT_AGREEMENT	AoA_RATED	AoA_OBJECTIVE	ERROR_PERCENT	LATENCY_ms
Liu-2011-435-271	271	钢琴	piano	3994	PIANO (INSTRUMENT)	1	2	3.02	3.94	4.47	4.11	2.54	0.85	0.64	0.98	3.63	4.20	0.00	936
Liu-2011-435-272	272	猪	pig	1337	PIG	1	1	3.05	4.03	4.78	2.39	3.26	0.85	0.88	1.00	1.63	3.68	0.03	927
Liu-2011-435-273	273	鸽子	pigeon	1853	DOVE	2	2	3.21	3.97	4.47	3.38	2.44	0.38	2.26	0.43	2.44	10.40	0.09	905
Liu-2011-435-274	274	存钱罐	piggybank			2	3	2.71	3.81	4.50	2.81	2.14	0.35	2.76	0.90	3.82	7.89	0.09	1071
Liu-2011-435-275	275	枕头	pillow	1044	PILLOW	2	2	2.76	3.56	3.92	2.81	4.09	0.73	0.78	0.73	1.81	3.73	0.03	1122
Liu-2011-435-276	276	图钉	pin	64	PIN	2	2	3.40	4.47	3.83	1.92	2.37	0.70	1.37	0.93	4.00	10.86	0.11	1160
Liu-2011-435-277	277	菠萝	pineapple	2440	PINEAPPLE	1	2	3.17	4.53	4.81	3.92	3.29	0.93	0.45	0.98	3.33	3.78	0.03	807
Liu-2011-435-278	278	烟斗	pipe	1124	PIPE	1	2	3.07	4.14	4.39	1.70	1.89	0.95	0.34	0.98	4.00	10.45	0.00	917
Liu-2011-435-279	279	海盗	pirate	4015	PIRATE	3	2	3.31	3.91	3.89	4.59	1.86	0.58	2.58	0.85	5.00	10.50	0.00	1483
Liu-2011-435-280	280	水壶	pitcher	120	PITCHER	1	2	3.48	2.24	4.42	1.84	3.91	0.23	3.00	0.75	#NULL!	#NULL!	0.00	1143
Liu-2011-435-281	281	行星	planet	4042	PLANET	5	2	2.24	3.58	3.67	2.22	1.88	0.15	3.31	0.78	5.13	7.89	0.23	1388
Liu-2011-435-282	282	盘子	plate	480	PLATE	5	2	2.83	4.44	3.91	1.62	3.63	0.40	2.43	0.65	2.53	7.71	0.17	1155
Liu-2011-435-283	283	钳子	pliers	4003	PLIERS	1	2	3.10	3.66	4.50	2.16	2.17	0.65	1.64	0.85	3.82	8.92	0.06	1158
Liu-2011-435-284	284	插头	plug			1	2	3.14	4.19	4.78	2.00	3.71	0.83	0.84	0.93	3.69	10.33	0.00	1105
Liu-2011-435-285	285	梅花	plum blossom	2744	PLUM BLOSSOM	5	2	2.45	4.17	4.56	3.00	2.12	0.93	0.50	0.98	3.41	10.55	0.00	923
Liu-2011-435-286	286	警察	policeman			5	2	2.74	4.06	4.58	4.42	3.14	0.80	1.13	0.95	2.88	2.69	0.03	830
