ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	SPANISH	GLOSS	OMEGAWIKI
Huber-1992-374-196	b5719ab1-993e-4e73-b527-cfb84fff8005	EARRING	196	OREJERA, ARETE	EAR ORNAMENT	344234
Huber-1992-374-197	b4193cbc-3907-411c-8523-860dfb760c60	MASK	197	MÁSCARA	MASK	962485
Huber-1992-374-198	3f863ac2-79da-49f5-b316-dbca080b45f7	SHAMAN, FOLK HEALER	198	CURANDERO	SHAMAN, FOLK HEALER	1511147
Huber-1992-374-199	4aec61f7-8693-4785-bfc4-c9aa5dae36e1	CHIEFTAIN	199	CACIQUE, CURACA, CAPITÁN	CHIEF	1508307
Huber-1992-374-200	85e709f0-ac32-4599-b3bc-9efc76dedd10	I	200	YO	I	5450
Huber-1992-374-201	c33cdbcf-39e4-49d9-9c9d-543712621ccf	THOU	201	USTED	YOU (SINGULAR)	5459
Huber-1992-374-202	7ab512a6-014f-4d90-9d92-fd4f3de9d0c9	HE	202	ÉL	HE	5454
Huber-1992-374-203	7eaf0cb5-fb22-4dfa-89ed-903fbe4ab967	SHE	203	ELLA	SHE	7667
Huber-1992-374-204	13140796-3b49-4781-a620-318106096675	IT	204	ELLO	IT	1370660
Huber-1992-374-205	269e3d1a-7f8f-4d4c-a3a1-d1537636910c	WE	205	NOSOTROS	WE	5455
Huber-1992-374-206	b0e58011-2163-4217-bcf7-d0916f101432	YOU	206	USTEDES	YOU (PLURAL)	5456
Huber-1992-374-207	50cc2603-2630-431e-b308-612ecb034371	THEY	207	ELLOS	THEY	352331
Huber-1992-374-208	NAN		208	MI MANO	MY HAND	NAN
Huber-1992-374-209	NAN		209	TU MANO	YOUR HAND	NAN
Huber-1992-374-210	NAN		210	SU MANO	HIS HAND	NAN
Huber-1992-374-211	NAN		211	NUESTRAS MANOS	OUR HANDS	NAN
Huber-1992-374-212	NAN		212	VUESTRAS MANOS	YOUR (PLUR.) HANDS	NAN
Huber-1992-374-213	NAN		213	SUS MANOS (DE ELLOS)	THEIR HANDS	NAN
Huber-1992-374-214	NAN		214	MI ARCO	MY BOW	NAN
Huber-1992-374-215	NAN		215	TU ARCO	YOUR (SING.) BOW	NAN
Huber-1992-374-216	NAN		216	SU ARCO - DE ÉL	HIS BOW	NAN
Huber-1992-374-217	NAN		217	NUESTRO ARCO	OUR BOW	NAN
Huber-1992-374-218	NAN		218	SU ARCO DE USTEDES	YOUR (PLUR.) BOW	NAN
Huber-1992-374-219	NAN		219	SU ARCO - DE ELLOS	THEIR BOW	NAN
Huber-1992-374-220	366935cc-961d-4bac-a50b-578041591387	BIG	220	GRANDE	BIG	5437
Huber-1992-374-221	757b999e-883b-4de8-b6a0-742d2475196b	SMALL	221	PEQUEÑO	SMALL	5509
Huber-1992-374-222	14c5e161-d291-460a-b038-af147c6b82ec	COLD OF TEMPERATURE	222	FRÍO	COLD	5639
Huber-1992-374-223	5e41f213-0149-4db9-8de4-34f9df4edb42	HOT	223	CALIENTE	HOT	5637
Huber-1992-374-224	dc23b880-fa9e-4de3-80f0-26e820eac36c	GOOD	224	BUENO	GOOD	443659
Huber-1992-374-225	8281b129-7ee9-4931-bc8f-3e28ac2bcb3e	BAD	225	MALO	BAD	5650
Huber-1992-374-226	95f6dc08-258d-4cd2-ac2c-c13e62b6a1d3	WHITE	226	BLANCO	WHITE	5825
Huber-1992-374-227	17b3cf38-43a2-4b7d-8c03-32ce0da15608	BLACK	227	NEGRO	BLACK	1341728
Huber-1992-374-228	17bc76ba-b8bf-4d2c-be51-d77112ad336f	GO	228	VAYA, VE	GO	334831
Huber-1992-374-229	NAN		229	VEN	COME	NAN
Huber-1992-374-230	NAN		230	COME	EAT	NAN
Huber-1992-374-231	NAN		231	BEBE	DRINK	NAN
Huber-1992-374-232	NAN		232	DUERME	SLEEP	NAN
Huber-1992-374-233	e1cdb48a-0e67-4b94-a70a-c2c39edc9636	CROWN OF HEAD	233	CORONA	CROWN OF HEAD	870564
Huber-1992-374-234	2100a26e-ead0-4051-b2b6-e0069725f541	FRONT TOOTH, INEISOR	234	DIENTES DELANTEROS INCISIVOS	FRONT TEETH, INEISORS	1541236
Huber-1992-374-235	8aa5b2ae-20e6-4c7e-bbea-14fa82a5bef3	TIP OF TONGUE	235	PUNTA DE LA LENGUA	TIP OF TONGUE	1541242
Huber-1992-374-236	7baab76c-14b7-4dda-a106-cf5dda7b08ff	LONG HAIR	236	PELO LARGO	LONG HAIR	1541248
Huber-1992-374-237	96f89ae2-b860-4cc9-ad7d-05db3ac816c0	NAPE OF NECK	237	LA GARGANTA Y CUELLO	THE NECK REGION	5862
Huber-1992-374-238	e561b841-70db-448a-b969-79cb066efccc	ADAM’S APPLE	238	NUEZ DE LA GARGANTA	ADAM’S APPLE	348242
Huber-1992-374-239	9337bfb4-3fef-4b42-8d17-36b2f19640fe	UPPER BACK	239	ESPALDA, PARTE SUPERIOR	UPPER BACK	1541252
Huber-1992-374-240	cd05d1fd-0c78-4f52-8189-3fec8a7fa8c2	LOWER ARM	240	ANTEBRAZO	LOWER ARM	1541256
Huber-1992-374-241	2f1ed881-050b-411f-bdcd-3486c311e3cf	WRIST	241	MUÑECA	WRIST	348173
Huber-1992-374-242	a6bde6ce-23d4-459e-9e0d-e12298789e2a	LOWER LEG	242	LA PIERNA INFERIOR	LOWER LEG	1541261
Huber-1992-374-243	fdb9b071-c1da-4cf9-8b00-b49beb5afbe6	BODY HAIR	243	EL PELO DEL CUERPO	BODY HAIR	1399403
