ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1960-200-47	47	fight	1423	FIGHT
Swadesh-1960-200-48	48	fire	221	FIRE
Swadesh-1960-200-49	49	fish	227	FISH
Swadesh-1960-200-50	50	five	493	FIVE
Swadesh-1960-200-51	51	float	1574	FLOAT
Swadesh-1960-200-52	52	flow	2003	FLOW
Swadesh-1960-200-53	53	flower	239	FLOWER
Swadesh-1960-200-54	54	fly	1504	FLY (INSECT)
Swadesh-1960-200-55	55	fog	249	FOG
Swadesh-1960-200-56	56	foot	1301	FOOT
Swadesh-1960-200-57	57	four	1500	FOUR
Swadesh-1960-200-58	58	freeze	1431	FREEZE
Swadesh-1960-200-59	59	fruit	1507	FRUIT
Swadesh-1960-200-60	60	give	1447	GIVE
Swadesh-1960-200-61	61	good	1035	GOOD
Swadesh-1960-200-62	62	grass	606	GRASS
Swadesh-1960-200-63	63	green	1425	GREEN
Swadesh-1960-200-64	64	guts	1334	GUTS
Swadesh-1960-200-65	65	hair	1040	HAIR
Swadesh-1960-200-66	66	hand	1277	HAND
Swadesh-1960-200-67	67	he	1211	HE
Swadesh-1960-200-68	68	head	1256	HEAD
Swadesh-1960-200-69	69	hear	1408	HEAR
Swadesh-1960-200-70	70	heart	1223	HEART
Swadesh-1960-200-71	71	heavy	1210	HEAVY
Swadesh-1960-200-72	72	here	136	HERE
Swadesh-1960-200-73	73	hit	1433	HIT
Swadesh-1960-200-74	74	hold-take	2104	HOLD OR TAKE
Swadesh-1960-200-75	75	how	1239	HOW
Swadesh-1960-200-76	76	hunt	1435	HUNT
Swadesh-1960-200-77	77	husband	1200	HUSBAND
Swadesh-1960-200-78	78	I	1209	I
Swadesh-1960-200-79	79	ice	617	ICE
Swadesh-1960-200-80	80	if	1459	IF
Swadesh-1960-200-81	81	in	1460	IN
Swadesh-1960-200-82	82	kill	1417	KILL
Swadesh-1960-200-83	83	know	2238	KNOW OR BE ABLE
Swadesh-1960-200-84	84	lake	624	LAKE
Swadesh-1960-200-85	85	laugh	1355	LAUGH
Swadesh-1960-200-86	86	leaf	628	LEAF
Swadesh-1960-200-87	87	leftside	244	LEFT
Swadesh-1960-200-88	88	leg	1297	LEG
Swadesh-1960-200-89	89	lie	1411	LIE (REST)
Swadesh-1960-200-90	90	live	1422	BE ALIVE
Swadesh-1960-200-91	91	liver	1224	LIVER
Swadesh-1960-200-92	92	long	1203	LONG
Swadesh-1960-200-93	93	louse	1392	LOUSE
Swadesh-1960-200-94	94	man-male	2106	MALE PERSON
Swadesh-1960-200-95	95	many	1198	MANY
Swadesh-1960-200-96	96	meat-flesh	634	MEAT
Swadesh-1960-200-97	97	mother	1216	MOTHER
Swadesh-1960-200-98	98	mountain	639	MOUNTAIN
Swadesh-1960-200-99	99	mouth	674	MOUTH
Swadesh-1960-200-100	100	name	1405	NAME
Swadesh-1960-200-101	101	narrow	1267	NARROW
Swadesh-1960-200-102	102	near	1942	NEAR
Swadesh-1960-200-103	103	neck	1333	NECK
Swadesh-1960-200-104	104	new	1231	NEW
Swadesh-1960-200-105	105	night	1233	NIGHT
Swadesh-1960-200-106	106	nose	1221	NOSE
Swadesh-1960-200-107	107	not	1240	NOT
Swadesh-1960-200-108	108	old	1229	OLD
Swadesh-1960-200-109	109	one	1493	ONE
Swadesh-1960-200-110	110	other	197	OTHER
Swadesh-1960-200-111	111	person	683	PERSON
Swadesh-1960-200-112	112	play	1413	PLAY
Swadesh-1960-200-113	113	pull	1455	PULL
Swadesh-1960-200-114	114	push	1452	PUSH
Swadesh-1960-200-115	115	rain	2108	RAINING OR RAIN
Swadesh-1960-200-116	116	red	156	RED
Swadesh-1960-200-117	117	right-correct	1725	CORRECT (RIGHT)
Swadesh-1960-200-118	118	right-side	1019	RIGHT
Swadesh-1960-200-119	119	river	666	RIVER
Swadesh-1960-200-120	120	road	667	ROAD
Swadesh-1960-200-121	121	root	670	ROOT
Swadesh-1960-200-122	122	rope	1218	ROPE
Swadesh-1960-200-123	123	rotten	1728	ROTTEN
Swadesh-1960-200-124	124	rub	1449	RUB
Swadesh-1960-200-125	125	salt	1274	SALT
Swadesh-1960-200-126	126	sand	671	SAND
Swadesh-1960-200-127	127	say	1458	SAY
Swadesh-1960-200-128	128	scratch	1436	SCRATCH
Swadesh-1960-200-129	129	sea	1474	SEA
Swadesh-1960-200-130	130	see	1409	SEE
Swadesh-1960-200-131	131	seed	714	SEED
Swadesh-1960-200-132	132	sew	1457	SEW
Swadesh-1960-200-133	133	sharp	1396	SHARP
Swadesh-1960-200-134	134	short	1645	SHORT
Swadesh-1960-200-135	135	sing	1261	SING
Swadesh-1960-200-136	136	sit	1416	SIT
Swadesh-1960-200-137	137	skin	763	SKIN
Swadesh-1960-200-138	138	sky	1732	SKY
Swadesh-1960-200-139	139	sleep	1585	SLEEP
Swadesh-1960-200-140	140	small	1246	SMALL
Swadesh-1960-200-141	141	smell	2124	SMELL
Swadesh-1960-200-142	142	smoke	778	SMOKE (EXHAUST)
Swadesh-1960-200-143	143	smooth	1234	SMOOTH
Swadesh-1960-200-144	144	snake	730	SNAKE
Swadesh-1960-200-145	145	snow	784	SNOW
Swadesh-1960-200-146	146	some	1241	SOME
Swadesh-1960-200-147	147	spit	1440	SPIT
Swadesh-1960-200-148	148	split	1437	SPLIT
Swadesh-1960-200-149	149	squeeze	1414	SQUEEZE
Swadesh-1960-200-150	150	stab-pierce	1434	STAB
Swadesh-1960-200-151	151	stand	1442	STAND
Swadesh-1960-200-152	152	star	1430	STAR
Swadesh-1960-200-153	153	stick	1295	STICK
Swadesh-1960-200-154	154	stone	857	STONE
Swadesh-1960-200-155	155	straight	1404	STRAIGHT
Swadesh-1960-200-156	156	suck	1421	SUCK
Swadesh-1960-200-157	157	sun	1343	SUN
Swadesh-1960-200-158	158	swell	1573	SWELL
Swadesh-1960-200-159	159	swim	1439	SWIM
Swadesh-1960-200-160	160	tail	1220	TAIL
Swadesh-1960-200-161	161	that	78	THAT
Swadesh-1960-200-162	162	there	1937	THERE
Swadesh-1960-200-163	163	they	817	THEY
Swadesh-1960-200-164	164	thick	1244	THICK
Swadesh-1960-200-165	165	thin	1400	THIN (SLIM)
Swadesh-1960-200-166	166	think	2271	THINK
Swadesh-1960-200-167	167	this	1214	THIS
Swadesh-1960-200-168	168	thou	1215	THOU
Swadesh-1960-200-169	169	three	492	THREE
Swadesh-1960-200-170	170	throw	1456	THROW
Swadesh-1960-200-171	171	tie	1917	TIE
Swadesh-1960-200-172	172	tongue	1205	TONGUE
Swadesh-1960-200-173	173	tooth	1380	TOOTH
Swadesh-1960-200-174	174	tree	906	TREE
Swadesh-1960-200-175	175	turn	1588	TURN
Swadesh-1960-200-176	176	two	1498	TWO
Swadesh-1960-200-177	177	vomit	1278	VOMIT
Swadesh-1960-200-178	178	walk	1443	WALK
Swadesh-1960-200-179	179	warm	1232	WARM
Swadesh-1960-200-180	180	wash	1453	WASH
Swadesh-1960-200-181	181	water	948	WATER
Swadesh-1960-200-182	182	we	1212	WE
Swadesh-1960-200-183	183	wet	1726	WET
Swadesh-1960-200-184	184	what	1236	WHAT
Swadesh-1960-200-185	185	when	1238	WHEN
Swadesh-1960-200-186	186	where	1237	WHERE
Swadesh-1960-200-187	187	white	1335	WHITE
Swadesh-1960-200-188	188	who	1235	WHO
Swadesh-1960-200-189	189	wide	1243	WIDE
Swadesh-1960-200-190	190	wife	1199	WIFE
Swadesh-1960-200-191	191	wind	960	WIND
Swadesh-1960-200-192	192	wing	1257	WING
Swadesh-1960-200-193	193	wipe	1454	WIPE
Swadesh-1960-200-194	194	with	1340	WITH
Swadesh-1960-200-195	195	woman	962	WOMAN
Swadesh-1960-200-196	196	woods	420	FOREST
Swadesh-1960-200-197	197	worm	1219	WORM
Swadesh-1960-200-198	198	ye	1213	YOU
Swadesh-1960-200-199	199	year	1226	YEAR
Swadesh-1960-200-200	200	yellow	1424	YELLOW
