NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
80	Bowern-2017-348-80	coolamon	1539	BASKET
81	Bowern-2017-348-81	corpse	767	CORPSE
82	Bowern-2017-348-82	correct/true	1725	CORRECT (RIGHT)
83	Bowern-2017-348-83	count	1420	COUNT
84	Bowern-2017-348-84	crawl	96	CRAWL
85	Bowern-2017-348-85	creek	990	CREEK (TIDAL)
86	Bowern-2017-348-86	cross cousin	3162	CROSS-COUSIN
87	Bowern-2017-348-87	cry	1839	CRY
88	Bowern-2017-348-88	cut/hack	3889	CUT OR HACK
89	Bowern-2017-348-89	dance	1879	DANCE
90	Bowern-2017-348-90	dark	706	DARK
91	Bowern-2017-348-91	day	1225	DAY (NOT NIGHT)
92	Bowern-2017-348-92	deaf	996	DEAF
93	Bowern-2017-348-93	dew	1977	DEW
94	Bowern-2017-348-94	die/be dead	2101	BE DEAD OR DIE
95	Bowern-2017-348-95	dig	1418	DIG
96	Bowern-2017-348-96	digging stick	339	DIGGING STICK
97	Bowern-2017-348-97	dingo/wolf	2461	WOLF-LIKE ANIMAL
98	Bowern-2017-348-98	dirty	1230	DIRTY
99	Bowern-2017-348-99	dog	2009	DOG
100	Bowern-2017-348-100	dream	2455	DREAMING OR DREAM
101	Bowern-2017-348-101	drink	1401	DRINK
102	Bowern-2017-348-102	drown	1904	DROWN
103	Bowern-2017-348-103	dry	1398	DRY
104	Bowern-2017-348-104	dull/blunt	379	BLUNT
105	Bowern-2017-348-105	dust	2	DUST
106	Bowern-2017-348-106	eaglehawk	2683	EAGLE OR HAWK
107	Bowern-2017-348-107	ear	1247	EAR
108	Bowern-2017-348-108	earth/soil	1228	EARTH (SOIL)
109	Bowern-2017-348-109	east	1877	EAST
110	Bowern-2017-348-110	eat	1336	EAT
111	Bowern-2017-348-111	eel	1013	FRESHWATER EEL
112	Bowern-2017-348-112	egg	744	EGG
113	Bowern-2017-348-113	elbow	981	ELBOW
114	Bowern-2017-348-114	eye	1248	EYE
115	Bowern-2017-348-115	eyebrow	1173	EYEBROW
116	Bowern-2017-348-116	fall	1280	FALL
117	Bowern-2017-348-117	far	1406	FAR
118	Bowern-2017-348-118	fast	1631	FAST
119	Bowern-2017-348-119	fat/grease	323	FAT (ORGANIC SUBSTANCE)
120	Bowern-2017-348-120	father	1217	FATHER
121	Bowern-2017-348-121	father's father	2560	PATERNAL GRANDFATHER
122	Bowern-2017-348-122	father's mother	3015	PATERNAL GRANDMOTHER
123	Bowern-2017-348-123	father's sister	2691	PATERNAL AUNT (FATHER'S SISTER)
124	Bowern-2017-348-124	fear	1419	FEAR (BE AFRAID)
125	Bowern-2017-348-125	feather	1201	FEATHER
126	Bowern-2017-348-126	feces	675	FAECES (EXCREMENT)
127	Bowern-2017-348-127	fingernail	1258	FINGERNAIL
128	Bowern-2017-348-128	fire	221	FIRE
129	Bowern-2017-348-129	fire sticks	3016	FIRE STICK
130	Bowern-2017-348-130	fish	227	FISH
131	Bowern-2017-348-131	flat	1633	FLAT
132	Bowern-2017-348-132	flow	2003	FLOW
133	Bowern-2017-348-133	flower	239	FLOWER
134	Bowern-2017-348-134	fly	1441	FLY (MOVE THROUGH AIR)
135	Bowern-2017-348-135	fog	249	FOG
136	Bowern-2017-348-136	foot	1301	FOOT
137	Bowern-2017-348-137	forehead	123	FOREHEAD
138	Bowern-2017-348-138	forget	1523	FORGET
139	Bowern-2017-348-139	frog	503	FROG
140	Bowern-2017-348-140	fruit	1507	FRUIT
141	Bowern-2017-348-141	give	1447	GIVE
142	Bowern-2017-348-142	goanna	3017	MONITOR LIZARD
143	Bowern-2017-348-143	good	1035	GOOD
144	Bowern-2017-348-144	grass	606	GRASS
145	Bowern-2017-348-145	grasshopper	607	GRASSHOPPER
146	Bowern-2017-348-146	grow	479	GROW
147	Bowern-2017-348-147	hair	1040	HAIR
148	Bowern-2017-348-148	hand	1277	HAND
149	Bowern-2017-348-149	happy	1495	HAPPY
150	Bowern-2017-348-150	he/she	2642	HE OR SHE
151	Bowern-2017-348-151	head	1256	HEAD
152	Bowern-2017-348-152	hear	1408	HEAR
153	Bowern-2017-348-153	heart	1223	HEART
154	Bowern-2017-348-154	heavy	1210	HEAVY
155	Bowern-2017-348-155	heel	980	HEEL
156	Bowern-2017-348-156	hide	2486	HIDE
157	Bowern-2017-348-157	hill	614	HILL
158	Bowern-2017-348-158	hit (with hand)	353	STRIKE
159	Bowern-2017-348-159	hold	1448	HOLD
160	Bowern-2017-348-160	honey	942	HONEY
161	Bowern-2017-348-161	hot	1286	HOT
162	Bowern-2017-348-162	house	1252	HOUSE
163	Bowern-2017-348-163	how	1239	HOW
164	Bowern-2017-348-164	hungry	1533	BE HUNGRY
165	Bowern-2017-348-165	husband	1200	HUSBAND
166	Bowern-2017-348-166	hut	1678	HUT
167	Bowern-2017-348-167	if	1459	IF
168	Bowern-2017-348-168	in/inside	1606	INSIDE
169	Bowern-2017-348-169	intestines	1991	INTESTINES
170	Bowern-2017-348-170	itch	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)
171	Bowern-2017-348-171	kangaroo/deer	2456	LARGE WILD HERBIVORE
172	Bowern-2017-348-172	kidney	489	KIDNEY
173	Bowern-2017-348-173	kill	1417	KILL
174	Bowern-2017-348-174	kiss	578	KISS
175	Bowern-2017-348-175	knee	1371	KNEE
176	Bowern-2017-348-176	know/be knowledgeable	1410	KNOW (SOMETHING)
177	Bowern-2017-348-177	kookaburra	2444	KINGFISHER
178	Bowern-2017-348-178	lake	624	LAKE
179	Bowern-2017-348-179	laugh	1355	LAUGH
180	Bowern-2017-348-180	leaf	628	LEAF
181	Bowern-2017-348-181	left	244	LEFT
182	Bowern-2017-348-182	leg	1297	LEG
183	Bowern-2017-348-183	lie down	215	LIE DOWN
184	Bowern-2017-348-184	light	630	LIGHT (RADIATION)
185	Bowern-2017-348-185	lightning	1654	LIGHTNING
186	Bowern-2017-348-186	live/be alive	1422	BE ALIVE
187	Bowern-2017-348-187	liver	1224	LIVER
188	Bowern-2017-348-188	long	1203	LONG
189	Bowern-2017-348-189	louse	1392	LOUSE
190	Bowern-2017-348-190	lung	688	LUNG
191	Bowern-2017-348-191	maggot	2640	LARVA
192	Bowern-2017-348-192	make	734	MAKE
193	Bowern-2017-348-193	man/male	2106	MALE PERSON
194	Bowern-2017-348-194	marrow	1835	MARROW
195	Bowern-2017-348-195	meat/flesh	2615	FLESH OR MEAT
196	Bowern-2017-348-196	milk	635	MILK
197	Bowern-2017-348-197	moon	1313	MOON
198	Bowern-2017-348-198	mosquito	1509	MOSQUITO
199	Bowern-2017-348-199	mother	1216	MOTHER
200	Bowern-2017-348-200	mother's brother	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
201	Bowern-2017-348-201	mother's father	2178	MATERNAL GRANDFATHER
202	Bowern-2017-348-202	mother's mother	2177	MATERNAL GRANDMOTHER
203	Bowern-2017-348-203	mouse	1491	MOUSE
204	Bowern-2017-348-204	mouth	674	MOUTH
205	Bowern-2017-348-205	name	1405	NAME
206	Bowern-2017-348-206	nape	1347	NAPE (OF NECK)
207	Bowern-2017-348-207	native cat	3018	NATIVE CAT
208	Bowern-2017-348-208	navel	1838	NAVEL
209	Bowern-2017-348-209	near/close	1942	NEAR
210	Bowern-2017-348-210	neck	1333	NECK
211	Bowern-2017-348-211	new	1231	NEW
212	Bowern-2017-348-212	night	1233	NIGHT
213	Bowern-2017-348-213	no/not	2279	NO OR NOT
214	Bowern-2017-348-214	north	1598	NORTH
215	Bowern-2017-348-215	nose	1221	NOSE
216	Bowern-2017-348-216	now, today	2097	NOW OR TODAY
217	Bowern-2017-348-217	old	1229	OLD
218	Bowern-2017-348-218	old woman	907	OLD WOMAN
219	Bowern-2017-348-219	older brother	1759	OLDER BROTHER
220	Bowern-2017-348-220	older sister	1758	OLDER SISTER
221	Bowern-2017-348-221	one	1493	ONE
222	Bowern-2017-348-222	open/uncover	1156	OPEN
223	Bowern-2017-348-223	other	197	OTHER
224	Bowern-2017-348-224	owl	735	OWL
225	Bowern-2017-348-225	painful, sore	1129	PAINFUL
226	Bowern-2017-348-226	painful/sick	2103	PAINFUL OR SICK
227	Bowern-2017-348-227	pelican	472	PELICAN
228	Bowern-2017-348-228	penis	1222	PENIS
229	Bowern-2017-348-229	person's shadow	1388	SHADE
230	Bowern-2017-348-230	person/human being	683	PERSON
231	Bowern-2017-348-231	pound/beat	2133	STRIKE OR BEAT
232	Bowern-2017-348-232	pregnant	1123	PREGNANT
233	Bowern-2017-348-233	rain	2108	RAINING OR RAIN
234	Bowern-2017-348-234	rainbow	1733	RAINBOW
235	Bowern-2017-348-235	red	156	RED
236	Bowern-2017-348-236	rib	801	RIB
237	Bowern-2017-348-237	right	1019	RIGHT
238	Bowern-2017-348-238	river	666	RIVER
239	Bowern-2017-348-239	road/path	2457	PATH OR ROAD
240	Bowern-2017-348-240	roof	769	ROOF
241	Bowern-2017-348-241	root	670	ROOT
242	Bowern-2017-348-242	rope	1218	ROPE
243	Bowern-2017-348-243	rotten	1728	ROTTEN
244	Bowern-2017-348-244	sand	671	SAND
245	Bowern-2017-348-245	sandhill	3019	SAND HILL
246	Bowern-2017-348-246	say	1458	SAY
247	Bowern-2017-348-247	scratch	1436	SCRATCH
248	Bowern-2017-348-248	see	1409	SEE
249	Bowern-2017-348-249	sharp	1396	SHARP
250	Bowern-2017-348-250	shin	186	SHIN
251	Bowern-2017-348-251	shoot	1172	SHOOT
252	Bowern-2017-348-252	short	1645	SHORT
253	Bowern-2017-348-253	shoulder	1482	SHOULDER
254	Bowern-2017-348-254	show	1039	SHOW
255	Bowern-2017-348-255	shy/ashamed	3805	SHY OR ASHAMED
256	Bowern-2017-348-256	sing	1261	SING
257	Bowern-2017-348-257	sit	1416	SIT
258	Bowern-2017-348-258	skin	763	SKIN
259	Bowern-2017-348-259	sky	1732	SKY
260	Bowern-2017-348-260	sleep	1585	SLEEP
261	Bowern-2017-348-261	slow	701	SLOW
262	Bowern-2017-348-262	small	1246	SMALL
263	Bowern-2017-348-263	smoke	778	SMOKE (EXHAUST)
264	Bowern-2017-348-264	snake	730	SNAKE
265	Bowern-2017-348-265	sneeze	1621	SNEEZE
266	Bowern-2017-348-266	sniff/smell	1586	SMELL (PERCEIVE)
267	Bowern-2017-348-267	son	1620	SON
268	Bowern-2017-348-268	south	1595	SOUTH
269	Bowern-2017-348-269	speak	1623	SPEAK
270	Bowern-2017-348-270	spear	945	SPEAR
271	Bowern-2017-348-271	spearthrower	2677	SPEARTHROWER
272	Bowern-2017-348-272	spider	843	SPIDER
273	Bowern-2017-348-273	spit	1440	SPIT
274	Bowern-2017-348-274	split	1437	SPLIT
275	Bowern-2017-348-275	squeeze	1414	SQUEEZE
276	Bowern-2017-348-276	stab/pierce	1434	STAB
277	Bowern-2017-348-277	stand	1442	STAND
278	Bowern-2017-348-278	star	1430	STAR
279	Bowern-2017-348-279	steal	713	STEAL
280	Bowern-2017-348-280	stick/wood	1295	STICK
281	Bowern-2017-348-281	stingray	1910	STINGRAY
282	Bowern-2017-348-282	stone	857	STONE
283	Bowern-2017-348-283	suck	1421	SUCK
284	Bowern-2017-348-284	sun	1343	SUN
285	Bowern-2017-348-285	swan	2837	SWAN
286	Bowern-2017-348-286	sweat	2458	PERSPIRE OR SWEAT
287	Bowern-2017-348-287	swell	1573	SWELL
288	Bowern-2017-348-288	swim	1439	SWIM
289	Bowern-2017-348-289	tail	1220	TAIL
290	Bowern-2017-348-290	take something	1749	TAKE
291	Bowern-2017-348-291	tendon	1137	TENDON
292	Bowern-2017-348-292	that	78	THAT
293	Bowern-2017-348-293	thatch/roof	2100	THATCH OR ROOF
294	Bowern-2017-348-294	they	817	THEY
295	Bowern-2017-348-295	thick	1244	THICK
296	Bowern-2017-348-296	thigh	471	UPPER LEG (THIGH)
297	Bowern-2017-348-297	thin	2308	THIN
298	Bowern-2017-348-298	think	2271	THINK
299	Bowern-2017-348-299	thirsty	847	THIRSTY
300	Bowern-2017-348-300	this	1214	THIS
301	Bowern-2017-348-301	thou	1215	THOU
302	Bowern-2017-348-302	three	492	THREE
303	Bowern-2017-348-303	throat	1346	THROAT
304	Bowern-2017-348-304	throw	1456	THROW
305	Bowern-2017-348-305	thumb	1781	THUMB
306	Bowern-2017-348-306	thunder	1150	THUNDER
307	Bowern-2017-348-307	tie up/fasten	1094	FASTEN
308	Bowern-2017-348-308	tobacco	974	TOBACCO
309	Bowern-2017-348-309	together	2482	TOGETHER
310	Bowern-2017-348-310	tomorrow	1329	TOMORROW
311	Bowern-2017-348-311	tongue	1205	TONGUE
312	Bowern-2017-348-312	tooth	1380	TOOTH
313	Bowern-2017-348-313	top grinding stone	2459	GRINDSTONE
314	Bowern-2017-348-314	tree	906	TREE
315	Bowern-2017-348-315	turn	1588	TURN
316	Bowern-2017-348-316	turtle	112	TURTLE
317	Bowern-2017-348-317	two	1498	TWO
318	Bowern-2017-348-318	urinate	592	PISS
319	Bowern-2017-348-319	urine	1142	URINE
320	Bowern-2017-348-320	vegetable food	924	VEGETABLES
321	Bowern-2017-348-321	vomit	1278	VOMIT
322	Bowern-2017-348-322	wait	1590	WAIT (FOR)
323	Bowern-2017-348-323	walk	1443	WALK
324	Bowern-2017-348-324	wash it	1453	WASH
325	Bowern-2017-348-325	water	948	WATER
326	Bowern-2017-348-326	we.EXCL.PL	1130	WE (EXCLUSIVE)
327	Bowern-2017-348-327	we.INCL.PL	1131	WE (INCLUSIVE)
328	Bowern-2017-348-328	weak	1601	WEAK
329	Bowern-2017-348-329	west	1817	WEST
330	Bowern-2017-348-330	wet	1726	WET
331	Bowern-2017-348-331	what	1236	WHAT
332	Bowern-2017-348-332	when	1238	WHEN
333	Bowern-2017-348-333	where	1237	WHERE
334	Bowern-2017-348-334	white	1335	WHITE
335	Bowern-2017-348-335	who	1235	WHO
336	Bowern-2017-348-336	wife	1199	WIFE
337	Bowern-2017-348-337	wind	960	WIND
338	Bowern-2017-348-338	wing	1257	WING
339	Bowern-2017-348-339	winnow	2462	WINNOWING
340	Bowern-2017-348-340	woman/female	2105	FEMALE PERSON
341	Bowern-2017-348-341	wood	1803	WOOD
342	Bowern-2017-348-342	work	984	WORK (LABOUR)
343	Bowern-2017-348-343	yawn	1028	YAWN
344	Bowern-2017-348-344	yellow	1424	YELLOW
345	Bowern-2017-348-345	yesterday	1174	YESTERDAY
346	Bowern-2017-348-346	you.SG	1213	YOU
347	Bowern-2017-348-347	younger brother	1760	YOUNGER BROTHER
348	Bowern-2017-348-348	younger sister	1761	YOUNGER SISTER
