ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	WORD_ID	CHINESE	GRAM_CLASS	WORD TYPE_2 SUBTYPES	WORD TYPE_5 SUBTYPES	ISC_BRAIN_OBJNOBJ	ISC_BRAIN_OBJNOBJ_SE	ISC_BRAIN_WORDNEUROSYNTH	ISC_BRAIN_WORDNEUROSYNTH_SE	ISC_BRAIN_OBJEMONOBJNENOBJ	ISC_BRAIN_OBJEMONOBJNENOBJ_SE	ISC_BRAIN_OBJNOBJ_LEAVE2_TOP300	ISC_BRAIN_LEAVE2_TOP300_SE	ISC_BEHAVIOR	ISC_BEHAVIOR_SUBJECTSE	ISC_BEHAVIOR_WORDSE	MEAN_LANGUAGE_SENSORY	MEAN_LANGUAGE	MEAN_SENSORY	MEAN_NAVIGATION	MEAN_MANIPULATION	MEAN_STRESS	MEAN_AROUSAL	MEAN_VALENCE	SD_LANGUAGE	SD_SENSORY	SD_NAVIGATION	SD_MANIPULATION	SD_STRESS	SD_AROUSAL	SD_VALENCE	MEANRATINGS_PC1	MEANRATINGS_PC2	SDRATINGS_PC1	SDRATINGS_PC2	NUMBER_OF_STROKES	SUBJECTIVE_FAMILIARITY	LOG_WORD_FREQUENCY	LOG_CHAR1FREQ	LOG_AVG_CHAR_FREQ	LOG_CHAR1SRFREQ	LOG_AVG_SRFREQ	MEAN_LANGUAGESENSORY_COV_MEANAROUSALVALENCE	BEHAV_ISC_COV_MEANAROUSALVALENCE	OBJNOBJ_OVERALL_ACTIVATION	WORDNEUROSYNTH_OVERALL_ACTIVATION	OBJEMONOBJNENOBJ_OVERALL_ACTIVATION
Wang-2021-90-78	78	3970	PROCESS	process	word78	过程	n	2	5	0.03216820339	0.005623670526	0.01365569755	0.002641526973	0.03399032016	0.005463729194	0.03680924169	0.009009102015	0.3644320425	0.06078101398	0.06370646011	-1.193911481	3.884615385	3.333333333	1.107142857	1.2	1.444444444	1.958333333	4.0	1.861760953	1.860521019	0.5669467095	0.6454972244	0.8473185457	1.267629306	0.0	-1.19739	-0.95573	1.70511	-1.97073	18	6.307692308	2.409933123	3.560310857	3.293512443	4.453003927	4.196937208	-1.55672	-0.51745	26.84095212	16.27848611	35.30317859
Wang-2021-90-79	79	3971	METHOD	method	word79	方法	n	2	5	0.02280721649	0.005521478726	0.01051231464	0.002817098731	0.02380203119	0.005165163276	0.02750312457	0.008938236867	0.3097742148	0.07074013094	0.05385590417	-1.033294891	3.846153846	3.777777778	1.071428571	1.4	1.481481481	1.875	4.074074074	1.433661262	1.948043068	0.377964473	1.118033989	1.25177936	1.261899879	0.3849001795	-1.07905	-0.98252	1.21862	-1.03797	12	6.423076923	2.245512668	3.109192403	3.06578673	3.201008489	4.014253101	-1.41439	-0.99198	19.94450464	10.39779837	28.67417786
Wang-2021-90-80	80			phenomenon	word80	现象	n	2	5	0.02452128971	0.006268005083	0.01403616811	0.00290090903	0.02809722605	0.006703527124	0.02508404018	0.01006039488	0.2510173821	0.05994096699	0.04151885856	-1.299312078	3.461538462	3.518518519	1.035714286	1.2	1.703703704	2.125	3.962962963	1.303250374	1.783910363	0.1889822365	0.8164965809	1.409168189	1.19099885	0.4369018092	-1.26633	-0.79375	1.32024	-1.07983	19	6.115384615	2.29666519	3.515933714	3.25145332	3.855747025	3.57704562	-1.62046	-1.3369	27.72927512	11.90898384	34.34404192
Wang-2021-90-81	81	3972	EXCITED	excited	word81	兴奋	a	2	4	0.0307364592	0.007618534017	0.01256238643	0.002588896419	0.03111693469	0.006544291414	0.02782753365	0.008298618729	0.2541805933	0.07613728489	0.0645626578	-0.1120662944	4.769230769	5.111111111	1.035714286	1.28	2.703703704	4.625	5.296296296	1.531213697	1.648620247	0.1889822365	1.021436896	2.034600978	1.610090465	0.8688991627	-0.54045	0.17165	0.95861	0.81762	14	6.461538462	1.770852012	2.6084198	2.477780737	3.56049291	4.006155537	0.23949	0.40874	26.22437072	15.06846375	38.38259117
Wang-2021-90-82	82			comfortable	word82	舒心	a	2	4	0.0334804302	0.006236274634	0.01774503191	0.003097627411	0.03352057866	0.006253782234	0.03774770369	0.008893270778	0.2729474838	0.05289269009	0.06269500217	-0.8076586059	3.961538462	4.222222222	1.178571429	1.44	1.481481481	3.041666667	5.481481481	1.482720991	1.867399124	0.7723735149	0.916515139	0.9754829325	1.781039429	0.7529618629	-1.01523	-1.10004	0.59998	0.31055	16	6.038461538	0.903089987	2.281052012	3.319993768	2.48641475	4.000051897	-0.91877	-0.34044	32.12494475	15.70832091	44.14936326
Wang-2021-90-83	83	1495	HAPPY	happy	word83	快乐	a	2	4	0.04423149278	0.009923482492	0.0200259638	0.004105700491	0.04415250202	0.008541540547	0.0584581563	0.01191872065	0.2728484513	0.05066767405	0.06549503615	-0.2757063514	4.730769231	4.740740741	1.107142857	1.4	2.037037037	4.583333333	5.888888889	1.563526586	1.788695111	0.4162696521	1.224744871	1.786304339	1.742478661	0.9336995618	-0.70073	-0.3905	0.71144	1.07012	12	6.730769231	1.462397998	3.242911092	3.256819514	3.974467796	3.988891428	0.03511	0.64321	22.50593047	13.06911048	36.30115198
Wang-2021-90-84	84	174	PROUD	proud	word84	骄傲	a	2	4	0.03145450163	0.005865044894	0.0151245445	0.002952928042	0.03366341507	0.006280536607	0.03313000151	0.00697145305	0.2593939418	0.05950284234	0.06085517634	-0.9604875299	4.192307692	3.592592593	1.035714286	1.36	2.037037037	4.25	4.666666667	1.673779693	1.692955069	0.1889822365	0.9073771726	1.786304339	1.939296152	1.414213562	-1.07322	-0.11805	0.81577	1.9878	21	6.461538462	1.602059991	1.663988162	1.734083813	3.271466418	4.426572384	-0.72245	0.11348	24.45721051	9.827849532	36.94510541
Wang-2021-90-85	85	82	ANGER	anger	word85	愤怒	a	2	4	0.04005928864	0.006585400663	0.01821089358	0.003309335826	0.04081678983	0.006189052727	0.0343721893	0.009600046808	0.3659423123	0.03670863539	0.07763202763	-0.1384034914	4.846153846	4.962962963	1.071428571	1.2	3.740740741	4.541666667	2.37037037	1.376729681	1.764641639	0.2622652642	0.5	1.933362806	1.768791449	0.926039879	-0.27404	1.75633	0.98938	1.07741	21	6.653846154	1.113943352	1.735388088	1.793620683	3.974467796	4.163235164	0.30061	0.71857	30.53492014	17.01585304	43.37297269
Wang-2021-90-86	86			fear	word86	恐惧	a	2	4	0.03011365818	0.006167222433	0.01360963905	0.003280461521	0.03145485275	0.005982231698	0.03046899692	0.008106471953	0.3549782846	0.04983125537	0.06929988303	-0.4385032139	4.346153846	4.740740741	1.071428571	1.36	4.666666667	5.0	2.074074074	1.598557042	1.872731296	0.2622652642	1.075484387	1.839732422	1.474419562	0.8738036184	-0.362	2.38965	1.17597	0.43951	21	6.269230769	1.176091259	2.188906558	1.990397467	3.974467796	3.974467796	0.12202	0.84633	21.72480537	9.301431693	32.26258148
Wang-2021-90-87	87			apathy	word87	冷漠	a	2	4	0.02874148415	0.008202579919	0.01388342915	0.003685706187	0.03075913611	0.008380490532	0.02521912762	0.009779931345	0.3659862765	0.04255199437	0.06956283253	-0.7557452865	4.153846154	4.148148148	1.071428571	1.36	2.740740741	3.083333333	2.407407407	1.405483766	1.935571943	0.2622652642	0.9521904571	1.654657589	1.558055272	0.7472647178	-0.70913	0.69695	1.07469	0.29898	20	6.346153846	1.0	2.368780974	2.134050021	3.419817908	4.035586952	-0.73681	-0.13453	22.25108649	9.40555606	33.31807451
Wang-2021-90-88	88	699	SAD	sad	word88	难过	a	2	4	0.03441400455	0.005876347068	0.01603626239	0.003383347364	0.03086395095	0.006285554789	0.03376829933	0.009315512295	0.3427102317	0.04487529676	0.07124135969	-0.5176815826	4.576923077	4.296296296	1.071428571	1.32	2.962962963	4.041666667	2.296296296	1.447012838	1.957526202	0.2622652642	1.215181742	2.102772556	1.601063958	0.7753319297	-0.54716	1.21657	0.96934	0.81107	16	6.653846154	1.579783597	2.81258631	3.330707026	3.165753426	4.173829406	-0.22664	0.22338	24.24662262	12.62525825	35.36282616
Wang-2021-90-89	89			antipathy	word89	反感	v	2	4	0.01957192744	0.005905977212	0.01233643637	0.002899696813	0.0223914934	0.006084417818	0.01878227734	0.009142157442	0.3594732792	0.04132704809	0.07660454582	-0.8107244009	3.884615385	4.296296296	1.071428571	1.28	3.259259259	4.458333333	2.333333333	1.395046181	1.68282763	0.2622652642	0.8426149773	1.913365794	1.413572922	0.8770580193	-0.73017	1.42427	1.03956	0.34465	17	6.0	1.041392685	2.740069955	3.11699228	3.958604463	4.15816265	-0.42171	0.61063	33.46484607	17.64257255	40.50851057
Wang-2021-90-90	90	3973	DEPRESSED	depressed	word90	沮丧	a	2	4	0.03636841546	0.006871272147	0.01629997647	0.003965901752	0.03600301767	0.006624968521	0.0373871324	0.01032513651	0.3603786581	0.04775386544	0.07373471586	-0.5339358715	4.538461538	4.296296296	1.035714286	1.24	2.888888889	3.708333333	2.37037037	1.605758867	1.957526202	0.1889822365	0.6633249581	2.006400016	1.654484464	0.6877023142	-0.58469	1.03477	1.40904	0.58582	16	6.269230769	1.041392685	1.108284197	1.340691929	4.280548583	4.519482637	-0.33601	0.1823	21.35965895	7.129447563	32.74963105
