ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sawka-2019-201-128	128	stone	thing	857	STONE
Sawka-2019-201-129	129	stool	thing	2058	STOOL
Sawka-2019-201-130	130	sun	thing	1343	SUN
Sawka-2019-201-131	131	thing	thing	738	THING
Sawka-2019-201-132	132	thirst	thing	848	THIRST
Sawka-2019-201-133	133	thorn	thing	124	THORN
Sawka-2019-201-134	134	thread	thing	1161	THREAD
Sawka-2019-201-135	135	today	thing	1283	TODAY
Sawka-2019-201-136	136	tomorrow	thing	1329	TOMORROW
Sawka-2019-201-137	137	utensil	thing		
Sawka-2019-201-138	138	village	thing	930	VILLAGE
Sawka-2019-201-139	139	walking stick	thing	1296	WALKING STICK
Sawka-2019-201-140	140	wall	thing		
Sawka-2019-201-141	141	war	thing	935	WAR
Sawka-2019-201-142	142	water	thing	948	WATER
Sawka-2019-201-143	143	what	thing	1236	WHAT
Sawka-2019-201-144	144	wind [noun]	thing	960	WIND
Sawka-2019-201-145	145	year	thing	1226	YEAR
Sawka-2019-201-146	146	yesterday	thing	1174	YESTERDAY
Sawka-2019-201-147	147	big knife	thing & adjective		
Sawka-2019-201-148	148	branch	thing	1531	BRANCH
Sawka-2019-201-149	149	leaf	thing	628	LEAF
Sawka-2019-201-150	150	tree	thing	906	TREE
Sawka-2019-201-151	151	sit	verb	1416	SIT
Sawka-2019-201-152	152	brother	person	1262	BROTHER
Sawka-2019-201-153	153	brother - younger		1760	YOUNGER BROTHER
Sawka-2019-201-154	154	brother - older		1759	OLDER BROTHER
Sawka-2019-201-155	155	chief	person	301	CHIEFTAIN
Sawka-2019-201-156	156	child	person	2099	CHILD
Sawka-2019-201-157	157	daughter	person	1357	DAUGHTER
Sawka-2019-201-158	158	enemy	person	1358	ENEMY
Sawka-2019-201-159	159	father	person	1217	FATHER
Sawka-2019-201-160	160	God	person	1944	GOD
Sawka-2019-201-161	161	husband	person	1200	HUSBAND
Sawka-2019-201-162	162	man	person	1554	MAN
Sawka-2019-201-163	163	mother	person	1216	MOTHER
Sawka-2019-201-164	164	mother’s brother	person	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
Sawka-2019-201-165	165	person	person	683	PERSON
Sawka-2019-201-166	166	son	person	1620	SON
Sawka-2019-201-167	167	twins	person	1005	TWINS
Sawka-2019-201-168	168	who	person	1235	WHO
Sawka-2019-201-169	169	wife	person	1199	WIFE
Sawka-2019-201-170	170	woman	person	962	WOMAN
Sawka-2019-201-171	171	bad	adjective	1292	BAD
Sawka-2019-201-172	172	big	adjective	1202	BIG
Sawka-2019-201-173	173	black	adjective	163	BLACK
Sawka-2019-201-174	174	cold	adjective	1287	COLD
Sawka-2019-201-175	175	difficult	adjective	584	DIFFICULT
Sawka-2019-201-176	176	dirty	adjective	1230	DIRTY
Sawka-2019-201-177	177	dry	adjective	1398	DRY
Sawka-2019-201-178	178	dull	adjective	379	BLUNT
Sawka-2019-201-179	179	easy	adjective	686	EASY
Sawka-2019-201-180	180	full	adjective	1429	FULL
Sawka-2019-201-181	181	good	adjective	1035	GOOD
Sawka-2019-201-182	182	heavy	adjective	1210	HEAVY
Sawka-2019-201-183	183	hot	adjective	1286	HOT
Sawka-2019-201-184	184	long	adjective	1203	LONG
Sawka-2019-201-185	185	narrow	adjective	1267	NARROW
Sawka-2019-201-186	186	new	adjective	1231	NEW
Sawka-2019-201-187	187	red	adjective	156	RED
Sawka-2019-201-188	188	rotten	adjective	1728	ROTTEN
Sawka-2019-201-189	189	sharp	adjective	1396	SHARP
Sawka-2019-201-190	190	short	adjective	1645	SHORT
Sawka-2019-201-191	191	small	adjective	1246	SMALL
Sawka-2019-201-192	192	wet	adjective	1726	WET
Sawka-2019-201-193	193	white	adjective	1335	WHITE
Sawka-2019-201-194	194	wide	adjective	1243	WIDE
Sawka-2019-201-195	195	far	location	1406	FAR
Sawka-2019-201-196	196	inside	location	1606	INSIDE
Sawka-2019-201-197	197	near	location	1942	NEAR
Sawka-2019-201-198	198	outside	location	762	OUTSIDE
Sawka-2019-201-199	199	leftside	location	244	LEFT
Sawka-2019-201-200	200	rightside	location	1019	RIGHT
Sawka-2019-201-201	201	why	concept	1270	WHY
