ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Gerardi-2020-244-86	86	GROW	479	GROW	CRESCER
Gerardi-2020-244-87	87	HAND	1277	HAND	MÃO
Gerardi-2020-244-88	88	HAIR	2648	HAIR (HEAD)	CABELO
Gerardi-2020-244-89	89	HAMMOCK	2019	HAMMOCK	REDE
Gerardi-2020-244-90	90	HAPPY	1495	HAPPY	FELIZ / CONTENTE
Gerardi-2020-244-91	91	HAWK	307	HAWK	GAVIÃO
Gerardi-2020-244-92	92	HEAL	499	CURE	CURAR / SARAR
Gerardi-2020-244-93	93	HEAR/LISTEN			ESCUTAR / OUVIR
Gerardi-2020-244-94	94	HEART	1223	HEART	CORAÇÃO
Gerardi-2020-244-95	95	HEAVY	1210	HEAVY	PESADO
Gerardi-2020-244-96	96	HEDGEHOG	1797	HEDGEHOG	OURIÇO / PORCO-ESPINHO
Gerardi-2020-244-97	97	HELP	1897	HELP	AJUDAR
Gerardi-2020-244-98	98	HEN	1514	HEN	GALINHA
Gerardi-2020-244-99	99	HIDE	2486	HIDE	ESCONDER
Gerardi-2020-244-100	100	HIT	1433	HIT	BATER
Gerardi-2020-244-101	101	HOLE	1667	HOLE	BURACO
Gerardi-2020-244-102	102	HOT	1286	HOT	QUENTE
Gerardi-2020-244-103	103	HOUSE	1252	HOUSE	CASA
Gerardi-2020-244-104	104	HOWLER_MONKEY	433	HOWLER MONKEY	(MACACO) BUGIO / GUARIBA
Gerardi-2020-244-105	105	HUSBAND	1200	HUSBAND	MARIDO
Gerardi-2020-244-106	106	JACARÉ/CAIMAN/CROCODILE	1857	CROCODILE	JACARÉ
Gerardi-2020-244-107	107	JAGUAR	1250	JAGUAR	ONÇA
Gerardi-2020-244-108	108	KILL	1417	KILL	MATAR
Gerardi-2020-244-109	109	KNEE	1371	KNEE	JOELHO
Gerardi-2020-244-110	110	KNIFE	1352	KNIFE	FACA
Gerardi-2020-244-111	111	KNOW	3626	KNOW	SABER
Gerardi-2020-244-112	112	LAKE	624	LAKE	LAGO / LAGOA
Gerardi-2020-244-113	113	LAUGH	1355	LAUGH	RIR
Gerardi-2020-244-114	114	LEAF	628	LEAF	FOLHA
Gerardi-2020-244-115	115	LEARN	504	LEARN	APRENDER
Gerardi-2020-244-116	116	LEG	1297	LEG	PERNA
Gerardi-2020-244-117	117	LAY	2071	LAY (VERB)	DEITAR(-SE)
Gerardi-2020-244-118	118	LIVER	1224	LIVER	FÍGADO
Gerardi-2020-244-119	119	LONG	2143	LONG OR TALL	COMPRIDO / LONGO / ALTO
Gerardi-2020-244-120	120	LOOK_AT	1819	LOOK	OLHAR
Gerardi-2020-244-121	121	LOOSE_oneS	423	GET LOST	PERDER-SE
Gerardi-2020-244-122	122	LOUSE	310	HEAD LOUSE	PIOLHO
Gerardi-2020-244-123	123	MAN	1554	MAN	HOMEM
Gerardi-2020-244-124	124	MANIOC	927	MANIOC	MANDIOCA / MACAXEIRA / AIPIM
Gerardi-2020-244-125	125	MANY	1198	MANY	MUITOS
Gerardi-2020-244-126	126	MEDICINE	1372	MEDICINE	REMÉDIO
Gerardi-2020-244-127	127	MONKEY	1350	MONKEY	MACACO
Gerardi-2020-244-128	128	MOON	1313	MOON	LUA
Gerardi-2020-244-129	129	MOUNTAIN	2118	MOUNTAIN OR HILL	MONTANHA / MONTE / MORRO
Gerardi-2020-244-130	130	MOSQUITO	1509	MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ
Gerardi-2020-244-131	131	MOTHER	1216	MOTHER	MÃE
Gerardi-2020-244-132	132	MOTHER_IN_LAW(2)	2256	MOTHER-IN-LAW (OF WOMAN)	SOGRA (DE MULHER)
Gerardi-2020-244-133	133	MOUSTACHE	1165	MOUSTACHE	BIGODE
Gerardi-2020-244-134	134	NAIL/CLAW	2128	CLAW OR NAIL	UNHA / GARRA
Gerardi-2020-244-135	135	NAME	1405	NAME	NOME
Gerardi-2020-244-136	136	NECK	1333	NECK	PESCOÇO
Gerardi-2020-244-137	137	NEST	539	NEST	NINHO
Gerardi-2020-244-138	138	NEW	1231	NEW	NOVO
Gerardi-2020-244-139	139	NIGHT	1233	NIGHT	NOITE
Gerardi-2020-244-140	140	NOSE	1221	NOSE	NARIZ
Gerardi-2020-244-141	141	ONE	1493	ONE	UM
Gerardi-2020-244-142	142	OTHER_SOME			OUTRO / ALGUM
Gerardi-2020-244-143	143	PACA	316	PACA	PACA
Gerardi-2020-244-144	144	PAIN/HURT			DOR / MACHUCADO
Gerardi-2020-244-145	145	PARROT	882	PARROT	PAPAGAIO
Gerardi-2020-244-146	146	PATH	2252	PATH	CAMINHO
Gerardi-2020-244-147	147	PENIS	1222	PENIS	PÊNIS
Gerardi-2020-244-148	148	PERSON_HB_SOMEONE	683	PERSON	PESSOA / SER HUMANO / ALGUÉM
Gerardi-2020-244-149	149	PIERCE	398	PIERCE	FURAR / ESPETAR
Gerardi-2020-244-150	150	PINEAPPLE	2440	PINEAPPLE	ABACAXI
Gerardi-2020-244-151	151	PLAY	1413	PLAY	BRINCAR
Gerardi-2020-244-152	152	PORRIDGE	3651	MUSH (FOOD)	MINGAU
Gerardi-2020-244-153	153	PUMPKIN	864	PUMPKIN	ABÓBORA / MORANGA / JERIMUN
Gerardi-2020-244-154	154	PUT	998	PUT	PÔR / COLOCAR
Gerardi-2020-244-155	155	RAIN	658	RAIN (PRECIPITATION)	CHUVA
Gerardi-2020-244-156	156	RAT	1490	RAT	RATO
Gerardi-2020-244-157	157	RAW	1959	RAW	CRU
Gerardi-2020-244-158	158	RED	156	RED	VERMELHO
Gerardi-2020-244-159	159	RETURN	581	COME BACK	VIRAR / VOLTAR
Gerardi-2020-244-160	160	RIPE	178	RIPE	MADURO
Gerardi-2020-244-161	161	RIVER	666	RIVER	RIO
Gerardi-2020-244-162	162	ROOT	670	ROOT	RAÍZ
Gerardi-2020-244-163	163	ROPE	1218	ROPE	CORDA
Gerardi-2020-244-164	164	ROUND	1395	ROUND	REDONDO
Gerardi-2020-244-165	165	RUN	1519	RUN	CORRER
Gerardi-2020-244-166	166	SALIVA	1503	SALIVA	SALIVA
Gerardi-2020-244-167	167	SALT	1274	SALT	SAL
Gerardi-2020-244-168	168	SAND	671	SAND	AREIA
Gerardi-2020-244-169	169	SCARE	252	FRIGHTEN	ASSUSTAR / AMEDRONTAR
Gerardi-2020-244-170	170	SEE	1409	SEE	VER
Gerardi-2020-244-171	171	SEED	714	SEED	SEMENTE
Gerardi-2020-244-172	172	SEEK	1468	LOOK FOR	BUSCAR / PROCURAR
Gerardi-2020-244-173	173	SEND	1127	SEND	ENVIAR
Gerardi-2020-244-174	174	SHARPEN	251	SHARPEN (SOMETHING)	AFIAR
Gerardi-2020-244-175	175	SHELL/BARK	2127	BARK OR SKIN	CASCA / PELE
Gerardi-2020-244-176	176	SICK/ILL	1847	SICK	DOENTE
Gerardi-2020-244-177	177	SISTER	1263	SISTER	IRMÃ
Gerardi-2020-244-178	178	SIT	1416	SIT	SENTAR(-SE)
Gerardi-2020-244-179	179	SLEEP	1585	SLEEP	DORMIR
Gerardi-2020-244-180	180	SMALL	1246	SMALL	PEQUENO
Gerardi-2020-244-181	181	SMOKE	778	SMOKE (EXHAUST)	FUMAÇA
Gerardi-2020-244-182	182	SNAKE	730	SNAKE	COBRA
Gerardi-2020-244-183	183	SNORE	1983	SNORE	RONCAR
Gerardi-2020-244-184	184	SON	1620	SON	FILHO
Gerardi-2020-244-185	185	SOUR/ACID	1906	SOUR	AZEDO / AMARGO
Gerardi-2020-244-186	186	SPEAK	1623	SPEAK	FALAR
Gerardi-2020-244-187	187	SPIDER	843	SPIDER	ARANHA
Gerardi-2020-244-188	188	STAR	1430	STAR	ESTRELA
Gerardi-2020-244-189	189	STINGRAY	1910	STINGRAY	ARRAIA
Gerardi-2020-244-190	190	STOMACH	819	STOMACH	ESTÔMAGO
Gerardi-2020-244-191	191	STONE	857	STONE	PEDRA
Gerardi-2020-244-192	192	STRONG	785	STRONG	FORTE
Gerardi-2020-244-193	193	SUCK	1421	SUCK	SUGAR / CHUPAR
Gerardi-2020-244-194	194	SUN	1343	SUN	SOL
Gerardi-2020-244-195	195	SWEEP	230	SWEEP	VARRER
Gerardi-2020-244-196	196	SWEET	717	SWEET	DOCE
Gerardi-2020-244-197	197	SWEET_POTATO	159	SWEET POTATO	BATATA-DOCE
Gerardi-2020-244-198	198	SWIM	1439	SWIM	NADAR
Gerardi-2020-244-199	199	TAIL	1220	TAIL	RABO / CAUDA
Gerardi-2020-244-200	200	TAPIR	312	TAPIR	ANTA
Gerardi-2020-244-201	201	TEACH	709	TEACH	ENSINAR
Gerardi-2020-244-202	202	TELL/NARRATE	1711	TELL	CONTAR
Gerardi-2020-244-203	203	TERMINATE/FINISH	1766	FINISH	ACABAR / TERMINAR
Gerardi-2020-244-204	204	TERMITE	883	TERMITE	CUPIM
Gerardi-2020-244-205	205	TESTICLES	797	TESTICLES	TESTÍCULOS
Gerardi-2020-244-206	206	THICK	1244	THICK	GROSSO
Gerardi-2020-244-207	207	THING	738	THING	COISA
Gerardi-2020-244-208	208	THREE	492	THREE	TRÊS
Gerardi-2020-244-209	209	THORN	124	THORN	ESPINHO
Gerardi-2020-244-210	210	THUNDER	1150	THUNDER	TROVÃO
Gerardi-2020-244-211	211	THROAT	1346	THROAT	GARGANTA
Gerardi-2020-244-212	212	TICK	1527	TICK	CARRAPATO
Gerardi-2020-244-213	213	TIE	1917	TIE	ATAR / AMARRAR
Gerardi-2020-244-214	214	TIRED	1757	TIRED	CANSADO
Gerardi-2020-244-215	215	TOBACCO	974	TOBACCO	FUMO / TABACO
Gerardi-2020-244-216	216	TOMORROW	1329	TOMORROW	AMANHÃ
Gerardi-2020-244-217	217	TONGUE	1205	TONGUE	LÍNGUA
Gerardi-2020-244-218	218	TREE	906	TREE	ÁRVORE
Gerardi-2020-244-219	219	TURTLE	112	TURTLE	TARTARUGA / JABOTI / JABUTI
Gerardi-2020-244-220	220	TWO	1498	TWO	DOIS / DUAS
Gerardi-2020-244-221	221	UGLY	1548	UGLY	FEIO
Gerardi-2020-244-222	222	UNCLE(MoBr)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	TIO (MATERNO)
Gerardi-2020-244-223	223	UNTIE	352	UNTIE	DESATAR / DESAMARRAR / SOLTAR
Gerardi-2020-244-224	224	URINATE	592	PISS	URINAR
Gerardi-2020-244-225	225	VEIN	1924	VEIN	VEIA
Gerardi-2020-244-226	226	VOMIT	1278	VOMIT	VOMITAR
Gerardi-2020-244-227	227	VULTURE	1185	VULTURE	URUBÚ
Gerardi-2020-244-228	228	WALK	1443	WALK	ANDAR / CAMINHAR
Gerardi-2020-244-229	229	WANT	1784	WANT	QUERER
Gerardi-2020-244-230	230	WASH	1453	WASH	LAVAR
