ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	CHINESE	ENGLISH
Sun-1991-1004-47	1877	EAST	47	东	east
Sun-1991-1004-48	1817	WEST	48	西	west
Sun-1991-1004-49	1595	SOUTH	49	南	south
Sun-1991-1004-50	1598	NORTH	50	北	north
Sun-1991-1004-51	2194	FRONT (PART)	51	前面	front
Sun-1991-1004-52	1686	BEHIND	52	后面	back (direction)
Sun-1991-1004-53	244	LEFT	53	左边	left
Sun-1991-1004-54	1019	RIGHT	54	右边	right
Sun-1991-1004-55	682	SIDE	55	旁边	side
Sun-1991-1004-56	1093	MIDDLE	56	中间	middle
Sun-1991-1004-57	1753	TOP	57	上面	top
Sun-1991-1004-58	1485	BELOW OR UNDER	58	下面	underneath
Sun-1991-1004-59	1606	INSIDE	59	里面	inside
Sun-1991-1004-60	762	OUTSIDE	60	外面	outside
Sun-1991-1004-61	863	EDGE	61	边上	edge
Sun-1991-1004-62	892	TIME	62	时候	time
Sun-1991-1004-63	1226	YEAR	63	年	year
Sun-1991-1004-64	1789	AGE	64	岁	year / age
Sun-1991-1004-65	513	THIS YEAR	65	今年	year, this
Sun-1991-1004-66	514	LAST YEAR	66	去年	year, last
Sun-1991-1004-67	515	NEXT YEAR	67	明年	year, next
Sun-1991-1004-68	2331	YEAR BEFORE LAST YEAR	68	前年	year before last
Sun-1991-1004-69	2330	YEAR AFTER NEXT YEAR	69	后年	year after next
Sun-1991-1004-70	1537	SPRINGTIME	70	春	spring
Sun-1991-1004-71	1342	SUMMER	71	夏	summer
Sun-1991-1004-72	1276	AUTUMN	72	秋	autumn
Sun-1991-1004-73	1471	WINTER	73	冬	winter
Sun-1991-1004-74	1370	MONTH	74	月(二月)	month
Sun-1991-1004-75	2463	MOON OR MONTH	75	闰月	month (intercalary)
Sun-1991-1004-76	2036	JANUARY	76	正月	January
Sun-1991-1004-77	2037	FEBRUARY	77	二月	February
Sun-1991-1004-78	2846	MARCH	78	三月	March
Sun-1991-1004-79	2847	APRIL	79	四月	April
Sun-1991-1004-80	2848	MAY (MONTH)	80	五月	May
Sun-1991-1004-81	2849	JUNE	81	六月	June
Sun-1991-1004-82	2850	JULY	82	七月	July
Sun-1991-1004-83	2851	AUGUST	83	八月	August
Sun-1991-1004-84	2852	SEPTEMBER	84	九月	September
Sun-1991-1004-85	2853	OCTOBER	85	十月	October
Sun-1991-1004-86	2854	NOVEMBER	86	十一月	November
Sun-1991-1004-87	2855	DECEMBER	87	十二月	December
Sun-1991-1004-88	1260	DAY (24 HOURS)	88	天(三天)	day (24 hours)
Sun-1991-1004-89	1283	TODAY	89	今天	today
Sun-1991-1004-90	1174	YESTERDAY	90	昨天	yesterday
Sun-1991-1004-91	1180	DAY BEFORE YESTERDAY	91	前天	day before yesterday
Sun-1991-1004-92	1329	TOMORROW	92	明天	tomorrow
Sun-1991-1004-93	1179	DAY AFTER TOMORROW	93	后天	day after tomorrow
Sun-1991-1004-94			94	初一	day, first of month
Sun-1991-1004-95			95	初三	day, third of month
Sun-1991-1004-96			96	初五	day, fifth of month
Sun-1991-1004-97			97	十一日	day, eleventh of month
Sun-1991-1004-98			98	十五日	day, fifteenth of month
Sun-1991-1004-99			99	十六日	day, sixteenth of month
Sun-1991-1004-100			100	二十日	day, twentieth of month
Sun-1991-1004-101			101	三十日	day, thirtieth of month
Sun-1991-1004-102	1225	DAY (NOT NIGHT)	102	白天	day(time)
Sun-1991-1004-103	1339	MORNING	103	早晨	morning
Sun-1991-1004-104	12	MIDDAY	104	中午	noon
Sun-1991-1004-105	1233	NIGHT	105	夜里	night
Sun-1991-1004-106	1376	NOW	106	现在	now
Sun-1991-1004-107	2914	ONCE (IN THE PAST)	107	从前	past, in the
Sun-1991-1004-108			108	今后	from now on
Sun-1991-1004-109	3044	BOVINE	109	牛	bovine
Sun-1991-1004-110	2516	WATER BUFFALO	110	水牛	water buffalo
Sun-1991-1004-111	1153	CATTLE	111	黄牛	cattle (common)
Sun-1991-1004-112	890	MULE	112	骡子	mule
Sun-1991-1004-113	615	HORSE	113	马	horse
Sun-1991-1004-114	1862	DONKEY	114	毛驴	donkey
Sun-1991-1004-115	1337	PIG	115	猪	pig
Sun-1991-1004-116	2684	CAPRINE (GOAT OR SHEEP)	116	羊	goat / sheep (generic)
Sun-1991-1004-117	1502	GOAT	117	山羊	goat
Sun-1991-1004-118	1331	SHEEP	118	绵羊	sheep
Sun-1991-1004-119	2009	DOG	119	狗	dog
Sun-1991-1004-120	1208	CAT	120	猫	cat
Sun-1991-1004-121	1136	RABBIT	121	兔子	rabbit
Sun-1991-1004-122	2038	DRAGON	122	龙	dragon
Sun-1991-1004-123	1290	ELEPHANT	123	象(大象)	elephant
Sun-1991-1004-124	846	TIGER	124	老虎	tiger
Sun-1991-1004-125	1820	BEAR	125	狗熊	bear
Sun-1991-1004-126	1139	LEOPARD	126	豹子	leopard
Sun-1991-1004-127	1348	BOAR	127	野猪	boar
Sun-1991-1004-128	1350	MONKEY	128	猴子	monkey
Sun-1991-1004-129	1936	DEER	129	鹿	deer
Sun-1991-1004-130	522	WOLF	130	狼	wolf
Sun-1991-1004-131			131	獐子	roebuck
Sun-1991-1004-132	1312	FOX	132	狐狸	fox
Sun-1991-1004-133	15	OTTER	133	水獭	otter
Sun-1991-1004-134	1490	RAT	134	老鼠	rat / mouse
Sun-1991-1004-135	1318	CHICKEN	135	鸡	chicken
Sun-1991-1004-136	1511	ROOSTER	136	公鸡	rooster
Sun-1991-1004-137	1514	HEN	137	母鸡	hen
Sun-1991-1004-138	1360	DUCK	138	鸭子	duck
Sun-1991-1004-139	1187	GOOSE	139	鹅	goose
Sun-1991-1004-140	1853	DOVE	140	鸽子	pigeon
Sun-1991-1004-141	3060	PHEASANT	141	锥	pheasant
Sun-1991-1004-142	937	BIRD	142	鸟	bird
Sun-1991-1004-143	1905	EAGLE	143	老鹰	eagle
Sun-1991-1004-144	2776	WILD GOOSE	144	雁	wild goose
Sun-1991-1004-145	913	CROW	145	乌鸦	crow
Sun-1991-1004-146	2039	MAGPIE	146	喜鹊	magpie
Sun-1991-1004-147	3077	SWALLOW (BIRD)	147	燕子	swallow
Sun-1991-1004-148	1854	SPARROW	148	麻雀	sparrow
Sun-1991-1004-149	1793	BAT	149	蝙蝠	bat
Sun-1991-1004-150	503	FROG	150	青蛙	frog
Sun-1991-1004-151	227	FISH	151	鱼	fish
Sun-1991-1004-152	730	SNAKE	152	蛇	snake
Sun-1991-1004-153	665	BEE	153	蜜蜂	honeybee
Sun-1991-1004-154	1791	BUTTERFLY	154	蝴蝶	butterfly
Sun-1991-1004-155	2352	DRAGONFLY	155	蜻蜓	dragonfly
Sun-1991-1004-156	607	GRASSHOPPER	156	蚱蜢	grasshopper
Sun-1991-1004-157	587	ANT	157	蚂蚁	ant
Sun-1991-1004-158	1974	CENTIPEDE	158	蜈蚣	centipede
Sun-1991-1004-159	843	SPIDER	159	蜘蛛	spider
Sun-1991-1004-160	1949	BEDBUG	160	臭虫	bedbug
Sun-1991-1004-161	232	FLEA	161	跳蚤	flea
Sun-1991-1004-162	1392	LOUSE	162	虱子	louse
Sun-1991-1004-163	267	NIT	163	虮子	nit
Sun-1991-1004-164	1504	FLY (INSECT)	164	苍蝇	fly
Sun-1991-1004-165	1509	MOSQUITO	165	蚊子	mosquito
Sun-1991-1004-166	2350	EARTHWORM	166	蚯蚓	earthworm
Sun-1991-1004-167	2273	LEECH	167	水蛭	leech
Sun-1991-1004-168	2640	LARVA	168	蛆	maggot
Sun-1991-1004-169	620	INSECT	169	虫	insect / worm
Sun-1991-1004-170	744	EGG	170	蛋	egg
Sun-1991-1004-171	1257	WING	171	翅膀	wing
Sun-1991-1004-172	2381	FEATHER OR FUR OR HAIR	172	毛(兽毛)	hair / fur
Sun-1991-1004-173	1201	FEATHER	173	羽毛	feather
Sun-1991-1004-174	72	CLAW	174	爪	claw
Sun-1991-1004-175	152	HOOF	175	蹄	hoof
Sun-1991-1004-176	939	HORN (INSTRUMENT)	176	角(牛角)	horn
Sun-1991-1004-177	1220	TAIL	177	尾巴	tail
Sun-1991-1004-178	906	TREE	178	树	tree
Sun-1991-1004-179	1740	PINE	179	松树	pine
Sun-1991-1004-180	644	OAK	180	青冈树	oak
Sun-1991-1004-181	1915	FIR	181	杉树	fir
Sun-1991-1004-182	818	WILLOW	182	柳树	willow
Sun-1991-1004-183	1927	BAMBOO	183	竹子	bamboo
Sun-1991-1004-184	2494	BAMBOO SHOOT	184	竹筍	bamboo shoot
Sun-1991-1004-185	3081	CROPS	185	庄稼	crops
Sun-1991-1004-186	2026	RICE PLANT	186	稻子	rice (plant)
Sun-1991-1004-187	932	BARLEY	187	大麦	barley
Sun-1991-1004-188	1077	WHEAT	188	小麦	wheat
Sun-1991-1004-189	3079	HIGHLAND BARLEY	189	青稞	barley (Tibetan)
Sun-1991-1004-190	2040	BUCKWHEAT	190	荞子(甜荞)	buckwheat (sweet)
Sun-1991-1004-191			191	苦荞	buckwheat (bitter)
Sun-1991-1004-192	347	SORGHUM	192	高粱	sorghum
Sun-1991-1004-193	506	MAIZE	193	玉米	maize
Sun-1991-1004-194	159	SWEET POTATO	194	甘薯	sweet potato
Sun-1991-1004-195	593	POTATO	195	马铃薯	potato
Sun-1991-1004-196	351	TARO	196	芋头	taro
Sun-1991-1004-197	146	SUGAR CANE	197	甘蔗	sugarcane
Sun-1991-1004-198	2364	PEANUT	198	花生	peanut
Sun-1991-1004-199	1850	COTTON	199	棉花	cotton
Sun-1991-1004-200	3063	RAMIE	200	苎麻	ramie
Sun-1991-1004-201	832	BEAN	201	豆子	beans
Sun-1991-1004-202	507	MELON	202	瓜	melon
Sun-1991-1004-203	864	PUMPKIN	203	南瓜	pumpkin
Sun-1991-1004-204	496	CUCUMBER	204	黄瓜	cucumber
Sun-1991-1004-205	1146	AUBERGINE	205	茄子	eggplant
Sun-1991-1004-206	924	VEGETABLES	206	蔬菜	vegetable
Sun-1991-1004-207	774	CABBAGE	207	白菜	cabbage (Chinese)
Sun-1991-1004-208	3062	TURNIP	208	萝卜	turnip
Sun-1991-1004-209	2366	ONION	209	葱	onion (green)
Sun-1991-1004-210	2368	GARLIC	210	大蒜	garlic
Sun-1991-1004-211	2500	GINGER	211	生姜	ginger
Sun-1991-1004-212	1385	PEPPER	212	辣椒	pepper, hot / chili
Sun-1991-1004-213	1507	FRUIT	213	水果	fruit
Sun-1991-1004-214	2043	PEACH	214	桃子	peach
Sun-1991-1004-215	2044	PERSIMMON	215	柿子	persimmon
Sun-1991-1004-216	920	GRAPE	216	葡萄	grape
Sun-1991-1004-217	974	TOBACCO	217	烟(抽烟)	tobacco
Sun-1991-1004-218	606	GRASS	218	草	grass
Sun-1991-1004-219	641	MUSHROOM	219	菌子	mushroom
Sun-1991-1004-220	714	SEED	220	种子	seed
Sun-1991-1004-221	3050	SEEDLING	221	秧子	seedling
Sun-1991-1004-222	670	ROOT	222	根(树根)	root
Sun-1991-1004-223	2628	PLANT STEM	223	茎	stem / stalk
Sun-1991-1004-224	628	LEAF	224	叶子	leaf
Sun-1991-1004-225	1531	BRANCH	225	树枝	branch
Sun-1991-1004-226	1684	BUD	226	芽	bud
Sun-1991-1004-227	1762	STONE (OF FRUIT)	227	核(果核)	stone / pit
Sun-1991-1004-228	239	FLOWER	228	花(开花)	flower
Sun-1991-1004-229	1249	SPIKE	229	穗子	ear (of grain-producing plant)
Sun-1991-1004-230	124	THORN	230	刺	thorn
Sun-1991-1004-231	1480	BODY	231	身体	body
Sun-1991-1004-232	1256	HEAD	232	头	head
Sun-1991-1004-233	123	FOREHEAD	233	额头	forehead
Sun-1991-1004-234	2648	HAIR (HEAD)	234	头发	hair of head
Sun-1991-1004-235	333	PLAIT	235	辫子	plait
Sun-1991-1004-236	1560	FACE	236	脸	face
Sun-1991-1004-237	1173	EYEBROW	237	眉毛	eyebrow
Sun-1991-1004-238	1248	EYE	238	眼睛	eye
Sun-1991-1004-239	1651	TEAR (OF EYE)	239	眼泪	tear
Sun-1991-1004-240	1221	NOSE	240	鼻子	nose
Sun-1991-1004-241	1247	EAR	241	耳朵	ear
Sun-1991-1004-242	674	MOUTH	242	嘴	mouth
Sun-1991-1004-243	478	LIP	243	嘴唇	lip
Sun-1991-1004-244	1380	TOOTH	244	牙齿	tooth
Sun-1991-1004-245	1205	TONGUE	245	舌头	tongue
Sun-1991-1004-246	678	BEARD	246	胡子	beard
Sun-1991-1004-247	1510	CHIN	247	下巴	chin
Sun-1991-1004-248	1333	NECK	248	脖子	neck
Sun-1991-1004-249	1346	THROAT	249	喉咙	throat
Sun-1991-1004-250	1482	SHOULDER	250	肩膀	shoulder
Sun-1991-1004-251	1277	HAND	251	手	hand
Sun-1991-1004-252	1473	FIST	252	拳头	fist
Sun-1991-1004-253	1673	ARM	253	胳臂	arm
Sun-1991-1004-254	981	ELBOW	254	肘	elbow
Sun-1991-1004-255	1303	FINGER	255	手指	finger
Sun-1991-1004-256	1258	FINGERNAIL	256	指甲	fingernail
Sun-1991-1004-257	1592	CHEST	257	胸脯	chest
Sun-1991-1004-258	1291	BACK	258	脊背	back (of body)
Sun-1991-1004-259	1402	BREAST	259	乳房	breast
Sun-1991-1004-260	1251	BELLY	260	肚子	belly
Sun-1991-1004-261	1681	WAIST	261	腰	waist
Sun-1991-1004-262	834	BUTTOCKS	262	屁股	buttocks
Sun-1991-1004-263	1301	FOOT	263	脚	foot
Sun-1991-1004-264	1297	LEG	264	腿	leg
Sun-1991-1004-265	1886	ARMPIT	265	腋下	armpit
Sun-1991-1004-266	763	SKIN	266	皮肤	skin
Sun-1991-1004-267	1137	TENDON	267	筋	sinew
Sun-1991-1004-268	946	BLOOD	268	血	blood
Sun-1991-1004-269	819	STOMACH	269	胃	stomach
Sun-1991-1004-270	489	KIDNEY	270	肾	kidney
Sun-1991-1004-271	1991	INTESTINES	271	肠子	intestines
Sun-1991-1004-272	1223	HEART	272	心脏	heart
Sun-1991-1004-273	1224	LIVER	273	肝	liver
Sun-1991-1004-274	688	LUNG	274	肺	lung
Sun-1991-1004-275			275	胆	gall
Sun-1991-1004-276	1746	BLADDER	276	膀胱	bladder
Sun-1991-1004-277	125	SWEAT (SUBSTANCE)	277	汗	sweat
Sun-1991-1004-278	208	NASAL MUCUS (SNOT)	278	鼻涕	snot
Sun-1991-1004-279	3061	PHLEGM	279	痰	phlegm
Sun-1991-1004-280	1503	SALIVA	280	口水	saliva / spittle
Sun-1991-1004-281	635	MILK	281	奶(汁)	milk
Sun-1991-1004-282	675	FAECES (EXCREMENT)	282	屎	excrement
Sun-1991-1004-283	1142	URINE	283	尿	urine
Sun-1991-1004-284	1159	FART	284	屁	fart
Sun-1991-1004-285	793	BOIL (OF SKIN)	285	疮	boil
Sun-1991-1004-286	1808	PUS	286	脓	pus
Sun-1991-1004-287	1054	SMALLPOX	287	天花	smallpox
Sun-1991-1004-288	3059	MALARIA	288	疟疾	malaria
Sun-1991-1004-289	683	PERSON	289	扔	person
Sun-1991-1004-290	1554	MAN	290	男人	man (male person)
Sun-1991-1004-291	962	WOMAN	291	女人	woman
Sun-1991-1004-292	725	OLD PERSON	292	老人	old person
Sun-1991-1004-293	76	YOUNG MAN	293	青年男人	young man
Sun-1991-1004-294	77	YOUNG WOMAN	294	青年女子	young woman
Sun-1991-1004-295	1304	CHILD (YOUNG HUMAN)	295	儿童	child
Sun-1991-1004-296	1325	FRIEND	296	朋友	friend
Sun-1991-1004-297	1358	ENEMY	297	敌人	enemy
Sun-1991-1004-298	1545	HOST	298	主人	host
Sun-1991-1004-299	1782	GUEST	299	客人	guest
Sun-1991-1004-300	457	BLIND PERSON	300	瞎子	blind person
Sun-1991-1004-301	458	DEAF PERSON	301	聋子	deaf person
Sun-1991-1004-302	1666	MUTE	302	哑巴	mute
Sun-1991-1004-303	2321	MAD PERSON	303	疯子	mad person
Sun-1991-1004-304	2322	LAME PERSON	304	跛子	lame person
Sun-1991-1004-305	1042	CARPENTER	305	木匠	carpenter
Sun-1991-1004-306	3361	OFFICIAL	306	官	official
Sun-1991-1004-307	1941	SOLDIER	307	兵	soldier
Sun-1991-1004-308	1561	ARMY	308	军队	army
Sun-1991-1004-309	2977	WORKER	309	工人	worker
Sun-1991-1004-310	979	FARMER	310	农民	farmer
Sun-1991-1004-311	597	PHYSICIAN	311	医生	doctor
Sun-1991-1004-312	1038	TEACHER	312	老师	teacher
Sun-1991-1004-313	753	PUPIL (STUDENT)	313	学生	student
Sun-1991-1004-314			314	民族	nationality
Sun-1991-1004-315	3373	HAN CHINESE	315	汉族	Chinese
Sun-1991-1004-316	3433	AUTONYM (OF PEOPLE)	316	本族,自称	autonym
Sun-1991-1004-317	1383	GRANDFATHER	317	祖父	grandfather
Sun-1991-1004-318	1496	GRANDMOTHER	318	祖母	grandmother
Sun-1991-1004-319	1217	FATHER	319	父亲	father
Sun-1991-1004-320	1216	MOTHER	320	母亲	mother
Sun-1991-1004-321	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	321	伯父	uncle (paternal, elder)
Sun-1991-1004-322	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	322	伯母	aunt (paternal, elder)
Sun-1991-1004-323	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	323	叔父	uncle (paternal, younger)
Sun-1991-1004-324	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	324	婶母	aunt (wife of younger paternal
Sun-1991-1004-325	2690	UNCLE (HUSBAND OF FATHER'S SISTER)	325	姑父	uncle (paternal aunt's husband
Sun-1991-1004-326	2175	PATERNAL AUNT	326	姑母	aunt (paternal)
Sun-1991-1004-327	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	327	舅父	uncle (maternal)
Sun-1991-1004-328	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	328	舅母	aunt (wife of maternal uncle)
Sun-1991-1004-329	2694	MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)	329	姨父	uncle (maternal aunt's husband
Sun-1991-1004-330	2176	MATERNAL AUNT	330	姨母	aunt (maternal)
Sun-1991-1004-331	1055	FATHER-IN-LAW	331	岳父	father-in-law
Sun-1991-1004-332	1050	MOTHER-IN-LAW	332	岳母	mother-in-law
Sun-1991-1004-333	1759	OLDER BROTHER	333	哥哥	brother (elder)
Sun-1991-1004-334	1758	OLDER SISTER	334	姐姐	sister (elder)
Sun-1991-1004-335	1760	YOUNGER BROTHER	335	弟弟	brother (younger)
Sun-1991-1004-336	1761	YOUNGER SISTER	336	妹妹	sister (younger)
Sun-1991-1004-337	1200	HUSBAND	337	丈夫	husband
Sun-1991-1004-338	1199	WIFE	338	妻子	wife
Sun-1991-1004-339	1620	SON	339	儿子	son
Sun-1991-1004-340	1357	DAUGHTER	340	女儿	daughter
Sun-1991-1004-341	1057	DAUGHTER-IN-LAW	341	儿媳	daughter-in-law
Sun-1991-1004-342	1056	SON-IN-LAW	342	女婿	son-in-law
Sun-1991-1004-343	1063	NEPHEW	343	侄子	nephew
Sun-1991-1004-344	1642	NIECE	344	侄女	niece
Sun-1991-1004-345	1618	GRANDSON	345	孙子	grandson
Sun-1991-1004-346	1619	GRANDDAUGHTER	346	孙女	granddaughter
Sun-1991-1004-347	1644	RELATIVES	347	亲戚	relative
Sun-1991-1004-348	1252	HOUSE	348	房屋	house
Sun-1991-1004-349	2406	HOME	349	家	home
Sun-1991-1004-350	933	WALL (OF HOUSE)	350	墙壁	wall
Sun-1991-1004-351	281	POST	351	柱子	pole
Sun-1991-1004-352	1132	BEAM	352	梁	beam
Sun-1991-1004-353	1567	DOOR	353	门	door
Sun-1991-1004-354	1375	WINDOW	354	窗户	window
Sun-1991-1004-355	185	FIREPLACE	355	火塘	fireplace
Sun-1991-1004-356	2540	LIME (MATERIAL)	356	石灰	lime
Sun-1991-1004-357	1006	BRICK	357	砖	brick
Sun-1991-1004-358			358	瓦	tile
Sun-1991-1004-359	1227	BOARD	359	板子	board / plank
Sun-1991-1004-360	502	NAIL (TOOL)	360	钉子	nail (tool)
Sun-1991-1004-361	2547	CITY	361	城	city
Sun-1991-1004-362	930	VILLAGE	362	村寨	village
Sun-1991-1004-363	911	TEMPLE	363	庙	temple
Sun-1991-1004-364	1773	GRAVE	364	坟墓	grave
Sun-1991-1004-365	3025	BARN OR SHED	365	仓库	granary
Sun-1991-1004-366	586	GARDEN	366	菜园	vegetable garden
Sun-1991-1004-367			367	圈(牛圈)	enclosure
Sun-1991-1004-368	539	NEST	368	窝	nest
Sun-1991-1004-369	3066	SCARF OR TURBAN	369	头巾	scarf for the head / turban
Sun-1991-1004-370	771	HAT	370	帽子	hat
Sun-1991-1004-371			371	斗笠	hat (bamboo)
Sun-1991-1004-372	770	EARRING	372	耳环	earring
Sun-1991-1004-373	1754	BRACELET	373	手镯	bracelet
Sun-1991-1004-374	3349	WRISTWATCH	374	手表	wristwatch
Sun-1991-1004-375	1374	RING	375	戒指	ring
Sun-1991-1004-376	1895	CLOTHES	376	衣服	clothes
Sun-1991-1004-377	2953	SLEEVE	377	袖子	sleeve
Sun-1991-1004-378	1662	CAPE	378	蓑衣	raincoat (of leaves, hemp fibe
Sun-1991-1004-379	809	TROUSERS	379	裤子	pants / trousers
Sun-1991-1004-380	1600	SKIRT	380	裙子	skirt
Sun-1991-1004-381			381	裹腿	legging
Sun-1991-1004-382	1381	SHOE	382	鞋	shoe
Sun-1991-1004-383	1522	SOCK	383	袜子	socks
Sun-1991-1004-384	2795	MOSQUITO NET	384	蚊帐	mosquito net
Sun-1991-1004-385	2048	QUILT	385	被子	quilt
Sun-1991-1004-386	195	MAT	386	席子	mat
Sun-1991-1004-387	1044	PILLOW	387	枕头	pillow
Sun-1991-1004-388	1616	CLOTH	388	布	cloth
Sun-1991-1004-389	1641	SILK	389	绸子	silk (cloth)
Sun-1991-1004-390	3289	UNCOOKED RICE	390	米	rice (uncooked)
Sun-1991-1004-391	1594	FLOUR	391	面粉	flour
Sun-1991-1004-392	1191	COOKED RICE	392	饭	rice (cooked)
Sun-1991-1004-393	1322	BREAKFAST	393	早饭	breakfast
Sun-1991-1004-394	768	LUNCH	394	午饭	lunch
Sun-1991-1004-395	1833	DINNER (SUPPER)	395	晚饭	dinner
Sun-1991-1004-396	1167	GRUEL	396	粥(稀饭)	gruel
Sun-1991-1004-397	1484	OIL (ORGANIC SUBSTANCE)	397	油	oil
Sun-1991-1004-398	1274	SALT	398	盐	salt
Sun-1991-1004-399	634	MEAT	399	肉	meat / flesh
Sun-1991-1004-400	481	DISH	400	菜	dish
Sun-1991-1004-401	1547	SOUP	401	汤	soup
Sun-1991-1004-402	842	LIQUOR	402	酒	liquor
Sun-1991-1004-403	973	NOODLE	403	面条	noodles
Sun-1991-1004-404	862	SUGAR	404	糖	sugar
Sun-1991-1004-405	2362	BRAN	405	细糠	bran
Sun-1991-1004-406	2501	RICE HUSK	406	粗糠	husk
Sun-1991-1004-407	3046	FODDER	407	食(猪食)	feed
Sun-1991-1004-408	677	AXE	408	斧头	ax
Sun-1991-1004-409	1352	KNIFE	409	刀	knife
Sun-1991-1004-410	341	SICKLE	410	镰刀	sickle
Sun-1991-1004-411	3057	FLAIL	411	连枷	flail
Sun-1991-1004-412	284	HOE	412	锄头	hoe
Sun-1991-1004-413			413	楔子	wedge
Sun-1991-1004-414	2154	PLOUGH (INSTRUMENT)	414	犁	plough
Sun-1991-1004-415	338	RAKE	415	耙(木耙)	rake
Sun-1991-1004-416	14	YOKE	416	牛轭	yoke
Sun-1991-1004-417	1787	LOOM	417	织布机	loom
Sun-1991-1004-418	1176	SPADE	418	铲子	spade
Sun-1991-1004-419	1948	SAW	419	锯子	saw
Sun-1991-1004-420	1382	NEEDLE (FOR SEWING)	420	针	needle
Sun-1991-1004-421	1161	THREAD	421	线	thread
Sun-1991-1004-422	1218	ROPE	422	绳子	rope
Sun-1991-1004-423	1566	GUN	423	枪	gun
Sun-1991-1004-424	3202	CANNON	424	炮	cannon
Sun-1991-1004-425	1114	BULLET	425	子弹	bullet
Sun-1991-1004-426	1798	GUNPOWDER	426	火药	gunpowder
Sun-1991-1004-427	994	BOW	427	弓	bow (weapon)
Sun-1991-1004-428	977	ARROW	428	箭	arrow
Sun-1991-1004-429	1295	STICK	429	棍子	stick
Sun-1991-1004-430	2630	WHIP	430	鞭子	whip
Sun-1991-1004-431	3065	SADDLE	431	鞍子	saddle
Sun-1991-1004-432	2051	DUSTPAN	432	簸箕	dustpan / winnowing sieve
Sun-1991-1004-433	3353	SIEVE (TOOL)	433	筛子	sieve
Sun-1991-1004-434	636	MILL	434	磨(水磨)	mill
Sun-1991-1004-435	225	PESTLE	435	碓	pestle
Sun-1991-1004-436	224	MORTAR CRUSHER	436	臼	mortar
Sun-1991-1004-437	1539	BASKET	437	箩筐	basket (bamboo, large)
Sun-1991-1004-438	1596	LOCK	438	锁	lock
Sun-1991-1004-439	1472	KEY	439	钥匙	key
