ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-97	97	deep	---	deep	---	---	---	1593	DEEP
Mann-2004-500-98	98	deer	deer	deer	---	---	---	1936	DEER
Mann-2004-500-99	99	descend	---	---	descend	---	---	2014	GO DOWN (DESCEND)
Mann-2004-500-100	100	die	die	die	die	die	die	1494	DIE
Mann-2004-500-101	101	difficult	---	difficult	---	---	---	584	DIFFICULT
Mann-2004-500-102	102	dig	dig	dig	dig	---	dig	1418	DIG
Mann-2004-500-103	103	dirty	dirty	dirty	---	---	dirty	1230	DIRTY
Mann-2004-500-104	104	disappear	---	disappear	---	---	---	485	DISAPPEAR
Mann-2004-500-105	105	disgusting	---	disgusting	---	---	---	2507	DISGUSTING
Mann-2004-500-106	106	do/make	---	do/make	---	---	---	2575	DO OR MAKE
Mann-2004-500-107	107	dog	dog	dog	dog	dog	dog	2009	DOG
Mann-2004-500-108	108	don't do it	---	don't do it	---	---	---		
Mann-2004-500-109	109	door	---	door	---	---	---	1567	DOOR
Mann-2004-500-110	110	dove	---	---	dove	---	---	1853	DOVE
Mann-2004-500-111	111	dream	---	dream	dream	---	---	1920	DREAM (SOMETHING)
Mann-2004-500-112	112	drink	drink	drink	drink	drink	drink	1401	DRINK
Mann-2004-500-113	113	drum	drum	drum	---	---	---	908	DRUM
Mann-2004-500-114	114	drunk	drunk	drunk	---	---	---	1463	DRUNK
Mann-2004-500-115	115	dry	dry	dry	---	dry	dry	1398	DRY
Mann-2004-500-116	116	duck	duck	duck	---	---	---	1360	DUCK
Mann-2004-500-117	117	dull	blunt	blunt	---	---	dull	379	BLUNT
Mann-2004-500-118	118	dust	dust	dust	---	---	dust	2	DUST
Mann-2004-500-119	119	dye	---	dye	---	---	---	157	DYE
Mann-2004-500-120	120	ear	ear	ear	ear/hear	ear	ear	1247	EAR
Mann-2004-500-121	121	earth/soil	earth	earth	earth	earth	earth	1228	EARTH (SOIL)
Mann-2004-500-122	122	east	---	east	---	---	---	1877	EAST
Mann-2004-500-123	123	easy	---	easy	---	---	---	686	EASY
Mann-2004-500-124	124	eat	eat	eat	eat	eat	eat	1336	EAT
Mann-2004-500-125	125	egg	egg	egg	egg	egg	egg	744	EGG
Mann-2004-500-126	126	eggplant	---	eggplant	---	---	---	1146	AUBERGINE
Mann-2004-500-127	127	eight	eight	eight	eight	---	---	1705	EIGHT
Mann-2004-500-128	128	elbow	---	elbow	---	---	---	981	ELBOW
Mann-2004-500-129	129	elephant	elephant	elephant	---	---	---	1290	ELEPHANT
Mann-2004-500-130	130	emerge	---	---	emerge	---	---	1076	EMERGE, APPEAR
Mann-2004-500-131	131	enter	enter	enter	---	---	---	749	ENTER
Mann-2004-500-132	132	exchange	---	exchange	---	---	---	2509	EXCHANGE
Mann-2004-500-133	133	excrement	---	excrement	shit	---	---	675	FAECES
Mann-2004-500-134	134	extinguish	---	extinguish	extinguish	---	---	127	EXTINGUISH
Mann-2004-500-135	135	eye	eye	eye	eye	eye	eye	1248	EYE
Mann-2004-500-136	136	eyebrow	---	eyebrow	---	---	---	1173	EYEBROW
Mann-2004-500-137	137	eyelid	---	eyelid	---	---	---	17	EYELID
Mann-2004-500-138	138	face	---	face	---	---	---	1560	FACE
Mann-2004-500-139	139	fall	fall/ drop (object)	fall	fall	---	fall	1280	FALL
