ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-79	79	dissect			Haptic	2.818181818	3.181818182	0.363636364	0.181818182	0.363636364	0.434210526	yes	11
Winter-2016-300-80	80	distinguish			Visual	3.363636364	2.636363636	1.909090909	1.818181818	2.272727273	0.128787879	no	11
Winter-2016-300-81	81	distribute			Visual	2.833333333	2.166666667	0.5	0	0	0.515151515	yes	6
Winter-2016-300-82	82	disturb	DISTURB	2883	Haptic	0.833333333	3.833333333	0.833333333	0.333333333	0.5	0.552631579	no	6
Winter-2016-300-83	83	do	DO	813	Haptic	2.090909091	3.090909091	1.818181818	1.545454545	1.454545455	0.163636364	yes	11
Winter-2016-300-84	84	down			Haptic	0.8	1.4	0	1.4	0	0.388888889	yes	5
Winter-2016-300-85	85	drag	DRAG	2030	Haptic	2.333333333	4.5	0.833333333	0	0	0.586956522	yes	6
Winter-2016-300-86	86	dry	DRY UP	1786	Haptic	0.625	2.75	0	0	0	0.814814815	yes	8
Winter-2016-300-87	87	eat	EAT	1336	Gustatory	2.333333333	3	1.222222222	4.777777778	3.777777778	0.235294118	no	9
Winter-2016-300-88	88	eavesdrop			Auditory	2.833333333	0.5	4.833333333	0	0.5	0.557692308	no	6
Winter-2016-300-89	89	echo			Auditory	0.333333333	0.5	4.833333333	0	0	0.852941176	no	6
Winter-2016-300-90	90	effect			Haptic	1.272727273	2.090909091	1.090909091	1	1	0.169014085	yes	11
Winter-2016-300-91	91	emanate			Visual	2.833333333	0.5	1.333333333	0.166666667	1.333333333	0.432432432	no	6
Winter-2016-300-92	92	emphasize			Auditory	0.714285714	0.428571429	1.714285714	0	0	0.6	yes	7
Winter-2016-300-93	93	emulate			Visual	2.428571429	0.428571429	1.285714286	0.142857143	0.142857143	0.516129032	yes	7
Winter-2016-300-94	94	endure	ENDURE	833	Haptic	1.625	3.125	2	1.75	1.75	0.146341463	no	8
Winter-2016-300-95	95	enjoy			Visual	2.625	2.625	2.25	2.375	2	0.052631579	no	8
Winter-2016-300-96	96	espy			Visual	4	0	0	0	0	1	no	2
Winter-2016-300-97	97	examine			Visual	5	4.166666667	2.666666667	1.666666667	2	0.215053763	yes	6
Winter-2016-300-98	98	exchange	EXCHANGE	2509	Visual	2.714285714	2.285714286	0.714285714	0	0	0.475	yes	7
Winter-2016-300-99	99	exhale			Olfactory	0.5	0.833333333	0.666666667	0.5	1	0.142857143	no	6
Winter-2016-300-100	100	exist			Visual	4	3.909090909	3.090909091	2.636363636	2.727272727	0.083333333	yes	11
Winter-2016-300-101	101	experience			Visual	4.333333333	3.833333333	4.166666667	3.5	3.833333333	0.042372881	no	6
Winter-2016-300-102	102	explore			Visual	4.222222222	4.111111111	2.888888889	2.222222222	2.222222222	0.127659574	no	9
