ID	NUMBER	SPANISH	SOURCE_PAGE	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Constenla-2005-110-31	31	Decir	51	say, to	1458	SAY
Constenla-2005-110-32	32	Diente	51	tooth	1380	TOOTH
Constenla-2005-110-33	33	Dormir	51	sleep, to	1585	SLEEP
Constenla-2005-110-34	34	Dos	51	two	1498	TWO
Constenla-2005-110-35	35	Él	52	he	1211	HE
Constenla-2005-110-36	36	En	52	at	1461	AT
Constenla-2005-110-37	37	Este	52	this	1214	THIS
Constenla-2005-110-38	38	Flor	52	flower	239	FLOWER
Constenla-2005-110-39	39	Frío	52	cold (temperature)	1287	COLD
Constenla-2005-110-40	40	Fuego	53	fire	221	FIRE
Constenla-2005-110-41	41	Golpear	53	hit, to	1433	HIT
Constenla-2005-110-42	42	Grande	53	big	1202	BIG
Constenla-2005-110-43	43	Gusano	53	worm	1219	WORM
Constenla-2005-110-44	44	Hablar	53	talk, to	2708	TALK
Constenla-2005-110-45	45	Hermana	54	sister	1263	SISTER
Constenla-2005-110-46	46	Hígado	54	liver	1224	LIVER
Constenla-2005-110-47	47	Hoja	55	leaf	628	LEAF
Constenla-2005-110-48	48	Hombre	55	man	1554	MAN
Constenla-2005-110-49	49	Hueso	55	bone	1394	BONE
Constenla-2005-110-50	50	Humo	56	smoke (substance)	778	SMOKE (EXHAUST)
Constenla-2005-110-51	51	Largo	56	large	1203	LONG
Constenla-2005-110-52	52	Lavar	57	wash, to	1453	WASH
Constenla-2005-110-53	53	Lejos	57	far	1406	FAR
Constenla-2005-110-54	54	Lengua	57	tongue	1205	TONGUE
Constenla-2005-110-55	55	Luna	57	moon	1313	MOON
Constenla-2005-110-56	56	Llorar	57	cry, to	1839	CRY
Constenla-2005-110-57	57	Madre	58	mother	1216	MOTHER
Constenla-2005-110-58	58	Malo	58	bad	1292	BAD
Constenla-2005-110-59	59	Mano	58	hand	1277	HAND
Constenla-2005-110-60	60	Matar	58	kill, to	1417	KILL
Constenla-2005-110-61	61	Montaña	59	mountain	639	MOUNTAIN
Constenla-2005-110-62	62	Morder	59	bite, to	1403	BITE
Constenla-2005-110-63	63	Mujer	59	woman	962	WOMAN
Constenla-2005-110-64	64	Nariz	59	nose	1221	NOSE
Constenla-2005-110-65	65	Negro	60	black	163	BLACK
Constenla-2005-110-66	66	Niño	60	child	2099	CHILD
Constenla-2005-110-67	67	No	60	no	1269	NO
Constenla-2005-110-68	68	Noche	61	night	1233	NIGHT
Constenla-2005-110-69	69	Nosotros	61	we	1212	WE
Constenla-2005-110-70	70	Nube	61	cloud	1489	CLOUD
Constenla-2005-110-71	71	Nuevo	61	new	1231	NEW
Constenla-2005-110-72	72	Oír	62	hear, to	1408	HEAR
Constenla-2005-110-73	73	Ojo	62	eye	1248	EYE
Constenla-2005-110-74	74	Oler	62	smell, to	2124	SMELL
Constenla-2005-110-75	75	Oreja	63	ear	1247	EAR
Constenla-2005-110-76	76	Padre	63	father	1217	FATHER
Constenla-2005-110-77	77	Pequeño	63	small	1246	SMALL
Constenla-2005-110-78	78	Perro	63	dog	2009	DOG
Constenla-2005-110-79	79	Pesado	64	heavy	1210	HEAVY
Constenla-2005-110-80	80	Pez	64	fish (animal)	227	FISH
Constenla-2005-110-81	81	Pie	64	foot	1301	FOOT
Constenla-2005-110-82	82	Piedra	64	stone	857	STONE
Constenla-2005-110-83	83	Pierna	64	leg	1297	LEG
Constenla-2005-110-84	84	Piojo	65	flea	232	FLEA
Constenla-2005-110-85	85	Pluma	65	feather	1201	FEATHER
Constenla-2005-110-86	86	Pocos	65	few	1242	FEW
Constenla-2005-110-87	87	Qué	65	what	1236	WHAT
Constenla-2005-110-88	88	Reír	66	laugh, to	1355	LAUGH
Constenla-2005-110-89	89	Rojo	66	red	156	RED
Constenla-2005-110-90	90	Ropa	66	clothes	1895	CLOTHES
Constenla-2005-110-91	91	Saber	67	know something, to	1410	KNOW (SOMETHING)
Constenla-2005-110-92	92	Sal	67	salt	1274	SALT
Constenla-2005-110-93	93	Sangre	67	blood	946	BLOOD
Constenla-2005-110-94	94	Seco	68	dry	1398	DRY
Constenla-2005-110-95	95	Serpiente	68	snake	730	SNAKE
Constenla-2005-110-96	96	Sol	68	sun	1343	SUN
Constenla-2005-110-97	97	Tetas	69	breast	1402	BREAST
Constenla-2005-110-98	98	Tierra	69	earth	1228	EARTH (SOIL)
Constenla-2005-110-99	99	Tres	69	three	492	THREE
Constenla-2005-110-100	100	Tripas	70	guts	1334	GUTS
Constenla-2005-110-101	101	Tú	70	thou	1215	THOU
Constenla-2005-110-102	102	Uno	70	one	1493	ONE
Constenla-2005-110-103	103	Ustedes	71	you (plural)	1213	YOU
Constenla-2005-110-104	104	Venir	71	come, to	1446	COME
Constenla-2005-110-105	105	Ver	71	see, to	1409	SEE
Constenla-2005-110-106	106	Verde	71	green	1425	GREEN
Constenla-2005-110-107	107	Viejo	72	old	1229	OLD
Constenla-2005-110-108	108	Viento	72	wind	960	WIND
Constenla-2005-110-109	109	Vientre	72	stomach	819	STOMACH
Constenla-2005-110-110	110	Yo	72	I	1209	I
