ID	NUMBER	NUMBER_IN_SOURCE	ENGLISH	CHINESE	NUMBERS	GLOSSES	CONCEPTICON_ID	CONCEPTICON_GLOSS
Yang-2011-1014-80	80	79	piglet	小猪	79	piglet	2564	PIGLET
Yang-2011-1014-81	81	80	boar	公猪	80	boar	1348	BOAR (MALE PIG)
Yang-2011-1014-82	82	81	boar (wild)	野猪	81,0 / 81,1	boar (wild) / boar (wild)	3154	WILD BOAR
Yang-2011-1014-83	83	82	goat	山羊	82	goat	1502	GOAT
Yang-2011-1014-84	84	83	ram	公羊	83	ram	1344	RAM
Yang-2011-1014-85	85	84	sheep	绵羊	84	sheep	1331	SHEEP
Yang-2011-1014-86	86	85	dog	狗	85,1 / 85,0	dog / dog	2009	DOG
Yang-2011-1014-87	87	86	cat	猫	86,0 / 86,1	cat / cat	1208	CAT
Yang-2011-1014-88	88	87	rabbit	兔子	87,0 / 87,1 / 87,2	rabbit / rabbit / rabbit	1136	RABBIT
Yang-2011-1014-89	89	88	dragon	龙	88	dragon	2038	DRAGON
Yang-2011-1014-90	90	89	animal	动物	89	animal	619	ANIMAL
Yang-2011-1014-91	91	90	wild animal	野兽	90,0 / 90,1	wild animal / wild animal	958	WILD ANIMAL
Yang-2011-1014-92	92	91	bear	熊	91	bear	1820	BEAR
Yang-2011-1014-93	93	92	tiger	老虎	92,0 / 92,1	tiger / tiger	846	TIGER
Yang-2011-1014-94	94	93	leopard; panther	豹	93	leopard; panther	1139	LEOPARD
Yang-2011-1014-95	95	94	wolf	狼	94	wolf	522	WOLF
Yang-2011-1014-96	96	95	monkey	猴子	95	monkey	1350	MONKEY
Yang-2011-1014-97	97	96	otter	水獭	96	otter	15	OTTER
Yang-2011-1014-98	98	97	weasel	黄鼠狼	97	weasel	3384	WEASEL
Yang-2011-1014-99	99	98	pangolin	穿山甲	98,0 / 98,1 / 98,2	pangolin / pangolin / pangolin	2508	PANGOLIN
Yang-2011-1014-100	100	99	muntjak deer	麂子／赤鹿	99	muntjak deer	3152	MUNTJACS
Yang-2011-1014-101	101	100	sambar deer	水鹿/黑鹿	100	sambar deer		
Yang-2011-1014-102	102	101	porcupine	豪猪/箭猪	101	porcupine	2510	PORCUPINE
Yang-2011-1014-103	103	102	rat; mouse	老鼠	102	rat; mouse	2139	MUROID (MOUSE OR RAT)
Yang-2011-1014-104	104	103	squirrel	松鼠	103	squirrel	1628	SQUIRREL
Yang-2011-1014-105	105	104	chicken	鸡	104	chicken	1318	CHICKEN
Yang-2011-1014-106	106	105	rooster	公鸡	105	rooster	1511	ROOSTER
Yang-2011-1014-107	107	106	hen	母鸡	106,0 / 106,1	hen / hen	1514	HEN
Yang-2011-1014-108	108	107	duck	鸭子	107,0 / 107,1 / 107,2	duck / duck / duck	1360	DUCK
Yang-2011-1014-109	109	108	goose	鹅	108	goose	1187	GOOSE
Yang-2011-1014-110	110	109	bird	鸟	109	bird	937	BIRD
Yang-2011-1014-111	111	110	swallow	燕子	110	swallow	3077	SWALLOW (BIRD)
Yang-2011-1014-112	112	111	sparrow	麻雀	111,0 / 111,1	sparrow / sparrow	1854	SPARROW
Yang-2011-1014-113	113	112	crow	乌鸦	112,0 / 112,1 / 112,2	crow / crow / crow	913	CROW
Yang-2011-1014-114	114	113	magpie	喜鹊	113	magpie	2039	MAGPIE
Yang-2011-1014-115	115	114	dove; pigeon	鸽	114	dove; pigeon	1853	DOVE
Yang-2011-1014-116	116	115	pheasant	野鸟/野鸡	115	pheasant	3060	PHEASANT
Yang-2011-1014-117	117	116	eagle; hawk	老鹰	116	eagle; hawk	2683	EAGLE OR HAWK
Yang-2011-1014-118	118	117	owl	猫头鹰	117,2 / 117,0 / 117,1	owl / owl / owl	735	OWL
Yang-2011-1014-119	119	118	bat	蝙蝠	118,0 / 118,1	bat / bat	1793	BAT
Yang-2011-1014-120	120	119	frog	青蛙	119,1 / 119,0	frog / frog	503	FROG
Yang-2011-1014-121	121	120	toad	癞蛤蟆	120	toad	894	TOAD
Yang-2011-1014-122	122	121	fish	鱼	121	fish	227	FISH
Yang-2011-1014-123	123	122	snake	蛇	122,0 / 122,1	snake / snake	730	SNAKE
Yang-2011-1014-124	124	123	lizard	蜥蜴／壁虎	123	lizard	632	LIZARD
Yang-2011-1014-125	125	124	leech	蚂蟥/水蛭	124	leech	2273	LEECH
Yang-2011-1014-126	126	125	spider	蜘蛛	125	spider	843	SPIDER
Yang-2011-1014-127	127	126	insect	昆虫	126,0 / 126,2	insect / insect	620	INSECT
Yang-2011-1014-128	128	127	ant	蚂蚁	127,0 / 127,1 / 127,2	ant / ant / ant	587	ANT
Yang-2011-1014-129	129	128	termite	白蚁	128,1 / 128,0	termite / termite	883	TERMITE
Yang-2011-1014-130	130	129	mantis	螳螂	129,1 / 129,0	mantis / mantis	3279	MANTIS
Yang-2011-1014-131	131	130	roach	蟑螂	130	roach	1575	COCKROACH
Yang-2011-1014-132	132	131	fly	苍蝇	131,0 / 131,1	fly / fly	1504	FLY (INSECT)
Yang-2011-1014-133	133	132	honeybee	蜜蜂	132	honeybee	665	BEE
Yang-2011-1014-134	134	133	wasp	黄蜂	133,1 / 133,0	wasp / wasp	1517	WASP
Yang-2011-1014-135	135	134	mosquito	蚊子	134,0 / 134,1	mosquito / mosquito	1509	MOSQUITO
Yang-2011-1014-136	136	135	dragonfly	蜻蜓	135,0 / 135,1 / 135,2 / 135,1	dragonfly / dragonfly / dragonfly / dragonfly	2352	DRAGONFLY
Yang-2011-1014-137	137	136	butterfly	蝴蝶	136,0 / 136,1	butterfly / butterfly	1791	BUTTERFLY
Yang-2011-1014-138	138	137	cricket	蟋蟀	137,0 / 137,1	cricket / cricket	2354	CRICKET
Yang-2011-1014-139	139	138	grasshopper	蚱蜢	138,0 / 138,1	grasshopper / grasshopper	607	GRASSHOPPER
Yang-2011-1014-140	140	139	flea	跳蚤	139	flea	232	FLEA
Yang-2011-1014-141	141	140	louse (clothing)	虱子(衣上)	140	louse (clothing)	1392	LOUSE
Yang-2011-1014-142	142	141	centipede	蜈蚣	141,0 / 141,1 / 141,2	centipede / centipede / centipede	1974	CENTIPEDE
Yang-2011-1014-143	143	142	earthworm	蚯蚓	142	earthworm	2350	EARTHWORM
Yang-2011-1014-144	144	143	worm	虫	143	worm	1219	WORM
Yang-2011-1014-145	145	144	caterpillar	毛虫	144,0 / 144,1	caterpillar / caterpillar	2247	CATERPILLAR
Yang-2011-1014-146	146	145	maggot	蛆/蛆虫	145	maggot	2640	LARVA
Yang-2011-1014-147	147	146	nest	窝 (鸟窝)	146,0 / 146,1	nest / nest	3549	BIRD NEST
Yang-2011-1014-148	148	147	egg	蛋	147	egg	744	EGG
Yang-2011-1014-149	149	148	wing	翅膀	148,1 / 148,0	wing / wing	1257	WING
Yang-2011-1014-150	150	149	claw; talon	爪	149,0 / 149,1	claw; talon / claw; talon	72	CLAW
Yang-2011-1014-151	151	150	hoof	蹄	150	hoof	152	HOOF
Yang-2011-1014-152	152	151	horn	角	151	horn	1393	HORN (ANATOMY)
Yang-2011-1014-153	153	152	tail	尾巴	152,0 / 152,1	tail / tail	1220	TAIL
Yang-2011-1014-154	154	153	tusk	长牙	153	tusk	3280	TUSK
Yang-2011-1014-155	155	154	(cocks)comb	冠（鸡冠）	154	(cocks)comb	188	COMB OF BIRD
Yang-2011-1014-156	156	155	tree	树	155,0 / 155,1	tree / tree	906	TREE
Yang-2011-1014-157	157	156	pine tree	松树	156,0 / 156,1	pine tree / pine tree	1740	PINE
Yang-2011-1014-158	158	157	fir tree	杉树	157	fir tree	1915	FIR
Yang-2011-1014-159	159	158	willow tree	柳树	158,0 / 158,1 / 158,2	willow tree / willow tree / willow tree	818	WILLOW
Yang-2011-1014-160	160	159	bamboo	竹子	159,0 / 159,1	bamboo / bamboo	1927	BAMBOO
Yang-2011-1014-161	161	160	bamboo shoot	竹笋	160	bamboo shoot	2494	BAMBOO SHOOT
Yang-2011-1014-162	162	161	wheat	小麦	161	wheat	1077	WHEAT
Yang-2011-1014-163	163	162	buckwheat	荞麦/荞子	162	buckwheat	2040	BUCKWHEAT
Yang-2011-1014-164	164	163	millet	稷	163	millet	931	MILLET
Yang-2011-1014-165	165	164	barley	大麦	164	barley	932	BARLEY
Yang-2011-1014-166	166	165	sorghum	高粱	165	sorghum	347	SORGHUM
Yang-2011-1014-167	167	166	job's tears	薏苡	166	job's tears	3281	JOB'S TEARS
Yang-2011-1014-168	168	167	corn	玉米	167,0 / 167,1	corn / corn	506	MAIZE
Yang-2011-1014-169	169	168	ear of grain	穗子	168	ear of grain	3244	EAR (OF GRAIN)
Yang-2011-1014-170	170	169	peanut	花生	169	peanut	2364	PEANUT
Yang-2011-1014-171	171	170	walnut	核桃	170,0 / 170,1	walnut / walnut	2042	WALNUT
Yang-2011-1014-172	172	171	cotton	棉花	171,0 / 171,1	cotton / cotton	1850	COTTON
Yang-2011-1014-173	173	172	ramie	苎麻	172	ramie	3063	RAMIE
Yang-2011-1014-174	174	173	bean	豆子	173	bean	832	BEAN
Yang-2011-1014-175	175	174	melon	瓜	174	melon	507	MELON
Yang-2011-1014-176	176	175	gourd	葫芦	175	gourd	411	GOURD
Yang-2011-1014-177	177	176	cucumber	黄瓜	176,0 / 176,1	cucumber / cucumber	496	CUCUMBER
Yang-2011-1014-178	178	177	eggplant	茄子	177,0 / 177,1	eggplant / eggplant	1146	AUBERGINE
Yang-2011-1014-179	179	178	vegetable	蔬菜	178,0 / 178,1	vegetable / vegetable	924	VEGETABLES
Yang-2011-1014-180	180	179	cabbage greens	青菜	179	cabbage greens	774	CABBAGE
Yang-2011-1014-181	181	180	radish	萝卜	180	radish	2365	RADISH
Yang-2011-1014-182	182	181	garlic	蒜	181	garlic	2368	GARLIC
Yang-2011-1014-183	183	182	ginger	姜	182	ginger	2500	GINGER
Yang-2011-1014-184	184	183	galangal	高良姜 (山奈)	183	galangal		
Yang-2011-1014-185	185	184	chili pepper	辣椒	184	chili pepper	919	CHILI PEPPER
Yang-2011-1014-186	186	185	fruit	水果	185	fruit	1507	FRUIT
Yang-2011-1014-187	187	186	peach	桃子	186,0 / 186,1 / 186,2	peach / peach / peach	2043	PEACH
Yang-2011-1014-188	188	187	persimmon	柿子	187,0 / 187,1	persimmon / persimmon	2044	PERSIMMON
Yang-2011-1014-189	189	188	banana	香蕉	188,0 / 188,1	banana / banana	868	BANANA
Yang-2011-1014-190	190	189	taro	芋头	189,0 / 189,1	taro / taro	351	TARO
Yang-2011-1014-191	191	190	tobacco	烟/烟草	190	tobacco	974	TOBACCO
Yang-2011-1014-192	192	191	grass	草	191,2 / 191,0 / 191,1	grass / grass / grass	606	GRASS
Yang-2011-1014-193	193	192	thatch (cogon grass)	茅草	192	thatch (cogon grass)	279	THATCH
Yang-2011-1014-194	194	193	reed	芦苇	193	reed	659	REED
Yang-2011-1014-195	195	194	mushroom	菌子	194	mushroom	641	MUSHROOM
Yang-2011-1014-196	196	195	seed	种子	195,0 / 195,1	seed / seed	714	SEED
Yang-2011-1014-197	197	196	root	根	196	root	670	ROOT
Yang-2011-1014-198	198	197	stem; stalk	茎	197	stem; stalk	2628	PLANT STEM
Yang-2011-1014-199	199	198	leaf	叶子	198	leaf	628	LEAF
Yang-2011-1014-200	200	199	sprout; bud	芽(种子芽)	199	sprout; bud	3358	SPROUT (SHOOT)
Yang-2011-1014-201	201	200	flower	花	200	flower	239	FLOWER
Yang-2011-1014-202	202	201	wood	木	201	wood	1803	WOOD
Yang-2011-1014-203	203	202	board	板子	202,0 / 202,1	board / board	1227	BOARD
Yang-2011-1014-204	204	203	stick	棍子	203,1 / 203,0	stick / stick	1295	STICK
Yang-2011-1014-205	205	204	branch	树枝	204	branch	1531	BRANCH
Yang-2011-1014-206	206	205	tree bark	树皮	205,0 / 205,1	tree bark / tree bark	1204	BARK
Yang-2011-1014-207	207	206	unhulled rice	谷子（稻谷）	206	unhulled rice	2749	UNHUSKED RICE
Yang-2011-1014-208	208	207	rice (grains)	米	207	rice (grains)	926	RICE
Yang-2011-1014-209	209	208	cooked rice	饭	208	cooked rice	1191	COOKED RICE
Yang-2011-1014-210	210	209	glutinous rice	糯米	209	glutinous rice	2750	GLUTINOUS RICE
Yang-2011-1014-211	211	210	rice seedling	秧苗	210	rice seedling	3767	RICE SEEDLING
Yang-2011-1014-212	212	211	rice hulls	稻壳	211	rice hulls	2501	RICE HUSK
Yang-2011-1014-213	213	212	chaff	谷壳	212	chaff	2363	CHAFF (HUSK)
Yang-2011-1014-214	214	213	fruit peel	果皮	213	fruit peel	2373	SKIN (OF FRUIT)
Yang-2011-1014-215	215	214	shell (egg, etc)	皮/壳(蛋)	214	shell (egg, etc)	598	SHELL
Yang-2011-1014-216	216	215	thorn	刺	215	thorn	124	THORN
Yang-2011-1014-217	217	216	moss	苔(青苔)	216,0 / 216,1	moss / moss	637	MOSS
Yang-2011-1014-218	218	217	fern	蕨草	217,0 / 217,1 / 217,2	fern / fern / fern	3802	FERN
Yang-2011-1014-219	219	218	yeast	酵母	218	yeast	967	YEAST
Yang-2011-1014-220	220	219	ashes	灰(草木灰)	219	ashes	646	ASH
Yang-2011-1014-221	221	220	body	身体	220	body	1480	BODY
Yang-2011-1014-222	222	221	head	头	221,2 / 221,0 / 221,1	head / head / head	1256	HEAD
Yang-2011-1014-223	223	222	brains	脑髓	222	brains	1583	BRAIN
Yang-2011-1014-224	224	223	forehead	额头	223	forehead	123	FOREHEAD
Yang-2011-1014-225	225	224	head hair	头发	224	head hair	2648	HAIR (HEAD)
Yang-2011-1014-226	226	225	braid	辫子	225	braid	1043	BRAID
Yang-2011-1014-227	227	226	face	脸	226,0 / 226,1	face / face	1560	FACE
Yang-2011-1014-228	228	227	eyebrow	眉毛	227	eyebrow	1173	EYEBROW
Yang-2011-1014-229	229	228	eye	眼睛	228	eye	1248	EYE
Yang-2011-1014-230	230	229	eyeball	眼球	229	eyeball	3807	EYEBALL
Yang-2011-1014-231	231	230	tears	眼泪	230	tears	1651	TEAR (OF EYE)
Yang-2011-1014-232	232	231	nose	鼻子	231,0 / 231,1	nose / nose	1221	NOSE
Yang-2011-1014-233	233	232	ear	耳朵	232	ear	1247	EAR
Yang-2011-1014-234	234	233	cheeks	颊	233	cheeks	1730	CHEEK
Yang-2011-1014-235	235	234	mouth	嘴	234,0 / 234,1	mouth / mouth	674	MOUTH
Yang-2011-1014-236	236	235	lips	嘴唇	235,0 / 235,1	lips / lips	478	LIP
Yang-2011-1014-237	237	236	teeth	牙齿	236	teeth	1380	TOOTH
Yang-2011-1014-238	238	237	front teeth	前牙	237	front teeth	442	FRONT TOOTH (INCISOR)
Yang-2011-1014-239	239	238	back teeth	后牙	238	back teeth	1049	MOLAR TOOTH
Yang-2011-1014-240	240	239	gums	齿龈	239	gums	139	GUMS
Yang-2011-1014-241	241	240	tongue	舌头	240	tongue	1205	TONGUE
Yang-2011-1014-242	242	241	beard; mustache	胡子	241	beard; mustache	678	BEARD
Yang-2011-1014-243	243	242	chin	下巴	242	chin	1510	CHIN
Yang-2011-1014-244	244	243	neck	脖子	243	neck	1333	NECK
Yang-2011-1014-245	245	244	throat	喉咙	244	throat	1346	THROAT
Yang-2011-1014-246	246	245	shoulder	肩膀	245	shoulder	1482	SHOULDER
Yang-2011-1014-247	247	246	joint	关节	246	joint	999	JOINT
Yang-2011-1014-248	248	247	hand/arm	手·胳臂	247,0 / 247,1	hand/arm / hand/arm	2121	ARM OR HAND
Yang-2011-1014-249	249	248	hand	手	248	hand	1277	HAND
Yang-2011-1014-250	250	249	arm	手臂	249	arm	1673	ARM
Yang-2011-1014-251	251	250	palm (of hand)	手掌	250	palm (of hand)	1183	PALM OF HAND
Yang-2011-1014-252	252	251	wrist	手腕	251	wrist	799	WRIST
Yang-2011-1014-253	253	252	elbow	肘	252	elbow	981	ELBOW
Yang-2011-1014-254	254	253	finger	指/手指	253	finger	1303	FINGER
Yang-2011-1014-255	255	254	index finger	食指	254	index finger	577	FOREFINGER
Yang-2011-1014-256	256	255	pinkie finger	小手指	255	pinkie finger	2774	LITTLE FINGER
Yang-2011-1014-257	257	256	thumb	拇指	256	thumb	1781	THUMB
Yang-2011-1014-258	258	257	fingernail	指甲	257	fingernail	1258	FINGERNAIL
Yang-2011-1014-259	259	258	buttocks	屁股	258	buttocks	834	BUTTOCKS
Yang-2011-1014-260	260	259	hip	臀部	259	hip	1745	HIP
Yang-2011-1014-261	261	260	foot/leg	脚·腿	260	foot/leg	2098	FOOT OR LEG
Yang-2011-1014-262	262	261	leg	腿	261	leg	1297	LEG
Yang-2011-1014-263	263	262	foot	脚	262	foot	1301	FOOT
Yang-2011-1014-264	264	263	thigh	大腿	263	thigh	471	UPPER LEG (THIGH)
Yang-2011-1014-265	265	264	calf (of leg)	小腿	264	calf (of leg)	498	CALF OF LEG
Yang-2011-1014-266	266	265	sole (of foot)	脚底	265	sole (of foot)	2666	SOLE (FOOT)
Yang-2011-1014-267	267	266	heel	脚后跟	266	heel	980	HEEL
Yang-2011-1014-268	268	267	ankle (joint)	踝	267	ankle (joint)	803	ANKLE
Yang-2011-1014-269	269	268	knee	膝/膝盖	268	knee	1371	KNEE
Yang-2011-1014-270	270	269	toe	趾/脚趾	269	toe	1389	TOE
Yang-2011-1014-271	271	270	big toe	大趾	270	big toe		
Yang-2011-1014-272	272	271	chest	胸脯	271	chest	1592	CHEST
Yang-2011-1014-273	273	272	back	脊背	272	back	1291	BACK
Yang-2011-1014-274	274	273	breast	乳房	273,0 / 273,1	breast / breast	1402	BREAST
Yang-2011-1014-275	275	274	armpit	腋下/腋窝	274	armpit	1886	ARMPIT
Yang-2011-1014-276	276	275	skin	皮肤	275	skin	763	SKIN
Yang-2011-1014-277	277	276	bone	骨头	276	bone	1394	BONE
Yang-2011-1014-278	278	277	rib	肋骨	277	rib	801	RIB
Yang-2011-1014-279	279	278	stomach	胃	278	stomach	819	STOMACH
Yang-2011-1014-280	280	279	belly	肚子/腹部	279,0 / 279,1	belly / belly	1251	BELLY
Yang-2011-1014-281	281	280	navel	脐 (肚脐)	280	navel	1838	NAVEL
Yang-2011-1014-282	282	281	waist	腰	281	waist	1681	WAIST
Yang-2011-1014-283	283	282	kidney	肾/腰子	282	kidney	489	KIDNEY
Yang-2011-1014-284	284	283	intestines	肠子	283	intestines	1991	INTESTINES
Yang-2011-1014-285	285	284	heart	心	284	heart	1223	HEART
Yang-2011-1014-286	286	285	liver	肝	285,0 / 285,1	liver / liver	1224	LIVER
Yang-2011-1014-287	287	286	lung	肺/肺脏	286,0 / 286,1	lung / lung	688	LUNG
Yang-2011-1014-288	288	287	bladder?	膀胱	287	bladder?	1746	BLADDER
Yang-2011-1014-289	289	288	gallbladder	胆/苦胆	288	gallbladder		
Yang-2011-1014-290	290	289	bile	胆汁	289	bile	1780	BILE
Yang-2011-1014-291	291	290	sweat	汗	290	sweat	125	SWEAT (SUBSTANCE)
Yang-2011-1014-292	292	291	blood	血	291	blood	946	BLOOD
Yang-2011-1014-293	293	292	snot	鼻涕/粘液	292	snot	208	NASAL MUCUS (SNOT)
Yang-2011-1014-294	294	293	phlegm	痰	293,0 / 293,1	phlegm / phlegm	3061	PHLEGM
Yang-2011-1014-295	295	294	saliva	口水	294	saliva	1503	SALIVA
Yang-2011-1014-296	296	295	milk	奶	295	milk	635	MILK
Yang-2011-1014-297	297	296	excrement	屎	296	excrement	675	FAECES (EXCREMENT)
Yang-2011-1014-298	298	297	urine	尿	297	urine	1142	URINE
Yang-2011-1014-299	299	298	pus	脓	298	pus	1808	PUS
Yang-2011-1014-300	300	299	sore (wound)	疮	299	sore (wound)	51	SORE
Yang-2011-1014-301	301	300	body hair; feathers	毛(翎毛)	300	body hair; feathers	2381	FEATHER OR FUR OR HAIR
Yang-2011-1014-302	302	301	penis	阴茎	301	penis	1222	PENIS
Yang-2011-1014-303	303	302	vulva	女阴	302,1 / 302,0	vulva-2 / vulva-1	1837	VULVA
Yang-2011-1014-304	304	303	anus	肛门	303	anus	1935	ANUS
Yang-2011-1014-305	305	304	tendon	筋/腱	304	tendon	1137	TENDON
Yang-2011-1014-306	306	305	breath	呼吸	305,0 / 305,1	breath / breath	870	BREATH
Yang-2011-1014-307	307	306	strength	力气	306	strength	202	STRENGTH
Yang-2011-1014-308	308	307	person	人	307	person	683	PERSON
Yang-2011-1014-309	309	308	male	男人	308	male	2106	MALE PERSON
Yang-2011-1014-310	310	309	female	女人	309,0 / 309,1	female / female	2105	FEMALE PERSON
Yang-2011-1014-311	311	310	Autonym	(自称)	310,1 / 310,0	Autonym / Autonym	3433	AUTONYM (OF PEOPLE)
