ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1123	1123	16-520	brave	mutig	3	BRAVE
List-2020-1365-1124	1124	16-530	fear, fright	die Angst	781	FEAR (FRIGHT)
List-2020-1365-1125	1125	16-540	danger	die Gefahr	1810	DANGER
List-2020-1365-1126	1126	16-620	desire, want	wollen	1784	WANT
List-2020-1365-1127	1127	16-622	choose	wählen	1750	CHOOSE
List-2020-1365-1128	1128	16-630	hope	die Hoffnung	1092	HOPE
List-2020-1365-1129	1129	16-650	faithful	treu	100	FAITHFUL
List-2020-1365-1130	1130	16-660	TRUE	wahr	1657	TRUE
List-2020-1365-1131	1131	16-670	lie, tell lies	die Lüge	601	LIE (MISLEAD)
List-2020-1365-1132	1132	16-680	deceit	der Betrug	13	DECEIT
List-2020-1365-1133	1133	16-690	forgive	verzeihen	1528	FORGIVE
List-2020-1365-1134	1134	16-710	good	gut	1035	GOOD
List-2020-1365-1135	1135	16-720	bad	schlecht	1292	BAD
List-2020-1365-1136	1136	16-730	right, correct	richtig	1725	CORRECT (RIGHT)
List-2020-1365-1137	1137	16-740	wrong	falsch	1390	WRONG
List-2020-1365-1138	1138	16-760	fault	die Schuld (der Fehler)	134	FAULT
List-2020-1365-1139	1139	16-770	mistake, error	der Fehler	1293	MISTAKE
List-2020-1365-1140	1140	16-780	blame	der Vorwurf	381	BLAME
List-2020-1365-1141	1141	16-790	praise	das Lob	1687	PRAISE
List-2020-1365-1142	1142	16-810	beautiful	schön (hübsch)	1427	BEAUTIFUL
List-2020-1365-1143	1143	16-820	ugly	hässlich	1548	UGLY
List-2020-1365-1144	1144	16-830	greedy	gierig	2018	GREEDY
List-2020-1365-1145	1145	16-840	clever	klug (schlau)	1310	CLEVER
List-2020-1365-1146	1146	17-110	mind	der Geist (Sinn)	1562	MIND
List-2020-1365-1147	1147	17-130	think (= reflect)	denken (nachdenken)	1415	THINK (REFLECT)
List-2020-1365-1148	1148	17-140	think (= be of the opinion)	meinen (glauben)	1513	THINK (BELIEVE)
List-2020-1365-1149	1149	17-150	believe	glauben	1890	BELIEVE
List-2020-1365-1150	1150	17-160	understand	verstehen	1536	UNDERSTAND
List-2020-1365-1151	1151	17-170	know	kennen	2248	KNOW (SOMEBODY)
List-2020-1365-1152	1152	17-170	know	wissen	1410	KNOW (SOMETHING)
List-2020-1365-1153	1153	17-171	guess	raten	1932	GUESS
List-2020-1365-1154	1154	17-172	imitate	nachahmen	117	IMITATE
List-2020-1365-1155	1155	17-180	seem	scheinen (den Anschein haben)	1521	SEEM
List-2020-1365-1156	1156	17-190	idea, notion	die Idee	1609	IDEA
List-2020-1365-1157	1157	17-210	wise	klug (weise)	698	WISE
List-2020-1365-1158	1158	17-220	foolish, stupid	stupid	1518	STUPID
List-2020-1365-1159	1159	17-230	insane, crazy	verrückt	1899	MAD
List-2020-1365-1160	1160	17-240	learn	lernen	504	LEARN
List-2020-1365-1161	1161	17-242	study	studieren	1929	STUDY
List-2020-1365-1162	1162	17-250	teach	unterrichten	709	TEACH
List-2020-1365-1163	1163	17-260	pupil	der Schüler	753	PUPIL (STUDENT)
List-2020-1365-1164	1164	17-270	teacher	der Lehrer	1038	TEACHER
List-2020-1365-1165	1165	17-280	school	die Schule	673	SCHOOL
List-2020-1365-1166	1166	17-310	remember	sich erinnern	707	REMEMBER
List-2020-1365-1167	1167	17-320	forget	vergessen	1523	FORGET
List-2020-1365-1168	1168	17-340	clear, plain	klar	989	CLEAR
List-2020-1365-1169	1169	17-350	obscure	unverständlich	1764	OBSCURE
List-2020-1365-1170	1170	17-360	secret	geheim	1121	SECRET
List-2020-1365-1171	1171	17-370	sure, certain	sicher (gewiss)	509	CERTAIN
List-2020-1365-1172	1172	17-380	explain	erklären	1626	EXPLAIN
List-2020-1365-1173	1173	17-410	intention, purpose	der Zweck	1162	INTENTION
