ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	SEMANTIC_CATEGORY	TYPICALITY_MEAN	TYPICALITY_SD	AOA_MEAN	AOA_SD	FAMILIARITY_MEAN	FAMILIARITY_SD	FREQ_DLEX	FREQ_LOG10_DLEX	WORD_LENGTH_PHONEME	WORD_LENGTH_SYLLABLE
Schroeder-2012-824-52	52	Buckelwal	humpback whale			animal	3.6	1.98414770248164	4.9	1.55258697527368	2.21052631578947	0.917662935482247	0.016350157992	-1.78647804638	8	3
Schroeder-2012-824-53	53	Steinbock	ibex			animal	2.9	1.68272961207926	4.45	1.60509058606475	2.55	1.23437604097225	0.882908531567	-0.054084286562	7	2
Schroeder-2012-824-54	54	Leguan	iguana	IGUANA	1578	animal	3.55555555555556	1.8541597818775	4.75	1.40955386745706	2.1	1.11921024787453	0.318828080844	-0.496443435022	6	3
Schroeder-2012-824-55	55	Känguru	kangaroo	KANGAROO	164	animal	2.5	1.5727950313141	3.6	1.39170474787692	2.8	1.00524937990007	0.024525236988	-1.61038678733	7	3
Schroeder-2012-824-56	56	Marienkäfer	ladybird	LADYBUG	3139	animal	2.7	1.49031964074119	2.05	0.759154654516248	3.85	1.03998987849326	0.310653001848	-0.507724445432	10	5
Schroeder-2012-824-57	57	Leopard	leopard	LEOPARD	1139	animal	2.2	1.43636969291922	3.7	1.55935209217432	2.75	1.25131509768092	1.70041643117	0.230555292914	7	3
Schroeder-2012-824-58	58	Löwe	lion	LION	1386	animal	1.2	0.695852373938459	2.15	0.670820393249937	3.5	1.35724178507659	15.7206769093	1.19647124219	4	2
Schroeder-2012-824-59	59	Eidechse	lizard	LIZARD	632	animal	3.2	1.64156536333625	3.15	0.93330200448673	2.9	1.3337718577107	2.57514988374	0.410802511741	6	3
Schroeder-2012-824-60	60	Lama	llama			animal	2.8	1.60918416727562	3.85	1.72520021721355	2.4	1.09544511501033	1.09546058546	0.0395967563158	4	2
Schroeder-2012-824-61	61	Luchs	lynx	LYNX	3314	animal	3.05	1.84889725312998	4.1	1.5183093090325	2.5	1.05131496607569	0.956484242531	-0.0193221803028	4	1
Schroeder-2012-824-62	62	Murmeltier	marmot	MARMOT	3719	animal	3.3	1.6254554017745	4.4	1.66701750693298	2.15	0.93330200448673	0.662181398675	-0.17902302317	9	3
Schroeder-2012-824-63	63	Marder	marten			animal	2.9	1.83245593039563	3.75	1.33278497495796	2.36842105263158	0.955133865881838	0.629481082691	-0.201017316876	5	2
Schroeder-2012-824-64	64	Milbe	mite			animal	6	1.56347191994114	5.95	1.09904264559757	2.3	1.08093526754916	0.743932188635	-0.128466649728	5	2
Schroeder-2012-824-65	65	Maulwurf	mole	MOLE	1907	animal	3	1.89181060585383	2.5	0.688247201611685	3.45	1.05006265477226	2.32172243486	0.365810297998	7	2
Schroeder-2012-824-66	66	Affe	monkey	MONKEY	1350	animal	1.2	0.695852373938459	1.8	0.523148363780597	3.7	1.1742858972248	10.3660001669	1.0156112115	3	2
Schroeder-2012-824-67	67	Maus	mouse	MOUSE	1491	animal	1.95	1.60509058606475	1.55	0.510417785534041	3.45	1.31689427302111	10.5703771418	1.02409048283	3	1
Schroeder-2012-824-68	68	Miesmuschel	mussel			animal	4.89473684210526	1.91179778225468	5.26315789473684	1.44691646319405	2.9	1.0711528467276	0.310653001848	-0.507724445432	8	3
Schroeder-2012-824-69	69	Papagei	parrot	PARROT	882	animal	2.25	1.37170658209707	2.45	0.68633274115326	2.75	1.16415770318919	3.44988333631	0.537804408913	6	3
Schroeder-2012-824-70	70	Pinguin	penguin	PENGUIN	2831	animal	2.4	1.46539019413009	3.1	1.0711528467276	2.8	1.15165784392487	0.678531556667	-0.168429949673	7	3
Schroeder-2012-824-71	71	Schwein	pig	PIG	1337	animal	1.2	0.695852373938459	1.8	0.523148363780597	3.65	1.42441123571146	18.361227425	1.26390170988	4	1
Schroeder-2012-824-72	72	Hecht	pike	PIKE (FISH)	2967	animal	3.21052631578947	1.81288436134309	3.45	0.825577947481896	3.05	1.23437604097225	3.25368144041	0.512375030025	4	1
Schroeder-2012-824-73	73	Eisbär	polar bear	POLAR BEAR	3143	animal	1.9	1.2096106376586	2.75	1.16415770318919	3.2	1.23969435961577	0.580430608715	-0.23624969333	5	2
Schroeder-2012-824-74	74	Iltis	polecat			animal	3.3	1.8093325317714	4.31578947368421	1.29325736799875	2.35	1.18210338847862	0.703056793655	-0.153009590805	5	2
Schroeder-2012-824-75	75	Pony	pony			animal	2.1	1.25236618152662	1.95	0.68633274115326	3.26315789473684	1.28418176556808	1.48786437727	0.172563345936	4	2
Schroeder-2012-824-76	76	Ratte	rat	RAT	1490	animal	2.55	1.90497962414852	2.8	0.615587011251092	3	1.2977713690461	8.42033136587	0.925329182656	4	2
Schroeder-2012-824-77	77	Rentier	reindeer	REINDEER	1876	animal	2.7	1.68897352819616	3.9	1.41048703794488	2.4	1.09544511501033	1.88844324807	0.276103937843	6	2
Schroeder-2012-824-78	78	Nashorn	rhinoceros	RHINOCEROS	2591	animal	2.2	1.43636969291922	3.55	1.53811230854064	2.9	1.2096106376586	1.70041643117	0.230555292914	7	2
Schroeder-2012-824-79	79	Hornkäfer	rhinocerous horn beetle			animal	5	1.63299316185545	5.52631578947368	1.21876171459357	1.66666666666667	0.840168050416806	0.00817507899599	-2.08750804205	8	3
Schroeder-2012-824-80	80	Flusspferd	river horse	HIPPOPOTAMUS	3145	animal	2.9	1.58612404107756	3.9	1.25236618152663	2.4	1.18765580695312	None	None	8	2
Schroeder-2012-824-81	81	Reh	roe deer			animal	1.65	1.03998987849326	2.3	0.801314709186032	3.55	1.14593101656986	3.00842907053	0.478339776625	2	1
Schroeder-2012-824-82	82	Lachs	salmon	SALMON	944	animal	3.05263157894737	1.92854822226825	3.95	1.39453821823042	4.25	0.550119604220181	2.2481467239	0.351824651781	4	1
Schroeder-2012-824-83	83	Echse	saurian			animal	3.3	1.86660400897346	4.5	1.53896752812773	2.85	1.30887657735053	0.743932188635	-0.128466649728	4	2
Schroeder-2012-824-84	84	Schildlaus	scale insect			animal	5.61111111111111	1.41997882705379	5.8421052631579	1.11868761873192	2	1.20185042515466	0.376053633816	-0.424750210367	7	2
Schroeder-2012-824-85	85	Muschel	sea shell	MUSSELS	2829	animal	4.65	1.98082917247458	2.5	0.760885910252682	3.9	1.16528740525336	7.1450190425	0.854003390585	5	2
Schroeder-2012-824-86	86	Seepferdchen	seahorse	SEAHORSE	2586	animal	3.75	1.68194749276577	3.25	1.06992375527664	2.4	1.18765580695312	0.28612776486	-0.543439997699	9	3
Schroeder-2012-824-87	87	Seehund	seal	SEAL	651	animal	2.9	1.88902648277667	3.6	0.99472291830968	2.3	1.26074330623269	0.891083610563	-0.0500815441083	6	2
Schroeder-2012-824-88	88	Schaf	sheep	SHEEP	1331	animal	1.25	0.550119604220181	2	0.561951486949016	3.5	1.14707866935281	10.3823503249	1.01629567891	3	1
Schroeder-2012-824-89	89	Schnecke	snail	SNAIL	1543	animal	2.8	1.96281216089247	2.05	0.6048053188293	3.55	1.19097483291276	9.28688973945	0.967870289326	5	2
Schroeder-2012-824-90	90	Schlange	snake	SNAKE	730	animal	2.3	1.65751875435925	2	0.64888568452305	2.95	1.19097483291276	13.9630349252	1.1449798243	5	2
Schroeder-2012-824-91	91	Spinne	spider	SPIDER	843	animal	2.5	1.84960877797953	2.15	0.670820393249937	3.6	1.04629672756119	6.31116098491	0.800109258287	5	2
Schroeder-2012-824-92	92	Eichhörnchen	squirrel	SQUIRREL	1628	animal	1.8	1.05630936457281	2.6	0.680557047378721	3.55	1.23437604097225	2.47704893579	0.393934586453	9	3
Schroeder-2012-824-93	93	Hirsch	stag / deer	DEER	1936	animal	1.6	0.99472291830968	2.85	0.812727700887249	2.95	1.46808145478878	10.9954812496	1.04121424229	4	1
Schroeder-2012-824-94	94	Seestern	starfish	STARFISH	3032	animal	5.25	1.83173774266262	4.1	1.11921024787453	2.5	1.14707866935281	1.11181074346	0.0460308663213	7	2
Schroeder-2012-824-95	95	Stabheuschrecke	stick insect			animal	5.375	1.66833250083229	5.5625	1.36473440639562	2.11764705882353	1.16631647405284	0.12262618494	-0.911416782993	11	4
Schroeder-2012-824-96	96	Tarantel	tarantula	TARANTULA	3886	animal	4.57894736842105	1.83532587096449	5.5	1.19207912135854	1.75	0.716350399411379	0.253427448876	-0.596146348215	8	3
Schroeder-2012-824-97	97	Zecke	tick	TICK	1527	animal	5.42105263157895	1.92399438303882	4.8	1.39924791829115	3.85	1.03998987849326	0.539555213736	-0.267964106507	4	2
Schroeder-2012-824-98	98	Tiger	tiger	TIGER	846	animal	1.65	1.08942283125661	2.65	1.38696943388321	3.05	1.356271980176	7.84807583615	0.894763190991	4	2
Schroeder-2012-824-99	99	Schildkröte	tortoise	TORTOISE	895	animal	2.9	1.77408241664603	2.6	0.99472291830968	3.25	1.06992375527664	2.84492749061	0.454071201898	9	3
Schroeder-2012-824-100	100	Pute	turkey	TURKEY	2386	animal	2.6	1.46539019413009	3.8	1.28144655103437	3.55	0.825577947481896	0.564080450723	-0.248658951312	4	2
Schroeder-2012-824-101	101	Warzenschwein	warthog			animal	3.2	1.73508683234859	3.9	1.48323969741913	1.95	0.944513241388333	0.130801263936	-0.883388059393	10	3
Schroeder-2012-824-102	102	Wespe	wasp	WASP	1517	animal	3.21052631578947	1.90259902263606	2.35	0.670820393249937	4.3	0.801314709186031	1.97836911703	0.296307323931	5	2
Schroeder-2012-824-103	103	Wasserbüffel	water buffalo	WATER BUFFALO	2516	animal	3.5	1.93309133391652	5	1.25656172487509	2.1	1.25236618152662	0.0572255529719	-1.24241000203	9	4
Schroeder-2012-824-104	104	Wal	whale	WHALE	957	animal	2.65	1.56524758424985	2.75	1.01954582251634	2.65	1.13670808176853	2.19092117093	0.34062675198	3	1
Schroeder-2012-824-105	105	Wildschwein	wild boar	WILD BOAR	3154	animal	1.8	1.15165784392487	2.9	0.788068925652413	3	1.2977713690461	1.29166248137	0.111149044905	8	2
Schroeder-2012-824-106	106	Wildkatze	wild cat	WILD CAT	2241	animal	2.9	1.97084005599536	4.1	1.4473205733718	2.6	1.18765580695312	0.498679818756	-0.302178207038	8	3
Schroeder-2012-824-107	107	Wolf	wolf	WOLF	522	animal	1.6	1.31389337066357	2.05	0.825577947481897	3.15	1.22581873821025	19.3340618255	1.28632310302	4	1
Schroeder-2012-824-108	108	Wurm	worm	WORM	1219	animal	3.52631578947368	1.71167302993402	2.3	1.26074330623269	2.9	1.02083557106808	9.48309163535	0.976949947178	4	1
Schroeder-2012-824-109	109	Zebra	zebra	ZEBRA	3675	animal	2.1	1.37266548230652	2.5	0.606976978666884	3.05	0.998683343734455	0.596780766707	-0.224185181929	5	2
Schroeder-2012-824-110	110	Albatros	albatross	ALBATROSS	3796	bird	3.58823529411765	1.7698454568624	5.35	1.34848843251679	2.15	1.22581873821025	0.36787855482	-0.434295528274	8	3
Schroeder-2012-824-111	111	Schwarzstorch	black stork			bird	3.55555555555556	1.9165600993392	5.5	1.4142135623731	2.21052631578947	1.1342617456312	0.0735757109639	-1.13326553261	10	2
Schroeder-2012-824-112	112	Amsel	blackbird			bird	1.2	0.410391340834062	2.45	0.825577947481897	3.8	1.32188063797479	1.52056469325	0.182004902169	5	2
Schroeder-2012-824-113	113	Blaumeise	bluetit			bird	1.31578947368421	0.820069887194403	4.2	1.05630936457281	3	1.45296631451356	0.0735757109639	-1.13326553261	7	3
Schroeder-2012-824-114	114	Wellensittich	budgerigar	BUDGERIGAR	3720	bird	1.85	1.18210338847862	3.1	1.11921024787453	3	1.07605517369794	0.809332820603	-0.0918728474514	10	4
Schroeder-2012-824-115	115	Bussard	buzzard	BUZZARD	1865	bird	2	1.33771210811988	3.95	1.31689427302111	2.45	1.19097483291276	0.572255529719	-0.242410002035	6	2
Schroeder-2012-824-116	116	Kanarienvogel	canary			bird	2.05	1.31689427302111	4.1	1.37266548230652	2.8	1.19648608323224	1.46333914028	0.165344988931	12	6
Schroeder-2012-824-117	117	Buchfink	chaffinch			bird	2.4	1.72900945174124	4.4	1.60262941837206	2.25	0.786397515657049	0.196201895904	-0.707296800337	7	2
Schroeder-2012-824-118	118	Huhn	chicken	CHICKEN	1318	bird	2.45	1.8771478925557	2.05	0.6048053188293	4.15	0.988086934168085	11.9029150182	1.07565333293	3	1
Schroeder-2012-824-119	119	Nymphensittich	cockateel			bird	3.52631578947368	1.98237851113341	5.16666666666667	1.46528455377425	2.35	1.13670808176853	0.016350157992	-1.78647804638	11	4
Schroeder-2012-824-120	120	Mäusebussard	common buzzard			bird	2.75	1.65035881266054	5.05	1.09904264559757	2.4	1.50087693664316	None	None	10	4
Schroeder-2012-824-121	121	Kranich	crane	CRANE	1830	bird	2.95	1.7614288458372	4.6	0.940324691963255	2.85	1.4964871146156	0.694881714659	-0.158089116335	6	2
Schroeder-2012-824-122	122	Krähe	crow	CROW	913	bird	1.85	1.66306628661765	2.75	0.910465468000326	3	1.48678388335006	3.15558049245	0.499079262623	4	2
Schroeder-2012-824-123	123	Kuckuck	cuckoo	CUCKOO	2934	bird	2.05	1.53811230854064	2.05	0.759154654516248	3	1.37649440322337	2.2481467239	0.351824651781	5	2
Schroeder-2012-824-124	124	Taube	dove	DOVE	1853	bird	1.65	1.18210338847862	2.4	0.68055704737872	3.6	1.18765580695312	8.73098436772	0.941063210644	4	2
Schroeder-2012-824-125	125	Ente	duck	DUCK	1360	bird	2.1	1.74416319854476	1.6	0.598243041616119	4.25	0.850696309223401	5.39555213736	0.732035893493	4	2
Schroeder-2012-824-126	126	Adler	eagle	EAGLE	1905	bird	1.7	1.21828179265546	3.3	1.30182058752551	3.15	1.18210338847862	17.1349655756	1.23388323626	4	2
Schroeder-2012-824-127	127	Uhu	eagle owl			bird	2.95	1.9324105480761	2.2	1.23969435961577	2.84210526315789	1.06787212586198	0.997359637511	-0.00114821137422	3	2
Schroeder-2012-824-128	128	Fink	finch	FINCH	3721	bird	1.7	0.978720969859186	3.25	1.48235232689554	2.6	1.09544511501033	2.043769749	0.310431966623	4	1
Schroeder-2012-824-129	129	Flamingo	flamingo	FLAMINGO	3722	bird	3.15	1.75544266422131	4.65	1.22581873821025	2.35	1.26802789276975	0.36787855482	-0.434295528274	8	3
Schroeder-2012-824-130	130	Steinadler	golden eagle			bird	2.45	1.46808145478878	4.8421052631579	1.38496521796425	2.25	0.966545666958261	0.114451105944	-0.941380006371	8	3
Schroeder-2012-824-131	131	Goldkehlchen	goldenthroat			bird	2.47368421052632	1.42861319905516	5.26315789473684	1.36797113611354	1.88888888888889	1.1826634392157	0.00817507899599	-2.08750804205	10	3
Schroeder-2012-824-132	132	Stieglitz	goldfinch			bird	2.61111111111111	1.85151413042499	5.52941176470588	1.41940335435455	2.0625	1.12361025271221	0.515029976748	-0.288167492595	7	2
Schroeder-2012-824-133	133	Gans	goose 	GOOSE	1187	bird	2.35	1.84319516629483	1.75	0.716350399411379	2.95	1.31689427302111	9.63841813628	0.984005763046	4	1
Schroeder-2012-824-134	134	Habicht	goshawk			bird	2.45	1.7614288458372	4.35	1.03998987849326	2.7	1.4179302929938	1.77399214213	0.2489516918	6	2
Schroeder-2012-824-135	135	Graugans	graylag goose			bird	3.3	1.94935886896179	4.41176470588235	1.54348726628258	2.1	0.967906041546987	0.457804423776	-0.339320015043	7	2
Schroeder-2012-824-136	136	Haubentaucher	great crested grebe			bird	2.95	1.95945749742385	5.05	1.27630222456166	2.3	1.26074330623269	0.220727132892	-0.65614427789	9	4
Schroeder-2012-824-137	137	Kohlmeise	great tit			bird	1.3	0.801314709186032	4.15	1.72520021721355	2.4	1.04629672756119	0.032700315984	-1.48544805072	7	3
Schroeder-2012-824-138	138	Grünspecht	green woodpecker			bird	2.6	1.66701750693298	4.16666666666667	1.33944676902773	1.85	0.875093979915421	0.114451105944	-0.941380006371	9	2
Schroeder-2012-824-139	139	Grünfink	greenfinch			bird	2.75	1.74340863947915	5.15	1.38696943388321	2.3	1.26074330623269	0.04087539498	-1.38853803771	8	2
Schroeder-2012-824-140	140	Falke	hawk	HAWK	307	bird	2.45	1.50350467767462	3.8	1.36111409475744	2.85	1.18210338847862	2.19909624992	0.342244237953	5	2
Schroeder-2012-824-141	141	Reiher	heron	HERON	758	bird	3.05	1.73129096949433	4.21052631578947	1.71849247140306	2.55	1.23437604097225	1.18538645442	0.073859960186	3	2
Schroeder-2012-824-142	142	Nebelkrähe	hooded crow			bird	3	1.83532587096449	4.85	1.4964871146156	2.05	1.23437604097225	0.138976342932	-0.857059120671	9	4
Schroeder-2012-824-143	143	Kolibri	hummingbird	HUMMINGBIRD	1589	bird	3	1.555973210431	4.9	1.16528740525336	2.65	1.13670808176853	0.588605687711	-0.230175545618	7	3
Schroeder-2012-824-144	144	Eichelhäher	jay			bird	2.36842105263158	1.64013977438881	5.15789473684211	1.38496521796425	2.52631578947368	1.34859684498089	0.277952685864	-0.556029125007	7	4
Schroeder-2012-824-145	145	Turmfalke	kestrel			bird	2.9	1.71372171173244	5.3	1.26074330623269	2.15	1.13670808176853	0.0899258689559	-1.04611535689	9	3
Schroeder-2012-824-146	146	Eisvogel	kingfisher	KINGFISHER	2444	bird	3.15789473684211	1.97942634492187	5.16666666666667	1.75733755838702	2.15789473684211	0.898341551894183	0.400578870804	-0.39731196202	7	3
Schroeder-2012-824-147	147	Elster	magpie	MAGPIE	2039	bird	1.31578947368421	0.671038298207203	3.75	0.966545666958261	3.2	1.43636969291922	1.70041643117	0.230555292914	5	2
Schroeder-2012-824-148	148	Flugente	muscovy duck			bird	3.6	1.81803827184544	4.5	1.60591013709393	2.5	1.35724178507659	0.016350157992	-1.78647804638	8	3
Schroeder-2012-824-149	149	Nachtigall	nightingale	NIGHTINGALE	3723	bird	1.45	0.998683343734455	3.9	0.967906041546987	2.8	1.15165784392487	2.92667828057	0.466374984595	8	3
Schroeder-2012-824-150	150	Eule	owl	OWL	735	bird	2.3	1.52522647153585	2.75	1.01954582251634	3	1.555973210431	3.31908207237	0.521017991528	3	2
Schroeder-2012-824-151	151	Sittich	parakeet	PARAKEET	886	bird	2.55	1.73129096949433	4.22222222222222	1.55508863207046	2.65	1.46089374230838	0.351528396828	-0.454039586469	5	2
