NUMBER	ID	CONCEPT_IN_SOURCE	ENGLISH	ID_IN_SOURCE	SEMANTIC_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
198	Kaufman-1973-1028-198	ELBOW	ELBOW	TK139	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	981	ELBOW
199	Kaufman-1973-1028-199	ARMPIT	ARMPIT	TK140	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1886	ARMPIT
200	Kaufman-1973-1028-200	SHOULDER	SHOULDER	TK141	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1482	SHOULDER
201	Kaufman-1973-1028-201	WING	WING	TK142	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1257	WING
202	Kaufman-1973-1028-202	FEATHER	FEATHER	TK143	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1201	FEATHER
203	Kaufman-1973-1028-203	HAND	HAND	TK144	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1277	HAND
204	Kaufman-1973-1028-204	ARM	ARM	TK145	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1673	ARM
205	Kaufman-1973-1028-205	PALM (not SOLE)	PALM (not SOLE)	TK146	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1183	PALM OF HAND
206	Kaufman-1973-1028-206	FINGER	FINGER	TK147	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1303	FINGER
207	Kaufman-1973-1028-207	(DIGIT-)NAIL	(DIGIT-)NAIL	TK148	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1258	FINGERNAIL
208	Kaufman-1973-1028-208	CLAW	CLAW	TK149	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	72	CLAW
209	Kaufman-1973-1028-209	HORN	HORN	TK150	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1393	HORN (ANATOMY)
210	Kaufman-1973-1028-210	HEEL	HEEL	TK151	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	980	HEEL
211	Kaufman-1973-1028-211	FOOT	FOOT	TK152	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1301	FOOT
212	Kaufman-1973-1028-212	LEG	LEG	TK153	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1297	LEG
213	Kaufman-1973-1028-213	THIGH	THIGH	TK154	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	471	UPPER LEG (THIGH)
214	Kaufman-1973-1028-214	TAIL	TAIL	TK155	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1220	TAIL
215	Kaufman-1973-1028-215	BUTTOCKS, RUMP	BUTTOCKS, RUMP	TK156	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	834	BUTTOCKS
216	Kaufman-1973-1028-216	TO FART (iv)	TO FART (iv)	TK157a	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1159	FART
217	Kaufman-1973-1028-217	FART (n)	FART (n)	TK157b	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES		
218	Kaufman-1973-1028-218	SHIT (n)	SHIT (n)	TK158	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	675	FAECES (EXCREMENT)
219	Kaufman-1973-1028-219	TO SHIT (iv)	TO SHIT (iv)	TK159	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	676	SHIT (DEFECATE)
220	Kaufman-1973-1028-220	PENIS	PENIS	TK160	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1222	PENIS
221	Kaufman-1973-1028-221	TESTICLES	TESTICLES	TK161	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	797	TESTICLES
222	Kaufman-1973-1028-222	VULVA, VAGINA, FEMALE GENITALS	VAGINA	TK162	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1836	VAGINA
223	Kaufman-1973-1028-223	VULVA, VAGINA, FEMALE GENITALS	VULVA	TK162	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1837	VULVA
224	Kaufman-1973-1028-224	TO URINATE (iv)	TO URINATE (iv)	TK163	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	592	PISS
225	Kaufman-1973-1028-225	URINE (n)	URINE (n)	TK164	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1142	URINE
226	Kaufman-1973-1028-226	TO COPULATE, COHABIT (v)	TO COPULATE, COHABIT (v)	TK165	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	549	COPULATE
227	Kaufman-1973-1028-227	TO GIVE BIRTH TO HIM (tv)	TO GIVE BIRTH TO HIM (tv)	TK166a	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1195	GIVE BIRTH
228	Kaufman-1973-1028-228	TO BE BORN (iv)	TO BE BORN (iv)	TK166b	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1090	BE BORN
229	Kaufman-1973-1028-229	BREAST	BREAST	TK167	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1402	BREAST
230	Kaufman-1973-1028-230	MILK	MILK	TK168	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	635	MILK
231	Kaufman-1973-1028-231	CHEST (OF BODY)	CHEST (OF BODY)	TK169	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1592	CHEST
232	Kaufman-1973-1028-232	NAVEL	NAVEL	TK170	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1838	NAVEL
233	Kaufman-1973-1028-233	BELLY	BELLY	TK171	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1251	BELLY
234	Kaufman-1973-1028-234	STOMACH	STOMACH	TK172	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	819	STOMACH
235	Kaufman-1973-1028-235	GUTS, INTESTINES	GUTS, INTESTINES	TK173	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1334	GUTS
236	Kaufman-1973-1028-236	HEART	HEART	TK174	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1223	HEART
237	Kaufman-1973-1028-237	BLOOD	BLOOD	TK175	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	946	BLOOD
238	Kaufman-1973-1028-238	LIVER	LIVER	TK176	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1224	LIVER
239	Kaufman-1973-1028-239	LUNGS, LIGHTS	LUNGS, LIGHTS	TK177	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	688	LUNG
240	Kaufman-1973-1028-240	SINEW	SINEW	TK178	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1137	TENDON
241	Kaufman-1973-1028-241	BONE	BONE	TK179	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1394	BONE
242	Kaufman-1973-1028-242	RIB	RIB	TK180	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	801	RIB
243	Kaufman-1973-1028-243	FAT, GREASE, LARD	FAT, GREASE, LARD	TK181	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	323	FAT (ORGANIC SUBSTANCE)
244	Kaufman-1973-1028-244	OIL	OIL	TK182	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1484	OIL (ORGANIC SUBSTANCE)
245	Kaufman-1973-1028-245	SKIN OF HUMAN	SKIN OF HUMAN	TK183	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	2613	SKIN (HUMAN)
246	Kaufman-1973-1028-246	HIDE, SKIN (OF ANIMAL)	HIDE	TK184	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	3326	LEATHER OR HIDE
247	Kaufman-1973-1028-247	HIDE, SKIN (OF ANIMAL)	SKIN (OF ANIMAL)	TK184	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	2614	SKIN (ANIMAL)
248	Kaufman-1973-1028-248	SWEAT, PERSPIRATION	SWEAT, PERSPIRATION	TK185	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	125	SWEAT (SUBSTANCE)
249	Kaufman-1973-1028-249	BODY	BODY	TK186	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1480	BODY
250	Kaufman-1973-1028-250	FLESH	FLESH	TK187	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	2259	FLESH
251	Kaufman-1973-1028-251	MEAT	MEAT	TK188	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	634	MEAT
252	Kaufman-1973-1028-252	ANIMAL	ANIMAL	TK189	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	619	ANIMAL
253	Kaufman-1973-1028-253	BABY, INFANT	BABY, INFANT	TK190	ANIMALS AND HUMANS//TYPES OF HUMANS	1289	BABY
254	Kaufman-1973-1028-254	CHILD (not OFFSPRING)	CHILD (not OFFSPRING)	TK191	ANIMALS AND HUMANS//TYPES OF HUMANS	1304	CHILD (YOUNG HUMAN)
255	Kaufman-1973-1028-255	(YOUNG) BOY, LAD (not SON)	(YOUNG) BOY, LAD (not SON)	TK192a	ANIMALS AND HUMANS//TYPES OF HUMANS	1366	BOY
256	Kaufman-1973-1028-256	YOUNG (ADOLESCENT) MAN	YOUNG (ADOLESCENT) MAN	TK192b	ANIMALS AND HUMANS//TYPES OF HUMANS	76	YOUNG MAN
257	Kaufman-1973-1028-257	GIRL	GIRL	TK193a	ANIMALS AND HUMANS//TYPES OF HUMANS	1646	GIRL
258	Kaufman-1973-1028-258	YOUNG WOMAN	YOUNG WOMAN	TK193b	ANIMALS AND HUMANS//TYPES OF HUMANS	77	YOUNG WOMAN
259	Kaufman-1973-1028-259	WOMAN	WOMAN	TK194a	ANIMALS AND HUMANS//TYPES OF HUMANS	962	WOMAN
260	Kaufman-1973-1028-260	FEMALE ANIMAL	FEMALE ANIMAL	TK194b	ANIMALS AND HUMANS//TYPES OF HUMANS	3923	FEMALE ANIMAL
261	Kaufman-1973-1028-261	MAN, MALE	MAN	TK195a	ANIMALS AND HUMANS//TYPES OF HUMANS	1554	MAN
262	Kaufman-1973-1028-262	MAN, MALE	MALE	TK195a	ANIMALS AND HUMANS//TYPES OF HUMANS	2106	MALE PERSON
263	Kaufman-1973-1028-263	MALE ANIMAL	MALE ANIMAL	TK195b	ANIMALS AND HUMANS//TYPES OF HUMANS	3924	MALE ANIMAL
264	Kaufman-1973-1028-264	PERSON, PEOPLE, FOLK, HUMAN BEING	PEOPLE, FOLK	TK196	ANIMALS AND HUMANS//TYPES OF HUMANS	789	PEOPLE
265	Kaufman-1973-1028-265	PERSON, PEOPLE, FOLK, HUMAN BEING	PERSON, HUMAN BEING	TK196	ANIMALS AND HUMANS//TYPES OF HUMANS	683	PERSON
266	Kaufman-1973-1028-266	FOREIGN(ER), STRANGE(R)	FOREIGN(ER), STRANGE(R)	TK197	ANIMALS AND HUMANS//TYPES OF HUMANS	791	STRANGER
267	Kaufman-1973-1028-267	TOWN, VILLAGE	TOWN, VILLAGE	TK198	ANIMALS AND HUMANS//TYPES OF HUMANS	3609	TOWN OR VILLAGE
268	Kaufman-1973-1028-268	KINSMAN, RELATIVE	KINSMAN, RELATIVE	TK199	ANIMALS AND HUMANS//KINSHIP	1644	RELATIVES
269	Kaufman-1973-1028-269	FATHER (referential)	FATHER (referential)	TK200	ANIMALS AND HUMANS//KINSHIP	1217	FATHER
270	Kaufman-1973-1028-270	MOTHER (referential)	MOTHER (referential)	TK201	ANIMALS AND HUMANS//KINSHIP	1216	MOTHER
271	Kaufman-1973-1028-271	UNCLE	UNCLE	TK202	ANIMALS AND HUMANS//KINSHIP	1327	UNCLE
272	Kaufman-1973-1028-272	FATHER’S BROTHER	FATHER’S BROTHER	TK202a	ANIMALS AND HUMANS//KINSHIP	1985	PATERNAL UNCLE (FATHER'S BROTHER)
273	Kaufman-1973-1028-273	MOTHER’S BROTHER	MOTHER’S BROTHER	TK202b	ANIMALS AND HUMANS//KINSHIP	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
274	Kaufman-1973-1028-274	FATHER’S SISTER	FATHER’S SISTER	TK203a	ANIMALS AND HUMANS//KINSHIP	2691	PATERNAL AUNT (FATHER'S SISTER)
275	Kaufman-1973-1028-275	MOTHER’S SISTER	MOTHER’S SISTER	TK203b	ANIMALS AND HUMANS//KINSHIP	2693	MATERNAL AUNT (MOTHER'S SISTER)
276	Kaufman-1973-1028-276	ELDER BROTHER	ELDER BROTHER	TK204	ANIMALS AND HUMANS//KINSHIP	1759	OLDER BROTHER
277	Kaufman-1973-1028-277	MAN’S ELDER BROTHER	MAN’S ELDER BROTHER	TK204a	ANIMALS AND HUMANS//KINSHIP	2414	OLDER BROTHER (OF MAN)
278	Kaufman-1973-1028-278	WOMAN’S ELDER BROTHER	WOMAN’S ELDER BROTHER	TK204b	ANIMALS AND HUMANS//KINSHIP	2415	OLDER BROTHER (OF WOMAN)
279	Kaufman-1973-1028-279	YOUNGER BROTHER	YOUNGER BROTHER	TK205	ANIMALS AND HUMANS//KINSHIP	1760	YOUNGER BROTHER
280	Kaufman-1973-1028-280	MAN’S YOUNGER BROTHER	MAN’S YOUNGER BROTHER	TK205a	ANIMALS AND HUMANS//KINSHIP	2416	YOUNGER BROTHER (OF MAN)
281	Kaufman-1973-1028-281	WOMAN’S YOUNGER BROTHER	WOMAN’S YOUNGER BROTHER	TK205b	ANIMALS AND HUMANS//KINSHIP	2417	YOUNGER BROTHER (OF WOMAN)
282	Kaufman-1973-1028-282	ELDER SISTER	ELDER SISTER	TK206	ANIMALS AND HUMANS//KINSHIP	1758	OLDER SISTER
283	Kaufman-1973-1028-283	MAN’S ELDER SISTER	MAN’S ELDER SISTER	TK206a	ANIMALS AND HUMANS//KINSHIP	2418	OLDER SISTER (OF MAN)
284	Kaufman-1973-1028-284	WOMAN’S ELDER SISTER	WOMAN’S ELDER SISTER	TK206b	ANIMALS AND HUMANS//KINSHIP	2419	OLDER SISTER (OF WOMAN)
285	Kaufman-1973-1028-285	YOUNGER SISTER	YOUNGER SISTER	TK207	ANIMALS AND HUMANS//KINSHIP	1761	YOUNGER SISTER
286	Kaufman-1973-1028-286	MAN’S YOUNGER SISTER	MAN’S YOUNGER SISTER	TK207a	ANIMALS AND HUMANS//KINSHIP	2420	YOUNGER SISTER (OF MAN)
287	Kaufman-1973-1028-287	WOMAN’S YOUNGER SISTER	WOMAN’S YOUNGER SISTER	TK207b	ANIMALS AND HUMANS//KINSHIP	2421	YOUNGER SISTER (OF WOMAN)
288	Kaufman-1973-1028-288	SON (OF MAN)	SON (OF MAN)	TK208	ANIMALS AND HUMANS//KINSHIP	3779	SON (OF MALE EGO)
289	Kaufman-1973-1028-289	DAUGHTER (OF MAN)	DAUGHTER (OF MAN)	TK209	ANIMALS AND HUMANS//KINSHIP	3778	DAUGHTER (OF MALE EGO)
290	Kaufman-1973-1028-290	SIBLING’S CHILD, NEPHEW	NEPHEW	TK210	ANIMALS AND HUMANS//KINSHIP	1063	NEPHEW
291	Kaufman-1973-1028-291	SIBLING’S CHILD, NEPHEW	SIBLING’S CHILD	TK210	ANIMALS AND HUMANS//KINSHIP	173	SIBLING'S CHILD
292	Kaufman-1973-1028-292	GRANDFATHER	GRANDFATHER	TK211	ANIMALS AND HUMANS//KINSHIP	1383	GRANDFATHER
293	Kaufman-1973-1028-293	FATHER’S FATHER	FATHER’S FATHER	TK211a	ANIMALS AND HUMANS//KINSHIP	2560	PATERNAL GRANDFATHER
294	Kaufman-1973-1028-294	MOTHER’S FATHER	MOTHER’S FATHER	TK211b	ANIMALS AND HUMANS//KINSHIP	2178	MATERNAL GRANDFATHER
295	Kaufman-1973-1028-295	GRANDMOTHER	GRANDMOTHER	TK212	ANIMALS AND HUMANS//KINSHIP	1496	GRANDMOTHER
296	Kaufman-1973-1028-296	FATHER’S MOTHER	FATHER’S MOTHER	TK212a	ANIMALS AND HUMANS//KINSHIP	3015	PATERNAL GRANDMOTHER
297	Kaufman-1973-1028-297	MOTHER’S MOTHER	MOTHER’S MOTHER	TK212b	ANIMALS AND HUMANS//KINSHIP	2177	MATERNAL GRANDMOTHER
298	Kaufman-1973-1028-298	GRANDCHILD, SON’S CHILD, SON’S SON	GRANDCHILD, SON’S CHILD, SON’S SON	TK213	ANIMALS AND HUMANS//KINSHIP	1617	GRANDCHILD
299	Kaufman-1973-1028-299	HUSBAND	HUSBAND	TK214	ANIMALS AND HUMANS//KINSHIP	1200	HUSBAND
300	Kaufman-1973-1028-300	WIFE	WIFE	TK215	ANIMALS AND HUMANS//KINSHIP	1199	WIFE
301	Kaufman-1973-1028-301	MOTHER-IN-LAW, WIFE’S MOTHER	MOTHER-IN-LAW, WIFE’S MOTHER	TK216	ANIMALS AND HUMANS//KINSHIP	2257	MOTHER-IN-LAW (OF MAN)
302	Kaufman-1973-1028-302	FATHER-IN-LAW, WIFE’S FATHER	FATHER-IN-LAW, WIFE’S FATHER	TK217	ANIMALS AND HUMANS//KINSHIP	2255	FATHER-IN-LAW (OF MAN)
303	Kaufman-1973-1028-303	BROTHER-IN-LAW, WIFE’S BROTHER	BROTHER-IN-LAW, WIFE’S BROTHER	TK218	ANIMALS AND HUMANS//KINSHIP	2380	BROTHER-IN-LAW (OF MAN)
304	Kaufman-1973-1028-304	SISTER-IN-LAW, WIFE’S SISTER	SISTER-IN-LAW, WIFE’S SISTER	TK219	ANIMALS AND HUMANS//KINSHIP	2317	SISTER-IN-LAW
305	Kaufman-1973-1028-305	DAUGHTER’S HUSBAND	DAUGHTER’S HUSBAND	TK220	ANIMALS AND HUMANS//KINSHIP	1056	SON-IN-LAW
306	Kaufman-1973-1028-306	STEP-RELATIVE	STEP-RELATIVE	TK221	ANIMALS AND HUMANS//KINSHIP		
307	Kaufman-1973-1028-307	ORPHAN	ORPHAN	TK222	ANIMALS AND HUMANS//KINSHIP	1149	ORPHAN
308	Kaufman-1973-1028-308	DOMESTIC ANIMAL, PET	DOMESTIC ANIMAL, PET	TK223	ANIMALS AND HUMANS//TYPES OF ANIMALS	3780	PET
309	Kaufman-1973-1028-309	DOG	DOG	TK224	ANIMALS AND HUMANS//TYPES OF ANIMALS	2009	DOG
310	Kaufman-1973-1028-310	MOUSE	MOUSE	TK225	ANIMALS AND HUMANS//TYPES OF ANIMALS	1491	MOUSE
311	Kaufman-1973-1028-311	RAT	RAT	TK226	ANIMALS AND HUMANS//TYPES OF ANIMALS	1490	RAT
312	Kaufman-1973-1028-312	BAT	BAT	TK227	ANIMALS AND HUMANS//TYPES OF ANIMALS	1793	BAT
313	Kaufman-1973-1028-313	BIRD	BIRD	TK228	ANIMALS AND HUMANS//TYPES OF ANIMALS	937	BIRD
314	Kaufman-1973-1028-314	EGG	EGG	TK229	ANIMALS AND HUMANS//TYPES OF ANIMALS	744	EGG
315	Kaufman-1973-1028-315	OWL	OWL	TK230	ANIMALS AND HUMANS//TYPES OF ANIMALS	735	OWL
316	Kaufman-1973-1028-316	BARN OWL, SCREECH OWL	BARN OWL, SCREECH OWL	TK230b	ANIMALS AND HUMANS//TYPES OF ANIMALS		
317	Kaufman-1973-1028-317	CROW, RAVEN	RAVEN	TK231	ANIMALS AND HUMANS//TYPES OF ANIMALS	2543	RAVEN
318	Kaufman-1973-1028-318	CROW, RAVEN	CROW	TK231	ANIMALS AND HUMANS//TYPES OF ANIMALS	913	CROW
319	Kaufman-1973-1028-319	DOVE, PIGEON	DOVE, PIGEON	TK232	ANIMALS AND HUMANS//TYPES OF ANIMALS	1853	DOVE
320	Kaufman-1973-1028-320	SNAKE, several varieties	SNAKE, several varieties	TK233	ANIMALS AND HUMANS//TYPES OF ANIMALS	730	SNAKE
321	Kaufman-1973-1028-321	POISONOUS SNAKE, RATTLESNAKE	POISONOUS SNAKE, RATTLESNAKE	TK234	ANIMALS AND HUMANS//TYPES OF ANIMALS	871	RATTLESNAKE
322	Kaufman-1973-1028-322	LIZARD, several varieties	LIZARD, several varieties	TK235	ANIMALS AND HUMANS//TYPES OF ANIMALS	632	LIZARD
323	Kaufman-1973-1028-323	TURTLE, several varieties	TURTLE, several varieties	TK236	ANIMALS AND HUMANS//TYPES OF ANIMALS	112	TURTLE
324	Kaufman-1973-1028-324	FISH	FISH	TK237	ANIMALS AND HUMANS//TYPES OF ANIMALS	227	FISH
325	Kaufman-1973-1028-325	FROG	FROG	TK238	ANIMALS AND HUMANS//TYPES OF ANIMALS	503	FROG
326	Kaufman-1973-1028-326	TOAD	TOAD	TK239	ANIMALS AND HUMANS//TYPES OF ANIMALS	894	TOAD
327	Kaufman-1973-1028-327	SHELLED WATER ANIMAL, CRAB	SHELLED WATER ANIMAL, CRAB	TK240	ANIMALS AND HUMANS//TYPES OF ANIMALS	2348	CRAB
328	Kaufman-1973-1028-328	SNAIL	SNAIL	TK241	ANIMALS AND HUMANS//TYPES OF ANIMALS	1543	SNAIL
329	Kaufman-1973-1028-329	ANT, several varieties	ANT, several varieties	TK242	ANIMALS AND HUMANS//TYPES OF ANIMALS	587	ANT
330	Kaufman-1973-1028-330	BEE	BEE	TK243	ANIMALS AND HUMANS//TYPES OF ANIMALS	665	BEE
331	Kaufman-1973-1028-331	HONEY	HONEY	TK244	ANIMALS AND HUMANS//TYPES OF ANIMALS	942	HONEY
332	Kaufman-1973-1028-332	WASP, several varieties	WASP, several varieties	TK243	ANIMALS AND HUMANS//TYPES OF ANIMALS	1517	WASP
333	Kaufman-1973-1028-333	SPIDER	SPIDER	TK246	ANIMALS AND HUMANS//TYPES OF ANIMALS	843	SPIDER
334	Kaufman-1973-1028-334	FLEA	FLEA	TK247	ANIMALS AND HUMANS//TYPES OF ANIMALS	232	FLEA
335	Kaufman-1973-1028-335	MOSQUITO	MOSQUITO	TK248	ANIMALS AND HUMANS//TYPES OF ANIMALS	1509	MOSQUITO
336	Kaufman-1973-1028-336	LOUSE, several varieties	LOUSE, several varieties	TK249	ANIMALS AND HUMANS//TYPES OF ANIMALS	1392	LOUSE
337	Kaufman-1973-1028-337	FLY (n)	FLY (n)	TK250	ANIMALS AND HUMANS//TYPES OF ANIMALS	1504	FLY (INSECT)
338	Kaufman-1973-1028-338	GRASSHOPPER, HOPPING INSECT WITH WINGS	GRASSHOPPER, HOPPING INSECT WITH WINGS	TK251	ANIMALS AND HUMANS//TYPES OF ANIMALS	607	GRASSHOPPER
339	Kaufman-1973-1028-339	BUTTERFLY	BUTTERFLY	TK252	ANIMALS AND HUMANS//TYPES OF ANIMALS	1791	BUTTERFLY
340	Kaufman-1973-1028-340	CATERPILLAR, “WORM” (not GRUB, MAGGOT)	CATERPILLAR, “WORM” (not GRUB, MAGGOT)	TK253	ANIMALS AND HUMANS//TYPES OF ANIMALS	2247	CATERPILLAR
341	Kaufman-1973-1028-341	(EARTH)WORM, INTESTINAL WORM	(EARTH)WORM	TK254	ANIMALS AND HUMANS//TYPES OF ANIMALS	1219	WORM
342	Kaufman-1973-1028-342	(EARTH)WORM, INTESTINAL WORM	INTESTINAL WORM	TK254	ANIMALS AND HUMANS//TYPES OF ANIMALS	3623	INTESTINAL WORM
343	Kaufman-1973-1028-343	MONKEY, several varieties	MONKEY, several varieties	TK255	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1350	MONKEY
344	Kaufman-1973-1028-344	FOX	FOX	TK256a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1312	FOX
345	Kaufman-1973-1028-345	WOLF	WOLF	TK256b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	522	WOLF
346	Kaufman-1973-1028-346	COYOTE	COYOTE	TK256c	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	912	COYOTE
347	Kaufman-1973-1028-347	CATTLE	CATTLE	TK257a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1153	CATTLE
348	Kaufman-1973-1028-348	BISON	BISON	TK257b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	3142	BISON
349	Kaufman-1973-1028-349	WATER BUFFALO	WATER BUFFALO	TK257c	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	2516	WATER BUFFALO
350	Kaufman-1973-1028-350	SHEEP	SHEEP	TK258a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1331	SHEEP
351	Kaufman-1973-1028-351	MOUNTAIN SHEEP	MOUNTAIN SHEEP	TK258b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS		
352	Kaufman-1973-1028-352	GOAT	GOAT	TK258c	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1502	GOAT
353	Kaufman-1973-1028-353	DEER, several varieties	DEER, several varieties	TK259a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1936	DEER
354	Kaufman-1973-1028-354	ANTELOPE	ANTELOPE	TK259b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	3674	ANTELOPE
355	Kaufman-1973-1028-355	ELK, MOOSE	ELK, MOOSE	TK259c	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1772	ELK
356	Kaufman-1973-1028-356	HORSE	HORSE	TK260	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	615	HORSE
357	Kaufman-1973-1028-357	CAT	CAT	TK261a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1208	CAT
358	Kaufman-1973-1028-358	WILDCAT, BOBCAT, LYNX	WILDCAT, BOBCAT, LYNX	TK261b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	2241	WILD CAT
359	Kaufman-1973-1028-359	TIGER-CAT, TIGRILLO	TIGER-CAT, TIGRILLO		ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS		
360	Kaufman-1973-1028-360	PUMA, COUGAR, MOUNTAIN LION	PUMA, COUGAR, MOUNTAIN LION	TK262a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1891	PUMA
361	Kaufman-1973-1028-361	LION	LION	TK262b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1386	LION
362	Kaufman-1973-1028-362	JAGUAR	JAGUAR	TK263a	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1250	JAGUAR
363	Kaufman-1973-1028-363	LEOPARD	LEOPARD	TK263b	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1139	LEOPARD
364	Kaufman-1973-1028-364	TIGER	TIGER		ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	846	TIGER
365	Kaufman-1973-1028-365	PANTHER	PANTHER		ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1139	LEOPARD
366	Kaufman-1973-1028-366	BEAR, several varieties	BEAR, several varieties	TK264	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1820	BEAR
367	Kaufman-1973-1028-367	PIG, SWINE	PIG, SWINE	TK265	ANIMALS AND HUMANS/SUPPLEMENTARY MAMMALS	1337	PIG
