ID	NUMBER	ENGLISH	TUNISIANARABIC	NAME_AGREEMENT_PERCENT	PHONEMES_NUMBER	SYLLABLES_NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Boukadi-2015-348-38	38	chain	سِلْسَلَهْ	96	6	2	1627	CHAIN
Boukadi-2015-348-39	39	clock	مُنْڨَالَهْ	96	7	3	1323	CLOCK
Boukadi-2015-348-40	40	crown	تاجْ	96	3	1	1943	CROWN (OF HEAD)
Boukadi-2015-348-41	41	deer	غزَالَهْ	96	5	2	1936	DEER
Boukadi-2015-348-42	42	dog	كَلْب	96	4	1	2009	DOG
Boukadi-2015-348-43	43	finger	صبُعْ	96	4	1	1303	FINGER
Boukadi-2015-348-44	44	fly	ذبَّانَهْ	96	6	3	1504	FLY (INSECT)
Boukadi-2015-348-45	45	fork	فَرْڨِيتَهْ	96	7	3	1302	FORK
Boukadi-2015-348-46	46	ladder	سَلُّومْ	96	5	2	1464	LADDER
Boukadi-2015-348-47	47	lips	شفَايِفْ	96	6	2	478	LIP
Boukadi-2015-348-48	48	nose	خشَمْ	96	4	1	1221	NOSE
Boukadi-2015-348-49	49	scissors	مقَصّْ	96	4	1	356	SHEARS
Boukadi-2015-348-50	50	sock	كَلْصِيطَهْ	96	7	3	1522	SOCK
Boukadi-2015-348-51	51	telephone	تَلِيِفونْ	96	7	3	1379	TELEPHONE
Boukadi-2015-348-52	52	tree	شَجْرَهْ	96	5	2	906	TREE
Boukadi-2015-348-53	53	well	بِيِرْ	96	3	1	954	WELL
Boukadi-2015-348-54	54	rocket	صَارُوخْ	96	5	2	3096	RACKET
Boukadi-2015-348-55	55	rope	حبَلْ	96	4	1	1218	ROPE
Boukadi-2015-348-56	56	scale	مِيزَانْ	96	5	2	2783	SCALES (MEASURE INSTRUMENT)
Boukadi-2015-348-57	57	cheese	جبِنْ	96	4	1	1569	CHEESE
Boukadi-2015-348-58	58	lungs	روَارِي	96	5	2	688	LUNG
Boukadi-2015-348-59	59	bowl	صحفهْ	92	5	2	1530	BOWL
Boukadi-2015-348-60	60	bus	كار	92	3	1	1070	BUS
Boukadi-2015-348-61	61	cat	قطُّوس	92	5	2	1208	CAT
Boukadi-2015-348-62	62	chicken	دجاجه	92	5	2	1318	CHICKEN
Boukadi-2015-348-63	63	cigarette	سِيڨاَرُو	92	6	3	969	CIGARETTE
Boukadi-2015-348-64	64	door	باب	92	3	1	1567	DOOR
Boukadi-2015-348-65	65	foot	سَاقْ	92	3	1	1301	FOOT
Boukadi-2015-348-66	66	grapes	عنِبْ	92	4	1	920	GRAPE
Boukadi-2015-348-67	67	hammer	مطَرْقَة	92	6	2	1481	HAMMER
Boukadi-2015-348-68	68	heart	قَلْب	92	4	1	1223	HEART
Boukadi-2015-348-69	69	knife	سِكِّينَهْ	92	6	3	1352	KNIFE
Boukadi-2015-348-70	70	crescent moon	هلَالْ	92	4	1		
Boukadi-2015-348-71	71	owl	بُومَهْ	92	4	2	735	OWL
Boukadi-2015-348-72	72	peacock	طَاوِسْ	92	5	2	3382	PEACOCK
Boukadi-2015-348-73	73	pen	ستِيلُو	92	5	2	794	PEN
Boukadi-2015-348-74	74	piano	پيَانُو	92	5	2	3994	PIANO (INSTRUMENT)
Boukadi-2015-348-75	75	rabbit	أَرْنِبْ	92	6	2	1136	RABBIT
Boukadi-2015-348-76	76	ring	خَاتِمْ	92	5	2	1374	RING
Boukadi-2015-348-77	77	saw	مِنْشَارْ	92	6	2	1948	SAW
Boukadi-2015-348-78	78	swing	دُرْجِيحَهْ	92	7	3	3101	SWING
Boukadi-2015-348-79	79	tiger	نِمر	92	4	1	846	TIGER
Boukadi-2015-348-80	80	truck	كَمْيُونْ	92	7	3	4011	TRUCK
Boukadi-2015-348-81	81	chest	صَنْدُوقْ	92	6	2	1592	CHEST
Boukadi-2015-348-82	82	syringe	زُرِّيقَهْ	92	6	3		
Boukadi-2015-348-83	83	rat	جَرْبُوعْ	92	6	2	1490	RAT
Boukadi-2015-348-84	84	cannon	مِدْفَعْ	88	6	2	3202	CANNON
Boukadi-2015-348-85	85	cow	بَڨْرَه	88	5	2	1007	COW
Boukadi-2015-348-86	86	duck	بَطَّهْ	88	4	2	1360	DUCK
Boukadi-2015-348-87	87	ear	وذِنْ	88	4	1	1247	EAR
Boukadi-2015-348-88	88	flag	عَلَمْ	88	5	2	2623	FLAG
Boukadi-2015-348-89	89	frog	جَرانَهْ	88	5	2	503	FROG
Boukadi-2015-348-90	90	needle	إِبْرهْ	88	5	2	1382	NEEDLE (FOR SEWING)
Boukadi-2015-348-91	91	potato	بَطَاطَا	88	6	3	593	POTATO
Boukadi-2015-348-92	92	stove	ڨَازْ	88	3	1	859	STOVE
Boukadi-2015-348-93	93	sweater	مَرْيُولْ	88	6	2	4035	SWEATER
Boukadi-2015-348-94	94	wheel	عَجْلِةْ كَرِّيِطَةْ	88	12	5	710	WHEEL
Boukadi-2015-348-95	95	feather	رِيشَهْ	88	4	2	1201	FEATHER
Boukadi-2015-348-96	96	bat	خُفَّاشْ	88	5	2	1793	BAT
Boukadi-2015-348-97	97	belt	سِبْتَهْ	84	5	2	772	BELT
Boukadi-2015-348-98	98	butterfly	فرطَطُّو	84	7	3	1791	BUTTERFLY
Boukadi-2015-348-99	99	dress	رُوبَهْ	84	4	2	474	DRESS
Boukadi-2015-348-100	100	house	دَارْ	84	3	1	1252	HOUSE
Boukadi-2015-348-101	101	leg	رِجْل	84	4	1	1297	LEG
Boukadi-2015-348-102	102	nail	مُسْمَارْ	84	6	2	502	NAIL (TOOL)
Boukadi-2015-348-103	103	pear	أَنْزَاصهْ	84	7	3	922	PEAR
Boukadi-2015-348-104	104	pumpkin	قْرَعْ	84	4	1	864	PUMPKIN
Boukadi-2015-348-105	105	sheep	عَلُّوشْ	84	5	2	1331	SHEEP
Boukadi-2015-348-106	106	squirrel	سِنْجَابْ	84	6	2	1628	SQUIRREL
Boukadi-2015-348-107	107	television	تَلفْزَهْ	84	6	2	1788	TELEVISION
Boukadi-2015-348-108	108	umbrella	سحَابَهْ	84	5	2	3105	UMBRELLA
Boukadi-2015-348-109	109	whistle	زُفَّارهْ	84	6	3	3107	WHISTLE (INSTRUMENT)
Boukadi-2015-348-110	110	window	شِبَّاك	84	5	2	1375	WINDOW
Boukadi-2015-348-111	111	wine glass	كَاسْ شرَابْ	84	7	2		
Boukadi-2015-348-112	112	zebra	حِمَارْ وحْشِي	84	11	4	3675	ZEBRA
Boukadi-2015-348-113	113	fan	مَرُوحَهْ	84	6	2	1971	FAN (OBJECT)
Boukadi-2015-348-114	114	faucet	سَبَّالَهْ	84	6	3	1488	FAUCET
Boukadi-2015-348-115	115	dinosaur	دَيْنَصُورْ	84	8	3	4021	DINOSAUR
Boukadi-2015-348-116	116	peas	جِلْبَانَهْ	84	7	3	2025	PEA
Boukadi-2015-348-117	117	scorpion	عَقْربْ	84	6	2	1538	SCORPION
Boukadi-2015-348-118	118	worm	دُودَهْ	84	4	2	1219	WORM
Boukadi-2015-348-119	119	carrot	سفنَّاريهْ	80	8	3	3085	CARROT
Boukadi-2015-348-120	120	envelope	جوَابْ	80	4	1	3088	ENVELOPE
Boukadi-2015-348-121	121	hair	شعَرْ	80	4	1	2648	HAIR (HEAD)
Boukadi-2015-348-122	122	kangaroo	كُنْغُرُو	80	7	3	164	KANGAROO
Boukadi-2015-348-123	123	lemon	قَارِصْ	80	5	2	3091	LEMON
Boukadi-2015-348-124	124	motorcycle	مُوطُورْ	80	5	2	638	MOTORCYCLE
Boukadi-2015-348-125	125	onion	بصَلْ	80	4	1	2366	ONION
Boukadi-2015-348-126	126	pineapple	أَنَناَسْ	80	7	3	2440	PINEAPPLE
Boukadi-2015-348-127	127	pliers	كُلَّابْ	80	5	2	4003	PLIERS
Boukadi-2015-348-128	128	thumb	الصبُعْ الكبِيرْ	80	12	4	1781	THUMB
Boukadi-2015-348-129	129	vase	مَحْبِسْ	80	6	2	3746	VASE
Boukadi-2015-348-130	130	brain	مُخّ	80	3	1	1583	BRAIN
Boukadi-2015-348-131	131	rosebud	بُرْعُمْ وَردَهْ	80	12	4		
Boukadi-2015-348-132	132	wolf	ذِيبْ	80	3	1	522	WOLF
Boukadi-2015-348-133	133	bed	فرش	76	4	1	1663	BED
Boukadi-2015-348-134	134	box	حُكَّهْ	76	4	2	1465	BOX
Boukadi-2015-348-135	135	cake	 كعبه ڨَطُّو	76	9	4	2408	CAKE
Boukadi-2015-348-136	136	flower	نَوَّارَهْ	76	6	3	239	FLOWER
Boukadi-2015-348-137	137	grasshopper	جرادَهْ	76	5	2	607	GRASSHOPPER
Boukadi-2015-348-138	138	hanger	مِعْلَاقْ	76	6	2	770	EARRING
Boukadi-2015-348-139	139	ostrich	نعَامَهْ	76	5	2	3797	OSTRICH
Boukadi-2015-348-140	140	rocking chair	كُرْسِي دُرْجِيحَهْ	76	12	5	3999	ROCKING CHAIR	
Boukadi-2015-348-141	141	globe	كُورَهْ أَرضِيَّهْ	76	10	4	2588	GLOBE
Boukadi-2015-348-142	142	bird cage	قفَصّ	76	4	1		
Boukadi-2015-348-143	143	pyramid	هَرَمْ	76	5	2	2600	PYRAMID
Boukadi-2015-348-144	144	ant	نِمَّالهْ	72	6	3	587	ANT
Boukadi-2015-348-145	145	barrel	بِرميل	72	6	2	2548	BARREL
Boukadi-2015-348-146	146	caterpillar	دُودِةْ حرير	72	9	3	2247	CATERPILLAR
Boukadi-2015-348-147	147	clothespin	شَكَّال	72	5	2		
Boukadi-2015-348-148	148	kettle	بَرَّادْ	72	5	2	854	KETTLE
Boukadi-2015-348-149	149	snake	حنَشْ	72	4	1	730	SNAKE
Boukadi-2015-348-150	150	turtle	فَكْرُونَ	72	7	3	112	TURTLE
Boukadi-2015-348-151	151	basin	بَانُو	72	4	2	915	SINK (BASIN)
Boukadi-2015-348-152	152	camera	مُصَوْرَهْ	72	7	3	2618	CAMERA
Boukadi-2015-348-153	153	tractor	ترَكتُورْ	72	7	2		
Boukadi-2015-348-154	154	funnel	قمَعْ	72	4	1	2602	FUNNEL
Boukadi-2015-348-155	155	octopus	قَرْنِيطْ	72	6	2	2581	OCTOPUS
Boukadi-2015-348-156	156	bee	نحلهْ	68	5	2	665	BEE
Boukadi-2015-348-157	157	bow	ڨُرْبِيطَهْ	68	7	3	994	BOW
Boukadi-2015-348-158	158	clown	مُهَرِّج	68	7	3	4020	CLOWN
Boukadi-2015-348-159	159	desk	بِيرُو	68	4	2	1775	TABLE
Boukadi-2015-348-160	160	donkey	حمار	68	4	1	1862	DONKEY
Boukadi-2015-348-161	161	lamp	بَجوُرَهْ	68	6	3	625	LAMP
Boukadi-2015-348-162	162	rooster	سَرْدُوك	68	6	2	1511	ROOSTER
Boukadi-2015-348-163	163	snail	حَلَزُونْ	68	7	3	1543	SNAIL
Boukadi-2015-348-164	164	strawberry	فرَاوْلهْ	68	6	2	3138	STRAWBERRY
Boukadi-2015-348-165	165	top	زَرْبُوطْ	68	6	2	3996	TOP (TOY)
Boukadi-2015-348-166	166	train	ترَيِنُو	68	5	2	900	TRAIN
Boukadi-2015-348-167	167	watermelon	دِلَّاعَهْ	68	5	2	2766	WATERMELON
Boukadi-2015-348-168	168	logs	حطَبْ	68	4	1		
Boukadi-2015-348-169	169	parrot	بَبَغَيُّو	68	8	4	882	PARROT
Boukadi-2015-348-170	170	frame	كوَاتْرُو	68	6	2	2624	FRAME
Boukadi-2015-348-171	171	safe	خَزْنَهْ	68	5	2	3762	SAFE
Boukadi-2015-348-172	172	balloon	أَمْبُولَهْ	64	7	3	3083	BALLOON
Boukadi-2015-348-173	173	banana	مُوزَهْ	64	4	2	868	BANANA
Boukadi-2015-348-174	174	cloud	سْحَابْ	64	4	1	1489	CLOUD
Boukadi-2015-348-175	175	goat	مَعْزَهْ	64	5	2	1502	GOAT
Boukadi-2015-348-176	176	gun	فَرْدْ	64	4	1	1566	GUN
Boukadi-2015-348-177	177	leaf	وَرْقهْ	64	5	2	628	LEAF
Boukadi-2015-348-178	178	pig	حَلُّوفْ	64	5	2	1337	PIG
Boukadi-2015-348-179	179	pot	كَصَرُونَهْ	64	8	4	1462	POT
Boukadi-2015-348-180	180	bird nest	عُشّ	64	3	1	3549	BIRD NEST
Boukadi-2015-348-181	181	lamb	عَليلِشْ	64	6	2	820	LAMB
Boukadi-2015-348-182	182	skull	رَاسْ	64	3	1	1605	SKULL
Boukadi-2015-348-183	183	broom	مصَلْحَهْ	60	6	2	245	BROOM
Boukadi-2015-348-184	184	drum	طَبْلَهْ	60	4	1	908	DRUM
Boukadi-2015-348-185	185	fox	ثعلب	60	6	2	1312	FOX
Boukadi-2015-348-186	186	light bulb	أَمْبُوبَهْ	60	7	3	4000	LIGHTBULB
Boukadi-2015-348-187	187	necklace	شَرْكهْ	60	5	2	1961	NECKLACE
Boukadi-2015-348-188	188	penguin	بَطْرِيقْ	60	6	2	2831	PENGUIN
Boukadi-2015-348-189	189	shirt	سُورِيَّهْ	60	5	2	1622	SHIRT
Boukadi-2015-348-190	190	spider	رُتِّيِلهْ	60	5	2	843	SPIDER
Boukadi-2015-348-191	191	artichoke	ڨَنَّارِيهْ	56	7	3	3997	ARTICHOKE
Boukadi-2015-348-192	192	bread	خبز	56	4	1	1368	BREAD
Boukadi-2015-348-193	193	comb	مُشْط	56	4	1	1475	COMB
Boukadi-2015-348-194	194	eagle	نِسر	56	4	1	1905	EAGLE
Boukadi-2015-348-195	195	glove	ڨوَانْدُو	56	6	2	867	GLOVE
Boukadi-2015-348-196	196	hat	طَرْبُوشَة	56	7	3	771	HAT
Boukadi-2015-348-197	197	leopard	فهدْ	56	4	1	1139	LEOPARD
Boukadi-2015-348-198	198	mushroom	فُقَاعْ	56	5	2	641	MUSHROOM
Boukadi-2015-348-199	199	rolling pin	قَلْقَالْ	56	6	2	4002	ROLLING PIN
Boukadi-2015-348-200	200	snowman	رَجُلْ الثَّلْجْ	56	11	4	3098	SNOWMAN
Boukadi-2015-348-201	201	stool	طَابُوريَّهْ	56	7	3	2058	STOOL
Boukadi-2015-348-202	202	swan	وَزَّهْ	56	4	2	2837	SWAN
Boukadi-2015-348-203	203	tomato	طمَاطِمْ	56	6	2	986	TOMATO
Boukadi-2015-348-204	204	closet	خزَانَهْ	56	5	2	3357	CUPBOARD
Boukadi-2015-348-205	205	dolphin	دُلْفِينْ	56	6	2	1479	DOLPHIN
Boukadi-2015-348-206	206	dust pan	بَالَهْ	56	4	2	2051	DUSTPAN
Boukadi-2015-348-207	207	compass	بَوْصلَهْ	56	6	2	2606	COMPASS
Boukadi-2015-348-208	208	hyena	ضْبَعْ	56	4	1	1799	HYENA
Boukadi-2015-348-209	209	lipstick	حُمِّيرْ	56	5	2	3093	LIPSTICK
Boukadi-2015-348-210	210	skeleton	هَيْكِلْ عَظْمِيِ	56	11	4	2668	SKELETON
Boukadi-2015-348-211	211	arrow	سَهم	52	4	1	977	ARROW
Boukadi-2015-348-212	212	ashtray	صَنْدرِيَّهْ	52	7	2	4028	ASHTRAY
Boukadi-2015-348-213	213	axe	سَاطُور خشَبْ	52	9	3	677	AXE
Boukadi-2015-348-214	214	barn	مَخْزِنْ	52	6	2	3025	BARN OR SHED
Boukadi-2015-348-215	215	bell	ناقوز	52	5	2	2246	BELL
Boukadi-2015-348-216	216	coat	كَبُّوط	52	5	2	603	COAT
Boukadi-2015-348-217	217	cup	فِنْجانْ	52	6	2	476	CUP
Boukadi-2015-348-218	218	lion	صيِدْ	52	3	1	1386	LION
Boukadi-2015-348-219	219	rhinoceros	وَحِيِد القَرْن	52	12	4	2591	RHINOCEROS
Boukadi-2015-348-220	220	bench	بَنْكْ	52	4	1	2584	BENCH
Boukadi-2015-348-221	221	button	فِلْسَهْ	48	5	2	757	BUTTON
Boukadi-2015-348-222	222	corn	قطَانيَه	48	6	2	506	MAIZE
Boukadi-2015-348-223	223	rugby ball	كُورِة رِڨْبِي	48	10	4		
Boukadi-2015-348-224	224	glasses	مرايَاتْ	48	6	2	1898	SPECTACLES
Boukadi-2015-348-225	225	gorilla	غُورِلَّا	48	6	3	3144	GORILLA
Boukadi-2015-348-226	226	guitar	ڨِيتَارَهْ	48	6	3	3090	GUITAR
Boukadi-2015-348-227	227	cabbage	صلَاطَهْ	48	5	2	774	CABBAGE
Boukadi-2015-348-228	228	paintbrush	فُوشَهْ	48	4	2	3094	PAINTBRUSH
Boukadi-2015-348-229	229	pepper	فِلْفِلْ	48	6	2	1385	PEPPER
Boukadi-2015-348-230	230	sandwich	كَسْكرُوتْ	48	7	2	4008	SANDWICH
Boukadi-2015-348-231	231	toe	صوَابَعْ سَقِّين  	48	7	2	1389	TOE
Boukadi-2015-348-232	232	windmill	طَاحُونَهْ	48	6	3	3841	WINDMILL
Boukadi-2015-348-233	233	net	شَبْكَهْ	48	5	2	2963	NET
Boukadi-2015-348-234	234	fishtail	ذِيِلْ حُوتهْ	48	7	3		
Boukadi-2015-348-235	235	panda	دِبْ پَنْدَا	48	8	3	3951	PANDA
Boukadi-2015-348-236	236	pelican	لَقْلقْ	48	6	2	472	PELICAN
Boukadi-2015-348-237	237	baby carriage	كَرُّوسَهْ	44	6	3	4029	BABY CARRIAGE
Boukadi-2015-348-238	238	beetle	خنفوسهْ	44	7	3	2242	BEETLE
Boukadi-2015-348-239	239	frying pan	مَقْلَى	44	5	2	31	PAN
Boukadi-2015-348-240	240	ironing board	طَاوِلْة حديِدْ	44	10	3	3998	IRONING BOARD	
Boukadi-2015-348-241	241	kite	طَيَّارِةْ ورَقْ	44	11	4	307	HAWK
Boukadi-2015-348-242	242	pencil	قلَمْ رصَاصْ	44	8	2	2578	PENCIL
Boukadi-2015-348-243	243	salt shaker	مَلَّاحَهْ	44	6	3		
Boukadi-2015-348-244	244	spool of thread	قَنُّوطْ	44	5	2		
Boukadi-2015-348-245	245	suitcase	فَلِيِجَهْ	44	6	3	4005	SUITCASE
Boukadi-2015-348-246	246	colander	كَسْكاسْ	44	6	2		
Boukadi-2015-348-247	247	headphones	سَمَّاعَاتْ	44	7	3		
Boukadi-2015-348-248	248	dragonfly	وَشْوَاشَهْ	44	7	3	2352	DRAGONFLY
Boukadi-2015-348-249	249	jellyfish	حُرِيقَهْ	44	6	3	4017	JELLYFISH
Boukadi-2015-348-250	250	shark	قِرْش	44	4	1	1110	SHARK
Boukadi-2015-348-251	251	toucan	طُوقَانْ	44	5	2	308	TOUCAN
Boukadi-2015-348-252	252	lock	سُكَّارَهْ	40	6	3	1596	LOCK
Boukadi-2015-348-253	253	nut	بُولُونَهْ	40	6	3	191	NUT
Boukadi-2015-348-254	254	seal	فُقْمَهْ	40	5	2	651	SEAL
Boukadi-2015-348-255	255	toothbrush	شيِطِةْ سِنِّيِنْ	40	10	4	2579	TOOTHBRUSH
Boukadi-2015-348-256	256	wrench	مِفْتاحْ أَنْڨلِيِزِي	40	14	5		
Boukadi-2015-348-257	257	binoculars	مِنْظَارْ	40	6	2		
Boukadi-2015-348-258	258	blimp	مِنْطَادْ	40	6	2		
Boukadi-2015-348-259	259	tambourine	طَار	40	3	1	3141	TAMBOURINE
Boukadi-2015-348-260	260	cockroach	فَرْزِيِتْ	40	6	2	1575	COCKROACH
Boukadi-2015-348-261	261	crab	سَرَطَانْ	40	7	3	2348	CRAB
Boukadi-2015-348-262	262	koala	كَوَالاَ	40	6	3		
Boukadi-2015-348-263	263	ladle	مغَرْفِةْ سقَ	40	10	3	2657	LADLE
Boukadi-2015-348-264	264	church	كنِيسِيَّهْ	36	6	2	1349	CHURCH
Boukadi-2015-348-265	265	dresser	كُمِدِينُو	36	8	4		
Boukadi-2015-348-266	266	garbage can	زِبْلَا	36	5	2	4036	GARBAGE CAN
Boukadi-2015-348-267	267	peach	مِشْمَاشَهْ	36	7	3	2043	PEACH
Boukadi-2015-348-268	268	peanut	كَاكَوِيَّهْ	36	7	3	595	GROUNDNUT (PEANUT)
Boukadi-2015-348-269	269	sailboat	فلُوكَهْ	36	5	2	4026	SAILBOAT
Boukadi-2015-348-270	270	tennis racket	رَكَاتْ تَنِيسْ	36	11	4		
Boukadi-2015-348-271	271	traffic light	ظَو أَحْمَرْ	36	9	3		
Boukadi-2015-348-272	272	vest	جِيلِيَّهْ	36	5	2	3140	VEST
Boukadi-2015-348-273	273	hoe	فَاسْ	36	3	1	284	HOE
Boukadi-2015-348-274	274	saddle	سَرْجْ	36	4	1	3065	SADDLE
Boukadi-2015-348-275	275	ladybug	خَنْفُوسْ البايْ	36	12	4	3139	LADYBUG
Boukadi-2015-348-276	276	starfish	نِجْمِةْ بحَرْ	36	10	3	3032	STARFISH
Boukadi-2015-348-277	277	whip	سَوْط	36	4	1	2630	WHIP
Boukadi-2015-348-278	278	basket	سلّة	32	4	2	1539	BASKET
Boukadi-2015-348-279	279	brush	شِيتَهْ	32	4	2	1821	BRUSH
Boukadi-2015-348-280	280	cherry	حَبْ ملُوك	32	6	2	2765	CHERRY
Boukadi-2015-348-281	281	cigar	سِيڨاَرْ	32	5	2	4019	CIGAR
Boukadi-2015-348-282	282	jacket	ڢِيسْتَا	32	5	2	2770	JACKET
Boukadi-2015-348-283	283	nail	مِبْرِدْ	32	6	2	502	NAIL (TOOL)
Boukadi-2015-348-284	284	racoon	رَاكُونْ	32	5	2		
Boukadi-2015-348-285	285	violin	كَمَنْجَهْ	32	7	3	4023	VIOLIN
Boukadi-2015-348-286	286	grill	مَشْوَا	32	5	2		
Boukadi-2015-348-287	287	arch	قُوسْ	32	3	1	876	ARCH
Boukadi-2015-348-288	288	calipers	مِلْقَاطْ	32	6	2		
Boukadi-2015-348-289	289	hamburger	هَمْبُرْڨِرْ	32	9	3		
Boukadi-2015-348-290	290	vulture	عقَابْ	32	5	2	1185	VULTURE
Boukadi-2015-348-291	291	walrus	فِيلْ البَحر	32	10	3	4007	WALRUS
Boukadi-2015-348-292	292	anchor	لَنْكرةْ	28	6	2	1870	ANCHOR
Boukadi-2015-348-293	293	blouse	سورِيَّهْ	28	5	2	4018	BLOUSE
Boukadi-2015-348-294	294	doorknob	كُوبَه	28	4	2	4030	DOORKNOB
Boukadi-2015-348-295	295	fence	سُورْ	28	3	1	1690	FENCE
Boukadi-2015-348-296	296	orange	 بُرْڨدَانْ	28	8	3	2627	ORANGE (FRUIT)
Boukadi-2015-348-297	297	pipe	پِيِپَا	28	4	2	1124	PIPE
Boukadi-2015-348-298	298	sea horse	حصَانْ بحَرْ	28	8	2	2586	SEAHORSE
Boukadi-2015-348-299	299	trumpet	بُوقْ	28	3	1	775	TRUMPET
Boukadi-2015-348-300	300	wagon	كَرِّيِطَهْ	28	6	3	122	CART
Boukadi-2015-348-301	301	chimney	شِمِنيَّهْ	28	7	3	1305	CHIMNEY
Boukadi-2015-348-302	302	easel	لَوْحَهْ	28	5	2		
Boukadi-2015-348-303	303	eel	حَنْشَهْ	28	5	2	1013	FRESHWATER EEL
Boukadi-2015-348-304	304	lizard	وَزْغَهْ	28	5	2	632	LIZARD
Boukadi-2015-348-305	305	stethoscope	سَمَّاعَاتْ طِبِّيَّهْ	28	12	5	2599	STETHOSCOPE
Boukadi-2015-348-306	306	turkey	دَنْدُونْ	28	6	2	2386	TURKEY
Boukadi-2015-348-307	307	washing machine	غَسَّالَهْ	28	6	3		
Boukadi-2015-348-308	308	whale	حُوتْ عَنبرْ	28	9	3	957	WHALE
Boukadi-2015-348-309	309	chisel	مِبِرْدَه	24	6	2	1979	CHISEL
Boukadi-2015-348-310	310	pitcher	قُمْصَانْ	24	6	2	270	JUG
Boukadi-2015-348-311	311	spinning wheel	مَغْزِلْ	24	6	2	4009	SPINNING WHEEL
Boukadi-2015-348-312	312	watering can	مرَشَّى	24	6	3		
Boukadi-2015-348-313	313	fern	شَجْرَهْ	24	4	1	3802	FERN
Boukadi-2015-348-314	314	fishhook	لَمْصُونْ	24	6	2	1074	FISHHOOK
Boukadi-2015-348-315	315	groceries	قَظْيَهْ	24	5	2		
Boukadi-2015-348-316	316	hippopotamus	كَرْكَدَنْ	24	8	3	3145	HIPPOPOTAMUS
Boukadi-2015-348-317	317	lantern	ڨَازَهْ	24	4	2	4025	LANTERN
Boukadi-2015-348-318	318	cactus	هِنْدِي	24	5	2	2595	CACTUS
Boukadi-2015-348-319	319	doghouse	دَار كَلْب	24	7	2		
Boukadi-2015-348-320	320	llama	لاَمَا	24	4	2		
Boukadi-2015-348-321	321	doll	عرُوسهْ	20	5	2	1659	DOLL
Boukadi-2015-348-322	322	french horn	ترُمْبِيِطَهْ	20	8	3		
Boukadi-2015-348-323	323	flashlight	پِيلهْ	20	4	2		
