ID	NUMBER	SWEDISH	ENGLISH	SEMANTIC_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Blomberg-2020-160-32	32	låda	box	specific	1465	BOX
Blomberg-2020-160-33	33	tallrik	plate	specific	480	PLATE
Blomberg-2020-160-34	34	docka	doll	specific	1659	DOLL
Blomberg-2020-160-35	35	kärna	kernel	specific		
Blomberg-2020-160-36	36	papegoja	parrot	specific	882	PARROT
Blomberg-2020-160-37	37	guld	gold	specific	1369	GOLD
Blomberg-2020-160-38	38	hjärta	heart	specific	1223	HEART
Blomberg-2020-160-39	39	hav	sea	specific	1474	SEA
Blomberg-2020-160-40	40	schack	chess	specific		
Blomberg-2020-160-41	41	djur	animal	general	619	ANIMAL
Blomberg-2020-160-42	42	frukt	fruit	general	1507	FRUIT
Blomberg-2020-160-43	43	växt	plant	general	653	PLANT (VEGETATION)
Blomberg-2020-160-44	44	verktyg	tool	general	1361	TOOL
Blomberg-2020-160-45	45	pryl	gadget	general		
Blomberg-2020-160-46	46	fordon	vehicle	general	2549	VEHICLE
Blomberg-2020-160-47	47	möbel	furniture	general		
Blomberg-2020-160-48	48	individ	individual	general		
Blomberg-2020-160-49	49	vapen	weapon	general	951	WEAPONS
Blomberg-2020-160-50	50	material	material	general		
Blomberg-2020-160-51	51	dryck	beverage	general	731	BEVERAGE
Blomberg-2020-160-52	52	bakverk	pastry	general		
Blomberg-2020-160-53	53	grönsak	vegetable	general	924	VEGETABLES
Blomberg-2020-160-54	54	byggnad	building	general	3396	BUILDING
Blomberg-2020-160-55	55	krydda	spice	general		
Blomberg-2020-160-56	56	redskap	tool	general		
Blomberg-2020-160-57	57	gröda	crop	general	611	HARVEST
Blomberg-2020-160-58	58	insekt	insect	general	620	INSECT
Blomberg-2020-160-59	59	grej	thing	general	738	THING
Blomberg-2020-160-60	60	mat	food	general	256	FOOD
Blomberg-2020-160-61	61	plagg	garment	general		
Blomberg-2020-160-62	62	instrument	instrument	general		
Blomberg-2020-160-63	63	behållare	container	general		
Blomberg-2020-160-64	64	produkt	product	general		
Blomberg-2020-160-65	65	farkost	vehicle	general		
Blomberg-2020-160-66	66	apparat	device	general		
Blomberg-2020-160-67	67	maskin	machine	general	144	MACHINE
Blomberg-2020-160-68	68	art	species	general		
Blomberg-2020-160-69	69	konst	art	general	4094	ART
Blomberg-2020-160-70	70	plats	place	general		
Blomberg-2020-160-71	71	smycke	jewelery	general		
Blomberg-2020-160-72	72	förpackning	package	general		
Blomberg-2020-160-73	73	husgeråd	cookware	general		
Blomberg-2020-160-74	74	leksak	toy	general	2403	TOY
Blomberg-2020-160-75	75	innehåll	content	general		
Blomberg-2020-160-76	76	organism	organism	general		
Blomberg-2020-160-77	77	metall	metal	general	2244	METAL
Blomberg-2020-160-78	78	organ	organ	general		
Blomberg-2020-160-79	79	miljö	environment	general		
Blomberg-2020-160-80	80	spel	game	general	2467	GAME
Blomberg-2020-160-81	81	kärlek	love	emotional	3834	LOVE (AFFECTION)
Blomberg-2020-160-82	82	glädje	joy	emotional	2524	JOY
Blomberg-2020-160-83	83	oro	worry	emotional		
Blomberg-2020-160-84	84	sorg	sorrow	emotional	1668	GRIEF
Blomberg-2020-160-85	85	lycka	luck	emotional	720	GOOD LUCK
Blomberg-2020-160-86	86	mod	courage	emotional	3049	COURAGE
Blomberg-2020-160-87	87	lust	lust	emotional		
Blomberg-2020-160-88	88	längtan	yearning	emotional		
Blomberg-2020-160-89	89	humor	humour	emotional		
Blomberg-2020-160-90	90	skräck	horror	emotional		
Blomberg-2020-160-91	91	tröst	comfort	emotional		
Blomberg-2020-160-92	92	skam	shame	emotional	1776	SHAME
Blomberg-2020-160-93	93	ilska	anger	emotional	82	ANGER
Blomberg-2020-160-94	94	sjukdom	disease	emotional	1986	DISEASE
Blomberg-2020-160-95	95	lättnad	relief	emotional		
Blomberg-2020-160-96	96	chock	shock	emotional		
Blomberg-2020-160-97	97	framgång	success	emotional	4089	SUCCESS
Blomberg-2020-160-98	98	hat	hatred	emotional		
Blomberg-2020-160-99	99	kris	chrisis	emotional		
Blomberg-2020-160-100	100	förakt	contempt	emotional		
Blomberg-2020-160-101	101	förälskelse	love	emotional		
Blomberg-2020-160-102	102	kaos	chaos	emotional	4056	CHAOS
Blomberg-2020-160-103	103	död	death	emotional	910	DEATH
Blomberg-2020-160-104	104	spänning	excitement	emotional		
Blomberg-2020-160-105	105	frihet	freedom	emotional	4086	FREEDOM
Blomberg-2020-160-106	106	krig	war	emotional	935	WAR
Blomberg-2020-160-107	107	skada	harm	emotional	2947	DAMAGE (INJURY)
Blomberg-2020-160-108	108	njutning	pleasure	emotional		
Blomberg-2020-160-109	109	problem	problem	emotional	2425	PROBLEM
Blomberg-2020-160-110	110	vänskap	friendship	emotional	3954	FRIENDSHIP
Blomberg-2020-160-111	111	svartsjuka	jealousy	emotional	2016	JEALOUSY
Blomberg-2020-160-112	112	stress	stress	emotional		
Blomberg-2020-160-113	113	besvikelse	disappointment	emotional		
Blomberg-2020-160-114	114	depression	depression	emotional		
Blomberg-2020-160-115	115	tacksamhet	gratitude	emotional		
Blomberg-2020-160-116	116	passion	passion	emotional	4060	PASSION
Blomberg-2020-160-117	117	belöning	reward	emotional		
Blomberg-2020-160-118	118	medlidande	pity	emotional	1141	PITY
Blomberg-2020-160-119	119	förtjusning	delight	emotional	1271	DELIGHT
Blomberg-2020-160-120	120	liv	life	emotional	210	LIFE
Blomberg-2020-160-121	121	råd	advice	abstract		
Blomberg-2020-160-122	122	rykte	rumour	abstract	63	RUMOUR
Blomberg-2020-160-123	123	löfte	promise	abstract	1675	PROMISE
Blomberg-2020-160-124	124	moral	morale	abstract		
Blomberg-2020-160-125	125	plikt	duty	abstract	3471	OBLIGATION (DUTY)
Blomberg-2020-160-126	126	datum	date	abstract	3801	DATE (FRUIT)
Blomberg-2020-160-127	127	stil	style	abstract		
Blomberg-2020-160-128	128	svar	answer	abstract		
Blomberg-2020-160-129	129	prestige	prestige	abstract		
Blomberg-2020-160-130	130	mognad	maturity	abstract		
Blomberg-2020-160-131	131	variation	variety	abstract		
Blomberg-2020-160-132	132	magi	magic	abstract	392	MAGIC
Blomberg-2020-160-133	133	visdom	wisdom	abstract	4040	WISDOM		
Blomberg-2020-160-134	134	idé	idea	abstract	1609	IDEA
Blomberg-2020-160-135	135	ordning	order	abstract	1128	ORDER
Blomberg-2020-160-136	136	position	position	abstract		
Blomberg-2020-160-137	137	arv	heritage	abstract		
Blomberg-2020-160-138	138	fakta	fact	abstract		
Blomberg-2020-160-139	139	term	term	abstract		
Blomberg-2020-160-140	140	rutin	routine	abstract		
Blomberg-2020-160-141	141	bevis	evidence	abstract		
Blomberg-2020-160-142	142	fas	phase	abstract		
Blomberg-2020-160-143	143	tendens	tendency	abstract		
Blomberg-2020-160-144	144	behov	need	abstract	643	NEED (NOUN)
Blomberg-2020-160-145	145	metod	method	abstract	3971	METHOD
Blomberg-2020-160-146	146	brist	lack	abstract		
Blomberg-2020-160-147	147	fakta	fact	abstract		
Blomberg-2020-160-148	148	mängd	amount	abstract	2987	AMOUNT
Blomberg-2020-160-149	149	avsikt	intention	abstract	1162	INTENTION
Blomberg-2020-160-150	150	uppehåll	pause	abstract		
Blomberg-2020-160-151	151	tradition	tradition	abstract	1747	CUSTOM
Blomberg-2020-160-152	152	tanke	thought	abstract	2975	THOUGHT
Blomberg-2020-160-153	153	ritual	ritual	abstract		
Blomberg-2020-160-154	154	reaktion	reaction	abstract		
Blomberg-2020-160-155	155	attityd	attitude	abstract		
Blomberg-2020-160-156	156	överflöd	abundance	abstract	4082	ABUNDANCE
Blomberg-2020-160-157	157	tema	theme	abstract		
Blomberg-2020-160-158	158	gåta	riddle	abstract	2970	RIDDLE
Blomberg-2020-160-159	159	dröm	dream	abstract	2374	DREAM
Blomberg-2020-160-160	160	lån	loan	abstract		
