ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-101	290	dar	give	1447	GIVE	DAR_GIVE
Huber-1992-375-102	291	decir	say	1458	SAY	DECIR_SAY
Huber-1992-375-103	23	dedo de la mano	finger	1303	FINGER	DEDO DE LA MANO_FINGER
Huber-1992-375-104	30	dedo del pie	toe	1389	TOE	DEDO DEL PIE_TOE
Huber-1992-375-105	335	delgado	thin	2308	THIN	DELGADO_THIN
Huber-1992-375-106	346	derecho	right	1019	RIGHT	DERECHO_RIGHT
Huber-1992-375-107	67	día	day	1225	DAY (NOT NIGHT)	DÍA_DAY
Huber-1992-375-108	4	diente	tooth	1380	TOOTH	DIENTE_TOOTH
Huber-1992-375-109	234	dientes delanteros incivos	front teeth, ineisors	442	FRONT TOOTH (INCISOR)	DIENTES DELANTEROS INCISIVOS_FRONT TEETH, INEISORS
Huber-1992-375-110	190	diez	ten	1515	TEN	DIEZ_TEN
Huber-1992-375-111	304	dónde	where	1237	WHERE	DONDE_WHERE
Huber-1992-375-112	280	dormir	sleep	1585	SLEEP	DORMIR_SLEEP
Huber-1992-375-113	182	dos	two	1498	TWO	DOS_TWO
Huber-1992-375-114	232	duerme!	sleep!			DUERME_SLEEP
Huber-1992-375-115	223	caliente	hot	1286	HOT	CALIENTE_HOT
Huber-1992-375-116	351	echar	throw	1456	THROW	BOTAR, TIRAR_THROW
Huber-1992-375-117	202	él	he	1211	HE	ÉL_HE
Huber-1992-375-118	243	el pelo del cuerpo	body hair	189	HAIR (BODY)	EL PELO DEL CUERPO_BODY HAIR
Huber-1992-375-119	203	ella	she	1834	SHE	ELLA_SHE
Huber-1992-375-120	204	ello	it	169	IT	ELLO_IT
Huber-1992-375-121	207	ellos	they	817	THEY	ELLOS_THEY
Huber-1992-375-122	338	embotado	dull	379	BLUNT	EMBOTADO_DULL
Huber-1992-375-123	350	empujar	push	1452	PUSH	EMPUJAR_PUSH
Huber-1992-375-124	321	en	in	1460	IN	EN_IN
Huber-1992-375-125	322	en, lugar definido	at	1461	AT	EN, LUGAR DEFINIDO_AT
Huber-1992-375-126	17	espalda	back	1291	BACK	ESPALDA_BACK
Huber-1992-375-127	239	espalda, parte superior	upper back	445	UPPER BACK	ESPALDA, PARTE SUPERIOR_UPPER BACK
Huber-1992-375-128	28	espinilla	shin	186	SHIN	ESPINILLA_SHIN
Huber-1992-375-129	256	este	this	1214	THIS	ESTE_THIS
Huber-1992-375-130	79	estera	mat	195	MAT	ESTERA_MAT
Huber-1992-375-131	244	estómago	stomach	819	STOMACH	ESTÓMAGO_STOMACH
Huber-1992-375-132	331	estrecho, angosto	narrow	1267	NARROW	ESTRECHO_NARROW
Huber-1992-375-133	66	estrella	star	1430	STAR	ESTRELLA_STAR
Huber-1992-375-134	345	ezquierdo	left	244	LEFT	IZQUIERDO_LEFT
Huber-1992-375-135	95	flecha	arrow	977	ARROW	FLECHA_ARROW
Huber-1992-375-136	155	flor	flower	239	FLOWER	FLOR_FLOWER
Huber-1992-375-137	310	fluir	flow	2003	FLOW	FLUIR_FLOW
Huber-1992-375-138	9	frente	forehead	123	FOREHEAD	FRENTE_FOREHEAD
Huber-1992-375-139	222	frío	cold	1287	COLD	FROTAR_RUB
Huber-1992-375-140	348	frotar	rub	1449	RUB	FRUTA_FRUIT
Huber-1992-375-141	156	fruta	fruit	1507	FRUIT	FRÍO_COLD
Huber-1992-375-142	53	fuente, ojo de agua	spring of water	849	SPRING (OF WATER)	FUENTE, OJO DE AGUA_SPRING OF WATER
Huber-1992-375-143	137	gallina	hen	1514	HEN	GALLINA_HEN
Huber-1992-375-144	133	gallinazo	buzzard	1865	BUZZARD	GALLINAZO_BUZZARD
Huber-1992-375-145	237	garganta y cuello	the neck region	1347	NAPE (OF NECK)	LA GARGANTA Y CUELLO_THE NECK REGION
Huber-1992-375-146	119	gato	cat	1208	CAT	GATO_CAT
Huber-1992-375-147	41	gente	people	789	PEOPLE	GENTE_PEOPLE
Huber-1992-375-148	352	golpear	hit	1433	HIT	GOLPEAR_HIT
Huber-1992-375-149	220	grande	big	1202	BIG	GRANDE_BIG
Huber-1992-375-150	267	grasa	grease, animal fat	1282	FAT (FROM ANIMALS)	GRASA_GREASE, ANIMAL FAT
Huber-1992-375-151	334	grueso	thick	1244	THICK	GRUESO_THICK
Huber-1992-375-152	129	guacamayo	macaw	1630	MACAW	GUACAMAYO_MACAW
Huber-1992-375-153	314	gusano	worm	1219	WORM	GUSANO_WORM
Huber-1992-375-154	88	hacha	axe	677	AXE	HACHA_AXE
Huber-1992-375-155	80	hamaca	hammock	2019	HAMMOCK	HAMACA_HAMMOCK
Huber-1992-375-156	164	harina de yuca	manioc flour	324	MANIOC FLOUR	HARINA DE YUCA_MANIOC FLOUR
Huber-1992-375-157	326	helarse	freeze	1431	FREEZE	HELARSE_FREEZE
Huber-1992-375-158	353	hender	split	1437	SPLIT	HENDER_SPLIT
Huber-1992-375-159	324	hielo	ice	617	ICE	HIELO_ICE
Huber-1992-375-160	161	hierba	grass	606	GRASS	HIERBA_GRASS
Huber-1992-375-161	273	hígado	liver	1224	LIVER	HÍGADO_LIVER
Huber-1992-375-162	359	hinchar	swell	1573	SWELL	HINCHAR_SWELL
Huber-1992-375-163	153	hoja	leaf	2250	LEAF (LEAFLIKE OBJECT)	HOJA_LEAF
Huber-1992-375-164	154	hoja de árbol	tree leaf	628	LEAF	HOJA DE ÁRBOL_TREE LEAF
Huber-1992-375-165	38	hombre	man	1554	MAN	HOMBRE_MAN
