ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	TBL_ENGLISH
Huang-1992-1820-28	28	cave (mountain)	山洞	1155	CAVE	n	cave (mountain)
Huang-1992-1820-29	29	cave / hole	洞	1667	HOLE	n	cave / hole
Huang-1992-1820-30	30	river (big) (note:+big)	河 (大~)	666	RIVER	n	river||river (small)||river (big)
Huang-1992-1820-31	31	lake	湖	624	LAKE	n	lake
Huang-1992-1820-32	32	sea	海	1474	SEA	n	sea
Huang-1992-1820-33	33	pond	池塘	2035	POND	n	pond
Huang-1992-1820-34	34	ditch / gully	沟	2002	DITCH	n	ditch / gully
Huang-1992-1820-35	35	well	井	954	WELL	n	well
Huang-1992-1820-36	36	pit	坑	2539	PIT (POTHOLE)	n	pit
Huang-1992-1820-37	37	dike / embankment	堤			n	dike / embankment
Huang-1992-1820-38	38	road	路	667	ROAD	n	road
Huang-1992-1820-39	39	flatland (grassland) (note:field | meadow {lit. +grass})	平坝 (草坝)	2819	GRASSLAND	n	flatland (grassland) (note:field | meadow {lit. +grass})
Huang-1992-1820-40	40	soil / earth	土	1228	EARTH (SOIL)	n	soil / earth
Huang-1992-1820-41	41	fields (wheat etc., slashed) (note:+plowed)	地(田~) (刀耕~)	212	FIELD	n	fields (wheat etc., slashed) (note:+plowed)
Huang-1992-1820-42	42	paddy field	水田	140	PADDY FIELD	n	paddy field
Huang-1992-1820-43	43	stone	石头	857	STONE	n	stone
Huang-1992-1820-44	44	sand	沙子	671	SAND	n	sand
Huang-1992-1820-45	45	dust	尘土	2	DUST	n	dust
Huang-1992-1820-46	46	mud	泥巴	640	MUD	n	mud
Huang-1992-1820-47	47	water	水	948	WATER	n	water (in a river, well)||water (in a vessel)||water
Huang-1992-1820-48	48	wave	波浪	978	WAVE	n	wave
Huang-1992-1820-49	49	spring (water)	泉水	849	SPRING (OF WATER)	n	spring (water)
Huang-1992-1820-50	50	forest	森林	420	FOREST	n	forest
Huang-1992-1820-51	51	gold	金子	1369	GOLD	n	gold
Huang-1992-1820-52	52	silver	银子	759	SILVER	n	silver
Huang-1992-1820-53	53	copper (cupronickel) (note:+white)	铜 (白~)	1825	COPPER	n	copper (cupronickel) (note:+white)
Huang-1992-1820-54	54	iron	铁	621	IRON	n	iron
Huang-1992-1820-55	55	tin	锡	893	TIN (METAL)	n	tin
Huang-1992-1820-56	56	rust (iron) (note:+copper  |  +silver)	锈 ((铜,银)~)	3064	RUST	n	rust (iron) (note:+copper  |  +silver)
Huang-1992-1820-57	57	aluminum	铝	3385	ALUMINIUM	n	aluminum
Huang-1992-1820-58	58	coal	煤	2658	COAL	n	coal
Huang-1992-1820-59	59	charcoal	炭	1188	CHARCOAL	n	charcoal
Huang-1992-1820-60	60	sulphur	硫磺	3386	SULPHUR	n	sulphur
Huang-1992-1820-61	61	salt	盐	1274	SALT	n	salt
Huang-1992-1820-62	62	alkali / soda	碱			n	alkali / soda
Huang-1992-1820-63	63	plant ash	草木灰	646	ASH	n	plant ash
Huang-1992-1820-64	64	place	地方	723	PLACE (POSITION)	n	place
Huang-1992-1820-65	65	street	街	1362	STREET	n	street
Huang-1992-1820-66	66	village	村子	930	VILLAGE	n	village
Huang-1992-1820-67	67	household	人家			n	household
Huang-1992-1820-68	68	prison	监狱	1281	PRISON	n	prison
Huang-1992-1820-69	69	temple	庙	911	TEMPLE	n	temple
Huang-1992-1820-70	70	bridge (vine)	桥 ((*的)~)	1011	BRIDGE	n	bridge (vine)
Huang-1992-1820-71	71	tomb	坟	1773	GRAVE	n	tomb
Huang-1992-1820-72	72	tower / pagoda	塔	1671	TOWER	n	tower / pagoda
Huang-1992-1820-73	73	body (front) (note:+front)	身体 (前身)	1480	BODY	n	body (front) (note:+front)
Huang-1992-1820-74	74	head	头	1256	HEAD	n	head
Huang-1992-1820-75	75	hair	头发	2648	HAIR (HEAD)	n	hair
Huang-1992-1820-76	76	braid / plait (female's) (note:+female)	辫子 ((女人的)~)	1043	BRAID	n	braid / plait (female's) (note:+female)
Huang-1992-1820-77	77	forehead	额头	123	FOREHEAD	n	forehead
Huang-1992-1820-78	78	eyebrow	眉毛	1173	EYEBROW	n	eyebrow
Huang-1992-1820-79	79	eye	眼睛	1248	EYE	n	eye
Huang-1992-1820-80	80	nose	鼻子	1221	NOSE	n	nose
Huang-1992-1820-81	81	ear	耳朵	1247	EAR	n	ear
Huang-1992-1820-82	82	face (self-respect)	脸 (一画)	1560	FACE	n	face (self-respect)
Huang-1992-1820-83	83	cheek	腮	1730	CHEEK	n	cheek
Huang-1992-1820-84	84	mouth (opening) (note:mouth  |  opening)	嘴 (口)	674	MOUTH	n	mouth (opening)||mouth
Huang-1992-1820-85	85	lip	嘴唇	478	LIP	n	lip
Huang-1992-1820-86	86	beard / moustache / goatee (chin) (note:+chin)	胡子 (下巴胡)	678	BEARD	n	beard / moustache / goatee (chin) (note:+chin)
Huang-1992-1820-87	87	beard	连鬓胡			n	beard
Huang-1992-1820-88	88	chin	下巴	1510	CHIN	n	chin
Huang-1992-1820-89	89	neck (back of, hindneck, nape) (note:+front)	脖子 (颈部)	1333	NECK	n	neck (back of, hindneck, nape)||neck
Huang-1992-1820-90	90	shoulder	肩膀	1482	SHOULDER	n	shoulder
Huang-1992-1820-91	91	back	背	1291	BACK	n	back
Huang-1992-1820-92	92	armpit	腋	1886	ARMPIT	n	armpit
Huang-1992-1820-93	93	chest	胸	1592	CHEST	n	chest
Huang-1992-1820-94	94	breast	乳房	1402	BREAST	n	breast
Huang-1992-1820-95	95	milk	奶汁	635	MILK	n	milk
Huang-1992-1820-96	96	belly	肚子(腹部)	1251	BELLY	n	belly
Huang-1992-1820-97	97	navel	肚脐	1838	NAVEL	n	navel
Huang-1992-1820-98	98	waist	腰	1681	WAIST	n	waist
Huang-1992-1820-99	99	buttocks	屁股	834	BUTTOCKS	n	buttocks
Huang-1992-1820-100	100	thigh (of human) (note:+human)	大腿 ((人的)~)	471	UPPER LEG (THIGH)	n	thigh (of animal)||thigh||thigh (of human)
Huang-1992-1820-101	101	knee	膝盖	1371	KNEE	n	knee
Huang-1992-1820-102	102	calf	小腿	498	CALF OF LEG	n	calf
Huang-1992-1820-103	103	foot	脚	1301	FOOT	n	foot
Huang-1992-1820-104	104	ankle	脚踝	803	ANKLE	n	ankle
Huang-1992-1820-105	105	arm	胳膊	1673	ARM	n	forearm
Huang-1992-1820-106	106	elbow	肘	981	ELBOW	n	elbow
Huang-1992-1820-107	107	hand	手	1277	HAND	n	hand
Huang-1992-1820-108	108	wrist	手腕	799	WRIST	n	wrist
Huang-1992-1820-109	109	finger	手指	1303	FINGER	n	finger
Huang-1992-1820-110	110	thumb	拇指	1781	THUMB	n	thumb
Huang-1992-1820-111	111	finger (middle)	中指	3387	MIDDLE FINGER	n	finger (middle)
Huang-1992-1820-112	112	finger (little)	小指	2774	LITTLE FINGER	n	finger (little)
Huang-1992-1820-113	113	nail	指甲	1258	FINGERNAIL	n	nail
Huang-1992-1820-114	114	fist (solid) (note:-hollow)	拳 ((实心的)~)	1473	FIST	n	fist (solid) (note:-hollow)
Huang-1992-1820-115	115	anus	肛门	1935	ANUS	n	anus
Huang-1992-1820-116	116	genitals (male)	男生殖器	1222	PENIS	n	genitals (male)
Huang-1992-1820-117	117	testicle	睾丸	797	TESTICLES	n	testicle
Huang-1992-1820-118	118	genitals (female)	女生殖器	1836	VAGINA	n	genitals (female)
Huang-1992-1820-119	119	placenta	胎盘	3388	PLACENTA	n	placenta
Huang-1992-1820-120	120	skin	皮肤	763	SKIN	n	skin
Huang-1992-1820-121	121	wrinkle (on forehead) (note:+face)	皱纹 ((脸上的)~)	2294	WRINKLE	n	wrinkle (on forehead) (note:+face)
Huang-1992-1820-122	122	mole	痣	1907	MOLE	n	mole
Huang-1992-1820-123	123	sore / boil	疮	51	SORE	n	sore / boil
Huang-1992-1820-124	124	wound	伤口	1109	WOUND	n	wound
Huang-1992-1820-125	125	scar	疤	497	SCAR	n	scar
Huang-1992-1820-126	126	measles	疹子	3389	MEASLES	n	measles
Huang-1992-1820-127	127	tinea (erythrasma) (note:+red)	癣 (红~)	1189	ULCER	n	tinea (erythrasma) (note:+red)
Huang-1992-1820-128	128	flesh / muscle	肌肉	1004	MUSCLE	n	flesh / muscle
Huang-1992-1820-129	129	blood	血	946	BLOOD	n	blood
Huang-1992-1820-130	130	tendon / sinew	筋	1137	TENDON	n	tendon / sinew
Huang-1992-1820-131	131	pulse (wrist)	手脉	3267	PULSE	n	pulse (wrist)
Huang-1992-1820-132	132	brains	脑髓	1583	BRAIN	n	brains
Huang-1992-1820-133	133	bone	骨头	1394	BONE	n	bone
Huang-1992-1820-134	134	spine / backbone	脊椎骨	805	SPINE	n	spine / backbone
Huang-1992-1820-135	135	rib	肋骨	801	RIB	n	rib
Huang-1992-1820-136	136	joint	骨节	999	JOINT	n	joint
Huang-1992-1820-137	137	tooth	牙齿	1380	TOOTH	n	tooth
Huang-1992-1820-138	138	gum	牙龈	139	GUMS	n	gum
Huang-1992-1820-139	139	tongue	舌头	1205	TONGUE	n	tongue
Huang-1992-1820-140	140	uvula	小舌	2293	UVULA	n	uvula
Huang-1992-1820-141	141	throat	喉咙	1346	THROAT	n	throat
Huang-1992-1820-142	142	Adam's apple	喉结	802	ADAM'S APPLE	n	Adam's apple
Huang-1992-1820-143	143	lung	肺	688	LUNG	n	lung
Huang-1992-1820-144	144	heart	心脏	1223	HEART	n	heart
Huang-1992-1820-145	145	liver	肝	1224	LIVER	n	liver
Huang-1992-1820-146	146	kidney	肾	489	KIDNEY	n	kidney
Huang-1992-1820-147	147	gall bladder	胆	3372	GALL BLADDER	n	gall bladder
Huang-1992-1820-148	148	stomach (cow, goat) (note:+livestock {lit. cow, sheep})	胃 ((牛,羊)~)	819	STOMACH	n	stomach (cow, goat) (note:+livestock {lit. cow, sheep})
Huang-1992-1820-149	149	intestine	肠子	1991	INTESTINES	n	intestine
Huang-1992-1820-150	150	bladder	膀胱	1746	BLADDER	n	bladder
Huang-1992-1820-151	151	excrement	屎	675	FAECES (EXCREMENT)	n	excrement
Huang-1992-1820-152	152	urine	尿	1142	URINE	n	urine
Huang-1992-1820-153	153	fart	屁	1159	FART	n	fart
Huang-1992-1820-154	154	sweat	汗	125	SWEAT (SUBSTANCE)	n	sweat
Huang-1992-1820-155	155	sputum	痰	3061	PHLEGM	n	sputum
Huang-1992-1820-156	156	saliva	口水	1503	SALIVA	n	saliva
Huang-1992-1820-157	157	mucus (nasal)	鼻涕	208	NASAL MUCUS (SNOT)	n	mucus (nasal)
Huang-1992-1820-158	158	tears	眼泪	1651	TEAR (OF EYE)	n	tears
Huang-1992-1820-159	159	pus	脓	1808	PUS	n	pus
Huang-1992-1820-160	160	dirt / filth	污垢	25	DIRT	n	dirt / filth
Huang-1992-1820-161	161	sound	声音	1811	SOUND OR NOISE	n	sound
Huang-1992-1820-162	162	corpse	尸体	767	CORPSE	n	corpse
Huang-1992-1820-163	163	life	生命	210	LIFE	n	life
Huang-1992-1820-164	164	life span	寿命			n	life span
Huang-1992-1820-165	165	Chinese (Han)	汉族(人)	3373	HAN CHINESE	n	Chinese (Han)
Huang-1992-1820-166	166	Tibetan	藏族(人)	3374	TIBETAN	n	Tibetan
Huang-1992-1820-167	167	human being	人	683	PERSON	n	human being
Huang-1992-1820-168	168	adult (male) (note:+male)	成年了 (成年男人)	1554	MAN	n	adult (male) (note:+male)
Huang-1992-1820-169	169	child	小孩儿	1304	CHILD (YOUNG HUMAN)	n	child
Huang-1992-1820-170	170	baby	婴儿	1289	BABY	n	baby
Huang-1992-1820-171	171	old man	老头儿	406	OLD MAN	n	old man
Huang-1992-1820-172	172	old lady	老太太	907	OLD WOMAN	n	old lady
Huang-1992-1820-173	173	man	男人	2106	MALE PERSON	n	man
Huang-1992-1820-174	174	woman	妇女	962	WOMAN	n	woman
Huang-1992-1820-175	175	lad / chap (young)	小伙子	76	YOUNG MAN	n	lad / chap (young)
Huang-1992-1820-176	176	girl	姑娘	1646	GIRL	n	girl
Huang-1992-1820-177	177	common people	百姓	789	PEOPLE	n	common people
Huang-1992-1820-178	178	peasant	农民	979	FARMER	n	peasant
Huang-1992-1820-179	179	soldier	士兵	1941	SOLDIER	n	soldier
Huang-1992-1820-180	180	merchant	商人	1082	MERCHANT	n	merchant
Huang-1992-1820-181	181	doctor	医生	597	PHYSICIAN	n	doctor
Huang-1992-1820-182	182	leader in a (stockaded) village	头人(寨首)	301	CHIEFTAIN	n	leader in a (stockaded) village
Huang-1992-1820-183	183	servant (slave) (note:+female)	仆人 (女~)	812	SLAVE	n	servant (slave) (note:+female)
Huang-1992-1820-184	184	shepherd boy	牧童	2544	SHEPHERD	n	shepherd boy
Huang-1992-1820-185	185	carpenter	木匠	1042	CARPENTER	n	carpenter
Huang-1992-1820-186	186	blacksmith	铁匠	1001	BLACKSMITH	n	blacksmith
Huang-1992-1820-187	187	boatman	船夫			n	boatman
Huang-1992-1820-188	188	hunter	猎人	1053	HUNTER	n	hunter
Huang-1992-1820-189	189	monk	和尚			n	monk
Huang-1992-1820-190	190	nun (Buddhist) (female lama) (note:female_Lama)	尼姑 (女喇嘛)			n	nun (Buddhist) (female lama) (note:female_Lama)
Huang-1992-1820-191	191	wizard / sorcerer	巫师	823	SORCERER	n	wizard / sorcerer
Huang-1992-1820-192	192	witch / sorceress	巫婆	824	WITCH	n	witch / sorceress
Huang-1992-1820-193	193	beggar	乞丐	1934	BEGGAR	n	beggar
Huang-1992-1820-194	194	thief	贼	1160	THIEF	n	thief
Huang-1992-1820-195	195	robber	强盗	3376	ROBBER	n	robber
Huang-1992-1820-196	196	patient	病人	3375	PATIENT (SICK PERSON)	n	patient
Huang-1992-1820-197	197	enemy (personal) / antagonizer	仇人	1358	ENEMY	n	enemy (personal) / antagonizer
Huang-1992-1820-198	198	emperor	皇帝	3377	EMPEROR	n	emperor
Huang-1992-1820-199	199	official (government)	官	486	MINISTER	n	official (government)
Huang-1992-1820-200	200	king (chieftain (Mand. 'tu3si1')) (note:emperor)	国王 (同皇帝)	1508	KING	n	king (chieftain (Mand. 'tu3si1')) (note:emperor)
Huang-1992-1820-201	201	friend (male-to-male) (note:+male-male)	朋友 ((男朋友互称))	1325	FRIEND	n	friend (male-to-male) (note:+male-male)
Huang-1992-1820-202	202	blind person (one eye) (note:+both_eyes)	瞎子 ((双眼)~)	457	BLIND PERSON	n	blind person (one eye) (note:+both_eyes)
Huang-1992-1820-203	203	lame person	跛子	2322	LAME PERSON	n	lame person
Huang-1992-1820-204	204	deaf person	聋子	458	DEAF PERSON	n	deaf person
Huang-1992-1820-205	205	baldhead	秃子	3415	BALDHEAD	n	baldhead
Huang-1992-1820-206	206	person w / pockmarked face (as an insult) (note:?)	麻子 ((用子骂人))	3366	PIMPLEFACE	n	person w / pockmarked face (as an insult) (note:?)
Huang-1992-1820-207	207	hunchback	驼子	99	HUNCHBACK	n	hunchback
Huang-1992-1820-208	208	fool / blockhead	傻子	1438	FOOL	n	fool / blockhead
Huang-1992-1820-209	209	lunatic	疯子	2321	MAD PERSON	n	lunatic
Huang-1992-1820-210	210	stutterer	结巴	3367	STUTTERER	n	stutterer
Huang-1992-1820-211	211	mute (female) (note:+female)	哑巴 ((女)~)	2320	MUTE PERSON	n	mute (female) (note:+female)
Huang-1992-1820-212	212	host (note:host)	主人 ((接待客人的)~)	1545	HOST	n	host (note:host)
Huang-1992-1820-213	213	guest	客人	1782	GUEST	n	guest
Huang-1992-1820-214	214	pal / partner	伙伴			n	pal / partner
Huang-1992-1820-215	215	ancestors / forebears	祖宗	1669	ANCESTORS	n	ancestors / forebears
Huang-1992-1820-216	216	grandfather (address) (note:+address)	爷爷 ((对称))	1383	GRANDFATHER	n	grandfather (address) (note:+address)
Huang-1992-1820-217	217	grandmother (address) (note:?)	奶奶 (亲~)	1496	GRANDMOTHER	n	grandmother (address) (note:?)
Huang-1992-1820-218	218	father (reference) (note:+citation)	父亲 ((引称))	1217	FATHER	n	father (reference)||father (address)||father
Huang-1992-1820-219	219	mother (reference) (note:+citation)	母亲 ((引称))	1216	MOTHER	n	mother||mother (address)||mother (reference)
Huang-1992-1820-220	220	son (intimate) (note:+citation)	儿子 ((一般称谓))	1620	SON	n	son||son (honorific)||son (general term)||son (intimate)
Huang-1992-1820-221	221	daughter-in-law (address) (note:+citation)	媳妇(儿~) ((引称))	1057	DAUGHTER-IN-LAW	n	daughter-in-law (address) (note:+citation)
Huang-1992-1820-222	222	daughter	女儿	1357	DAUGHTER	n	daughter
Huang-1992-1820-223	223	son-in-law (doesn't come calling) (note:+married_in)	女婿 ((上门)~)	1056	SON-IN-LAW	n	son-in-law (doesn't come calling) (note:+married_in)
Huang-1992-1820-224	224	grandson	孙子	1618	GRANDSON	n	grandson
Huang-1992-1820-225	225	granddaughter	孙女	1619	GRANDDAUGHTER	n	granddaughter
Huang-1992-1820-226	226	elder brother	哥哥	1759	OLDER BROTHER	n	elder brother
Huang-1992-1820-227	227	elder sister (address by y. sister) (note:+younger_brother_citation)	姐姐 ((弟引称))	2418	OLDER SISTER (OF MAN)	n	elder sister (address by y. sister) (note:+younger_brother_citation)
Huang-1992-1820-228	228	younger brother (address)	弟弟	1760	YOUNGER BROTHER	n	younger brother (address)
Huang-1992-1820-229	229	younger sister (address) (note:+brother_citation (wrong number))	妹妹 ((兄弟引称))	2420	YOUNGER SISTER (OF MAN)	n	younger sister (address) (note:+brother_citation (wrong number))
Huang-1992-1820-230	230	uncle (father's elder brother) (address) (note:+address)	伯父 ((对称))	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	n	uncle (father's elder brother) (address) (note:+address)
Huang-1992-1820-231	231	aunt (wife of father's elder brother) (address) (note:+address)	伯母 ((对称))	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)	n	aunt (wife of father's elder brother) (address) (note:+address)
Huang-1992-1820-232	232	uncle (father's younger brother) (address) (note:+address)	叔叔	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	n	uncle (father's younger brother) (address) (note:+address)
Huang-1992-1820-233	233	aunt (wife of father’s younger brother )	嬸母	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)	n	aunt (wife of father’s younger brother )
Huang-1992-1820-234	234	nephew	侄子	1063	NEPHEW	n	nephew
Huang-1992-1820-235	235	brothers	兄弟	1262	BROTHER	n	brothers
Huang-1992-1820-236	236	sisters (reference by brothers) (note:+brother_address)	姐妹 ((兄弟引称))	1263	SISTER	n	sisters (reference by brothers) (note:+brother_address)
Huang-1992-1820-237	237	sister-in-law	嫂子	2317	SISTER-IN-LAW	n	sister-in-law
Huang-1992-1820-238	238	uncle (mother’s borther)	舅父	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	n	uncle (mother’s borther)
Huang-1992-1820-239	239	aunt (mother’s brother’s wife)	舅母	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)	n	aunt (mother’s brother’s wife)
Huang-1992-1820-240	240	uncle (mother's sister's husband (= as 'mom's br.') (note:mother's_brother)	姨父 (同舅父)	2694	MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)	n	uncle (mother's sister's husband (= as 'mom's br.') (note:mother's_brother)
Huang-1992-1820-241	241	aunt (mother's sister) (= wife of mom's bro) (note:mother's_brother's_wife)	姨母 (同舅母)	2176	MATERNAL AUNT	n	aunt (mother's sister) (= wife of mom's bro) (note:mother's_brother's_wife)
Huang-1992-1820-242	242	uncle (father's sister's husband) (= father's o. bro) (note:father's_older_sister's_husband)	姑父 (大~(父之姐丈))			n	uncle (father's sister's husband) (= father's o. bro) (note:father's_older_sister's_husband)
Huang-1992-1820-243	243	aunt (father's sister)	姑母 (同伯母)			n	aunt (father's sister) (= 'wife of f's o. bro') (note:father's_older_brother's_wife (wrong number))
Huang-1992-1820-244	244	relatives	亲戚	1644	RELATIVES	n	relatives
Huang-1992-1820-245	245	father-in-law	岳父	1055	FATHER-IN-LAW	n	father-in-law
Huang-1992-1820-246	246	mother-in-law	岳母	1050	MOTHER-IN-LAW	n	mother-in-law
Huang-1992-1820-247	247	husband (address) (note:+citation)	丈夫 ((引称))	1200	HUSBAND	n	husband||husband (reference)||husband (proper, honorable)||husband (vulgo)||husband (address)
Huang-1992-1820-248	248	wife (address) (note:+citation)	妻子 ((引称))	1199	WIFE	n	wife (proper, honorable)||wife (address)||wife (reference)||wife (vulgo)||wife
Huang-1992-1820-249	249	stepmother (younger than birth mother) (note:+older_than_biological_mother)	继母 ((比生母大的)~)	236	STEPMOTHER	n	stepmother (younger than birth mother) (note:+older_than_biological_mother)
Huang-1992-1820-250	250	stepfather (younger than birth father) (note:+older_than_biological_father)	继父 ((比生父大的)~)	237	STEPFATHER	n	stepfather (younger than birth father) (note:+older_than_biological_father)
Huang-1992-1820-251	251	widow	寡妇	1756	WIDOW	n	widow
Huang-1992-1820-252	252	orphan	孤儿	1149	ORPHAN	n	orphan
Huang-1992-1820-253	253	livestock / animal (domestic)	牲畜	631	LIVESTOCK	n	livestock / animal (domestic)
Huang-1992-1820-254	254	cattle	牛	3044	BOVINE	n	cattle
Huang-1992-1820-255	255	cattle (common) (note:+female)	黄牛 (母~)	1153	CATTLE	n	cattle (common) (note:+female)
Huang-1992-1820-256	256	buffalo	水牛	2516	WATER BUFFALO	n	buffalo
Huang-1992-1820-257	257	yak (male)	牦牛	2477	YAK	n	yak (male)
Huang-1992-1820-258	258	cattle (bull-yak crossbreed, male)	犏牛			n	cattle (bull-yak crossbreed, male)
Huang-1992-1820-259	259	calf (bull-yak crossbreed) (note:+bull-yak)	牛犊 (犏~)	1989	CALF	n	calf (bull-yak crossbreed) (note:+bull-yak)
Huang-1992-1820-260	260	bull	公牛	1008	BULL	n	bull
Huang-1992-1820-261	261	cow	母牛	1007	COW	n	cow
Huang-1992-1820-262	262	dung (cow) (dry) (note:+wet)	牛粪 (湿~)	3435	COW DUNG	n	dung (cow) (dry) (note:+wet)
Huang-1992-1820-263	263	horn	犄角	1393	HORN (ANATOMY)	n	horn
Huang-1992-1820-264	264	hoof (odd number) (note:+odd_toed)	蹄 (奇数~)	152	HOOF	n	hoof||hoof (odd number)||hoof (even number)
Huang-1992-1820-265	265	skin (leather, hide) (note:+furry{i.e. not leather})	皮 ((带毛的)~)	2614	SKIN (ANIMAL)	n	skin (leather, hide) (note:+furry{i.e. not leather})
Huang-1992-1820-266	266	hair / down (of yak) (note:+yak)	毛 ((牦牛)~)	580	FUR	n	hair / down||hair / down (of yak)
Huang-1992-1820-267	267	tail	尾巴	1220	TAIL	n	bee||tail
Huang-1992-1820-268	268	horse	马	615	HORSE	n	horse
Huang-1992-1820-269	269	pony	马驹	1647	FOAL	n	pony
Huang-1992-1820-270	270	stallion	公马	936	STALLION	n	stallion
Huang-1992-1820-271	271	mare	母马	938	MARE	n	mare
Huang-1992-1820-272	272	mane (horse)	马鬃	3546	HORSE MANE	n	mane (horse)
Huang-1992-1820-273	273	dung (horse)	马粪	3378	HORSE DUNG	n	dung (horse)
Huang-1992-1820-274	274	sheep (general)	羊	2684	CAPRINE (GOAT OR SHEEP)	n	sheep (general)
Huang-1992-1820-275	275	sheep	绵羊	1331	SHEEP	n	sheep
Huang-1992-1820-276	276	goat (male) (note:+female)	山羊 (母~)	2476	FEMALE GOAT	n	goat (male)||goat (female)||goat
Huang-1992-1820-277	277	lamb	山羊羔	1972	KID	n	lamb
Huang-1992-1820-278	278	kid	绵羊羔	820	LAMB	n	kid
Huang-1992-1820-279	279	wool / fleece (goat) (note:goat)	羊毛 (山~)	964	WOOL	n	wool / fleece (goat) (note:goat)
Huang-1992-1820-280	280	dung (goat, sheep)	羊粪	3381	SHEEP DUNG	n	dung (goat, sheep)
Huang-1992-1820-281	281	mule	骡子	890	MULE	n	mule
Huang-1992-1820-282	282	donkey	驴	1862	DONKEY	n	donkey
Huang-1992-1820-283	283	camel	骆驼	1871	CAMEL	n	camel
Huang-1992-1820-284	284	pig	猪	1337	PIG	n	pig
Huang-1992-1820-285	285	boar	公猪	1348	BOAR (MALE PIG)	n	boar
Huang-1992-1820-286	286	sow	母猪	1351	SOW (FEMALE PIG)	n	sow
Huang-1992-1820-287	287	piglet	猪崽	2564	PIGLET	n	piglet
Huang-1992-1820-288	288	dung (pig)	猪粪	3379	PIG DUNG	n	dung (pig)
Huang-1992-1820-289	289	dog	狗	2009	DOG	n	dog
Huang-1992-1820-290	290	hound	猎狗	3380	HUNTING DOG	n	hound
Huang-1992-1820-291	291	cat	猫	1208	CAT	n	cat
Huang-1992-1820-292	292	rabbit	兔子	1136	RABBIT	n	rabbit
Huang-1992-1820-293	293	chicken	鸡	1318	CHICKEN	n	chicken
Huang-1992-1820-294	294	cock	公鸡	1511	ROOSTER	n	cock
Huang-1992-1820-295	295	hen	母鸡	1514	HEN	n	hen
Huang-1992-1820-296	296	chick (newly hatched) (note:newly hatched chicken)	雏鸡 (才孵出的鸡)	2512	CHICK	n	chick (newly hatched) (note:newly hatched chicken)
Huang-1992-1820-297	297	cockscomb	鸡冠	188	COMB OF BIRD	n	cockscomb
Huang-1992-1820-298	298	wing	翅膀	1257	WING	n	wing
Huang-1992-1820-299	299	feather / plume (bird) (note:+chicken)	羽毛 (鸡~)	1201	FEATHER	n	feather / plume (bird)||feather / plume (chicken)||feather / plume
Huang-1992-1820-300	300	duck (domestic) (note:+domestic)	鸭子 (家鸭)	1360	DUCK	n	duck (domestic) (note:+domestic)
Huang-1992-1820-301	301	goose	鹅	1187	GOOSE	n	goose
Huang-1992-1820-302	302	dove	鸽子	1853	DOVE	n	dove
