ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ratcliffe-2020-100-39	39	HEAR	HEA R	1408	HEAR
Ratcliffe-2020-100-40	40	HEART	HEA RT	1223	HEART
Ratcliffe-2020-100-41	41	HORN	HO RN	1393	HORN (ANATOMY)
Ratcliffe-2020-100-42	42	I	I	1209	I
Ratcliffe-2020-100-43	43	KILL	KILL	1417	KILL
Ratcliffe-2020-100-44	44	KNEE	KNE E	1371	KNEE
Ratcliffe-2020-100-45	45	KNOW	KN OW	1410	KNOW (SOMETHING)
Ratcliffe-2020-100-46	46	LEAF	LEA F	628	LEAF
Ratcliffe-2020-100-47	47	LIE	LIE	1411	LIE (REST)
Ratcliffe-2020-100-48	48	LIVER	LIVE  R	1224	LIVER
Ratcliffe-2020-100-49	49	LONG	LON G	1203	LONG
Ratcliffe-2020-100-50	50	LOUSE	LOU SE	1392	LOUSE
Ratcliffe-2020-100-51	51	MAN	MA N	1554	MAN
Ratcliffe-2020-100-52	52	MANY	MA NY	1198	MANY
Ratcliffe-2020-100-53	53	MEAT	ME AT	634	MEAT
Ratcliffe-2020-100-54	54	MOON	MO ON	1313	MOON
Ratcliffe-2020-100-55	55	MOUNTAIN	MO UN TAI N	639	MOUNTAIN
Ratcliffe-2020-100-56	56	MOUTH	MO UTH	674	MOUTH
Ratcliffe-2020-100-57	57	NAME	NA ME	1405	NAME
Ratcliffe-2020-100-58	58	NECK	NEC  K	1333	NECK
Ratcliffe-2020-100-59	59	NEW	NE W	1231	NEW
Ratcliffe-2020-100-60	60	NIGHT	NIG HT	1233	NIGHT
Ratcliffe-2020-100-61	61	NOSE	NOS E	1221	NOSE
Ratcliffe-2020-100-62	62	NOT	NO T	1240	NOT
Ratcliffe-2020-100-63	63	ONE	ONE	1493	ONE
Ratcliffe-2020-100-64	64	PERSON	PER SON	683	PERSON
Ratcliffe-2020-100-65	65	RAIN	RAI N	2108	RAINING OR RAIN
Ratcliffe-2020-100-66	66	RED	RED	156	RED
Ratcliffe-2020-100-67	67	ROAD	RO  AD	667	ROAD
Ratcliffe-2020-100-68	68	ROOT	RO OT	670	ROOT
Ratcliffe-2020-100-69	69	ROUND	RO UN D	1395	ROUND
Ratcliffe-2020-100-70	70	SAND	SAN D	671	SAND
Ratcliffe-2020-100-71	71	SAY	SAY	1458	SAY
Ratcliffe-2020-100-72	72	SEE	SEE	1409	SEE
Ratcliffe-2020-100-73	73	SEED	SEE D	714	SEED
Ratcliffe-2020-100-74	74	SIT	SIT	1416	SIT
Ratcliffe-2020-100-75	75	SKIN	SKI N	763	SKIN
Ratcliffe-2020-100-76	76	SLEEP	SLE  EP	1585	SLEEP
Ratcliffe-2020-100-77	77	SMALL	SM ALL	1246	SMALL
Ratcliffe-2020-100-78	78	SMOKE	SM OKE	778	SMOKE (EXHAUST)
Ratcliffe-2020-100-79	79	STAND	STA ND	1442	STAND
Ratcliffe-2020-100-80	80	STAR	STA R	1430	STAR
Ratcliffe-2020-100-81	81	STONE	STO NE	857	STONE
Ratcliffe-2020-100-82	82	SUN	SUN	1343	SUN
Ratcliffe-2020-100-83	83	SWIM	SWI M	1439	SWIM
Ratcliffe-2020-100-84	84	TAIL	TAI L	1220	TAIL
Ratcliffe-2020-100-85	85	THAT	THA  T	78	THAT
Ratcliffe-2020-100-86	86	THIS	THI S	1214	THIS
Ratcliffe-2020-100-87	87	THOU	TH OU	1215	THOU
Ratcliffe-2020-100-88	88	TONGUE	TO NG  UE	1205	TONGUE
Ratcliffe-2020-100-89	89	TOOTH	TO OT H	1380	TOOTH
Ratcliffe-2020-100-90	90	TREE	TRE E	906	TREE
Ratcliffe-2020-100-91	91	TWO	TW O	1498	TWO
Ratcliffe-2020-100-92	92	WALK	WA LK	1443	WALK
Ratcliffe-2020-100-93	93	WARM	WA  RM	1232	WARM
Ratcliffe-2020-100-94	94	WATER	WA TER	948	WATER
Ratcliffe-2020-100-95	95	WE	WE	1212	WE
Ratcliffe-2020-100-96	96	WHAT	WH AT	1236	WHAT
Ratcliffe-2020-100-97	97	WHITE	WHI TE	1335	WHITE
Ratcliffe-2020-100-98	98	WHO	WH O	1235	WHO
Ratcliffe-2020-100-99	99	WOMAN	WO MA N	962	WOMAN
Ratcliffe-2020-100-100	100	YELLOW	YEL LO W	1424	YELLOW
