ID	NUMBER	SRCID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT
Nagano-2013-1256-148	148	264	fur	580	FUR	
Nagano-2013-1256-149	149	265	tanned leather	629	LEATHER	
Nagano-2013-1256-150	150	267	comb	1475	COMB	
Nagano-2013-1256-151	151	269	ring (finger)	1374	RING	
Nagano-2013-1256-152	152	271	necklace	1961	NECKLACE	
Nagano-2013-1256-153	153	273	decorate (v)	1739	DECORATE	
Nagano-2013-1256-154	154	275	scissors	356	SHEARS	
Nagano-2013-1256-155	155	277	needle	1382	NEEDLE (FOR SEWING)	
Nagano-2013-1256-156	156	279	thread	1161	THREAD	
Nagano-2013-1256-157	157	281	sew (v)	1457	SEW	
Nagano-2013-1256-158	158	284	food, food stuff	256	FOOD	
Nagano-2013-1256-159	159	285	food, meal	1526	MEAL	
Nagano-2013-1256-160	160	287	rice	926	RICE	
Nagano-2013-1256-161	161	289	rice plant	2026	RICE PLANT	
Nagano-2013-1256-162	162	291	wheat	1077	WHEAT	
Nagano-2013-1256-163	163	293	barley	932	BARLEY	
Nagano-2013-1256-164	164	295	grain	605	GRAIN	
Nagano-2013-1256-165	165	298	bean, pea/bean, pea (蓲豆)	2574	BEAN OR PEA	
Nagano-2013-1256-166	166	300	flour	1594	FLOUR	
Nagano-2013-1256-167	167	301	wheat flour	1594	FLOUR	
Nagano-2013-1256-168	168	302	Tsampa			
Nagano-2013-1256-169	169	304	potato	593	POTATO	
Nagano-2013-1256-170	170	306	meat	634	MEAT	
Nagano-2013-1256-171	171	308	onion	2366	ONION	
Nagano-2013-1256-172	172	309	garlic	2368	GARLIC	
Nagano-2013-1256-173	173	313	vegetable	924	VEGETABLES	
Nagano-2013-1256-174	174	318	fruit	1507	FRUIT	
Nagano-2013-1256-175	175	320	fruit of tree	1507	FRUIT	
Nagano-2013-1256-176	176	322	seed	714	SEED	
Nagano-2013-1256-177	177	324	fish	227	FISH	
Nagano-2013-1256-178	178	326	egg	744	EGG	
Nagano-2013-1256-179	179	328	salt	1274	SALT	
Nagano-2013-1256-180	180	330	sugar	862	SUGAR	
Nagano-2013-1256-181	181	332	honey	942	HONEY	
Nagano-2013-1256-182	182	334	oil as food	1484	OIL (ORGANIC SUBSTANCE)	
Nagano-2013-1256-183	183	335	petroleum	650	PETROLEUM	
Nagano-2013-1256-184	184	337	grease			
Nagano-2013-1256-185	185	339	butter	1245	BUTTER	
Nagano-2013-1256-186	186	340	cheese	1569	CHEESE	
Nagano-2013-1256-187	187	342	milk	635	MILK	
Nagano-2013-1256-188	188	343	yogurt			
Nagano-2013-1256-189	189	345	water	948	WATER	
Nagano-2013-1256-190	190	347	tea	1373	TEA	
Nagano-2013-1256-191	191	351	pap, rice-porridge	2049	CONGEE	
Nagano-2013-1256-192	192	353	wine	1524	WINE	
Nagano-2013-1256-193	193	354	liquor	842	LIQUOR	
Nagano-2013-1256-194	194	356	get drunk (v)			
Nagano-2013-1256-195	195	358	tobacco	974	TOBACCO	
Nagano-2013-1256-196	196	360	cook (vt)	1100	COOK (SOMETHING)	
Nagano-2013-1256-197	197	361	have cooked (v)			
Nagano-2013-1256-198	198	0361a	cook (n)	2315	COOK (PERSON)	
Nagano-2013-1256-199	199	365	get roasted (vi)			
Nagano-2013-1256-200	200	366	fry (vt)	991	FRY	
Nagano-2013-1256-201	201	367	have fried (vi)			
Nagano-2013-1256-202	202	369	boil (vt)	2492	BOIL (SOMETHING)	
Nagano-2013-1256-203	203	370	get boiled (vi)			
Nagano-2013-1256-204	204	372	raw	1959	RAW	
Nagano-2013-1256-205	205	374	ripe	178	RIPE	
Nagano-2013-1256-206	206	376	eat (vt)	1336	EAT	
Nagano-2013-1256-207	207	378	lick (vt)	319	LICK	
Nagano-2013-1256-208	208	380	chew (vt)	321	CHEW	
Nagano-2013-1256-209	209	381	masticate (vt)			
Nagano-2013-1256-210	210	383	drink (vt)	1401	DRINK	
Nagano-2013-1256-211	211	384	swallow (vt)	897	SWALLOW	
Nagano-2013-1256-212	212	386	suck (vt)	1421	SUCK	
Nagano-2013-1256-213	213	388	vomit (vt)/vomit (呕吐) (vt)	1278	VOMIT	
Nagano-2013-1256-214	214	390	spit (v)	1440	SPIT	
Nagano-2013-1256-215	215	392	get hungry (v)			
Nagano-2013-1256-216	216	393	feel hungry (v)	1533	BE HUNGRY	
Nagano-2013-1256-217	217	395	feel thirsty (v)	3474	BE THIRSTY	
Nagano-2013-1256-218	218	397	taste	2190	TASTE	
Nagano-2013-1256-219	219	399	tasty	1813	TASTY	
Nagano-2013-1256-220	220	401	sweet	717	SWEET	
Nagano-2013-1256-221	221	403	hot	1286	HOT	
Nagano-2013-1256-222	222	405	bitter	887	BITTER	
Nagano-2013-1256-223	223	407	sour	1906	SOUR	
Nagano-2013-1256-224	224	409	rotten	1728	ROTTEN	
Nagano-2013-1256-225	225	411	mould	1166	MOULD	
Nagano-2013-1256-226	226	414	house	1252	HOUSE	
Nagano-2013-1256-227	227	415	room	1450	ROOM	
Nagano-2013-1256-228	228	417	house, residence	2406	HOME	
Nagano-2013-1256-229	229	419	residence			
Nagano-2013-1256-230	230	420	community, settlement			
Nagano-2013-1256-231	231	423	tent	1316	TENT	
Nagano-2013-1256-232	232	425	build (a house) (vt)			
Nagano-2013-1256-233	233	427	entrance			
Nagano-2013-1256-234	234	428	exit			
Nagano-2013-1256-235	235	430	door	1567	DOOR	
Nagano-2013-1256-236	236	432	room	1450	ROOM	
Nagano-2013-1256-237	237	434	floor	1632	FLOOR	
Nagano-2013-1256-238	238	436	pillar			
Nagano-2013-1256-239	239	437	beam (of a house)	1132	BEAM	
Nagano-2013-1256-240	240	440	wall	933	WALL (OF HOUSE)	
Nagano-2013-1256-241	241	441	mud wall			
Nagano-2013-1256-242	242	443	window	1375	WINDOW	
Nagano-2013-1256-243	243	446	roof	769	ROOF	
Nagano-2013-1256-244	244	448	fireplace/fireplace (火塘)	185	FIREPLACE	
Nagano-2013-1256-245	245	450	fire	221	FIRE	
Nagano-2013-1256-246	246	452	light (vt), catch fire (v)	737	LIGHT (IGNITE)	
Nagano-2013-1256-247	247	454	flame	889	FLAME	
Nagano-2013-1256-248	248	456	smoke	778	SMOKE (EXHAUST)	
Nagano-2013-1256-249	249	458	soot	830	SOOT	
Nagano-2013-1256-250	250	460	ashes	646	ASH	
Nagano-2013-1256-251	251	461	cinder(s)			Should be added to Concepticon.
Nagano-2013-1256-252	252	463	charcoal	1188	CHARCOAL	
Nagano-2013-1256-253	253	464	coal	2658	COAL	
Nagano-2013-1256-254	254	466	firewood	10	FIREWOOD	
Nagano-2013-1256-255	255	468	matches	1133	MATCH	
Nagano-2013-1256-256	256	469	matches	1133	MATCH	
Nagano-2013-1256-257	257	471	extinguish (vt)	127	EXTINGUISH	
Nagano-2013-1256-258	258	472	put out (vt)			
Nagano-2013-1256-259	259	473	go out, fade (vi)	2704	FADE (LOOSE COLOR)	
Nagano-2013-1256-260	260	475	burn (vi)	1428	BURNING	
Nagano-2013-1256-261	261	476	get burned (vi)			
Nagano-2013-1256-262	262	478	set fire to (vt)	737	LIGHT (IGNITE)	
Nagano-2013-1256-263	263	480	table	1775	TABLE	
Nagano-2013-1256-264	264	482	chair	1476	CHAIR	
Nagano-2013-1256-265	265	483	sitting mat	195	MAT	
Nagano-2013-1256-266	266	485	sit, stay (v)	1416	SIT	
Nagano-2013-1256-267	267	486	sit, lie down (v)	215	LIE DOWN	
Nagano-2013-1256-268	268	488	bed	1663	BED	
Nagano-2013-1256-269	269	490	pillow	1044	PILLOW	
Nagano-2013-1256-270	270	492	lie (vi)	1411	LIE (REST)	
Nagano-2013-1256-271	271	494	sleep (vi)	1585	SLEEP	
Nagano-2013-1256-272	272	495	snore (vi)	1983	SNORE	
Nagano-2013-1256-273	273	497	feel sleepy (v)			
Nagano-2013-1256-274	274	499	dream (n)	2374	DREAM	
Nagano-2013-1256-275	275	500	dream (v)	1920	DREAM (SOMETHING)	
Nagano-2013-1256-276	276	501	wake up (v)	1602	WAKE UP	
Nagano-2013-1256-277	277	502	waken (vt)	825	AWAKE	
Nagano-2013-1256-278	278	504	stand up, rise (v)	570	STAND UP	
Nagano-2013-1256-279	279	506	stand (v)	1442	STAND	
Nagano-2013-1256-280	280	508	well (n)	954	WELL	
Nagano-2013-1256-281	281	510	hedge			
Nagano-2013-1256-282	282	512	close, shut (vt)	1046	SHUT	
Nagano-2013-1256-283	283	513	shut one's eyes (v)/shut one's eyes (闭眼) (v)	2063	CLOSE (EYES)	
Nagano-2013-1256-284	284	514	close (vi)	2000	CLOVE	
Nagano-2013-1256-285	285	516	open (vt)	1156	OPEN	
Nagano-2013-1256-286	286	518	live (v)	1422	BE ALIVE	
Nagano-2013-1256-287	287	520	stay overnight (v)			
Nagano-2013-1256-288	288	523	tool	1361	TOOL	
Nagano-2013-1256-289	289	525	machine	144	MACHINE	
Nagano-2013-1256-290	290	527	mirror	1171	MIRROR	
Nagano-2013-1256-291	291	529	glass	604	GLASS	
Nagano-2013-1256-292	292	531	bowl	1530	BOWL	
Nagano-2013-1256-293	293	532	rice bowl			
Nagano-2013-1256-294	294	534	dish, plate	480	PLATE	
Nagano-2013-1256-295	295	536	spoon	1378	SPOON	
Nagano-2013-1256-296	296	538	pot	1462	POT	
Nagano-2013-1256-297	297	539	jug	270	JUG	
Nagano-2013-1256-298	298	543	bucket, barrel	2052	BUCKET	
Nagano-2013-1256-299	299	546	bottle	1321	BOTTLE	
Nagano-2013-1256-300	300	548	pan	31	PAN	
Nagano-2013-1256-301	301	549	steamer			
Nagano-2013-1256-302	302	550	earthenware teapot			
Nagano-2013-1256-303	303	552	dip out water (v)			
Nagano-2013-1256-304	304	553	scoop up (vt)			
Nagano-2013-1256-305	305	554	ladle	2657	LADLE	
Nagano-2013-1256-306	306	556	pour (vt)	1487	POUR	
Nagano-2013-1256-307	307	558	spill it (intentionally) (vt)	3130	SPILL (SOMETHING)	
Nagano-2013-1256-308	308	559	spill it (accidentally) (v)	3130	SPILL (SOMETHING)	
Nagano-2013-1256-309	309	561	knife	1352	KNIFE	
Nagano-2013-1256-310	310	562	handle, haft	1254	HANDLE	
Nagano-2013-1256-311	311	564	cutting edge	863	EDGE	
Nagano-2013-1256-312	312	566	mortar	224	MORTAR CRUSHER	
Nagano-2013-1256-313	313	568	pounder	2459	GRINDSTONE	
Nagano-2013-1256-314	314	570	grind (vt)	1033	GRIND	
Nagano-2013-1256-315	315	572	pound (vt)	354	POUND	
Nagano-2013-1256-316	316	574	hammer	1481	HAMMER	
Nagano-2013-1256-317	317	576	nail	502	NAIL (TOOL)	
Nagano-2013-1256-318	318	578	saw	1948	SAW	
Nagano-2013-1256-319	319	580	axe	677	AXE	
Nagano-2013-1256-320	320	582	hoe	284	HOE	
Nagano-2013-1256-321	321	584	sickle	341	SICKLE	
Nagano-2013-1256-322	322	586	plow	2154	PLOUGH (INSTRUMENT)	
Nagano-2013-1256-323	323	588	spade	1176	SPADE	
Nagano-2013-1256-324	324	590	whet (vt)	251	SHARPEN (SOMETHING)	
Nagano-2013-1256-325	325	592	dust	2	DUST	
Nagano-2013-1256-326	326	594	wipe (vt)	1454	WIPE	
Nagano-2013-1256-327	327	596	box	1465	BOX	
Nagano-2013-1256-328	328	598	cover (n)	2319	LID (COVER, CAP)	
Nagano-2013-1256-329	329	599	sheath			
Nagano-2013-1256-330	330	601	large meshed basket			
Nagano-2013-1256-331	331	602	basket	1539	BASKET	
Nagano-2013-1256-332	332	604	sieve	86	SIEVE	
Nagano-2013-1256-333	333	606	bag	2468	BAG	
Nagano-2013-1256-334	334	607	bag made of Yak's wool			
Nagano-2013-1256-335	335	608	bag made of Yak's wool			
Nagano-2013-1256-336	336	610	square bag of cloth			
Nagano-2013-1256-337	337	611	paper bag for documents			
Nagano-2013-1256-338	338	612	envelope	3088	ENVELOPE	
Nagano-2013-1256-339	339	614	rope	1218	ROPE	
Nagano-2013-1256-340	340	616	string, cord	362	STRING	
Nagano-2013-1256-341	341	618	net	2963	NET	
Nagano-2013-1256-342	342	619	net for curtain			
Nagano-2013-1256-343	343	621	cane	1296	WALKING STICK	
Nagano-2013-1256-344	344	623	stick of wood	1295	STICK	
Nagano-2013-1256-345	345	624	small pile			
Nagano-2013-1256-346	346	626	ladder	1464	LADDER	
Nagano-2013-1256-347	347	628	board	1227	BOARD	
Nagano-2013-1256-348	348	631	be born (v)	1090	BE BORN	
Nagano-2013-1256-349	349	633	grow up (v)	552	GROW UP	
Nagano-2013-1256-350	350	635	alive (be v)	1422	BE ALIVE	
Nagano-2013-1256-351	351	637	fat	1279	FAT (OBESE)	
Nagano-2013-1256-352	352	639	thin	2308	THIN	
Nagano-2013-1256-353	353	641	get tired (v)	1996	GET TIRED	
Nagano-2013-1256-354	354	643	healthy	1364	HEALTHY	
Nagano-2013-1256-355	355	645	illness	1986	DISEASE	
Nagano-2013-1256-356	356	647	fever	1534	FEVER	
Nagano-2013-1256-357	357	648	catch a cold (v)	2184	CATCH A COLD	
Nagano-2013-1256-358	358	649	infectious disease/infectious disease ('the illness spreads one after the other')			
Nagano-2013-1256-359	359	650	syphilis			
Nagano-2013-1256-360	360	654	wound	1109	WOUND	
Nagano-2013-1256-361	361	656	be painful, feel pain (v)	2561	HURT (SENSE PAIN)	
Nagano-2013-1256-362	362	658	feel itchy (v)	149	ITCHY	
Nagano-2013-1256-363	363	660	scratch (v)	1436	SCRATCH	
Nagano-2013-1256-364	364	662	medicine	1372	MEDICINE	
Nagano-2013-1256-365	365	664	cure (vt)	499	CURE	
Nagano-2013-1256-366	366	665	cure (vt)	499	CURE	
Nagano-2013-1256-367	367	667	recover (v)	1978	RECOVER	
Nagano-2013-1256-368	368	669	poison	655	POISON	
Nagano-2013-1256-369	369	671	kill (vt)	1417	KILL	
Nagano-2013-1256-370	370	673	die (vi)	1494	DIE	
Nagano-2013-1256-371	371	675	bury (vt)	1719	BURY	
Nagano-2013-1256-372	372	676	mummy			
Nagano-2013-1256-373	373	678	god	1944	GOD	
Nagano-2013-1256-374	374	680	pray (v)	24	PRAY	
Nagano-2013-1256-375	375	682	fight (v)	1423	FIGHT	
Nagano-2013-1256-376	376	683	fight (v)	1423	FIGHT	
Nagano-2013-1256-377	377	685	make war (v)			
Nagano-2013-1256-378	378	687	win (v)	866	WIN	
Nagano-2013-1256-379	379	689	be defeated (v)			
Nagano-2013-1256-380	380	691	run away (vi)	2142	RUN AWAY	
Nagano-2013-1256-381	381	693	chase (vt)	1435	HUNT	
Nagano-2013-1256-382	382	695	sword	1535	SWORD	
Nagano-2013-1256-383	383	697	spear	945	SPEAR	
Nagano-2013-1256-384	384	699	shield	1064	SHIELD	
Nagano-2013-1256-385	385	701	bow	994	BOW	
Nagano-2013-1256-386	386	703	arrow	977	ARROW	
Nagano-2013-1256-387	387	705	gun	1566	GUN	
Nagano-2013-1256-388	388	708	person, man in general	683	PERSON	
Nagano-2013-1256-389	389	710	man, male	2106	MALE PERSON	
Nagano-2013-1256-390	390	711	male	1553	MALE	
Nagano-2013-1256-391	391	713	woman, female	2105	FEMALE PERSON	
Nagano-2013-1256-392	392	715	baby	1289	BABY	
Nagano-2013-1256-393	393	717	child	2099	CHILD	
Nagano-2013-1256-394	394	719	boy/boy (小伙子)	1366	BOY	
Nagano-2013-1256-395	395	721	girl	1646	GIRL	
Nagano-2013-1256-396	396	723	young man, youth	76	YOUNG MAN	
Nagano-2013-1256-397	397	725	young lady	77	YOUNG WOMAN	
Nagano-2013-1256-398	398	727	adult, grown-ups			
Nagano-2013-1256-399	399	729	old person	725	OLD PERSON	
Nagano-2013-1256-400	400	731	young	1207	YOUNG	
Nagano-2013-1256-401	401	733	old	1229	OLD	
Nagano-2013-1256-402	402	736	father	1217	FATHER	
Nagano-2013-1256-403	403	738	mother	1216	MOTHER	
Nagano-2013-1256-404	404	740	parents	505	PARENTS	
Nagano-2013-1256-405	405	742	grandfather	1383	GRANDFATHER	
Nagano-2013-1256-406	406	744	grandmother	1496	GRANDMOTHER	
Nagano-2013-1256-407	407	746	uncle	1327	UNCLE	
Nagano-2013-1256-408	408	747	uncle (matrilineal)	3220	MATERNAL UNCLE	
Nagano-2013-1256-409	409	749	aunt	1272	AUNT	
Nagano-2013-1256-410	410	750	aunt (matrilineal)	2176	MATERNAL AUNT	
Nagano-2013-1256-411	411	752	son	1620	SON	
Nagano-2013-1256-412	412	754	daughter	1357	DAUGHTER	
Nagano-2013-1256-413	413	756	brother, siblings	1262	BROTHER	
Nagano-2013-1256-414	414	758	sister	1263	SISTER	
Nagano-2013-1256-415	415	760	nephew/nephew (brother's son / sister's son)	1063	NEPHEW	
Nagano-2013-1256-416	416	762	niece	1642	NIECE	
Nagano-2013-1256-417	417	764	cousin	1643	COUSIN	
Nagano-2013-1256-418	418	766	husband	1200	HUSBAND	
Nagano-2013-1256-419	419	767	spouse	2514	SPOUSE	
Nagano-2013-1256-420	420	769	wife	1199	WIFE	
Nagano-2013-1256-421	421	771	bride (son's wife)			
Nagano-2013-1256-422	422	772	bride	1266	BRIDE	
Nagano-2013-1256-423	423	774	son-in-law	1056	SON-IN-LAW	
Nagano-2013-1256-424	424	776	marry (v)	203	MARRY	
Nagano-2013-1256-425	425	778	widow	1756	WIDOW	
Nagano-2013-1256-426	426	779	widower	1981	WIDOWER	
Nagano-2013-1256-427	427	781	enemy	1358	ENEMY	
Nagano-2013-1256-428	428	783	servant	255	SERVANT	
Nagano-2013-1256-429	429	786	village	930	VILLAGE	
Nagano-2013-1256-430	430	788	town	1391	TOWN	
Nagano-2013-1256-431	431	790	market	633	MARKET	
Nagano-2013-1256-432	432	792	hunt (vt)	1435	HUNT	
Nagano-2013-1256-433	433	794	shoot (a gun) (v)	1172	SHOOT	
Nagano-2013-1256-434	434	795	shoot (v)			
Nagano-2013-1256-435	435	797	trap	1075	TRAP (PITFALL)	
Nagano-2013-1256-436	436	799	fish with a line (v)	2796	FISHING (WITH A HOOK)	
Nagano-2013-1256-437	437	801	rich	712	RICH	
Nagano-2013-1256-438	438	802	rich/rich (富裕)	712	RICH	
Nagano-2013-1256-439	439	804	poor	1674	POOR	
Nagano-2013-1256-440	440	805	tattered			
Nagano-2013-1256-441	441	807	steal (vt)	713	STEAL	
Nagano-2013-1256-442	442	809	rob (vt)	2073	ROB (VERB)	
Nagano-2013-1256-443	443	811	field	212	FIELD	
Nagano-2013-1256-444	444	813	work (v)	1086	WORK (ACTIVITY)	
Nagano-2013-1256-445	445	815	rest (v)	168	REST	
Nagano-2013-1256-446	446	817	cultivate (vt)	1541	CULTIVATE	
Nagano-2013-1256-447	447	819	sow (vt)	748	SOW SEEDS	
Nagano-2013-1256-448	448	821	reap (vt)			
