NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
223	forehead	123	FOREHEAD
224	forget	1523	FORGET
225	four	1500	FOUR
226	friend	1325	FRIEND
227	frighten	252	FRIGHTEN
228	frog	503	FROG
229	from	693	FROM
230	fruit	1507	FRUIT
231	fruit bat
232	fry	991	FRY
233	full	1429	FULL
234	full, of food	106	SATIATED
235	gall	3372	GALL BLADDER
236	gecko	2355	GECKO
237	ghost	1175	GHOST
238	gibbon	2511	GIBBON
239	gills	1916	GILL
240	give	1447	GIVE
241	give birth	1195	GIVE BIRTH
242	go	695	GO
243	goiter	1957	GOITER
244	good	1035	GOOD
245	grainary
246	grandchild	1617	GRANDCHILD
247	grandfather	1383	GRANDFATHER
248	grandmother	1496	GRANDMOTHER
249	grass	606	GRASS
250	grasshopper	607	GRASSHOPPER
251	grave	1773	GRAVE
252	great argus pheasant
253	grow, as a plant	479	GROW
254	gums	139	GUMS
255	hair whirl
256	half	816	HALF
257	hammer	1481	HAMMER
258	hand/arm	2121	ARM OR HAND
259	handspan	3838	HANDSPAN
260	hang	2884	HANG
261	happy	1495	HAPPY
262	hard	1884	HARD
263	harvest	1827	HARVEST CROPS
264	hat	771	HAT
265	have	773	HAVE
266	head	1256	HEAD
267	head hair	2648	HAIR (HEAD)
268	headhunting
269	heart	1223	HEART
270	heavy	1210	HEAVY
271	heel	980	HEEL
272	helmeted hornbill
273	help	1897	HELP
274	here	136	HERE
275	heron	758	HERON
276	he/she	2642	HE OR SHE
277	hiccup	162	HICCOUGH
278	hide oneself	2485	HIDE (ONESELF)
279	hoarse
280	hold	1448	HOLD
281	hole	1667	HOLE
282	hook	1071	HOOK
283	horn	1393	HORN (ANATOMY)
284	hot	2272	HOT OR WARM
285	house	1252	HOUSE
286	house post	281	POST
287	how	1239	HOW
288	how many	822	HOW MANY
289	hundred	1634	HUNDRED
290	hungry	1533	BE HUNGRY
291	hunt with a dog
292	husband	1200	HUSBAND
293	husk	2363	CHAFF (HUSK)
294	i	1209	I
295	I	1209	I
296	if	1459	IF
297	index finger	577	FOREFINGER
298	in front	1883	IN FRONT OF
299	insect bat
300	inside	1606	INSIDE
301	insult	3204	INSULT
302	intestinal worms	3623	INTESTINAL WORM
303	intestines	1991	INTESTINES
304	ironwood
305	island	622	ISLAND
306	itchy	149	ITCHY
307	jealous	2821	JEALOUS
308	jump	1829	JUMP
309	kick	1135	KICK
310	kill	1417	KILL
311	kiss	578	KISS
312	knee	1371	KNEE
313	knife	1352	KNIFE
314	knuckle	2824	KNUCKLE
315	lake	624	LAKE
316	land	626	LAND
317	large fly
318	large mortar
319	large pestle
320	laugh	1355	LAUGH
321	lazy	1564	LAZY
322	leaf	628	LEAF
323	leak	2253	DRIP (EMIT LIQUID)
324	learn	504	LEARN
325	leave	1752	LEAVE
326	leech	2273	LEECH
327	left	244	LEFT
328	leg	1297	LEG
329	lend	582	LEND
330	leopard	1139	LEOPARD
331	lid	2319	LID (COVER, CAP)
332	lie down	215	LIE DOWN
333	lift, carry
334	light/bright
335	lightening	1654	LIGHTNING
336	light weight	1052	LIGHT (WEIGHT)
337	like	1117	LIKE
338	lime	982	LIME (FRUIT)
339	lips	478	LIP
340	listen, hear	3862	HEAR OR LISTEN
341	liver	1224	LIVER
342	lizard	632	LIZARD
343	loincloth	1965	LOINCLOTH
344	long	1203	LONG
345	loose	2506	LOOSE
346	lost	3667	LOST
347	loud	377	LOUD
348	louse	1392	LOUSE
349	lowland plain	652	PLAIN
350	make	734	MAKE
351	man	1554	MAN
352	mantis	3279	MANTIS
353	many	1198	MANY
354	married
355	mat	195	MAT
356	measure	1506	MEASURE
357	meet	1831	MEET
358	millipede
359	mist	249	FOG
360	mix	2017	MIX
361	molars
362	monitor
363	monkey	1350	MONKEY
364	moon	1313	MOON
365	morning	1339	MORNING
366	mosquito	1509	MOSQUITO
367	moss	637	MOSS
368	mother	1216	MOTHER
369	mother in law	1050	MOTHER-IN-LAW
370	mountain	639	MOUNTAIN
371	mouse deer
372	mouth	674	MOUTH
373	mud	640	MUD
374	mushroom	641	MUSHROOM
375	mute	1666	MUTE
376	naked	590	NAKED
377	name	1405	NAME
378	nape	1347	NAPE (OF NECK)
379	narrow	1267	NARROW
380	navel	1838	NAVEL
381	near	1942	NEAR
382	neck	1333	NECK
383	nest	539	NEST
384	new	1231	NEW
385	next to	2917	NEXT TO
386	niece; nephew	3890	NEPHEW OR NIECE
387	night	1233	NIGHT
388	nine	1483	NINE
389	nipple	796	NIPPLE
390	noon	12	MIDDAY
391	nose	1221	NOSE
392	now	1376	NOW
393	ocean	645	OCEAN
394	old	1229	OLD
395	older siblings	405	OLDER SIBLING
396	one	1493	ONE
397	only	1580	ONLY
398	on top	57	ATOP
399	open	1156	OPEN
400	or	1014	OR
401	otter	15	OTTER
402	overflow	3130	SPILL (SOMETHING)
403	Owl	735	OWL
404	paddle	234	PADDLE
405	painful	1129	PAINFUL
406	palate	540	PALATE
407	palm	1183	PALM OF HAND
408	pangolin	2508	PANGOLIN
409	parang	2680	MACHETE
410	peak/top	2205	PEAK
411	peel fruit
412	person	683	PERSON
413	pinch	378	PINCH
414	pinky	2774	LITTLE FINGER
415	pit viper
416	place, noun	723	PLACE (POSITION)
417	plant	653	PLANT (VEGETATION)
418	plate	480	PLATE
419	plateau
420	pluck	2148	PICK
421	point	2669	POINT (WITH FINGER)
422	pond	2035	POND
423	porcupine	2510	PORCUPINE
424	pound rice
425	pour	1487	POUR
426	pregnant	1123	PREGNANT
427	primary jungle
428	print
429	pull	1455	PULL
430	punch
431	punnish	3649	PUNISH
432	pus	1808	PUS
433	push	1452	PUSH
434	put down
435	python	1563	PYTHON
436	quiet	1314	QUIET
437	raft	1664	RAFT
438	rafter	829	RAFTER
439	rain	2108	RAINING OR RAIN
440	rainbow	1733	RAINBOW
441	rambutan
442	rapids	1670	RAPIDS
443	rat	1490	RAT
444	rattan	2497	RATTAN
445	raw	1959	RAW
446	receive	694	GET
447	red	156	RED
448	red leaf monkey
449	remember	707	REMEMBER
450	rest	168	REST
451	return	581	COME BACK
452	return home	142	RETURN HOME
453	rhinoceros beetle
454	rhinoceros hornbill
455	rice	926	RICE
456	rice grain
457	rice wine
458	right	1019	RIGHT
459	ripe	178	RIPE
460	river	666	RIVER
461	river mouth	1701	RIVER MOUTH
462	road	667	ROAD
463	roast	1962	ROAST (SOMETHING)
464	roll	827	ROLL
465	roof	769	ROOF
466	room	1450	ROOM
467	roots	670	ROOT
468	rope	1218	ROPE
469	rotten as meat	1728	ROTTEN
470	rub	1449	RUB
471	run	1519	RUN
472	sad	699	SAD
473	sago	2270	SAGO
474	saliva	1503	SALIVA
475	salty	1091	SALTY
476	same; similar
477	sand	671	SAND
478	sand fly	95	SANDFLY
479	sap	345	SAP
480	sape	2681	LUTE
481	say	1458	SAY
482	scabbard	3424	SHEATH
483	scale	266	SCALE
484	scar	497	SCAR
485	scold	299	SCOLD
486	scorpion	1538	SCORPION
487	scratch	1436	SCRATCH
488	secondary jungle
489	see	1409	SEE
490	seed	714	SEED
491	sell	1571	SELL
492	send	1127	SEND
493	seven	1704	SEVEN
494	sew	1457	SEW
495	shade	1388	SHADE
496	shadow	2275	SHADOW
497	shallow	193	SHALLOW
498	sharp	1396	SHARP
499	sharpen	251	SHARPEN (SOMETHING)
500	shield	1064	SHIELD
501	shin	186	SHIN
502	shoot a blowpipe
503	short	1645	SHORT
504	shoulder	1482	SHOULDER
505	shout	715	SHOUT
506	shrimp	2349	SHRIMP
507	shy	487	SHY
508	sick	1847	SICK
509	sit	1416	SIT
510	six	1703	SIX
511	skin	763	SKIN
512	skin an animal
513	skink
514	skinny	1400	THIN (SLIM)
515	skirt	1600	SKIRT
516	sky	1732	SKY
517	slap	3160	SLAP
518	sleep	1585	SLEEP
519	sleep talk
520	slice	2954	SLICE
521	slip	1324	SLIP
522	slow	701	SLOW
523	slow loris
524	small	1246	SMALL
525	smell, noun	3704	ODOR (SMELL)
526	smile	1451	SMILE
527	smoke (noun)	778	SMOKE (EXHAUST)
528	snail	1543	SNAIL
529	snake	730	SNAKE
530	snap	459	SNAP (OF STICK)
531	sneeze	1621	SNEEZE
532	snore	1983	SNORE
533	snot	208	NASAL MUCUS (SNOT)
534	soft	1856	SOFT
535	song/sing
536	son in law	1056	SON-IN-LAW
537	sour	1906	SOUR
538	speak	1623	SPEAK
539	spicy	544	SPICY
540	spider	843	SPIDER
541	spider hunter
542	spit	1440	SPIT
543	splash	365	SPLASH
544	split	1437	SPLIT
545	squeeze	1414	SQUEEZE
546	squirrel	1628	SQUIRREL
547	stab	1434	STAB
548	stairs	34	STAIRS
549	stand	1442	STAND
550	star	1430	STAR
551	stay; lodge
552	steal	713	STEAL
553	sticky	3703	STICKY
554	stomach	819	STOMACH
555	stone	857	STONE
556	stop	2115	CEASE OR FINISH
557	story	2060	STORY
558	straight	1404	STRAIGHT
559	strong	785	STRONG
560	stump	241	TREE STUMP
561	sugar cane	146	SUGAR CANE
562	sun hat
563	sunrise	2296	SUNRISE
564	sunset	2295	SUNSET
565	supernatural storm
566	surprised	1572	SURPRISED
567	swallow	897	SWALLOW
568	sweat	2458	PERSPIRE OR SWEAT
569	sweep	230	SWEEP
570	sweet	717	SWEET
571	sweet potato	159	SWEET POTATO
572	swim	1439	SWIM
573	swollen	1573	SWELL
574	tail	1220	TAIL
575	take	1749	TAKE
576	tall	711	TALL
577	tasteless	1771	TASTELESS
578	tattoo	68	TATTOO
579	tear	1651	TEAR (OF EYE)
580	tell	1711	TELL
581	ten	1515	TEN
582	termite	883	TERMITE
583	that, near	78	THAT
584	there, far	3411	OVER THERE
585	there, near	1937	THERE
586	they 	817	THEY
587	thick	1244	THICK
588	thigh	471	UPPER LEG (THIGH)
589	thin	2308	THIN
590	think	2271	THINK
591	thirsty	847	THIRSTY
592	this	1214	THIS
593	thorn	124	THORN
594	thousand	1843	THOUSAND
595	three	492	THREE
596	throw	1456	THROW
597	thumb	1781	THUMB
598	thunder	1150	THUNDER
599	tie	1917	TIE
600	tired	1757	TIRED
601	toad	894	TOAD
602	to clean	2235	CLEAN (SOMETHING)
603	today	1283	TODAY
604	to dry	2015	MAKE DRY
605	to lean	3619	LEAN
606	to lie	601	LIE (MISLEAD)
607	tomorrow	1329	TOMORROW
608	tongue	1205	TONGUE
609	tooth	1380	TOOTH
610	to sting	571	STING
611	touch	1892	TOUCH
612	tourtise	895	TORTOISE
613	to whistle	1025	WHISTLE
614	to wrap	1113	WRAP
615	tree	906	TREE
616	true/correct	1657	TRUE
617	try	1812	TRY
618	turn	1588	TURN
619	turtle	112	TURTLE
620	twenty	1710	TWENTY
621	twins	1005	TWINS
622	two	1498	TWO
623	uncle	1327	UNCLE
624	under	1485	BELOW OR UNDER
625	understand	1536	UNDERSTAND
626	unripe	1958	UNRIPE
627	unripe and dry
628	upriver
629	urinate	592	PISS
630	urine	1142	URINE
631	valley	921	VALLEY
632	vein	1924	VEIN
633	village	930	VILLAGE
634	voice	1363	VOICE
635	vomit	1278	VOMIT
636	waist	1681	WAIST
637	wait	1590	WAIT (FOR)
638	wake up	1602	WAKE UP
639	walk	1443	WALK
640	wall	3830	WALL
641	want	1784	WANT
642	wash clothes	2503	LAUNDER (WASH CLOTHES)
643	water	948	WATER
644	waterfall	943	WATERFALL
645	weak	1601	WEAK
646	weave	133	WEAVE
647	we pl exc	1130	WE (EXCLUSIVE)
648	we pl incl	1131	WE (INCLUSIVE)
649	western tarsier
650	wet	1726	WET
651	what	1236	WHAT
652	when	1238	WHEN
653	where	1237	WHERE
654	which	727	WHICH
655	whirlpool	1982	WHIRLPOOL
656	white	1335	WHITE
657	who	1235	WHO
658	why	1270	WHY
659	wide	1243	WIDE
660	widow	1756	WIDOW
661	widower	1981	WIDOWER
662	wife	1199	WIFE
663	wind	960	WIND
664	wing	1257	WING
665	wipe	1454	WIPE
666	with	1340	WITH
667	woman	962	WOMAN
668	wood pecker	2447	WOODPECKER
669	worm	1219	WORM
670	wring	3224	WRING
671	yam	410	YAM
672	yawn	1028	YAWN
673	year	1226	YEAR
674	yellow brown monkey
675	yellow ringed cat snake
676	yesterday	1174	YESTERDAY
677	you	1215	THOU
678	young	1207	YOUNG
679	younger siblings	427	YOUNGER SIBLING
680	you plural	1213	YOU
