ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-12	12	BIRD	1.9684829486	1.4552928172	2.0470411034	1.3032765569	1.5952512038	2.089127629	2.3031960574	1.2751833385	1.2859065642	2.1673173347	1.558948446	1.7160033436	1.9553028228	1.561472417	2.0301947854	2.5289167003	3.1872121584	937	BIRD
Calude-2011-200-13	13	TO BITE	1.3424226808	1.2393730946	1.1271047984	0.6057250442	0.392110465		0.6989700043	0.7336430154	0.5343322083	1.6334684556	0.8494194138	1.4913616938	0.9258275746	0.887116961	0.4771212547	1.6989700043	2.773151468	1403	BITE
Calude-2011-200-14	14	BLACK	2.4216039269	2.16180824	2.441475184	2.1005750659	2.0332449967	1.5177235948	2.0845762779	2.0413926852	1.769653074	2.559906625	2.2221179288	1.9057958804	1.2352758767	2.2754188589	2.4805817868	1.414973348	1.8955430156	163	BLACK
Calude-2011-200-15	15	BLOOD	2.0086001718	1.9777236053	2.4070678256	1.8721305958	2.2767170463	1.3416323358	2.372912003	1.7175225699	1.1651639422	2.1931245984	2.1512778939	2.0845762779	2.197252983	1.9283730899	2.2709116394	1.8692317197	2.5401553576	946	BLOOD
Calude-2011-200-16	16	TO BLOW (WIND)	1.7075701761	0.9456423377	1.3998467127	0.864653688	1.2276010785	1.4616485681	1.6532125138	0.536838904	0.8323773504	1.8864907252	0.8926510339	1.7558748557	0.9708116109	0.6767951871	0.9444826722	1.6127838567	2.3552901742	175	BLOW (OF WIND)
Calude-2011-200-17	17	BONE	1.6720978579	1.4203441183	1.900640184	1.4832966873	1.7306028522	1.6620018794	1.848189117	1.2224852482	0.4418613598	1.3802112417	1.5582284218	0.9777236053	1.8695837077	1.4296087472	1.8739015979	1.8808135923	2.5867805697	1394	BONE
Calude-2011-200-18	18	TO BREATHE	1.5440680444	1.5273265696	1.9516774373	0.860735215	1.591064607	1.8968567727	1.2900346114	1.161035082	0.8988960528	1.7403626895	1.2878017299	1.648360011	1.5737995822	1.0786179065	1.5365584426	4.5463328683	1.1769774552	1407	BREATHE
Calude-2011-200-19	19	TO BURN (INTRANSITIVE)	1.7242758696	1.5254259343	1.2559957267	1.8086632725	1.7652545072	1.9436923271	1.8721562727	1.4700182629	1.760207715	2.123851641	1.1367205672	0	1.5243961221	1.7630784206	2.2455126678	2.2900346114	3.1547010605	1428	BURNING
Calude-2011-200-20	20	CHILD (YOUNG)	2.8512583487	2.8668083883	2.7458629921	2.6996983836	2.2907763613	2.8174331441	3.268343914	2.6335021205	1.9024789386	3.1075491297	2.4688345304	3.3666097104	2.9617816698	2.7342307061	2.840607879	3.2367890994	3.7560571708	1304	CHILD (YOUNG HUMAN)
Calude-2011-200-21	21	CLOUD	1.5682017241	1.2945958857	1.6582022534	1.3456583768	1.3419837778	1.7152510289	1.6720978579	1.0389290956	0.5848232005	1.748188027	1.27989498	1.8195439355	1.5446880223	1.357426603	1.7435097647	1.6334684556	2.3158871339	1489	CLOUD
