ID	NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
Gerardi-2021-414-28	28	BE WRONG	ERRAR / ESTAR ERRADO	EMOTIONS_AND_VALUES	1390	WRONG	
Gerardi-2021-414-29	29	BEANS	FEIJÃO	FOOD_AND_DRINK	832	BEAN	4277
Gerardi-2021-414-30	30	BEARD	BARBA	BODY	678	BEARD	
Gerardi-2021-414-31	31	BEAUTIFUL	BONITO	EMOTIONS_AND_VALUES	1427	BEAUTIFUL	
Gerardi-2021-414-32	32	BEE	ABELHA	ANIMALS	665	BEE	
Gerardi-2021-414-33	33	BELLY	UMBIGO	BODY	1251	BELLY	
Gerardi-2021-414-34	34	BELLYBUTTON	UMBIGO	BODY	3715	BELLYBUTTON	
Gerardi-2021-414-35	35	BELOW	EM BAIXO DE / ABAIXO	SPATIAL_RELATIONS	1485	BELOW OR UNDER	
Gerardi-2021-414-36	36	BENCH	BANCO	BASIC_ACTIONS_AND_TECHNOLOGY	2584	BENCH	
Gerardi-2021-414-37	37	BIG	GRANDE	SPATIAL_RELATIONS	1202	BIG	
Gerardi-2021-414-38	38	BIRD	PÁSSARO	ANIMALS	937	BIRD	
Gerardi-2021-414-39	39	BITE	MORDER	BODY	1403	BITE	
Gerardi-2021-414-40	40	BLACK	PRETO	SENSE_PERCEPTION	163	BLACK	
Gerardi-2021-414-41	41	BLOOD	SANGUE	BODY	946	BLOOD	
Gerardi-2021-414-42	42	BLOW	SOPRAR	MOTION	176	BLOW (WITH MOUTH)	
Gerardi-2021-414-43	43	BLUE	AZUL	SENSE_PERCEPTION	837	BLUE	
Gerardi-2021-414-44	44	BODY	CORPO	BODY	1480	BODY	
Gerardi-2021-414-45	45	BONE	OSSO	BODY	1394	BONE	
Gerardi-2021-414-46	46	BOW	ARCO	WARFARE_AND_HUNTING	994	BOW	
Gerardi-2021-414-47	47	BOY	MENINO	KINSHIP	1366	BOY	
Gerardi-2021-414-48	48	BRANCH	GALHO	AGRICULTURE_AND_VEGETATION	1531	BRANCH	
Gerardi-2021-414-49	49	BRAZIL NUT	CASTANHA DO PARÁ	FOOD_AND_DRINK	3928	BRAZIL NUT	321258
Gerardi-2021-414-50	50	BREAK	QUEBRAR / ROMPER	BASIC_ACTIONS_AND_TECHNOLOGY	3020	BREAK (BREAKING)	
Gerardi-2021-414-51	51	BREAST	SEIO	BODY	1402	BREAST	
Gerardi-2021-414-52	52	BREATHE	RESPIRAR	BODY	1407	BREATHE	
Gerardi-2021-414-53	53	BROTHER	IRMÃO	KINSHIP	1262	BROTHER	
Gerardi-2021-414-54	54	BROTHER, younger of man	IRMÃO	KINSHIP			
Gerardi-2021-414-55	55	BROTHER, older of man	IRMÃO	KINSHIP			
Gerardi-2021-414-56	56	BROTHER, younger of woman	IRMÃO	KINSHIP			
Gerardi-2021-414-57	57	BROTHER, older of woman	IRMÃO	KINSHIP			
Gerardi-2021-414-58	58	BURN (intr)	QUEIMAR	PHYSICAL_WORLD	1428	BURNING	
Gerardi-2021-414-59	59	BURN (tr)	QUEIMAR	PHYSICAL_WORLD	141	BURN (SOMETHING)	
Gerardi-2021-414-60	60	BURY	ENTERRAR	BODY	1719	BURY	
Gerardi-2021-414-61	61	BUTTOCKS	NÁDEGAS	BODY	834	BUTTOCKS	
Gerardi-2021-414-62	62	SLASH / GARDEN	ROÇA	AGRICULTURE_AND_VEGETATION	201	FARM	
Gerardi-2021-414-63	63	BUTTERFLY	BORBOLETA	ANIMALS	1791	BUTTERFLY	854
Gerardi-2021-414-64	64	CALABASH / GOURD	CABAÇA, CUIA	AGRICULTURE_AND_VEGETATION	411	GOURD	578228
Gerardi-2021-414-65	65	CANOE	CANOA	MOTION	1970	CANOE	
Gerardi-2021-414-66	66	CAPUCHIN MONKEY	MACACO PREGO	ANIMALS			28561340
Gerardi-2021-414-67	67	CAPYBARA	CAPIVARA	ANIMALS	314	CAPYBARA	326517
Gerardi-2021-414-68	68	CARÁ ROOT / YAM	INHAME	AGRICULTURE_AND_VEGETATION	410	YAM	8214
Gerardi-2021-414-69	69	(Brazilian) CEDAR	ACAIACÁ / CEDRO-BATATA	AGRICULTURE_AND_VEGETATION			6953697
Gerardi-2021-414-70	70	CENTIPEDE	CENTOPEIA / LACRAIA	ANIMALS	1974	CENTIPEDE	576
Gerardi-2021-414-71	71	CHICHA	CHICHA	FOOD_AND_DRINK	441	CHICHA	
Gerardi-2021-414-72	72	CHIEF / MASTER / OWNER	CHEFE / CACIQUE	SOCIAL_AND_POLITICAL_RELATIONS	2394	CHIEF	
Gerardi-2021-414-73	73	CASHEW	CAJU	FOOD_AND_DRINK	2441	CASHEW	71147
Gerardi-2021-414-74	74	CHILD	CRIANÇA	KINSHIP	2099	CHILD	
Gerardi-2021-414-75	75	CICADA	CIGARRA	ANIMALS	2353	CICADA	2645413
Gerardi-2021-414-76	76	CLAW	GARRA	BODY	72	CLAW	
Gerardi-2021-414-77	77	MUD	BARRO / ARGILA	BASIC_ACTIONS_AND_TECHNOLOGY / THE_PHYSICAL_WORLD	640	MUD	
Gerardi-2021-414-78	78	CLOUD	NUVEM	PHYSICAL_WORLD	1489	CLOUD	
Gerardi-2021-414-79	79	COATI	QUATI	ANIMALS	2389	COATI (COATIMUNDI)	328601
Gerardi-2021-414-80	80	COCKROACH	BARATA	ANIMALS	1575	COCKROACH	413
Gerardi-2021-414-81	81	COCOA	CACAU	AGRICULTURE_AND_VEGETATION	2442	COCOA BEAN	484592
Gerardi-2021-414-82	82	COLD	FRIO	SENSE_PERCEPTION	1287	COLD	
Gerardi-2021-414-83	83	COME	VIR	MOTION	1446	COME	
Gerardi-2021-414-84	84	COMB	PENTE	CLOTHING_AND_GROOMING	1475	COMB	
Gerardi-2021-414-85	85	CORN / MAIZE	MILHO	AGRICULTURE_AND_VEGETATION	506	MAIZE	1115259
Gerardi-2021-414-86	86	COTTON	ALGODÃO	CLOTHING_AND_GROOMING	1850	COTTON	47124114
Gerardi-2021-414-87	87	CRAB	CARANGUEIJO	ANIMALS	2348	CRAB	
Gerardi-2021-414-88	88	CRICKET (zool)	GRILO	ANIMALS	2354	CRICKET	996
Gerardi-2021-414-89	89	CRY	CHORAR	EMOTIONS_AND_VALUES	1839	CRY	
Gerardi-2021-414-90	90	CURASSOW	MUTUM	ANIMALS	315	CURASSOW	45512062
Gerardi-2021-414-91	91	CUT	CORTAR	BASIC_ACTIONS_AND_TECHNOLOGY	1432	CUT	
Gerardi-2021-414-92	92	DANCE	DANÇAR	MOTION	1879	DANCE	
Gerardi-2021-414-93	93	DAUGHTER OF WOMAN	FILHA DE MULHER	KINSHIP	1357	DAUGHTER	
Gerardi-2021-414-94	94	DAUGHTER OF MAN	FILHA DE HOMEM	KINSHIP	1357	DAUGHTER	
Gerardi-2021-414-95	95	DAY	DIA	TIME	1260	DAY (24 HOURS)	
Gerardi-2021-414-96	96	DEER	VEADO	ANIMALS	1936	DEER	
Gerardi-2021-414-97	97	DEFECATE	DEFECAR	BODY	676	SHIT (DEFECATE)	
Gerardi-2021-414-98	98	DIE	MORRER	BODY	1494	DIE	
Gerardi-2021-414-99	99	DIG	CAVAR	AGRICULTURE_AND_VEGETATION	1418	DIG	
Gerardi-2021-414-100	100	DIGGING STICK	VARA DE ESCAVAÇÃO	AGRICULTURE_AND_VEGETATION	339	DIGGING STICK	
Gerardi-2021-414-101	101	DIRTY	SUJO	SENSE_PERCEPTION	1230	DIRTY	
Gerardi-2021-414-102	102	DO / MAKE	FAZER	BASIC_ACTIONS_AND_TECHNOLOGY	2575	DO OR MAKE	
Gerardi-2021-414-103	103	DOG	CACHORRO / CÃO	ANIMALS	2009	DOG	
Gerardi-2021-414-104	104	DOOR	PORTA	THE_HOUSE	1567	DOOR	
Gerardi-2021-414-105	105	DRAW / PAINT	PINTAR / DESENHAR	BASIC_ACTIONS_AND_TECHNOLOGY	3122	PAINT (SOMETHING)	
Gerardi-2021-414-106	106	DREAM	SONHO / SONHAR	BODY	2374	DREAM	
Gerardi-2021-414-107	107	DREAM (verb)	SONHAR	BODY	1920	DREAM (SOMETHING)	
Gerardi-2021-414-108	108	DRESS UP	VESTIR (-SE)	CLOTHING_AND_GROOMING	814	DRESS UP	
Gerardi-2021-414-109	109	DRINK (v)	BEBER	FOOD_AND_DRINK	1401	DRINK	
Gerardi-2021-414-110	110	DRY	SECAR	BASIC_ACTIONS_AND_TECHNOLOGY	1786	DRY UP	
Gerardi-2021-414-111	111	DRY (state)	SECO	SENSEÏ_PERCEPTION	1398	DRY	
Gerardi-2021-414-112	112	EARTH / LAND	TERRA / PAÍS	PHYSICAL_WORLD	3603	EARTH OR LAND	
Gerardi-2021-414-113	113	EAR	ORELHA	BODY	1247	EAR	
Gerardi-2021-414-114	114	EAT (intr.)	COMER	FOOD_AND_DRINK	1336	EAT	
Gerardi-2021-414-115	115	EAT (tr.)	COMER	FOOD_AND_DRINK	1336	EAT	
Gerardi-2021-414-116	116	EGG	OVO	FOOD_AND_DRINK	744	EGG	
Gerardi-2021-414-117	117	CECROPIA	EMBAÚBA / IMBAÚBA	AGRICULTURE_AND_VEGETATION			61334
Gerardi-2021-414-118	118	ELECTRIC EEL	ENGUIA / PEIXE ELÉTRICO / PORAQUÊ	ANIMALS	2443	ELECTRIC EEL	206595
Gerardi-2021-414-119	119	ENTER	ENTRAR	MOTION	749	ENTER	
Gerardi-2021-414-120	120	EYE	OLHO	BODY	1248	EYE	
Gerardi-2021-414-121	121	FACE	CARA / ROSTO / FACE	BODY	1560	FACE	
Gerardi-2021-414-122	122	FALL	CAIR	MOTION	1280	FALL	
Gerardi-2021-414-123	123	FAR	LONGE	SPATIAL_RELATIONS	1406	FAR	
Gerardi-2021-414-124	124	FAT / GREASE	GORDURA / BANHA	FOOD_AND_DRINK	1282	FAT (FROM ANIMALS)	
Gerardi-2021-414-125	125	FATHER	PAI	KINSHIP	1217	FATHER	
Gerardi-2021-414-126	126	FEAR / BE AFRAID	TEMER / TER MEDO	EMOTIONS_AND_VALUES	1419	FEAR (BE AFRAID)	
Gerardi-2021-414-127	127	FEATHER	PENA / PLUMA	BODY	1201	FEATHER	
Gerardi-2021-414-128	128	FINGER	DEDO	BODY	1303	FINGER	
Gerardi-2021-414-129	129	FIRE	FOGO	PHYSICAL_WORLD	221	FIRE	
Gerardi-2021-414-130	130	FIREFLY / GLOWWORM	VAGALUME / PIRILAMPO	ANIMALS	206	FIREFLY	7487
Gerardi-2021-414-131	131	FIREWOOD	LENHA	PHYSICAL_WORLD	10	FIREWOOD	
Gerardi-2021-414-132	132	FISH	PEIXE	ANIMALS	227	FISH	
Gerardi-2021-414-133	133	FISHHOOK	ANZOL	WARFARE_AND_HUNTING	1074	FISHHOOK	
Gerardi-2021-414-134	134	FLAT	PLANO / LISO	SPATIAL_RELATIONS	1633	FLAT	
Gerardi-2021-414-135	135	FLEA / CHIGGER	PULGA	ANIMALS	232	FLEA	3197988
Gerardi-2021-414-136	136	FLESH / MEAT	CARNE	FOOD_AND_DRINK	2615	FLESH OR MEAT	
Gerardi-2021-414-137	137	FLOUR	FARINHA	FOOD_AND_DRINK	1594	FLOUR	
Gerardi-2021-414-138	138	FLOWER	FLOR	AGRICULTURE_AND_VEGETATION	239	FLOWER	
Gerardi-2021-414-139	139	FLY	VOAR	MOTION	1441	FLY (MOVE THROUGH AIR)	
Gerardi-2021-414-140	140	FLY (insect)	MOSCA	ANIMALS	1504	FLY (INSECT)	421
Gerardi-2021-414-141	141	FOOD	COMIDA	FOOD_AND_DRINK	256	FOOD	
Gerardi-2021-414-142	142	FOOT	PÉ	BODY	1301	FOOT	
Gerardi-2021-414-143	143	FORGET	ESQUECER	COGNITION	1523	FORGET	
Gerardi-2021-414-144	144	FOUR	QUATRO	QUANTITY	1500	FOUR	
Gerardi-2021-414-145	145	FROG / TOAD	SAPO	ANIMALS	503	FROG	1553
Gerardi-2021-414-146	146	FRUIT	FRUTA	FOOD_AND_DRINK	1507	FRUIT	
Gerardi-2021-414-147	147	FULL	CHEIO	QUANTITY	1429	FULL	
Gerardi-2021-414-148	148	GATHER	(A)JUNTAR / RECOLHER	SPATIAL_RELATIONS	7	GATHER	
Gerardi-2021-414-149	149	GENIPA	JENIPAPO / GENIPA	AGRICULTURE_AND_VEGETATION			23769802
Gerardi-2021-414-150	150	GIRL	MENINA	KINSHIP	1646	GIRL	
Gerardi-2021-414-151	151	GIVE	DAR	POSSESSION	1447	GIVE	
Gerardi-2021-414-152	152	GNAT / PIUM	PERNILONGO / MURIÇOCA / MOSQUITO	ANIMALS			49316918
Gerardi-2021-414-153	153	GO	IR	MOTION	695	GO	
Gerardi-2021-414-154	154	GO UP	SUBIR	MOTION	705	GO UP (ASCEND)	
Gerardi-2021-414-155	155	GOOD / WELL	BOM / BEM	EMOTIONS_AND_VALUES	1035	GOOD	
Gerardi-2021-414-156	156	GRANDFATHER	AVÔ	KINSHIP	1383	GRANDFATHER	
Gerardi-2021-414-157	157	GRASS	GRAMA	AGRICULTURE_AND_VEGETATION	606	GRASS	
Gerardi-2021-414-158	158	GREEN	VERDE	SENSE_PERCEPTION	1425	GREEN	
Gerardi-2021-414-159	159	GROW	CRESCER	SPATIAL_RELATIONS	479	GROW	
Gerardi-2021-414-160	160	GREEN IGUANA	CAMALEÃO	ANIMALS	1578	IGUANA	793235
Gerardi-2021-414-161	161	GUAN / JACU	JACÚ	ANIMALS	437	GUAN	45508953
Gerardi-2021-414-162	162	HAIR	CABELO	BODY	2648	HAIR (HEAD)	
Gerardi-2021-414-163	163	HAMMOCK	REDE	HOUSE	2019	HAMMOCK	
Gerardi-2021-414-164	164	HAND	MÃO	BODY	1277	HAND	
Gerardi-2021-414-165	165	HAPPY	FELIZ / CONTENTE	EMOTIONS_AND_VALUES	1495	HAPPY	
Gerardi-2021-414-166	166	HAWK	GAVIÃO	ANIMALS	307	HAWK	
Gerardi-2021-414-167	167	HEAD	CABEÇA	BODY	1256	HEAD	
Gerardi-2021-414-168	168	HEAL	CURAR / SARAR	BODY	499	CURE	
Gerardi-2021-414-169	169	HEAR	ESCUTAR / OUVIR	SENSE_PERCEPTION	1408	HEAR	
Gerardi-2021-414-170	170	HEART	CORAÇÃO	BODY	1223	HEART	
Gerardi-2021-414-171	171	HEAVY	PESADO	SENSE_PERCEPTION	1210	HEAVY	
Gerardi-2021-414-172	172	HEDGEHOG	OURIÇO / PORCO-ESPINHO	ANIMALS	1797	HEDGEHOG	327162
Gerardi-2021-414-173	173	HELP	AJUDAR	SOCIAL_AND_POLITICAL_RELATIONS	1897	HELP	
Gerardi-2021-414-174	174	HEN / CHICKEN	GALINHA	ANIMALS	1318	CHICKEN	49953003
Gerardi-2021-414-175	175	HERE	AQUI	MISCELLANEOUS_FUNCTION_WORDS	136	HERE	
Gerardi-2021-414-176	176	HIDE	ESCONDER	SPATIAL_RELATIONS	2486	HIDE	
Gerardi-2021-414-177	177	HIT	BATER	BASIC_ACTIONS_AND_TECHNOLOGY	1433	HIT	
Gerardi-2021-414-178	178	HOLE	BURACO	SPATIAL_RELATIONS	1667	HOLE	
Gerardi-2021-414-179	179	HONEY	MEL	FOOD_AND_DRINK	942	HONEY	
Gerardi-2021-414-180	180	HORN	CHIFRE	BODY	1393	HORN (ANATOMY)	
Gerardi-2021-414-181	181	HOT	QUENTE	SENSE_PERCEPTION	1286	HOT	
Gerardi-2021-414-182	182	HOUSE	CASA	HOUSE	1252	HOUSE	
Gerardi-2021-414-183	183	HOWLER MONKEY	(MACACO)BUGIO / GUARIBA	ANIMALS	433	HOWLER MONKEY	41553
Gerardi-2021-414-184	184	HUMMINGBIRD	BEIJA-FLOR / COLIBRI	ANIMALS	1589	HUMMINGBIRD	8021
Gerardi-2021-414-185	185	HUNT	CAÇAR	WARFARE_AND_HUNTING	1435	HUNT	
Gerardi-2021-414-186	186	HUSBAND	MARIDO	KINSHIP	1200	HUSBAND	
Gerardi-2021-414-187	187	I	EU	MISCELLANEOUS_FUNCTION_WORDS	1209	I	
Gerardi-2021-414-188	188	INGA	INGÁ	FOOD_AND_DRINK			47114559
Gerardi-2021-414-189	189	INSIDE	DENTRO (DE)	FUNCTION_WORD	1606	INSIDE	
Gerardi-2021-414-190	190	JACARÉ / CAIMAN / CROCODILE	JACARÉ	ANIMALS	1857	CROCODILE	2820255
Gerardi-2021-414-191	191	JAGUAR	ONÇA	ANIMALS	1250	JAGUAR	328606
Gerardi-2021-414-192	192	JUMP	SALTAR	MOTION	1829	JUMP	
Gerardi-2021-414-193	193	KILL	MATAR	BODY	1417	KILL	
Gerardi-2021-414-194	194	KING FISHER	GUARDA-RIOS / MARTIM-PESCADOR	ANIMALS			7975
Gerardi-2021-414-195	195	KNEE	JOELHO	BODY	1371	KNEE	
Gerardi-2021-414-196	196	KNIFE	FACA	BASIC_ACTIONS_AND_TECHNOLOGY	1352	KNIFE	
Gerardi-2021-414-197	197	KNOW	SABER	COGNITION	3626	KNOW	
Gerardi-2021-414-198	198	LAKE	LAGO / LAGOA	PHYSICAL_WORLD	624	LAKE	
Gerardi-2021-414-199	199	LARGE ANT / BULLET ANT	TOCANDIRA / TUCANDEIRA	ANIMALS			403327
Gerardi-2021-414-200	200	LARGE MANDI FISH	BAGRE / MANDI / SURUBIM-BAGRE	ANIMALS			46582210
Gerardi-2021-414-201	201	LAUGH	RIR	EMOTIONS_AND_VALUES	1355	LAUGH	
Gerardi-2021-414-202	202	LEAF	FOLHA	AGRICULTURE_AND_VEGETATION	628	LEAF	
Gerardi-2021-414-203	203	LEARN	APRENDER	COGNITION	504	LEARN	
Gerardi-2021-414-204	204	LEAVE / GO OUT	SAIR	MOTION	1752	LEAVE	
Gerardi-2021-414-205	205	LEG	PERNA	BODY	1297	LEG	
Gerardi-2021-414-206	206	LIE (down)	DEITAR (-SE)	SPATIAL_RELATIONS	1411	LIE (REST)	
Gerardi-2021-414-207	207	LIVER	FÍGADO	BODY	1224	LIVER	
Gerardi-2021-414-208	208	LIZARD	LAGARTO / CALANGO	ANIMALS	632	LIZARD	
Gerardi-2021-414-209	209	LONG	COMPRIDO / LONGO / ALTO	SPATIAL_RELATIONS	1203	LONG	
Gerardi-2021-414-210	210	LOOK AT	OLHAR	SENSE_PERCEPTION	1819	LOOK	
Gerardi-2021-414-211	211	GETLOST / LOOSEoneS	PERDER-SE	SENSE_PERCEPTION	423	GET LOST	
Gerardi-2021-414-212	212	LOUSE	PIOLHO	ANIMALS	1392	LOUSE	1002
Gerardi-2021-414-213	213	MACAW	ARARA	ANIMALS	1630	MACAW	1177964
Gerardi-2021-414-214	214	MAGGOT / LARVA	LARVA	ANIMALS	2640	LARVA	
Gerardi-2021-414-215	215	MAN	HOMEM	KINSHIP	1554	MAN	
Gerardi-2021-414-216	216	MANIOC	MADIOCA / MACAXEIRA / AIPIM	AGRICULTURE_AND_VEGETATION	927	MANIOC	1154718
Gerardi-2021-414-217	217	MANY	MUITOS	QUANTITY	1198	MANY	
Gerardi-2021-414-218	218	MEDICINE	REMÉDIO	BODY	1372	MEDICINE	
Gerardi-2021-414-219	219	MILK	LEITE	FOOD_AND_DRINK	635	MILK	
Gerardi-2021-414-220	220	MONKEY	MACACO	ANIMALS	1350	MONKEY	
Gerardi-2021-414-221	221	MOON	LUA	PHYSICAL_WORLD	1313	MOON	
Gerardi-2021-414-222	222	MORNING	MANHÃ	TIME	1339	MORNING	
Gerardi-2021-414-223	223	MOUNTAIN	MONTANHA / MONTE / MORRO	PHYSICAL_WORLD	639	MOUNTAIN	
Gerardi-2021-414-224	224	MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ	ANIMALS	1509	MOSQUITO	473
Gerardi-2021-414-225	225	MOTHER	MOTHER	KINSHIP	1216	MOTHER	
Gerardi-2021-414-226	226	MOTHER-IN-LAW (of man)	SOGRA (DE HOMEM)	KINSHIP	2257	MOTHER-IN-LAW (OF MAN)	
Gerardi-2021-414-227	227	MOTHER-IN-LAW (of woman)	SOGRA (DE MULHER)	KINSHIP	2256	MOTHER-IN-LAW (OF WOMAN)	
Gerardi-2021-414-228	228	MOLD	MOFO	PHYSICAL_WORLD	3251	MOLD (GET ROTTEN)	
Gerardi-2021-414-229	229	MOUSTACHE	BIGODE	BODY	1165	MOUSTACHE	
Gerardi-2021-414-230	230	MOUTH	BOCA	BODY	674	MOUTH	
Gerardi-2021-414-231	231	NAIL / CLAW	UNHA / GARRA	BODY	2128	CLAW OR NAIL	
Gerardi-2021-414-232	232	NAME	NOME	SPEECH_AND_LANGUAGE	1405	NAME	
Gerardi-2021-414-233	233	NECK	PESCOÇO	BODY	1333	NECK	
Gerardi-2021-414-234	234	NEST	NINHO	ANIMALS	539	NEST	
Gerardi-2021-414-235	235	NEW	NOVO	TIME	1231	NEW	
Gerardi-2021-414-236	236	NIGHT	NOITE	TIME	1233	NIGHT	
Gerardi-2021-414-237	237	NOSE	NARIZ	BODY	1221	NOSE	
Gerardi-2021-414-238	238	NOW	AGORA	TIME	1376	NOW	
Gerardi-2021-414-239	239	OAR	REMO	MOTION	3137	OAR	
Gerardi-2021-414-240	240	OLD (adj)	VELHO	TIME	1229	OLD	
Gerardi-2021-414-241	241	ONE	UM	QUANTITY	1493	ONE	
Gerardi-2021-414-242	242	OPEN	ABRIR	SPATIAL_RELATIONS	1156	OPEN	
Gerardi-2021-414-243	243	OPOSSUM / SKUNK	GAMBÁ	ANIMALS	309	OPOSSUM	328504
Gerardi-2021-414-244	244	OTHER	OUTRO / ALGUM	MISCELLANEOUS_FUNCTION_WORDS	197	OTHER	
Gerardi-2021-414-245	245	OWL	CORUJA	ANIMALS	735	OWL	696
Gerardi-2021-414-246	246	PACA	PACA	ANIMALS	316	PACA	326582
Gerardi-2021-414-247	247	PACU FISH	PACU	ANIMALS			215393
Gerardi-2021-414-248	248	PAIN	DOR / MACHUCADO	EMOTIONS_AND_VALUES	1783	PAIN	
Gerardi-2021-414-249	249	PAN	PANELA	FOOD_AND_DRINK	31	PAN	
Gerardi-2021-414-250	250	PAPAYA	MAMÃO	AGRICULTURE_AND_VEGETATION	2445	PAPAYA	585682
Gerardi-2021-414-251	251	PARROT	PAPAGAIO	ANIMALS	882	PARROT	1591
Gerardi-2021-414-252	252	PATH / WAY	CAMINHO	MOTION	2252	PATH	
Gerardi-2021-414-253	253	PEACH PALM	PUPUNHA	AGRICULTURE_AND_VEGETATION			1130861
Gerardi-2021-414-254	254	PEANUT	AMENDOIM	AGRICULTURE_AND_VEGETATION	595	GROUNDNUT (PEANUT)	641309
Gerardi-2021-414-255	255	PECCARY (collared)	PORCO DO MATO / CAITITU / CAITETU	ANIMALS	435	COLLARED PECCARY	1037712
Gerardi-2021-414-256	256	PECCARY (white-lipped)	QUEIXADA	ANIMALS	436	WHITE-LIPPED PECCARY	357663
Gerardi-2021-414-257	257	PENIS	PÊNIS	BODY	1222	PENIS	
Gerardi-2021-414-258	258	PEPPER	PIMENTA	FOOD_AND_DRINK	1385	PEPPER	
Gerardi-2021-414-259	259	PERSON / HB / SOMEONE	PESSOA / SERHUMANO / ALGUÉM	KINSHIP	683	PERSON	
Gerardi-2021-414-260	260	PESTLE	PILÃO	FOOD_AND_DRINK	225	PESTLE	
Gerardi-2021-414-261	261	PESTLE (verb)	PILAR	BASIC_ACTIONS_AND_TECHNOLOGY			
Gerardi-2021-414-262	262	PIERCE	FURAR / ESPETAR	BASIC_ACTIONS_AND_TECHNOLOGY	398	PIERCE	
Gerardi-2021-414-263	263	PINEAPPLE	ABACAXI	FOOD_AND_DRINK	2440	PINEAPPLE	1126520
Gerardi-2021-414-264	264	PIRANHA	PIRANHA	ANIMALS	317	PIRANHA	
Gerardi-2021-414-265	265	PLAY	BRINCAR	EMOTIONS_AND_VALUES	1413	PLAY	
Gerardi-2021-414-266	266	PLAY (2) (CAUSE TO JUMP)	BRINCAR (2)	EMOTIONS_AND_VALUES			
Gerardi-2021-414-267	267	PORRIDGE	MINGAU	FOOD_AND_DRINK	3651	MUSH (FOOD)	
Gerardi-2021-414-268	268	PUMPKIN	ABÓBORA / MORANGA / JERIMUN	FOOD_AND_DRINK	864	PUMPKIN	
Gerardi-2021-414-269	269	PUT	PÔR / COLOCAR	SPATIAL_RELATIONS	998	PUT	
Gerardi-2021-414-270	270	RAIN	CHUVA	PHYSICAL_WORLD	658	RAIN (PRECIPITATION)	
Gerardi-2021-414-271	271	RAT	RATO	ANIMALS	1490	RAT	
Gerardi-2021-414-272	272	RAW	CRU	FOOD_AND_DRINK	1959	RAW	
Gerardi-2021-414-273	273	RED	VERMELHO	SENSE_PERCEPTION	156	RED	
Gerardi-2021-414-274	274	REMEMBER	LEMBRAR (-SE)	COGNITION	707	REMEMBER	
Gerardi-2021-414-275	275	RESIN	RESINA	THE_PHYSICAL_WORLD	664	RESIN	
