ID	NUMBER	SWADESH_ID	ENGLISH_1	RUSSIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mennecier-2016-183-49	49	90	heart	сердце	heart	1223	HEART
Mennecier-2016-183-50	50	31	heavy	тяжёлый	heavy	1210	HEAVY
Mennecier-2016-183-51	51	68	horn	рог	horn	1393	HORN (ANATOMY)
Mennecier-2016-183-52	52	15	how	как	how ?	1239	HOW
Mennecier-2016-183-53	53	41	husband	муж	husband	1200	HUSBAND
Mennecier-2016-183-54	54	1	I	я	I	1209	I
Mennecier-2016-183-55	55	165	ice	лёд	ice	617	ICE
Mennecier-2016-183-56	56	82	knee	колено	knee	1371	KNEE
Mennecier-2016-183-57	57	153	lake	озеро	lake	624	LAKE
Mennecier-2016-183-58	58	56	leaf	лист	leaf	628	LEAF
Mennecier-2016-183-59	59	200	left	левый	left	244	LEFT
Mennecier-2016-183-60	60	81	leg	нога	leg	1297	LEG
Mennecier-2016-183-61	61	91	liver	печень	liver	1224	LIVER
Mennecier-2016-183-62	62	28	long	длинный, долгий	long	1203	LONG
Mennecier-2016-183-63	63	48	louse	вошь	louse	1392	LOUSE
Mennecier-2016-183-64	64	37	man	мужчина	man	1554	MAN
Mennecier-2016-183-65	65	63	meat	мясо	meat	634	MEAT
Mennecier-2016-183-66	66	148	moon	луна	moon	1313	MOON
Mennecier-2016-183-67	67	42	mother	мать	mother	1216	MOTHER
Mennecier-2016-183-68	68	171	mountain	гора	mountain	639	MOUNTAIN
Mennecier-2016-183-69	69	76	mouth	рот	mouth	674	MOUTH
Mennecier-2016-183-70	70	79	fingernail	ноготь	nail	1896	FINGERNAIL OR TOENAIL
Mennecier-2016-183-71	71	207	name	имя	name	1405	NAME
Mennecier-2016-183-72	72	34	narrow	узкий	narrow	1267	NARROW
Mennecier-2016-183-73	73	197	near	близко	near	1942	NEAR
Mennecier-2016-183-74	74	87	neck	шея	neck	1333	NECK
Mennecier-2016-183-75	75	183	new	новый	new	1231	NEW
Mennecier-2016-183-76	76	177	night	ночь	night	1233	NIGHT
Mennecier-2016-183-77	77	75	nose	нос	nose	1221	NOSE
Mennecier-2016-183-78	78	16	not	не	not	1240	NOT
Mennecier-2016-183-79	79	184	old	старый	old	1229	OLD
Mennecier-2016-183-80	80	22	one	один	one	1493	ONE
Mennecier-2016-183-81	81	21	other	другой, иной	other	197	OTHER
Mennecier-2016-183-82	82	38	man, person	человек	person	683	PERSON
Mennecier-2016-183-83	83	151	rain	дождь	rain	2108	RAINING OR RAIN
Mennecier-2016-183-84	84	172	red	красный	red	156	RED
Mennecier-2016-183-85	85	199	right	правый	right	1019	RIGHT
Mennecier-2016-183-86	86	152	river	река	river	666	RIVER
Mennecier-2016-183-87	87	170	road	дорога	road	667	ROAD
Mennecier-2016-183-88	88	57	root	корень	root	670	ROOT
Mennecier-2016-183-89	89	61	rope	верёвка	rope	1218	ROPE
Mennecier-2016-183-90	90	187	rotten	гнилой	rotten	1728	ROTTEN
Mennecier-2016-183-91	91	190	round	круглый	round	1395	ROUND
Mennecier-2016-183-92	92	155	salt	соль	salt	1274	SALT
Mennecier-2016-183-93	93	157	sand	песок	sand	671	SAND
Mennecier-2016-183-94	94	154	sea	море	sea	1474	SEA
Mennecier-2016-183-95	95	55	seed	семя, семена	seed	714	SEED
Mennecier-2016-183-96	96	191	sharp	острый	sharp	1396	SHARP
Mennecier-2016-183-97	97	33	short	короткий	short	1645	SHORT
Mennecier-2016-183-98	98	62	skin	кожа	skin	763	SKIN
Mennecier-2016-183-99	99	162	sky	небо	sky	1732	SKY
Mennecier-2016-183-100	100	32	small	маленький	small	1246	SMALL
Mennecier-2016-183-101	101	166	smoke	дым	smoke	778	SMOKE (EXHAUST)
Mennecier-2016-183-102	102	193	smooth	гладкий, ровный	smooth	1234	SMOOTH
Mennecier-2016-183-103	103	49	snake	змея	snake	730	SNAKE
Mennecier-2016-183-104	104	164	snow	снег	snow	784	SNOW
Mennecier-2016-183-105	105	149	star	звезда	star	1430	STAR
Mennecier-2016-183-106	106	53	stick	палка	stick	1295	STICK
Mennecier-2016-183-107	107	156	stone	камень	stone	857	STONE
Mennecier-2016-183-108	108	189	straight	прямой	straight	1404	STRAIGHT
Mennecier-2016-183-109	109	147	sun	солнце	sun	1343	SUN
Mennecier-2016-183-110	110	69	tail	хвост	tail	1220	TAIL
Mennecier-2016-183-111	111	6	they	они	they	817	THEY
Mennecier-2016-183-112	112	30	thick	толстый	thick	1244	THICK
Mennecier-2016-183-113	113	35	thin	тонкий	thin	2308	THIN
Mennecier-2016-183-114	114	24	three	три	three	492	THREE
Mennecier-2016-183-115	115	94	to bite	кусать	to bite	1403	BITE
Mennecier-2016-183-116	116	98	to blow	дуть	to blow	175	BLOW (OF WIND)
Mennecier-2016-183-117	117	99	to breathe	дышать	to breathe	1407	BREATHE
Mennecier-2016-183-118	118	169	to burn	жечь	to burn	2102	BURN
Mennecier-2016-183-119	119	122	to come	приходить	to come	1446	COME
Mennecier-2016-183-120	120	114	to cut	резать	to cut	1432	CUT
Mennecier-2016-183-121	121	109	to die	умирать	to die	1494	DIE
Mennecier-2016-183-122	122	118	to dig	копать	to dig	1418	DIG
Mennecier-2016-183-123	123	92	to drink	пить	to drink	1401	DRINK
Mennecier-2016-183-124	124	93	to eat	есть, кушать	to eat	1336	EAT
Mennecier-2016-183-125	125	127	to fall	падать	to fall	1280	FALL
Mennecier-2016-183-126	126	106	to fear	бояться	to fear	1419	FEAR (BE AFRAID)
Mennecier-2016-183-127	127	111	to fight	бороться	to fight	1423	FIGHT
Mennecier-2016-183-128	128	120	to fly	летать	to fly	1441	FLY (MOVE THROUGH AIR)
Mennecier-2016-183-129	129	145	to freeze	замерзать	to freeze	1431	FREEZE
Mennecier-2016-183-130	130	128	to give	давать	to give	1447	GIVE
Mennecier-2016-183-131	131	102	to hear	слышать	to hear	1408	HEAR
Mennecier-2016-183-132	132	113	to hit	ударить	to hit	1433	HIT
Mennecier-2016-183-133	133	129	to hold	держать	to hold	1448	HOLD
Mennecier-2016-183-134	134	112	to hunt	охотиться	to hunt	1435	HUNT
Mennecier-2016-183-135	135	110	to kill	убивать	to kill	1417	KILL
Mennecier-2016-183-136	136	103	to know	знать	to know	1410	KNOW (SOMETHING)
Mennecier-2016-183-137	137	100	to laugh	смеяться	to laugh	1355	LAUGH
Mennecier-2016-183-138	138	123	to lie down, to lie	лежать	to lie	1411	LIE (REST)
Mennecier-2016-183-139	139	108	to live	жить	to live	1422	BE ALIVE
Mennecier-2016-183-140	140	142	to play	играть	to play	1413	PLAY
Mennecier-2016-183-141	141	134	to pull	тянуть	to pull	1455	PULL
Mennecier-2016-183-142	142	140	to say	говорить	to say	1458	SAY
Mennecier-2016-183-143	143	117	to scratch	царапать	to scratch	1436	SCRATCH
Mennecier-2016-183-144	144	101	to see	видеть	to see	1409	SEE
Mennecier-2016-183-145	145	138	to sew	шить	to sew	1457	SEW
Mennecier-2016-183-146	146	141	to sing	петь	to sing	1261	SING
Mennecier-2016-183-147	147	124	to sit down, to sit	сидеть	to sit	1416	SIT
Mennecier-2016-183-148	148	107	to sleep	спать	to sleep	1585	SLEEP
Mennecier-2016-183-149	149	105	to smell	нюхать	to smell	2124	SMELL
Mennecier-2016-183-150	150	96	to spit	плевать	to spit	1440	SPIT
Mennecier-2016-183-151	151	130	to squeeze	сжимать	to squeeze	1414	SQUEEZE
Mennecier-2016-183-152	152	125	to stand up, to stand	стоять	to stand	1442	STAND
Mennecier-2016-183-153	153	95	to suck	сосать	to suck	1421	SUCK
Mennecier-2016-183-154	154	119	to swim	плавать	to swim	1439	SWIM
Mennecier-2016-183-155	155	104	to think	думать	to think	2271	THINK
Mennecier-2016-183-156	156	136	to throw	бросать	to throw	1456	THROW
Mennecier-2016-183-157	157	137	to tie	связывать	to tie	1917	TIE
Mennecier-2016-183-158	158	126	to turn	вращать, вертеть	to turn	1588	TURN
Mennecier-2016-183-159	159	121	to walk	ходить, идти	to walk	1443	WALK
Mennecier-2016-183-160	160	132	to wash	мыть	to wash	1453	WASH
Mennecier-2016-183-161	161	133	to wipe	вытирать	to wipe	1454	WIPE
Mennecier-2016-183-162	162	78	tongue	язык	tongue	1205	TONGUE
Mennecier-2016-183-163	163	77	tooth	зуб	tooth	1380	TOOTH
Mennecier-2016-183-164	164	51	tree	дерево	tree	906	TREE
Mennecier-2016-183-165	165	23	two	два	two	1498	TWO
Mennecier-2016-183-166	166	180	warm	тёплый	warm	1232	WARM
Mennecier-2016-183-167	167	150	water	вода	water	948	WATER
Mennecier-2016-183-168	168	4	we	мы	we	1212	WE
Mennecier-2016-183-169	169	194	wet	мокрый	wet	1726	WET
Mennecier-2016-183-170	170	12	what	что	what ?	1236	WHAT
Mennecier-2016-183-171	171	14	when	когда	when ?	1238	WHEN
Mennecier-2016-183-172	172	13	where	где	where ?	1237	WHERE
Mennecier-2016-183-173	173	175	white	белый	white	1335	WHITE
Mennecier-2016-183-174	174	11	who	кто	who ?	1235	WHO
Mennecier-2016-183-175	175	29	wide	широкий	wide	1243	WIDE
Mennecier-2016-183-176	176	40	wife	жена	wife	1199	WIFE
Mennecier-2016-183-177	177	163	wind	ветер	wind	960	WIND
Mennecier-2016-183-178	178	84	wing	крыло	wing	1257	WING
Mennecier-2016-183-179	179	36	woman	женщина	woman	962	WOMAN
Mennecier-2016-183-180	180	50	worm	червь	worm	1219	WORM
Mennecier-2016-183-181	181	179	year	год	year	1226	YEAR
Mennecier-2016-183-182	182	174	yellow	жёлтый	yellow	1424	YELLOW
Mennecier-2016-183-183	183	2	you	ты	you	1215	THOU
