ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-101	101	Frying pan	31	PAN	ηεγάλη 	6	0.7	100.0	2.37	2.53	0.78
Dimitropoulou-2009-260-102	102	Garbage can	4036	GARBAGE CAN	θάδνο 	5	0.2	43.87	2.27	2.51	0.75
Dimitropoulou-2009-260-103	103	Giraffe	3089	GIRAFFE	θακεινπάξδαιε 	13	0.0	94.80	2.89	2.68	0.85
Dimitropoulou-2009-260-104	104	Glass 	604	GLASS	πνηήξη 	6	10.1	100.0	1.72	1.5	0.55
Dimitropoulou-2009-260-105	105	Glasses	1898	SPECTACLES	γπαιηά 	6	5.7	98.48	2.17	2.07	0.73
Dimitropoulou-2009-260-106	106	Glove 	867	GLOVE	γάληη 	5	3.8	99.39	2.22	2.26	0.74
Dimitropoulou-2009-260-107	107	Goat	1502	GOAT	θαηζίθα 	7	0.7	53.09	2.72	2.4	0.89
Dimitropoulou-2009-260-108	108	Gorilla	3144	GORILLA	γνξίιιαο 	8	0.0	79.27	2.92	2.69	0.83
Dimitropoulou-2009-260-109	109	Grapes	920	GRAPE	ζηαθύιη 	7	0.6	97.55	2.69	2.16	0.68
Dimitropoulou-2009-260-110	110	Grasshopper	607	GRASSHOPPER	αθξίδα 	6	0.2	94.83	3.32	2.74	0.81
Dimitropoulou-2009-260-111	111	Guitar	3090	GUITAR	θηζάξα 	6	7.3	100.0	2.82	2.55	0.79
Dimitropoulou-2009-260-112	112	Gun	1566	GUN	πηζηόιη 	7	7.9	73.56	2.9	2.59	0.86
Dimitropoulou-2009-260-113	113	Hair	2648	HAIR (HEAD)	καιιηά 	6	2.5	91.67	2.28	1.54	0.75
Dimitropoulou-2009-260-114	114	Hammer	1481	HAMMER	ζθπξί 	5	2.7	100.0	2.37	2.7	0.73
Dimitropoulou-2009-260-115	115	Hand	1277	HAND	ρέξη 	4	105.1	69.30	2.43	1.59	0.74
Dimitropoulou-2009-260-116	116	Hanger	770	EARRING	θξεκάζηξα 	9	0.2	98.48	1.57	2.71	0.78
Dimitropoulou-2009-260-117	117	Harp	2597	HARP	άξπα 	4	0.9	89.57	2.92	3.5	0.92
Dimitropoulou-2009-260-118	118	Hat	771	HAT	θαπέιν 	6	9.7	100.0	2.2	2.07	0.68
Dimitropoulou-2009-260-119	119	Heart	1223	HEART	θαξδηά 	6	56.0	99.39	1.59	2.03	0.71
Dimitropoulou-2009-260-120	120	Helicopter	2580	HELICOPTER	ειηθόπηεξν 	10	7.1	99.39	3.16	2.7	0.84
Dimitropoulou-2009-260-121	121	Horse	615	HORSE	άινγν 	5	8.1	100.0	2.68	2.03	0.76
Dimitropoulou-2009-260-122	122	House	1252	HOUSE	ζπίηη 	5	205.0	97.22	2.66	1.45	0.68
Dimitropoulou-2009-260-123	123	Iron	4031	IRON (PRESSING)	ζίδεξν 	6	3.9	97.55	2.89	2.61	0.81
Dimitropoulou-2009-260-124	124	Ironing Board	3998	IRONING BOARD	ζηδεξώζηξα 	10	0.1	99.39	2.25	2.89	0.9
Dimitropoulou-2009-260-125	125	Jacket	2770	JACKET	παιηό 	5	2.1	40.49	2.84	2.57	0.87
Dimitropoulou-2009-260-126	126	Kangaroo	164	KANGAROO	θαγθνπξό 	8	0.4	100.0	2.93	2.78	0.84
Dimitropoulou-2009-260-127	127	Kettle	854	KETTLE	ηζαγηέξα 	8	0.1	54.49	2.85	3.33	0.93
Dimitropoulou-2009-260-128	128	Key	1472	KEY	θιεηδί 	6	24.9	100.0	2.59	2.27	0.79
Dimitropoulou-2009-260-129	129	Kite	4032	KITE (TOY)	ραξηαεηόο 	9	0.1	97.87	2.29	2.15	0.68
Dimitropoulou-2009-260-130	130	Knife	1352	KNIFE	καραίξη 	7	11.9	100.0	1.8	1.98	0.66
Dimitropoulou-2009-260-131	131	Ladder	1464	LADDER	ζθάια 	5	10.9	99.39	2.01	2.06	0.69
Dimitropoulou-2009-260-132	132	Lamp	625	LAMP	πνξηαηίθ 	8	0.4	37.20	2.48	2.82	0.86
Dimitropoulou-2009-260-133	133	Leaf	628	LEAF	θύιιν 	5	22.4	80.56	2.18	2.17	0.82
Dimitropoulou-2009-260-134	134	Leg	1297	LEG	πόδη 	4	31.3	97.25	1.71	1.29	0.49
Dimitropoulou-2009-260-135	135	Lemon	3091	LEMON	ιεκόλη 	6	0.9	100.0	1.67	1.92	0.66
Dimitropoulou-2009-260-136	136	Leopard	1139	LEOPARD	ιενπάξδαιε 	10	0.1	73.54	3.06	3.05	0.96
Dimitropoulou-2009-260-137	137	Lettuce	3729	LETTUCE	καξνύιη 	7	0.3	77.81	2.7	2.65	0.84
Dimitropoulou-2009-260-138	138	Light bulb	4000	LIGHTBULB	ιάκπα 	5	2.9	85.37	2.62	2.22	0.83
Dimitropoulou-2009-260-139	139	Light switch	4001	LIGHT SWITCH	δηαθόπηεο 	9	1.9	100.0	2.41	2.6	0.86
Dimitropoulou-2009-260-140	140	Lion	1386	LION	ιηνληάξη 	8	3.7	99.08	2.83	2.1	0.75
Dimitropoulou-2009-260-141	141	Lips	478	LIP	ρείιε 	5	5.0	76.29	1.52	1.39	0.56
Dimitropoulou-2009-260-142	142	Lobster	2397	LOBSTER	αζηαθόο 	7	0.4	84.15	3.13	3.32	0.92
Dimitropoulou-2009-260-143	143	Lock	1596	LOCK	ινπθέην 	7	3.1	82.98	2.27	2.92	0.8
Dimitropoulou-2009-260-144	144	Mitten 	867	GLOVE	γάληη 	5	3.8	91.19	2.28	2.5	0.91
Dimitropoulou-2009-260-145	145	Monkey	1350	MONKEY	κατκνύ 	6	3.6	47.85	2.89	2.46	0.9
Dimitropoulou-2009-260-146	146	Moon	1313	MOON	θεγγάξη 	7	6.9	84.71	1.52	1.75	0.73
Dimitropoulou-2009-260-147	147	Motorcycle	638	MOTORCYCLE	κεραλή 	6	31.5	52.60	3.32	2.54	0.92
Dimitropoulou-2009-260-148	148	Mountain	639	MOUNTAIN	βνπλό 	5	13.8	82.98	2.37	2.14	0.76
Dimitropoulou-2009-260-149	149	Mouse	1491	MOUSE	πνληίθη 	7	8.9	89.63	2.69	2.15	0.74
Dimitropoulou-2009-260-150	150	Mushroom	641	MUSHROOM	καληηάξη 	8	0.2	100.0	2.62	2.89	0.9
Dimitropoulou-2009-260-151	151	Nail	502	NAIL (TOOL)	θαξθί 	5	2.7	77.30	1.73	2.73	0.78
Dimitropoulou-2009-260-152	152	Nail file			ιίκα 	4	2.1	88.38	2.74	3.55	0.95
Dimitropoulou-2009-260-153	153	Necklace	1961	NECKLACE	θνιηέ 	5	0.4	87.16	2.01	2.76	0.89
Dimitropoulou-2009-260-154	154	Needle	1382	NEEDLE (FOR SEWING)	βειόλα 	6	3.3	89.30	1.85	2.69	0.87
Dimitropoulou-2009-260-155	155	Nose	1221	NOSE	κύηε 	4	12.2	100.0	1.69	1.28	0.52
Dimitropoulou-2009-260-156	156	Nut	191	NUT	παμηκάδη 	8	0.8	88.09	2.87	3.89	0.96
Dimitropoulou-2009-260-157	157	Onion	2366	ONION	θξεκκύδη 	8	0.7	98.77	2.26	2.36	0.72
Dimitropoulou-2009-260-158	158	Orange	2627	ORANGE (FRUIT)	πνξηνθάιη 	9	1.1	99.09	1.59	1.78	0.62
Dimitropoulou-2009-260-159	159	Ostrich	3797	OSTRICH	ζηξνπζνθάκεινο 	14	0.0	84.83	3.25	3.39	0.94
Dimitropoulou-2009-260-160	160	Owl	735	OWL	θνπθνπβάγηα 	11	1.4	100.0	3.19	2.59	0.83
Dimitropoulou-2009-260-161	161	Paintbrush	3094	PAINTBRUSH	πηλέιν 	6	1.3	96.04	2.14	2.53	0.77
Dimitropoulou-2009-260-162	162	Pants	809	TROUSERS	παληειόλη 	9	4.9	98.47	2.02	1.72	0.72
Dimitropoulou-2009-260-163	163	Peach	2043	PEACH	ξνδάθηλν 	8	0.6	88.38	2.31	2.41	0.82
Dimitropoulou-2009-260-164	164	Peacock	3382	PEACOCK	παγόλη 	6	0.1	97.55	3.39	2.91	0.94
Dimitropoulou-2009-260-165	165	Peanut	595	GROUNDNUT (PEANUT)	θηζηίθη 	7	0.1	94.08	2.1	2.82	0.83
Dimitropoulou-2009-260-166	166	Pear	922	PEAR	αιάηη 	5	3.6	100.0	1.74	2.0	0.7
Dimitropoulou-2009-260-167	167	Pen	794	PEN	ζηηιό 	5	0.0	97.57	2.16	2.22	0.72
Dimitropoulou-2009-260-168	168	Pencil	2578	PENCIL	κνιύβη 	6	5.5	100.0	1.94	1.82	0.54
Dimitropoulou-2009-260-169	169	Penguin	2831	PENGUIN	πηγθνπίλνο 	10	0.3	100.0	3.09	2.84	0.87
Dimitropoulou-2009-260-170	170	Pepper	1385	PEPPER	πηπεξηά 	7	0.3	98.47	2.43	2.63	0.78
Dimitropoulou-2009-260-171	171	Piano	3994	PIANO (INSTRUMENT)	πηάλν 	5	14.9	100.0	3.4	2.64	0.79
Dimitropoulou-2009-260-172	172	Pig	1337	PIG	γνπξνύλη 	8	1.1	98.48	2.49	2.02	0.69
Dimitropoulou-2009-260-173	173	Pineapple	2440	PINEAPPLE	αλαλάο 	6	0.1	99.38	2.76	2.89	0.8
Dimitropoulou-2009-260-174	174	Pipe	1124	PIPE	πίπα 	4	1.3	93.31	2.56	3.38	0.96
Dimitropoulou-2009-260-175	175	Pitcher	120	PITCHER	θαλάηα 	6	0.5	96.91	2.34	2.68	0.74
Dimitropoulou-2009-260-176	176	Pliers	4003	PLIERS	ηαλάιηα 	7	0.3	51.54	2.46	3.34	0.91
Dimitropoulou-2009-260-177	177	Plug			πξίδα 	5	1.1	61.85	2.59	2.96	1.05
Dimitropoulou-2009-260-178	178	Pocketbook			ηζάληα 	6	5.8	97.86	2.34	2.03	0.66
Dimitropoulou-2009-260-179	179	Pot	1462	POT	θαηζαξόια 	9	0.8	56.17	2.31	2.61	0.84
Dimitropoulou-2009-260-180	180	Potato	593	POTATO	παηάηα 	6	2.5	99.08	1.9	1.88	0.7
Dimitropoulou-2009-260-181	181	Pumpkin	864	PUMPKIN	θνινθύζα 	8	0.2	98.48	2.24	2.88	0.9
Dimitropoulou-2009-260-182	182	Rabbit	1136	RABBIT	θνπλέιη 	7	0.4	53.21	2.83	2.18	0.78
Dimitropoulou-2009-260-183	183	Raccoon	828	RACCOON	ξαθνύλ 	6	0.0	53.61	3.35	3.57	1.13
Dimitropoulou-2009-260-184	184	Record Player	4004	RECORD PLAYER	πηθάπ 	5	1.2	94.14	3.18	3.44	0.95
Dimitropoulou-2009-260-185	185	Refrigerator	3952	REFRIGERATOR	ςπγείν 	6	6.2	99.09	2.19	1.91	0.71
Dimitropoulou-2009-260-186	186	Rhinoceros	2591	RHINOCEROS	ξηλόθεξνο 	9	0.1	96.66	3.03	2.76	0.81
Dimitropoulou-2009-260-187	187	Ring	1374	RING	δαρηπιίδη 	9	2.7	95.12	2.07	2.49	0.87
Dimitropoulou-2009-260-188	188	Rocking chair	3999	ROCKING CHAIR		0	0.0	80.62	2.65	2.55	0.87
Dimitropoulou-2009-260-189	189	Roller skate			παηίλη 	6	0.3	88.65	3.24	2.87	0.86
Dimitropoulou-2009-260-190	190	Rolling pin	4002	ROLLING PIN	πιάζηεο 	7	0.1	96.28	2.29	3.29	0.93
Dimitropoulou-2009-260-191	191	Rooster	1511	ROOSTER	θόθνξαο 	7	0.4	94.53	3.02	1.91	0.67
Dimitropoulou-2009-260-192	192	Ruler	3405	RULER	ράξαθαο 	7	0.2	97.24	1.91	2.27	0.61
Dimitropoulou-2009-260-193	193	Sailboat	4026	SAILBOAT	θαξάβη 	6	6.9	33.13	2.83	2.66	1.08
Dimitropoulou-2009-260-194	194	Saltshaker 			αιαηηέξα 	8	0.1	79.14	2.37	2.62	0.86
Dimitropoulou-2009-260-195	195	Sandwich	4008	SANDWICH	ηνζη 	4	0.2	66.57	2.43	2.11	0.73
Dimitropoulou-2009-260-196	196	Saw	1948	SAW	πξηόλη 	6	0.8	99.39	2.6	3.03	0.89
