ID	NUMBER	GLOSS	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS
Jacques-2015-249-77	77	the grass	nature	0436	606	GRASS
Jacques-2015-249-78	78	green	characterization, color	1009	1425	GREEN
Jacques-2015-249-79	79	the hail	nature	0013	609	HAIL
Jacques-2015-249-80	80	the hair (of the head)	body	0075	1040	HAIR
Jacques-2015-249-81	81	the hand	body	0107	1277	HAND
Jacques-2015-249-82	82	hard	characterisation, form	1034	1884	HARD
Jacques-2015-249-83	83	he or she [third person singular]	pronoun	0934	262	HE OR SHE OR IT
Jacques-2015-249-84	84	the head	body	0074	1256	HEAD
Jacques-2015-249-85	85	to hear	action	1682	1408	HEAR
Jacques-2015-249-86	86	the heart	body	0144	1223	HEART
Jacques-2015-249-87	87	heavy	characterisation, quantity	1014	1210	HEAVY
Jacques-2015-249-88	88	here	location, pronoun	0944	136	HERE
Jacques-2015-249-89	89	to hide (conceal)	action	1169	602	HIDE, CONCEAL
Jacques-2015-249-90	90	high / tall	characterisation, quantity	0968	1265	HIGH
Jacques-2015-249-91	91	to hold	action	1709	1448	HOLD
Jacques-2015-249-92	92	the hoof	body	0264	152	HOOF
Jacques-2015-249-93	93	horizontal	location	1001	2376	HORIZONTAL
Jacques-2015-249-94	94	the horn (keratinized skin)	body, animal	0263	1393	HORN (KERATINIZED SKIN)
Jacques-2015-249-95	95	the horse	animal	0268	615	HORSE
Jacques-2015-249-96	96	hot	characterisation, temperature	1062	1286	HOT
Jacques-2015-249-97	97	the house	residence	0494	1252	HOUSE
Jacques-2015-249-98	98	hundred	number	0824	1634	HUNDRED
Jacques-2015-249-99	99	to hunt	action	1230	1435	HUNT
Jacques-2015-249-100	100	the husband	kinship	0247	1200	HUSBAND
Jacques-2015-249-101	101	I [first person singular]	pronoun	0928	1209	I
Jacques-2015-249-102	102	the ice	nature	0017	617	ICE
Jacques-2015-249-103	103	inside	location	0715	1606	INSIDE
Jacques-2015-249-104	104	to kill	action	1602	1417	KILL
Jacques-2015-249-105	105	to knead	action	1594	274	KNEAD
Jacques-2015-249-106	106	the knee	body	0101	1371	KNEE
Jacques-2015-249-107	107	knife	object, tool	0549	1352	KNIFE
Jacques-2015-249-108	108	to know	action	1798	2248	KNOW (SOMEBODY)
Jacques-2015-249-109	109	the lake	nature	0031	624	LAKE
Jacques-2015-249-110	110	late	time	1019	477	LATE
Jacques-2015-249-111	111	to laugh	action	1735	1355	LAUGH
Jacques-2015-249-112	112	the leaf	body, animal	0376	628	LEAF
Jacques-2015-249-113	113	to learn	action	1742	504	LEARN
Jacques-2015-249-114	114	left	characterization, location	0710	244	LEFT
Jacques-2015-249-115	115	to lick	action	1674	319	LICK
Jacques-2015-249-116	116	to lie down	action	1661	215	LIE DOWN
Jacques-2015-249-117	117	light (of weight)	characterisation, quantity	1052	737	LIGHT (IGNITE)
Jacques-2015-249-118	118	the lip (the lips)		0085	478	LIP
Jacques-2015-249-119	119	the liver	body	0145	1224	LIVER
Jacques-2015-249-120	120	long	characterization, quantity	0972	1203	LONG
Jacques-2015-249-121	121	the louse	animal	0356	1392	LOUSE
Jacques-2015-249-122	122	the lung	body part	0143	688	LUNG
Jacques-2015-249-123	123	the man (male human)	human being	0173	2106	MALE PERSON
Jacques-2015-249-124	124	many	characterization, quantity	0987	1198	MANY
Jacques-2015-249-125	125	to marry (a man marries a woman)	action	1578	2164	MARRY (AS MAN)
Jacques-2015-249-126	126	the meat	body, animal	0443	634	MEAT
Jacques-2015-249-127	127	middle	location	0708	1093	MIDDLE
Jacques-2015-249-128	128	the moon	nature, object	0004	1313	MOON
Jacques-2015-249-129	129	morning	time	0749	1339	MORNING
Jacques-2015-249-130	130	the mosquito	animal	0360	1509	MOSQUITO
Jacques-2015-249-131	131	the mother	kinship	0219	1216	MOTHER
Jacques-2015-249-132	132	the mountain	nature, geography	0023	639	MOUNTAIN
Jacques-2015-249-133	133	the mouse or rat	animal	0320	2139	MUROID (MOUSE OR RAT)
Jacques-2015-249-134	134	the mouth	body	0084	674	MOUTH
Jacques-2015-249-135	135	the mud	nature	0046	640	MUD
Jacques-2015-249-136	136	the nail (fingernail or claw)	body	0113	2128	NAIL OR CLAW
Jacques-2015-249-137	137	the name	human being	0687	1405	NAME
Jacques-2015-249-138	138	narrow	characterization, quantity	0977	1267	NARROW
Jacques-2015-249-139	139	near	characterization, quantity	0975	1942	NEAR
Jacques-2015-249-140	140	the neck	body	0089	1333	NECK
Jacques-2015-249-141	141	the needle (for sewing)	object, tool	0578	1382	NEEDLE (FOR SEWING)
Jacques-2015-249-142	142	new	characterization, state	1050	1231	NEW
Jacques-2015-249-143	143	nine	number	0805	1483	NINE
Jacques-2015-249-144	144	the nit	animal	0357	267	NIT
Jacques-2015-249-145	145	noon	time	0750	12	MIDDAY
Jacques-2015-249-146	146	the nose	body	0080	1221	NOSE
Jacques-2015-249-147	147	old (of person)	characterization, state	1058	2112	OLD (AGED)
Jacques-2015-249-148	148	one	number	0797	1493	ONE
Jacques-2015-249-149	149	the otter	animal	0317	15	OTTER
Jacques-2015-249-150	150	outside	location	0714	762	OUTSIDE
Jacques-2015-249-151	151	the pig	animal	0284	1337	PIG
Jacques-2015-249-152	152	to plant (vegetals, rice)	action	1774	1486	PLANT (SOMETHING)
Jacques-2015-249-153	153	to play	action	1703	1413	PLAY
Jacques-2015-249-154	154	to pull	action	1568	1455	PULL
Jacques-2015-249-155	155	to push	action	1689	1452	PUSH
Jacques-2015-249-156	156	the rain	nature, phenomenon	0010	658	RAIN (PRECIPATION)
Jacques-2015-249-157	157	the rainbow	nature	0011	1733	RAINBOW
Jacques-2015-249-158	158	red	characterization, color	1007	156	RED
Jacques-2015-249-159	159	to reside (live)	action	1452	1099	RESIDE
Jacques-2015-249-160	160	the rice plant	object, food	0439	2026	RICE PLANT
Jacques-2015-249-161	161	right	characterization, location	0711	1019	RIGHT
Jacques-2015-249-162	162	the river	nature, geography	0030	666	RIVER
Jacques-2015-249-163	163	the road	object, geography	0038	667	ROAD
Jacques-2015-249-164	164	the root	body, animal	0375	670	ROOT
Jacques-2015-249-165	165	the rope	object, tool	0619	1218	ROPE
Jacques-2015-249-166	166	round	characterization, form	0990	1395	ROUND
Jacques-2015-249-167	167	to run	action	1544	1519	RUN
Jacques-2015-249-168	168	the salt	object, food	0061	1274	SALT
Jacques-2015-249-169	169	salty	characterisation, taste	1076	1091	SALTY
Jacques-2015-249-170	170	the sand	nature, substance	0044	671	SAND
Jacques-2015-249-171	171	to scratch	action	1530	1436	SCRATCH
Jacques-2015-249-172	172	the sea	nature, geography	0032	1474	SEA
Jacques-2015-249-173	173	to see	action	1471	1409	SEE
Jacques-2015-249-174	174	the seed	object, food	0405	714	SEED
Jacques-2015-249-175	175	seven	number	0803	1704	SEVEN
Jacques-2015-249-176	176	sharp	characterization, form	1020	1396	SHARP
Jacques-2015-249-177	177	the sheep	animal	0275	1331	SHEEP
Jacques-2015-249-178	178	to shoot (an arrow)	action	1611	1172	SHOOT
Jacques-2015-249-179	179	short	characterization, quantity	0973	1645	SHORT
Jacques-2015-249-180	180	the shoulder	body	0090	1482	SHOULDER
Jacques-2015-249-181	181	shy	characterization, character	1365	487	SHY
Jacques-2015-249-182	182	the sickle	object, tool	0624	341	SICKLE
Jacques-2015-249-183	183	to sing	action	1184	1261	SING
Jacques-2015-249-184	184	six	number	0802	1703	SIX
Jacques-2015-249-185	185	the skin	body	0120	763	SKIN
Jacques-2015-249-186	186	the sky	nature, geography	0001	1732	SKY
Jacques-2015-249-187	187	to sleep	action	1646	1585	SLEEP
Jacques-2015-249-188	188	small	characterization, quantity	0965	1246	SMALL
Jacques-2015-249-189	189	to smell (perceive odor) [transitive]	action	1707	1586	SMELL (PERCEIVE)
Jacques-2015-249-190	190	the smoke	nature	0019	778	SMOKE (EXHAUST)
Jacques-2015-249-191	191	smooth	characterization, form	1037	1234	SMOOTH
Jacques-2015-249-192	192	the snake	animal	0347	730	SNAKE
Jacques-2015-249-193	193	the snow	nature, object	0012	784	SNOW
Jacques-2015-249-194	194	soft	characterisation, form	1035	1856	SOFT
Jacques-2015-249-195	195	the son	kinship	0220	1620	SON
Jacques-2015-249-196	196	the sparrow	animal	0336	1854	SPARROW
Jacques-2015-249-197	197	the spider	animal	0361	843	SPIDER
Jacques-2015-249-198	198	to spit	action	1688	1440	SPIT
Jacques-2015-249-199	199	to stand	action	1784	1442	STAND
Jacques-2015-249-200	200	the star	nature, geography	0005	1430	STAR
Jacques-2015-249-201	201	to steal	action	1686	713	STEAL
Jacques-2015-249-202	202	the stick	object, tool	0586	1295	STICK
Jacques-2015-249-203	203	the stone (a piece of)	nature, substance	0379	857	STONE
Jacques-2015-249-204	204	straight	characterization, form	1003	1404	STRAIGHT
Jacques-2015-249-205	205	the sun	object, geography	0002	1343	SUN
Jacques-2015-249-206	206	the tail	body, animal	0267	1220	TAIL
Jacques-2015-249-207	207	ten	number	0806	1515	TEN
Jacques-2015-249-208	208	that	pronoun	0947	78	THAT
Jacques-2015-249-209	209	there	location	0950	1937	THERE
Jacques-2015-249-210	210	thick	characterization, quantity	0980	1244	THICK
Jacques-2015-249-211	211	the thigh	body	0100	800	THIGH
Jacques-2015-249-212	212	thin	characterization, form	1026	1400	THIN (SLIM)
Jacques-2015-249-213	213	to think (reflect)	action	1726	1513	THINK (BELIEVE)
Jacques-2015-249-214	214	this	pronoun	0942	1214	THIS
Jacques-2015-249-215	215	thou [second person singular]	pronoun	0931	1215	THOU
Jacques-2015-249-216	216	three	number	0799	492	THREE
Jacques-2015-249-217	217	to throw	action	1687	1456	THROW
Jacques-2015-249-218	218	the thunder	object, phenomenon	0008	1150	THUNDER
Jacques-2015-249-219	219	the tiger	animal	0304	846	TIGER
Jacques-2015-249-220	220	today	time	0738	1283	TODAY
Jacques-2015-249-221	221	tomorrow	time	0742	1329	TOMORROW
Jacques-2015-249-222	222	the tongue	body	0139	1205	TONGUE
Jacques-2015-249-223	223	the tooth (front)	body	0137	1380	TOOTH
Jacques-2015-249-224	224	the tree	nature, object	0372	906	TREE
Jacques-2015-249-225	225	twenty	number	0816	1710	TWENTY
Jacques-2015-249-226	226	two	number	0798	1498	TWO
Jacques-2015-249-227	227	to vomit	action	1535	1278	VOMIT
Jacques-2015-249-228	228	to walk	action	1815	1443	WALK
Jacques-2015-249-229	229	the water	nature, substance	0047	948	WATER
Jacques-2015-249-230	230	we [first person plural inclusive]	pronoun	0930	1131	WE (INCLUSIVE)
Jacques-2015-249-231	231	wet	characterisation, state	1029	1726	WET
Jacques-2015-249-232	232	what	pronoun, question	0954	1236	WHAT
Jacques-2015-249-233	233	the wheat	object, food	0410	1077	WHEAT
Jacques-2015-249-234	234	where	pronoun, question	0955	1237	WHERE
Jacques-2015-249-235	235	white	characterisation, color	1006	1335	WHITE
Jacques-2015-249-236	236	who	pronoun, question	0953	1235	WHO
Jacques-2015-249-237	237	the wife	kinship	0248	1199	WIFE
Jacques-2015-249-238	238	the wind	nature, phenomenon	0009	960	WIND
Jacques-2015-249-239	239	the wing	body, animal	0298	1257	WING
Jacques-2015-249-240	240	to wipe	action	1163	1454	WIPE
Jacques-2015-249-241	241	the wolf	animal	0324	522	WOLF
Jacques-2015-249-242	242	the woman	human being	0174	962	WOMAN
Jacques-2015-249-243	243	the wood (material)	plant, substance	0511	1803	WOOD
Jacques-2015-249-244	244	the worm	animal	0353	1219	WORM
Jacques-2015-249-245	245	the year	time	0777	1226	YEAR
Jacques-2015-249-246	246	yellow	characterisation, color	1008	1424	YELLOW
Jacques-2015-249-247	247	yesterday	time	0739	1174	YESTERDAY
Jacques-2015-249-248	248	you [second person plural]	pronoun	0933	1213	YOU
Jacques-2015-249-249	249	young	characterisation, age	1059	1207	YOUNG
