ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	PAGE	URL
Capell-1956-558-102	1942	NEAR	102	close (adj.)	26	26
Capell-1956-558-103	1489	CLOUD	103	cloud	26	26
Capell-1956-558-104	1763	CLUB	104	club	26	26
Capell-1956-558-105	3013	BLACK COCKATOO	105	cockatoo (black)	27	27
Capell-1956-558-106	3009	WHITE COCKATOO	106	cockatoo (white)	27	27
Capell-1956-558-107	970	COCONUT	107	coconut	27	27
Capell-1956-558-108	2011	COFFIN	108	coffin	27	27
Capell-1956-558-109	1287	COLD	109	cold	28	28
Capell-1956-558-110			110	cold wind	28	28
Capell-1956-558-111	1446	COME	111	come	28	28
Capell-1956-558-112			112	consider	28	28
Capell-1956-558-113	3179	CORAL ROCK	113	coral	29	29
Capell-1956-558-114			114	corroboree	29	29
Capell-1956-558-115	761	COVER	115	cover	29	29
Capell-1956-558-116	2348	CRAB	116	crab	29	29
Capell-1956-558-117	467	CRAYFISH	117	crayfish	30	30
Capell-1956-558-118	990	CREEK (TIDAL)	118	creek	30	30
Capell-1956-558-119	1857	CROCODILE	119	crocodile	30	30
Capell-1956-558-120	297	CROOKED	120	crooked	30	30
Capell-1956-558-121	1742	TRAVERSE	121	cross (v.)	31	31
Capell-1956-558-122	913	CROW	122	crow	31	31
Capell-1956-558-123	2023	CROWD	123	crowd	31	31
Capell-1956-558-124	1839	CRY	124	cry	31	31
Capell-1956-558-125			125	curlew	32	32
Capell-1956-558-126	1432	CUT	126	cut	32	32
Capell-1956-558-127	1300	COUNTRY	127	country	32	32
Capell-1956-558-128	1100	COOK (SOMETHING)	128	cook	32	32
Capell-1956-558-129	1879	DANCE	129	dance	33	33
Capell-1956-558-130	706	DARK	130	dark	33	33
Capell-1956-558-131	1357	DAUGHTER	131	daughter	33	33
Capell-1956-558-132	729	DAWN	132	dawn	33	33
Capell-1956-558-133	1225	DAY (NOT NIGHT)	133	day	34	34
Capell-1956-558-134	1625	DEAD	134	dead	34	34
Capell-1956-558-135	996	DEAF	135	deaf	34	34
Capell-1956-558-136	1593	DEEP	136	deep	34	34
Capell-1956-558-137	1977	DEW	137	dew	35	35
Capell-1956-558-138	1494	DIE	138	die	35	35
Capell-1956-558-139	1418	DIG	139	dig	35	35
Capell-1956-558-140			140	dilly-bag	35	35
Capell-1956-558-141	2460	DINGO	141	dingo	36	36
Capell-1956-558-142	1230	DIRTY	142	dirty	36	36
Capell-1956-558-143	119	DIVE	143	dive	36	36
Capell-1956-558-144	2009	DOG	144	dog	36	36
Capell-1956-558-145	813	DO	145	do it	37	37
Capell-1956-558-146	1853	DOVE	146	dove	37	37
Capell-1956-558-147	2374	DREAM	147	dream	37	37
Capell-1956-558-148	1401	DRINK	148	drink	37	37
Capell-1956-558-149			149	drone-pipe	38	38
Capell-1956-558-150	750	DROP	150	drop	38	38
Capell-1956-558-151	1904	DROWN	151	drown	38	38
Capell-1956-558-152	1398	DRY	152	dry	38	38
Capell-1956-558-153	1360	DUCK	153	duck (burdekin)	39	39
Capell-1956-558-154			154	dugong	39	39
Capell-1956-558-155	2683	EAGLE OR HAWK	155	eagle-hawk	39	39
Capell-1956-558-156	1247	EAR	156	ear	39	39
Capell-1956-558-157	1877	EAST	157	east	40	40
Capell-1956-558-158	1228	EARTH (SOIL)	158	earth	40	40
Capell-1956-558-159	1336	EAT	159	eat	40	40
Capell-1956-558-160	744	EGG	160	egg	40	40
Capell-1956-558-161	981	ELBOW	161	elbow	41	41
Capell-1956-558-162	1624	EMPTY	162	empty	41	41
Capell-1956-558-163	2817	EMU	163	emu	41	41
Capell-1956-558-164	1248	EYE	164	eye	41	41
Capell-1956-558-165	1173	EYEBROW	165	eyebrow	42	42
Capell-1956-558-166	1540	EYELASH	166	eyelash	42	42
Capell-1956-558-167	98	ALL	167	everything	42	42
Capell-1956-558-168	1560	FACE	168	face	42	42
Capell-1956-558-169	1280	FALL	169	fall	43	43
Capell-1956-558-170	323	FAT (ORGANIC SUBSTANCE)	170	fat (n.)	43	43
Capell-1956-558-171	1217	FATHER	171	father	43	43
Capell-1956-558-172	781	FEAR (FRIGHT)	172	fear	43	43
Capell-1956-558-173	1201	FEATHER	173	feather	44	44
Capell-1956-558-174	1551	FEMALE	174	female	44	44
Capell-1956-558-175	1242	FEW	175	few	44	44
Capell-1956-558-176	1423	FIGHT	176	fight	44	44
Capell-1956-558-177	2006	FILL	177	fill	45	45
Capell-1956-558-178	1303	FINGER	178	finger	45	45
Capell-1956-558-179	1766	FINISH	179	finish	45	45
Capell-1956-558-180	221	FIRE	180	fire	45	45
Capell-1956-558-181			181	firestick	46	46
Capell-1956-558-182	10	FIREWOOD	182	firewood	46	46
Capell-1956-558-183	227	FISH	183	fish	46	46
Capell-1956-558-184			184	fish-hawk	46	46
Capell-1956-558-185	19	FISHING LINE	185	fish-line	47	47
Capell-1956-558-186	388	FISHNET	186	fish-net	47	47
Capell-1956-558-187	1633	FLAT	187	flat	47	47
Capell-1956-558-188	2259	FLESH	188	flesh	47	47
Capell-1956-558-189	613	HIGH TIDE	189	flood	48	48
Capell-1956-558-190	1594	FLOUR	190	flour	48	48
Capell-1956-558-191	1504	FLY (INSECT)	191	fly (n.)	48	48
Capell-1956-558-192	1441	FLY (MOVE THROUGH AIR)	192	fly (v.)	48	48
Capell-1956-558-193	235	FLYING FOX	193	flying fox	49	49
Capell-1956-558-194			194	flying phalanger	49	49
Capell-1956-558-195	249	FOG	195	fog	49	49
Capell-1956-558-196	256	FOOD	196	food	49	49
Capell-1956-558-197	1301	FOOT	197	foot	50	50
Capell-1956-558-198	123	FOREHEAD	198	forehead	50	50
Capell-1956-558-199	1523	FORGET	199	forget	50	50
Capell-1956-558-200	503	FROG	200	frog	50	50
Capell-1956-558-201			201	full (of water)	51	51
Capell-1956-558-202			202	full (of food)	51	51
Capell-1956-558-203			203	forehead band	51	51
Capell-1956-558-204			204	gammon	51	51
Capell-1956-558-205	1646	GIRL	205	girl	52	52
Capell-1956-558-206	1447	GIVE	206	give	52	52
Capell-1956-558-207	695	GO	207	go	52	52
Capell-1956-558-208	1035	GOOD	208	good	52	52
Capell-1956-558-209	1187	GOOSE	209	goose	53	53
Capell-1956-558-210	2560	PATERNAL GRANDFATHER	210	grandfather (f.f.)	53	53
Capell-1956-558-211	2178	MATERNAL GRANDFATHER	211	grandfather (m.f.)	53	53
Capell-1956-558-212	3015	PATERNAL GRANDMOTHER	212	grandmother (f.m.)	53	53
Capell-1956-558-213	606	GRASS	213	grass	54	54
Capell-1956-558-214	607	GRASSHOPPER	214	grasshopper	54	54
Capell-1956-558-215	1425	GREEN	215	green	54	54
Capell-1956-558-216			216	green ant	54	54
Capell-1956-558-217	479	GROW	217	grow	55	55
Capell-1956-558-218	139	GUMS	218	gum	55	55
Capell-1956-558-219	2648	HAIR (HEAD)	219	hair of head	55	55
Capell-1956-558-220			220	hairbelt	55	55
Capell-1956-558-221	1277	HAND	221	hand	56	56
Capell-1956-558-222	1495	HAPPY	222	happy	56	56
Capell-1956-558-223	1884	HARD	223	hard	56	56
Capell-1956-558-224			224	hat (dance)	56	56
Capell-1956-558-225			225	hawk (chicken-h)	57	57
Capell-1956-558-226	1256	HEAD	226	head	57	57
Capell-1956-558-227	1408	HEAR	227	hear	57	57
Capell-1956-558-228	1223	HEART	228	heart	57	57
Capell-1956-558-229	1210	HEAVY	229	heavy	58	58
Capell-1956-558-230	758	HERON	230	heron	58	58
Capell-1956-558-231	2486	HIDE	231	hide	58	58
Capell-1956-558-232	614	HILL	232	hill	58	58
Capell-1956-558-233	1433	HIT	233	hit	59	59
Capell-1956-558-234	1448	HOLD	234	hold	59	59
Capell-1956-558-235	1667	HOLE	235	hole	59	59
Capell-1956-558-236	942	HONEY	236	honey	59	59
Capell-1956-558-237	665	BEE	237	honey-bee	60	60
Capell-1956-558-238	1074	FISHHOOK	238	hook (for fishing)	60	60
Capell-1956-558-239	1286	HOT	239	hot	60	60
Capell-1956-558-240	1533	BE HUNGRY	240	hungry	60	60
Capell-1956-558-241	2411	HURT (SOMEBODY)	241	hurt	61	61
Capell-1956-558-242	1200	HUSBAND	242	husband	61	61
Capell-1956-558-243	1678	HUT	243	hut	61	61
Capell-1956-558-244	1209	I	244	I	62	62
Capell-1956-558-245	621	IRON	245	iron	62	62
Capell-1956-558-246	622	ISLAND	246	island	62	62
Capell-1956-558-247	1578	IGUANA	247	iguana	62	62
Capell-1956-558-248			248	jabiru	63	63
Capell-1956-558-249	2821	JEALOUS	249	jealous	63	63
Capell-1956-558-250	1829	JUMP	250	jump	63	63
Capell-1956-558-251	164	KANGAROO	251	kangaroo	63	63
Capell-1956-558-252			252	kangaroo-big	64	64
Capell-1956-558-253			253	kangaroo-small	64	64
Capell-1956-558-254	1135	KICK	254	kick	64	64
Capell-1956-558-255	489	KIDNEY	255	kidney	64	64
Capell-1956-558-256	1417	KILL	256	kill	65	65
Capell-1956-558-257	2444	KINGFISHER	257	kingfisher	65	65
Capell-1956-558-258	1371	KNEE	258	knee	65	65
Capell-1956-558-259	1352	KNIFE	259	knife	65	65
Capell-1956-558-260			260	knick up	66	66
Capell-1956-558-261	3626	KNOW	261	know	66	66
Capell-1956-558-262			262	kulamin	66	66
Capell-1956-558-263			263	kookaburra	66	66
Capell-1956-558-264	320	LAME	264	lame	67	67
Capell-1956-558-265	1307	LANGUAGE	265	language	67	67
Capell-1956-558-266	1355	LAUGH	266	laugh	67	67
Capell-1956-558-267	628	LEAF	267	leaf	67	67
Capell-1956-558-268			268	leach	68	68
Capell-1956-558-269	244	LEFT	269	left	68	68
Capell-1956-558-270	1297	LEG	270	leg	68	68
Capell-1956-558-271	215	LIE DOWN	271	lie (down)	68	68
Capell-1956-558-272	2826	LIE (FALSEHOOD)	272	lie (tell a)	69	69
Capell-1956-558-273	210	LIFE	273	life	69	69
Capell-1956-558-274	501	LIFT	274	lift	69	69
Capell-1956-558-275	737	LIGHT (IGNITE)	275	light (a fire)	69	69
Capell-1956-558-276	1052	LIGHT (WEIGHT)	276	light (in weight)	70	70
Capell-1956-558-277	1654	LIGHTNING	277	lightning	70	70
Capell-1956-558-278			278	lily	70	70
Capell-1956-558-279			279	lily-root	70	70
Capell-1956-558-280	478	LIP	280	lip	71	71
Capell-1956-558-281	1608	LISTEN	281	listen	71	71
Capell-1956-558-282	1246	SMALL	282	little	71	71
Capell-1956-558-283			283	little while	71	71
Capell-1956-558-284	1422	BE ALIVE	284	live	72	72
Capell-1956-558-285	1224	LIVER	285	liver	72	72
Capell-1956-558-286	632	LIZARD	286	lizard	72	72
Capell-1956-558-287			287	lizard-frilled	72	72
Capell-1956-558-288			288	lizard, water	73	73
Capell-1956-558-289	1203	LONG	289	long	73	73
Capell-1956-558-290	1660	LOSE	290	lose	73	73
Capell-1956-558-291	418	FOR A LONG TIME	291	long time	74	74
Capell-1956-558-292			292	long way	74	74
Capell-1956-558-293	377	LOUD	293	loud	74	74
Capell-1956-558-294	1392	LOUSE	294	louse	74	74
Capell-1956-558-295	688	LUNG	295	lung	75	75
Capell-1956-558-296	1752	LEAVE	296	leave	75	75
Capell-1956-558-297	734	MAKE	297	make	75	75
Capell-1956-558-298	1554	MAN	298	man	75	75
Capell-1956-558-299	350	MANGROVE	299	mangrove	76	76
Capell-1956-558-300	3279	MANTIS	300	mantis	76	76
Capell-1956-558-301	1198	MANY	301	many	76	76
Capell-1956-558-302	424	MARRIED MAN	302	married man	76	76
Capell-1956-558-303	203	MARRY	303	marry	77	77
Capell-1956-558-304	184	MAST	304	mast	77	77
Capell-1956-558-305	195	MAT	305	mat	77	77
Capell-1956-558-306	634	MEAT	306	meat	77	77
Capell-1956-558-307	2288	METEOROID (SHOOTING OR SHINING STAR)	307	meteor	78	78
Capell-1956-558-308	635	MILK	308	milk	78	78
Capell-1956-558-309	1313	MOON	309	moon	78	78
Capell-1956-558-310	1339	MORNING	310	morning	78	78
Capell-1956-558-311	1509	MOSQUITO	311	mosquito	79	79
Capell-1956-558-312	639	MOUNTAIN	312	mountain	79	79
Capell-1956-558-313	674	MOUTH	313	mouth	79	79
Capell-1956-558-314	1216	MOTHER	314	mother	79	79
Capell-1956-558-315	640	MUD	315	mud	80	80
Capell-1956-558-316			316	murderer	80	80
Capell-1956-558-317			317	music (flute)	80	80
Capell-1956-558-318	590	NAKED	318	naked	80	80
Capell-1956-558-319	1405	NAME	319	name	81	81
Capell-1956-558-320	1347	NAPE (OF NECK)	320	nape	81	81
Capell-1956-558-321	3018	NATIVE CAT	321	native-cat	81	81
Capell-1956-558-322			322	native companion	81	81
Capell-1956-558-323	1337	PIG	323	native pig	82	82
Capell-1956-558-324			324	native plum	82	82
Capell-1956-558-325	1838	NAVEL	325	navel	82	82
Capell-1956-558-326	1942	NEAR	326	near	82	82
Capell-1956-558-327	1333	NECK	327	neck	83	83
Capell-1956-558-328	1961	NECKLACE	328	necklace	83	83
Capell-1956-558-329	539	NEST	329	nest	83	83
Capell-1956-558-330	2963	NET	330	net	83	83
Capell-1956-558-331	1231	NEW	331	new	84	84
Capell-1956-558-332	1269	NO	332	no	84	84
Capell-1956-558-333			333	no good	84	84
Capell-1956-558-334	1598	NORTH	334	north	84	84
Capell-1956-558-335	1221	NOSE	335	nose	85	85
Capell-1956-558-336	687	NOTHING	336	nothing	85	85
Capell-1956-558-337	1229	OLD	337	old	85	85
Capell-1956-558-338	406	OLD MAN	338	old man	85	85
Capell-1956-558-339	1493	ONE	339	one	86	86
Capell-1956-558-340	309	OPOSSUM	340	opossum	86	86
Capell-1956-558-341	197	OTHER	341	other	86	86
Capell-1956-558-342	3411	OVER THERE	342	over there	86	86
Capell-1956-558-343	2830	OYSTERS	343	oyster	87	87
Capell-1956-558-344	234	PADDLE	344	paddle	87	87
Capell-1956-558-345			345	paint (red)	87	87
Capell-1956-558-346			346	paint (white)	87	87
Capell-1956-558-347			347	paint (blue)	88	88
Capell-1956-558-348			348	paint (yellow)	88	88
Capell-1956-558-349	2001	PAINTING	349	paint (verb -reflexv)	88	88
Capell-1956-558-350			350	paperbark	88	88
Capell-1956-558-351	2252	PATH	351	path	89	89
Capell-1956-558-352	3325	PEARL	352	pearl	89	89
Capell-1956-558-353			353	pearlshell	89	89
Capell-1956-558-354	472	PELICAN	354	pelican	89	89
Capell-1956-558-355	1222	PENIS	355	penis	90	90
Capell-1956-558-356	371	PICK UP	356	pick up	90	90
Capell-1956-558-357			357	pierced nasal septum	90	90
Capell-1956-558-358	378	PINCH	358	pinch	91	91
Capell-1956-558-359			359	plain country	91	91
Capell-1956-558-360	1413	PLAY	360	play	91	91
Capell-1956-558-361			361	plenty	91	91
Capell-1956-558-362			362	plover	92	92
Capell-1956-558-363	655	POISON	363	poison	92	92
Capell-1956-558-364	2510	PORCUPINE	364	porcupine	92	92
Capell-1956-558-365	2410	GOOD-LOOKING	365	pretty	92	92
Capell-1956-558-366	36	PUBIC HAIR	366	pubes	93	93
Capell-1956-558-367			367	pubic tassel	93	93
Capell-1956-558-368	998	PUT	368	put, place	93	93
Capell-1956-558-369	2951	POUCH	369	pouch (‘roo)	93	93
Capell-1956-558-370	1893	QUAIL	370	quail	94	94
Capell-1956-558-371	1631	FAST	371	quick	94	94
Capell-1956-558-372	1314	QUIET	372	quiet	94	94
Capell-1956-558-373	2108	RAINING OR RAIN	373	rain	95	95
Capell-1956-558-374	1733	RAINBOW	374	rainbow	95	95
Capell-1956-558-375	1490	RAT	375	rat	95	95
Capell-1956-558-376	156	RED	376	red	95	95
Capell-1956-558-377	659	REED	377	reed	96	96
Capell-1956-558-378	1019	RIGHT	378	right side	96	96
Capell-1956-558-379	1725	CORRECT (RIGHT)	379	right (correct)	96	96
Capell-1956-558-380	178	RIPE	380	ripe	96	96
Capell-1956-558-381	666	RIVER	381	river	97	97
Capell-1956-558-382	668	ROCK	382	rock	97	97
Capell-1956-558-383	670	ROOT	383	root	97	97
Capell-1956-558-384	1218	ROPE	384	rope	97	97
Capell-1956-558-385	1728	ROTTEN	385	rotten	98	98
Capell-1956-558-386	1395	ROUND	386	round	98	98
Capell-1956-558-387	1449	RUB	387	rub	98	98
Capell-1956-558-388	1519	RUN	388	run	98	98
Capell-1956-558-389	1923	ROUGH	389	rough	99	99
Capell-1956-558-390	699	SAD	390	sad	99	99
Capell-1956-558-391			391	sandbank	99	99
Capell-1956-558-392	787	SAIL	392	sail	99	99
Capell-1956-558-393			393	saltwater	100	100
Capell-1956-558-394			394	saltwater country	100	100
Capell-1956-558-395	671	SAND	395	sand	100	100
Capell-1956-558-396	95	SANDFLY	396	sandfly	100	100
Capell-1956-558-397	3019	SAND HILL	397	sandhill	101	101
Capell-1956-558-398	1436	SCRATCH	398	scratch	101	101
Capell-1956-558-399			399	scrub (n.)	101	101
Capell-1956-558-400	1474	SEA	400	sea	101	101
Capell-1956-558-401	1468	LOOK FOR	401	search	102	102
Capell-1956-558-402			402	seaweed	102	102
Capell-1956-558-403	1409	SEE	403	see	102	102
Capell-1956-558-404	714	SEED	404	seed	102	102
Capell-1956-558-405	1388	SHADE	405	shade	103	103
Capell-1956-558-406	1388	SHADE	406	shadow	103	103
Capell-1956-558-407	1909	SHAKE	407	shake	103	103
Capell-1956-558-408	193	SHALLOW	408	shallow	103	103
Capell-1956-558-409	1110	SHARK	409	shark	104	104
Capell-1956-558-410	1396	SHARP	410	sharp	104	104
Capell-1956-558-411	598	SHELL	411	shell	104	104
Capell-1956-558-412	1064	SHIELD	412	shield	104	104
Capell-1956-558-413	113	SHORE	413	shore	105	105
Capell-1956-558-414	1482	SHOULDER	414	shoulder	105	105
Capell-1956-558-415	1645	SHORT	415	short	105	105
Capell-1956-558-416	715	SHOUT	416	shout	105	105
Capell-1956-558-417	1847	SICK	417	sick	106	106
Capell-1956-558-418	1137	TENDON	418	sinew	106	106
Capell-1956-558-419	1261	SING	419	sing	106	106
Capell-1956-558-420	1761	YOUNGER SISTER	420	sister-younger	106	106
Capell-1956-558-421	1758	OLDER SISTER	421	sister-elder	107	107
Capell-1956-558-422	1416	SIT	422	sit	107	107
Capell-1956-558-423	763	SKIN	423	skin (n.)	107	107
Capell-1956-558-424	291	PULL OFF (SKIN)	424	skin (verb)	107	107
Capell-1956-558-425	1732	SKY	425	sky	108	108
Capell-1956-558-426	1585	SLEEP	426	sleep	108	108
Capell-1956-558-427	701	SLOW	427	slow	108	108
Capell-1956-558-428	1587	SMELL (STINK)	428	smell (v.intr.)	108	108
Capell-1956-558-429	778	SMOKE (EXHAUST)	429	smoke (n.)	109	109
Capell-1956-558-430	1689	SMOKE (INHALE)	430	smoke (v.)	109	109
Capell-1956-558-431	1234	SMOOTH	431	smooth	109	109
Capell-1956-558-432	730	SNAKE	432	snake	109	109
Capell-1956-558-433	2069	SOAK (VERB)	433	soak	110	110
Capell-1956-558-434	1856	SOFT	434	soft	110	110
Capell-1956-558-435	1620	SON	435	son	110	110
Capell-1956-558-436	823	SORCERER	436	sorcerer	110	110
Capell-1956-558-437	51	SORE	437	sore	111	111
Capell-1956-558-438	1875	REGRET	438	sorry	111	111
Capell-1956-558-439	1595	SOUTH	439	south	111	111
Capell-1956-558-440	1623	SPEAK	440	speak	111	111
Capell-1956-558-441	473	SPEAR (SOMEBODY)	441	spear (vb.)	112	112
Capell-1956-558-442	811	SOUL	442	soul	112	112
Capell-1956-558-443	945	SPEAR	443	spear (n.)	112	112
Capell-1956-558-444			444	spear-barbed	112	112
Capell-1956-558-445			445	spear-fish	113	113
Capell-1956-558-446			446	spear-stone	113	113
Capell-1956-558-447			447	spear-shovel	113	113
Capell-1956-558-448	843	SPIDER	448	spider	113	113
Capell-1956-558-449	1440	SPIT	449	spit	114	114
Capell-1956-558-450	38	SPREAD OUT	450	spread	114	114
Capell-1956-558-451	849	SPRING (OF WATER)	451	spring	114	114
Capell-1956-558-452	1442	STAND	452	stand	114	114
Capell-1956-558-453	1430	STAR	453	star	115	115
Capell-1956-558-454	713	STEAL	454	steal	115	115
Capell-1956-558-455	1910	STINGRAY	455	stingray	115	115
Capell-1956-558-456	819	STOMACH	456	stomach	115	115
Capell-1956-558-457	857	STONE	457	stone	116	116
Capell-1956-558-458	677	AXE	458	stone axe	116	116
Capell-1956-558-459			459	stone headed spear	116	116
Capell-1956-558-460	1404	STRAIGHT	460	straight	116	116
Capell-1956-558-461	362	STRING	461	string	117	117
Capell-1956-558-462	785	STRONG	462	strong	117	117
Capell-1956-558-463	1518	STUPID	463	stupid	117	117
Capell-1956-558-464	1421	SUCK	464	suck	117	117
Capell-1956-558-465	1343	SUN	465	sun	118	118
Capell-1956-558-466	126	SWEAT (PERSPIRE)	466	sweat	118	118
Capell-1956-558-467	717	SWEET	467	sweet	118	118
Capell-1956-558-468	1439	SWIM	468	swim	118	118
Capell-1956-558-469	1220	TAIL	469	tail	119	119
Capell-1956-558-470	1749	TAKE	470	take	119	119
Capell-1956-558-471	2708	TALK	471	talk	119	119
Capell-1956-558-472	797	TESTICLES	472	testicles	119	119
Capell-1956-558-473	471	UPPER LEG (THIGH)	473	thigh	120	120
Capell-1956-558-474	2308	THIN	474	thin	120	120
Capell-1956-558-475	2271	THINK	475	think	120	120
Capell-1956-558-476	847	THIRSTY	476	thirsty	120	120
Capell-1956-558-477	1161	THREAD	477	thread	121	121
Capell-1956-558-478	492	THREE	478	three	121	121
Capell-1956-558-479	1346	THROAT	479	throat	121	121
Capell-1956-558-480	1456	THROW	480	throw	121	121
Capell-1956-558-481			481	throwing-stick	122	122
Capell-1956-558-482	1150	THUNDER	482	thunder	122	122
Capell-1956-558-483	613	HIGH TIDE	483	tide (high)	122	122
Capell-1956-558-484	1026	LOW TIDE	484	tide (low)	122	122
Capell-1956-558-485	1757	TIRED	485	tired	123	123
Capell-1956-558-486	974	TOBACCO	486	tobacco	123	123
