ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lama-2012-301-80	079	小麦	Wheat	1077	WHEAT
Lama-2012-301-81	080	豆子	Soybean	2028	SOYA BEAN
Lama-2012-301-82	081	菌子	Mushroom	641	MUSHROOM
Lama-2012-301-83	082	(猪)油	(pork) Oil	2557	PIG FAT
Lama-2012-301-84	083	盐	Salt	1274	SALT
Lama-2012-301-85	084	酒	Liquor	404	ALCOHOL (FERMENTED DRINK)
Lama-2012-301-86	085	肉	Meat	634	MEAT
Lama-2012-301-87	086	路	Road	667	ROAD
Lama-2012-301-88	087	桥	Bridge	1011	BRIDGE
Lama-2012-301-89	088	房子	House	1252	HOUSE
Lama-2012-301-90	089	床	Bed	1663	BED
Lama-2012-301-91	090	门	Door	1567	DOOR
Lama-2012-301-92	091	裤子	Pants	809	TROUSERS
Lama-2012-301-93	092	针	Needle	1382	NEEDLE (FOR SEWING)
Lama-2012-301-94	093	线	Thread	1161	THREAD
Lama-2012-301-95	094	牛	Cattle	1153	CATTLE
Lama-2012-301-96	095	马	Horse	615	HORSE
Lama-2012-301-97	096	绵羊	Sheep	1331	SHEEP
Lama-2012-301-98	097	山羊	Goat	1502	GOAT
Lama-2012-301-99	098	鸡	Chicken	1318	CHICKEN
Lama-2012-301-100	099	翅膀	Wing	1257	WING
Lama-2012-301-101	100	蛋	Egg	744	EGG
Lama-2012-301-102	101	猪	Pig	1337	PIG
Lama-2012-301-103	102	狗	Dog	2009	DOG
Lama-2012-301-104	103	虱子	Louse	1392	LOUSE
Lama-2012-301-105	104	猫	Cat	1208	CAT
Lama-2012-301-106	105	猴子	Monkey	1350	MONKEY
Lama-2012-301-107	106	老虎	Tiger	846	TIGER
Lama-2012-301-108	107	豹子	Leopard	1139	LEOPARD
Lama-2012-301-109	108	麂子	Barking deer	3152	MUNTJACS
Lama-2012-301-110	109	獐子	River deer		
Lama-2012-301-111	110	狐狸	Fox	1312	FOX
Lama-2012-301-112	111	兔子	Rabbit	1136	RABBIT
Lama-2012-301-113	112	耗子	Mouse	1491	MOUSE
Lama-2012-301-114	113	蛇	Snake	730	SNAKE
Lama-2012-301-115	114	虫子	Worm	1219	WORM
Lama-2012-301-116	115	鸟	Bird	937	BIRD
Lama-2012-301-117	116	鹰	Hawk	307	HAWK
Lama-2012-301-118	117	蜜蜂	Bee	665	BEE
Lama-2012-301-119	118	青蛙	Frog	503	FROG
Lama-2012-301-120	119	鱼	Fish	227	FISH
Lama-2012-301-121	120	树	Tree	906	TREE
Lama-2012-301-122	121	根	Root	670	ROOT
Lama-2012-301-123	122	叶子	Leaf	628	LEAF
Lama-2012-301-124	123	竹子	Bamboo	1927	BAMBOO
Lama-2012-301-125	124	花	Flower	239	FLOWER
Lama-2012-301-126	125	草	Grass	606	GRASS
Lama-2012-301-127	126	荆刺	Thorn	124	THORN
Lama-2012-301-128	127	说	Speak	1623	SPEAK
Lama-2012-301-129	128	笑	Laugh	1355	LAUGH
Lama-2012-301-130	129	哭	Cry	1839	CRY
Lama-2012-301-131	130	骂	Scold	299	SCOLD
Lama-2012-301-132	131	坐	Sit	1649	SIT DOWN
Lama-2012-301-133	132	闭	Close (eyes)	2063	CLOSE (EYES)
Lama-2012-301-134	133	擤	Blow (nose)	2679	BLOW (WITH NOSE)
Lama-2012-301-135	134	咬	Chew, bite 嚼,	1403	BITE
Lama-2012-301-136	135	舔	Lick, lap	319	LICK
Lama-2012-301-137	136	吞	Swallow	897	SWALLOW
Lama-2012-301-138	137	吹(火)	Blow (fire)	176	BLOW (WITH MOUTH)
Lama-2012-301-139	138	来	Come	1446	COME
Lama-2012-301-140	139	到	Arrive	1387	ARRIVE
Lama-2012-301-141	140	(脉)跳	Jump, pulse 跳 (高),	1829	JUMP
Lama-2012-301-142	141	看	Watch	1819	LOOK
Lama-2012-301-143	142	听	Listen	1608	LISTEN
Lama-2012-301-144	143	吃	Eat	1336	EAT
Lama-2012-301-145	144	喝	Drink	1401	DRINK
Lama-2012-301-146	145	睡觉	Sleep	1585	SLEEP
Lama-2012-301-147	146	站	Stand up, rise	1442	STAND
Lama-2012-301-148	147	骑	Ride	367	RIDE
Lama-2012-301-149	148	戴	Wear (a hat /shoes)	3428	WEAR (ON HEAD)
Lama-2012-301-150	149	穿(衣服)	Wear (a garment)	976	WEAR
Lama-2012-301-151	150	揹	Carry on the back	465	CARRY ON BACK
Lama-2012-301-152	151	烧	Burn	2102	BURN
Lama-2012-301-153	152	攀(树)	Climb up (a tree)	1102	CLIMB
Lama-2012-301-154	153	给	Give	1447	GIVE
Lama-2012-301-155	154	丢失	Lose (sth.)	3072	MISPLACE
Lama-2012-301-156	155	捡	Pick up (sth.)	371	PICK UP
Lama-2012-301-157	156	找	Look for (sth.)	1468	LOOK FOR
Lama-2012-301-158	157	偷	Steal	713	STEAL
Lama-2012-301-159	158	抢	Rob, loot	2073	ROB (VERB)
Lama-2012-301-160	159	追赶	Chase after	1435	HUNT
Lama-2012-301-161	160	推	Push, shove	1452	PUSH
Lama-2012-301-162	161	藏	Hide (self, sth.)	2486	HIDE
Lama-2012-301-163	162	吓	Frighten, scare	2109	FEAR OR FRIGHTEN
Lama-2012-301-164	163	打	Hit (someone)	1433	HIT
Lama-2012-301-165	164	杀	Kill	1417	KILL
Lama-2012-301-166	165	戳	Jab, poke		
Lama-2012-301-167	166	射	Shoot (an arrow)	1172	SHOOT
Lama-2012-301-168	167	磨(刀)	Whet (a knife)	251	SHARPEN (SOMETHING)
Lama-2012-301-169	168	砍	Chop down (a tree)	355	CUT DOWN
Lama-2012-301-170	169	压	Press, push down	1913	PRESS
Lama-2012-301-171	170	揉(面)	Knead (dough)	274	KNEAD
Lama-2012-301-172	171	搓	Twist (hemp fibers)	430	TWIST
Lama-2012-301-173	172	编(辫子)	Braid	1043	BRAID
Lama-2012-301-174	173	编(篮子)	Weave (a basket)	133	WEAVE
Lama-2012-301-175	174	拔(草)	Pull up (weeds)	3548	PULL UP WEEDS
Lama-2012-301-176	175	剃(头发)	Shave (the head)	231	SHAVE
Lama-2012-301-177	176	筛	Sieve, sift	86	SIEVE
Lama-2012-301-178	177	摏	Pestle, pound		
Lama-2012-301-179	178	舀	Ladle out, scoop up		
Lama-2012-301-180	179	扫(地)	Sweep (floor)	230	SWEEP
Lama-2012-301-181	180	开(门)	Open (the door)	1156	OPEN
Lama-2012-301-182	181	关(门)	Shut (the door)	1046	SHUT
Lama-2012-301-183	182	抱	Hold in the arms	928	EMBRACE
Lama-2012-301-184	183	捲	Roll up (cloth)		
Lama-2012-301-185	184	牵	Pull or Lead (caw)	43	LEAD (GUIDE)
Lama-2012-301-186	185	挖	Dig out	1418	DIG
Lama-2012-301-187	186	做	Do, make	2575	DO OR MAKE
Lama-2012-301-188	187	穿(针)	Thread (a needle)		
Lama-2012-301-189	188	放牧	Put out to pasture	2031	PUT OUT TO PASTURE
Lama-2012-301-190	189	染	Dye	157	DYE
Lama-2012-301-191	190	洗(脸/衣服)	Wash (face/clothes)	1453	WASH
Lama-2012-301-192	191	漏(水)	Leak (barrel)	2253	DRIP (EMIT LIQUID)
Lama-2012-301-193	192	晒	Dry (clothes in the sun)	3364	DRY IN SUN
Lama-2012-301-194	193	烤(火)	Warm oneself by fire	2032	WARM UP
Lama-2012-301-195	194	熏	Fumigate		
Lama-2012-301-196	195	休息	Rest	168	REST
Lama-2012-301-197	196	翻身	Turn over (on bed)	3537	TURN OVER
Lama-2012-301-198	197	梳(头)	Comb (v.)	1475	COMB
Lama-2012-301-199	198	脱(衣)	Take off (clothes)	1755	UNDRESS
Lama-2012-301-200	199	换(衣)	Exchange, change 交换,		
Lama-2012-301-201	200	挑选	Choose	1750	CHOOSE
Lama-2012-301-202	201	养(动物)	Raise (livestock)		
Lama-2012-301-203	202	爬	Crawl (on the floor)	96	CRAWL
Lama-2012-301-204	203	长大	Grow up	552	GROW UP
Lama-2012-301-205	204	玩	Play	1413	PLAY
Lama-2012-301-206	205	(人)	Call (sb.) 叫	1084	CALL
Lama-2012-301-207	206	买	Buy	1869	BUY
Lama-2012-301-208	207	卖	Sell	1571	SELL
Lama-2012-301-209	208	(工工/钱)	Borrow (tool/money) 借	1823	BORROW
Lama-2012-301-210	209	欠(钱)	Own (money)	684	OWN
Lama-2012-301-211	210	有(钱)	Have (money)	773	HAVE
Lama-2012-301-212	211	在(家)	Be at (home)		
Lama-2012-301-213	212	是	Be	1579	BE
Lama-2012-301-214	213	会(做)	Know how to do	972	BE ABLE
Lama-2012-301-215	214	粘	Stick down, glue	254	STICKING
Lama-2012-301-216	215	日出	Sunrise	2296	SUNRISE
Lama-2012-301-217	216	刮(风)	(wind) Blow	175	BLOW (OF WIND)
Lama-2012-301-218	217	下(雪/雨)	(snow, rain) Fall	2234	FALL (OF SNOW AND RAIN)
Lama-2012-301-219	218	漂浮	Float	1574	FLOAT
Lama-2012-301-220	219	(花)开	Blossom (flowers)	3287	BLOOM
Lama-2012-301-221	220	结(果)	Bear (fruit)	3054	BEAR FRUIT
Lama-2012-301-222	221	(叶)落	Drop (leaves)	2866	DROP (SOMETHING)
Lama-2012-301-223	222	倒塌	Collapse (house)		
Lama-2012-301-224	223	驮	(Horses) Carry (loads)		
Lama-2012-301-225	224	飞	Fly	1441	FLY (MOVE THROUGH AIR)
Lama-2012-301-226	225	(蜂)蜇	(wasps) Sting	571	STING
Lama-2012-301-227	226	(雪)融化	(snow) Dissolve		
Lama-2012-301-228	227	Boil(水)涨开	(water)	792	BOIL (OF LIQUID)
Lama-2012-301-229	228	生病	Sick	2327	BECOME SICK
Lama-2012-301-230	229	晕	Feel dizzy or giddy	2712	GET DIZZY
Lama-2012-301-231	230	肿胀	(tissue) Swell	1573	SWELL
Lama-2012-301-232	231	传染	Contaminate		
Lama-2012-301-233	232	熬	Cook, decoct 煮,	1100	COOK (SOMETHING)
Lama-2012-301-234	233	死	Die	1494	DIE
Lama-2012-301-235	234	教	Teach	709	TEACH
Lama-2012-301-236	235	学	Learn	504	LEARN
Lama-2012-301-237	236	写	Write	1672	WRITE
Lama-2012-301-238	237	数(数字)	Count (numbers)	1420	COUNT
Lama-2012-301-239	238	像	Resemble	1777	RESEMBLE
Lama-2012-301-240	239	认识	Recognize (sb.)	2248	KNOW (SOMEBODY)
Lama-2012-301-241	240	大	Big	1202	BIG
Lama-2012-301-242	241	小	Small	1246	SMALL
Lama-2012-301-243	242	长	Long	1203	LONG
Lama-2012-301-244	243	短	Short	1645	SHORT
Lama-2012-301-245	244	粗	Wide (in diameter)	2151	COARSE
Lama-2012-301-246	245	细	Thin (in diameter)	2157	FINE OR THIN
Lama-2012-301-247	246	厚	Thick	1244	THICK
Lama-2012-301-248	247	薄	Thin	2306	THIN (OF LEAF AND CLOTH)
Lama-2012-301-249	248	远	Far	1406	FAR
Lama-2012-301-250	249	近	Near	1942	NEAR
Lama-2012-301-251	250	多	Many, much	1198	MANY
Lama-2012-301-252	251	深	Deep (water)	1593	DEEP
Lama-2012-301-253	252	(水)浅	Shallow (water)	193	SHALLOW
Lama-2012-301-254	253	直	Straight (stick) (木条)	1404	STRAIGHT
Lama-2012-301-255	254	弯	Bent, crooked	297	CROOKED
Lama-2012-301-256	255	(重量)轻	Light (weight)	1052	LIGHT (WEIGHT)
Lama-2012-301-257	256	重	Heavy	1210	HEAVY
Lama-2012-301-258	257	软	Soft	1856	SOFT
Lama-2012-301-259	258	硬	Hard	1884	HARD
Lama-2012-301-260	259	(晒)干	Dry (adj.)	1398	DRY
Lama-2012-301-261	260	湿	Wet	1726	WET
Lama-2012-301-262	261	肥	(meat) Fat	2449	FAT (OF MEAT AND FOOD)
Lama-2012-301-263	262	新	New	1231	NEW
Lama-2012-301-264	263	旧	Old, used	2113	OLD (USED)
Lama-2012-301-265	264	黑	Black	163	BLACK
Lama-2012-301-266	265	白	White	1335	WHITE
Lama-2012-301-267	266	红	Red	156	RED
Lama-2012-301-268	267	黄	Yellow	1424	YELLOW
Lama-2012-301-269	268	冷	Cold (weather, water)	1287	COLD
Lama-2012-301-270	269	热	Hot (weather)	1286	HOT
Lama-2012-301-271	270	酸	Sour	1906	SOUR
Lama-2012-301-272	271	甜	Sweet	717	SWEET
Lama-2012-301-273	272	咸	Bitter, Salty 苦,	1091	SALTY
Lama-2012-301-274	273	渴	Thirsty	847	THIRSTY
Lama-2012-301-275	274	饱	Overeat	106	SATIATED
Lama-2012-301-276	275	饿	Hungry	1533	BE HUNGRY
Lama-2012-301-277	276	够	Enough	1881	ENOUGH
Lama-2012-301-278	277	装满(水)	Be filled up (with water)		
Lama-2012-301-279	278	痒	Itchy	3856	ITCH OR ITCHY OR ITCHING
Lama-2012-301-280	279	醉	Drunken	1463	DRUNK
Lama-2012-301-281	280	疯	Insane		
Lama-2012-301-282	281	(路)滑	Slippery (road)	3702	SLIPPERY
Lama-2012-301-283	282	穷	Poor	1674	POOR
Lama-2012-301-284	283	富	Rich	712	RICH
Lama-2012-301-285	284	锋利	Sharp (knife)	1396	SHARP
Lama-2012-301-286	285	我	I, me	1209	I
Lama-2012-301-287	286	你	You	1215	THOU
Lama-2012-301-288	287	她	He, she 他,	2642	HE OR SHE
Lama-2012-301-289	288	一	One	1493	ONE
Lama-2012-301-290	289	二	Two	1498	TWO
Lama-2012-301-291	290	三	Three	492	THREE
Lama-2012-301-292	291	四	Four	1500	FOUR
Lama-2012-301-293	292	五	Five	493	FIVE
Lama-2012-301-294	293	六	Six	1703	SIX
Lama-2012-301-295	294	七	Seven	1704	SEVEN
Lama-2012-301-296	295	八	Eight	1705	EIGHT
Lama-2012-301-297	296	九	Nine	1483	NINE
Lama-2012-301-298	297	十	Ten	1515	TEN
Lama-2012-301-299	298	百	Hundred	1634	HUNDRED
Lama-2012-301-300	299	双	Pair (CL, shoes)	2089	PAIR (CLASSIFIER)
Lama-2012-301-301	300	个	CL (for persons)	516	PERSON (CLASSIFIER)
