ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-114	114	FIGHT	ДРАТЬСЯ		1423	FIGHT
Starostin-2017-401-115	115	FIND	НАХОДИТЬ	SEE	719	FIND
Starostin-2017-401-116	116	FINGER	ПАЛЕЦ	HAND; NAIL	1303	FINGER
Starostin-2017-401-117	117	FIRE	ОГОНЬ	BURN1; BURN2	221	FIRE
Starostin-2017-401-118	118	FISH	РЫБА		227	FISH
Starostin-2017-401-119	119	FIST	КУЛАК		1473	FIST
Starostin-2017-401-120	120	FLAT	ПЛОСКИЙ	LEAF	1633	FLAT
Starostin-2017-401-121	121	FLEA	БЛОХА	LOUSE	232	FLEA
Starostin-2017-401-122	122	FLOW	ТЕЧЬ	POUR	2003	FLOW
Starostin-2017-401-123	123	FLOWER	ЦВЕТОК		239	FLOWER
Starostin-2017-401-124	124	FLY1 (vb.)	ЛЕТАТЬ	BIRD; FEATHER; JUMP; RUN	1441	FLY (MOVE THROUGH AIR)
Starostin-2017-401-125	125	FLY2 (n.)	МУХА	BEE	1504	FLY (INSECT)
Starostin-2017-401-126	126	FOOT	НОГА	LEG; WALK	1301	FOOT
Starostin-2017-401-127	127	FOREST	ЛЕС	TREE; WOOD	420	FOREST
Starostin-2017-401-128	128	FORGET	ЗАБЫВАТЬ	LOSE	1523	FORGET
Starostin-2017-401-129	129	FREEZE	ЗАМЕРЗАТЬ	COLD; ICE	1431	FREEZE
Starostin-2017-401-130	130	FRESH	СВЕЖИЙ	NEW; RAW	243	FRESH
Starostin-2017-401-131	131	FRIEND	ДРУГ		1325	FRIEND
Starostin-2017-401-132	132	FROG	ЛЯГУШКА		503	FROG
Starostin-2017-401-133	133	FRONT (side)	ПЕРЕД	NOSE	2194	FRONT (PART)
Starostin-2017-401-134	134	FULL	ПОЛНЫЙ	END; PREGNANT; SATIATED	1429	FULL
Starostin-2017-401-135	135	GALL	ЖЕЛЧЬ	BITTER	1780	BILE
Starostin-2017-401-136	136	GATHER (tr.)	СОБИРАТЬ	ALL; MANY	7	GATHER
Starostin-2017-401-137	137	GIVE	ДАВАТЬ	TAKE	1447	GIVE
Starostin-2017-401-138	138	GLUE (n.)	КЛЕЙ		1069	GLUE
Starostin-2017-401-139	139	GNAW	ГРЫЗТЬ	BITE; CHEW	2706	GNAW
Starostin-2017-401-140	140	GO	ИДТИ (уходить)	COME; EXIT; LEAVE; WALK	695	GO
Starostin-2017-401-141	141	GOOD	ХОРОШИЙ		1035	GOOD
Starostin-2017-401-142	142	GRASS	ТРАВА	LEAF	606	GRASS
Starostin-2017-401-143	143	GREEN	ЗЕЛЕНЫЙ	BLUE; NEW; YELLOW; YOUNG	1425	GREEN
Starostin-2017-401-144	144	GROW	РАСТИ	BIG	479	GROW
Starostin-2017-401-145	145	HAIL	ГРАД		609	HAIL
Starostin-2017-401-146	146	HAIR1	ВОЛОСЫ1	HEAD	2648	HAIR (HEAD)
Starostin-2017-401-147	147	HAIR2	ВОЛОСЫ2	BROW; FEATHER; TAIL; WOOL	189	HAIR (BODY)
Starostin-2017-401-148	148	HALF	ПОЛОВИНА		816	HALF
Starostin-2017-401-149	149	HAND	РУКА2	ARM; FINGER; FIVE; TAKE	1277	HAND
Starostin-2017-401-150	150	HANG (tr.)	ВЕШАТЬ		357	HANG UP
Starostin-2017-401-151	151	HARD (of subst.)	ТВЕРДЫЙ	STRONG	1884	HARD
Starostin-2017-401-152	152	HATE (vb.)	НЕНАВИДЕТЬ		1607	HATE
Starostin-2017-401-153	153	HEAD	ГОЛОВА	BRAIN; HAIR1; TOP	1256	HEAD
Starostin-2017-401-154	154	HEALTHY	ЗДОРОВЫЙ		1364	HEALTHY
Starostin-2017-401-155	155	HEAR	СЛЫШАТЬ	ASK; EAR; FEEL; KNOW; LISTEN; UNDERSTAND	1408	HEAR
Starostin-2017-401-156	156	HEART	СЕРДЦЕ	CHEST; LIVER; SOUL	1223	HEART
Starostin-2017-401-157	157	HEAVY	ТЯЖЕЛЫЙ	PREGNANT	1210	HEAVY
Starostin-2017-401-158	158	HEEL	ПЯТКА		980	HEEL
Starostin-2017-401-159	159	HIDE (tr.)	ПРЯТАТЬ	COVER	602	HIDE (CONCEAL)
Starostin-2017-401-160	160	HIGH	ВЫСОКИЙ	BIG; MOUNTAIN	1265	HIGH
Starostin-2017-401-161	161	HIT (vb.)	УДАРИТЬ	KILL; WOUND		
Starostin-2017-401-162	162	HOLE	ДЫРА	DOOR; MOUTH	1667	HOLE
Starostin-2017-401-163	163	HONEY	МЕД	BEE	942	HONEY
Starostin-2017-401-164	164	HOOF	КОПЫТО	NAIL	152	HOOF
Starostin-2017-401-165	165	HORN	РОГ	BRANCH	1393	HORN (ANATOMY)
Starostin-2017-401-166	166	HOT	ГОРЯЧИЙ	SWEET; WARM	1286	HOT
Starostin-2017-401-167	167	HOUSE	ДОМ	NEST	1252	HOUSE
Starostin-2017-401-168	168	HUNGRY	ГОЛОДНЫЙ	DRY	1533	BE HUNGRY
Starostin-2017-401-169	169	HURT (intr.)	БОЛЕТЬ (о части тела)	ILL	2561	HURT (SENSE PAIN)
Starostin-2017-401-170	170	I1 (dir. or gen.)	Я (прямая основа)	I2; WE1; WE2		
Starostin-2017-401-171	171	I2 (indir.)	Я (косв. основа)	I1; WE1; WE2		
