ID	NUMBER	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Nimuendaju-1958-289-71	71	Asche	646	ASH	cinzas
Nimuendaju-1958-289-72	72	Osten	1877	EAST	Leste
Nimuendaju-1958-289-73	73	Westen	1817	WEST	Oeste
Nimuendaju-1958-289-74	74	Norden	1598	NORTH	Norte
Nimuendaju-1958-289-75	75	Süden	1595	SOUTH	Sul
Nimuendaju-1958-289-76	76	Haus	1252	HOUSE	casa
Nimuendaju-1958-289-77	77	Dach	769	ROOF	telhado
Nimuendaju-1958-289-78	78	Tür	1567	DOOR	porta
Nimuendaju-1958-289-79	79	Weg	2252	PATH	caminho
Nimuendaju-1958-289-80	80	Rodung	429	SWIDDEN FIELD	roçado
Nimuendaju-1958-289-81	81	Stangenbett			cama de vara
Nimuendaju-1958-289-82	82	Matte	195	MAT	esteira
Nimuendaju-1958-289-83	83	Hängematte	2019	HAMMOCK	rede
Nimuendaju-1958-289-84	84	Ambaúvafasern			fibras de embaúba
Nimuendaju-1958-289-85	85	Tragnrtz			rede para carregar
Nimuendaju-1958-289-86	86	Kindertragband			tipóia
Nimuendaju-1958-289-87	87	Lagenariaschale	1530	BOWL	cumbuca
Nimuendaju-1958-289-88	88	Lagenariaflasche	411	GOURD	cabaça
Nimuendaju-1958-289-89	89	Topf	1462	POT	pote de barro
Nimuendaju-1958-289-90	90	Schüssel	1530	BOWL	tigela
Nimuendaju-1958-289-91	91	Deckelkorb			cesto com tampa
Nimuendaju-1958-289-92	92	Batatengrabstock			pau para cavar batata-doce
Nimuendaju-1958-289-93	93	Mörser	224	MORTAR	pilão
Nimuendaju-1958-289-94	94	Stössel	225	PESTLE	mão de pilão
Nimuendaju-1958-289-95	95	Sieb	3353	SIEVE (TOOL)	peneira
Nimuendaju-1958-289-96	96	Mandiokamehl	324	MANIOC FLOUR	farinha de mandioca
Nimuendaju-1958-289-97	97	Beijú			beijú
Nimuendaju-1958-289-98	98	Wachskerze	1273	CANDLE	vela de cera
Nimuendaju-1958-289-99	99	Scheere	1328	SCISSORS	tesoura
Nimuendaju-1958-289-100	100	Messer	1352	KNIFE	faca
Nimuendaju-1958-289-101	101	Axt	677	AXE	machado
Nimuendaju-1958-289-102	102	Honigsack			favo de mel
Nimuendaju-1958-289-103	103	Boot	1844	BOAT	canoa
Nimuendaju-1958-289-104	104	Ruder	3137	OAR	remo
Nimuendaju-1958-289-105	105	Angel	1074	FISHHOOK	anzol
Nimuendaju-1958-289-106	106	Käscher			peneira para pesca
Nimuendaju-1958-289-107	107	Bogen	994	BOW	arco
Nimuendaju-1958-289-108	108	Pfeil	977	ARROW	flecha
Nimuendaju-1958-289-109	109	gezahnter Pfeil			flecha dentada
Nimuendaju-1958-289-110	110	sägeförmiger Pfeil			flecha serrilhada
Nimuendaju-1958-289-111	111	Yaguarpfeil			flecha para onça
Nimuendaju-1958-289-112	112	mehrspitziger Pfeil			flecha com várias pontas
Nimuendaju-1958-289-113	113	Vogelpfeil			flecha para caçar aves
Nimuendaju-1958-289-114	114	Schleuderbogen			bodoque (arco para atirar bolas de barro)
Nimuendaju-1958-289-115	115	Tonkugel dazu			bola de barro (para o bodoque)
Nimuendaju-1958-289-116	116	Lanze	945	SPEAR	lança
Nimuendaju-1958-289-117	117	Flinte			espingarda
Nimuendaju-1958-289-118	118	gequirlter Kreiser			pião de girar com a mão
Nimuendaju-1958-289-119	119	Lippenflock, Ohrpflock			bodoque de lábio, de orelha
Nimuendaju-1958-289-120	120	Gürtelschnur			cordão da cintura
Nimuendaju-1958-289-121	121	Mann	1554	MAN	homem
Nimuendaju-1958-289-122	122	Alter, Alte	725	OLD PERSON	velho
Nimuendaju-1958-289-123	123	Jüngling	76	YOUNG MAN	moço
Nimuendaju-1958-289-124	124	Knabe von 12 Jahren			garoto de doze anos
Nimuendaju-1958-289-125	125	Knabe von 7 Jahren			garoto de sete anos
Nimuendaju-1958-289-126	126	kleiner Knabe			pequeno garoto
Nimuendaju-1958-289-127	127	Säugling	1289	BABY	lactente
Nimuendaju-1958-289-128	128	Frau	962	WOMAN	mulher
Nimuendaju-1958-289-129	129	großes Mädchen	77	YOUNG WOMAN	moça
Nimuendaju-1958-289-130	130	Mädchen von 12 Jahren			menina de doze anos
Nimuendaju-1958-289-131	131	kleines Mädchen	1646	GIRL	menininha
Nimuendaju-1958-289-132	132	Vater	1217	FATHER	pai
Nimuendaju-1958-289-133	133	Mutter	1216	MOTHER	mãe
Nimuendaju-1958-289-134	134	seine Mutter			mãe dele
Nimuendaju-1958-289-135	135	meine Frau			minha mulher
Nimuendaju-1958-289-136	136	Weißer			Branco
Nimuendaju-1958-289-137	137	Neger			Negro
Nimuendaju-1958-289-138	138	Indianer	3612	INDIGENOUS PEOPLES OF THE AMERICAS	Índio
Nimuendaju-1958-289-139	139	Mašakarí­			Maxakali
Nimuendaju-1958-289-140	140	Botocudo			Botocudo
Nimuendaju-1958-289-141	141	Patašó			Pataxó
Nimuendaju-1958-289-142	142	Männerhaus	408	MEN'S HOUSE	casa dos homens
Nimuendaju-1958-289-143	143	Tanzplatz			lugar de dança
Nimuendaju-1958-289-144	144	Tanzmaske			máscara de dança
Nimuendaju-1958-289-145	145	Tanzpfahl			mastro para dança
Nimuendaju-1958-289-146	146	Tanzrassel	300	RATTLE	chocalho para dança
Nimuendaju-1958-289-147	147	Stampfrohr			tubo [de taquara] para bater (o ritmo)
Nimuendaju-1958-289-148	148	Schatten	1388	SHADE	sombra
Nimuendaju-1958-289-149	149	Totenseele	1175	GHOST	alma do morto
Nimuendaju-1958-289-150	150	Schwirrholz			(pau) zunidor
Nimuendaju-1958-289-151	151	Affe	1350	MONKEY	macaco
Nimuendaju-1958-289-152	152	Brüllaffe	433	HOWLER MONKEY	guariba
Nimuendaju-1958-289-153	153	Fledermaus	1793	BAT	morcego
Nimuendaju-1958-289-154	154	Hund	2009	DOG	cachorro
Nimuendaju-1958-289-155	155	Fischotter	15	OTTER	lontra, ariranha
Nimuendaju-1958-289-156	156	Yaguar	1250	JAGUAR	onça
Nimuendaju-1958-289-157	157	schwarzer Yaguar			onça preta
Nimuendaju-1958-289-158	158	Puma	1891	PUMA	puma
Nimuendaju-1958-289-159	159	Yaguatirica			jaguatirica
Nimuendaju-1958-289-160	160	Stachelschwein	2510	PORCUPINE	porco espinho
Nimuendaju-1958-289-161	161	Hase	1136	RABBIT	coelho
Nimuendaju-1958-289-162	162	Capivara	314	CAPYBARA	capivara
Nimuendaju-1958-289-163	163	Paca	316	PACA	paca
Nimuendaju-1958-289-164	164	Cutia	313	AGOUTI	cotia
Nimuendaju-1958-289-165	165	Rinde	1169	OX	boi
Nimuendaju-1958-289-166	166	Tayaçú			taiaçu
Nimuendaju-1958-289-167	167	Taitetú			taitetu
Nimuendaju-1958-289-168	168	Hausschwein	1337	PIG	porco doméstico
Nimuendaju-1958-289-169	169	Pferd	615	HORSE	cavalo
Nimuendaju-1958-289-170	170	Tapir	312	TAPIR	anta
Nimuendaju-1958-289-171	171	Tamanduá bandeira	181	ANTEATER	tamanduá bandeira
Nimuendaju-1958-289-172	172	Mixilla			melete
Nimuendaju-1958-289-173	173	Tatu	1885	ARMADILLO	tatu
Nimuendaju-1958-289-174	174	Tatu peba			tatu peba
Nimuendaju-1958-289-175	175	Tatu canastra			tatu canastra
Nimuendaju-1958-289-176	176	Faultier	2446	SLOTH	bicho-preguiça
Nimuendaju-1958-289-177	177	Beutelratte	309	OPOSSUM	gambá
Nimuendaju-1958-289-178	178	Vogel	937	BIRD	ave
Nimuendaju-1958-289-179	179	Ei	744	EGG	ovo
Nimuendaju-1958-289-180	180	Harpye			harpia
Nimuendaju-1958-289-181	181	Falke	307	HAWK	gavião
Nimuendaju-1958-289-182	182	Aasgeier	1185	VULTURE	urubu
Nimuendaju-1958-289-183	183	Königsgeier			urubu-rei
Nimuendaju-1958-289-184	184	Eule	735	OWL	coruja
Nimuendaju-1958-289-185	185	Arara	1630	MACAW	arara
Nimuendaju-1958-289-186	186	Papagai	882	PARROT	papagaio
Nimuendaju-1958-289-187	187	Specht	2447	WOODPECKER	pica-pau
Nimuendaju-1958-289-188	188	Drossel			sabiá
Nimuendaju-1958-289-189	189	Japiim			japim
Nimuendaju-1958-289-190	190	Japu			japu
Nimuendaju-1958-289-191	191	Juruty			juruti
Nimuendaju-1958-289-192	192	Huhn	1318	CHICKEN	galinha
Nimuendaju-1958-289-193	193	Jacu	437	GUAN	jacu
Nimuendaju-1958-289-194	194	Jacutinga			jacutinga
Nimuendaju-1958-289-195	195	Mutum	315	CURASSOW	mutum
Nimuendaju-1958-289-196	196	Anhuma			anhuma
Nimuendaju-1958-289-197	197	Jaçanã			jaçanã
Nimuendaju-1958-289-198	198	Ente	1360	DUCK	pato
Nimuendaju-1958-289-199	199	Reiher	758	HERON	garça
Nimuendaju-1958-289-200	200	?Wasservogel			ave aquática
Nimuendaju-1958-289-201	201	Jacaré	2438	CAIMAN	jacaré
Nimuendaju-1958-289-202	202	Jaboty			jabuti
Nimuendaju-1958-289-203	203	Schlange	730	SNAKE	cobra
Nimuendaju-1958-289-204	204	Giboya	896	ANACONDA (WATER BOA)	jibóia
Nimuendaju-1958-289-205	205	Jararaca	2654	VIPER	jararaca
Nimuendaju-1958-289-206	206	Urutu			urutu
Nimuendaju-1958-289-207	207	Korallenschlange			cobra coral
Nimuendaju-1958-289-208	208	Caninana			caninana
Nimuendaju-1958-289-209	209	Frosch	503	FROG	rã
Nimuendaju-1958-289-210	210	Kröte	894	TOAD	sapo
Nimuendaju-1958-289-211	211	Fisch	227	FISH	peixe
Nimuendaju-1958-289-212	212	Tarahira			traí­ra
Nimuendaju-1958-289-213	213	Piabinha			piabinha
Nimuendaju-1958-289-214	214	Mosquito	1509	MOSQUITO	mosquito
Nimuendaju-1958-289-215	215	Schmetterling	1791	BUTTERFLY	borboleta
Nimuendaju-1958-289-216	216	Biene	665	BEE	abelha
Nimuendaju-1958-289-217	217	Honig	942	HONEY	mel
Nimuendaju-1958-289-218	218	Wachs	1931	BEESWAX	cera
Nimuendaju-1958-289-219	219	Saúva			saúva
Nimuendaju-1958-289-220	220	Cupim	883	TERMITE	cupim
Nimuendaju-1958-289-221	221	Bicho de taquara	2828	MOTH	bicho de taquara
Nimuendaju-1958-289-222	222	Spinne	843	SPIDER	aranha
Nimuendaju-1958-289-223	223	Laus	1392	LOUSE	piolho
Nimuendaju-1958-289-224	224	Sandfloh	438	CHIGGOE (JIGGER FLEA)	bicho de pé
Nimuendaju-1958-289-225	225	Blutegel	2273	LEECH	sanguessuga
Nimuendaju-1958-289-226	226	Baum	906	TREE	árvore
Nimuendaju-1958-289-227	227	Wald	420	FOREST	floresta, mata
Nimuendaju-1958-289-228	228	Holz	1803	WOOD	madeira
Nimuendaju-1958-289-229	229	Bast			entrecasca
Nimuendaju-1958-289-230	230	Rinde	1204	BARK	casca
Nimuendaju-1958-289-231	231	Dorne	124	THORN	espinho
Nimuendaju-1958-289-232	232	Blatte	628	LEAF	folha
Nimuendaju-1958-289-233	233	Blüte	239	FLOWER	inflorescência
Nimuendaju-1958-289-234	234	Frucht	1507	FRUIT	fruta
Nimuendaju-1958-289-235	235	Wurzel	670	ROOT	raiz
Nimuendaju-1958-289-236	236	Sapucaya			sapucaia
Nimuendaju-1958-289-237	237	Ambaúba			ambaúba
Nimuendaju-1958-289-238	238	Timbó			timbó
Nimuendaju-1958-289-239	239	Taquaruçú			taquaruçú
Nimuendaju-1958-289-240	240	Gras	606	GRASS	capim
Nimuendaju-1958-289-241	241	Mandioka	927	MANIOC	mandioca
Nimuendaju-1958-289-242	242	Batate	159	SWEET POTATO	batata-doce
Nimuendaju-1958-289-243	243	Inhame	410	YAM	inhame
Nimuendaju-1958-289-244	244	Mais	506	MAIZE	milho
Nimuendaju-1958-289-245	245	Bohne	832	BEAN	feijão
Nimuendaju-1958-289-246	246	Manduvy	595	GROUNDNUT (PEANUT)	amendoim
Nimuendaju-1958-289-247	247	Kürbis	864	PUMPKIN	moranga
Nimuendaju-1958-289-248	248	Abobara	411	GOURD	abóbora
Nimuendaju-1958-289-249	249	Melancia	2766	WATERMELON	melancia
Nimuendaju-1958-289-250	250	Pfeffer	1385	PEPPER	pimenta
Nimuendaju-1958-289-251	251	Baumwolle	1850	COTTON	algodão
Nimuendaju-1958-289-252	252	Tabak	974	TOBACCO	tabaco
Nimuendaju-1958-289-253	253	Urucú	349	ACHIOTE	urucum
Nimuendaju-1958-289-254	254	ich	1209	I	eu
Nimuendaju-1958-289-255	255	du	1215	THOU	tu
Nimuendaju-1958-289-256	256	er	1211	HE	ele
Nimuendaju-1958-289-257	257	wir zwei	2634	WE TWO	nós dois (ambos)
Nimuendaju-1958-289-258	258	ist mein			é meu
Nimuendaju-1958-289-259	259	ist dein			é teu
Nimuendaju-1958-289-260	260	ist sein			é dele
Nimuendaju-1958-289-261	261	mein Fuß			meu pé
Nimuendaju-1958-289-262	262	dein Fuß			teu pé
Nimuendaju-1958-289-263	263	sein Fuß			pé dele
Nimuendaju-1958-289-264	264	sein Fuß ist rot			o pé dele é vermelho
Nimuendaju-1958-289-265	265	unsre Füße			nossos pés
Nimuendaju-1958-289-266	266	meine Hand			minha mão
Nimuendaju-1958-289-267	267	deine Hand			tua mão
Nimuendaju-1958-289-268	268	seine Hand			mão dele
Nimuendaju-1958-289-269	269	unsre Hände			nossas mãos
Nimuendaju-1958-289-270	270	mein Haar ist schlicht			meu cabelo é liso
Nimuendaju-1958-289-271	271	dein Haar ist schlicht			teu cabelo é liso
Nimuendaju-1958-289-272	272	sein Haar ist wollig			o cabelo dele é crespo
Nimuendaju-1958-289-273	273	unser Haar ist schlicht			nosso cabelo é liso
Nimuendaju-1958-289-274	274	ich habe getötet			eu matei
Nimuendaju-1958-289-275	275	du hast getötet			tu mataste
Nimuendaju-1958-289-276	276	er hat getötet			ele matou
Nimuendaju-1958-289-277	277	ich bin Krank			eu estou doente
Nimuendaju-1958-289-278	278	auf	57	ATOP	sobre
Nimuendaju-1958-289-279	279	unter	1485	BELOW OR UNDER	embaixo de
Nimuendaju-1958-289-280	280	hinter	1686	BEHIND	atrás de
Nimuendaju-1958-289-281	281	vor	1883	IN FRONT OF	em frente de
Nimuendaju-1958-289-282	282	rechte Hand	2183	RIGHT HAND	mão direita
Nimuendaju-1958-289-283	283	linke Hand	2182	LEFT HAND	mão esquerda
Nimuendaju-1958-289-284	284	eins	1493	ONE	um
Nimuendaju-1958-289-285	285	zwei	1498	TWO	dois
Nimuendaju-1958-289-286	286	drei	492	THREE	três
Nimuendaju-1958-289-287	287	vier	1500	FOUR	quatro
Nimuendaju-1958-289-288	288	fünf	493	FIVE	cinco
Nimuendaju-1958-289-289	289	viel	1198	MANY	muito
