ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tryon-1983-200-89	89	**day	1225	DAY (NOT NIGHT)
Tryon-1983-200-90	90	*night	1233	NIGHT
Tryon-1983-200-91	91	**year	1226	YEAR
Tryon-1983-200-92	92	yesterday	1174	YESTERDAY
Tryon-1983-200-93	93	tomorrow	1329	TOMORROW
Tryon-1983-200-94	94	**dust	2	DUST
Tryon-1983-200-95	95	*ashes	646	ASH
Tryon-1983-200-96	96	*fire	221	FIRE
Tryon-1983-200-97	97	*smoke	778	SMOKE (EXHAUST)
Tryon-1983-200-98	98	*cloud	1489	CLOUD
Tryon-1983-200-99	99	**fog	249	FOG
Tryon-1983-200-100	100	lightning	1654	LIGHTNING
Tryon-1983-200-101	101	*rain	2108	RAINING OR RAIN
Tryon-1983-200-102	102	rainbow	1733	RAINBOW
Tryon-1983-200-103	103	thunder	1150	THUNDER
Tryon-1983-200-104	104	**wind	960	WIND
Tryon-1983-200-105	105	*sun	1343	SUN
Tryon-1983-200-106	106	*moon	1313	MOON
Tryon-1983-200-107	107	*star	1430	STAR
Tryon-1983-200-108	108	*water	948	WATER
Tryon-1983-200-109	109	*I	1209	I
Tryon-1983-200-110	110	*you (sg)	1213	YOU
Tryon-1983-200-111	111	**he	1211	HE
Tryon-1983-200-112	112	*we pl.incl.	1131	WE (INCLUSIVE)
Tryon-1983-200-113	113	we pl.excl.	1130	WE (EXCLUSIVE)
Tryon-1983-200-114	114	**you (pl)	1213	YOU
Tryon-1983-200-115	115	**they	817	THEY
Tryon-1983-200-116	116	**here	136	HERE
Tryon-1983-200-117	117	**left	244	LEFT
Tryon-1983-200-118	118	**right	1019	RIGHT
Tryon-1983-200-119	119	*many	1198	MANY
Tryon-1983-200-120	120	*what?	1236	WHAT
Tryon-1983-200-121	121	**when?	1238	WHEN
Tryon-1983-200-122	122	**where?	1237	WHERE
Tryon-1983-200-123	123	*who?	1235	WHO
Tryon-1983-200-124	124	how many?	822	HOW MANY
Tryon-1983-200-125	125	**in	1460	IN
Tryon-1983-200-126	126	**fear	1419	FEAR (BE AFRAID)
Tryon-1983-200-127	127	*life (live)	210	LIFE
Tryon-1983-200-128	128	*black	163	BLACK
Tryon-1983-200-129	129	*green	1425	GREEN
Tryon-1983-200-130	130	*red	156	RED
Tryon-1983-200-131	131	*white	1335	WHITE
Tryon-1983-200-132	132	*yellow	1424	YELLOW
Tryon-1983-200-133	133	**bad	1292	BAD
Tryon-1983-200-134	134	*good	1035	GOOD
Tryon-1983-200-135	135	*big	1202	BIG
Tryon-1983-200-136	136	*small	1246	SMALL
Tryon-1983-200-137	137	*cold	1287	COLD (OF TEMPERATURE)
Tryon-1983-200-138	138	*warm	1232	WARM
Tryon-1983-200-139	139	*dry	1398	DRY
Tryon-1983-200-140	140	**wet	1726	WET
Tryon-1983-200-141	141	*blunt (dull)	379	BLUNT
Tryon-1983-200-142	142	**sharp	1396	SHARP
Tryon-1983-200-143	143	*long	1203	LONG
Tryon-1983-200-144	144	**short	1645	SHORT
Tryon-1983-200-145	145	*new	1231	NEW
Tryon-1983-200-146	146	**thick	1244	THICK
Tryon-1983-200-147	147	**thin	1400	THIN (SLIM)
Tryon-1983-200-148	148	**heavy	1210	HEAVY
Tryon-1983-200-149	149	sick	1847	SICK
Tryon-1983-200-150	150	**smooth	1234	SMOOTH
Tryon-1983-200-151	151	**straight	1404	STRAIGHT
Tryon-1983-200-152	152	**cut (wood)	1432	CUT
Tryon-1983-200-153	153	**dig	1418	DIG
Tryon-1983-200-154	154	*give	1447	GIVE
Tryon-1983-200-155	155	**hit (stick)	1433	HIT
Tryon-1983-200-156	156	**hold	1448	HOLD
Tryon-1983-200-157	157	**pull	1455	PULL
Tryon-1983-200-158	158	**push	1452	PUSH
Tryon-1983-200-159	159	**play	1413	PLAY
Tryon-1983-200-160	160	**rub	1449	RUB
Tryon-1983-200-161	161	**sew	1457	SEW
Tryon-1983-200-162	162	**split	1437	SPLIT
Tryon-1983-200-163	163	**squeeze	1414	SQUEEZE
Tryon-1983-200-164	164	**stab	1434	STAB
Tryon-1983-200-165	165	**throw	1456	THROW
Tryon-1983-200-166	166	**tie	1917	TIE
Tryon-1983-200-167	167	**wash (hands)	1453	WASH
Tryon-1983-200-168	168	*come	1446	COME
Tryon-1983-200-169	169	*fall	1280	FALL
Tryon-1983-200-170	170	go	695	GO
Tryon-1983-200-171	171	*swim	1439	SWIM
Tryon-1983-200-172	172	**turn	1588	TURN
Tryon-1983-200-173	173	*walk	1443	WALK
Tryon-1983-200-174	174	**count	1420	COUNT
Tryon-1983-200-175	175	*know	1410	KNOW (SOMETHING)
Tryon-1983-200-176	176	*say	1458	SAY
Tryon-1983-200-177	177	**sing	1261	SING
Tryon-1983-200-178	178	**think	1415	THINK (REFLECT)
Tryon-1983-200-179	179	*burn	141	BURN (SOMETHING)
Tryon-1983-200-180	180	**float	1574	FLOAT
Tryon-1983-200-181	181	**flow	2003	FLOW
Tryon-1983-200-182	182	*fly (vb)	1441	FLY (MOVE THROUGH AIR)
Tryon-1983-200-183	183	**swell	1573	SWELL
Tryon-1983-200-184	184	*bite	1403	BITE
Tryon-1983-200-185	185	**blow	175	BLOW (OF WIND)
Tryon-1983-200-186	186	cry	1839	CRY
Tryon-1983-200-187	187	*die	1494	DIE
Tryon-1983-200-188	188	*drink	1401	DRINK
Tryon-1983-200-189	189	*eat	1336	EAT
Tryon-1983-200-190	190	*hear	1408	HEAR
Tryon-1983-200-191	191	**laugh	1355	LAUGH
Tryon-1983-200-192	192	**scratch	1436	SCRATCH
Tryon-1983-200-193	193	*see	1409	SEE
Tryon-1983-200-194	194	*sit	1416	SIT
Tryon-1983-200-195	195	*sleep	1585	SLEEP
Tryon-1983-200-196	196	**smell	2124	SMELL
Tryon-1983-200-197	197	**spit	1440	SPIT
Tryon-1983-200-198	198	*stand	1442	STAND
Tryon-1983-200-199	199	**suck	1421	SUCK
Tryon-1983-200-200	200	**vomit	1278	VOMIT
