ID	NUMBER_SOURCE	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huber-1992-373-46	46	46	criatura	baby, infant	1289	BABY
Huber-1992-373-47	47	47	viejo	old man	406	OLD MAN
Huber-1992-373-48	48	48	agua	water	948	WATER
Huber-1992-373-49	49	49	río	river	666	RIVER
Huber-1992-373-50	50	50	isla	island	622	ISLAND
Huber-1992-373-51	51	51	lago	lake	624	LAKE
Huber-1992-373-52	52	52	pantano	swamp	1145	SWAMP
Huber-1992-373-53	53	53	fuente, ojo de agua	spring of water	849	SPRING (OF WATER)
Huber-1992-373-54	54	54	caída de agua	waterfall	943	WATERFALL
Huber-1992-373-55	55	55	catarata, raudal	rapids	1670	RAPIDS
Huber-1992-373-56	56	56	candela, fuego	flame, fire	221	FIRE
Huber-1992-373-57	57	57	ceniza	ash	646	ASH
Huber-1992-373-58	58	58	carbón	charcoal	1188	CHARCOAL
Huber-1992-373-59	59	59	humo	smoke	778	SMOKE (EXHAUST)
Huber-1992-373-60	60	60	leña	firewood	10	FIREWOOD
Huber-1992-373-61	61	61	cielo	sky	1732	SKY
Huber-1992-373-62	62	62	lluvia	rain	658	RAIN (PRECIPITATION)
Huber-1992-373-63	63	63	viento	wind	960	WIND
Huber-1992-373-64	64	64	sol	sun	1343	SUN
Huber-1992-373-65	65	65	luna	moon	1313	MOON
Huber-1992-373-66	66	66	estrella	star	1430	STAR
Huber-1992-373-67	67	67	día	day	1225	DAY (NOT NIGHT)
Huber-1992-373-68	68	68	noche	night	1233	NIGHT
Huber-1992-373-69	69	69	trueno	thunder	1150	THUNDER
Huber-1992-373-70	70	70	relámpago	lightning	1654	LIGHTNING
Huber-1992-373-71	71	71	arco iris	rainbow	1733	RAINBOW
Huber-1992-373-72	72	72	tierra	earth, soil	1228	EARTH (SOIL)
Huber-1992-373-73	73	73	piedra	stone	857	STONE
Huber-1992-373-74	74	74	arena	sand	671	SAND
Huber-1992-373-75	75	75	casa	house	1252	HOUSE
Huber-1992-373-76	76	76	techo	roof	769	ROOF
Huber-1992-373-77	77	77	puerta	door	1567	DOOR
Huber-1992-373-78	78	78	banco	seat, stool	2058	STOOL
Huber-1992-373-79	79	79	estera	mat	195	MAT
Huber-1992-373-80	80	80	hamaca	hammock	2019	HAMMOCK
Huber-1992-373-81	81	81	catre, cama de barbacoa	bed	1663	BED
Huber-1992-373-82	82	82	olla	cooking pot	1462	POT
Huber-1992-373-83	83	83	roza, sementera	cultivated clearing		
Huber-1992-373-84	84	84	caserío	village	930	VILLAGE
Huber-1992-373-85	85	85	camino, sendero, trocha	path, trail	2252	PATH
Huber-1992-373-86	86	86	red	fish net	388	FISHNET
Huber-1992-373-87	87	87	anzuelo	fish hook	1074	FISHHOOK
Huber-1992-373-88	88	88	hacha	axe	677	AXE
Huber-1992-373-89	89	89	cuchillo	knife	1352	KNIFE
Huber-1992-373-90	90	90	canoa	canoe	1970	CANOE
Huber-1992-373-91	91	91	remo	paddle	234	PADDLE
Huber-1992-373-92	92	92	porra, macana	club	1763	CLUB
Huber-1992-373-93	93	93	lanza	spear	945	SPEAR
Huber-1992-373-94	94	94	arco de cazar	bow	994	BOW
Huber-1992-373-95	95	95	flecha	arrow	977	ARROW
Huber-1992-373-96	96	96	cerbatana	blowgun	432	BLOWGUN
Huber-1992-373-97	97	97	danta	tapir	312	TAPIR
Huber-1992-373-98	98	98	tigre	jaguar	1250	JAGUAR
Huber-1992-373-99	99	99	león, puma	puma	1891	PUMA
Huber-1992-373-100	100	100	armadillo	armadillo	1885	ARMADILLO
Huber-1992-373-101	101	101	perro	dog	2009	DOG
Huber-1992-373-102	102	102	venado	deer	1936	DEER
Huber-1992-373-103	103	103	murciélago	bat	1793	BAT
Huber-1992-373-104	104	104	nutria	otter	15	OTTER
Huber-1992-373-105	105	105	capuchín, machín	cebus monkey (cebus capucinus)	439	CEBUS MONKEY
Huber-1992-373-106	106	106	mono aullador	howler monkey (alouatta villosa)	433	HOWLER MONKEY
Huber-1992-373-107	107	107	mono marimonda	black monkey (ateles fusciceps)	434	SPIDER MONKEY
Huber-1992-373-108	108	108	chigüiro, ronsoco	capybara	314	CAPYBARA
Huber-1992-373-109	109	109	oso hormiguero	anteater	181	ANTEATER
Huber-1992-373-110	110	110	paca, guagua	spotted cavy	316	PACA
Huber-1992-373-111	111	111	caimán	cayman	2438	CAIMAN
Huber-1992-373-112	112	112	iguana	iguana	1578	IGUANA
Huber-1992-373-113	113	113	tortuga	tortoise	895	TORTOISE
Huber-1992-373-114	114	114	tortuga, motelo	river turtle	112	TURTLE
Huber-1992-373-115	115	115	saíno	collared peccary	435	COLLARED PECCARY
Huber-1992-373-116	116	116	jabalí mayor	white-lipped peccary	436	WHITE-LIPPED PECCARY
Huber-1992-373-117	117	117	agutí	agouti	313	AGOUTI
Huber-1992-373-118	118	118	rata	rat	1490	RAT
Huber-1992-373-119	119	119	gato	cat	1208	CAT
Huber-1992-373-120	120	120	ratón	mouse	1491	MOUSE
Huber-1992-373-121	121	121	cola	tail	1220	TAIL
Huber-1992-373-122	122	122	serpiente, culebra	snake	730	SNAKE
Huber-1992-373-123	123	123	anaconda	anaconda, water boa	896	ANACONDA (WATER BOA)
Huber-1992-373-124	124	124	cascabel	rattle snake	871	RATTLESNAKE
Huber-1992-373-125	125	125	coral	coral snake	2240	CORAL SNAKE
Huber-1992-373-126	126	126	sapo	toad	894	TOAD
Huber-1992-373-127	127	127	pájaro	bird	937	BIRD
Huber-1992-373-128	128	128	picaflor, colibrí	hummingbird	1589	HUMMINGBIRD
Huber-1992-373-129	129	129	guacamayo	macaw	1630	MACAW
Huber-1992-373-130	130	130	tucán	toucan	308	TOUCAN
Huber-1992-373-131	131	131	loro	parrot	882	PARROT
Huber-1992-373-132	132	132	perico	parakeet	886	PARAKEET
Huber-1992-373-133	133	133	gallinazo	buzzard	1865	BUZZARD
Huber-1992-373-134	134	134	pavo	curassow	315	CURASSOW
Huber-1992-373-135	135	135	lechuza	owl	735	OWL
Huber-1992-373-136	136	136	pava de monte	guan	437	GUAN
Huber-1992-373-137	137	137	gallina	hen	1514	HEN
Huber-1992-373-138	138	138	pescado	fish	227	FISH
Huber-1992-373-139	139	139	caribe	piranha	317	PIRANHA
Huber-1992-373-140	140	140	abeja	bee	665	BEE
Huber-1992-373-141	141	141	mosca	fly	1504	FLY (INSECT)
Huber-1992-373-142	142	142	pulga	flea	232	FLEA
Huber-1992-373-143	143	143	piojo	louse	1392	LOUSE
Huber-1992-373-144	144	144	zancudo	mosquito	1509	MOSQUITO
Huber-1992-373-145	145	145	comején, hormiga blanca	termite	883	TERMITE
Huber-1992-373-146	146	146	hormiga	ant	587	ANT
Huber-1992-373-147	147	147	araña	spider	843	SPIDER
Huber-1992-373-148	148	148	nigua, pigue	jigger flea	438	CHIGGOE (JIGGER FLEA)
Huber-1992-373-149	149	149	monte	bush, jungle	420	FOREST
Huber-1992-373-150	150	150	pajonal, sabana	open grassland	260	SAVANNA
Huber-1992-373-151	151	151	cerro, loma	hill	614	HILL
Huber-1992-373-152	152	152	árbol	tree	906	TREE
Huber-1992-373-153	153	153	hoja	leaf	2250	LEAF (LEAFLIKE OBJECT)
Huber-1992-373-154	154	154	hoja de árbol	tree leaf	628	LEAF
Huber-1992-373-155	155	155	flor	flower	239	FLOWER
Huber-1992-373-156	156	156	fruta	fruit	1507	FRUIT
Huber-1992-373-157	157	157	savia	sap	345	SAP
Huber-1992-373-158	158	158	raíz	root	670	ROOT
Huber-1992-373-159	159	159	semilla	seed	714	SEED
Huber-1992-373-160	160	160	palo	stick	1295	STICK
Huber-1992-373-161	161	161	hierba	grass	606	GRASS
Huber-1992-373-162	162	162	maíz	corn, maize	506	MAIZE
Huber-1992-373-163	163	163	yuca	manioc	925	CASSAVA
Huber-1992-373-164	164	164	harina de yuca	manioc flour	324	MANIOC FLOUR
Huber-1992-373-165	165	165	tabaco	tabacco	974	TOBACCO
Huber-1992-373-166	166	166	algodón	cotton	1850	COTTON
Huber-1992-373-167	167	167	calabazo poro	gourd	411	GOURD
Huber-1992-373-168	168	168	ñame	yam	410	YAM
Huber-1992-373-169	169	169	camote	sweet potato	159	SWEET POTATO
Huber-1992-373-170	170	170	achiote, bija	achiote	349	ACHIOTE
Huber-1992-373-171	171	171	ají	chili pepper	919	CHILI PEPPER
Huber-1992-373-172	172	172	coca	coca	137	COCA
Huber-1992-373-173	173	173	ajahuasca, jajé	Banisterium, hallucinogenic vine	276	BANISTERIUM
Huber-1992-373-174	174	174	plátano	plantain	399	PLANTAIN
Huber-1992-373-175	175	175	chonta	chonta palm	440	CHONTA PALM
Huber-1992-373-176	178	176	caña brava	cane	659	REED
Huber-1992-373-177	179	177	sal	salt	1274	SALT
Huber-1992-373-178	180	178	chicha, masato	chicha	441	CHICHA
Huber-1992-373-179	181	179	uno	one	1493	ONE
Huber-1992-373-180	182	180	dos	two	1498	TWO
Huber-1992-373-181	183	181	tres	three	492	THREE
Huber-1992-373-182	184	182	cuatro	four	1500	FOUR
Huber-1992-373-183	185	183	cinco	five	493	FIVE
Huber-1992-373-184	186	184	seis	six	1703	SIX
Huber-1992-373-185	187	185	siete	seven	1704	SEVEN
Huber-1992-373-186	188	186	ocho	eight	1705	EIGHT
Huber-1992-373-187	189	187	nueve	nine	1483	NINE
Huber-1992-373-188	190	188	diez	ten	1515	TEN
Huber-1992-373-189	191	189	primero	first	728	FIRST
Huber-1992-373-190	192	190	último	last	1529	LAST (FINAL)
Huber-1992-373-191	193	191	sonahero, maraca	rattle	300	RATTLE
Huber-1992-373-192	194	192	tambor	drum	908	DRUM
Huber-1992-373-193	195	193	cushma	cushma	450	CUSHMA
Huber-1992-373-194	196	194	orejera, arete	ear ornament		
Huber-1992-373-195	197	195	máscara	mask	2005	MASK
Huber-1992-373-196	198	196	curandero	healer, shaman	394	SHAMAN (FOLK HEALER)
Huber-1992-373-197	199	197	cacique, curaca, capitán	chief	301	CHIEFTAIN
Huber-1992-373-198	200	198	yo, mi	I, me, my	1209	I
Huber-1992-373-199	201	199	usted	you singular	1215	THOU
Huber-1992-373-200	202	200	él	he	1211	HE
Huber-1992-373-201	203	201	élla	she	1834	SHE
Huber-1992-373-202	204	202	nosotros inclusivo	we inclusive	1131	WE (INCLUSIVE)
Huber-1992-373-203	205	203	nosotros exclusivo	we exclusive	1130	WE (EXCLUSIVE)
Huber-1992-373-204	206	204	ustedes	you plural	1213	YOU
Huber-1992-373-205	207	205	ellos	they	817	THEY
Huber-1992-373-206	208	206	mi mano	my hand		
Huber-1992-373-207	209	207	tu mano	your (sg.) hand		
Huber-1992-373-208	210	208	su mano	his hand		
Huber-1992-373-209	211	209	nuestras manos	our hand		
Huber-1992-373-210	212	210	sus manos (de ustedes)	your (pl.) hands		
Huber-1992-373-211	213	211	sus manos (de ellos)	their hands		
Huber-1992-373-212	214	212	mi arco	my bow		
Huber-1992-373-213	215	213	tu arco	your bow		
Huber-1992-373-214	216	214	su arco (de él)	his bow		
Huber-1992-373-215	217	215	nuestro arco	our bow		
Huber-1992-373-216	218	216	su arco (de ustedes)	your (plur.) bow		
Huber-1992-373-217	219	217	su arco (de ellos)	their bow		
Huber-1992-373-218	220	218	grande	big	1202	BIG
Huber-1992-373-219	221	219	pequeño	small, little	1246	SMALL
Huber-1992-373-220	222	220	frío	cold	1287	COLD
Huber-1992-373-221	223	221	ealiente	hot	1286	HOT
Huber-1992-373-222	224	222	bueno	good	1035	GOOD
Huber-1992-373-223	225	223	malo	bad	1292	BAD
Huber-1992-373-224	226	224	blanco	white	1335	WHITE
Huber-1992-373-225	227	225	negro	black	163	BLACK
Huber-1992-373-226	228	226	vaya, ve!	go!	695	GO
Huber-1992-373-227	229	227	ven!	come!	1446	COME
Huber-1992-373-228	230	228	come!	eat!	1336	EAT
Huber-1992-373-229	231	229	bebe!	drink!	1401	DRINK
Huber-1992-373-230	232	230	duerme!	sleep!	1585	SLEEP
Huber-1992-373-231	233	231	corona	crown of head	1943	CROWN (OF HEAD)
Huber-1992-373-232	234	232	dientes selanteros incivos	front teeth, incisors	442	FRONT TOOTH (INCISOR)
Huber-1992-373-233	235	233	punta de la lengua	tongue tip	443	TIP (OF TONGUE)
Huber-1992-373-234	236	234	pelo largo	long hair	444	LONG HAIR
Huber-1992-373-235	237	235	garganta y cuello	the neck region	1347	NAPE (OF NECK)
Huber-1992-373-236	238	236	nuez de la garganta	Adam's apple	802	ADAM'S APPLE
Huber-1992-373-237	239	237	espalda, parte superior	upper back	445	UPPER BACK
Huber-1992-373-238	240	238	antebrazo	forearm	446	LOWER ARM
Huber-1992-373-239	241	239	muñeca	wrist	799	WRIST
Huber-1992-373-240	242	240	pierna inferior	lower leg	447	LOWER LEG
Huber-1992-373-241	243	241	el pelo del cuerpo	body hair	189	HAIR (BODY)
Huber-1992-373-242	244	242	estómago	stomach	819	STOMACH
Huber-1992-373-243	245	243	intestinos	intestines	1991	INTESTINES
Huber-1992-373-244	246	244	viejita	old woman	907	OLD WOMAN
Huber-1992-373-245	247	245	nubes quietas	clouds at rest	1489	CLOUD
Huber-1992-373-246	248	246	nubes de tormenta	storm clouds	448	STORM CLOUDS
Huber-1992-373-247	249	247	roza, sementera	cultivated clearing		
Huber-1992-373-248	250	248	quebrada	stream	947	STREAM
Huber-1992-373-249	251	249	piedrecillas	pebbles	961	PEBBLES
Huber-1992-373-250	252	250	rocas	huge rocks		
Huber-1992-373-251	253	251	camino, sendero, trocha	path, trail	2252	PATH
Huber-1992-373-252	254	252	persianas	venetian blinds		
Huber-1992-373-253	255	253	rancho	shelter	1678	HUT
Huber-1992-373-254	256	254	este	this	1214	THIS
Huber-1992-373-255	257	255	eso, ese, aquel	that	78	THAT
Huber-1992-373-256	258	256	quién	who	1235	WHO
Huber-1992-373-257	259	257	que	what	1236	WHAT
Huber-1992-373-258	260	258	no	not	1240	NOT
Huber-1992-373-259	261	259	todos	all	98	ALL
Huber-1992-373-260	262	260	muchos	many	1198	MANY
Huber-1992-373-261	263	261	largo	long	1203	LONG
Huber-1992-373-262	264	262	corteza	bark	1204	BARK
Huber-1992-373-263	265	263	carne	flesh	2259	FLESH
Huber-1992-373-264	266	264	sangre	blood	946	BLOOD
Huber-1992-373-265	267	265	grasa	grease, animal fat	1282	FAT (FROM ANIMALS)
Huber-1992-373-266	268	266	huevo	egg	744	EGG
Huber-1992-373-267	269	267	cuerno	horn	1393	HORN (ANATOMY)
Huber-1992-373-268	270	268	pluma	feather	1201	FEATHER
Huber-1992-373-269	271	269	uña	claw, nail	2128	CLAW OR NAIL
Huber-1992-373-270	272	270	barriga	belly	1251	BELLY
Huber-1992-373-271	273	271	hígado	liver	1224	LIVER
Huber-1992-373-272	274	272	beber	drink	1401	DRINK
Huber-1992-373-273	275	273	comer	eat	1336	EAT
Huber-1992-373-274	276	274	morder	bite	1403	BITE
Huber-1992-373-275	277	275	ver	see	1409	SEE
Huber-1992-373-276	278	276	oir	hear	1408	HEAR
Huber-1992-373-277	279	277	saber	know	1410	KNOW (SOMETHING)
Huber-1992-373-278	280	278	dormir	sleep	1585	SLEEP
Huber-1992-373-279	281	279	morir	die	1494	DIE
Huber-1992-373-280	282	280	matar	kill	1417	KILL
Huber-1992-373-281	283	281	nadar	swim (not bathe)	1439	SWIM
Huber-1992-373-282	284	282	volar	fly	1441	FLY (MOVE THROUGH AIR)
Huber-1992-373-283	285	283	andar	walk	1443	WALK
Huber-1992-373-284	286	284	venir	come	1446	COME
Huber-1992-373-285	287	285	acostarse	lie down	215	LIE DOWN
Huber-1992-373-286	288	286	sentarse	sit down	1649	SIT DOWN
Huber-1992-373-287	289	287	ponerse, en pie, de pie	stand	1442	STAND
Huber-1992-373-288	290	288	dar	give	1447	GIVE
Huber-1992-373-289	291	289	decir	say	1458	SAY
Huber-1992-373-290	292	290	quemar, arder	burn	2102	BURN
Huber-1992-373-291	293	291	montaña	mountain	639	MOUNTAIN
Huber-1992-373-292	294	292	rojo	red	156	RED
Huber-1992-373-293	295	293	verde	green	1425	GREEN
Huber-1992-373-294	296	294	amarillo	yellow	1424	YELLOW
Huber-1992-373-295	297	295	lleno	full	1429	FULL
Huber-1992-373-296	298	296	nuevo	new	1231	NEW
Huber-1992-373-297	299	297	redondo	round	1395	ROUND
Huber-1992-373-298	300	298	seco	dry	1398	DRY
Huber-1992-373-299	301	299	nombre	name	1405	NAME
Huber-1992-373-300	302	300	cómo	how	1239	HOW
Huber-1992-373-301	303	301	cuándo	when	1238	WHEN
Huber-1992-373-302	304	302	dónde	where	1237	WHERE
Huber-1992-373-303	305	303	aquí	here	136	HERE
Huber-1992-373-304	306	304	allí	there	1937	THERE
Huber-1992-373-305	307	305	otro	other	197	OTHER
Huber-1992-373-306	308	306	pocos	few	1242	FEW
Huber-1992-373-307	309	307	neblina	fog	249	FOG
Huber-1992-373-308	310	308	fluir	flow	2003	FLOW
Huber-1992-373-309	311	309	mar	sea	1474	SEA
Huber-1992-373-310	312	310	mojar	wet	1726	WET
Huber-1992-373-311	313	311	lavar	wash	1453	WASH
Huber-1992-373-312	314	312	gusano	worm	1219	WORM
Huber-1992-373-313	315	313	ala	wing	1257	WING
Huber-1992-373-314	316	314	piel peluda	fur	580	FUR
Huber-1992-373-315	317	315	ombligo	navel	1838	NAVEL
Huber-1992-373-316	318	316	saliva	saliva	1503	SALIVA
Huber-1992-373-317	319	317	leche	milk	635	MILK
Huber-1992-373-318	320	318	con	with	1340	WITH
Huber-1992-373-319	321	319	en	in	1460	IN
Huber-1992-373-320	322	320	en, lugar definido	at	1461	AT
Huber-1992-373-321	323	321	siete	if	1459	IF
Huber-1992-373-322	324	322	hielo	ice	617	ICE
Huber-1992-373-323	325	323	nieve	snow	784	SNOW
Huber-1992-373-324	326	324	helarse	freeze	1431	FREEZE
Huber-1992-373-325	327	325	niño	child	1304	CHILD (YOUNG HUMAN)
Huber-1992-373-326	328	326	oscuro	dark	706	DARK
Huber-1992-373-327	329	327	cortar	cut	1432	CUT
Huber-1992-373-328	330	328	ancho	wide	1243	WIDE
Huber-1992-373-329	331	329	estrecho, angosto	narrow	1267	NARROW
Huber-1992-373-330	332	330	lejos	far	1406	FAR
Huber-1992-373-331	333	331	cerca	near	1942	NEAR
Huber-1992-373-332	334	332	grueso	thick	1244	THICK
Huber-1992-373-333	335	333	delgado	thin	2308	THIN
Huber-1992-373-334	336	334	corto	short	1645	SHORT
Huber-1992-373-335	337	335	pesado	heavy	1210	HEAVY
Huber-1992-373-336	338	336	embotado	dull	379	BLUNT
Huber-1992-373-337	339	337	afilado	sharp	1396	SHARP
Huber-1992-373-338	340	338	sucio	dirty	1230	DIRTY
Huber-1992-373-339	341	339	podrido	rotten	1728	ROTTEN
Huber-1992-373-340	342	340	liso	smooth	1234	SMOOTH
Huber-1992-373-341	343	341	recto	straight	1404	STRAIGHT
Huber-1992-373-342	344	342	correcto	correct	1725	CORRECT (RIGHT)
Huber-1992-373-343	345	343	ezquierdo	left	244	LEFT
Huber-1992-373-344	346	344	derecho	right	1019	RIGHT
Huber-1992-373-345	347	345	viejo	old	1229	OLD
Huber-1992-373-346	348	346	frotar	rub	1449	RUB
Huber-1992-373-347	349	347	jalar, arrastrar	pull	1455	PULL
Huber-1992-373-348	350	348	empujar	push	1452	PUSH
Huber-1992-373-349	351	349	echar	throw	1456	THROW
Huber-1992-373-350	352	350	golpear	hit	1433	HIT
Huber-1992-373-351	353	351	hender	split	1437	SPLIT
Huber-1992-373-352	354	352	punzar, chuzar	pierce	398	PIERCE
Huber-1992-373-353	355	353	cavar	dig	1418	DIG
Huber-1992-373-354	356	354	atar	tie	1917	TIE
Huber-1992-373-355	357	355	coser	sew	1457	SEW
Huber-1992-373-356	358	356	caer	fall	1280	FALL
Huber-1992-373-357	359	357	hinchar	swell	1573	SWELL
Huber-1992-373-358	360	358	pensar	think	2271	THINK
Huber-1992-373-359	361	359	cantar	sing	1261	SING
Huber-1992-373-360	362	360	oler	smell	1586	SMELL (PERCEIVE)
Huber-1992-373-361	363	361	vomitar	vomit	1278	VOMIT
Huber-1992-373-362	364	362	chupar	suck	1421	SUCK
Huber-1992-373-363	365	363	soplar	blow	175	BLOW (OF WIND)
Huber-1992-373-364	366	364	temer	fear	1419	FEAR (BE AFRAID)
Huber-1992-373-365	367	365	apretar, exprimir	tighten, squeeze	1414	SQUEEZE
Huber-1992-373-366	368	366	sostener	hold	1448	HOLD
Huber-1992-373-367	369	367	abajo	down	1326	DOWN
Huber-1992-373-368	370	368	arriba	up	1591	UP
Huber-1992-373-369	371	369	maduro	ripe	178	RIPE
Huber-1992-373-370	372	370	polvo	dust	2	DUST
Huber-1992-373-371	373	371	vivo	alive	1422	BE ALIVE
Huber-1992-373-372	374	372	cuerda	rope	1218	ROPE
Huber-1992-373-373	375	373	año	year	1226	YEAR
