ID	NUMBER	SPANISH	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1961-100-76	76	lluvia	rain	658	RAIN (PRECIPITATION)
Swadesh-1961-100-77	77	piedra	stone	857	STONE
Swadesh-1961-100-78	78	arena	sand	671	SAND
Swadesh-1961-100-79	79	tierra	earth	1228	EARTH (SOIL)
Swadesh-1961-100-80	80	nube	cloud	1489	CLOUD
Swadesh-1961-100-81	81	humo	smoke	778	SMOKE (EXHAUST)
Swadesh-1961-100-82	82	fuego	fire	221	FIRE
Swadesh-1961-100-83	83	ceniza	ash	646	ASH
Swadesh-1961-100-84	84	arder	burn	2102	BURN
Swadesh-1961-100-85	85	camino	path	2252	PATH
Swadesh-1961-100-86	86	cerro	mountain	639	MOUNTAIN
Swadesh-1961-100-87	87	rojo	red	156	RED
Swadesh-1961-100-88	88	verde	green	1425	GREEN
Swadesh-1961-100-89	89	amarillo	yellow	1424	YELLOW
Swadesh-1961-100-90	90	blanco	white	1335	WHITE
Swadesh-1961-100-91	91	negro	black	163	BLACK
Swadesh-1961-100-92	92	noche	night	1233	NIGHT
Swadesh-1961-100-93	93	caliente	hot	1286	HOT
Swadesh-1961-100-94	94	frío	cold	1287	COLD
Swadesh-1961-100-95	95	lleno	full	1429	FULL
Swadesh-1961-100-96	96	nuevo	new	1231	NEW
Swadesh-1961-100-97	97	bueno	good	1035	GOOD
Swadesh-1961-100-98	98	redondo	round	1395	ROUND
Swadesh-1961-100-99	99	seco	dry	1398	DRY
Swadesh-1961-100-100	100	nombre	name	1405	NAME
