ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RATE
Pagel-2018-200-88	88	leg	1297	LEG	0.000293917
Pagel-2018-200-89	89	lie			0.000226318
Pagel-2018-200-90	90	live	1422	BE ALIVE	7.1041E-05
Pagel-2018-200-92	92	long			0.000127153
Pagel-2018-200-93	93	louse	1392	LOUSE	0.000138859
Pagel-2018-200-94	94	man	1554	MAN	0.000243498
Pagel-2018-200-95	95	many	1198	MANY	0.000288312
Pagel-2018-200-96	96	meat	634	MEAT	0.000123454
Pagel-2018-200-97	97	mother	1216	MOTHER	0.000111635
Pagel-2018-200-98	98	mountain	639	MOUNTAIN	0.000242354
Pagel-2018-200-99	99	mouth	674	MOUTH	0.000183248
Pagel-2018-200-100	100	name	1405	NAME	4.2017E-05
Pagel-2018-200-101	101	narrow	1267	NARROW	0.000208855
Pagel-2018-200-102	102	near	1942	NEAR	0.000364327
Pagel-2018-200-103	103	neck	1333	NECK	0.000209337
Pagel-2018-200-104	104	new	1231	NEW	8.16636E-05
Pagel-2018-200-105	105	night	1233	NIGHT	4.5387E-05
Pagel-2018-200-106	106	nose	1221	NOSE	0.000152757
Pagel-2018-200-107	107	not	1240	NOT	4.64681E-05
Pagel-2018-200-108	108	old	1229	OLD	0.000151154
Pagel-2018-200-109	109	one	1493	ONE	3.31606E-05
Pagel-2018-200-110	110	other	197	OTHER	0.000149297
Pagel-2018-200-111	111	person	683	PERSON	0.000273445
Pagel-2018-200-112	112	play	1413	PLAY	0.000196869
Pagel-2018-200-113	113	pull	1455	PULL	0.00023025
Pagel-2018-200-114	114	push	1452	PUSH	0.000462207
Pagel-2018-200-115	115	rain	2108	RAINING OR RAIN	0.000119644
Pagel-2018-200-116	116	red	156	RED	0.000199829
Pagel-2018-200-117	117	right			0.000247233
Pagel-2018-200-118	118	rightside	1019	RIGHT	0.000232149
Pagel-2018-200-119	119	river	666	RIVER	0.000243491
Pagel-2018-200-120	120	road	667	ROAD	0.000324657
Pagel-2018-200-121	121	root	670	ROOT	0.000132058
Pagel-2018-200-122	122	rope	1218	ROPE	0.000371316
Pagel-2018-200-123	123	rotten	1728	ROTTEN	0.000181007
Pagel-2018-200-124	124	rub	1449	RUB	0.000231099
Pagel-2018-200-125	125	salt	1274	SALT	0.000109873
Pagel-2018-200-126	126	sand	671	SAND	0.00026224
Pagel-2018-200-127	127	say	1458	SAY	0.000262213
Pagel-2018-200-128	128	scratch	1436	SCRATCH	0.000433208
Pagel-2018-200-129	129	sea	1474	SEA	0.000160834
Pagel-2018-200-130	130	see	1409	SEE	0.000162618
Pagel-2018-200-131	131	seed	714	SEED	0.000146634
Pagel-2018-200-132	132	sew	1457	SEW	0.000129073
Pagel-2018-200-133	133	sharp	1396	SHARP	0.000182466
Pagel-2018-200-134	134	short	1645	SHORT	0.000274735
Pagel-2018-200-135	135	sing	1261	SING	0.000134706
Pagel-2018-200-136	136	sit	1416	SIT	0.000116222
Pagel-2018-200-137	137	skin	763	SKIN	0.000196501
Pagel-2018-200-138	138	sky	1732	SKY	0.000168488
Pagel-2018-200-139	139	sleep	1585	SLEEP	0.000159814
Pagel-2018-200-140	140	small	1246	SMALL	0.000220408
Pagel-2018-200-141	141	smell	2124	SMELL	0.000361635
Pagel-2018-200-142	142	smoke			0.000151871
Pagel-2018-200-143	143	smooth	1234	SMOOTH	0.000398131
Pagel-2018-200-144	144	snake	730	SNAKE	0.000211902
Pagel-2018-200-145	145	snow	784	SNOW	9.74469E-05
Pagel-2018-200-146	146	some	1241	SOME	0.000286801
Pagel-2018-200-147	147	spit	1440	SPIT	0.000147271
Pagel-2018-200-148	148	split	1437	SPLIT	0.000311912
Pagel-2018-200-149	149	squeeze	1414	SQUEEZE	0.000425206
Pagel-2018-200-150	150	stab	1434	STAB	0.000343735
Pagel-2018-200-151	151	stand	1442	STAND	0.000189746
Pagel-2018-200-152	152	star	1430	STAR	4.49683E-05
Pagel-2018-200-153	153	stick	1295	STICK	0.000387127
Pagel-2018-200-154	154	stone	857	STONE	0.000177495
Pagel-2018-200-155	155	straight	1404	STRAIGHT	0.000224293
Pagel-2018-200-156	156	suck	1421	SUCK	0.000223639
Pagel-2018-200-157	157	sun	1343	SUN	9.87597E-05
Pagel-2018-200-158	158	swell	1573	SWELL	0.0002814
Pagel-2018-200-159	159	swim	1439	SWIM	0.000198864
Pagel-2018-200-160	160	tail	1220	TAIL	0.000317786
Pagel-2018-200-161	161	that	78	THAT	0.000122188
Pagel-2018-200-162	162	there	1937	THERE	0.000161624
Pagel-2018-200-163	163	they	817	THEY	0.000252677
Pagel-2018-200-164	164	thick	1244	THICK	0.000253794
Pagel-2018-200-165	165	thin	2308	THIN	0.000262963
