ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Category	Category_ID	Page
Dawson-1887-731-34	34	Eyelash	1540	EYELASH	Part of the Body	2	28
Dawson-1887-731-35	35	Eyebrow	1173	EYEBROW	Part of the Body	2	28
Dawson-1887-731-36	36	Upper eyelid			Part of the Body	2	28
Dawson-1887-731-37	37	Lower eyelid			Part of the Body	2	28
Dawson-1887-731-38	38	Ear	1247	EAR	Part of the Body	2	28
Dawson-1887-731-39	39	Perforation in the ear			Part of the Body	2	28
Dawson-1887-731-40	40	Nose	1221	NOSE	Part of the Body	2	28
Dawson-1887-731-41	41	Ridge of nose			Part of the Body	2	28
Dawson-1887-731-42	42	Nostril	1178	NOSTRIL	Part of the Body	2	28
Dawson-1887-731-43	43	Septum of nose			Part of the Body	2	28
Dawson-1887-731-44	44	Perforation of septum of nose			Part of the Body	2	28
Dawson-1887-731-45	45	Cheek	1730	CHEEK	Part of the Body	2	28
Dawson-1887-731-46	46	Beard	678	BEARD	Part of the Body	2	28
Dawson-1887-731-47	47	Mouth	674	MOUTH	Part of the Body	2	28
Dawson-1887-731-48	48	Upper lip			Part of the Body	2	28
Dawson-1887-731-49	49	Lower lip			Part of the Body	2	28
Dawson-1887-731-50	50	Tooth	1380	TOOTH	Part of the Body	2	28
Dawson-1887-731-51	51	Tongue	1205	TONGUE	Part of the Body	2	28
Dawson-1887-731-52	52	Saliva	1503	SALIVA	Part of the Body	2	28
Dawson-1887-731-53	53	Palate	540	PALATE	Part of the Body	2	28
Dawson-1887-731-54	54	Throat	1346	THROAT	Part of the Body	2	28
Dawson-1887-731-55	55	Chin	1510	CHIN	Part of the Body	2	28
Dawson-1887-731-56	56	Neck	1333	NECK	Part of the Body	2	28
Dawson-1887-731-57	57	Adam's apple	802	ADAM'S APPLE	Part of the Body	2	28
Dawson-1887-731-58	58	Body	1480	BODY	Part of the Body	2	28
Dawson-1887-731-59	59	Shoulder	1482	SHOULDER	Part of the Body	2	28
Dawson-1887-731-60	60	Shoulder-blade	172	SHOULDERBLADE	Part of the Body	2	28
Dawson-1887-731-61	61	Back	1291	BACK	Part of the Body	2	28
Dawson-1887-731-62	62	Breast	1402	BREAST	Part of the Body	2	28
Dawson-1887-731-63	63	Hip	1745	HIP	Part of the Body	2	28
Dawson-1887-731-64	64	Belly	1251	BELLY	Part of the Body	2	28
Dawson-1887-731-65	65	Navel	1838	NAVEL	Part of the Body	2	28
Dawson-1887-731-66	66	Arm	1673	ARM	Part of the Body	2	28
Dawson-1887-731-67	67	Right arm			Part of the Body	2	28
Dawson-1887-731-68	68	Left arm			Part of the Body	2	28
Dawson-1887-731-69	69	Arm pits	1886	ARMPIT	Part of the Body	2	28
Dawson-1887-731-70	70	Elbow	981	ELBOW	Part of the Body	2	28
Dawson-1887-731-71	71	Wrist	799	WRIST	Part of the Body	2	28
Dawson-1887-731-72	72	Hand	1277	HAND	Part of the Body	2	28
Dawson-1887-731-73	73	Palm of hand	1183	PALM OF HAND	Part of the Body	2	28
Dawson-1887-731-74	74	Back of hand			Part of the Body	2	28
Dawson-1887-731-75	75	Fingers	1303	FINGER	Part of the Body	2	28
Dawson-1887-731-76	76	Thumb	1781	THUMB	Part of the Body	2	28
Dawson-1887-731-77	77	First finger			Part of the Body	2	28
Dawson-1887-731-78	78	Second finger	3387	MIDDLE FINGER	Part of the Body	2	28
Dawson-1887-731-79	79	Third finger			Part of the Body	2	28
Dawson-1887-731-80	80	Small finger			Part of the Body	2	28
Dawson-1887-731-81	81	Finger nail	1258	FINGERNAIL	Part of the Body	2	28
Dawson-1887-731-82	82	Knuckle	2824	KNUCKLE	Part of the Body	2	28
Dawson-1887-731-83	83	Space between knuckles			Part of the Body	2	28
Dawson-1887-731-84	84	Rump			Part of the Body	2	28
Dawson-1887-731-85	85	Leg	1297	LEG	Part of the Body	2	28
Dawson-1887-731-86	86	Leg above knee	471	UPPER LEG	Part of the Body	2	28
Dawson-1887-731-87	87	Knee	1371	KNEE	Part of the Body	2	28
Dawson-1887-731-88	88	Leg below knee	447	LOWER LEG	Part of the Body	2	28
Dawson-1887-731-89	89	Calf of the leg	498	CALF OF LEG	Part of the Body	2	28
Dawson-1887-731-90	90	Ankle	803	ANKLE	Part of the Body	2	29
Dawson-1887-731-91	91	Ankle bone			Part of the Body	2	29
Dawson-1887-731-92	92	Instep	3736	INSTEP	Part of the Body	2	29
Dawson-1887-731-93	93	Foot	1301	FOOT	Part of the Body	2	29
Dawson-1887-731-94	94	Sole of foot	2666	SOLE (FOOT)	Part of the Body	2	29
Dawson-1887-731-95	95	Heel	980	HEEL	Part of the Body	2	29
Dawson-1887-731-96	96	Toes	1389	TOE	Part of the Body	2	29
Dawson-1887-731-97	97	Large toe			Part of the Body	2	29
Dawson-1887-731-98	98	Second toe			Part of the Body	2	29
Dawson-1887-731-99	99	Third toe			Part of the Body	2	29
Dawson-1887-731-100	100	Toe nail	2662	TOENAIL	Part of the Body	2	29
Dawson-1887-731-101	101	Blood	946	BLOOD	Part of the Body	2	29
Dawson-1887-731-102	102	Vein or artery	525	BLOOD VESSEL	Part of the Body	2	29
Dawson-1887-731-103	103	Brain	1583	BRAIN	Part of the Body	2	29
Dawson-1887-731-104	104	Bladder	1746	BLADDER	Part of the Body	2	29
Dawson-1887-731-105	105	Gall	1780	BILE	Part of the Body	2	29
Dawson-1887-731-106	106	Heart	1223	HEART	Part of the Body	2	29
Dawson-1887-731-107	107	Lung	688	LUNG	Part of the Body	2	29
Dawson-1887-731-108	108	Liver	1224	LIVER	Part of the Body	2	29
Dawson-1887-731-109	109	Stomach	819	STOMACH	Part of the Body	2	29
Dawson-1887-731-110	110	Rib	801	RIB	Part of the Body	2	29
Dawson-1887-731-111	111	Spine	805	SPINE	Part of the Body	2	29
Dawson-1887-731-112	112	Footprint	318	FOOTPRINT	Part of the Body	2	29
Dawson-1887-731-113	113	Skin	763	SKIN	Part of the Body	2	29
Dawson-1887-731-114	114	Bone	1394	BONE	Part of the Body	2	29
Dawson-1887-731-115	115	Intestines	1991	INTESTINES	Part of the Body	2	29
Dawson-1887-731-116	116	Cap	1288	CAP	Dress and Ornaments	3	29
Dawson-1887-731-117	117	Moccasins	3607	MOCCASIN	Dress and Ornaments	3	29
Dawson-1887-731-118	118	Cedar-bark hat			Dress and Ornaments	3	29
Dawson-1887-731-119	119	Short petticoat			Dress and Ornaments	3	29
Dawson-1887-731-120	120	Girdle			Dress and Ornaments	3	29
Dawson-1887-731-121	121	Garters			Dress and Ornaments	3	29
Dawson-1887-731-122	122	Cedar-bark blanket			Dress and Ornaments	3	29
Dawson-1887-731-123	123	Robe of mink skin			Dress and Ornaments	3	29
Dawson-1887-731-124	124	Sinew thread			Dress and Ornaments	3	29
Dawson-1887-731-125	125	Necklace	1961	NECKLACE	Dress and Ornaments	3	29
Dawson-1887-731-126	126	Cedar-bark neck-cloak			Dress and Ornaments	3	29
Dawson-1887-731-127	127	Bracelets	1754	BRACELET	Dress and Ornaments	3	29
Dawson-1887-731-128	128	Pouch	2951	POUCH	Dress and Ornaments	3	29
Dawson-1887-731-129	129	Rod worn in septum of nose			Dress and Ornaments	3	29
Dawson-1887-731-130	130	Ear-rings	770	EARRING	Dress and Ornaments	3	29
Dawson-1887-731-131	131	Nose-rings			Dress and Ornaments	3	29
Dawson-1887-731-132	132	Paint (black)			Dress and Ornaments	3	29
Dawson-1887-731-133	133	Paint (red)			Dress and Ornaments	3	29
Dawson-1887-731-134	134	Barehead			Dress and Ornaments	3	29
Dawson-1887-731-135	135	Barefoot	3737	BAREFOOT	Dress and Ornaments	3	29
Dawson-1887-731-136	136	Naked	590	NAKED	Dress and Ornaments	3	29
Dawson-1887-731-137	137	Village	930	VILLAGE	Dwellings	4	29
Dawson-1887-731-138	138	House	1252	HOUSE	Dwellings	4	29
Dawson-1887-731-139	139	Doorway			Dwellings	4	29
Dawson-1887-731-140	140	Smoke-hole			Dwellings	4	29
Dawson-1887-731-141	141	Fire-place	185	FIREPLACE	Dwellings	4	29
Dawson-1887-731-142	142	Fire	221	FIRE	Dwellings	4	29
Dawson-1887-731-143	143	Fire-wood	10	FIREWOOD	Dwellings	4	29
Dawson-1887-731-144	144	Blaze			Dwellings	4	29
Dawson-1887-731-145	145	A light	630	LIGHT (RADIATION)	Dwellings	4	29
Dawson-1887-731-146	146	Dead coals			Dwellings	4	29
Dawson-1887-731-147	147	Ashes	646	ASH	Dwellings	4	29
Dawson-1887-731-148	148	Smoke	778	SMOKE (EXHAUST)	Dwellings	4	29
Dawson-1887-731-149	149	Soot	830	SOOT	Dwellings	4	29
Dawson-1887-731-150	150	Poker			Dwellings	4	29
Dawson-1887-731-151	151	A seat			Dwellings	4	29
Dawson-1887-731-152	152	The place where seats are			Dwellings	4	29
Dawson-1887-731-153	153	Upright post of house			Dwellings	4	29
Dawson-1887-731-154	154	Main rafter of house			Dwellings	4	29
Dawson-1887-731-155	155	Mat	195	MAT	Dwellings	4	29
Dawson-1887-731-156	156	Bed	1663	BED	Dwellings	4	29
Dawson-1887-731-157	157	Floor	1632	FLOOR	Dwellings	4	29
Dawson-1887-731-158	158	Ceiling			Dwellings	4	29
Dawson-1887-731-159	159	Wall	933	WALL (OF HOUSE)	Dwellings	4	29
Dawson-1887-731-160	160	Lintel			Dwellings	4	29
Dawson-1887-731-161	161	Opening for window			Dwellings	4	29
Dawson-1887-731-162	162	Carved post (outside house)			Dwellings	4	29
Dawson-1887-731-163	163	Carved post (inside house)			Dwellings	4	29
Dawson-1887-731-164	164	Stairway			Dwellings	4	29
Dawson-1887-731-165	165	A stone	857	STONE	Dwellings	4	29
Dawson-1887-731-166	166	Paint mortar	1731	MORTAR BINDER	Dwellings	4	29
Dawson-1887-731-167	167	Spring	849	SPRING (OF WATER)	Dwellings	4	29
Dawson-1887-731-168	168	Water	948	WATER	Dwellings	4	29
Dawson-1887-731-169	169	Bow, of wood	994	BOW	Implements and Utensils	5	30
Dawson-1887-731-170	170	Bow string	2119	BOW STRING	Implements and Utensils	5	30
Dawson-1887-731-171	171	Arrow	977	ARROW	Implements and Utensils	5	30
Dawson-1887-731-172	172	Notch in arrow for string			Implements and Utensils	5	30
Dawson-1887-731-173	173	Arrow-head of stone			Implements and Utensils	5	30
Dawson-1887-731-174	174	Arrow feathers			Implements and Utensils	5	30
Dawson-1887-731-175	175	Quiver			Implements and Utensils	5	30
Dawson-1887-731-176	176	War-club (stone)			Implements and Utensils	5	30
Dawson-1887-731-177	177	Fish-club			Implements and Utensils	5	30
Dawson-1887-731-178	178	War-spear			Implements and Utensils	5	30
Dawson-1887-731-179	179	Sling	387	SLING	Implements and Utensils	5	30
Dawson-1887-731-180	180	Canoe (general term)	1970	CANOE	Implements and Utensils	5	30
Dawson-1887-731-181	181	Canoe (large)			Implements and Utensils	5	30
Dawson-1887-731-182	182	Canoe (medium)			Implements and Utensils	5	30
Dawson-1887-731-183	183	Canoe (small)			Implements and Utensils	5	30
Dawson-1887-731-184	184	Fish-line	19	FISHING LINE	Implements and Utensils	5	30
Dawson-1887-731-185	185	Fish-line, of kelp			Implements and Utensils	5	30
Dawson-1887-731-186	186	Fish-net	388	FISHNET	Implements and Utensils	5	30
Dawson-1887-731-187	187	Oolanchan net			Implements and Utensils	5	30
Dawson-1887-731-188	188	Dipping net			Implements and Utensils	5	30
Dawson-1887-731-189	189	Halibut hook			Implements and Utensils	5	30
Dawson-1887-731-190	190	Pipe	1124	PIPE	Implements and Utensils	5	30
Dawson-1887-731-191	191	Pipe stem of wood			Implements and Utensils	5	30
Dawson-1887-731-192	192	Cup	476	CUP	Implements and Utensils	5	30
Dawson-1887-731-193	193	Meat-tray			Implements and Utensils	5	30
Dawson-1887-731-194	194	Grease-bowl			Implements and Utensils	5	30
Dawson-1887-731-195	195	Fire-drill	517	FIREDRILL	Implements and Utensils	5	30
Dawson-1887-731-196	196	Kelp oil-bottle			Implements and Utensils	5	30
Dawson-1887-731-197	197	Axe	677	AXE	Implements and Utensils	5	30
Dawson-1887-731-198	198	Adze	290	ADZE	Implements and Utensils	5	30
Dawson-1887-731-199	199	Hand-adze for shaping canoe			Implements and Utensils	5	30
Dawson-1887-731-200	200	Knife	1352	KNIFE	Implements and Utensils	5	30
Dawson-1887-731-201	201	Knife-handle			Implements and Utensils	5	30
Dawson-1887-731-202	202	Knife-point			Implements and Utensils	5	30
Dawson-1887-731-203	203	Knife-edge	869	BLADE	Implements and Utensils	5	30
Dawson-1887-731-204	204	Borer	3423	DRILL	Implements and Utensils	5	30
Dawson-1887-731-205	205	Stone hand-hammer			Implements and Utensils	5	30
Dawson-1887-731-206	206	Horn ladle	2657	LADLE	Implements and Utensils	5	30
Dawson-1887-731-207	207	Basket (for food)			Implements and Utensils	5	30
Dawson-1887-731-208	208	Wooden water-box or bucket			Implements and Utensils	5	30
Dawson-1887-731-209	209	Food	256	FOOD	Food	6	30
Dawson-1887-731-210	210	Meat	634	MEAT	Food	6	30
Dawson-1887-731-211	211	Milk	635	MILK	Food	6	30
Dawson-1887-731-212	212	Juice	1499	JUICE	Food	6	30
Dawson-1887-731-213	213	Dried salmon			Food	6	30
Dawson-1887-731-214	214	Dried herring-eggs			Food	6	30
Dawson-1887-731-215	215	Dried meat			Food	6	30
Dawson-1887-731-216	216	Dried halibut			Food	6	30
Dawson-1887-731-217	217	Oolachan grease			Food	6	30
Dawson-1887-731-218	218	Dried berries			Food	6	30
Dawson-1887-731-219	219	Dried clams			Food	6	30
Dawson-1887-731-220	220	Cambium layer of hemlock			Food	6	30
Dawson-1887-731-221	221	Dried sea-weed			Food	6	30
Dawson-1887-731-222	222	Black	163	BLACK	Colours	7	30
Dawson-1887-731-223	223	Blue	837	BLUE	Colours	7	30
Dawson-1887-731-224	224	Brown	2409	BROWN	Colours	7	30
Dawson-1887-731-225	225	Green	1425	GREEN	Colours	7	30
Dawson-1887-731-226	226	Red	156	RED	Colours	7	30
Dawson-1887-731-227	227	White	1335	WHITE	Colours	7	30
Dawson-1887-731-228	228	Yellow	1424	YELLOW	Colours	7	30
Dawson-1887-731-229	229	One	1493	ONE	Numerals	8	30
Dawson-1887-731-230	230	Two	1498	TWO	Numerals	8	30
Dawson-1887-731-231	231	Three	492	THREE	Numerals	8	30
Dawson-1887-731-232	232	Four	1500	FOUR	Numerals	8	30
Dawson-1887-731-233	233	Five	493	FIVE	Numerals	8	30
Dawson-1887-731-234	234	Six	1703	SIX	Numerals	8	30
Dawson-1887-731-235	235	Seven	1704	SEVEN	Numerals	8	30
Dawson-1887-731-236	236	Eight	1705	EIGHT	Numerals	8	30
Dawson-1887-731-237	237	Nine	1483	NINE	Numerals	8	30
Dawson-1887-731-238	238	Ten	1515	TEN	Numerals	8	30
Dawson-1887-731-239	239	Eleven	1706	ELEVEN	Numerals	8	30
Dawson-1887-731-240	240	Twelve	1707	TWELVE	Numerals	8	30
Dawson-1887-731-241	241	Thirteen	1708	THIRTEEN	Numerals	8	30
Dawson-1887-731-242	242	Fourteen	2451	FOURTEEN	Numerals	8	30
Dawson-1887-731-243	243	Fifteen	1709	FIFTEEN	Numerals	8	30
Dawson-1887-731-244	244	Sixteen	2454	SIXTEEN	Numerals	8	30
Dawson-1887-731-245	245	Seventeen	2453	SEVENTEEN	Numerals	8	30
Dawson-1887-731-246	246	Eighteen	1713	EIGHTEEN	Numerals	8	30
Dawson-1887-731-247	247	Nineteen	1714	NINETEEN	Numerals	8	30
Dawson-1887-731-248	248	Twenty	1710	TWENTY	Numerals	8	30
Dawson-1887-731-249	249	Twenty-one	1734	TWENTY ONE	Numerals	8	30
Dawson-1887-731-250	250	Twenty-two	3166	TWENTY TWO	Numerals	8	30
Dawson-1887-731-251	251	Twenty-three	3165	TWENTY THREE	Numerals	8	31
Dawson-1887-731-252	252	Twenty-four	1736	TWENTY FOUR	Numerals	8	31
Dawson-1887-731-253	253	Twenty-five	1738	TWENTY FIVE	Numerals	8	31
Dawson-1887-731-254	254	Twenty-six	3476	TWENTY SIX	Numerals	8	31
Dawson-1887-731-255	255	Twenty-seven	3477	TWENTY SEVEN	Numerals	8	31
Dawson-1887-731-256	256	Twenty-eight	3478	TWENTY EIGHT	Numerals	8	31
Dawson-1887-731-257	257	Twenty-nine	3479	TWENTY NINE	Numerals	8	31
Dawson-1887-731-258	258	Thirty	1715	THIRTY	Numerals	8	31
Dawson-1887-731-259	259	Forty	1716	FORTY	Numerals	8	31
Dawson-1887-731-260	260	Fifty	1717	FIFTY	Numerals	8	31
Dawson-1887-731-261	261	Sixty	1718	SIXTY	Numerals	8	31
Dawson-1887-731-262	262	Seventy	1721	SEVENTY	Numerals	8	31
Dawson-1887-731-263	263	Eighty	1722	EIGHTY	Numerals	8	31
Dawson-1887-731-264	264	Ninety	1724	NINETY	Numerals	8	31
Dawson-1887-731-265	265	One hundred	1634	HUNDRED	Numerals	8	31
Dawson-1887-731-266	266	One hundred and one	3502	ONE HUNDRED AND ONE	Numerals	8	31
Dawson-1887-731-267	267	One thousand	1843	THOUSAND	Numerals	8	31
Dawson-1887-731-268	268	One half (in length)			Numerals	8	31
Dawson-1887-731-269	269	One half (in quantity, liquids)			Numerals	8	31
Dawson-1887-731-270	270	One half (in quantity, solids)			Numerals	8	31
Dawson-1887-731-271	271	All	98	ALL	Numerals	8	31
Dawson-1887-731-272	272	None			Numerals	8	31
Dawson-1887-731-273	273	A year	1226	YEAR	Division of Time	9	31
Dawson-1887-731-274	274	A moon			Division of Time	9	31
Dawson-1887-731-275	275	A half moon			Division of Time	9	31
Dawson-1887-731-276	276	First quarter of moon			Division of Time	9	31
Dawson-1887-731-277	277	Last quarter of moon			Division of Time	9	31
Dawson-1887-731-278	278	Day	1225	DAY (NOT NIGHT)	Division of Time	9	31
Dawson-1887-731-279	279	Night	1233	NIGHT	Division of Time	9	31
Dawson-1887-731-280	280	A day (24 hours)	1260	DAY (24 HOURS)	Division of Time	9	31
Dawson-1887-731-281	281	Dawn	729	DAWN	Division of Time	9	31
Dawson-1887-731-282	282	Sunrise	2296	SUNRISE	Division of Time	9	31
Dawson-1887-731-283	283	Morning	1339	MORNING	Division of Time	9	31
Dawson-1887-731-284	284	Mid-forenoon			Division of Time	9	31
Dawson-1887-731-285	285	Noon	12	MIDDAY	Division of Time	9	31
Dawson-1887-731-286	286	Afternoon	1807	AFTERNOON	Division of Time	9	31
Dawson-1887-731-287	287	Sunset	2295	SUNSET	Division of Time	9	31
Dawson-1887-731-288	288	Dusk	2297	DUSK	Division of Time	9	31
Dawson-1887-731-289	289	Evening	1629	EVENING	Division of Time	9	31
Dawson-1887-731-290	290	Midnight	2656	MIDNIGHT	Division of Time	9	31
Dawson-1887-731-291	291	Day before yesterday	1180	DAY BEFORE YESTERDAY	Division of Time	9	31
Dawson-1887-731-292	292	Yesterday	1174	YESTERDAY	Division of Time	9	31
Dawson-1887-731-293	293	To-day	1283	TODAY	Division of Time	9	31
Dawson-1887-731-294	294	To-morrow	1329	TOMORROW	Division of Time	9	31
Dawson-1887-731-295	295	Day after to-morrow	1179	DAY AFTER TOMORROW	Division of Time	9	31
Dawson-1887-731-296	296	Now	1376	NOW	Division of Time	9	31
Dawson-1887-731-297	297	October	2853	OCTOBER	Division of Time	9	31
Dawson-1887-731-298	298	November	2854	NOVEMBER	Division of Time	9	31
Dawson-1887-731-299	299	Dentalium shells			Standards of Value	10	31
Dawson-1887-731-300	300	Blanket (2.5 point)			Standards of Value	10	31
Dawson-1887-731-301	301	Copper (large valuable kind)			Standards of Value	10	31
Dawson-1887-731-302	302	Copper (small inferior kind)			Standards of Value	10	31
Dawson-1887-731-303	303	Bat	1793	BAT	Animals	11	31
Dawson-1887-731-304	304	Beaver	1194	BEAVER	Animals	11	31
Dawson-1887-731-305	305	Bear (grizzly)	3738	GRIZZLY BEAR	Animals	11	31
Dawson-1887-731-306	306	Bear (black)	3611	AMERICAN BLACK BEAR	Animals	11	31
Dawson-1887-731-307	307	Dog	2009	DOG	Animals	11	31
Dawson-1887-731-308	308	Deer (general name)	1936	DEER	Animals	11	31
Dawson-1887-731-309	309	Fawn			Animals	11	31
Dawson-1887-731-310	310	Deer (half grown)			Animals	11	31
Dawson-1887-731-311	311	Deer (buck)			Animals	11	31
Dawson-1887-731-312	312	Elk	1772	ELK	Animals	11	31
Dawson-1887-731-313	313	Ermine			Animals	11	31
Dawson-1887-731-314	314	Fox	1312	FOX	Animals	11	31
Dawson-1887-731-315	315	Goat (mountain)			Animals	11	31
Dawson-1887-731-316	316	Lion (mountain)	1891	PUMA	Animals	11	31
Dawson-1887-731-317	317	Mink			Animals	11	31
Dawson-1887-731-318	318	Mouse	1491	MOUSE	Animals	11	31
Dawson-1887-731-319	319	Mole or shrew			Animals	11	31
Dawson-1887-731-320	320	Marten	3739	MARTEN	Animals	11	31
Dawson-1887-731-321	321	Otter	15	OTTER	Animals	11	31
Dawson-1887-731-322	322	Otter (sea)			Animals	11	31
Dawson-1887-731-323	323	Porcupine	2510	PORCUPINE	Animals	11	31
Dawson-1887-731-324	324	Porpoise	114	PORPOISE	Animals	11	31
Dawson-1887-731-325	325	Rabbit	1136	RABBIT	Animals	11	31
Dawson-1887-731-326	326	Raccoon	828	RACCOON	Animals	11	31
Dawson-1887-731-327	327	Seal	651	SEAL	Animals	11	31
Dawson-1887-731-328	328	Seal (fur)			Animals	11	31
Dawson-1887-731-329	329	Skunk			Animals	11	31
Dawson-1887-731-330	330	Squirrel	1628	SQUIRREL	Animals	11	31
Dawson-1887-731-331	331	Wolf	522	WOLF	Animals	11	31
Dawson-1887-731-332	332	Whale (large)			Animals	11	32
Dawson-1887-731-333	333	Whale (smaller)			Animals	11	32
Dawson-1887-731-334	334	Whale (killer)			Animals	11	32
Dawson-1887-731-335	335	Wolverine			Animals	11	32
Dawson-1887-731-336	336	Sea lion			Animals	11	32
Dawson-1887-731-337	337	Antlers and horns			Animals	11	32
Dawson-1887-731-338	338	Claw	72	CLAW	Animals	11	32
Dawson-1887-731-339	339	Hoof	152	HOOF	Animals	11	32
Dawson-1887-731-340	340	Hide (with hair or wool)	2614	SKIN (ANIMAL)	Animals	11	32
Dawson-1887-731-341	341	Hide (without hair, leather)	629	LEATHER	Animals	11	32
Dawson-1887-731-342	342	Tail	1220	TAIL	Animals	11	32
Dawson-1887-731-343	343	Bird	937	BIRD	Birds	12	32
Dawson-1887-731-344	344	Raven	2543	RAVEN	Birds	12	32
Dawson-1887-731-345	345	Cormorant (large)			Birds	12	32
Dawson-1887-731-346	346	Cormorant (small)			Birds	12	32
Dawson-1887-731-347	347	Crow	913	CROW	Birds	12	32
Dawson-1887-731-348	348	Dipper or water-ouzel			Birds	12	32
Dawson-1887-731-349	349	Duck	1360	DUCK	Birds	12	32
Dawson-1887-731-350	350	Duck (mallard)	3610	MALLARD	Birds	12	32
Dawson-1887-731-351	351	Duck (pin-tail)			Birds	12	32
Dawson-1887-731-352	352	Duck (harlequin)			Birds	12	32
Dawson-1887-731-353	353	Duck (buffle-head male)			Birds	12	32
Dawson-1887-731-354	354	Duck (buffle-head female)			Birds	12	32
Dawson-1887-731-355	355	Duck (merganser male)			Birds	12	32
Dawson-1887-731-356	356	Duck (merganser female)			Birds	12	32
Dawson-1887-731-357	357	Duck (teal)			Birds	12	32
Dawson-1887-731-358	358	Eagle (white headed)			Birds	12	32
Dawson-1887-731-359	359	Goose (wavy)			Birds	12	32
Dawson-1887-731-360	360	Goose (small kind)			Birds	12	32
Dawson-1887-731-361	361	Goose (brant)			Birds	12	32
Dawson-1887-731-362	362	Goose (canada)			Birds	12	32
Dawson-1887-731-363	363	Grebe (small)			Birds	12	32
Dawson-1887-731-364	364	Grebe (large)			Birds	12	32
Dawson-1887-731-365	365	Grouse (dusky)			Birds	12	32
Dawson-1887-731-366	366	Grouse (ruffed)			Birds	12	32
Dawson-1887-731-367	367	Gull	950	SEAGULL	Birds	12	32
Dawson-1887-731-368	368	Hawk	307	HAWK	Birds	12	32
Dawson-1887-731-369	369	Heron	758	HERON	Birds	12	32
Dawson-1887-731-370	370	Humming-bird	1589	HUMMINGBIRD	Birds	12	32
Dawson-1887-731-371	371	Jay			Birds	12	32
Dawson-1887-731-372	372	Kingfisher	2444	KINGFISHER	Birds	12	32
Dawson-1887-731-373	373	Loon			Birds	12	32
Dawson-1887-731-374	374	Owl	735	OWL	Birds	12	32
Dawson-1887-731-375	375	Owl (small)			Birds	12	32
Dawson-1887-731-376	376	Owl (white)			Birds	12	32
Dawson-1887-731-377	377	Oyster-catcher			Birds	12	32
Dawson-1887-731-378	378	Pigeon	1853	DOVE	Birds	12	32
Dawson-1887-731-379	379	Plover			Birds	12	32
Dawson-1887-731-380	380	Curlew			Birds	12	32
Dawson-1887-731-381	381	Robin	2402	ROBIN	Birds	12	32
Dawson-1887-731-382	382	Sandpiper			Birds	12	32
Dawson-1887-731-383	383	Snipe			Birds	12	32
Dawson-1887-731-384	384	Sparrow	1854	SPARROW	Birds	12	32
Dawson-1887-731-385	385	Swan	2837	SWAN	Birds	12	32
Dawson-1887-731-386	386	Swallow	3077	SWALLOW (BIRD)	Birds	12	32
Dawson-1887-731-387	387	Woodpecker (red-shafted)			Birds	12	32
Dawson-1887-731-388	388	Woodpecker (red-head)	2447	WOODPECKER	Birds	12	32
Dawson-1887-731-389	389	Widgeon			Birds	12	32
Dawson-1887-731-390	390	Wren			Birds	12	32
