ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUANG_1992_1820	LEXIBANK_GLOSS
Lai-2023-291-113	146	the nose	1221	NOSE	80	the nose
Lai-2023-291-114	86	the heart	1223	HEART	144	the heart
Lai-2023-291-115	119	the liver	1224	LIVER	145	the liver
Lai-2023-291-116	305	the day (opposed to night)	1225	DAY (NOT NIGHT)		the day (opposed to night)
Lai-2023-291-117	245	the year	1226	YEAR	777	the year
Lai-2023-291-118	44	the earth (soil)	1228	EARTH (SOIL)	40	the earth (soil)
Lai-2023-291-119	36	dirty	1230	DIRTY	1086	dirty
Lai-2023-291-120	142	new	1231	NEW	1050	new
Lai-2023-291-121	426	warm (hot)	1232	WARM		warm (hot)
Lai-2023-291-122	339	the night	1233	NIGHT		the night
Lai-2023-291-123	191	smooth	1234	SMOOTH	1037	smooth
Lai-2023-291-124	236	who	1235	WHO	953	who
Lai-2023-291-125	232	what	1236	WHAT	954	what
Lai-2023-291-126	234	where	1237	WHERE	955	where
Lai-2023-291-127	267	how	1239	HOW		how
Lai-2023-291-128	259	few	1242	FEW		few
Lai-2023-291-129	210	thick	1244	THICK	980	thick
Lai-2023-291-130	188	small	1246	SMALL	965	small
Lai-2023-291-131	42	the ear	1247	EAR	81	the ear
Lai-2023-291-132	49	the eye	1248	EYE	79	the eye
Lai-2023-291-133	9	the belly	1251	BELLY	96	the belly
Lai-2023-291-134	97	the house	1252	HOUSE	494	the house
Lai-2023-291-135	84	the head	1256	HEAD	74	the head
Lai-2023-291-136	239	the wing	1257	WING	298	the wing
Lai-2023-291-137	183	to sing	1261	SING	1184	to sing
Lai-2023-291-138	90	high / tall	1265	HIGH	968	high / tall
Lai-2023-291-139	138	narrow	1267	NARROW	977	narrow
Lai-2023-291-140	168	the salt	1274	SALT	61	the salt
Lai-2023-291-141	81	the hand	1277	HAND	107	the hand
Lai-2023-291-142	227	to vomit	1278	VOMIT	1535	to vomit
Lai-2023-291-143	379	to fall	1280	FALL		to fall
Lai-2023-291-144	312	the fat (grease)	1282	FAT (FROM ANIMALS)		the fat (grease)
Lai-2023-291-145	220	today	1283	TODAY	738	today
Lai-2023-291-146	96	hot	1286	HOT	1062	hot
Lai-2023-291-147	26	cold (of temperature)	1287	COLD	1063	cold (of temperature)
Lai-2023-291-148	296	the back	1291	BACK		the back
Lai-2023-291-149	5	bad	1292	BAD	1053	bad
Lai-2023-291-150	202	the stick	1295	STICK	586	the stick
Lai-2023-291-151	64	the foot	1301	FOOT	103	the foot
Lai-2023-291-152	68	the fox	1312	FOX	325	the fox
Lai-2023-291-153	128	the moon	1313	MOON	4	the moon
Lai-2023-291-154	221	tomorrow	1329	TOMORROW	742	tomorrow
Lai-2023-291-155	177	the sheep	1331	SHEEP	275	the sheep
Lai-2023-291-156	140	the neck	1333	NECK	89	the neck
Lai-2023-291-157	235	white	1335	WHITE	1006	white
Lai-2023-291-158	46	to eat	1336	EAT	1198	to eat
Lai-2023-291-159	151	the pig	1337	PIG	284	the pig
Lai-2023-291-160	129	morning	1339	MORNING	749	morning // the morning
Lai-2023-291-161	205	the sun	1343	SUN	2	the sun
Lai-2023-291-162	328	the knife	1352	KNIFE		the knife // knife
Lai-2023-291-163	111	to laugh	1355	LAUGH	1735	to laugh
Lai-2023-291-164	106	the knee	1371	KNEE	101	the knee
Lai-2023-291-165	223	the tooth (front)	1380	TOOTH	137	the tooth (front)
Lai-2023-291-166	141	the needle (for sewing)	1382	NEEDLE (FOR SEWING)	578	the needle (for sewing)
Lai-2023-291-167	121	the louse	1392	LOUSE	356	the louse
Lai-2023-291-168	94	the horn (keratinized skin)	1393	HORN (ANATOMY)	263	the horn (keratinized skin)
Lai-2023-291-169	18	the bone	1394	BONE	133	the bone
Lai-2023-291-170	166	round	1395	ROUND	990	round
Lai-2023-291-171	176	sharp	1396	SHARP	1020	sharp
Lai-2023-291-172	40	dry	1398	DRY	1028	dry
Lai-2023-291-173	39	to drink	1401	DRINK	1370	to drink
Lai-2023-291-174	20	the breast (female)	1402	BREAST	94	the breast (female)
Lai-2023-291-175	13	to bite	1403	BITE	1753	to bite
Lai-2023-291-176	204	straight	1404	STRAIGHT	1003	straight
Lai-2023-291-177	137	the name	1405	NAME	687	the name
Lai-2023-291-178	50	far	1406	FAR	974	far
Lai-2023-291-179	370	to breathe	1407	BREATHE		to breathe
Lai-2023-291-180	85	to hear	1408	HEAR	1682	to hear
Lai-2023-291-181	173	to see	1409	SEE	1471	to see
Lai-2023-291-182	153	to play	1413	PLAY	1703	to play
Lai-2023-291-183	414	to squeeze	1414	SQUEEZE		to squeeze
Lai-2023-291-184	213	to think (reflect)	1415	THINK (REFLECT)	1726	to think (reflect)
Lai-2023-291-185	409	to sit	1416	SIT		to sit
Lai-2023-291-186	104	to kill	1417	KILL	1602	to kill
Lai-2023-291-187	35	to dig	1418	DIG	1698	to dig
Lai-2023-291-188	380	to fear (be afraid)	1419	FEAR (BE AFRAID)		to fear (be afraid)
Lai-2023-291-189	29	to count	1420	COUNT	1640	to count
Lai-2023-291-190	8	to be alive	1422	BE ALIVE	1087	to be alive
Lai-2023-291-191	53	to fight	1423	FIGHT	1234	to fight
Lai-2023-291-192	246	yellow	1424	YELLOW	1008	yellow
Lai-2023-291-193	78	green	1425	GREEN	1009	green
Lai-2023-291-194	21	to burn [intransitive]	1428	BURNING	1269	to burn [intransitive]
Lai-2023-291-195	73	full	1429	FULL	984	full
Lai-2023-291-196	200	the star	1430	STAR	5	the star
Lai-2023-291-197	384	to freeze (intransitive)	1431	FREEZE		to freeze (intransitive)
Lai-2023-291-198	378	to cut	1432	CUT		to cut
Lai-2023-291-199	388	to hit	1433	HIT		to hit
Lai-2023-291-200	415	to stab	1434	STAB		to stab
Lai-2023-291-201	99	to hunt	1435	HUNT	1230	to hunt
Lai-2023-291-202	171	to scratch	1436	SCRATCH	1530	to scratch
Lai-2023-291-203	413	to split	1437	SPLIT		to split
Lai-2023-291-204	419	to swim	1439	SWIM		to swim
Lai-2023-291-205	198	to spit	1440	SPIT	1688	to spit
Lai-2023-291-206	62	to fly (move through air)	1441	FLY (MOVE THROUGH AIR)	1318	to fly (move through air)
Lai-2023-291-207	199	to stand	1442	STAND	1784	to stand
Lai-2023-291-208	228	to walk	1443	WALK	1815	to walk
Lai-2023-291-209	421	to turn (around)	1444	TURN AROUND		to turn (around)
Lai-2023-291-210	27	to come	1446	COME	1491	to come
Lai-2023-291-211	74	to give	1447	GIVE	1345	to give
Lai-2023-291-212	91	to hold	1448	HOLD	1709	to hold
Lai-2023-291-213	401	to rub	1449	RUB		to rub
Lai-2023-291-214	155	to push	1452	PUSH	1689	to push
Lai-2023-291-215	423	to wash	1453	WASH		to wash
Lai-2023-291-216	240	to wipe	1454	WIPE	1163	to wipe
Lai-2023-291-217	154	to pull	1455	PULL	1568	to pull
Lai-2023-291-218	217	to throw	1456	THROW	1687	to throw
Lai-2023-291-219	406	to sew	1457	SEW		to sew
Lai-2023-291-220	403	to say	1458	SAY		to say
Lai-2023-291-221	172	the sea	1474	SEA	32	the sea
Lai-2023-291-222	180	the shoulder	1482	SHOULDER	90	the shoulder
Lai-2023-291-223	143	nine	1483	NINE	805	nine
Lai-2023-291-224	732	below, under	1485	BELOW OR UNDER	10	below, under
Lai-2023-291-225	1774	to plant (vegetals, rice)	1486	PLANT (SOMETHING)	152	to plant (vegetals, rice)
Lai-2023-291-226	25	the cloud	1489	CLOUD	7	the cloud
Lai-2023-291-227	148	one	1493	ONE	797	one
Lai-2023-291-228	34	to die	1494	DIE	1651	to die
Lai-2023-291-229	226	two	1498	TWO	798	two
Lai-2023-291-230	67	four	1500	FOUR	800	four
Lai-2023-291-231	75	the goat	1502	GOAT	276	the goat
Lai-2023-291-232	72	the fruit	1507	FRUIT	378	the fruit
Lai-2023-291-233	130	the mosquito	1509	MOSQUITO	360	the mosquito
Lai-2023-291-234	207	ten	1515	TEN	806	ten
Lai-2023-291-235	167	to run	1519	RUN	1544	to run
Lai-2023-291-236	383	to forget	1523	FORGET		to forget
Lai-2023-291-237	19	the branch	1531	BRANCH	374	the branch
Lai-2023-291-238	418	to swell	1573	SWELL		to swell
Lai-2023-291-239	59	to float	1574	FLOAT	1553	to float
Lai-2023-291-240	187	to sleep	1585	SLEEP	1646	to sleep
Lai-2023-291-241	189	to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)	1707	to smell (perceive odor) [transitive]
Lai-2023-291-242	103	inside	1606	INSIDE	715	inside
Lai-2023-291-243	195	the son	1620	SON	220	the son
Lai-2023-291-244	98	hundred	1634	HUNDRED	824	hundred
Lai-2023-291-245	179	short	1645	SHORT	973	short
Lai-2023-291-246	320	the girl	1646	GIRL		the girl
Lai-2023-291-247	331	the lightning	1654	LIGHTNING		the lightning
Lai-2023-291-248	184	six	1703	SIX	802	six
Lai-2023-291-249	175	seven	1704	SEVEN	803	seven
Lai-2023-291-250	48	eight	1705	EIGHT	804	eight
Lai-2023-291-251	225	twenty	1710	TWENTY	816	twenty
Lai-2023-291-252	28	correct (right)	1725	CORRECT (RIGHT)	1045	correct (right)
Lai-2023-291-253	231	wet	1726	WET	1029	wet
Lai-2023-291-254	281	rotten (of fruits)	1728	ROTTEN		rotten (of fruits)
Lai-2023-291-255	186	the sky	1732	SKY	1	the sky
Lai-2023-291-256	157	the rainbow	1733	RAINBOW	11	the rainbow
Lai-2023-291-257	1	above	1741	ABOVE	731	above
Lai-2023-291-258	374	to choose	1750	CHOOSE		to choose
Lai-2023-291-259	289	stone (of fruit)	1762	STONE (OF FRUIT)		stone (of fruit)
Lai-2023-291-260	243	the wood (material)	1803	WOOD	511	the wood (material)
Lai-2023-291-261	30	to cry (weep)	1839	CRY	1485	to cry (weep)
Lai-2023-291-262	286	sick	1847	SICK		sick
Lai-2023-291-263	196	the sparrow	1854	SPARROW	336	the sparrow
Lai-2023-291-264	194	soft	1856	SOFT	1035	soft
Lai-2023-291-265	22	to buy	1869	BUY	1516	to buy
Lai-2023-291-266	252	before	1882	BEFORE		before
Lai-2023-291-267	82	hard	1884	HARD	1034	hard
Lai-2023-291-268	4	the armpit	1886	ARMPIT	92	the armpit
Lai-2023-291-269	420	to tie (together)	1917	TIE		to tie (together)
Lai-2023-291-270	6	the bamboo	1927	BAMBOO	389	the bamboo
Lai-2023-291-271	209	there	1937	THERE	950	there
Lai-2023-291-272	139	near	1942	NEAR	975	near
Lai-2023-291-273	33	the dew	1977	DEW	15	the dew
Lai-2023-291-274	326	the intestines	1991	INTESTINES		the intestines
Lai-2023-291-275	60	to flow	2003	FLOW	1502	to flow
Lai-2023-291-276	37	the dog	2009	DOG	289	the dog
Lai-2023-291-277	160	the rice plant	2026	RICE PLANT	439	the rice plant
Lai-2023-291-278	71	the frost	2034	FROST	14	the frost
Lai-2023-291-279	303	the child	2099	CHILD		the child
Lai-2023-291-280	123	the man (male human)	2106	MALE PERSON	173	the man (male human) // male
Lai-2023-291-281	147	old (of person)	2112	OLD (AGED)	1058	old (of person)
Lai-2023-291-282	136	the nail (fingernail or claw)	2128	CLAW OR NAIL	113	the nail (fingernail or claw)
Lai-2023-291-283	133	the mouse or rat	2139	MUROID (MOUSE OR RAT)	320	the mouse or rat
Lai-2023-291-284	125	to marry (a man marries a woman)	2164	MARRY (AS MAN)	1578	to marry (a man marries a woman)
Lai-2023-291-285	70	the front (front side)	2194	FRONT (PART)	712	the front (front side)
Lai-2023-291-286	365	thin (object)	2249	THIN (OF SHAPE OF OBJECT)		thin (object)
Lai-2023-291-287	45	the earthworm	2350	EARTHWORM	363	the earthworm
Lai-2023-291-288	38	the dream	2374	DREAM	699	the dream
Lai-2023-291-289	93	horizontal	2376	HORIZONTAL	1001	horizontal
Lai-2023-291-290	430	wide	2531	BROAD		wide
Lai-2023-291-291	391	to know	3626	KNOW		to know
