ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	GBIF_ID	GBIF_NAME	KINGDOM	CLASS	GENUS
Brid-2022-324-267	267	nest	539	NEST	nido					
Brid-2022-324-268	268	up, above	1591	UP	arriba, encima					
Brid-2022-324-269	269	wake up	1602	WAKE UP	despertarse					
Brid-2022-324-270	270	tapioca, manioc, cassava	925	CASSAVA	mandioca, yuca					
Brid-2022-324-271	271	sweet potato	159	SWEET POTATO	camote, batata					
Brid-2022-324-272	272	stand up	570	STAND UP	poner(se) de pie					
Brid-2022-324-273	273	cat	1208	CAT	gato					
Brid-2022-324-274	274	ashes	646	ASH	cenizas					
Brid-2022-324-275	275	intestines, guts	1991	INTESTINES	intestinos					
Brid-2022-324-276	276	eat	1336	EAT	comer					
Brid-2022-324-277	277	cry, weep	1839	CRY	llorar					
Brid-2022-324-278	278	buy	1869	BUY	comprar					
Brid-2022-324-279	279	come	1446	COME	venir					
Brid-2022-324-280	280	person, human being	683	PERSON	persona					
Brid-2022-324-281	281	elbow	981	ELBOW	codo					
Brid-2022-324-282	282	father	1217	FATHER	padre					
Brid-2022-324-283	283	give	1447	GIVE	dar					
Brid-2022-324-284	284	hawk	307	HAWK	gavilán, halcón					
Brid-2022-324-285	285	fruit	1507	FRUIT	fruta					
Brid-2022-324-286	286	grasshopper	607	GRASSHOPPER	saltamontes					
Brid-2022-324-287	287	maize, corn	506	MAIZE	maíz					
Brid-2022-324-288	288	lung	688	LUNG	pulmón					
Brid-2022-324-289	289	parrot	882	PARROT	loro					
Brid-2022-324-290	290	mosquito	1509	MOSQUITO	mosquito					
Brid-2022-324-291	291	name	1405	NAME	nombre					
Brid-2022-324-292	292	old	1229	OLD	viejo					
Brid-2022-324-293	293	owl	735	OWL	lechuza, buho					
Brid-2022-324-294	294	pus	1808	PUS	pus					
Brid-2022-324-295	295	ripe	178	RIPE	maduro					
Brid-2022-324-296	296	road	667	ROAD	carretera					
Brid-2022-324-297	297	root	670	ROOT	raíz					
Brid-2022-324-298	298	rope, cord	1218	ROPE	cuerda, soga					
Brid-2022-324-299	299	thunder	1150	THUNDER	trueno					
Brid-2022-324-300	300	tobacco	974	TOBACCO	tabaco					
Brid-2022-324-301	301	urinate	592	PISS	orinar					
Brid-2022-324-302	302	pig	1337	PIG	cerdo, puerco					
Brid-2022-324-303	303	Pistia stratiotes				2870583	Pistia stratiotes L.	Plantae	Liliopsida	Pistia
Brid-2022-324-304	304	Cynodon dactylon				6109637	Cynodon dactylon (L.) Pers.	Plantae		Cynodon
Brid-2022-324-305	305	Paspalum plicatulum				2705584	Paspalum plicatulum Michx.	Plantae	Liliopsida	Paspalum
Brid-2022-324-306	306	Paspalum repens				2705655	Paspalum repens P.J.Bergius	Plantae		Paspalum
Brid-2022-324-307	307	Paspalum unispicatum				2705658	Paspalum unispicatum (Scribn. & Merr.) Nash	Plantae	Liliopsida	Paspalum
Brid-2022-324-308	308	Dendrocygna bicolor				2498402	Dendrocygna bicolor (Vieillot, 1816)	Animalia	Aves	Dendrocygna
Brid-2022-324-309	309	Eichhornia azurea				2765950	Eichhornia azurea Kunth	Plantae	Liliopsida	Eichhornia
Brid-2022-324-310	310	Hymenachne amplexicaulis				2705781	Hymenachne amplexicaulis (Rudge) Nees	Plantae	Liliopsida	Hymenachne
Brid-2022-324-311	311	Aramides ypecaha				2474657	Aramides ypecaha (Vieillot, 1819)	Animalia		Aramides
Brid-2022-324-312	312	Turdus amaurochalinus				2490752	Turdus amaurochalinus Cabanis, 1850	Animalia	Aves	Turdus
Brid-2022-324-313	313	Zea mays				5290052	Zea mays L.	Plantae	Liliopsida	Zea
Brid-2022-324-314	314	Aramus guarauna guarauna				7191383	Aramus guarauna guarauna	Animalia	Aves	Aramus
Brid-2022-324-315	315	Echinopsis rhodotricha				7281220	Echinopsis rhodotricha K.Schum.	Plantae	Magnoliopsida	Echinopsis
Brid-2022-324-316	316	Citrullus lanatus				2874621	Citrullus lanatus (Thunb.) Matsumura & Nakai	Plantae	Magnoliopsida	Citrullus
Brid-2022-324-317	317	Tayassu pecari				2440993	Tayassu pecari (Link, 1795)	Animalia	Mammalia	Tayassu
Brid-2022-324-318	318	Gossypium hirsutum				3152661	Gossypium hirsutum L.	Plantae	Magnoliopsida	Gossypium
Brid-2022-324-319	319	Ipomoea carnea				2928590	Ipomoea carnea Jacq.	Plantae	Magnoliopsida	Ipomoea
Brid-2022-324-320	320	Tamandua tetradactyla				2436340	Tamandua tetradactyla (Linnaeus, 1758)	Animalia	Mammalia	Tamandua
Brid-2022-324-321	321	Crotophaga ani				2496209	Crotophaga ani Linnaeus, 1758	Animalia		Crotophaga
Brid-2022-324-322	322	Crotophaga major				2496210	Crotophaga major Gmelin, 1788	Animalia		Crotophaga
Brid-2022-324-323	323	hold	1448	HOLD	tener (en mano), apoyar					
Brid-2022-324-324	324	Ortalis canicollis				5229443	Ortalis canicollis (Wagler, 1830)	Animalia		Ortalis
