ID	NUMBER	FINNISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FINNISH_VALENCE_MEAN	FINNISH_AROUSAL_MEAN	FINNISH_VALENCE_MEAN_FEMALE	FINNISH_VALENCE_MEAN_MALE	FINNISH_AROUSAL_MEAN_FEMALE	FINNISH_AROUSAL_MEAN_MALE	FINNISH_VALENCE_MEAN_GROUP_01	FINNISH_VALENCE_MEAN_GROUP_02	FINNISH_VALENCE_MEAN_GROUP_03	FINNISH_VALENCE_MEAN_GROUP_04	FINNISH_AROUSAL_MEAN_GROUP_01	FINNISH_AROUSAL_MEAN_GROUP_02	FINNISH_AROUSAL_MEAN_GROUP_03	FINNISH_AROUSAL_MEAN_GROUP_04
Soederholm-2013-420-41	41	Hipiä	Complexion			4.59	3.48	4.62	4.48	3.41	3.7	3.44	4.44	4.95	4.76	3.54	3.51	3.43	3.52
Soederholm-2013-420-42	42	Hitaus	Slowness			2.8	3.95	2.75	2.97	4.05	3.62	2.91	3.01	2.65	2.44	3.18	3.77	4.15	4.5
Soederholm-2013-420-43	43	Hoitaja	Nurse	1104	NURSE	4.68	3.02	4.59	5	2.98	3.15	3.64	4.37	5.01	5.3	2.36	3.21	2.98	2.7
Soederholm-2013-420-44	44	Holkki	Socket			3.83	3.59	3.85	3.74	3.64	3.35	3.45	3.91	3.79	3.88	3.09	3.58	3.7	3.5
Soederholm-2013-420-45	45	Huone	Room	1450	ROOM	4.27	3.37	4.25	4.31	3.4	3.3	4.44	4.21	4.34	4.46	3.44	3.34	3.44	3.5
Soederholm-2013-420-46	46	Hurmio	Thrill			5.26	5.01	5.27	5.19	5.02	4.94	5.09	5.21	5.27	5.88	4.18	5.34	4.76	4.5
Soederholm-2013-420-47	47	Hurmuri	Charmer			4.18	4.12	4.33	3.69	4.08	4.26	4.55	4.37	4.05	3.38	4.09	4.35	3.94	4.13
Soederholm-2013-420-48	48	Huuma	Ecstasy			4.88	4.85	4.96	4.64	4.87	4.78	4.67	4.98	4.81	5	4.22	5.09	4.78	4.76
Soederholm-2013-420-49	49	Huvila	Villa			5.53	2.94	5.57	5.39	2.88	3.23	4.91	5.52	5.67	5.38	3.4	2.74	3.1	3.25
Soederholm-2013-420-50	50	Hylkäys	Rejection			1.64	5.2	1.58	1.82	5.22	5.15	1.56	1.67	1.69	1.38	5.28	5.22	4.97	5.5
Soederholm-2013-420-51	51	Hylly	Shelf	745	SHELF	4.11	3.28	4.13	4.03	3.32	3.06	3.91	4.07	4.18	4.38	3.18	3.22	3.31	3.75
Soederholm-2013-420-52	52	Hyrinä	Hum			4.57	3.18	4.63	4.32	3.1	3.58	3.64	4.47	4.88	4.5	3.09	3.25	3.03	3.88
Soederholm-2013-420-53	53	Hyvyys	Goodness			5.9	3.01	6	5.62	2.97	3.13	5.85	5.7	6.02	6.38	3.59	2.82	3.1	2.76
Soederholm-2013-420-54	54	Hyväily	Caress			6.24	4.37	6.28	6.16	4.42	4.22	6.26	6.22	6.38	6.13	4.79	4.28	4.52	4.17
Soederholm-2013-420-55	55	Hyökkäys	Assault	722	ATTACK	2.17	5.51	1.91	2.84	5.6	5.29	6.26	6.22	6.38	6.13	4.79	4.28	4.52	4.17
Soederholm-2013-420-56	56	Häirintä	Harassment			1.94	5.15	1.89	2.08	5.23	4.96	2.03	2.02	1.77	1.5	5.08	5.17	5.03	5.42
Soederholm-2013-420-57	57	Hämähäkki	Spider	843	SPIDER	2.67	4.46	2.5	3.45	4.61	3.77	5.27	4.97	4.45	5.13	3.82	3.51	3.64	3.38
Soederholm-2013-420-58	58	Häpeä	Shame	1776	SHAME	1.79	4.67	1.73	1.99	4.78	4.33	2.11	1.95	1.59	1.62	4.19	4.81	4.62	4.81
Soederholm-2013-420-59	59	Häpäisy	Desecration			1.51	5.43	1.44	1.7	5.46	5.36	1.49	1.55	1.46	1.21	5.54	5.46	5.1	5.79
Soederholm-2013-420-60	60	Häviäjä	Loser			2.35	4.44	2.33	2.47	4.53	4	2.09	2.28	2.54	2	4.09	4.51	4.45	4
Soederholm-2013-420-61	61	Hölmöys	Silliness			2.84	4.09	2.91	2.63	4.13	3.96	2.11	1.95	1.59	1.62	4.19	4.81	4.62	4.81
Soederholm-2013-420-62	62	Ihailu	Admiration			5.22	3.97	5.22	5.23	3.89	4.23	4.73	5.23	5.27	5.3	3.55	4.06	3.99	3.6
Soederholm-2013-420-63	63	Ihanuus	Bliss			5.99	3.55	6.03	5.84	3.42	4.16	5.91	6.13	5.76	6.63	3.64	3.42	3.58	4.63
Soederholm-2013-420-64	64	Ihastus	Infatuation			6.07	5.25	6.12	5.91	5.31	5.09	5.95	6.13	5.93	5.96	5.28	5.19	5.52	5.13
Soederholm-2013-420-65	65	Ilmoitus	Notification			3.93	3.78	3.91	3.96	3.8	3.74	4.05	3.9	3.93	3.96	3.69	3.78	3.77	4.04
Soederholm-2013-420-66	66	Iloisuus	Cheerfulness			6.25	3.89	6.26	6.19	3.8	4.29	6.09	6.24	6.24	6.63	3.45	4.03	3.67	4.63
Soederholm-2013-420-67	67	Innokkuus	Enthusiasm			5.27	4.71	5.37	4.9	4.74	4.62	5	5.31	5.26	5.3	4.27	4.84	4.68	4.5
Soederholm-2013-420-68	68	Intohimo	Passion	4060	PASSION	5.89	5.32	5.98	5.48	5.35	5.19	5.64	6.03	5.76	5.75	4.45	5.66	5.07	4.88
Soederholm-2013-420-69	69	Irvokkuus	Grotesqueness			2.11	4.69	1.95	2.53	4.74	4.57	2.85	2.11	1.87	1.5	4.72	4.69	4.44	5.29
Soederholm-2013-420-70	70	Istuin	Seat			4.49	3.17	4.48	4.52	3.18	3.13	4	4.46	4.58	4.63	3.27	3.07	3.22	3.63
Soederholm-2013-420-71	71	Itsekkyys	Selfishness			2.14	4.88	2.11	2.22	4.97	4.64	2.18	2.15	2.16	1.88	5.08	4.89	4.7	4.92
Soederholm-2013-420-72	72	Jalous	Nobleness			5.32	3.02	5.37	5.13	3	3.1	4.73	5.33	5.37	5.56	2.36	3.27	2.88	3.2
Soederholm-2013-420-73	73	Juhla	Party	131	FESTIVAL	5.54	4.49	5.69	5.07	4.59	4.18	5.96	5.37	5.59	5.62	4.41	4.55	4.59	3.76
Soederholm-2013-420-74	74	Jumaluus	Deity	3231	DEITY	4.07	3.91	4.06	4.13	3.88	4.03	4.73	3.81	4.25	4.5	3.27	4.11	3.75	3.88
Soederholm-2013-420-75	75	Juoksija	Runner			4.16	3.89	4.21	4.02	3.96	3.7	4.07	4.26	4.14	3.95	4.07	4.28	3.56	3.43
Soederholm-2013-420-76	76	Juoma	Drink	731	BEVERAGE	4.88	3.52	4.85	4.97	3.57	3.41	5.13	4.84	4.89	4.92	3.59	3.52	3.57	3.38
Soederholm-2013-420-77	77	Juoru	Gossip			2.51	4.87	2.55	2.41	4.91	4.76	2.9	2.52	2.54	1.78	5.1	4.89	4.62	4.96
Soederholm-2013-420-78	78	Kaarna	Bark	1204	BARK	4.94	2.84	5.03	4.55	2.77	3.19	3.91	5.02	5.03	4.75	2.91	2.52	3.15	3.75
Soederholm-2013-420-79	79	Kaide	Balustrade			4.14	3.31	4.19	3.99	3.29	3.38	4.15	4.06	4.21	4.75	3.33	3.4	3.05	3
Soederholm-2013-420-80	80	Kaiku	Echo	2816	ECHO	4.77	3.3	4.82	4.61	3.31	3.3	4.36	4.61	4.9	5.3	2.55	3.24	3.43	3.56
Soederholm-2013-420-81	81	Kakku	Cake	2408	CAKE	5.19	3.28	5.25	5.05	3.37	3.05	5.33	5.18	5.08	5.33	3.21	3.24	3.35	3.67
Soederholm-2013-420-82	82	Kalastus	Fishing	2638	FISHING	4.62	3.15	4.52	4.95	3.19	2.97	4.55	4.56	4.59	5.3	2.64	3.13	3.2	3.4
Soederholm-2013-420-83	83	Kallio	Cliff	992	CLIFF	5.17	2.82	5.24	4.92	2.83	2.79	4.45	4.93	5.42	5.6	2.64	2.87	2.8	2.8
Soederholm-2013-420-84	84	Kallo	Scull			3.28	3.75	3.23	3.44	3.74	3.77	2.91	3.36	3.3	2.9	3.55	3.81	3.72	3.7
Soederholm-2013-420-85	85	Kalpeus	Paleness			2.67	3.31	2.74	2.48	3.36	3.16	2.63	2.76	2.6	2.67	3.48	3.45	3.13	3.33
Soederholm-2013-420-86	86	Kampa	Comb	1475	COMB	4.13	3.34	4.15	4.05	3.31	3.44	3.45	4.23	4.12	4.2	3	3.39	3.3	3.7
Soederholm-2013-420-87	87	Kampaus	Hairdo			4.52	3.5	4.63	4.18	3.48	3.55	4.89	4.44	4.5	4.57	3.63	3.66	3.37	3.19
Soederholm-2013-420-88	88	Kangas	Fabric			4.4	3.45	4.46	4.1	3.52	3.16	4	4.38	4.48	4.5	3.27	3.27	3.73	3.38
Soederholm-2013-420-89	89	Kangastus	Mirage			4.69	3.13	4.75	4.51	2.95	3.74	3.64	4.41	4.99	5.4	2.45	3.41	3.04	2.67
Soederholm-2013-420-90	90	Kankeus	Rigidity			2.36	3.67	2.26	2.72	3.67	3.67	2.27	2.57	2.17	2.6	3.64	3.66	3.59	4.5
Soederholm-2013-420-91	91	Kannuste	Incentive			5	3.83	5.04	4.9	3.86	3.75	5.23	4.78	5.04	5.67	4.26	3.93	3.69	3.52
Soederholm-2013-420-92	92	Kannustus	Encouragement			5.79	4.02	5.82	5.68	3.97	4.26	5.91	5.8	5.73	6.13	3.64	4.26	3.7	4.63
Soederholm-2013-420-93	93	Kanootti	Canoe	1970	CANOE	4.49	3.39	4.51	4.44	3.38	3.41	4.44	4.51	4.33	4.79	3.36	3.35	3.43	3.75
Soederholm-2013-420-94	94	Kansa	People	789	PEOPLE	4.13	3.7	4.12	4.17	3.72	3.63	3.67	4.11	4.2	4.5	3.74	3.92	3.58	3.14
Soederholm-2013-420-95	95	Kappale	Peace	1338	PEACE	4.35	3.54	4.34	4.36	3.51	3.66	5.09	4.54	4.16	3.7	3.82	3.54	3.53	3.3
Soederholm-2013-420-96	96	Karkki	Candy	874	CANDY	5.04	3.57	5.16	4.7	3.7	3.16	5.52	5.16	4.96	4.33	3.67	3.75	3.5	2.86
Soederholm-2013-420-97	97	Kaste	Dew, baptism	1977	DEW	5.03	2.96	5.25	4.28	2.78	3.59	3.91	4.4	5.67	5.4	2.82	3.11	2.87	2.8
Soederholm-2013-420-98	98	Kasvain	Tumour			1.4	5.43	1.37	1.55	5.58	4.74	1.45	1.31	1.53	1.29	4.82	5.4	5.55	5.57
Soederholm-2013-420-99	99	Kasvi	Plant	653	PLANT (VEGETATION)	5.11	2.95	5.22	4.72	2.9	3.13	4.82	5.13	5.12	5.2	2.91	2.9	3	3
Soederholm-2013-420-100	100	Katkeruus	Bitterness			1.81	4.5	1.79	1.87	4.61	4.18	2.07	2.04	1.56	1.62	4.19	4.63	4.49	4.33
Soederholm-2013-420-101	101	Kauneus	Beauty	4051	BEAUTY	5.86	3.6	5.83	6	3.49	4.1	6	5.95	5.67	6.25	4.18	3.52	3.49	4.5
Soederholm-2013-420-102	102	Kavallus	Fraud			1.87	4.69	1.87	1.86	4.76	4.47	1.8	2.16	1.71	1.24	4.19	4.69	4.66	5.48
Soederholm-2013-420-103	103	Kavaltaja	Traitor			1.65	5.21	1.6	1.78	5.2	5.24	1.77	1.71	1.49	1.21	5.31	5.2	5.02	5.67
Soederholm-2013-420-104	104	Kaveruus	Camaraderie			5.72	3.26	5.78	5.55	3.22	3.36	5.93	5.47	5.91	5.8	3.52	3.17	3.45	2.3
Soederholm-2013-420-105	105	Kehitys	Development			4.78	3.95	4.78	4.78	3.94	3.99	5.26	4.67	4.72	5	4.26	4.04	3.89	3.35
Soederholm-2013-420-106	106	Keksintö	Invention			4.89	4.19	4.83	5.04	4.21	4.14	4.87	4.85	4.89	5.38	4.28	4.14	4.2	4.63
Soederholm-2013-420-107	107	Kerskailu	Bragging			1.82	4.98	1.78	1.97	4.98	4.97	2	2	1.68	1.5	4.27	4.97	5.1	4.8
Soederholm-2013-420-108	108	Kiduttaja	Torturer			1.28	5.77	1.27	1.29	5.83	5.52	1.27	1.23	1.36	1.14	4.64	5.95	5.79	5.14
Soederholm-2013-420-109	109	Kidutus	Torture			1.23	5.88	1.2	1.3	5.94	5.74	1.42	1.23	1.2	1.04	5.68	5.96	5.66	5.92
Soederholm-2013-420-110	110	Kiihkeys	Intensity			4.49	5.05	4.55	4.23	5.15	4.61	4.91	4.34	4.66	4.25	4.27	5.41	4.78	4.5
Soederholm-2013-420-111	111	Kiintymys	Affection			5.66	3.38	5.8	5.25	3.28	3.69	5.3	5.41	5.93	6	3.37	3.27	3.57	2.95
Soederholm-2013-420-112	112	Kiito	Zoom			4.08	4.3	4.15	3.88	4.44	3.9	3.7	4.07	4.16	4.19	4.07	4.61	4.21	3.52
Soederholm-2013-420-113	113	Kiitos	Credit			6.03	3.2	6.05	5.96	3.26	3.01	6.11	5.94	6.1	5.95	3	3.06	3.46	2.76
Soederholm-2013-420-114	114	Kiljunta	Screaming	2522	SCREAM (NOISE)	2.07	5.12	2.11	1.94	5.21	4.82	2.07	2.17	2.01	1.9	4.81	5.31	5.05	4.81
Soederholm-2013-420-115	115	Kiltteys	Kindness	3468	KINDNESS	5.5	2.9	5.44	5.69	2.93	2.82	5.27	5.63	5.49	4.9	3	2.83	2.89	3.4
Soederholm-2013-420-116	116	Kirjoitus	Writing			4.51	3.84	4.5	4.55	3.89	3.6	3.64	4.51	4.61	4.88	3.6	3.8	3.85	4.5
Soederholm-2013-420-117	117	Kirous	Curse			2.16	4.71	2.03	2.48	4.82	4.41	2.32	2.24	1.97	1.54	4.74	4.65	4.69	5.33
Soederholm-2013-420-118	118	Kitkeryys	Bitterness			2.49	4.11	2.41	2.71	4.13	4.04	2.41	2.53	2.52	2.17	4.21	4.11	4.02	4.17
Soederholm-2013-420-119	119	Kolmio	Triangle			4.17	3.63	4.15	4.23	3.68	3.39	3.82	4.31	4.01	4.38	3.45	3.51	3.78	3.88
Soederholm-2013-420-120	120	Komentaja	Commander			2.99	4.49	2.87	3.3	4.58	4.27	2.82	3.09	2.67	2.92	4.74	4.55	4.11	4.42
Soederholm-2013-420-121	121	Komeus	Handsomeness			5.09	4.14	5.21	4.7	4.24	3.83	5.59	5.03	5.04	5	4.15	4.2	4.14	3.76
Soederholm-2013-420-122	122	Kosketus	Touch	2521	FEELING (HAPTIC SENSE)	6.02	3.7	6.15	5.68	3.65	3.83	5.82	6.15	5.79	5.52	3.82	3.57	4.02	4.17
Soederholm-2013-420-123	123	Kostaja	Avenger			1.65	5.58	1.47	2.28	5.7	5.18	1.55	2.03	1.38	1.4	4.91	5.49	5.76	5.6
Soederholm-2013-420-124	124	Kosteus	Moisture			3.66	3.75	3.66	3.67	3.81	3.43	3.91	3.82	3.52	2.88	3.18	3.74	3.91	3.25
Soederholm-2013-420-125	125	Kosto	Revenge	495	REVENGE	2.02	5.46	1.84	2.5	5.49	5.38	2.44	2.07	1.75	1.46	5.05	5.55	5.18	5.83
Soederholm-2013-420-126	126	Kotelo	Case (container)			3.82	3.36	3.85	3.72	3.34	3.46	3.55	3.94	3.79	3.5	3	3.27	3.52	3.1
Soederholm-2013-420-127	127	Kruunu	Crown	1943	CROWN (OF HEAD)	4.24	3.74	4.31	4.04	3.79	3.59	4.28	4.26	4.07	4.33	3.92	3.76	3.43	3.88
Soederholm-2013-420-128	128	Kuivuus	Drought			2.56	3.63	2.56	2.57	3.73	3.32	2.41	2.58	2.58	2.57	3.41	3.69	3.63	3.57
Soederholm-2013-420-129	129	Kuljetus	Transport			4	3.77	3.97	4.1	3.79	3.69	3.18	4.07	4.04	4.1	3.73	3.83	3.74	3.6
Soederholm-2013-420-130	130	Kulkija	Vagabond			4.25	3.57	4.31	4.07	3.66	3.31	3.88	4.43	4.21	4	3.7	3.7	3.48	3.24
Soederholm-2013-420-131	131	Kuningas	King	1508	KING	4.02	3.58	4.13	3.64	3.58	3.56	3.18	4.11	4.1	3.6	3.18	3.7	3.51	3.7
Soederholm-2013-420-132	132	Kunnia	Honor			4.72	3.98	4.67	4.87	3.99	3.96	5.33	4.54	4.71	4.9	4.04	4.22	3.79	3.62
Soederholm-2013-420-133	133	Kuolema	Death	910	DEATH	2.23	4.44	2.2	2.33	4.64	3.85	1.81	2.47	2.07	2.38	4.19	4.43	4.73	3.29
Soederholm-2013-420-134	134	Kuori	Shell	598	SHELL	3.91	3.66	3.89	4	3.7	3.48	3.82	3.84	4.01	3.88	3.64	3.59	3.73	3.88
Soederholm-2013-420-135	135	Kuppi	Cup	476	CUP	4.4	3.19	4.46	4.21	3.2	3.15	3.91	4.54	4.38	4.2	2.82	3.21	3.26	2.8
Soederholm-2013-420-136	136	Kuulo	Hearing	2518	HEARING (AURAL SENSE)	5.13	3.63	5.13	5.13	3.64	3.61	4.91	5.16	5.12	5.25	3.27	3.56	3.76	3.88
Soederholm-2013-420-137	137	Kuvitelma	Fiction			4.99	3.69	5.04	4.87	3.78	3.47	4.97	4.96	5.13	4.96	3.59	3.55	4.18	4.17
Soederholm-2013-420-138	138	Kylmyys	Coldness	2932	COLD (CHILL)	2.7	3.97	2.58	3	4.09	3.64	2.49	2.8	2.46	2.48	4.08	3.95	3.87	4.26
Soederholm-2013-420-139	139	Kärkevyys	Acrimony			2.75	4.33	2.7	2.9	4.46	3.95	1.81	2.47	2.07	2.38	4.19	4.43	4.73	3.29
Soederholm-2013-420-140	140	Kärsimys	Misery	2553	MISERY	1.7	5.03	1.65	1.9	5.11	4.71	3.82	3.84	4.01	3.88	3.64	3.59	3.73	3.88
Soederholm-2013-420-141	141	Käsine	Glove	867	GLOVE	4.09	3.23	4.1	4.06	3.19	3.33	3.85	4.15	4.13	3.9	3.59	3.37	3.02	3.14
Soederholm-2013-420-142	142	Kätkö	Stash			4.19	4.21	4.24	3.94	4.21	4.19	3.91	4.3	4.15	3.75	4.09	4.16	4.25	4.5
Soederholm-2013-420-143	143	Kävely	Walk	2979	WALK (MANNER)	4.92	3.3	4.99	4.7	3.3	3.28	4.22	4.8	5.24	4.71	3.56	3.2	3.32	3.29
Soederholm-2013-420-144	144	Käytäntö	Custom	1747	CUSTOM	4.13	3.61	4.07	4.42	3.58	3.77	4.91	5.16	5.12	5.25	3.27	3.56	3.76	3.88
Soederholm-2013-420-145	145	Käärme	Snake	730	SNAKE	2.28	4.87	2.19	2.56	4.98	4.56	4.22	4.8	5.24	4.71	3.56	3.2	3.32	3.29
Soederholm-2013-420-146	146	Köyhyys	Poverty	4066	POVERTY	2.05	4.44	1.96	2.28	4.52	4.25	1.9	2.11	1.9	1.96	4.69	4.43	4.3	4.5
Soederholm-2013-420-147	147	Laatu	Quality			5.06	3.33	5.01	5.2	3.32	3.37	5.15	5.04	5.13	4.96	3.41	3.28	3.3	3.92
Soederholm-2013-420-148	148	Lahja	Gift	2982	GIFT	5.82	3.91	5.87	5.64	3.84	4.15	5.91	5.77	5.85	5.7	4.18	3.84	3.99	3.4
Soederholm-2013-420-149	149	Lahjonta	Bribery			2.09	5.04	2.01	2.38	5.06	4.97	3.18	2.47	1.7	1.5	4.27	4.96	5.16	5.5
Soederholm-2013-420-150	150	Lahko	Cult			2.12	4.71	2.1	2.17	4.75	4.6	2.62	2.08	1.87	2.42	4.64	4.83	4.46	4.13
Soederholm-2013-420-151	151	Laiskuus	Laziness			2.84	3.92	2.83	2.9	4.04	3.39	2.73	2.63	3.27	1.75	4	3.93	3.79	4.75
Soederholm-2013-420-152	152	Laituri	Dock			5.33	2.81	5.43	5.04	2.87	2.61	4.89	5.33	5.47	5.19	3	2.7	2.89	2.67
Soederholm-2013-420-153	153	Lamaannus	Paralysis			1.8	3.93	1.69	2.21	4.07	3.46	2.18	1.93	1.68	1.5	3.09	3.99	3.9	4.7
Soederholm-2013-420-154	154	Lanta	Manure	2057	DUNG (ANIMAL FAECES)	2.28	3.17	2.36	2.06	3.22	3.03	1.78	2.28	2.33	2.71	2.93	3.16	3.21	3.33
Soederholm-2013-420-155	155	Lapsuus	Childhood			5.88	2.95	5.9	5.81	2.83	3.48	5.82	5.94	5.78	6.29	3.09	2.61	3.19	4.38
Soederholm-2013-420-156	156	Laukaus	Shot			2.28	5.37	2.07	3.3	5.5	4.77	2.73	2.36	2.07	2.63	5	5.5	5.3	5
