ID	NUMBER	SUBLIST	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
SIL-1980-281-39	39		rattan	2497	RATTAN
SIL-1980-281-40	40		areca	217	BETELNUT
SIL-1980-281-41	41		papaya	2445	PAPAYA
SIL-1980-281-42	42		coconut	970	COCONUT
SIL-1980-281-43	43	*	bird	937	BIRD
SIL-1980-281-44	44	=	wing	1257	WING
SIL-1980-281-45	45	*	feather	1201	FEATHER
SIL-1980-281-46	46		fly	1441	FLY (MOVE THROUGH AIR)
SIL-1980-281-47	47	*	egg	744	EGG
SIL-1980-281-48	48	*	tail	1220	TAIL
SIL-1980-281-49	49	=	claw	72	CLAW
SIL-1980-281-50	50	*	horn	1393	HORN (ANATOMY)
SIL-1980-281-51	51	=	animal	619	ANIMAL
SIL-1980-281-52	52	*	dog	2009	DOG
SIL-1980-281-53	53		pig	1337	PIG
SIL-1980-281-54	54		chicken	1318	CHICKEN
SIL-1980-281-55	55		duck	1360	DUCK
SIL-1980-281-56	56	*	fish	227	FISH
SIL-1980-281-57	57	=	snake	730	SNAKE
SIL-1980-281-58	58		rat	1490	RAT
SIL-1980-281-59	59		rabbit	1136	RABBIT
SIL-1980-281-60	60		monkey	1350	MONKEY
SIL-1980-281-61	61		deer	1936	DEER
SIL-1980-281-62	62		tiger	846	TIGER
SIL-1980-281-63	63		buffalo	934	BUFFALO
SIL-1980-281-64	64		cow	1007	COW
SIL-1980-281-65	65		elephant	1290	ELEPHANT
SIL-1980-281-66	66		elephant tusk	2495	ELEPHANT TUSK
SIL-1980-281-67	67	=	worm	1219	WORM
SIL-1980-281-68	68		scorpion	1538	SCORPION
SIL-1980-281-69	69		spider	843	SPIDER
SIL-1980-281-70	70	*	louse	1392	LOUSE
SIL-1980-281-71	71		mosquito	1509	MOSQUITO
SIL-1980-281-72	72	*	a fly	1504	FLY (INSECT)
SIL-1980-281-73	73	*	nose	1221	NOSE
SIL-1980-281-74	74	*	eye	1248	EYE
SIL-1980-281-75	75	*	car	1111	CAR
SIL-1980-281-76	76	*	head	1256	HEAD
SIL-1980-281-77	77	*	mouth	674	MOUTH
SIL-1980-281-78	78	*	tooth	1380	TOOTH
SIL-1980-281-79	79	*	tongue	1205	TONGUE
SIL-1980-281-80	80	*	hair	1040	HAIR
SIL-1980-281-81	81	*	neck	1333	NECK
SIL-1980-281-82	82		shoulder	1482	SHOULDER
SIL-1980-281-83	83	*	chest	1592	CHEST
SIL-1980-281-84	84	*	back	1291	BACK
SIL-1980-281-85	85	*	heart	1223	HEART
SIL-1980-281-86	86	*	abdomen	1251	BELLY
SIL-1980-281-87	87	=	intestines	1991	INTESTINES
SIL-1980-281-88	88		liver	1224	LIVER
SIL-1980-281-89	89	*	hand	1277	HAND
SIL-1980-281-90	90		palm	1181	PALM TREE
SIL-1980-281-91	91	*	nail	1896	FINGERNAIL OR TOENAIL
SIL-1980-281-92	92	=	leg	1297	LEG
SIL-1980-281-93	93	*	foot	1301	FOOT
SIL-1980-281-94	94	*	knee	1371	KNEE
SIL-1980-281-95	95		thigh	800	THIGH
SIL-1980-281-96	96		calf	1989	CALF
SIL-1980-281-97	97	*	blood	946	BLOOD
SIL-1980-281-98	98	*	bone	1394	BONE
SIL-1980-281-99	99	*	skin	763	SKIN
SIL-1980-281-100	100	*	flesh	2259	FLESH
SIL-1980-281-101	101	*	fat	323	FAT (ORGANIC SUBSTANCE)
SIL-1980-281-102	102	=	live	1422	BE ALIVE
SIL-1980-281-103	103	*	die	1494	DIE
SIL-1980-281-104	104		sick	1847	SICK
SIL-1980-281-105	105	=	breathe	1407	BREATHE
SIL-1980-281-106	106	*	hear	1408	HEAR
SIL-1980-281-107	107	*	see	1409	SEE
SIL-1980-281-108	108	*	speak	1623	SPEAK
SIL-1980-281-109	109	=	laugh	1355	LAUGH
SIL-1980-281-110	110		weep	1839	CRY
SIL-1980-281-111	111	=	suck	1421	SUCK
SIL-1980-281-112	112	=	spit	1440	SPIT
SIL-1980-281-113	113	=	blow	175	BLOW (OF WIND)
SIL-1980-281-114	114	*	bite	1403	BITE
SIL-1980-281-115	115	*	eat	1336	EAT
SIL-1980-281-116	116	*	drink	1401	DRINK
SIL-1980-281-117	117		drunk	1463	DRUNK
SIL-1980-281-118	118	=	vomit	1278	VOMIT
SIL-1980-281-119	119	=	smell	1586	SMELL (PERCEIVE)
SIL-1980-281-120	120	=	think	2271	THINK
SIL-1980-281-121	121	*	know	1410	KNOW (SOMETHING)
SIL-1980-281-122	122	=	count	1420	COUNT
SIL-1980-281-123	123	=	fear	1419	FEAR (BE AFRAID)
SIL-1980-281-124	124		want	1784	WANT
SIL-1980-281-125	125	*	sleep	1585	SLEEP
SIL-1980-281-126	126	*	lie	1411	LIE (REST)
SIL-1980-281-127	127	*	stand	1442	STAND
SIL-1980-281-128	128	*	sit	1416	SIT
SIL-1980-281-129	129	*	walk	1443	WALK
SIL-1980-281-130	130	*	come	1446	COME
SIL-1980-281-131	131		enter	749	ENTER
SIL-1980-281-132	132		return	581	COME BACK
SIL-1980-281-133	133	=	turn	1588	TURN
SIL-1980-281-134	134	*	swim	1439	SWIM
SIL-1980-281-135	135	=	float	1574	FLOAT
SIL-1980-281-136	136	=	flow	2003	FLOW
SIL-1980-281-137	137	=	push	1452	PUSH
SIL-1980-281-138	138	=	pull	1455	PULL
SIL-1980-281-139	139	=	throw	1456	THROW
SIL-1980-281-140	140	=	fall, drop	1280	FALL
SIL-1980-281-141	141	*	give	1447	GIVE
SIL-1980-281-142	142	=	take	1749	TAKE
SIL-1980-281-143	143	=	wash	1453	WASH
SIL-1980-281-144	144		launder	2503	LAUNDER
SIL-1980-281-145	145	*	split	1437	SPLIT
SIL-1980-281-146	146	*	tie	1917	TIE
SIL-1980-281-147	147	=	wipe	1454	WIPE
SIL-1980-281-148	148	=	rub	1449	RUB
SIL-1980-281-149	149	=	hit	1433	HIT
SIL-1980-281-150	150	=	cut	1432	CUT
SIL-1980-281-151	151	=	stab	1434	STAB
SIL-1980-281-152	152	=	dig	1418	DIG
SIL-1980-281-153	153	=	scratch	1436	SCRATCH
SIL-1980-281-154	154	=	squeeze	1414	SQUEEZE
SIL-1980-281-155	155	*	man	1554	MAN
SIL-1980-281-156	156	*	woman	962	WOMAN
SIL-1980-281-157	157	*	person	683	PERSON
SIL-1980-281-158	158	=	father	1217	FATHER
SIL-1980-281-159	159	=	mother	1216	MOTHER
SIL-1980-281-160	160	=	child	2099	CHILD
SIL-1980-281-161	161	=	husband	1200	HUSBAND
SIL-1980-281-162	162	=	wife	1199	WIFE
SIL-1980-281-163	163	=	(older) brother	1262	BROTHER
SIL-1980-281-164	164	=	(older) sister	1263	SISTER
SIL-1980-281-165	165		younger sibling	427	YOUNGER SIBLING
SIL-1980-281-166	166	*	name	1405	NAME
SIL-1980-281-167	167	*	I (familiar)	1209	I
SIL-1980-281-168	168	*	you (sg.)	1215	THOU
SIL-1980-281-169	169	=	he	1211	HE
SIL-1980-281-170	170	*	we (incl.)	1131	WE (INCLUSIVE)
SIL-1980-281-171	171	=	you (pl.)	1213	YOU
SIL-1980-281-172	172	=	they	817	THEY
SIL-1980-281-173	173		paddy rice	2026	RICE PLANT
SIL-1980-281-174	174		pounded rice	926	RICE
SIL-1980-281-175	175		cooked rice	1191	COOKED RICE
SIL-1980-281-176	176		corn	506	MAIZE
SIL-1980-281-177	177	=	salt	1274	SALT
SIL-1980-281-178	178		red pepper	919	CHILI PEPPER
SIL-1980-281-179	179		betel chew	982	LIME (FRUIT)
SIL-1980-281-180	180		pestle	225	PESTLE
SIL-1980-281-181	181		mortar	224	MORTAR CRUSHER
SIL-1980-281-182	182	=	to cook	1100	COOK (SOMETHING)
SIL-1980-281-183	183		firewood	10	FIREWOOD
SIL-1980-281-184	184	*	fire	221	FIRE
SIL-1980-281-185	185	*	burn	2102	BURN
SIL-1980-281-186	186	*	ashes	646	ASH
SIL-1980-281-187	187	*	smoke	778	SMOKE (EXHAUST)
SIL-1980-281-188	188	*	road, path	667	ROAD
SIL-1980-281-189	189		house	1252	HOUSE
SIL-1980-281-190	190		roof	769	ROOF
SIL-1980-281-191	191	=	cord	1218	ROPE
SIL-1980-281-192	192	=	sew	1457	SEW
SIL-1980-281-193	193	=	clothing	1895	CLOTHES
SIL-1980-281-194	194		loincloth, sarong	1965	LOINCLOTH
SIL-1980-281-195	195	=	work	1086	WORK (ACTIVITY)
SIL-1980-281-196	196	=	play	1413	PLAY
SIL-1980-281-197	197	=	sing	1261	SING
SIL-1980-281-198	198	=	dance	1879	DANCE
SIL-1980-281-199	199	=	drum	908	DRUM
SIL-1980-281-200	200		gong	2502	GONG
SIL-1980-281-201	201	=	buy	1869	BUY
SIL-1980-281-202	202		crossbow	994	BOW
SIL-1980-281-203	203		arrow	977	ARROW
SIL-1980-281-204	204	=	spear	945	SPEAR
SIL-1980-281-205	205	=	shoot	1172	SHOOT
SIL-1980-281-206	206	=	hunt	1435	HUNT
SIL-1980-281-207	207	*	kill	1417	KILL
SIL-1980-281-208	208	=	fight	1423	FIGHT
SIL-1980-281-209	209	*	one	1493	ONE
SIL-1980-281-210	210	*	two	1498	TWO
SIL-1980-281-211	211	=	three	492	THREE
SIL-1980-281-212	212	=	four	1500	FOUR
SIL-1980-281-213	213	=	five	493	FIVE
SIL-1980-281-214	214		six	1703	SIX
SIL-1980-281-215	215	=	seven	1704	SEVEN
SIL-1980-281-216	216	=	eight	1705	EIGHT
SIL-1980-281-217	217		nine	1483	NINE
SIL-1980-281-218	218	=	ten	1515	TEN
SIL-1980-281-219	219	=	twenty	1710	TWENTY
SIL-1980-281-220	220	=	hundred	1634	HUNDRED
SIL-1980-281-221	221	*	all	98	ALL
SIL-1980-281-222	222	*	many	1198	MANY
SIL-1980-281-223	223	=	some	1241	SOME
SIL-1980-281-224	224	=	few	1242	FEW
SIL-1980-281-225	225	*	big	1202	BIG
SIL-1980-281-226	226	*	small	1246	SMALL
SIL-1980-281-227	227	*	long	1203	LONG
SIL-1980-281-228	227a		short (length)	1645	SHORT
SIL-1980-281-229	228		tall	711	TALL
SIL-1980-281-230	229	=	short (height)	2484	SMALL (NOT TALL)
SIL-1980-281-231	230	*	round	1395	ROUND
SIL-1980-281-232	231	=	smooth	1234	SMOOTH
SIL-1980-281-233	232	=	thick	1244	THICK
SIL-1980-281-234	233	=	thin	2308	THIN
SIL-1980-281-235	234	=	wide	1243	WIDE
SIL-1980-281-236	235	=	narrow	1267	NARROW
SIL-1980-281-237	236	*	black	163	BLACK
SIL-1980-281-238	237	*	red	156	RED
SIL-1980-281-239	238	*	white	1335	WHITE
SIL-1980-281-240	239	*	green	1425	GREEN
SIL-1980-281-241	240	*	yellow	1424	YELLOW
SIL-1980-281-242	241	*	dry	1398	DRY
SIL-1980-281-243	242	=	wet	1726	WET
SIL-1980-281-244	243	=	rotten	1728	ROTTEN
SIL-1980-281-245	244	=	swell	1573	SWELL
SIL-1980-281-246	245	*	full	1429	FULL
SIL-1980-281-247	246	=	dirty	1230	DIRTY
SIL-1980-281-248	247	=	sharp	1396	SHARP
SIL-1980-281-249	248	=	dull	379	BLUNT
SIL-1980-281-250	249	*	new	1231	NEW
SIL-1980-281-251	250	*	hot	1286	HOT
SIL-1980-281-252	251	*	cold	1287	COLD
SIL-1980-281-253	252	=	heavy	1210	HEAVY
SIL-1980-281-254	253	=	straight	1404	STRAIGHT
SIL-1980-281-255	254	=	right	1019	RIGHT
SIL-1980-281-256	255	*	good	1035	GOOD
SIL-1980-281-257	256	=	bad	1292	BAD
SIL-1980-281-258	257	=	old-aged	2112	OLD (AGED)
SIL-1980-281-259	258	=	far	1406	FAR
SIL-1980-281-260	259	=	near	1942	NEAR
SIL-1980-281-261	260	=	rightside	1019	RIGHT
SIL-1980-281-262	261	=	leftside	244	LEFT
SIL-1980-281-263	262		same	200	SAME
SIL-1980-281-264	263	=	different	2504	DIFFERENT
SIL-1980-281-265	264	=	here	136	HERE
SIL-1980-281-266	265	=	there	1937	THERE
SIL-1980-281-267	266	*	this	1214	THIS
SIL-1980-281-268	267	*	that	78	THAT
SIL-1980-281-269	268	=	when?	1238	WHEN
SIL-1980-281-270	269	=	where?	1237	WHERE
SIL-1980-281-271	270	*	who?	1235	WHO
SIL-1980-281-272	271	*	what?	1236	WHAT
SIL-1980-281-273	272	=	and	1577	AND
SIL-1980-281-274	273	=	with	1340	WITH
SIL-1980-281-275	274	=	at	1461	AT
SIL-1980-281-276	275	=	because	1157	BECAUSE
SIL-1980-281-277	276	=	how	1239	HOW
SIL-1980-281-278	277	=	if	1459	IF
SIL-1980-281-279	278	=	in	1460	IN
SIL-1980-281-280	279	*	not	1240	NOT
SIL-1980-281-281	280		(not) yet	2577	YET
SIL-1980-281-282	281		already	2576	ALREADY
