ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	NUMBER	ENGLISH	Rate	RANK	Synonyms_average	SynonymsEnglish	SynonymsDanish	SynonymsDutch	SynonymsGerman	SynonymsSwedish	Frequency	Imageability	BrysbaertEtAl_concreteness	MutualInformation	Arousal	Senses	AgeOfAcquisition	WordClass
Vejdemo-2016-167-29	FIRE	221	29	fire	1.75	32	1.457544949	1.262766768	1.204336947	2.062453532	1.51193634	1.246231156	123	6.5	4.68	7.6505	6.05	9	3.25	Noun
Vejdemo-2016-167-30	FISH	227	30	fish	1.45	21	0.126016262		0.190158465	0.054275093	0	0.259631491	64	6.8	5	7.4445	3.33	4	4.05	Noun
Vejdemo-2016-167-31	FLOWER	239	31	flower	2.29	50	0.541483697	0.564214939	0.380316931	0.434200743	0.705570292	0.623115578	83		5	7.2895	3.67	3	3.11	Noun
Vejdemo-2016-167-32	FOG	249	32	fog	4.97	146	0.512920692	0.214939024	0.316930776	0.705576208	0.75596817	0.57118928	25	6	4.66	2.9795	3.67	3	6.21	Noun
Vejdemo-2016-167-33	FOOT	1301	33	foot	1.39	20	0.725217969	0.376143293	1.267723103	0.597026022	0.554376658	0.830820771	294	6.7	4.9	6688	2.77	11	3.44	Noun
Vejdemo-2016-167-34	FRUIT	1507	34	fruit	2.95	88	0.681072903		0.760633862	0.379925651	0.856763926	0.726968174	31	6.3	4.81	8116	4.09	3	3.63	Noun
Vejdemo-2016-167-35	GOOD	1035	35	good	3.04	92	2.549857566	4.27191311	4.563803169	2.171003717	0.75596817	0.986599665	1476	2.6	1.64	5646	3.66	21	3.55	Adjective
Vejdemo-2016-167-36	GRASS	606	36	grass	2.73	75	0.690848896		1.204336947	0.488475836	0.655172414	0.415410385	49	6.9	4.93	7.7595	3.39	4	3.94	Noun
Vejdemo-2016-167-37	GREEN	1425	37	green	2.46	60							116	6.2	4.07	7818	4.07	6	3.79	Adjective
Vejdemo-2016-167-38	GUTS	1334	38	guts	6.89	159	0.337570252	0.617949695	0.253544621	0.054275093	0.554376658	0.207705193	10		3.85	1697		1	6.95705	Noun
Vejdemo-2016-167-39	HAIR	1040	39	hair	3.61	112	0.691191794	0.537347561	0.887406172	0.705576208	0.806366048	0.519262982	104	6.3	4.97	9.0505	3.71	6	3.17	Noun
Vejdemo-2016-167-40	HAND	1277	40	hand	0.82	7	0.710764031	1.128429878	0.380316931	0.814126394	0.50397878	0.726968174	751	6.4	4.72	6.6	3.98	14	2.74	Noun
Vejdemo-2016-167-41	HEAD	1256	41	head	2.32	52	2.110996267	2.579268293	1.457881568	3.202230483	1.965517241	1.350083752	446	6.8	4.75	6773	4.45	33	3.42	Noun
Vejdemo-2016-167-42	HEART	1223	42	heart	1.69	28	1.390612412	1.585175305	1.077564637	1.736802974	1.411140584	1.142378559	153	6.7	4.52	7285	5.07	10	5.17	Noun
Vejdemo-2016-167-43	HEAVY	1210	43	heavy	2.89	84	2.66767025	3.331554878	2.788990826	2.22527881	1.461538462	3.530988275	119		3.37	6787	3.65	27	4.05	Adjective
Vejdemo-2016-167-44	HUSBAND	1200	44	husband	4.74	141	0.964494171	0.241806402	1.648040033	0.325650558	1.360742706	1.246231156	167		4.11	4.5745	4.38	1	5.53	Noun
Vejdemo-2016-167-45	ICE	617	45	ice	2.58	67	0.176656984	0.537347561	0.190158465	0	0	0.155778894	40	6.3	4.89	8.5665	3.3	7	3.86	Noun
Vejdemo-2016-167-46	LAKE	624	46	lake	3.5	104	0.624973476	0.161204268	0.824020017	0.705576208	0.655172414	0.778894472	41	6.6	4.88	8.6685	2.64	3	4.61	Noun
Vejdemo-2016-167-47	LEAF	628	47	leaf	2.43	59	0.946695924	0.295541159	1.204336947	1.139776952	1.159151194	0.934673367	70	6.8	5	7.4705	3.05	3	4.6	Noun
Vejdemo-2016-167-48	LEFT	244	48	left	4.41	134							148		3.7	6.7695		5	5.57164	Adjective
Vejdemo-2016-167-49	LEG	1297	49	leg	3.73	117	0.858857469	0.322408537	1.521267723	1.573977695	0.201591512	0.675041876	252	6.8	4.83	7328	2.75	9	3	Noun
Vejdemo-2016-167-50	LIVER	1224	50	liver	2.66	71							12		4.68	8.3665	3.27	2	8.56	Noun
Vejdemo-2016-167-51	LONG	1203	51	long	1.22	17	0.810981739	0.483612805	0.633861551	0.542750929	1.51193634	0.882747069	330	3.6	3.18	5729		9	4.239515	Adjective
Vejdemo-2016-167-52	LOUSE	1392	52	louse	1.74	31	0.360447167		0.316930776	0.054275093	0.655172414	0.415410385	2	3.4			3.61	2	10.26	Noun
Vejdemo-2016-167-53	MAN	1554	53	man_male	3.38	99	1.557688503	1.423971037	1.648040033	1.736802974	1.058355438	1.921273032	638	6.2	4.79	6.2895		11	3.11	Noun
Vejdemo-2016-167-54	MEAT	634	54	meat_flesh	1.62	26							57	6.3	4.9	7.4745		3		Noun
Vejdemo-2016-167-55	MOTHER	1216	55	mother	2.36	56	0.5731118	0.644817073	0.380316931	0.814126394	0.403183024	0.623115578	316		4.6	6271	4.73	5	2.63	Noun
Vejdemo-2016-167-56	MOUNTAIN	639	56	mountain	2.75	79	0.918347045	0.752286585	0.697247706	1.356877323	1.058355438	0.726968174	82		4.96	7772	4.12	2	6.15	Noun
Vejdemo-2016-167-57	MOUTH	674	57	mouth	2.78	81	1.068404846	0.940358232	0.887406172	1.519702602	1.00795756	0.986599665	88		4.74	6672	4.14	8	3.58	Noun
Vejdemo-2016-167-58	NAME	1405	58	name	0.47	1	1.072468151	1.074695122	1.964970809	1.194052045	0.453580902	0.675041876	292	4.2	3.5	5712	3.04	6	3.68	Noun
Vejdemo-2016-167-59	NARROW	1267	59	narrow	2.89	85	1.249381441	1.128429878	0.380316931	1.356877323	1.51193634	1.869346734	73		3.04	7044	4.53	5	7.57	Adjective
Vejdemo-2016-167-60	NECK	1333	60	neck	3.57	108	0.420290042		0.380316931	0.379925651	0.453580902	0.467336683	63	6.5	5	7.29	3.65	5	3	Noun
Vejdemo-2016-167-61	NEW	1231	61	new	0.6	3	1.341701485	1.450838415	0.824020017	1.519702602	1.51193634	1.40201005	686	3	2.81	6051	5.14	10	4.72	Adjective
Vejdemo-2016-167-62	NIGHT	1233	62	night	0.76	5	0.231974547	0.161204268	0.253544621		0.201591512	0.311557789	359	5.8	4.52	6.2685	3.57	8	3.61	Noun
Vejdemo-2016-167-63	NOSE	1221	63	nose	1.49	22	1.060786693	0.725419207	1.838198499	0.434200743	1.00795756	1.298157454	78	6.4	4.89	7242	3.1	8	2.95	Noun
Vejdemo-2016-167-64	OLD	1229	64	old	2.53	63	1.712510925	2.229992378	2.852376981	1.085501859	1.51193634	0.882747069	422	4.3	2.72	6.9555	4.48	8	3.72	Adjective
Vejdemo-2016-167-65	PERSON	683	65	person	4.81	143	0.955566891	0.483612805	1.394495413		0.957559682	0.986599665	1086		4.72	5.7775	3.71	3	4.67	Noun
Vejdemo-2016-167-66	RED	156	66	red	2.26	49							152	6	4.24	7738	5.02	3	3.68	Adjective
Vejdemo-2016-167-67	RIGHT	1019	67	right	2.61	68							429		3.47	5448	5	3	4.346085	Adjective
Vejdemo-2016-167-68	CORRECT (RIGHT)	1725	68	right_correct	3.91	121	1.440721559	1.585175305	0.380316931	1.899628253	2.923076923	0.415410385	94	3.6	3.47	5448	5	12		Adjective
Vejdemo-2016-167-69	RIVER	666	69	river_stream_brook	3.69	115	0.614277532		0.380316931	0.488475836	0.705570292	0.882747069	115		4.89	8.6355	4.22	1		Noun
Vejdemo-2016-167-70	ROAD	667	70	road	4.86	144	1.511196739	0.349275915	3.169307756	1.573977695	0.957559682	1.505862647	318	6.6	4.75	8.3685	3.81	2	4.55	Noun
Vejdemo-2016-167-71	ROOT	670	71	root	1.75	33	0.629759917	0.564214939	1.077564637	0.379925651	0.50397878	0.623115578	44	6	4.34	5681	3.62	8	5.94	Noun
Vejdemo-2016-167-72	ROPE	1218	72	rope	6.09	153	0.487999433	0.188071646	0.316930776	0.705576208	0.554376658	0.675041876	29	6.6	4.93	4.8825	4.58	2	5.44	Noun
Vejdemo-2016-167-73	ROTTEN	1728	73	rotten	4.76	142	1.421712038	2.176257622	0.760633862	1.465427509	1.51193634	1.194304858	8		3.87	4004	4.9	3	6.95	Adjective
Vejdemo-2016-167-74	SALT	1274	74	salt	1.01	13	0.260085729	0.376143293	0.190158465	0.271375465	0.151193634	0.311557789	25	6.2	4.89	7.9325	4.53	3	5.05	Noun
Vejdemo-2016-167-75	SAND	671	75	sand	4.26	130		0		0	0	0	41	6.7	5	8.0265	3.43	2	4.63	Noun
Vejdemo-2016-167-76	SEA	1474	76	sea_ocean	2.53	64	0.805628083	0.537347561	0.824020017	0.92267658	0.705570292	1.038525963	127	6.4	4.79	8272	2.8	3		Noun
Vejdemo-2016-167-77	SEED	714	77	seed	2.56	66	0.524662239	0.779153963	0.316930776	0.705576208	0.302387268	0.519262982	19	6.4	4.71	8.31	3.68	5	4.72	Noun
Vejdemo-2016-167-78	SHARP	1396	78	sharp_knife	3.76	118	2.328849534	2.525533537	1.711426188	3.039405204	1.51193634	2.855946399	44	4.6	3.86	6.1095	6		6.11	Adjective
Vejdemo-2016-167-79	SHORT	1645	79	short	3.39	100	1.200863602	2.041920732	0.760633862	0.651301115	1.51193634	1.038525963	176	4.5	3.61	5.9845	2.62	11	4.32	Adjective
Vejdemo-2016-167-80	SKIN (HUMAN)	2613	80	skin_of_person	2.73	76	0.440164372	0.537347561	0.316930776	0.271375465	0.50397878	0.57118928	68	6.3	4.79	6.7265	3.25	8	4.48	Noun
Vejdemo-2016-167-81	SKY	1732	81	sky	2.52	62	0.689480679	0.214939024	0.380316931	0.759851301	1.209549072	0.882747069	106	6.5	4.45	7.17	2.74	1	4.17	Noun
Vejdemo-2016-167-82	SMALL	1246	82	small	3.7	116	1.691674275	2.041920732	1.711426188	1.791078067	1.51193634	1.40201005	469	4.2	3.22	5.8165	3.43	10	3.22	Adjective
Vejdemo-2016-167-83	SMOKE (EXHAUST)	778	83	smoke	1.7	29	0.392897375	0.13433689	0.063386155	0.488475836	0.655172414	0.623115578	50	6.4	4.96	8.9795	5	8	4	Noun
Vejdemo-2016-167-84	SMOOTH	1234	84	smooth	6.23	154	1.424625879	1.477705793	1.584653878	1.30260223	1.51193634	1.246231156	25	4	3.81	6323	2.76	8	5.61	Adjective
Vejdemo-2016-167-85	SNAKE	730	85	snake	3.11	93	0.385965176		0.190158465	0.542750929	0.655172414	0.155778894	15	6.5	5	3.0235	7.24	6	5.1	Noun
Vejdemo-2016-167-86	SNOW	784	86	snow	1.62	27	0.450025721		0.12677231		0.75596817	0.467336683	69		4.85	6.12	4.57	2	4.11	Noun
Vejdemo-2016-167-87	STAR	1430	87	star	0.72	4	0.847748099	0.725419207	0.570475396	1.30260223	0.705570292	0.934673367	83	6.8	4.69	7662	5.5	8	3.89	Noun
Vejdemo-2016-167-88	STICK	1295	88	stick_of_wood	8.02	164	0.604471006	0.591082317	0.507089241	0.597026022	0.75596817	0.57118928	29	5.9	4.59	6276	3.81	9	3.89	Noun
Vejdemo-2016-167-89	STONE	857	89	stone_rock	2.73	77	0.516581291	0.671684451	0.190158465	0.597026022	0.604774536	0.519262982	101	6.6	4.72	7.3535	3.25	7		Noun
Vejdemo-2016-167-90	STRAIGHT	1404	90	straight	4.08	125	1.241882487	1.853849085	0.950792327	0.542750929	1.51193634	1.350083752	43	4.1	2.76	4808		15	6.797195	Adjective
Vejdemo-2016-167-91	SUN	1343	91	sun	0.98	12	0.331365789		0.063386155	0.542750929	0.25198939	0.467336683	133	6.9	4.83	7655	4.64	4	3.4	Noun
Vejdemo-2016-167-92	TAIL	1220	92	tail	4.16	128	0.739084362	0.564214939	1.077564637	0.271375465	1.159151194	0.623115578	46	6.5	4.96	7331	3.27	8	3.7	Noun
Vejdemo-2016-167-93	THICK	1244	93	thick	5.41	150	1.822031654	1.719512195	2.788990826	1.519702602	1.108753316	1.97319933	64	3.7	4	6.57	3.13	10	5.61	Adjective
Vejdemo-2016-167-94	THIN	2308	94	thin	2.99	90	1.321140688	1.585175305	1.331109258	1.085501859	1.461538462	1.142378559	110	4.9	3.83	6068	4.5	8	6.47	Adjective
Vejdemo-2016-167-95	BITE	1403	95	to_bite	4.67	140	0.72440709	0.83288872	0.887406172	0.325650558	1.108753316	0.467336683	14	5.2	4.44	5.2665	5.1	4	3.58	Verb
Vejdemo-2016-167-96	BLOW (OF WIND)	175	96	to_blow	4.31	132	0.997402824	1.209032012	0.443703086	0.325650558	1.814323607	1.194304858	23	4.2	3.74	6.7695	4.48	23	4	Verb
Vejdemo-2016-167-97	BREATHE	1407	97	to_breathe	2.48	61	0.773082015	0.671684451	0.507089241	0.217100372	0.75596817	1.713567839	41	3.8	4.36	5434	2.6	9	4.11	Verb
Vejdemo-2016-167-98	BURNING	1428	98	to_burn	2.94	87	1.258430285	1.612042683	1.140950792	1.248327138	1.51193634	0.778894472	42	4.7	4.11	6065	5.4	15	4.72	Verb
Vejdemo-2016-167-99	COME	1446	99	to_come	1.9	38	1.086923345	0.779153963	1.267723103	1.031226766	1.058355438	1.298157454	845	2.2	2.72	4589	3.57	21	3.32	Verb
Vejdemo-2016-167-100	COUNT	1420	100	to_count	4.07	124	0.723780153	0.886623476	0.633861551	0.705576208	0.302387268	1.090452261	431	4.4	3	4.1595	2.3	9	2.61	Verb
Vejdemo-2016-167-101	CUT	1432	101	to_cut	3.36	98	1.891781638	2.740472561	2.34528774	1.356877323	1.562334218	1.453936348	92	5.1	4.55	5.35	5.07	41	4.43	Verb
Vejdemo-2016-167-102	DIE	1494	102	to_die	0.82	8	1.444626669	1.531440549	1.331109258	1.031226766	1.51193634	1.817420436	179	4.4	3.07	6.2465	6.9	11	4.53	Verb
Vejdemo-2016-167-103	DIG	1418	103	to_dig	3.86	120	0.734346926	1.182164634	0.190158465	0.868401487	0.75596817	0.675041876	12	5.4	4.33	6.1465	3.67	8	4.19	Verb
Vejdemo-2016-167-104	DRINK	1401	104	to_drink	1.49	23	1.129327508	0.510480183	1.014178482	1.411152416	1.360742706	1.350083752	92	5.7	4.76	6263	5.19	5	3.47	Verb
Vejdemo-2016-167-105	EAT	1336	105	to_eat	1.77	34	0.855984746	0.859756098	0.570475396	1.30260223	0.352785146	1.194304858	470	4.8	4.44	5.7455	4.38	6	2.78	Verb
Vejdemo-2016-167-106	FALL	1280	106	to_fall_drop	2.97	89	2.03137957	2.525533537	1.648040033	3.202230483	0.75596817	2.025125628	202	4.8	4.04	6.0955	4.24			Verb
Vejdemo-2016-167-107	FEAR (BE AFRAID)	1419	107	to_fear	4.06	123							136	2.9	2.57	4138	6.14	5	4.79	Verb
Vejdemo-2016-167-108	FIGHT	1423	108	to_fight	4.21	129	1.317901639	1.558307927	1.077564637	1.085501859	1.310344828	1.557788945	60	4.8	4.2	5.7005	6.33	4	5.47	Verb
Vejdemo-2016-167-109	FLOAT	1574	109	to_float	4.04	122	0.816260628	0.644817073	0.316930776	1.628252788		0.675041876	21	5.1	4.07	3.4405	3.1	9	5.39	Verb
Vejdemo-2016-167-110	FLOW	2003	110	to_flow	3.4	102	1.149148021	0.994092988	0.887406172	0.325650558	1.461538462	2.077051926	20	3.8	3.72	3124	3.71	7	7.4	Verb
Vejdemo-2016-167-111	FLY (MOVE THROUGH AIR)	1441	111	to_fly	2.83	83	1.158037916	0.994092988	1.521267723	1.139776952	1.51193634	0.623115578	72	5.9	4.64	6.3545	4.9	14	3.05	Verb
Vejdemo-2016-167-112	FREEZE	1431	112	to_freeze	2.69	74	0.667980378	0.725419207	0.570475396		0.856763926	0.519262982	20	5.2	3.96	2802	4	10	4.89	Verb
Vejdemo-2016-167-113	GIVE	1447	113	to_give	0.76	6	1.896282924	2.041920732	2.091743119	2.279553903	1.562334218	1.505862647	1558	2.8	2.83	5286	4.57	44	4.28	Verb
Vejdemo-2016-167-114	HEAR	1408	114	to_hear	2.35	54	1.108260016	0.779153963	0.950792327	1.573977695	1.562334218	0.675041876	398		3.66	5.5855	3.62	5	3.8	Verb
Vejdemo-2016-167-115	HIT	1433	115	to_hit	5.51	151	1.977150355	1.585175305	0.443703086	2.171003717	2.570291777	3.115577889	90	4.4	4.11	5784	5.48	16	4.75	Verb
Vejdemo-2016-167-116	HOLD	1448	116	to_hold_in_hand	4.48	137	2.184160283	3.143483232	1.584653878	2.605204461	1.562334218	2.025125628	270	4	3.68	5.0095	4.86	36	4.67	Verb
Vejdemo-2016-167-117	HUNT	1435	117	to_hunt_game	3.33	97	1.374307449	0.617949695	2.47206005	0.814126394	1.461538462	1.505862647	20	4.6	3.81	3714	5.1		6.06	Verb
Vejdemo-2016-167-118	KILL	1417	118	to_kill	3.5	105	1.684660204	2.552400915	0.824020017	0.868401487	2.620689655	1.557788945	118	4.8	3.9	6273	6.81	15	6.35	Verb
Vejdemo-2016-167-119	KNOW (SOMETHING)	1410	119	to_know_(facts)	2.11	43	1.249849466	0.994092988	0.887406172	2.008178439	0.957559682	1.40201005	1826	2.4	1.68	3703	3.24	11	4.5	Verb
Vejdemo-2016-167-120	LAUGH	1355	120	to_laugh	1.61	25							100	4.9	4.21	5.6125	6.62	1	3.79	Verb
Vejdemo-2016-167-121	LIE (REST)	1411	121	to_lie_on_side	3.56	107	0.982538205	0.886623476	0.760633862	0.92267658	1.51193634	0.830820771	166	3.2	3.11	5693	4.81	6	3.75	Verb
Vejdemo-2016-167-122	BE ALIVE	1422	122	to_live	1.1	15	0.888233726	1.182164634	0.824020017	0.542750929	0.957559682	0.934673367	511	3.5	3.57	4.4835	4.71	7	6.1	Verb
Vejdemo-2016-167-123	PLAY	1413	123	to_play	3.18	95	1.61649688	1.343368902	0.507089241	2.279553903	1.51193634	2.440536013	327	4.5	3.24	5946	3.81	35	4.1	Verb
Vejdemo-2016-167-124	PULL	1455	124	to_pull	4.53	138	1.508829886	0.752286585	0.380316931	1.628252788	1.51193634	3.271356784	92	4.1	3.97	5.7805	4.1	17	4.79	Verb
Vejdemo-2016-167-125	PUSH	1452	125	to_push	8.06	165	1.974769175	1.182164634	2.535446205	1.411152416	2.771883289	1.97319933	45	4.1	4.21	5994	4.4	10	4.26	Verb
Vejdemo-2016-167-126	RAIN (RAINING)	1253	126	to_rain	2.39	57	0.652572437	0.322408537	1.014178482		0.806366048	0.467336683	45	6.3	4.97	3374	3.29	1	3.6	Verb
Vejdemo-2016-167-127	RUB	1449	127	to_rub	3.57	109	0.683464044	0.26867378	0.443703086	0.92267658	1.159151194	0.623115578	13	4.4	4.33	3442	4.35	3	6	Verb
Vejdemo-2016-167-128	SAY	1458	128	to_say	3.64	114	1.719659817	1.853849085	1.711426188	2.171003717	1.51193634	1.350083752	3689	2.8	2.58	5021	4.43	11	3.42	Verb
Vejdemo-2016-167-129	SCRATCH	1436	129	to_scratch_itch	4.44	135	0.77335892	0.725419207	0.443703086	0.542750929	0.856763926	1.298157454	7	4.7	4.16	4135	4.35		5.61	Verb
Vejdemo-2016-167-130	SEE	1409	130	to_see	2.63	69	1.921920459	2.686737805	1.901584654	1.899628253	1.51193634	1.609715243	1702	3	3.21	5.8525	3.9	24	3.06	Verb
Vejdemo-2016-167-131	SEW	1457	131	to_sew	1.71	30	0.460794579	0.13433689	0.380316931	0.868401487	0.453580902	0.467336683	11	5.2	3.93	2.1075	4.35	2	6.05	Verb
Vejdemo-2016-167-132	SING	1261	132	to_sing	2.54	65	0.81112871	0.483612805	0.887406172	0.488475836	1.209549072	0.986599665	100	4.9	4.34	7108	4.1	5	3.47	Verb
Vejdemo-2016-167-133	SIT	1416	133	to_sit	1.25	18	1.045213422	1.128429878	0.443703086	1.465427509	1.461538462	0.726968174	313	4.7	4.8	5.9225	3.19	10	3.47	Verb
Vejdemo-2016-167-134	SLEEP	1585	134	to_sleep	2.01	40	0.947367481	0.322408537	0.507089241	1.356877323	1.51193634	1.038525963	121	5.5	4.44	5.8865	3.6	2	2.79	Verb
Vejdemo-2016-167-135	SMELL (PERCEIVE)	1586	135	to_smell	6.48	156	0.64367129	0.26867378	0.824020017	0.488475836	0.806366048	0.830820771	20	3.4	3.7	5.2985	5.24	5	4.22	Verb
Vejdemo-2016-167-136	SPIT	1440	136	to_spit	2.04	42	1.010510228	1.450838415	1.077564637	0.379925651	1.209549072	0.934673367	13	5.2	4.71	2305	3.57	4	5.06	Verb
Vejdemo-2016-167-137	SPLIT	1437	137	to_split	5.58	152	0.755737756	1.289634146	0.380316931	0.379925651	1.209549072	0.519262982	52	4.3	3.96	3542	5.55	5	6.25	Verb
Vejdemo-2016-167-138	SQUEEZE	1414	138	to_squeeze	7.83	162	0.792073637	0.779153963	1.140950792	0.597026022	0.352785146	1.090452261	18	4.3	3.75	5.3145	3.91	9	5.42	Verb
Vejdemo-2016-167-139	STAB	1434	139	to_stab_or_stick	7.84	163	0.897078834	0.537347561	1.774812344	1.411152416	0.554376658	0.207705193	5	5.2	4.07	4182	5.17	3		Verb
Vejdemo-2016-167-140	STAND	1442	140	to_stand	2.02	41	0.92611106	1.531440549		0.488475836	0.957559682	0.726968174	361	5	4.16	5392	3.1	12	4.39	Verb
Vejdemo-2016-167-141	SUCK	1421	141	to_suck	2.41	58	0.554842538	0	0.633861551	0.651301115	0.554376658	0.934673367	12	4.4	3.46	4.0625	5.6	7	5.58	Verb
Vejdemo-2016-167-142	SWELL	1573	142	to_swell	4.54	139	0.71959409	0.913490854	0.316930776	0.325650558	1.159151194	0.882747069	6	3.9	3.31	4195	4.56	6	7.42	Verb
Vejdemo-2016-167-143	SWIM	1439	143	to_swim	2.73	78	0.364589434	0.376143293		0.162825279	0.50397878	0.415410385	22	5.6	4.43	4.0815	6.05	5	4.17	Verb
Vejdemo-2016-167-144	THINK	2271	144	to_think	5.34	149	1.081259305	0.806021341	1.648040033	0.814126394	1.411140584	0.726968174	825	2.6	2.41	3463	3.75	13	4.75	Verb
Vejdemo-2016-167-145	THROW	1456	145	to_throw	7.52	161	1.14204022	1.638910061	0.633861551	1.085501859	1.209549072	1.142378559	99	4.3	4.04	6.3695	4.52	15	4.14	Verb
