ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EMOTION_CATEGORY	ENGLISH_PERSONAL_USE_MEAN	ENGLISH_FAMILIARITY MEAN	ENGLISH_OFFENSIVENESS_MEAN	ENGLISH_TABOO_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_IMAGEABILITY_MEAN
Janschewitz-2008-460-252	252	horror			neg hi ar	4.34	5.37	1.26	1.21	3.13	3.55	3.83
Janschewitz-2008-460-253	253	hurricane			neg hi ar	3.32	4.99	1.19	1.42	03.09	3.48	7.13
Janschewitz-2008-460-254	254	insane	1899	MAD	neg hi ar	5.17	5.49	1.72	2.41	3.32	2.87	3.13
Janschewitz-2008-460-255	255	lie			neg hi ar	5.74	6.23	1.92	2.18	2.78	03.04	2.26
Janschewitz-2008-460-256	256	murderer	3871	MURDERER	neg hi ar	3.79	5.72	2.45	3.2	02.03	4.95	4.35
Janschewitz-2008-460-257	257	nervous	3975	NERVOUS	neg hi ar	06.05	6.57	1.12	1.21	3.91	2.6	2.86
Janschewitz-2008-460-258	258	outrage			neg hi ar	3.95	4.83	1.24	1.58	3.27	3.37	3.18
Janschewitz-2008-460-259	259	panic			neg hi ar	4.61	5.35	01.08	1.32	3.43	3	3.61
Janschewitz-2008-460-260	260	pest			neg hi ar	3.44	4.3	1.61	1.61	3.44	2.39	4.27
Janschewitz-2008-460-261	261	pollute			neg hi ar	4.74	06.01	1.65	1.58	2.96	03.06	4.66
Janschewitz-2008-460-262	262	quarrel	1848	QUARREL	neg hi ar	3.1	04.04	1.25	1.39	3.83	2.56	4.23
Janschewitz-2008-460-263	263	rage			neg hi ar	3.9	4.82	1.6	1.83	03.01	3.3	3.71
Janschewitz-2008-460-264	264	riot			neg hi ar	3.21	4.27	1.3	02.03	3	4.12	6.3
Janschewitz-2008-460-265	265	roach			neg hi ar	3.21	3.81	1.31	1.77	3.6	2.68	7.32
Janschewitz-2008-460-266	266	scared	3033	SCARED	neg hi ar	5.75	6.16	1.22	1.43	3.38	03.07	3.76
Janschewitz-2008-460-267	267	scream	3809	SCREAM (PRODUCE A CRY)	neg hi ar	4.97	5.66	1.18	1.46	3.95	3.21	4.63
Janschewitz-2008-460-268	268	sinful			neg hi ar	3.53	4.58	1.73	2.82	2.52	3.58	2.49
Janschewitz-2008-460-269	269	slap	3160	SLAP	neg hi ar	4.56	5.44	1.63	1.93	3.41	3.21	6.32
Janschewitz-2008-460-270	270	snake	730	SNAKE	neg hi ar	3.99	4.86	1.17	1.32	3.97	3.36	8.42
Janschewitz-2008-460-271	271	snob			neg hi ar	3.75	4.99	2.45	2.51	2.97	2.88	3.7
Janschewitz-2008-460-272	272	stress			neg hi ar	6.94	7.22	1.14	1.42	2.99	3.1	2.83
Janschewitz-2008-460-273	273	tense			neg hi ar	4.89	5.22	1.18	1.11	3.88	2.33	2.74
Janschewitz-2008-460-274	274	torture	1952	TORTURE	neg hi ar	3.61	4.6	2	2.51	2.4	4.36	05.04
Janschewitz-2008-460-275	275	toxic			neg hi ar	3.56	4.62	1.37	1.58	2.88	3.21	04.01
Janschewitz-2008-460-276	276	trauma	3965	TRAUMA	neg hi ar	04.09	5.54	1.26	1.53	2.96	3.42	3.77
Janschewitz-2008-460-277	277	aloof			unrel neu	3	3.56	1.42	1.25	4.38	1.96	2.17
Janschewitz-2008-460-278	278	ankle	803	ANKLE	unrel neu	4.87	4.94	01.01	01.01	4.97	1.39	8
Janschewitz-2008-460-279	279	arm	1673	ARM	unrel neu	6	6.1	01.01	01.01	05.03	1.49	08.01
Janschewitz-2008-460-280	280	bandage			unrel neu	4.26	4.92	01.01	1	5.12	1.46	7.62
Janschewitz-2008-460-281	281	banner			unrel neu	3.6	4.18	01.01	01.04	4.94	1.35	7.18
Janschewitz-2008-460-282	282	barrel	2548	BARREL	unrel neu	2.88	3.58	01.06	01.09	05.03	1.57	7.45
Janschewitz-2008-460-283	283	basket	1539	BASKET	unrel neu	04.04	4.36	01.09	1.13	5	1.26	7.96
Janschewitz-2008-460-284	284	blase			unrel neu	1.68	2.2	01.07	1.35	4.72	1.69	2.39
Janschewitz-2008-460-285	285	butter	1245	BUTTER	unrel neu	5.17	5.58	01.03	01.01	05.01	1.6	8.16
Janschewitz-2008-460-286	286	cannon	3202	CANNON	unrel neu	2.95	3.52	1.17	1.1	4.6	2.22	7.87
Janschewitz-2008-460-287	287	chin	1510	CHIN	unrel neu	4.22	4.55	01.01	01.05	4.96	1.32	7.72
Janschewitz-2008-460-288	288	circle	1467	CIRCLE	unrel neu	5.13	5.3	1	1	05.03	1.29	8.47
Janschewitz-2008-460-289	289	consoled			unrel neu	3.24	4.13	01.04	01.08	5.87	1.93	2.51
Janschewitz-2008-460-290	290	contents	3967	CONTENT	unrel neu	4.12	4.75	01.01	01.04	05.04	1.25	2.68
Janschewitz-2008-460-291	291	context			unrel neu	4.82	5.42	01.01	01.03	5	1.43	02.04
Janschewitz-2008-460-292	292	cord	1218	ROPE	unrel neu	3.97	4.42	01.01	1	4.94	1.29	7.22
Janschewitz-2008-460-293	293	cork			unrel neu	3.13	3.92	01.03	01.05	05.04	1.54	7.24
Janschewitz-2008-460-294	294	corridor			unrel neu	2.78	3.65	1	01.03	05.04	1.48	6.66
Janschewitz-2008-460-295	295	cow	1007	COW	unrel neu	4.27	4.81	01.06	1.25	4.78	1.69	8.17
Janschewitz-2008-460-296	296	egg	744	EGG	unrel neu	5.45	5.79	01.01	01.04	05.09	1.5	8.45
Janschewitz-2008-460-297	297	elbow	981	ELBOW	unrel neu	4.75	5	01.01	01.01	05.03	1.38	7.86
Janschewitz-2008-460-298	298	engine	2622	ENGINE	unrel neu	4.23	4.92	01.03	01.03	5.13	1.66	7.16
Janschewitz-2008-460-299	299	errand			unrel neu	5.15	5.65	01.05	01.03	4.91	1.71	2.99
Janschewitz-2008-460-300	300	fabric	4105	FABRIC	unrel neu	4.29	4.81	1	1	05.05	1.57	6.61
Janschewitz-2008-460-301	301	farm	201	FARM	unrel neu	3.3	4.35	01.03	01.03	5.14	1.69	7.6
Janschewitz-2008-460-302	302	finger	1303	FINGER	unrel neu	5.53	5.78	1.2	1.38	4.91	1.71	8.38
Janschewitz-2008-460-303	303	foot	1301	FOOT	unrel neu	5.71	5.97	01.01	01.05	05.08	1.45	8.3
Janschewitz-2008-460-304	304	fork	1302	FORK	unrel neu	6.27	6.27	1	01.05	05.06	1.57	8.3
Janschewitz-2008-460-305	305	fur	580	FUR	unrel neu	3.99	4.75	1.3	1.57	4.73	1.99	7.75
Janschewitz-2008-460-306	306	gender	2562	SEX (GENDER)	unrel neu	4.68	5.96	01.05	1.35	5.14	1.86	4.22
Janschewitz-2008-460-307	307	glacier			unrel neu	2.74	3.74	01.03	01.03	5.12	1.67	7.42
Janschewitz-2008-460-308	308	golfer			unrel neu	3.46	4.37	01.03	01.01	5.13	1.45	7.54
Janschewitz-2008-460-309	309	hairpin			unrel neu	3.3	4.1	01.01	01.03	05.01	1.3	7.4
Janschewitz-2008-460-310	310	hay	342	HAY	unrel neu	2.78	3.39	01.01	01.04	05.01	1.47	7.72
Janschewitz-2008-460-311	311	icebox			unrel neu	2.73	3.51	01.01	1	05.06	1.47	6.86
Janschewitz-2008-460-312	312	indifferent	4052	INDIFFERENT	unrel neu	4.5	05.09	1.2	1.18	4.51	1.78	1.86
Janschewitz-2008-460-313	313	industry			unrel neu	4.29	5.26	01.01	01.06	4.91	1.58	3.96
Janschewitz-2008-460-314	314	ink	2643	INK	unrel neu	4.55	4.83	1	01.01	05.05	1.31	6.99
Janschewitz-2008-460-315	315	item	2981	ITEM	unrel neu	4.94	5.5	01.01	01.03	05.06	1.35	3.59
Janschewitz-2008-460-316	316	jelly			unrel neu	4.26	4.92	01.01	01.03	5.23	02.03	7.55
Janschewitz-2008-460-317	317	journal			unrel neu	4.58	05.03	01.09	01.04	5.22	02.05	7.19
Janschewitz-2008-460-318	318	jug	270	JUG	unrel neu	3.18	3.91	1.16	1.32	05.05	1.58	7.32
Janschewitz-2008-460-319	319	kerchief	1020	HANDKERCHIEF	unrel neu	2.37	2.59	01.03	01.03	4.97	1.37	6.64
Janschewitz-2008-460-320	320	kerosene			unrel neu	2.17	2.97	01.01	01.05	4.83	1.61	4.86
Janschewitz-2008-460-321	321	ketchup			unrel neu	5.19	5.77	01.01	01.01	5.12	1.64	7.99
Janschewitz-2008-460-322	322	knot	760	KNOT	unrel neu	4.22	4.7	01.01	01.01	4.97	1.36	7.52
Janschewitz-2008-460-323	323	lantern	4025	LANTERN	unrel neu	2.88	3.51	01.01	01.04	4.99	1.38	7.63
Janschewitz-2008-460-324	324	limber			unrel neu	2.77	3.6	01.04	01.06	5.48	1.87	3.39
Janschewitz-2008-460-325	325	locker			unrel neu	3.97	4.88	01.01	01.04	05.05	1.45	7.49
Janschewitz-2008-460-326	326	manner	488	MANNER	unrel neu	4.26	4.49	01.03	01.04	5.18	1.46	2.32
Janschewitz-2008-460-327	327	medicine	1372	MEDICINE	unrel neu	6.12	6.74	01.01	1.13	5.82	2.84	6.29
Janschewitz-2008-460-328	328	metal	2244	METAL	unrel neu	4.88	5.29	01.03	01.01	4.96	1.43	6.84
Janschewitz-2008-460-329	329	modest	4053	MODEST	unrel neu	4.48	5.12	01.08	1.12	6.21	02.05	2.44
Janschewitz-2008-460-330	330	museum			unrel neu	4.34	4.84	1	1	5.29	1.88	7.13
Janschewitz-2008-460-331	331	mushroom	641	MUSHROOM	unrel neu	4.73	5.19	01.06	1.24	4.91	1.85	8.14
Janschewitz-2008-460-332	332	noisy	3883	NOISY	unrel neu	5.52	06.09	1.4	1.31	3.75	2.4	3.1
Janschewitz-2008-460-333	333	nun			unrel neu	2.68	3.71	01.08	1.15	5.82	1.68	7.9
Janschewitz-2008-460-334	334	obey	1635	OBEY	unrel neu	4.18	05.08	1.31	1.34	05.08	2.1	2.38
Janschewitz-2008-460-335	335	pamphlet			unrel neu	3.34	4.21	01.05	01.03	5	1.44	7.29
Janschewitz-2008-460-336	336	paper	648	PAPER	unrel neu	6.78	6.94	01.04	01.03	4.92	1.35	7.99
Janschewitz-2008-460-337	337	passage			unrel neu	4.2	4.59	01.04	01.03	05.09	1.37	04.08
Janschewitz-2008-460-338	338	patent			unrel neu	3.22	4.37	1	01.03	5.24	1.53	2.64
Janschewitz-2008-460-339	339	pencil	2578	PENCIL	unrel neu	6.24	6.42	1	01.03	05.08	1.38	8.44
Janschewitz-2008-460-340	340	phase			unrel neu	04.09	4.65	01.01	01.05	4.99	1.56	2.1
Janschewitz-2008-460-341	341	pig	1337	PIG	unrel neu	4.21	4.92	1.56	1.74	4.34	02.01	8.39
Janschewitz-2008-460-342	342	prairie	2819	GRASSLAND	unrel neu	2.61	03.05	1	01.01	5.14	1.48	6.84
Janschewitz-2008-460-343	343	privacy			unrel neu	5.41	5.79	01.04	1.12	5.77	2.16	2.4
Janschewitz-2008-460-344	344	quart			unrel neu	3.26	4.19	01.01	01.01	05.01	1.44	4.39
Janschewitz-2008-460-345	345	quiet	1314	QUIET	unrel neu	5.91	6.43	01.03	1.1	05.05	1.74	2.69
Janschewitz-2008-460-346	346	rain	658	RAIN (PRECIPITATION)	unrel neu	5.56	5.95	01.09	1.13	05.01	2.71	7.61
Janschewitz-2008-460-347	347	rattle	300	RATTLE	unrel neu	3.2	3.63	01.07	01.04	4.83	1.78	5.45
Janschewitz-2008-460-348	348	reverent			unrel neu	2.37	2.87	1.1	1.13	5.67	1.69	2.29
Janschewitz-2008-460-349	349	salad	4041	SALAD	unrel neu	06.04	6.44	01.01	01.01	5.47	02.01	7.96
Janschewitz-2008-460-350	350	sheltered			unrel neu	3.83	4.81	1.36	1.28	4.55	1.89	3.2
Janschewitz-2008-460-351	351	ship	740	SHIP	unrel neu	3.92	4.74	01.01	1	05.09	1.39	08.01
Janschewitz-2008-460-352	352	spray			unrel neu	4.54	5	01.01	01.03	4.92	1.53	5.65
Janschewitz-2008-460-353	353	statue	1002	STATUE	unrel neu	3.77	4.49	01.04	01.04	05.01	1.58	7.34
Janschewitz-2008-460-354	354	stiff	4106	STIFF	unrel neu	04.04	4.42	1.31	1.4	4.42	2.13	04.06
Janschewitz-2008-460-355	355	subdued			unrel neu	3.22	04.01	1.22	1.18	4.64	1.81	2.39
Janschewitz-2008-460-356	356	taxi			unrel neu	4.21	5.19	01.01	01.03	05.05	1.49	8.23
Janschewitz-2008-460-357	357	teacher	1038	TEACHER	unrel neu	6.12	6.86	1	01.01	5.68	1.86	07.07
Janschewitz-2008-460-358	358	theory	2433	THEORY	unrel neu	5.24	06.03	01.01	01.03	5.29	1.92	02.09
Janschewitz-2008-460-359	359	tool	1361	TOOL	unrel neu	4.35	5.25	1.32	1.51	4.66	1.81	6.22
Janschewitz-2008-460-360	360	tower	1671	TOWER	unrel neu	3.79	4.55	01.03	01.01	4.99	1.45	7.29
Janschewitz-2008-460-361	361	truck	4011	TRUCK	unrel neu	5.13	06.08	01.01	01.01	05.04	1.71	08.09
Janschewitz-2008-460-362	362	trunk	344	TREE TRUNK	unrel neu	4.64	05.03	01.01	01.04	4.96	1.51	6.74
Janschewitz-2008-460-363	363	vest	3140	VEST	unrel neu	3.45	4.35	01.03	01.03	05.06	1.53	7.69
Janschewitz-2008-460-364	364	violin	4023	VIOLIN	unrel neu	3.38	4.33	01.01	01.06	5.33	2.17	8.4
Janschewitz-2008-460-365	365	wagon	122	CART	unrel neu	2.88	3.73	01.01	01.01	05.06	1.33	7.6
Janschewitz-2008-460-366	366	windmill	3841	WINDMILL	unrel neu	2.88	3.42	01.03	1.13	05.03	1.39	7.92
Janschewitz-2008-460-367	367	writer			unrel neu	4.99	5.75	01.03	1.1	5.25	1.64	05.08
Janschewitz-2008-460-368	368	yellow	1424	YELLOW	unrel neu	5.26	5.47	1.13	01.08	5.13	1.77	8.39
Janschewitz-2008-460-369	369	antique			rel neu	3.51	4.31	01.01	01.05	5.19	1.7	5.7
Janschewitz-2008-460-370	370	appliance			rel neu	04.03	5.16	1	1	05.07	1.41	6.72
Janschewitz-2008-460-371	371	armchair			rel neu	3.31	4.22	01.01	01.01	5.16	1.68	7.9
Janschewitz-2008-460-372	372	backyard			rel neu	05.05	5.39	01.05	01.04	5.23	1.97	7.71
Janschewitz-2008-460-373	373	bake	183	BAKE	rel neu	5.26	5.83	01.01	01.01	5.72	2.78	5.47
Janschewitz-2008-460-374	374	balcony			rel neu	4.43	4.6	01.01	01.03	5.18	1.68	7.78
Janschewitz-2008-460-375	375	banister			rel neu	2.29	2.9	01.04	01.05	4.91	1.44	6.38
Janschewitz-2008-460-376	376	basement			rel neu	3.46	4.16	01.03	01.03	4.91	1.31	7.21
Janschewitz-2008-460-377	377	basin	915	SINK (BASIN)	rel neu	2.25	2.83	01.01	01.07	4.99	1.21	5.3
Janschewitz-2008-460-378	378	bathroom			rel neu	6.91	7	01.01	1.19	4.96	1.73	7.55
Janschewitz-2008-460-379	379	bedspread			rel neu	3.43	04.03	01.04	1.12	4.92	1.71	07.07
Janschewitz-2008-460-380	380	bench	2584	BENCH	rel neu	4.55	5	01.05	01.08	05.05	1.58	7.92
Janschewitz-2008-460-381	381	blinds			rel neu	4.49	4.87	01.01	01.03	4.95	1.45	7.4
Janschewitz-2008-460-382	382	book	963	BOOK	rel neu	6.52	6.96	1	01.01	5.29	1.8	8.34
Janschewitz-2008-460-383	383	bowl	1530	BOWL	rel neu	5.97	6.26	01.01	01.01	05.03	1.41	8.2
Janschewitz-2008-460-384	384	broom	245	BROOM	rel neu	4.29	4.81	01.03	01.03	4.96	1.45	7.97
Janschewitz-2008-460-385	385	cabinet	3357	CUPBOARD	rel neu	4.66	05.08	01.03	01.01	5.1	1.45	7.62
Janschewitz-2008-460-386	386	carpet	292	RUG	rel neu	5	5.19	01.01	01.01	05.06	1.41	7.8
Janschewitz-2008-460-387	387	ceiling			rel neu	4.59	4.99	01.01	01.01	5.12	1.47	7.51
Janschewitz-2008-460-388	388	cellar			rel neu	2.52	3.68	01.04	01.03	4.9	1.6	6.22
Janschewitz-2008-460-389	389	chair	1476	CHAIR	rel neu	6.25	6.26	1	1	5.16	1.48	8.29
Janschewitz-2008-460-390	390	chimney	1305	CHIMNEY	rel neu	3.26	3.97	01.01	01.01	05.08	1.44	7.99
Janschewitz-2008-460-391	391	clock	1323	CLOCK	rel neu	5.99	6.21	01.03	01.01	05.04	1.32	08.08
Janschewitz-2008-460-392	392	closet	3357	CUPBOARD	rel neu	5.86	5.74	01.01	1.14	4.94	1.52	7.19
Janschewitz-2008-460-393	393	cloth	1616	CLOTH	rel neu	4.13	4.68	01.01	01.08	05.08	1.34	7.14
Janschewitz-2008-460-394	394	cook	1100	COOK (SOMETHING)	rel neu	6.16	6.65	01.06	01.01	5.65	2.61	6.56
Janschewitz-2008-460-395	395	couch	3099	SOFA	rel neu	5.94	6.27	1	01.01	5.1	1.69	08.01
Janschewitz-2008-460-396	396	cupboard	3357	CUPBOARD	rel neu	4.34	4.94	01.04	01.03	05.01	1.31	7.47
Janschewitz-2008-460-397	397	curtains	2621	CURTAIN	rel neu	4.56	4.91	01.01	01.01	5	1.29	08.08
Janschewitz-2008-460-398	398	den	2949	LAIR	rel neu	3.39	4.25	01.01	01.03	05.04	1.47	5.26
Janschewitz-2008-460-399	399	desk	1775	TABLE	rel neu	5.71	06.03	01.01	1	5.13	1.32	8.14
Janschewitz-2008-460-400	400	dish	481	DISH	rel neu	5.75	06.04	01.01	01.01	4.99	1.36	7.65
Janschewitz-2008-460-401	401	dresser	4055	DRESSER	rel neu	4.68	4.77	01.01	01.01	4.97	1.31	08.01
Janschewitz-2008-460-402	402	dryer			rel neu	5.55	5.75	01.01	01.01	05.05	1.38	7.79
Janschewitz-2008-460-403	403	fireplace	185	FIREPLACE	rel neu	4.14	4.64	01.01	01.04	5.38	2.16	8.32
Janschewitz-2008-460-404	404	freezer			rel neu	5.62	5.71	01.01	01.01	5	1.39	7.69
Janschewitz-2008-460-405	405	furnace			rel neu	2.47	3.29	01.01	01.03	05.04	1.46	6.17
Janschewitz-2008-460-406	406	furniture			rel neu	5.28	5.82	01.01	1	05.05	1.45	7.69
Janschewitz-2008-460-407	407	glass			rel neu	5.71	06.04	1	1	05.05	1.32	7.38
Janschewitz-2008-460-408	408	hammer	1481	HAMMER	rel neu	3.97	4.73	01.03	01.05	4.95	1.7	8.38
Janschewitz-2008-460-409	409	iron	621	IRON	rel neu	4.2	4.74	01.01	01.03	05.03	1.28	7.49
Janschewitz-2008-460-410	410	jar	1462	POT	rel neu	4.16	4.73	01.01	01.01	05.01	1.29	08.04
Janschewitz-2008-460-411	411	kettle	854	KETTLE	rel neu	3.25	3.83	01.01	01.01	05.04	1.38	6.93
Janschewitz-2008-460-412	412	ladder	1464	LADDER	rel neu	3.83	4.45	01.01	01.01	05.03	1.48	8.13
Janschewitz-2008-460-413	413	lamp	625	LAMP	rel neu	05.07	5.42	01.01	1	5.13	1.32	8.12
Janschewitz-2008-460-414	414	lawn	3990	LAWN	rel neu	4.1	5	01.01	01.01	5.13	1.48	7.45
Janschewitz-2008-460-415	415	mantel			rel neu	2.76	3.5	01.01	1.16	05.04	1.2	6.2
Janschewitz-2008-460-416	416	microwave			rel neu	5.95	6.34	01.04	01.01	5.1	1.75	8.19
Janschewitz-2008-460-417	417	mirror	1171	MIRROR	rel neu	5.81	6.14	1	01.01	5.13	1.57	7.88
Janschewitz-2008-460-418	418	mixer			rel neu	3.88	4.61	01.01	01.06	5.14	1.45	5.4
Janschewitz-2008-460-419	419	mop	3120	MOP (SOMETHING)	rel neu	3.9	4.6	01.01	01.04	4.96	1.42	7.96
Janschewitz-2008-460-420	420	paint	2001	PAINTING	rel neu	4.51	5.34	01.03	01.01	5.34	1.96	7.27
Janschewitz-2008-460-421	421	pan	31	PAN	rel neu	4.97	05.04	01.01	01.01	5	1.32	7.7
Janschewitz-2008-460-422	422	pantry			rel neu	3.58	4.29	01.01	01.08	5.23	1.65	6.81
Janschewitz-2008-460-423	423	patio			rel neu	4.12	4.75	01.01	01.01	05.08	1.56	7.48
Janschewitz-2008-460-424	424	photo	3304	PICTURE (PHOTOGRAPH)	rel neu	5.51	6.29	01.01	01.03	5.32	1.86	7.4
Janschewitz-2008-460-425	425	picture	2401	PICTURE	rel neu	6.34	6.82	01.05	1	5.39	1.97	7.47
Janschewitz-2008-460-426	426	plant	1486	PLANT (SOMETHING)	rel neu	4.92	5.58	1	1	5.13	1.57	08.01
Janschewitz-2008-460-427	427	plaster			rel neu	3.3	3.66	01.04	1.25	4.87	1.42	5
Janschewitz-2008-460-428	428	polish	3659	POLISH (SOMETHING)	rel neu	3.64	4.36	01.04	01.04	5.25	1.74	4.86
Janschewitz-2008-460-429	429	poster			rel neu	4.53	4.92	01.01	01.09	05.05	1.43	7.32
Janschewitz-2008-460-430	430	pot	1462	POT	rel neu	5.29	5.69	1.13	2.21	4.81	2.6	7.77
Janschewitz-2008-460-431	431	radiator			rel neu	2.65	3.6	01.03	01.01	4.94	1.31	06.03
Janschewitz-2008-460-432	432	rag	332	RAG	rel neu	04.04	4.71	1.28	1.4	4.72	1.51	6.85
Janschewitz-2008-460-433	433	rake	338	RAKE	rel neu	03.01	3.69	01.05	01.08	05.04	1.51	7.52
Janschewitz-2008-460-434	434	range			rel neu	4.38	4.56	01.01	01.01	05.03	1.36	2.61
Janschewitz-2008-460-435	435	refrigerator	3952	REFRIGERATOR	rel neu	6.13	6.3	1	01.03	5.14	1.71	8.35
Janschewitz-2008-460-436	436	repair	2243	REPAIR	rel neu	4.38	05.05	01.03	01.05	5.84	1.69	04.03
Janschewitz-2008-460-437	437	rinse	2904	RINSE	rel neu	5.42	5.69	01.01	01.01	5.18	1.49	05.03
Janschewitz-2008-460-438	438	roof	769	ROOF	rel neu	4.62	05.01	1	1	4.97	1.4	7.64
Janschewitz-2008-460-439	439	rug	292	RUG	rel neu	4.67	4.83	01.03	01.04	05.04	1.51	8
Janschewitz-2008-460-440	440	scissors	356	SHEARS	rel neu	4.78	5.43	01.01	01.03	05.09	1.64	8.17
Janschewitz-2008-460-441	441	screen			rel neu	4.47	05.06	01.01	01.01	05.04	1.34	6.95
Janschewitz-2008-460-442	442	scrub			rel neu	4.22	4.58	1.25	1.23	4.66	1.73	5.13
Janschewitz-2008-460-443	443	seat	1476	CHAIR	rel neu	5.73	5.82	01.01	01.01	05.08	1.49	7.45
Janschewitz-2008-460-444	444	shine	708	SHINE	rel neu	4.58	5.12	01.01	01.03	6	2.23	4.87
Janschewitz-2008-460-445	445	shovel	1901	SHOVEL	rel neu	3.54	4.18	01.01	01.01	4.95	1.22	8
Janschewitz-2008-460-446	446	shower	3128	SHOWER (ACTION)	rel neu	07.01	07.08	01.01	1	5.69	02.01	7.73
Janschewitz-2008-460-447	447	sink	915	SINK (BASIN)	rel neu	5.37	5.65	1	01.01	05.01	1.41	8
Janschewitz-2008-460-448	448	soap	788	SOAP	rel neu	5.84	5.89	01.01	01.01	5.32	1.44	08.03
Janschewitz-2008-460-449	449	sofa	3099	SOFA	rel neu	4.63	5.58	01.01	01.01	5.22	1.86	8.1
Janschewitz-2008-460-450	450	sponge			rel neu	4.47	4.79	1	1	05.04	1.26	7.87
Janschewitz-2008-460-451	451	stairs	34	STAIRS	rel neu	5.91	5.94	01.01	1	4.99	1.43	8.21
Janschewitz-2008-460-452	452	steps	1158	STEP	rel neu	5.49	5.88	01.01	01.01	05.07	1.31	7.22
Janschewitz-2008-460-453	453	stereo			rel neu	4.88	5.37	01.01	01.03	5.29	1.85	7.33
Janschewitz-2008-460-454	454	stove	859	STOVE	rel neu	5.1	5.19	01.01	01.03	05.05	1.52	7.99
Janschewitz-2008-460-455	455	table	1775	TABLE	rel neu	06.01	6.44	01.01	01.01	4.99	1.41	8.13
Janschewitz-2008-460-456	456	terrace			rel neu	03.05	3.66	01.01	01.01	5.12	1.65	5.35
Janschewitz-2008-460-457	457	towel	1021	TOWEL	rel neu	6	5.92	01.01	01.03	5.17	1.35	08.06
Janschewitz-2008-460-458	458	vase	3746	VASE	rel neu	3.61	4.18	01.01	01.01	05.09	1.38	7.97
Janschewitz-2008-460-459	459	wash	1453	WASH	rel neu	6.3	6.34	1	1	5.34	1.62	5.7
Janschewitz-2008-460-460	460	window	1375	WINDOW	rel neu	5.71	06.04	1	01.01	5.16	1.57	8.18
