ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	EMOTION_CATEGORY	ENGLISH_PERSONAL_USE_MEAN	ENGLISH_FAMILIARITY MEAN	ENGLISH_OFFENSIVENESS_MEAN	ENGLISH_TABOO_MEAN	ENGLISH_VALENCE_MEAN	ENGLISH_AROUSAL_MEAN	ENGLISH_IMAGEABILITY_MEAN
Janschewitz-2008-460-98	98	bunny	1136	RABBIT	pos lo ar	04.06	4.77	01.01	1	5.84	2.25	8.39
Janschewitz-2008-460-99	99	cake	2408	CAKE	pos lo ar	5.21	5.82	1	1	06.08	3.38	8.54
Janschewitz-2008-460-100	100	capable	972	BE ABLE	pos lo ar	5.22	5.62	01.03	01.03	6.17	1.81	1.96
Janschewitz-2008-460-101	101	carefree			pos lo ar	4.16	4.83	01.03	1.28	6.36	2.39	2.82
Janschewitz-2008-460-102	102	caress			pos lo ar	3.7	4.55	1.12	1.74	5.96	04.04	4.69
Janschewitz-2008-460-103	103	color	1613	COLOR	pos lo ar	6.11	6.36	1	1	5.43	02.08	5.67
Janschewitz-2008-460-104	104	cozy			pos lo ar	4.86	5.13	01.01	01.01	6.52	2.55	04.09
Janschewitz-2008-460-105	105	dignified			pos lo ar	3.55	4.18	01.03	01.05	6.41	1.96	2.36
Janschewitz-2008-460-106	106	friendly			pos lo ar	6.23	6.48	01.01	01.01	7.31	2.73	3.12
Janschewitz-2008-460-107	107	grateful			pos lo ar	5.31	5.51	01.03	01.01	6.86	2.63	2.64
Janschewitz-2008-460-108	108	greet	3552	GREET	pos lo ar	4.29	05.06	01.03	1.14	5.88	1.81	3.59
Janschewitz-2008-460-109	109	grin			pos lo ar	3.97	4.69	01.03	1.1	06.06	2.31	6.96
Janschewitz-2008-460-110	110	heal	499	CURE	pos lo ar	4.45	5.36	01.03	01.03	6.61	2.39	3.19
Janschewitz-2008-460-111	111	honest	1120	HONEST	pos lo ar	6.11	6.25	1	01.03	7.33	03.07	2.2
Janschewitz-2008-460-112	112	hug	928	EMBRACE	pos lo ar	6.32	6.7	1	01.06	7.39	3.95	6.7
Janschewitz-2008-460-113	113	kindness	3468	KINDNESS	pos lo ar	5.32	5.81	01.01	1.13	7.32	2.99	2.7
Janschewitz-2008-460-114	114	kitten			pos lo ar	4.51	05.03	01.03	01.04	5.99	2.69	8.32
Janschewitz-2008-460-115	115	loyal			pos lo ar	4.78	5.47	01.01	01.01	7.14	2.88	2.21
Janschewitz-2008-460-116	116	luscious			pos lo ar	2.94	3.78	1.18	1.55	6.25	3.36	3.42
Janschewitz-2008-460-117	117	luxury			pos lo ar	4.77	5.73	01.04	01.08	6.75	3.16	4.88
Janschewitz-2008-460-118	118	melody	4054	MELODY	pos lo ar	4.17	4.68	01.01	01.03	5.91	2.22	3.24
Janschewitz-2008-460-119	119	movie	216	MOVIE	pos lo ar	6.99	7.47	01.01	01.01	5.87	3.23	6.71
Janschewitz-2008-460-120	120	paradise			pos lo ar	4.23	5.16	1	01.03	7.81	4.53	6.87
Janschewitz-2008-460-121	121	peace	1338	PEACE	pos lo ar	5.69	6.25	1	01.03	7.27	3.49	3.6
Janschewitz-2008-460-122	122	pet	3780	PET	pos lo ar	5.21	5.96	01.07	01.03	5.78	2.33	7.21
Janschewitz-2008-460-123	123	pillow	1044	PILLOW	pos lo ar	06.08	5.83	1	1	5.58	02.03	8.46
Janschewitz-2008-460-124	124	queen	1306	QUEEN	pos lo ar	04.03	4.76	1.12	1.26	5.99	2.45	7.41
Janschewitz-2008-460-125	125	rainbow	1733	RAINBOW	pos lo ar	3.69	4.55	01.09	1.23	6.4	2.9	8.29
Janschewitz-2008-460-126	126	safe	3762	SAFE	pos lo ar	5.14	5.7	01.01	01.01	6.39	2.1	3
Janschewitz-2008-460-127	127	sailboat	4026	SAILBOAT	pos lo ar	3.38	04.08	01.01	01.01	5.17	1.63	8.22
Janschewitz-2008-460-128	128	scholar			pos lo ar	04.08	5.14	01.04	01.01	6.41	2.33	4.6
Janschewitz-2008-460-129	129	secure			pos lo ar	4.64	5.45	01.04	01.03	6.51	2.3	2.54
Janschewitz-2008-460-130	130	silk	1641	SILK	pos lo ar	3.58	4.44	01.01	01.03	5.51	2.29	6.47
Janschewitz-2008-460-131	131	snuggle			pos lo ar	5.18	5.22	01.03	1.12	6.68	3.62	5.45
Janschewitz-2008-460-132	132	soothe			pos lo ar	04.08	4.78	01.01	01.04	6.54	2.76	2.67
Janschewitz-2008-460-133	133	sunrise	2296	SUNRISE	pos lo ar	4.79	5.33	1	1	6.49	3.36	8.29
Janschewitz-2008-460-134	134	sunset	2295	SUNSET	pos lo ar	5.25	5.81	01.01	1	6.47	3.36	8.23
Janschewitz-2008-460-135	135	tune			pos lo ar	4.18	4.66	01.03	01.05	5.26	1.7	2.33
Janschewitz-2008-460-136	136	vision	2519	SEEING (VISUAL SENSE)	pos lo ar	5.13	5.57	01.03	01.03	5.36	1.73	3.49
Janschewitz-2008-460-137	137	wise	698	WISE	pos lo ar	4.81	5.23	01.01	01.03	7.13	2.32	2.29
Janschewitz-2008-460-138	138	wish	2960	LONGING (WISH)	pos lo ar	6.1	6.39	01.01	01.01	6.4	2.51	2.82
Janschewitz-2008-460-139	139	ace			pos hi ar	4	4.26	01.04	01.03	5.93	02.09	5.83
Janschewitz-2008-460-140	140	admired			pos hi ar	4.79	5.46	01.03	01.01	6.91	2.64	2.5
Janschewitz-2008-460-141	141	adventure			pos hi ar	5.36	5.71	01.04	01.04	6.36	04.06	3.95
Janschewitz-2008-460-142	142	alive	1422	BE ALIVE	pos hi ar	5.32	5.62	01.01	01.01	6.65	2.7	3.6
Janschewitz-2008-460-143	143	awed			pos hi ar	3.29	3.68	01.05	01.09	06.05	2.42	2.34
Janschewitz-2008-460-144	144	bouquet			pos hi ar	3.64	4.35	1	1	5.92	2.19	7.24
Janschewitz-2008-460-145	145	brave	3	BRAVE	pos hi ar	4.76	5.62	01.01	1	07.04	03.04	03.04
Janschewitz-2008-460-146	146	bride	1266	BRIDE	pos hi ar	04.04	5.18	01.04	01.05	6.69	2.61	7.99
Janschewitz-2008-460-147	147	bright	679	BRIGHT	pos hi ar	5.51	5.38	01.03	1	6.34	2.73	5.49
Janschewitz-2008-460-148	148	casino			pos hi ar	04.09	5.43	01.04	1.42	4.86	2.89	7.5
Janschewitz-2008-460-149	149	champ			pos hi ar	3.65	4.65	01.03	01.03	6.58	2.54	4.28
Janschewitz-2008-460-150	150	couple	1888	PAIR	pos hi ar	5.97	6.63	01.05	1.11	5.72	2.32	6.42
Janschewitz-2008-460-151	151	ecstasy			pos hi ar	3.39	4.55	1.21	2.65	5.81	4.25	3.69
Janschewitz-2008-460-152	152	elated			pos hi ar	3.47	3.74	01.03	01.03	6.73	03.01	2.73
Janschewitz-2008-460-153	153	erotic			pos hi ar	3.27	4.92	1.65	3.96	5.29	5.1	3.44
Janschewitz-2008-460-154	154	excitement	3846	EXCITEMENT	pos hi ar	5.6	06.05	01.01	01.01	6.94	3.82	3.21
Janschewitz-2008-460-155	155	exercise			pos hi ar	6.44	07.04	01.01	01.03	6.32	3.22	5.53
Janschewitz-2008-460-156	156	fame	865	FAME	pos hi ar	4.29	6.12	01.06	1.1	6.34	3.25	3.78
Janschewitz-2008-460-157	157	flirt	494	FLIRT	pos hi ar	5.68	6.55	1.36	1.86	5.24	3.88	3.74
Janschewitz-2008-460-158	158	food	256	FOOD	pos hi ar	08.01	8.18	01.06	01.08	6.3	04.01	7.9
Janschewitz-2008-460-159	159	gift	2982	GIFT	pos hi ar	5.69	6.35	01.01	01.01	6.66	3.14	7.31
Janschewitz-2008-460-160	160	gold	1369	GOLD	pos hi ar	4.55	5.53	01.01	01.01	6.54	03.07	7.84
Janschewitz-2008-460-161	161	heaven	1565	HEAVEN	pos hi ar	5.47	6.29	01.05	1.39	7.87	4.36	4.93
Janschewitz-2008-460-162	162	hopeful			pos hi ar	5.3	5.57	01.01	01.01	6.86	2.78	2.16
Janschewitz-2008-460-163	163	intercourse			pos hi ar	3.47	5.16	1.44	3.82	5.51	05.03	6.36
Janschewitz-2008-460-164	164	joke	3425	JOKE	pos hi ar	6.45	6.64	01.08	1.14	06.04	2.81	2.23
Janschewitz-2008-460-165	165	joyful	1495	HAPPY	pos hi ar	4.53	5.23	1	01.05	7.35	3.61	3.49
Janschewitz-2008-460-166	166	liberty			pos hi ar	3.58	5.13	01.04	01.06	7.31	2.96	3.1
Janschewitz-2008-460-167	167	lively	4107	LIVELY	pos hi ar	4.28	4.82	01.03	1.15	6.5	2.82	3.49
Janschewitz-2008-460-168	168	loved			pos hi ar	6.49	6.97	1	01.08	08.05	4.67	3.44
Janschewitz-2008-460-169	169	lust			pos hi ar	3.97	5.22	1.45	2.77	4.33	4.1	2.88
Janschewitz-2008-460-170	170	muscular			pos hi ar	05.08	06.04	01.06	01.06	6.26	3.31	7.23
Janschewitz-2008-460-171	171	nude			pos hi ar	3.95	5.31	1.36	3.23	4.57	4.9	6.62
Janschewitz-2008-460-172	172	profit	2929	BENEFIT	pos hi ar	05.01	06.09	01.07	1.16	6.53	3	3.15
Janschewitz-2008-460-173	173	quick	1631	FAST	pos hi ar	5.8	5.95	01.05	01.03	5.53	1.93	3.17
Janschewitz-2008-460-174	174	riches			pos hi ar	3.61	4.82	01.04	01.04	6.42	2.66	05.09
Janschewitz-2008-460-175	175	savior			pos hi ar	3.7	4.67	01.09	1.57	07.08	3.49	4.72
Janschewitz-2008-460-176	176	snow	784	SNOW	pos hi ar	4.76	5.58	01.01	01.01	5.86	3.22	8.3
Janschewitz-2008-460-177	177	song	1096	SONG	pos hi ar	6.74	6.97	1	1	5.68	2.47	3.5
Janschewitz-2008-460-178	178	star	1430	STAR	pos hi ar	5.32	5.9	01.01	01.03	06.09	2.57	7.77
Janschewitz-2008-460-179	179	sunlight	3276	SUNSHINE	pos hi ar	05.05	5.58	01.01	01.01	6.47	2.74	7.34
Janschewitz-2008-460-180	180	surprised	1572	SURPRISED	pos hi ar	06.03	6.21	01.01	01.01	5.75	03.03	4.29
Janschewitz-2008-460-181	181	thrill			pos hi ar	4.31	05.01	01.01	1.18	6.21	3.32	3.27
Janschewitz-2008-460-182	182	wink	1655	BLINK	pos hi ar	4.18	4.84	01.03	1.18	5.57	2.68	6.76
Janschewitz-2008-460-183	183	wit			pos hi ar	3.82	4.36	01.04	1.1	6.13	2.18	1.99
Janschewitz-2008-460-184	184	zest			pos hi ar	2.25	3.19	01.03	01.06	5.82	2.34	2.41
Janschewitz-2008-460-185	185	alone	1964	ALONE	neg lo ar	5.55	06.08	1.38	1.58	3.33	2.44	3.58
Janschewitz-2008-460-186	186	blister	1584	BLISTER	neg lo ar	3.71	04.01	01.05	1.1	3.85	2.19	6.91
Janschewitz-2008-460-187	187	broken	588	BROKEN	neg lo ar	5.51	06.01	1.21	1.14	3.61	2.18	05.01
Janschewitz-2008-460-188	188	carcass	1770	CARCASS	neg lo ar	2.53	3.44	1.44	1.87	3.6	2.92	6.3
Janschewitz-2008-460-189	189	corrupt			neg lo ar	4.54	5.47	1.57	02.04	2.86	3	2.59
Janschewitz-2008-460-190	190	crime	1066	CRIME	neg lo ar	4.57	6.21	1.47	1.83	3.22	3.34	3.97
Janschewitz-2008-460-191	191	cut	1432	CUT	neg lo ar	5.49	5.55	1.11	1.16	04.07	2.63	6.13
Janschewitz-2008-460-192	192	defeated	3535	BE DEFEATED	neg lo ar	4.16	5.34	1.7	1.53	3.13	2.48	2.92
Janschewitz-2008-460-193	193	depressed	3973	DEPRESSED	neg lo ar	5.67	6.53	1.32	2.21	2.36	03.05	3.72
Janschewitz-2008-460-194	194	dirt	25	DIRT	neg lo ar	5	5.39	1.45	1.38	3.97	1.82	7.41
Janschewitz-2008-460-195	195	failure			neg lo ar	05.09	5.74	1.86	1.75	2.64	2.73	2.44
Janschewitz-2008-460-196	196	false.	3069	FALSE	neg lo ar	5.38	6.18	1.34	1.35	3.51	2.45	1.99
