ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Reinhard-1970-337-217	217	shoulder strap for net bag		
Reinhard-1970-337-218	218	five	493	FIVE
Reinhard-1970-337-219	219	black	163	BLACK
Reinhard-1970-337-220	220	no good	1292	BAD
Reinhard-1970-337-221	221	blue	837	BLUE
Reinhard-1970-337-222	222	return (1st)	581	COME BACK
Reinhard-1970-337-223	223	vegetable	924	VEGETABLES
Reinhard-1970-337-224	224	this morning	1339	MORNING
Reinhard-1970-337-225	225	four	1500	FOUR
Reinhard-1970-337-226	226	ant	587	ANT
Reinhard-1970-337-227	227	yesterday	1174	YESTERDAY
Reinhard-1970-337-228	228	ancestor	1669	ANCESTORS
Reinhard-1970-337-229	229	ancestor	1669	ANCESTORS
Reinhard-1970-337-230	230	light	630	LIGHT (RADIATION)
Reinhard-1970-337-231	231	short	1645	SHORT
Reinhard-1970-337-232	232	shoot	1172	SHOOT
Reinhard-1970-337-233	233	house	1252	HOUSE
Reinhard-1970-337-234	234	squirrel	1628	SQUIRREL
Reinhard-1970-337-235	235	Co-wife	3636	CO-WIFE
Reinhard-1970-337-236	236	eat (1st)	1336	EAT
Reinhard-1970-337-237	237	rice	926	RICE
Reinhard-1970-337-238	238	basket	1539	BASKET
Reinhard-1970-337-239	239	dry	1398	DRY
Reinhard-1970-337-240	240	anger, poison	82	ANGER
Reinhard-1970-337-241	241	nothing	687	NOTHING
Reinhard-1970-337-242	242	deity, large tiger	3231	DEITY
Reinhard-1970-337-243	243	after	1685	AFTER
Reinhard-1970-337-244	244	cigarette	969	CIGARETTE
Reinhard-1970-337-245	245	bitter	887	BITTER
Reinhard-1970-337-246	246	tabacco	974	TOBACCO
Reinhard-1970-337-247	247	dull	379	BLUNT
Reinhard-1970-337-248	248	rotten	1728	ROTTEN
Reinhard-1970-337-249	249	old	1229	OLD
Reinhard-1970-337-250	250	bracelet	1754	BRACELET
Reinhard-1970-337-251	251	again, and	204	AGAIN
Reinhard-1970-337-252	252	one	1493	ONE
Reinhard-1970-337-253	253	bad	1292	BAD
Reinhard-1970-337-254	254	a kind of tuber (Dioscorea sativa)		
Reinhard-1970-337-255	255	red deer		
Reinhard-1970-337-256	256	argue (1st)	3302	QUARREL (VERB)
Reinhard-1970-337-257	257	bird	937	BIRD
Reinhard-1970-337-258	258	pull (1st)	1455	PULL
Reinhard-1970-337-259	259	star	1430	STAR
Reinhard-1970-337-260	260	squirrel	1628	SQUIRREL
Reinhard-1970-337-261	261	a tree (Nyssa sessiliflora)		
Reinhard-1970-337-262	262	long	1203	LONG
Reinhard-1970-337-263	263	little bit	2924	A LITTLE
Reinhard-1970-337-264	264	talm		
Reinhard-1970-337-265	265	climb (1st)	1102	CLIMB
Reinhard-1970-337-266	266	toward	2754	TOWARDS
Reinhard-1970-337-267	267	salah oil		
Reinhard-1970-337-268	268	hoe	284	HOE
Reinhard-1970-337-269	269	hand	1277	HAND
Reinhard-1970-337-270	270	tooth	1380	TOOTH
Reinhard-1970-337-271	271	belly	1251	BELLY
Reinhard-1970-337-272	272	arm	1673	ARM
Reinhard-1970-337-273	273	nose	1221	NOSE
Reinhard-1970-337-274	274	eye	1248	EYE
Reinhard-1970-337-275	275	head	1256	HEAD
Reinhard-1970-337-276	276	hair	1040	HAIR
Reinhard-1970-337-277	277	leg	1297	LEG
Reinhard-1970-337-278	278	toe	1389	TOE
Reinhard-1970-337-279	279	finger	1303	FINGER
Reinhard-1970-337-280	280	ear	1247	EAR
Reinhard-1970-337-281	281	finger nail	1258	FINGERNAIL
Reinhard-1970-337-282	282	children	2099	CHILD
Reinhard-1970-337-283	283	stab (1st)	1434	STAB
Reinhard-1970-337-284	284	water	948	WATER
Reinhard-1970-337-285	285	swim (1st)	1439	SWIM
Reinhard-1970-337-286	286	rain	658	RAIN (PRECIPITATION)
Reinhard-1970-337-287	287	forest chicken		
Reinhard-1970-337-288	288	chicken	1318	CHICKEN
Reinhard-1970-337-289	289	chicken eggs	2779	CHICKEN EGG
Reinhard-1970-337-290	290	small children		
Reinhard-1970-337-291	291	tongue	1205	TONGUE
Reinhard-1970-337-292	292	round	1395	ROUND
Reinhard-1970-337-293	293	mouth	674	MOUTH
Reinhard-1970-337-294	294	cleared place	704	CLEAN
Reinhard-1970-337-295	295	a kind of bamboo		
Reinhard-1970-337-296	296	take away (1st)		
Reinhard-1970-337-297	297	like (1st)	1117	LIKE
Reinhard-1970-337-298	298	too		
Reinhard-1970-337-299	299	honey	942	HONEY
Reinhard-1970-337-300	300	we	1212	WE
Reinhard-1970-337-301	301	die (1st)	1494	DIE
