ID	NUMBER	ENGLISH	HOMOPHONE_MEANING_NUMBER	DEFINITION	CONCEPTICON_GLOSS	CONCEPTICON_ID	SUBJECTIVE_FREQ	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-63	63	keen	1	extremely sharp; able to cut readily and finely			44.09	0.78	90	38.02	1.58	3.5	5	6	2.08	2.3	3.36	5.62
Maciejewski-2016-100-64	64	keen	2	a loud, mournful wailing for the dead			7.74	0.78	90	38.02	1.58	3.5	5	6	2.08	2.3	3.36	5.62
Maciejewski-2016-100-65	65	launch	1	to propel with force			87.06	0.83	81	34.02	1.53	2.68	8	8	1.86	4.02	NA	4.63
Maciejewski-2016-100-66	66	launch	2	a large open boat propelled by a motor			12.94	0.83	81	34.02	1.53	2.68	8	8	1.86	4.02	NA	4.63
Maciejewski-2016-100-67	67	lawn	1	a stretch or plot of ground planted with grass or other low-growing ground covers and usually mowed short			90.35	0.92	97	10.59	1.02	2.86	2	1	1.42	5.98	5.88	5.01
Maciejewski-2016-100-68	68	lawn	2	a fine, sheer, woven fabric, usually of cotton or linen			9.65	0.92	97	10.59	1.02	2.86	2	1	1.42	5.98	5.88	5.01
Maciejewski-2016-100-69	69	lean	1	to bend or incline			59.18	0.39	56	13.41	1.13	3.37	11	10	1.73	3.39	3.95	4.91
Maciejewski-2016-100-70	70	lean	2	having little flesh	LEAN (MEAT)	2219	40.62	0.39	56	13.41	1.13	3.37	11	10	1.73	3.39	3.95	4.91
Maciejewski-2016-100-71	71	limp	1	to walk in an uneven, labored, lame manner	LIMP	366	53.88	0.32	52	5.62	0.75	3.05	5	5	1.59	4.18	4.81	4.5
Maciejewski-2016-100-72	72	limp	2	not stiff, rigid, or firm; floppy or flabby			46.12	0.32	52	5.62	0.75	3.05	5	5	1.59	4.18	4.81	4.5
Maciejewski-2016-100-73	73	lock	1	a mechanical device for preventing entry through a door or window or into a safe, usually opened with a key or combination	LOCK	1596	81.86	0.75	77	24.19	1.38	2.95	12	15	1.67	5.32	5.65	5.88
Maciejewski-2016-100-74	74	lock	2	a curl or portion of hair			18.14	0.75	77	24.19	1.38	2.95	12	15	1.67	5.32	5.65	5.88
Maciejewski-2016-100-75	75	mail	1	the system organized to send and deliver letters, parcels, and the like; postal system	MAIL	167	87.68	0.85	83	36.05	1.56	3.22	6	7	1.7	5.65	5.08	5.94
Maciejewski-2016-100-76	76	mail	2	flexible armor made of overlapped or linked metal rings			12.32	0.85	83	36.05	1.56	3.22	6	7	1.7	5.65	5.08	5.94
Maciejewski-2016-100-77	77	mat	1	a piece of material, especially a strong carpet fabric such as wool, that is used as a covering to protect a floor or other surface	MAT	195	80.58	0.82	68	5.61	0.75	3.06	9	10	1.85	5.37	5.13	4.9
Maciejewski-2016-100-78	78	mat	2	a piece of cardboard or other stiff material that acts as a frame for a picture or as a border between a picture and its frame			17.56	0.82	68	5.61	0.75	3.06	9	10	1.85	5.37	5.13	4.9
Maciejewski-2016-100-79	79	mate	1	a marriage partner; husband or wife			82.1	0.76	76	15.66	1.19	3.12	12	12	1.6	4.72	5.07	6.4
Maciejewski-2016-100-80	80	mate	2	in chess, the placing of a king in a check from which there is no escape; checkmate			17.8	0.76	76	15.66	1.19	3.12	12	12	1.6	4.72	5.07	6.4
Maciejewski-2016-100-81	81	meal	1	an occasion when food is prepared and eaten at a specific time	MEAL	1526	85.93	0.84	83	42.72	1.63	3.11	3	3	1.58	5.73	6.02	6.03
Maciejewski-2016-100-82	82	meal	2	coarsely ground grain, such as corn			13.57	0.84	83	42.72	1.63	3.11	3	3	1.58	5.73	6.02	6.03
Maciejewski-2016-100-83	83	mint	1	any of a variety of aromatic plants often cultivated as a source of fragrant oils for flavorings such as peppermint or spearmint			67.42	0.62	60	7.22	0.86	3.23	7	7	1.47	4.85	NA	5.25
Maciejewski-2016-100-84	84	mint	2	a factory or plant where money is produced under the authority of the government			24.07	0.62	60	7.22	0.86	3.23	7	7	1.47	4.85	NA	5.25
Maciejewski-2016-100-85	85	mortar	1	a heavy bowl-like receptacle in which substances are ground or pounded into powder	MORTAR CRUSHER	224	36.28	0.46	48	6.5	0.81	2.63	6	4	1.28	4.49	5.48	3.68
Maciejewski-2016-100-86	86	mortar	2	a bonding substance made from cement or lime, sand, and water and used to hold in place bricks, stones, or the like	MORTAR BINDER	1731	56.39	0.46	48	6.5	0.81	2.63	6	4	1.28	4.49	5.48	3.68
Maciejewski-2016-100-87	87	mount	1	to climb	GO UP (ASCEND)	705	61.71	0.55	80	18.56	1.27	3.36	11	13	1.95	3.76	NA	4.56
Maciejewski-2016-100-88	88	mount	2	a mountain or high hill			37.59	0.55	80	18.56	1.27	3.36	11	13	1.95	3.76	NA	4.56
Maciejewski-2016-100-89	89	novel	1	a relatively long work of prose fiction, usually having a plot and characters			67.79	0.5	76	44.94	1.65	2.89	2	4	1.34	5.47	5.29	5.3
Maciejewski-2016-100-90	90	novel	2	new and unusual			32.21	0.5	76	44.94	1.65	2.89	2	4	1.34	5.47	5.29	5.3
Maciejewski-2016-100-91	91	pack	1	a container for goods or belongings, usually flexible and carried on the back			82.91	0.88	83	33.68	1.53	3.33	17	22	1.82	4.04	NA	5.72
Maciejewski-2016-100-92	92	pack	2	to fraudulently manipulate, as by choosing, for one's own purposes			9.47	0.88	83	33.68	1.53	3.33	17	22	1.82	4.04	NA	5.72
Maciejewski-2016-100-93	93	pad	1	a piece of soft material used as cushioning to protect from abrasion or impact, such as a cushion, mat, or thick piece of blanket or quilt			73.66	0.7	79	7.29	0.86	3.12	14	11	1.75	NA	NA	NA
Maciejewski-2016-100-94	94	pad	2	a soft sound of footsteps			20.65	0.7	79	7.29	0.86	3.12	14	11	1.75	NA	NA	NA
Maciejewski-2016-100-95	95	palm	1	the inner surface of the hand, between the wrist and the base of the fingers	PALM OF HAND	1183	66.26	0.46	69	13.87	1.14	2.88	7	5	1.59	5.55	5.96	5.15
Maciejewski-2016-100-96	96	palm	2	any of numerous mainly tropical evergreen plants, usually an unbranched tree having a crown of large divided leaves, or fronds	PALM TREE	1181	33.79	0.46	69	13.87	1.14	2.88	7	5	1.59	5.55	5.96	5.15
Maciejewski-2016-100-97	97	peel	1	to pull, tear, or cut the outer covering from	PEEL	275	90.41	0.91	91	7.79	0.89	2.79	7	6	1.46	4.75	4.32	4.23
Maciejewski-2016-100-98	98	peel	2	a spadelike instrument with a long handle used for putting goods to be baked into an oven, or for removing them again			8.64	0.91	91	7.79	0.89	2.79	7	6	1.46	4.75	4.32	4.23
Maciejewski-2016-100-99	99	peer	1	a person of the same rank, status, age group, ability, or the like as another person			55.28	0.37	65	9.36	0.97	3	4	3	1.81	3.11	4.06	4.85
Maciejewski-2016-100-100	100	peer	2	to look closely, searchingly, or with difficulty			44.72	0.37	65	9.36	0.97	3	4	3	1.81	3.11	4.06	4.85
Maciejewski-2016-100-101	101	pen	1	any of various instruments used for writing or drawing in ink	PEN	794	74.58	0.64	78	20	1.3	2.8	7	6	1.76	5.76	5.71	5.54
Maciejewski-2016-100-102	102	pen	2	a small, usually fenced enclosure for animals			25.12	0.64	78	20	1.3	2.8	7	6	1.76	5.76	5.71	5.54
Maciejewski-2016-100-103	103	pet	1	an animal, usually domesticated or tamed, kept in one's home for companionship rather than practical use			91.2	0.9	93	14.5	1.16	3.02	8	7	1.39	5.89	5.57	5.41
Maciejewski-2016-100-104	104	pet	2	a sulky mood or fit of temper; peeve; petulance			8.4	0.9	93	14.5	1.16	3.02	8	7	1.39	5.89	5.57	5.41
Maciejewski-2016-100-105	105	pine	1	any of numerous evergreen trees that have clustered, needle-shaped leaves and bear cones	PINE	1740	63.47	0.46	76	11.01	1.04	3.03	4	3	1.47	4.78	5.92	4.62
Maciejewski-2016-100-106	106	pine	2	to be affected with great desire and longing (often followed by for)			36.53	0.46	76	11.01	1.04	3.03	4	3	1.47	4.78	5.92	4.62
Maciejewski-2016-100-107	107	pink	1	a pale reddish color; the color that results when white and red paint are mixed	PINK	3446	93.85	0.95	98	33.22	1.52	2.8	8	7	1.54	NA	NA	NA
Maciejewski-2016-100-108	108	pink	2	to cut a scalloped or notched edge on			5.8	0.95	98	33.22	1.52	2.8	8	7	1.54	NA	NA	NA
Maciejewski-2016-100-109	109	pit	1	a comparatively wide and deep hole dug or existing in the ground	PIT (POTHOLE)	2539	71.82	0.63	59	17.47	1.24	2.27	16	11	1.67	5.89	5.93	4.93
Maciejewski-2016-100-110	110	pit	2	the hard seed at the center of an apricot, cherry, plum, or certain other fruits			24	0.63	59	17.47	1.24	2.27	16	11	1.67	5.89	5.93	4.93
Maciejewski-2016-100-111	111	plane	1	a flat or level surface			33.99	0.52	78	36.2	1.56	3.03	10	9	1.58	5.56	5.35	5.58
Maciejewski-2016-100-112	112	plane	2	any of various carpentry tools with an adjustable blade, used to make surfaces of wood smooth, true, grooved, or the like	PLANE (TOOL)	3408	26.29	0.52	78	36.2	1.56	3.03	10	9	1.58	5.56	5.35	5.58
Maciejewski-2016-100-113	113	plot	1	the story line or sequence of events in a novel, play, or the like	PLOT	2024	57.66	0.36	60	22.07	1.34	2.53	8	7	1.67	4.2	3.79	5.15
Maciejewski-2016-100-114	114	plot	2	a small piece of land, especially one used for a specific purpose			42.04	0.36	60	22.07	1.34	2.53	8	7	1.67	4.2	3.79	5.15
Maciejewski-2016-100-115	115	plump	1	rounded in appearance; somewhat chubby			85.57	0.79	84	6.34	0.8	2.23	11	7	1.49	5	NA	4.45
Maciejewski-2016-100-116	116	plump	2	to come down quickly and with all one's weight			14.33	0.79	84	6.34	0.8	2.23	11	7	1.49	5	NA	4.45
Maciejewski-2016-100-117	117	pool	1	any small area of liquid that has collected on a surface; puddle; pond			68.32	0.62	58	48.08	1.68	2.88	11	11	1.64	5.77	5.73	5.41
Maciejewski-2016-100-118	118	pool	2	a grouping of businesses or individuals for the purpose of combining resources and deriving common benefit from their association			26.04	0.62	58	48.08	1.68	2.88	11	11	1.64	5.77	5.73	5.41
Maciejewski-2016-100-119	119	pose	1	to take or hold a bodily position, as in modeling clothing or having one's likeness painted or photograph taken			71.76	0.58	74	11.94	1.08	3.04	8	9	2.02	3.64	NA	4.56
Maciejewski-2016-100-120	120	pose	2	to puzzle or embarrass with a difficult problem or question			28.24	0.58	74	11.94	1.08	3.04	8	9	2.02	3.64	NA	4.56
Maciejewski-2016-100-121	121	prop	1	to support, stabilize, or sustain with or as if with a beam, stick, stone, or the like			48.76	0.28	52	6.39	0.81	2.66	6	4	1.29	2.51	4.74	4.65
Maciejewski-2016-100-122	122	prop	2	a piece of furniture or other article used for a theatrical presentation or the like; stage property			50.34	0.28	52	6.39	0.81	2.66	6	4	1.29	2.51	4.74	4.65
Maciejewski-2016-100-123	123	pulse	1	the periodic throbbing of arteries that results from the beating of the heart, especially as felt in the wrist or neck	PULSE	3267	73.77	0.63	95	11.14	1.05	2.33	7	7	1.49	4.33	NA	4.86
Maciejewski-2016-100-124	124	pulse	2	an edible seed found in the pods of legumes such as peas or lentils			26.03	0.63	95	11.14	1.05	2.33	7	7	1.49	4.33	NA	4.86
Maciejewski-2016-100-125	125	pump	1	a mechanical or biological device for compressing a fluid or gas, or moving it from one place to another, especially through pipes or the like			69.94	0.6	82	12.59	1.1	2.26	13	11	1.54	5.03	5.56	5
Maciejewski-2016-100-126	126	pump	2	a simple low women's shoe without buckles, laces, or the like			28.96	0.6	82	12.59	1.1	2.26	13	11	1.54	5.03	5.56	5
Maciejewski-2016-100-127	127	pupil	1	any person who studies under a teacher	PUPIL (STUDENT)	753	56.62	0.3	31	24.72	1.39	2.04	2	3	1.28	5.72	5.7	5.47
Maciejewski-2016-100-128	128	pupil	2	the small, dark, circular opening in the center of the eye, through which light passes to the retina	PUPIL	1658	43.38	0.3	31	24.72	1.39	2.04	2	3	1.28	5.72	5.7	5.47
Maciejewski-2016-100-129	129	rail	1	a horizontal bar that extends between two posts and serves as a barrier, fence, or the like			82.55	0.77	82	41.17	1.61	2.96	5	15	1.43	4.99	5.4	5.3
Maciejewski-2016-100-130	130	rail	2	to denounce someone or something in harsh or abusive terms; condemn (usually followed by against or at)			17.43	0.77	82	41.17	1.61	2.96	5	15	1.43	4.99	5.4	5.3
Maciejewski-2016-100-131	131	rank	1	the relative position of one person or group of persons to another in a hierarchy or society			63.56	0.53	75	24.57	1.39	2.91	14	13	1.88	2.48	NA	4.71
Maciejewski-2016-100-132	132	rank	2	having an extremely offensive odor or taste			36.44	0.53	75	24.57	1.39	2.91	14	13	1.88	2.48	NA	4.71
Maciejewski-2016-100-133	133	ray	1	a thin beam of radiation, especially light			76.32	0.69	79	21.4	1.33	2.96	4	10	1.79	5.56	4.7	4.8
Maciejewski-2016-100-134	134	ray	2	any of various fishes having cartilaginous skeletons, flattened bodies, large pectoral fins, and long narrow tails			22.44	0.69	79	21.4	1.33	2.96	4	10	1.79	5.56	4.7	4.8
Maciejewski-2016-100-135	135	rear	1	the back part of something			69.8	0.55	70	29.82	1.47	3.26	9	11	1.57	3.67	4.02	4.78
Maciejewski-2016-100-136	136	rear	2	to raise to maturity			29.97	0.55	70	29.82	1.47	3.26	9	11	1.57	3.67	4.02	4.78
Maciejewski-2016-100-137	137	reef	1	a ridge of rock, sand, or coral rising to or near the surface of marine waters	REEF	660	86.79	0.82	87	5.5	0.74	2.72	4	5	1.09	4.85	NA	4.99
Maciejewski-2016-100-138	138	reef	2	the part of the sail that is drawn in and tied down to decrease the area exposed to the wind			12.82	0.82	87	5.5	0.74	2.72	4	5	1.09	4.85	NA	4.99
Maciejewski-2016-100-139	139	repair	1	to restore to a sound state or condition following damage or injury	REPAIR	2243	93.15	0.93	96	24.31	1.39	2.47	8	8	1.76	4.4	3.94	5.43
Maciejewski-2016-100-140	140	repair	2	to go, as to another place			6.85	0.93	96	24.31	1.39	2.47	8	8	1.76	4.4	3.94	5.43
Maciejewski-2016-100-141	141	sack	1	a large bag, usually made of coarsely woven material or thick paper, used for holding or transporting items in bulk, such as feed, gravel, potatoes, and the like	SACK	2990	59.8	0.73	72	10.41	1.02	3.48	10	13	1.8	5.55	5.82	4.71
Maciejewski-2016-100-142	142	sack	2	to rob of valuables after capturing; plunder; despoil			16.45	0.73	72	10.41	1.02	3.48	10	13	1.8	5.55	5.82	4.71
Maciejewski-2016-100-143	143	scrap	1	a small bit or fragment, especially a leftover or discarded piece			63.66	0.49	64	8.24	0.92	2.07	8	7	1.96	4.25	NA	5.01
Maciejewski-2016-100-144	144	scrap	2	a fight, especially a physical fight; scuffle			36.34	0.49	64	8.24	0.92	2.07	8	7	1.96	4.25	NA	5.01
Maciejewski-2016-100-145	145	seal	1	a design, emblem, or embossed or impressed figure used to make a document authentic or official			41.37	0.44	56	14.78	1.17	3.18	14	15	1.81	6.07	5.87	4.58
Maciejewski-2016-100-146	146	seal	2	any of a number of flesh-eating mammals that live in and around the ocean and have flippers instead of legs	SEAL	651	58.58	0.44	56	14.78	1.17	3.18	14	15	1.81	6.07	5.87	4.58
Maciejewski-2016-100-147	147	settle	1	to finally agree upon or resolve			89.12	0.85	94	26.74	1.43	3.3	13	23	2.09	NA	NA	NA
Maciejewski-2016-100-148	148	settle	2	a long wooden seat with arms and a high back; settee			10.88	0.85	94	26.74	1.43	3.3	13	23	2.09	NA	NA	NA
Maciejewski-2016-100-149	149	shed	1	a simple, usually one-story structure used for storage or shelter, or as a workshop, and either free-standing or attached to another building	BARN OR SHED	3025	67.9	0.52	60	21.4	1.33	3.33	8	6	1.35	6.02	6.11	5.24
Maciejewski-2016-100-150	150	shed	2	to cast off, take off, or let fall (a covering or growth)			31.3	0.52	60	21.4	1.33	3.33	8	6	1.35	6.02	6.11	5.24
Maciejewski-2016-100-151	151	sheer	1	transparently thin or fine			63.96	0.7	81	22.61	1.35	3.51	6	8	1.98	3.34	3.97	4.32
