ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Total
Chan-2019-102-81	78	700	3518	SEVEN HUNDRED	12
Chan-2019-102-82	79	800	3519	EIGHT HUNDRED	52
Chan-2019-102-83	80	900	3520	NINE HUNDRED	6
Chan-2019-102-84	81	999	3521	NINE HUNDRED AND NINETY NINE	1
Chan-2019-102-85	82	1000	1843	THOUSAND	4304
Chan-2019-102-86	82	1001	3773	ONE THOUSAND AND ONE	3
Chan-2019-102-87	82	1002	3774	ONE THOUSAND AND TWO	1
Chan-2019-102-88	82	1060	3775	ONE THOUSAND AND SIXTY	1
Chan-2019-102-89	83	1221	3522	ONE THOUSAND TWO HUNDRED AND TWENTY ONE	1
Chan-2019-102-90	84	1296	3523	ONE THOUSAND TWO HUNDRED AND NINETY SIX	3
Chan-2019-102-91	85	2000	3524	TWO THOUSAND	3651
Chan-2019-102-92	85	2002	3776	TWO THOUSAND AND TWO	1
Chan-2019-102-93	86	3000	3525	THREE THOUSAND	7
Chan-2019-102-94	87	4000	3526	FOUR THOUSAND	4
Chan-2019-102-95	88	5000	3527	FIVE THOUSAND	3
Chan-2019-102-96	89	7000	3528	SEVEN THOUSAND	2
Chan-2019-102-97	90	7776	3529	SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX	4
Chan-2019-102-98	91	9000	3530	NINE THOUSAND	2
Chan-2019-102-99	92	10000	2078	TEN THOUSAND	7
Chan-2019-102-100	93	46656	3531	FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX	1
Chan-2019-102-101	94	100000	3532	ONE HUNDRED THOUSAND	3
Chan-2019-102-102	95	1000000	3533	ONE MILLION	7
